/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年08月22日 23時57分 ～ 2020年08月30日 20時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北きりたん> サービス業……ああぁ。世間は欲しすぎてますよ……   (2020/8/22 23:57:23)
東北イタコ> ん～(ちゅぷ。ちゅっ、ちゅる)   (2020/8/26 17:35:08)

東北きりたん> んぅぅ…♥(背中に手を回して抱きしめ。深く口を絡めて   (2020/8/26 17:35:47)

東北イタコ> んふぅ…♪(頭を優しくヨシヨシしながら舌を絡ませあって。　アイスが溶ける頃には「ぷはっ」と口を離して)   (2020/8/26 17:36:55)

東北きりたん> ふはっ…♥ふぅ、ふぅ……(口を離していくと、真っ赤な顔でジィッと見つめて   (2020/8/26 17:39:48)

東北イタコ> はふぅ…♪　んー、きりちゃんってばもう、情熱的なんですから…(頭を優しくわしゃわしゃ)   (2020/8/26 17:41:05)

東北きりたん> んぁぁ…♥ねえさま、ねえさまぁ…(か弱い声でぼそぼそって囁くと、そのまま見つめて   (2020/8/26 17:42:26)

東北イタコ> んー…♪(優しくほっぺたにちゅっ。って)   (2020/8/26 17:43:26)

東北きりたん> も、もっとほしいかも…(くす、と笑みをこぼしつつ   (2020/8/26 17:46:07)

東北イタコ> ちゅわー…(凄く申し訳なさそうに)　実はそろそろお時間なのですわぁ。ごめんなさいね？　きりちゃん(頭をナデナデ)   (2020/8/26 17:47:50)

東北きりたん> んにゅぅ……(不完全燃焼、ほっぺ膨らませて   (2020/8/26 17:48:22)

東北イタコ> ごめんなさいましねぇ。(ほっぺたフニフニ)   (2020/8/26 17:49:26)

東北きりたん> んぅぅぅ(ぎゅむぅ…うじうじ   (2020/8/26 17:49:39)

東北イタコ> (なでなで。よしよし)   (2020/8/26 17:50:48)

東北きりたん> あとでいっぱいしてもらいます(じぃぃ   (2020/8/26 17:51:16)

東北イタコ> あらあらぁ。おねだりされちゃいましたわー   (2020/8/26 17:52:26)

東北きりたん> 当たり前でぇす(うずうず   (2020/8/26 17:52:48)

東北イタコ> そう言えばあれからずんちゃん見掛けませんわねぇ…   (2020/8/26 17:52:52)

東北きりたん> ですねぇ、ずん姉様みかけないですっ   (2020/8/26 17:53:14)

東北イタコ> 色んな子達とも会いたいですわねぇ～…   (2020/8/26 17:53:56)

東北きりたん> ですねぇ。あってみたいです   (2020/8/26 17:54:12)

東北イタコ> きりちゃんは、誰に会ってみたいのかしら～   (2020/8/26 17:57:31)

東北きりたん> 音街ウナさんとか…？ですかね   (2020/8/26 17:59:11)

東北イタコ> あぁ、ウナちゃん。　仲良い様子とかチラホラ見掛けますわねぇ   (2020/8/26 18:00:40)

東北きりたん> なのであってみたいのと…とはまきまきさんとか、ゆかりさんとか。   (2020/8/26 18:01:28)

東北イタコ> ゆかりさんもマキさんも可愛いですものねぇ～　私はそらさんとかセイカさんに会ってみたいですわ～   (2020/8/26 18:02:19)

東北きりたん> あぁ〜。いいですよねぇ。   (2020/8/26 18:03:05)

東北イタコ> 余所(のお部屋)でマキさんは見掛けたりしましたけどもねぇ…(ちゅわわー…)   (2020/8/26 18:04:53)

東北きりたん> あたしはまきまきさんをやってたりもします(てへ   (2020/8/26 18:07:10)

東北イタコ> あら～   (2020/8/26 18:07:19)

東北きりたん> はい、そうなんですよぉ   (2020/8/26 18:09:35)

東北イタコ> あらあら。うふふ。きりちゃん変化の術、ですわぁ   (2020/8/26 18:10:38)

東北きりたん> 変化しますよ〜   (2020/8/26 18:11:08)

東北イタコ> (ちら、と時計を見る)　さて、そろそろお暇しますわ。　またね、きりちゃん(オデコにチュッ、てして)   (2020/8/26 18:12:22)

おしらせ> 東北イタコさんが退室しました。  (2020/8/26 18:12:26)

東北きりたん> んっ、お疲れ様です、姉様(少しほおを赤くしつつ、頬膨らませてこちらも退散   (2020/8/26 18:12:53)

おしらせ> 東北きりたんさんが退室しました。  (2020/8/26 18:12:56)

おしらせ> 東北イタコさんが入室しました♪  (2020/8/27 13:18:28)

東北イタコ> ちゅわわー…ひんやりですわー(プールにやってきて、浮き輪でプカプカ…)   (2020/8/27 13:19:01)

東北イタコ> (炭酸のペットボトル手に取りグビグビ…)ぷはーっ！ですわ。　ふふーふ♪   (2020/8/27 13:20:16)

東北イタコ> 嗚呼、8月の終わりにプールを満喫…何だか不思議な気分ですわ…(ちゃぷちゃぷ…)   (2020/8/27 13:21:55)

東北イタコ> ひーんやり、ひんやり～   (2020/8/27 13:28:49)

東北イタコ> ちゅわぁ～…(ぷかぷか…)   (2020/8/27 13:36:11)

おしらせ> 東北ずん子さんが入室しました♪  (2020/8/27 13:37:52)

東北ずん子> 何だかうわされてた気がします。おじゃましま……おおう（どうやらプールのようでした   (2020/8/27 13:38:30)

東北イタコ> あら、ずんちゃんいらっしゃいましー   (2020/8/27 13:43:39)

東北ずん子> こんにちはー、イタコ姉さん。夏の終わりにプールなんていいですねー(よいしょ、折角だしと着物を畳んで)   (2020/8/27 13:44:23)

東北イタコ> (よいしょ、よいしょ。ってちゃぷちゃぷ泳いでずんちゃんの直ぐ近くまで)   (2020/8/27 13:44:27)

東北イタコ> んふーふ。　こうやってひんやり過ごしませんとやってられませんわー(現在の外気温度、３５℃)   (2020/8/27 13:45:31)

東北ずん子> (一度姉さんの後ろをむいて、下着も脱いでから近くにあった緑のビキニの水着を着ていき)……確かに、暑いですよねー。本当に、こんなに暑いのなら確かに冷えたプールはいいですね(近くに来た姉さんの傍による様にちゃぷりっと浸かって)  
(2020/8/27 13:49:39)

東北イタコ> あらー、ずんちゃんたら大胆。(ビキニの水着姿を見てきゃっ♪なんて声を出して)　毎日毎日暑くて堪りませんわー。朝の六時くらいでもう陽差しがジリジリしますもの～   (2020/8/27 13:51:32)

東北ずん子> そうですか、イタコ姉さんの水着もとっても素敵ですし(苦笑しつつぷかぷかと水に浮いて)そうですねー、水の中に入ってても暑い気がしますし。むしむしするこの太陽が困りものです(うへー)   (2020/8/27 13:56:33)

東北イタコ> やだもう、ずんちゃんに褒められちゃいましたわ♥(きゃっきゃっ♪ってはしゃいで)　陽差しも熱い、空気も熱い。堪りませんわねぇ～(お手々で水鉄砲して適当にぱちゃぱちゃ)   (2020/8/27 14:00:18)

東北ずん子> 九月になるから涼しくなると思うんですけど…って。イタコ姉さん子供っぽい！？(可愛い声とかはいいけど、ぱしゃっと水を姉さんに返しましょう)   (2020/8/27 14:01:58)

東北イタコ> 少しでも涼しくなると良いですわねぇ…(おねーちゃん遠い目しちゃう。ぉ)　きゃーっずんちゃんが水をかけてきますわー(お手々でガードしてみたり)   (2020/8/27 14:03:48)

東北ずん子> そうですねぇ、もう干からびちゃいそうです(雨ごいとかするべきでしょうか)…こういうのはお約束って事でしょう！むしろ反撃するんじゃないんですか(手も涼しくなるようにぱしゃぱしゃ)   (2020/8/27 14:07:41)

東北イタコ> この前ちょーっと夕立が来ましたけどもねぇ…(雨乞い、やりますの？供物考えなきゃ　ぉ)　きゃーきゃー反撃ですわぁ(お手々水鉄砲でぴゅっぴゅっぴゅっ、てして)   (2020/8/27 14:09:26)

東北ずん子> あー、結構ふりましたね、あれくらいふってくれるといいんですけど(ずんだをささげるのですー)…イタコ姉さんの方がやっぱり子供っぽいですよね、これ。もしかして私の方がおじさんになってる(キャーキャー反撃されるのをほほえましく思う辺りなんかこうちょっとダメな予感。あー、ちべたい)
  (2020/8/27 14:13:02)

東北イタコ> 毎日とは言わずとも二日に一回、ざーって降って欲しいですわー。そうしたら少しは冷えるでしょうし(私は稲荷寿司でも備えておきますわ　ぉ)　んもー、ずんちゃんそんな事気にしてたら楽しくありませんわよー？(近付くとずんちゃんの唇、人差し指で優しくフニッと)
  (2020/8/27 14:15:59)

東北ずん子> それはそれでむしむしする様な…ま、あんまり考えても仕方ないでしょう(はむっと、人差し指を軽く甘噛みしちゃいます)最近なんていうか、ちょっと動くのぐうたらしてしまってたので   (2020/8/27 14:19:31)

東北イタコ> 地面の熱取ってくれるだけで涼しいんですわー。(輻射熱がですわね、酷いから)　ひゃんっ。(甘噛みされてビクッと)　このご時世、遊びに出ることも儘なりませんから仕方在りませんわー   (2020/8/27 14:21:51)

東北ずん子> そうですねー、じっくり遊びたいのはあるんですけど。だらーっとねっとりいちゃいちゃしたくもありますね！(ぺろっと指を舐めて、満足したので口を離しましょう)   (2020/8/27 14:26:07)

東北イタコ> 時間とか都合とかありますものねぇ。(ずんちゃんの後ろに回ると優しくぎゅーってハグして)んふふ♪　ひんやりしてますからハグも良い具合ですわー♪   (2020/8/27 14:27:45)

東北ずん子> ふぇ！？(唐突に抱き着かれたのでびくりっと身体を跳ねて)い、いえ、確かにいいんですけど。突然ですし、色々当たってはずかしいですっ   (2020/8/27 14:29:30)

東北イタコ> んふー？　今のおねーちゃん、やましい気持ち微塵もありませんのよー？(スキンシップー♥　ってマイペースにハグしちゃう。むにゅーんってお胸が当たったり)   (2020/8/27 14:31:21)

東北ずん子> イタコ姉さんは軽いスキンシップが好きなのは知ってますけどねぇ…私はそういう気持ちになってしまう事に関してはどうすればいいんでしょうか！？(顔を真っ赤にしながらも。その胸元の心地にぷるっと震えちゃいます)   (2020/8/27
14:34:56)

東北イタコ> ちゅわー……気持ちいい事でもしてスッキリぽん致します？　(特に深く考えてないイタコおねーちゃんですわ！　ぉ)   (2020/8/27 14:36:21)

東北ずん子> ……イタコ姉さんがお誘いなんて珍しいですね？(きょとんっと首を傾げて)その、嬉しいですけど。すっきりしたくはありますし(お胸の心地にもぞもぞ)   (2020/8/27 14:40:38)

東北イタコ> んふーふ♪　私もそう言うのが嫌いな訳ではありませんのよー♥(すりすり)　どうしましょう、個室行っちゃいます？(鍵をくるくる)   (2020/8/27 14:42:10)

東北ずん子> イタコ姉さんはお話が好きなイメージもありますけど(ちょっと恥ずかしそうにうなずいて)はい、それでは個室でお話しましょうか。…というかこの場合自宅？(家なのでもちろん鍵は問題ないです)   (2020/8/27 14:45:43)

東北イタコ> はぁーい♪　ではではご案内～ですわ♪(お手々引いて)   (2020/8/27 14:46:39)

おしらせ> 東北イタコさんが退室しました。  (2020/8/27 14:48:10)

東北ずん子> はい、それではいきましょうか(ぱたぱた)   (2020/8/27 14:48:17)

おしらせ> 東北ずん子さんが退室しました。  (2020/8/27 14:48:21)

おしらせ> 東北きりたんさんが入室しました♪  (2020/8/27 19:32:23)

東北きりたん> 疲れました……それに、なんでマスターはこんな姿にさせたがるんですか…(くんくん。ってお部屋の匂い嗅いで姉様達がいたのを確認するとちょっとむす。と   (2020/8/27 19:33:05)

おしらせ> 無言時間が20分を超えたため、東北きりたんさんが自動退室しました。  (2020/8/27 19:53:14)

おしらせ> 東北イタコさんが入室しました♪  (2020/8/28 13:00:02)

東北イタコ> ちゅわわーっとお邪魔しますわよ　お腹が満ちて眠いですわっ(お子様かっ)   (2020/8/28 13:00:41)

東北イタコ> 平和ですわねぇ(この時間帯はねぇ…　ちゅわー)   (2020/8/28 13:14:20)

おしらせ> 京町セイカさんが入室しました♪  (2020/8/28 13:17:22)

東北イタコ> あらあら、セイカさんいらっしゃいまし、ですわぁ   (2020/8/28 13:19:29)

京町セイカ> 失礼するわね？（なんてひょこっと入口から顔を出しつつ中へ）今日も暑いからしっかり水分補給はこまめにね？（なんて言いつつも御神水（お酒）を片手に入ってきては   (2020/8/28 13:19:58)

東北イタコ> ちゅわー。勿論涼しくしてお水飲んでますわよー　ってセイカさんはお昼から御神水飲んでますの！？(がびょーんっ　ちゅわーっ　って驚き)   (2020/8/28 13:21:27)

京町セイカ> 今日はお仕事お休みだしね？こうゆう時はだいたい飲んでるかなー（なんてお酒を口にしつつ）というかお仕事終わりとか家でもう飲んでるからあんまり変わらないかも？（なんて、ぷはぁと目を細めつつ美味しそうな顔をして   (2020/8/28
13:23:51)

東北イタコ> (それにちょっぴりダサ…げふんげふん、個性的なTシャツでラフな格好してますわねー)   (2020/8/28 13:23:56)

東北イタコ> (あ、このセイカさん完璧にストレスをアルコールで中和してる人ですわーって理解して)   (2020/8/28 13:24:54)

東北イタコ> い、色々と苦労してますわねー(そう言い繕うので精一杯なイタコおねーちゃんでした)   (2020/8/28 13:25:45)

京町セイカ> んー。まぁだからこそ羽目を外せる時はとことん外すようにしてるの。（ちなみにTシャツの柄はそうだ！京都へ行こう！と書かれており、丈が長く腰あたりまである。しかしズボンやスカートなどをつけてる様子はなく）そう言うイタコちゃんはおひるやすみかな？  
(2020/8/28 13:28:05)

東北イタコ> 気持ちは分かりますわぁ　＞羽目を外せるときは　(にしても際どい格好していらっしゃいますわね…ふともも見えちゃってますわ　　在る意味お昼休みですわー。毎日生きる。って言うお仕事の。(少しだけどよーん…　ぉ)   (2020/8/28
13:30:37)

京町セイカ> …イタコちゃんも苦労してそうだね…（どよーんとしたのが見えてしまえば痛いところ付いちゃったのかなと少し遠い目になり）それに最近暑い日が続くから家出だとどうしても動く気になれないし…（なんてTシャツパタパタさせて   (2020/8/28
13:35:00)

東北イタコ> く、苦労してますわー(笑うけど口元ちょっぴり引きつって)　ずーっと暑い日ですわ。３５℃とか３７℃とか馬鹿馬鹿しい気温してますわ～(暑そうなセイカさんに団扇でパタパタ扇いであげて)   (2020/8/28 13:37:23)

東北イタコ> ぴゃっ…！？(天気予報で明後日の気温を見た３８℃とかあってびっくり)   (2020/8/28 13:39:02)

京町セイカ> ありがと…うちにはクーラーないから扇風機しかないからから余計にきついし…（仕事も外回りだから汗とか凄いしってバサバサすればちらっと下着が覗き）   (2020/8/28 13:41:10)

京町セイカ> 【ないからって2回も要らない…（誤字ー   (2020/8/28 13:41:49)

東北イタコ> (はわ～…下着見えちゃってますわ…///　って照れちゃう)　クーラー無いって地獄ですわー…(ちゅわわ…)　しかもお外出歩かれるだなんて…　肌着からセイカ汁が搾り取れそうですわね！(とちょっぴり素っ恍けてみますわ)   (2020/8/28
13:43:17)

東北イタコ> (セイカ汁、ビールの香り。濃度3%。一本1000円で販売中。　あ駄目ですわコレ、完璧に危ない商売ですわ　ぉ)   (2020/8/28 13:45:19)

京町セイカ> セイカジルって…（思わず苦笑いしてしまいつつ）さすがに仕事のはここには来てこないわよ？…（…午前中からこのTシャツ来てるから寝汗とかすこいことなってるかもだけどなんて、口にはせず心の中で思いつつ   (2020/8/28 13:45:50)

東北イタコ> 冗談ですわ～　ちゅわわわわ。(照れ笑い)   (2020/8/28 13:46:28)

京町セイカ> …冗談じゃなかったらちょっと怖いよ？（さすがに思いつつも苦笑いしつつも）…にしてもほんとクーラー欲しくなる…（1番涼しいのが車の移動ってなんだろうね。なんて遠い目   (2020/8/28 13:47:55)

東北イタコ> 賃貸か何かにお住みなのかしら～…？(だとしたら今時かなりユーザーに優しくない物件ですわね。って)　お車もエアコン効き始めるまで暑いでしょう？　あと黒いシートとか…(地獄ですわ！地獄ですわ！お尻とか背中焼けますわ！)   (2020/8/28
13:50:08)

京町セイカ> まぁそんな所かな？（正確には知り合いの実家にお世話になってるんだけど、さすがにそれを口にしたらまずいかなとそう答えつつ）……そうだね…でも、エアコン聞いてくると涼しいし、それに黒は暑くなるのわかってるから使ってないよ。   (2020/8/28
13:53:19)

東北イタコ> ちゅわ～(大変ですわねぇ…ってしみじみ)　私、昔おバイクに乗ってたのですけれども、夏場はシートがフライパンみたいに熱々になっちゃって、何度お尻が焼けたか分かりませんわーっ(とほほー…)   (2020/8/28 13:55:18)

京町セイカ> ぁー…（それ大変そうと何となく想像できちゃって）やっぱり車庫付きならしっかり入れとかないとねぇ…（そう言いつつまたお酒を煽ればはふつっと美味しそうに   (2020/8/28 13:58:15)

東北イタコ> お水とビニール袋があれば、おバイクのシートにだばあ！　して冷やせますけどもねぇ…はふん。　　ちゅわー。セイカさんはどんなお酒をお飲みになられますの？(私はたまにシードル頂きますわー)   (2020/8/28 14:00:41)

京町セイカ> 基本的には氷結とかの、缶チューハイかなー……飲み会とかあるとマッカランとかも飲むけど……（基本家では缶チューハイが多め   (2020/8/28 14:02:12)

東北イタコ> ウィスキーですわねぇ。大人ですわぁ。(ひょこひょこと直ぐ近くに近付いて、ニコニコと)   (2020/8/28 14:05:33)

京町セイカ> 【ごめん、ちょーっと、背後が頼まれ事で運転するから反応遅くなるかも。（尚現実ではシラフだか、ご安心を……   (2020/8/28 14:06:45)

東北イタコ> 【はいはーい、ですわー】   (2020/8/28 14:07:03)

京町セイカ> あれ、意外と癖なくて飲みやすいんだよ？…好きなのは甘めのだったりするけど…（カルーアミルクとかなんて口にしつつも）ん。どうかしたかな？（なんて近寄るイタコさんを見ては首を傾げて   (2020/8/28 14:08:43)

東北イタコ> ちゅわー。お酒の世界は奥が深いですわねぇ…(カルーアミルク。聞いた事ありますわ。カシスオレンジとか飲んだ事ありましたわね。なんて)　ちゅわ。可愛い悪戯、みたいな？(子供っぽく笑うと、お手々に冷気を寄せて、セイカさんの太ももをナデナデ。ひんやり～)
  (2020/8/28 14:12:02)

おしらせ> 霍青娥さんが入室しました♪  (2020/8/28 14:13:31)

霍青娥> こんにちは〜（ご挨拶しながら部屋の中に入ると手をふりふりしながらゆったりとソファに座りながらパタパタと胸元に扇子で風を送って涼んでいて   (2020/8/28 14:14:14)

東北イタコ> あら、霍さんお久しぶりですわねぇ   (2020/8/28 14:15:28)

霍青娥> お久しぶりです、イタコさまぁ   (2020/8/28 14:17:42)

東北イタコ> 御元気してまして？　暑かったですもの   (2020/8/28 14:18:23)

霍青娥> 元気ですわぁ、暑さでいろいろおかしくなりそうですが   (2020/8/28 14:19:32)

東北イタコ> それは中々参りますわねぇ…(しみじみ)   (2020/8/28 14:20:02)

霍青娥> 冷たい水風呂にざぶーんと入りたいです   (2020/8/28 14:21:14)

東北イタコ> 良いですわねぇ…水風呂。お風呂屋さんの水風呂は冷たくて指先入れるのも儘なりませんわー   (2020/8/28 14:22:14)

京町セイカ> んっ…そう言うことできるのいいなーって思うよ…（冷たさにビクッと、しつつもひんやりとした手が心地よく）あ、いらっしゃい。（手を振りつつも青娥さんにぺこりと   (2020/8/28 14:23:05)

おしらせ> 東北きりたんさんが入室しました♪  (2020/8/28 14:23:54)

東北きりたん> ふぁ〜！   (2020/8/28 14:23:58)

霍青娥> ふぁーっ！こんにちはー！   (2020/8/28 14:24:19)

東北イタコ> あんまり使いすぎると霊力が無くなってへにょへにょイタコおねーちゃんになってしまいますわぁ。(オーバーヒートしたパソコンみたいに。って。　ひんやりなでなで)   (2020/8/28 14:24:36)

霍青娥> セイカさん、こんにちはぁ   (2020/8/28 14:24:40)

東北きりたん> かわのなかからこにゃにゃちは。東北きりたんです(腰まで水にざぶぅーん   (2020/8/28 14:24:53)

東北イタコ> きりちゃん、いらっしゃいましー　賑やかですわねぇ   (2020/8/28 14:25:12)

霍青娥> 逆に汗をかくと涼しく（そう言いながら自分もお酒を用意してゆったりと飲み始めて   (2020/8/28 14:25:15)

東北イタコ> きりちゃん、川遊びか何かしてますの？　(水にじゃぶじゃぶな様子を見て)   (2020/8/28 14:25:59)

京町セイカ> あ、きりたんもいらっしゃい！！…部屋に川が現れるのもここならではかなー。（なんてクスッとしつつも）あー、それなら無理はしなくていいよ？（なんてそっとイタコちゃんの頭を撫でてあげながら）   (2020/8/28 14:27:09)

東北きりたん> ん、川遊びですよ〜、(姉様手招きしつつお水パシャパシャ   (2020/8/28 14:28:13)

京町セイカ> …今汗かいちゃったらTシャツ透けちゃいそうなんだけど…（サラッとこれと下着だけしかつけてないのを間接的に証言してしまいつつ   (2020/8/28 14:28:24)

東北イタコ> これくらいならへっちゃらですわよ～(とニコニコ。加減は確り分かってるらしく)　＞セイカさん   (2020/8/28 14:28:42)

東北きりたん> 皆さんもどうぞ〜(お水パシャパシャ。ちょっと大胆な水着来ていて   (2020/8/28 14:29:04)

東北イタコ> んまぁっ。濡れ透けセイカさんだなんて…だなんて…っ　なんて、えっちぃ！(ぉ)   (2020/8/28 14:29:28)

東北イタコ> 今着替えがありませんわぁー　＞きりちゃん   (2020/8/28 14:30:25)

京町セイカ> …さすがに水着を取りに行かないとダメかなー…（というか飲んでるからまずいかもとか思いつつも）…えっちぃって…（そう言われちゃえば苦笑いしつつも   (2020/8/28 14:31:01)

霍青娥> 透けTっていいですよね（そう言いながら立ち上がり）イタコさま、ここの部屋なら部屋がぐらいたっぷりありますよ（そう言いながらガサゴソして水着をぽいぽい取り出して自分は青いビキニを手に取り着替えに向かって   (2020/8/28 14:31:36)

東北イタコ> 今でも充分えっちぃですわ！(生足魅惑のマーメイドって奴ですわ！！　力説しちゃう)   (2020/8/28 14:32:01)

京町セイカ> …この格好割とラフだから休みの日とか良くしてるんだけど…（えっちいかなとか少し苦笑いしてしまい）…ぁーそういえばここ、服とかも十分色々あったね……（まぁ落ち着いてからかなー用事が   (2020/8/28 14:33:35)

京町セイカ> （また移動ー   (2020/8/28 14:33:44)

東北イタコ> ちゅわぁ…(ぽいぽい放り出された部屋着をつんつんして。際どい水着ばかりですわー。って顔を赤らめ)   (2020/8/28 14:33:52)

霍青娥> ということでわたしは涼みますわ（そう言いながら水着でくると青色ビキニで来て大きな爆乳とお尻がなんとか隠れてる感じでいてそのまま川にぽちゃーんと入って涼んで   (2020/8/28 14:35:14)

東北イタコ> …！(ぴこーん。　適当な水着を選んでぱたたーと着替えに行き…)　ガサゴソ…ガサゴソ…　ばばーん！ですわ！(際どい水着の上に黒いTシャツ着ちゃえば恥ずかしくないですわ！(ぉ))   (2020/8/28 14:37:38)

霍青娥> 水着着ててよくいますわね、そういうひと（こくこくと頷きながらゆっくりと川で涼んでいて   (2020/8/28 14:38:15)

東北イタコ> そーっとそーっと…ぶるるるっ。(温度差で川の水が凄い冷たーい…！)   (2020/8/28 14:39:42)

東北きりたん> 〜♪(川の中に潜り、イタコ姉様の背後から足をピト。と掴んで   (2020/8/28 14:40:14)

京町セイカ> …一応着替えるだけ着替えておこうかな？（なんてガサゴソしてはいつも使用してる水着に近いものを見つけて着替えつつ   (2020/8/28 14:40:52)

霍青娥> 暇になったら泳ぎましょう（セイカさんに言いながらゆったりとしていて   (2020/8/28 14:41:33)

東北イタコ> ひゃわぁあああっ！？(吃驚して尻尾と耳が逆立ち、ボワッ！と爆発)   (2020/8/28 14:41:35)

京町セイカ> そうさせてもらおうかな？（なんて、着替え終わるとうなづきつつも   (2020/8/28 14:43:09)

東北きりたん> んふふぅ(川から顔だけ出して   (2020/8/28 14:44:02)

霍青娥> 危ないですよ（二人を見てそう言いながら川に下半身だけ沈めてゆったりとしていて   (2020/8/28 14:44:53)

東北イタコ> きーりーちゃーんー！？(ぷんすこぷんすこ。何処から取り出したのか水風船をぺちこらぺちこら投げ付けて　お)   (2020/8/28 14:45:27)

東北きりたん> あははっ、イタコ姉様〜！(そのままひんやり状態でぎゅむぅ〜   (2020/8/28 14:47:08)

京町セイカ> 楽しそうだね…（なんて川岸から2人を眺めつつもお酒ぐびぐび…   (2020/8/28 14:49:44)

霍青娥> そうですねぇ…（そう言いながらその少し隣で下半身を涼みつつこちらもお酒を飲んでいて   (2020/8/28 14:50:28)

東北イタコ> ぴゃぁぁあああっ！！(不意の温度差で体がびくうっ)   (2020/8/28 14:50:34)

霍青娥> 下半身を川で涼みつつ   (2020/8/28 14:50:40)

東北きりたん> 姉様かわいい。♪(しっぽをなでなでぇ   (2020/8/28 14:51:18)

東北イタコ> おねーちゃんを弄るのも大概にするのですわっ！　(きりちゃんの頭に軽くチョップ。ビシッ)   (2020/8/28 14:52:44)

京町セイカ> …イタコさんきりたんに弄られてるのかな？、（もしくは遊ばれてる？なんて   (2020/8/28 14:53:05)

霍青娥> イタコさん、責められやすい性格とは思いますね（くぴくぴ   (2020/8/28 14:53:31)

京町セイカ> あー。何となくそれはわかるかも？（くぴぐぴ   (2020/8/28 14:54:33)

東北イタコ> そこのお二人ー！　お酒飲んで歓談してないでこの悪戯っ子をお仕置きして下さいましー！(ぉ)   (2020/8/28 14:56:06)

京町セイカ> まだ、色々落ち着いてないからもうちょっと待ってね？【現実問題まだ外出中   (2020/8/28 14:57:16)

霍青娥> 自分の妹なのですから…ね？（優しく微笑みつつセイカさんおつまみどうぞと柿ピーを取り出して   (2020/8/28 14:57:33)

京町セイカ> （あ、ありがと…なんて。受け取ってはつまみつつも   (2020/8/28 14:58:33)

東北イタコ> ちゅわぁぁぁああっ　救いは無いんですのぉぉぉおお！？   (2020/8/28 14:58:56)

霍青娥> もくもく（ポリポリしながらイタコさんときりたんを見ていて   (2020/8/28 14:59:25)

京町セイカ> （またしばらく運転入りマース   (2020/8/28 15:00:04)

東北イタコ> (いってらっしゃいまし～)   (2020/8/28 15:00:19)

東北きりたん> ふぇふ〜♪♪(イタコ姉様ぎゅむぎゅむぅ。   (2020/8/28 15:04:01)

霍青娥> 　【行ってらっしゃいー   (2020/8/28 15:04:26)

東北イタコ> はぁ～…もぅ…　滑って転んで溺れたら大変ですから浅いところ行きますわよ？　きりちゃん。(抱っこして強制移動。浅いところに腰掛けて)   (2020/8/28 15:05:14)

京町セイカ> 【コンビニ到着。あと1回運転かな？   (2020/8/28 15:06:38)

東北きりたん> あーヴ〜(浅いところに強制連行されてはうー。って   (2020/8/28 15:06:50)

霍青娥> （アイスが欲しいです   (2020/8/28 15:06:58)

東北イタコ> 【お疲れ様ですわー】   (2020/8/28 15:07:02)

東北イタコ> ほーらきりちゃん、シャワーもどきですわよー(両手に水救ってきりちゃんの頭の上でたぱー)   (2020/8/28 15:08:21)

東北きりたん> シャワーもどき〜(髪が変なふうになって、まるで貞子みたいになっちゃって   (2020/8/28 15:11:40)

京町セイカ> きひたんって意外と髪長いのよね…（改めてそう思いつつも軽く伸びては   (2020/8/28 15:12:22)

東北イタコ> あらまぁきりちゃんったら。(よいせ、と前髪上げさせて)   (2020/8/28 15:12:41)

霍青娥> 腰ぐらいまでありそうですわね   (2020/8/28 15:13:53)

東北きりたん> えへへー(満面のかわいい笑み見せてしまって、そのまま姉様の胸をふにぃをと   (2020/8/28 15:15:36)

京町セイカ> さすがにそこまではながくないかなー…せめて肩すぎるぐらい？（確かそれぐらいだったかなる   (2020/8/28 15:15:50)

霍青娥> …（確認）腰までは何かの勘違いだったわね   (2020/8/28 15:17:00)

東北イタコ> んまぁっ、相変わらずこの子ったらおねーちゃんにセクハラするんですから！　(めっ！　て怒って。耳たぶウリウリ攻撃　おま)   (2020/8/28 15:17:03)

東北イタコ> (おま　→　ぉ。)   (2020/8/28 15:17:35)

東北きりたん> お姉様なんてもっとハードなセクハラしてくるのに(頬をうりうりされながら下着をちら。と覗いて   (2020/8/28 15:19:32)

東北イタコ> あれはきりちゃんへのお仕置きですわ！(鼻息ふんす。　ぉ)   (2020/8/28 15:20:18)

東北きりたん> おしおきなんて必要ないですよ〜？(胸を触るのは辞めずに「やわらかぁい」って声漏らして   (2020/8/28 15:22:47)

東北イタコ> んもぉ～(あたまぺちぺち)   (2020/8/28 15:24:00)

東北きりたん> んふふう(ぱく。と胸を加えて   (2020/8/28 15:25:50)

東北イタコ> ひやぁぁああ！？(頭ベシコーンッ)   (2020/8/28 15:26:24)

京町セイカ> やっと落ち着いた（伸びつつも、）そろそろ私も入ろうかな？（なんて足を入れつつ   (2020/8/28 15:26:47)

