/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月26日 19時37分 ～ 2023年01月27日 18時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

八重神子 ◆> 妾もそんなに深く考えておらんのぅ（火サスにつられただけ）   (2023/1/26 19:37:12)
ユフィリア・マゼンタ> ひ、ぁ…っ♡あ、ぅ…あにす、ひゃま…っ…♡いりあ、も…も、もう、十分に弄ったではないです、かっ…♡や、やめるなら今のうち、かと…っ♡（とん、とん、と一定のペースでお臍の少し下の当たりをつつかれては否が応でも意識してしまい、太腿を擦り合わせるようにもじ、もじ…と身動ぎをしてしまう…♡その状態でイリアの大人びた落ち着いた声とアニス様の元気いっぱいな声に両耳を責められ、耳朶までくわえられてしまえばびくっ♡と過敏な反応を示しながらおふたりのおもちゃにされてしまい…♡）
  (2023/1/27 01:08:24)

イリア・コーラル> ふふ、楽しみ待っていますね姫様…もの凄くですか…色々と期待が膨らんでします…姫様のあんな表情やこんな表情が…（そっと空いている手を伸ばしてアニスの頬も撫でてあげて）おやおや…先ほどまでの威勢が…何処にやら飛んでいってしまわれたようで…とても可愛いですよユフィリア様…食べてしまいたいくらいです…んっ…（耳元から離れると甘い声を漏らす唇をそっと塞ぐようにキスをして、頬を撫でる手は下がり擦り合わせる太ももをスカート越しに撫でてあげて…）
  (2023/1/27 01:11:54)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> んー……ふぁにふぁ、いっふぁ？(はぐはぐと耳朶を咥えたまま聞こえるか解んない会話､流石に不味いと思ったのか一旦離して)…人の事、えっちだって言い逃げしたのは…何処のユフィだったかなー…？(既に深窓の令嬢らしからぬ、乱れ始めたユフィにぽつりと、根に持ってた？前の件を咎めてみたり)そーだよ、イリアをあんな目やこんな……ん、ちょ…イリアー……？なーんで、私の方が、な前提な訳ぇ……？ん、もー…(ユフィ越しに頬を撫でられて､多少の不満は有る物の…お返しとばかりに、口付けを交わしてる最中にイリアの背中をぽふぽふと…
  (2023/1/27 01:16:58)

ユフィリア・マゼンタ> そ、それは…本当にそうだったから…んっ…！？…ん、ふ…♡（まさかそれを根に持っているとは思わなかったのかバツが悪そうにいい淀み…その間にイリアによって唇を奪われ、あまぁいキスの中スカート越しに太腿をいやらしく撫で回されてはすっかり瞳を蕩けさせ…）
  (2023/1/27 01:21:32)

イリア・コーラル> 姫様に…鳴かされるなら…それも良いですね…本当はたっぷりと鳴かせて差し上げたいのですが…こほん…つい本音が駄々洩れに…（アニスに背をぽふぽふとされると、心地よい気持ちになりながらも…同じように手を背に回して優しく撫でてあげて）んっ…ユフィリア様の唇…美味しゅうございます…んぅ…（柔らかな下唇を甘くはむ様にキスを交わして、蕩けた瞳を見つめ続け…スカートをそっと捲り上げると直に太腿を甘くいやらしく撫でてあげて）
  (2023/1/27 01:24:55)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> はー…ん、…そこはもうお互いの気分とか次第かな､イリアなら何なりと、困らなさそうだし…ね…♪(現状と交わした言の葉と…多分其処までの齟齬は生まれなさそうだと頷いてからウィンク一つ)…ふぅん…………そんな事言うんだー……今のユフィだってえっちじゃん(ぼそっ、さっきまでとは違う少し低い声色と共に…)私とイリアに挟まれて…そんな情けない事になってるのは誰、かなー…？(声色は又何処か嬉々として、イリアの背とユフィのお腹に回してた両手はそのままユフィの膨らみへと添えられて、下から持ち上げる様に揉み解し
  (2023/1/27 01:28:10)

ユフィリア・マゼンタ> ん、んんっ♡（こ、これはおふたりが好き勝手にいじるから…！と反論したいもののイリアに唇を奪われたままなのでそれすら叶わない…♡アニス様の低い声色にどきり、としつつも衣服越しに胸を揉まれてしまえば、びく、びく♡と時折小さく震え…♡イリアには唇を食むように求められより深いキスへと変わっていく…♡イリアを受け入れるように小さく口を開きつつ、直接太腿をいやらしく撫で回されては我慢も出来なくなってしまう…♡空いている手をイリアの手に添えては下着の上からではあるものの、そこを触ってほしそうにオネダリするような視線を送り…♡）
  (2023/1/27 01:35:44)

イリア・コーラル> はい…その時は是非…姫様のご気分に合わせさせていただきます…遠慮なく仰ってください…それが主に使えるメイドの務めですから（ウィンク小さく姉のような視線を返して…背中を撫でていた手は頭に進んで慈しむ様に撫でて）ん…れろ…んん…（ユフィリアの口が求めるように開くのを感じると舌を滑り込ませ、甘く絡ませ深いキスをして…オネダリするような視線に…柔らかな掌の感触を感じると誘われる様に奥に進み下着越しに蕩け始めている秘部を指先で擦り上げてあげる）
  (2023/1/27 01:39:25)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> …やっば、私のメイド有能過ぎ…？…それはホントに甘えさせてもらおっかな…(実際気分屋故に…赤髪メイドとのあんやなこんや空想が)と、と……んーっ…ユフィは何言ってるかわっかんないなーも……どうしてこんなハレンチな……んー…どうせならハレンチ序でに、こっちも脱いじゃおっかっ？(二人でお盛んなのを良い事に､揉んでいた胸元からごそごそ、第一ボタンから外しに掛かって)
  (2023/1/27 01:45:29)

ユフィリア・マゼンタ> ん、ぁ…♡ちゅ、る…んんっ♡（イリアの舌が口内に侵入してはそのまま舌同士を絡めるような濃厚なキスをしつつ下着越しではあるものの、すっかり準備の整ってしまった秘部を指先ですり、すり♡と擦り挙げられアニス様に抱かれた身体がびく、びくっ♡と痙攣してしまい…♡胸元の第1ボタンから順番にボタンを外され、服を脱がされていってるのはわかるものの、蕩けきった頭では止めようとも思わずにされるがままに服を脱がされていき…♡）
  (2023/1/27 01:49:47)

イリア・コーラル> 当然です…姫様のメイドですから…ふふ、その時を心待ちにしてますねアニス様…いくらでも申し付けてください（キスの合間に答えながら…もやもやと妄想している姫様の期待にこたえたいなと感じていって…）んぅ…ふぁ…んん‥ちゅ…れる…（唾液を交換し合うような甘いキスを楽しませてもらい、下着越しに感じる蜜の湿り気に指先を軽く押し込んだり…クリを擦る様に刺激を与えたりして愛でていく）
  (2023/1/27 01:53:09)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ふふ…イリアが何処まで耐えられるか或いは……ん、一杯一杯楽しませて貰わないと、ねっ…♥(自身のモノだと言わんばかりのイリアにすっかりご満悦王女様､その所為か…)…んー…ユフィも、もうすっかりメス令嬢の顔しちゃってる…こんな表情、皆が見たら､如何思っちゃうんだろう、ね…ほら…こっちももうこんなになってきてるよ…？(やがて露になるブラをも上にズラし、イリアにも見せ付ける様に覆われていた膨らみを､或いはその先端を揉み扱いて…
  (2023/1/27 01:57:39)

ユフィリア・マゼンタ> ん、ちゅ、れる…っ♡ひゃ、んんっ…ぁ、ぅ…♡（お互いの唾液を交換するような甘く深いキスにどんどんと思考は蕩けさせられていく…♡下着越しにクリをいじったり指を押し込まれたりしてはがく、がくっ♡と腰を揺らしながら既に2人がかりで責められたせいか絶頂がすぐそこまで迫り…♡アニス様に胸をはだけさせられた状態で揉みしだかれ、ぴん♡と固くなった穢れを知らない綺麗な桃色をした乳首をイリアに見せつけられてしまい♡）
  (2023/1/27 02:01:41)

イリア・コーラル> 楽しみにさせていただきますね…此れもメイド冥利に尽きます…今の所姫様のメイドは私だけですから…（自分の言葉で満足気タップリな様子が見られれば、内心嬉しくてたまらなくて…）可愛いですよユフィアリア様…こんな表情見せられたら…んっ…ちゅ…んっ…れる…良いですよ…達しちゃってください…ユフィリア様のいやらしい姿見せてください（更に唇を伸ばすといやらしい水音を立てるように深いキスを交わして、身体の震えから絶頂が近いのを感じると下着に手を差し入れ直に秘部を弄って…一気に絶頂へと導いてあげていって）
  (2023/1/27 02:06:16)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> …や、いっか…でも今の調子だと､ユフィも一緒に御世話が要りそうかなー……？まーでもイリアならこれぐらい…(ユフィを弄ぶ彼女の姿も非常に楽しげに見えて…妬く処か二人まとめて愛でられそうな程に…)ん、ふ…ユフィももう辛そう、かな……？(前後に虐められて悶えるユフィの姿に察するのは…又一度イリアに目配せしてたら既に本気のイリアが)ふふ……いーよユフィ…私達で、墜ちて…♥(又ぽつりと囁いた後、ぐり、ぐりぃっと、左右それぞれ膨んで硬直してる先っぽを押し潰す程に圧を加えて快楽の底に沈めてしまおうと
  (2023/1/27 02:10:30)

ユフィリア・マゼンタ> ちゅ、む…ん、ふ、ぁ…っ♡く、んんっ…ぁ、ひ、ぅっ…♡〜〜っ♡♡（より深く水音を奏でるように口付けを交わされ、イリアの舌に口内を弄ばれつつ下着の中に手を差し込み直接指先デ秘部を弄り回されて、それだけでも簡単にイッてしまえるのに弱い耳元でおとすように囁くアニス様の声、それと同時に乳首を押しつぶすようにつよく刺激を加えられてはもう元には戻れない…♡目の奥にハートを浮かべつつがくんっ♡がくんっ♡と大きく腰を震わせながらいってしまい、その場で潮まで噴いて…♡）
  (2023/1/27 02:15:02)

イリア・コーラル> 姫様とユフィリア様を…一緒に…それは夢のような事ですね…二人に甘えられたら…私はどうなってしまうのでしょうか？（想像しながら自問自答をしているメイドの図）んっ…ちゅ…イってしまわれましたね…ユフィリア様…とても可愛らしいです…♪（手にかかる吹き出しした潮を口元に持っていくと見せつけるように舐め上げて）…こんなに溢れさせていやらしい…令嬢ですね…ユフィリア様は…（っと止めに言葉でも苛めてあげる）
  (2023/1/27 02:19:20)

イリア・コーラル> （済みません、とても良い所なのですが眠気がMAXなのでこのあたりで…落ちさせてもらいます…）   (2023/1/27 02:21:49)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 甘える…あーそう言う解釈も有りかー…今みたいに今度はイリアを､なーんて考えたけど(そっかそっかと、確かに有りだなって頷いて)ん、ん……すっごくキモチ良さそう…ふふ…どーだったユフィ♪(達したのだろう、とは、背中越しに伝わるモノの…やはり問わずにはいられない…さてイリアはと様子を眺めたら)あー…もー…あんなにイリアの手汚しちゃって……ユフィのえっちっ…♪(言われた分余計に何処か、強調気味に追い打ちを掛けて、もっかい乳首だけがぐり、と、引っ張りあげるように摘まんでみせて
  (2023/1/27 02:22:37)

ユフィリア・マゼンタ> （イリアはお疲れ様ですね？遅くまでありがとう…♪）   (2023/1/27 02:22:55)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 【あはは…イリアが居たの見付けて思わず飛び込んじゃった……お疲れ様…♪】   (2023/1/27 02:23:13)

ユフィリア・マゼンタ> こ、これは…おふたりの攻めがあまりにも上手だったので…♡ひ、ぁっ！？♡（イリアによる最後の言葉責めとアニス様に再び乳首をぐりぃっ♡と刺激されてびくぅっ♡と震え上がり…♡自らの愛液や潮で汚れてしまった手を舐めとるその仕草にどき…♡少し興奮を覚えて…♡）
  (2023/1/27 02:25:14)

ユフィリア・マゼンタ> これは…そのまま寝てしまったという判断でいい、のでしょうか？（イリアのほっぺをつん、つん。）   (2023/1/27 02:29:37)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ユフィはドスケベ…アニス覚えたっ…♪えへへっ♪(又乱れる姿に思わずむぎゅりと後ろから抱き直して…長い髪に埋もれながら時折ｽﾝｽﾝと鼻を鳴らしながら…)んんん？どっちだろうと思ってちょっと待ってたけど…(反対側をむにむにと
  (2023/1/27 02:31:54)

ユフィリア・マゼンタ> …ち、違いますから！（じとーっ…）…それに、アニス様はイリアがお目当てだったのでしょう？（子供っぽくぷく、と頬を膨らませながら少しだけ冷たい態度を取り…）   (2023/1/27 02:33:18)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ふぅん………そんなの晒しといて…？(未だ開けた胸元を後ろから眺めつつ)え…………んー…………本音言っちゃうと二人共、かなー…だから臆せず来たっていうのは……？…これはちょっと後でかな…(とりあえずもにゅ、と、膨らんだ頬を左右から挟んで
  (2023/1/27 02:37:31)

ユフィリア・マゼンタ> …アニス様が脱がせたんでしょう！？（慌ててばっ、と胸元を手で隠し…）別にどちらか1人でも臆することはないと思いますが…んむ…（両手で頬を潰すように抑えられては口の空気が抜けて…）   (2023/1/27 02:40:09)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> えー隠さなくてもいーじゃんかー…(ｸｽｸｽ…流石に今深追いはしないものの……)んー…と…ユフィ未だ起きてられる…？ちょっと時間有る？(そのままふにふにほっぺを弄び乍ら   (2023/1/27 02:42:50)

ユフィリア・マゼンタ> アニス様が望むのであれば多少は…？（頬を弄ばれながらどうしたのですか？とうしろを振りかえり…）   (2023/1/27 02:43:51)

おしらせ> 無言時間が25分を超えたため、イリア・コーラルさんが自動退室しました。  (2023/1/27 02:46:54)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> …んじゃ行こうか、と…ちょっと待ってね､流石に､放置は出来ないし、っと…(よいしょ、と、イリアを誘拐犯気味に肩に抱えて)それじゃちょっと､ご足労願いましょうかユフィリア嬢…♪(逆の手を彼女の前に差し出して…  
(2023/1/27 02:47:18)

ユフィリア・マゼンタ> そのスタイルでお誘いを受けるべきなのか、非常に悩ましいところではありますがね…（イリアを抱えながら反対の手で手をさしのべられては困ったように苦笑を浮かべながらその手を取り…）   (2023/1/27 02:50:22)

おしらせ> ユフィリア・マゼンタさんが退室しました。  (2023/1/27 02:50:27)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> あー、流石にイリアはちゃんと寝かせてくるよ…お休みイリア…ん…(そのまま左右に二人？を連れて姿を消して…   (2023/1/27 02:51:16)

おしらせ> ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱさんが退室しました。  (2023/1/27 02:51:19)

おしらせ> ウタさんが入室しました♪  (2023/1/27 03:12:50)

おしらせ> 緒山まひろさんが入室しました♪  (2023/1/27 03:13:04)

緒山まひろ> 今度はこっちに〜……っと、先客がいたなぁ   (2023/1/27 03:13:25)

ウタ> わー…
何か凄そうな所…これ、入っても良いのかな…⁇　(　眠気覚ましと言う事で、ふら～っと適当に散歩をしていればお高そうな屋敷？の様な豪華な内装の建物に辿り着いた。身分証明とか必要なんだろうか？？と考えてる内に、あれよあれよと部屋の中へ…　内装を色々見ていれば、――ふと人の気配やら足音が。)　あ、こんばんわー！…　邪魔しちゃった？？(　なんて、彼女に視線を向けては申し訳無さそうに。)
  (2023/1/27 03:15:21)

緒山まひろ> こんばんはだなぁ、そんな事ないぞ〜、私の場所って訳でもないからなぁ〜(ソファに腰掛け首を傾げながらにこりと)   (2023/1/27 03:17:34)

ウタ> お、やったー！なら私ものんびりしーちゃお、！( クルりとその場で一回転、にっひひ。満足そうに楽しそうに笑いながら、独特な髪型ぴょこぴょこ動かして、)　――　あ、私はウタ！
自分で言うもんじゃないけど、‘‘世界の歌姫‘‘って異名で通ってるんだー。(　ﾘｽﾞﾐｶﾙにｽｷｯﾌﾟ。彼女の隣に近づいては、座っていい？なんて首を傾げて。)   (2023/1/27 03:20:46)

緒山まひろ> ゆっくりのんびりな〜♪うた…歌姫？あいどる…みたいなやつか？う、陽の気を感じる……っ……と、お…私は緒山まひろだ♪(どうぞどうぞと頷きながら)   (2023/1/27 03:24:47)

ウタ> アイドルとはちょっと違うかなー…？
どっちかと言えば、アーティストとか歌手かな！(　元々はとある海賊団の音楽家だけどね！何てとんでも情報をさらっ、と付け足す。えへ、自分で言うの恥ずかしいけど。何て照れくさそうにして、おどおど？してる彼女をじーーーっと見詰める。「…それにしても可愛い子だなぁ、まひろちゃん。」ずいずい、距離感のつめ方がおかしい歌手。ふにっ♡と豊満な胸も押し付けてしまう♡)
  (2023/1/27 03:27:41)

緒山まひろ> アーティストかぁ、ふふ、名前にピッタリだなぁ♪海賊…(そういうグループなのか、なんて考えながら距離を詰め見つめられれば少し後ずさり)わっ、なっ……可愛いって…ちょっ、当たってるんだけど！？(柔らかい感触に驚きながらも両手を合わせて拝み)  
(2023/1/27 03:30:18)

ウタ> えへへ、‘‘歌‘‘が大好きな‘‘ウタ‘‘って覚えてくれると嬉しいな！　――　？どしたの、女の子同士なんだし恥ずかしがる事ないでしょ。(　驚く様な、急に拝む彼女を不思議そうに見遣る。面白い子だなー…いや、もしかして同年代？なんて思い筒も、同時に…。「…あ♡もしかして、おっぱい好きだったりしちゃう？」と悪い笑み。ほれほれ～♪
悪戯するみたいに、彼女の腕にふにっ…♡ぷにぃ♡と形が変わっちゃうくらい、胸を押し付けちゃって。)   (2023/1/27 03:33:12)

緒山まひろ> 覚えやすいなぁ♪…女の子同士でもいろいろとっ！…ぅ、今の子はみんなこんな感じなのか……!?(胸を押し付けられれば小さい身体を押しつぶされていき)いや、嫌いじゃないけど…!これ以上はやばいっ…からっ！(ゴロリと転がりソファから転げ落ち)  
(2023/1/27 03:36:48)

ウタ> (
あ、ごめん…！って、落すつもりは無かったので謝罪の言葉を紡ごうとするも、‘‘ついうっかり‘‘彼女の上に覆い被さる様な、所謂床ﾄﾞﾝ？状態になってしまう、意図せずに。…じーっと暫く彼女を観察すれば、思わず一目惚れでもしたよーな、兎に角目はハートになって…♡ )
…　やばい、って具体的に何がヤばいのかな…♡ ほらほら、仲良くなる証として教えてよ～…♡ (嫌がる素振りは無い様なので、ぐいぐい責めて行く様子♡ 吐息が掛かるくらい、ぐい…っと近づいて、唇が触れ合うまであと数センチ…♡)   (2023/1/27
03:40:37)

ウタ> (あ、唐突ですが、ふたなりウタちゃんでも大丈夫ですか？？と、今更ですが行き成りちゅーとかやらしい行為も大丈夫であれば…！）   (2023/1/27 03:41:31)

緒山まひろ> ぐえっ……い、いたた……っ、ん、具体的に！？…ぐ、い、言えるかぁっ！(一応男としてのっ、色々なものが無くなるっ！なんて焦りながら、軽くじたばたしながら目をぐるぐる回し)   (2023/1/27 03:46:03)

緒山まひろ> (大丈夫だぞ？ん、でもあんまり過激なのとか刺激強めなのは勘弁……っ、とそっち系は出来たら部屋がっ)   (2023/1/27 03:46:39)

ウタ> (ふむふむ、過激なのはどこまでセーフで行き過ぎなのかも気になるので…一度ロルを書いて、お部屋作成しますね！公開か非公開などあればぜひ、！)   (2023/1/27 03:48:04)

緒山まひろ> (だなっ、部屋は非公開で頼みたいっ)   (2023/1/27 03:49:43)

ウタ> …あっ、ごめんね？怪我とかしてたら私の能力で治癒を――…　っ、かわいい…なぁー…♡♡ んもう、食べちゃいたい！もしくは妹にでもしたいくらいっ、(
‘‘そう言う事‘‘を拒むなら、純粋に妹的な扱いをして可愛がるだろう、頭撫で繰りまわしたり。「…とりあえず、♡色々根掘り葉掘り聞きたいから、２人きりになれる場所に行く？」何て甘美なお誘い、果たして受けるか断るかどきどき、♡)   (2023/1/27
03:51:33)

ウタ> (はーいっ、早速非公開の待ち合わせで作りましたっ)   (2023/1/27 03:51:55)

緒山まひろ> 妹…って、ついには他の人の妹にまでされるのかっ！？(いきなり妹だとか色々と、混乱しながらとりあえずこくりと頷いてしまい)   (2023/1/27 03:54:26)

緒山まひろ> (それじゃあ移動するなぁ♪)   (2023/1/27 03:54:33)

おしらせ> 緒山まひろさんが退室しました。  (2023/1/27 03:54:35)

ウタ> (はーいっ、では自分も移動を～♪)   (2023/1/27 03:54:50)

おしらせ> ウタさんが退室しました。  (2023/1/27 03:54:53)

おしらせ> 小春六花さんが入室しました♪  (2023/1/27 06:32:58)

小春六花> おぎだぁ……（うとうとねむねむ）   (2023/1/27 06:33:12)

小春六花> さて、寝坊したので朝ごはんはコンビニになるんだけど、今日の私は何腹だ……っと   (2023/1/27 06:35:47)

小春六花> 焦るな……私はただ美味しく腹を満たしたいだけなんだ……   (2023/1/27 06:49:29)

小春六花> こはるりっか、ふー！   (2023/1/27 07:06:11)

小春六花> まぁコンビニよるのは一時間後なんですけどね……（ぐぎゅるるるる）誰か餌を恵んでください。   (2023/1/27 07:09:58)

小春六花> しかしこんな朝から誰も来ないのよねぇ……（うぐぐ）   (2023/1/27 07:15:19)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/27 07:25:00)

小春六花> あらおはよ。   (2023/1/27 07:25:10)

桜衣乃> おはようございます、六花ちゃん。昨日はごめんなさい…。   (2023/1/27 07:25:28)

小春六花> やっていいことと悪いことはあると思うけど開口一番誰も入ってこれない話題に持ち込まれても私は更に困るため（？）   (2023/1/27 07:26:19)

桜衣乃> そのことで、少しお部屋でお話したいんですが、今大丈夫ですか？   (2023/1/27 07:26:20)

小春六花> んー、まだ時間あるしいいよ。   (2023/1/27 07:26:43)

桜衣乃> では、今お部屋を作りましたので、お願いします。   (2023/1/27 07:27:06)

小春六花> はい。   (2023/1/27 07:27:14)

小春六花> 入ったから抜けるね   (2023/1/27 07:27:27)

おしらせ> 小春六花さんが退室しました。  (2023/1/27 07:27:30)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/27 07:27:35)

おしらせ> 小春六花さんが入室しました♪  (2023/1/27 08:05:03)

小春六花> （そしてコンビニに到着）   (2023/1/27 08:05:32)

小春六花> んー……コンビニに絶妙に飽きてるけど……無難に赤飯かなぁ……   (2023/1/27 08:07:48)

小春六花> セブンの時代に逆行してるような塩ぶっかけてたお赤飯おにぎり好きなんだよねー。最近がどうかは知らないケド……（ためしてみよ）   (2023/1/27 08:08:34)

おしらせ> 井ノ上たきなさんが入室しました♪  (2023/1/27 08:11:33)

井ノ上たきな> おはようございます…？(ちらり。   (2023/1/27 08:11:44)

小春六花> はろはろー   (2023/1/27 08:13:05)

小春六花> まぁ、もうすぐ仕事なんですけど、9時頃までいるの。   (2023/1/27 08:13:24)

井ノ上たきな> わかりました。大丈夫ですよ。平日ですし。むしろ私みたいな人の方が少ないですからね   (2023/1/27 08:14:07)

小春六花> そんな世界中ぽきぽきされてたらこまるねん……   (2023/1/27 08:16:14)

井ノ上たきな> ぽきぽきのほうじゃなくって、平日にお休み入ってこんなにごろごろ〜ってことですよ、たしかにぽきぽきの方だったら困るというか世界が破綻します……っ   (2023/1/27 08:17:46)

小春六花> あ、今日は普通にお休みの方だった……   (2023/1/27 08:18:54)

井ノ上たきな> 今日は普通におやすみです。いやまぁ、当分おやすみてすが(白目)   (2023/1/27 08:20:12)

小春六花> 早く働けるといいですなぁ……いや……働けないほうがいいのか……？（おめめぐるぐる）   (2023/1/27 08:20:40)

井ノ上たきな> 激務か、怪我での休養か。うーん。選べませんね   (2023/1/27 08:21:30)

小春六花> まぁ私在宅できるので怪我での激務なんだけどね。（ははは）   (2023/1/27 08:23:10)

井ノ上たきな> そのふたつは混ざっちゃいけない(戒め)   (2023/1/27 08:23:42)

小春六花> 在宅の善と悪を垣間見れる   (2023/1/27 08:25:09)

井ノ上たきな> それはやばい……っ   (2023/1/27 08:28:23)

小春六花> 出勤5分前まで寝てて、出社報告したら朝ごはんつくれるのはとても善だから……（よくない）   (2023/1/27 08:29:42)

井ノ上たきな> それは確かに善ですけど……他が悪すぎる   (2023/1/27 08:31:38)

小春六花> 出勤できないでは休めないからね……   (2023/1/27 08:35:20)

井ノ上たきな> まぁ出勤あっての休み……というところでっ   (2023/1/27 08:36:48)

小春六花> 休みたいよぅ……休みたいよぅ……   (2023/1/27 08:37:25)

井ノ上たきな> 今日頑張れば、……？(こて   (2023/1/27 08:39:30)

小春六花> 明日夜勤だなあ（みつを）   (2023/1/27 08:39:41)

井ノ上たきな> 明日の日中休むんですっ(すんっ   (2023/1/27 08:43:53)

小春六花> こんばんは遊び相手探すかぁ……   (2023/1/27 08:45:02)

小春六花> 多分友達とボイチャしてる気もするけど。   (2023/1/27 08:45:11)

井ノ上たきな> したいことをするのですよっ(こくこく   (2023/1/27 08:45:50)

小春六花> たきなちゃんありがとー…！（むぎゅー   (2023/1/27 08:47:08)

井ノ上たきな> 疲れたら私もいますからね(ぎゅ〜。すりすり〜っ   (2023/1/27 08:49:38)

小春六花> 甘えなきゃー……（すんすんすりすり   (2023/1/27 08:51:30)

井ノ上たきな> 甘えるだけじゃなくて……(ぽそ。   (2023/1/27 08:52:48)

小春六花> これから仕事なのに！？（はぐり   (2023/1/27 08:55:20)

井ノ上たきな> 終わったあとに、です(はくはぐ。ぎゅー   (2023/1/27 08:56:14)

小春六花> 終わるの何時かな……（遠い目）（すりすりはぐり）   (2023/1/27 08:57:22)

井ノ上たきな> そんなにかかりそうなんですかっ？(なでなで。ちゅ〜っ   (2023/1/27 08:59:32)

小春六花> 予想がつかないだけー…定時で上がりたいなぁ……   (2023/1/27 09:01:07)

井ノ上たきな> 私は、起きてますからね(こくん。すり、すり   (2023/1/27 09:04:33)

小春六花> おひるねしててもいいのよ？（ほっぺたむに   (2023/1/27 09:04:57)

井ノ上たきな> お昼寝は、ちょっとします(こくり   (2023/1/27 09:05:59)

小春六花> ゆっくりねといでねといで（なでくりなでくり   (2023/1/27 09:06:32)

井ノ上たきな> 六花帰宅アラートにより突然の起床(もそもそ   (2023/1/27 09:09:50)

小春六花> え、なに、私監視されてるの   (2023/1/27 09:10:19)

井ノ上たきな> お家に帰ったら通知が来るだけです(監視ではない、と胸張って)   (2023/1/27 09:11:02)

小春六花> ストーカーの方！？   (2023/1/27 09:12:03)

井ノ上たきな> 護衛です、護衛(ぶんぶん   (2023/1/27 09:15:16)

小春六花> ポキっとしてる人より弱いのわたし……弱いかも……   (2023/1/27 09:15:57)

井ノ上たきな> 正常状態なら、もっと強いですから……！   (2023/1/27 09:17:53)

小春六花> 頼りになるなぁ……（なで   (2023/1/27 09:20:45)

井ノ上たきな> 頼ってくださいっ(こく、こく   (2023/1/27 09:23:29)

小春六花> んもー、たよりにしてるよー？あ、そういえばローソンコラボ？可愛かったー。（なんかついったでみかけたーって。よいしょーって抱きかかえては）   (2023/1/27 09:25:15)

井ノ上たきな> ローソン。あ、見ちゃったんですかっ！？   (2023/1/27 09:33:38)

小春六花> 真顔でハート作ってるやつ。みちゃった。（てへーん）   (2023/1/27 09:34:23)

小春六花> 寝たかなぁ……これは。   (2023/1/27 09:51:50)

おしらせ> 無言時間が25分を超えたため、井ノ上たきなさんが自動退室しました。  (2023/1/27 09:59:15)

小春六花> 護衛できてないじゃん…！   (2023/1/27 09:59:41)

おしらせ> 小春六花さんが退室しました。  (2023/1/27 10:00:08)

おしらせ> 井ノ上たきなさんが入室しました♪  (2023/1/27 11:51:00)

井ノ上たきな> (むく。綺麗に綺麗に寝落ちしていたお顔   (2023/1/27 11:51:12)

おしらせ> 井ノ上たきなさんが退室しました。  (2023/1/27 12:28:55)

おしらせ> クレーさんが入室しました♪  (2023/1/27 12:56:13)

クレー> こんにちはー♪(扉をかちゃりとあげて玄関からやってきて)   (2023/1/27 12:57:45)

クレー> 昨日やってたおにまいの4話みなきゃ…！(リビングのテレビぽちとつけて、録画から再生して)   (2023/1/27 13:06:36)

おしらせ> 小春六花さんが入室しました♪  (2023/1/27 13:13:24)

小春六花> （素で間違えて落下したときの顔）   (2023/1/27 13:13:53)

クレー> わっ…！   (2023/1/27 13:14:18)

クレー> 小春お姉ちゃんこんにちは♪   (2023/1/27 13:14:36)

小春六花> いでで……思ってないタイミングで入るとこう…お尻打つよね（おしり擦りながらご挨拶。痛かったーという顔）   (2023/1/27 13:16:09)

