チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年10月17日 11時44分 ～ 2023年10月24日 00時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

小春六花> ゲームハードは必要になったら買うものだから……（私のPS5とか…PS5とか……。おもにPS5とか。）もう、それを言われると本当に弱い…！（ちゅー…って楽しんでから…ちょっぴりばつがわるそうに）えへへ、いってらっしゃーい。今度はいっぱいいちゃいちゃしようねー♡
  (2023/10/17 11:44:37)

甘雨> ♡（微笑んで、もう一度、ぺこりハート――てててー…）   (2023/10/17 11:46:18)
後藤ひとり> い、いえ今は大丈夫です……あ、お茶はぜひお願いします……(ぺこ)   (2023/10/21 08:38:38)

フェルン ◆> ふふ、この前魔法教えて貰ったんですよ、温かいお茶が出てくるって魔法を……♪(カップを持ってきて、杖を握ればそう言って)………はい、お茶が入りましたよ…♪(カップに温かい良い香りのお茶が注がれ、ひとりさんに差し出し)   (2023/10/21
08:44:09)

後藤ひとり> ま、魔法……！？魔法が使えるんですね………確かにゲームに出てくるような杖ですね………(面白そうにその様子を眺めながらお茶を飲んでみて……)   (2023/10/21 08:46:50)

フェルン ◆> ええ、師匠に教えて頂いて…♪……役に立つ魔法ばかりって訳では無いんですけど……(甘いぶどうをすっぱくしたり、銅像を綺麗にしたり……変なのも色々…なんて)   (2023/10/21 08:50:15)

後藤ひとり> な、なるほど………？そんなへんな魔法もあるんですね………(た、確かに甘いぶどうの方が私は好きです……なんて思わずヨダレが……)   (2023/10/21 08:52:11)

フェルン ◆> すごく…酸っぱかったです……(思い出すだけできゅぅ…と)   (2023/10/21 08:53:43)

後藤ひとり> あ、で、でも逆にそれを酸っぱいのにかければ甘くなるかもですよ……(精一杯のフォローを……！)   (2023/10/21 08:57:40)

フェルン ◆> そうかもしれませんね…甘いのを酸っぱくするのがあるんですし、甘くするのも探せば……どんな物でも甘く…その魔法欲しいですね…♪   (2023/10/21 08:59:21)

後藤ひとり> 魔法を使えるようにするなら……やっぱりモンスターを倒してレベルを上げてスキルアップ……とかなんでしょうか……   (2023/10/21 09:02:04)

フェルン ◆> れべる上げ…ふふ、魔法は使えますが、魔物を倒して経験値が……なんて事は無いですね…？魔導書を探したり、教えてもらったり…そうやって身につけています…♪   (2023/10/21 09:04:20)

後藤ひとり> なるほど……私も魔法使いたいですね……回復魔法とか……瞬間移動とか……   (2023/10/21 09:07:14)

フェルン ◆> 回復に瞬間移動……どれも簡単には出来なさそうですね…   (2023/10/21 09:13:31)

後藤ひとり> ………か、簡単に使えそうな魔法は………ないんですか？   (2023/10/21 09:14:48)

フェルン ◆> 簡単に…でしたらやっぱりお茶を入れたり…あ、服が透けて見える魔法とか？でも…魔力がないと使えませんよ？   (2023/10/21 09:18:20)

後藤ひとり> 服が透けて見えるって言うのはいいかも知れませんね……ま、魔力はどうやって手に入るんですか？   (2023/10/21 09:21:12)

フェルン ◆> 裸を見たいんですか…？(じぃ…)そうですね…修行……が1番だと思いますよ？   (2023/10/21 09:29:57)

後藤ひとり> ま、まぁほら……みんなの夢ですし……(へ、へへへ……)修行……まずは滝に打たれる……見たいな？   (2023/10/21 09:33:26)

フェルン ◆> 夢……でもこれもあまり面白い魔法では…あと見られるのは流石に恥ずかしいですし、教えられませんね…(サッと胸元に手を当て)そういうのも大事ですけど座学も…滝に打たれるのは危ないのでやめてくださいね…？怪我しますよ…！   (2023/10/21
09:38:37)

後藤ひとり> そんなこと言っても……ここに居るとそんなことは日常茶飯事ですよ……(サラリと誤解するようなセリフを……)ざ、座学……苦手ですね……え、えーっとじゃあ………他の修行……瓦割り……とかですか？   (2023/10/21 09:41:28)

フェルン ◆> ……この魔法の事は内緒にしておきましょう…(お口チャック)滝行に…瓦割り……魔法使いと言うより戦士として強くなれそうですね…？(くす)   (2023/10/21 09:43:48)

後藤ひとり> …………内緒にしてても無理やり脱がされるとか……(ありますからね……って念押し)た、確かに……えーっと……魔法使いっぽい修行………お、思いつかない……あ、でも男の人は30歳まで……アレだと魔法使いになれるとか……   (2023/10/21
09:45:44)

フェルン ◆> 結構危険な所ですね……う、気をつけますね…(むむ)三十歳まであれだと…？ひとりさんの世界ではそういう事があるんですね…三十歳で魔力が覚醒したり……でしょうか…(少し気になりますね、なんて)   (2023/10/21 09:50:24)

後藤ひとり> そういうお部屋ですからね……本来は……(私じゃなかったらそういう話が出た時点で脱がされてるかも……なんて)そ、そうなんですよ……ある条件を満たすと魔法使いになれる……見たいな……   (2023/10/21 09:51:37)

フェルン ◆> 思ったよりも過激な……ひとりさんで安心ですね…(ほっ)…ある条件……調べてみる価値はありそうですね…   (2023/10/21 09:57:59)

後藤ひとり> 私もたまに脱がされたりしますし……(目逸らし)あ、はい……(変なこと言ってしまったとアセアセ……)   (2023/10/21 10:02:31)

フェルン ◆> ひとりさんも…ま、まぁ…ひとりさんもお気をつけてくださいね……(苦笑)   (2023/10/21 10:07:46)

後藤ひとり> あ、いや……合意の元……というか……なんというか……(目逸らし)   (2023/10/21 10:10:30)

フェルン ◆> 合意の元…ということはひとりさんもそれを受け入れていると…(じっと見つめながら問い詰め)   (2023/10/21 10:15:33)

後藤ひとり> ま、まぁ……余程のことが無い限り断るのは………(顔を横に逸らして)   (2023/10/21 10:19:16)

フェルン ◆> なるほど……では私もひとりさんを求めてみましょうか…(距離を詰め手を伸ばしてみて)……ふふ、冗談ですけど……こんな早い時間ですし…   (2023/10/21 10:21:59)

後藤ひとり> っ！？……//よ、夜ならいいんでしょうか………///(唐突に積極的になったフェルンさんにびっくり……)   (2023/10/21 10:25:57)

フェルン ◆> …そう……ですね、夜でしたら……？(思ってた反応と違ってこちらも少しびっくり…)   (2023/10/21 10:27:23)

後藤ひとり> じゃ、じゃあ夜に会えたら………(モジモジ…)   (2023/10/21 10:30:24)

フェルン ◆> は、はい…会えたら、ですね…(少し頬を赤くしながら目を逸らし)   (2023/10/21 10:33:36)

後藤ひとり> まさか受け入れてくれるとは……(お礼代わりに軽く抱きついて…)   (2023/10/21 10:35:40)

フェルン ◆> 私も少し驚きましたけど……ん…(抱きつかれれば背中を撫で)   (2023/10/21 10:39:51)

後藤ひとり> ふかふかですね……(あたたかさににヘラ)   (2023/10/21 10:43:21)

フェルン ◆> ふふ…そうですか…？(にこりと微笑みながら)   (2023/10/21 10:47:56)

後藤ひとり> はい……結構柔らかくて……(温もりに包まれて眠そうに……)   (2023/10/21 10:48:54)

フェルン ◆> 柔らかく……ふふ、ひとりさんも暖かいですね…？(優しく撫でながら軽く抱きしめ)   (2023/10/21 11:02:05)

後藤ひとり> えへへ……♪と、すみません少しだけ眠気が……(抱き合いながらウトウト……)   (2023/10/21 11:05:55)

フェルン ◆> もう少ししたらお昼ですし、お昼寝しては…？(なで…)   (2023/10/21 11:12:59)

後藤ひとり> ですね……また今度よろしくお願いします……♪(そのまま心地よいのか寝てしまおうと……)   (2023/10/21 11:14:03)

フェルン ◆> はい…♪ゆっくり休ん……と、このまま寝たらさすがに風邪引きますよ……？(ベッドに行きましょう…と)   (2023/10/21 11:15:57)

後藤ひとり> あ、す、すみません……(すらすらしながらもベッドの上へ……もそもそ布団をかぶり)   (2023/10/21 11:18:14)

フェルン ◆> ふふ、ちゃんと布団に入って、ゆっくり休んでくださいね？   (2023/10/21 11:18:49)

後藤ひとり> で、ではおやすみなさいです……(布団にはいりすやり……)【朝からお、御相手ありがとうございました…】   (2023/10/21 11:20:21)

フェルン ◆> 【こちらこそ…♪ふふ、またお会いしましょうね…♪】   (2023/10/21 11:23:26)

後藤ひとり> 【ではまた今度……♪】   (2023/10/21 11:24:10)

おしらせ> 後藤ひとりさんが退室しました。  (2023/10/21 11:24:11)

おしらせ> フェルン ◆gAmHDzY8Wcさんが退室しました。  (2023/10/21 11:25:48)

おしらせ> BBペレさんが入室しました♪  (2023/10/22 02:42:24)

BBペレ> はいはーい、今日も深夜なBBちゃんでーす★　深夜なので割りとゆるゆるふわふわモードかもしれませんが、すこーしだらだらさせてもらいますねえ（ソファに腰を沈めて、だらーん）   (2023/10/22 02:43:04)

BBペレ> 今日はさすがに無理ですかねえ、BBちゃんはひとり寂しくもぞもぞまさぐりながら寝ちゃいます。おやすみなさーい   (2023/10/22 02:59:47)

おしらせ> BBペレさんが退室しました。  (2023/10/22 02:59:51)

おしらせ> コッコロさんが入室しました♪  (2023/10/23 01:08:10)

コッコロ> 夜分遅くに失礼致します…。（ぺこりとお辞儀をしてからお部屋へと姿を現し）   (2023/10/23 01:08:53)

コッコロ> せっかくの週末に顔を出せなかったのは無念にてございます…   (2023/10/23 01:11:28)

コッコロ> こういう日もあると割り切りませんと…無理をしてもよろしくありませんしね。   (2023/10/23 01:15:30)

コッコロ> さてと、こうして顔を出してみると頭が働いてないことがわかりましたね…何も思い浮かばないとは…。ご迷惑をおかけする前に帰ると致しましょうか。それでは失礼致します…（ぺこり）   (2023/10/23 01:20:40)

おしらせ> コッコロさんが退室しました。  (2023/10/23 01:21:05)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/10/23 09:38:54)

後藤ひとり> ねむっ……(うとうと)   (2023/10/23 09:41:45)

おしらせ> 後藤ひとりさんが退室しました。  (2023/10/23 10:21:46)

おしらせ> スレッタさんが入室しました♪  (2023/10/23 14:06:36)

スレッタ> （構える必要なんてどこにもないのに開き戸をそろぉと押して静かに中を覗き込む新参者は、まるで野生のタヌキのように警戒しつつも好奇心を抑えきれない様子で中を見回して。まるでゲストハウスのような、大きく間取りされたリビングはソファもキッチンもテーブルも誂えてあり大きく開かれた窓からは昼間の暖かな陽光が差しこんで）……お、お邪魔っ、します…。
  (2023/10/23 14:11:17)

スレッタ> （お邪魔しますと言いつつも一歩踏み込めないこちらは、女性にして高い身長を持て余すようにまだ入り口の扉付近でおどおどときょろきょろと足踏みをしていて。）「お好きに、どうぞ」って書いてありました…から、入ってもいいんですよね。あの窓辺、なんかお昼寝するのにすごく気持ちよさそうです…っ。…うぅ、勇気出さなくちゃ…。
  (2023/10/23 14:16:05)

おしらせ> ミオリネ･ﾚﾝﾌﾞﾗﾝさんが入室しました♪  (2023/10/23 14:24:36)

スレッタ> 進めば一つ…進めば一つ…、手に入る……。（母親から教え込まれたおまじないを口にして、ようやく落ち着きを取り戻すとブーツはゆっくりゆっくりとフローリングを踏みしめて中へと。見慣れない物ばかりの中、まっさきに向かったのは窓辺で。人口の光しか知らない故に、自然光を浴びればその温かさにびっくりして、体育座りをすると自然と顔が緩んで）
  (2023/10/23 14:24:44)

ミオリネ･ﾚﾝﾌﾞﾗﾝ> …さっきから見てたけど、あんた何してんの…？(中々部屋に入らず入口付近でそわそわしているのを観察していて、続いて中に入り後ろから声をかけてみて)   (2023/10/23 14:26:36)

スレッタ> 【日光浴びてる下記の描写は無かったことにしてください…っ】　…ひぁっ？！（急に声を掛けられて肩をびくつかせて振り向けばよく知ってる顔、怯えたように下がっていた眉がみるみる持ち上がり）…あぁぁ、ミオリネさん…っ、こ、此処入っていいって、でも、でも…っ（気が緩んでしまって彼女に駆け寄ると即座に背中に隠れてしまって）
  (2023/10/23 14:30:46)

おしらせ> 無言時間が25分を超えたため、ミオリネ･ﾚﾝﾌﾞﾗﾝさんが自動退室しました。  (2023/10/23 14:51:42)

スレッタ> ―…ミオリネさん？　わっ…（返事がない相手、背中に身を寄せていたこちらは彼女の体が傾いだと知るや咄嗟に抱きかかえ。戸惑いながらも怯えたような振る舞いとは裏腹にしっかりとした所作で抱き上げると、戻ろうか、それとも中のソファへと横たえようかと逡巡しつつも感謝を込めて呟いて）…私が心もとないから、心配して、来てくれたんですね。ありがとうございます…。…（ブーツが先へ進もうか、後ずさろうかと一歩、一歩と前進と交代を繰り返して）
  (2023/10/23 14:55:38)

おしらせ> 東北ずん子さんが入室しました♪  (2023/10/23 14:55:53)

東北ずん子> ずんだー、ずんだはいらぬかー(ぬーっと、背中に怪しい気配が、見えたり見えなかったりするかもしれない)……ふっふっふ、そこのお嬢さん……お困りですか……このずんだが全て解決してもいいですよぉ(スレッタの見えない死角から声が小さく聞こえる。単純にぬっと迷う彼女の背中から顔を出そうとしている所なのですが)
  (2023/10/23 14:58:11)

スレッタ> …ズンダ？（聞き覚えの無い言葉思わず真似して口にすれば、ミオリネさんを抱き上げたままきょろきょろと声の元へと顔を巡らせて。み、見えない…です！）ず、ずんださんでしょうか…！？お困りです、あのっ、ソファーお借りしても、いいですか？！（スレッタの視界は前方や天井付近をきょろきょろと。背後の気配に気づいてなくて）
  (2023/10/23 15:01:40)

東北ずん子> ずんださんですよー♥あ、いえ、ずんこですよー(とんとんっと、スレッタの肩を軽く叩く。抱え上げたミリオネさんが落ちないように注意はしてあげて)ともあれ、どうぞどうぞ…何が何だかよくわかってませんが……そんなに慌てなくてもゆっくり。自由にお部屋は使ってもいいので心配しないでくださいっ…はい、深呼吸―(おためしにーなんて背中からそのまま声を掛けつつ、心配そうに顔を出そうと彼女に見えるよう身体をずらし)
  (2023/10/23 15:04:54)

スレッタ> （名前、どっち…？！決めかねているこちらは一先ず置いておいて、ゆっくりと後ろを向くと新緑髪の少女を見つけて「あ」と小さく声を上げて。どうやらこの部屋のことよくわかっているようで、安心したように強張っていた肩を下ろして、言われるがままに深呼吸。すーはー、落ち着きました‥）ありがとう、ございます…失礼しますね。ちょっと、眠っているだけだと思うので、寝かせてあげたいです。（ミオリネさんを心配してるだろう優しい彼女に安心させるように言うと、一緒に部屋に入ろうと足を踏み出して。自己紹介は後でいいかなと）
  (2023/10/23 15:10:09)

東北ずん子> …えーっと、東北ずん子です(とりあえず混乱したままにするのもと思って一言だけ。深呼吸した後に改めるように部屋に案内していく。ひとまずと手慣れたように緑茶とずんだもちを用意して。お部屋の中のテーブルにとんっとおいていく)あらためまして、こんばんは？なんだかこう…大冒険？してたかしてないのかよくわかりませんが、おじゃましてしまったでしょうか(どうぞってキラキラしながら振舞いつつ彼女をくいいるようにみつめて)
  (2023/10/23 15:15:26)

スレッタ> よい…しょ。（ソファにミオリネさんを下ろすと一先ず安心。隣に行儀よく座れば出されたお茶と…何だろう。好奇心でじーとずんだ餅を見つめるものの、引っぺがすように顔を上げると、ほっとした面持ちのまま自己紹介）東北さん、でしょうか。初めまして、私はスレッタ・マーキュリーです。スレッタって呼んでください。（ファーストネームが先になっちゃうこちらは見事に間違えて。さっき、ずんこさんって言ってたのに…。）お邪魔じゃないです、素敵なところだなって、でもなかなか入れなくて、おかげで助かりました。（首をぶんぶんと振ると、背中を押してくれたおかげだと感謝を口にして）
  (2023/10/23 15:21:14)

東北ずん子> ずんこです♪(ミリオネさんを下ろした後にスレッタの顔に安心したのか改めるようにずずいっと距離を詰めていく。用意したずんだ餅をスレッタの方に見せつけて)よろしくよろしくお願いしますね。スレッタさん(どうぞどうぞってついでにちょっと強引にそのずんだ餅も食べさせようとしつつ身体をよせ)確かに、中々いい場所ですよねー。いろんなものがありますし。ゆっくりと過ごしたりもできますし。可愛い人にも合えるのでついつい顔を見せちゃう事はあります
  (2023/10/23 15:28:19)

スレッタ> ひっ…ご、ごめんなさい、ずん子さん…？（ファーストネームを間違えたことにやっと気づき、距離を近づけられたのはその怒りを圧でもって思い知らせようとしてるのだと勘違いしたこちらは思わず謝罪を口にしてソファに背中をのけ反らせてしまって。…でも美味しそうな食べ物には勝てません。トマトにすら感動しちゃう水星出の田舎者ですから。差し出されたずんだ餅を前にごくりと喉を鳴らして口を開けて。どうぞ放り込んでください。）私のいる世界では見た事ない物ばかり、ですっ。か、可愛い人……ずん子さんはその人達とはお友達…なんでしょうか？（この部屋のことを親切に教えてくれる彼女に身体をすり寄せられるまま、ふんふんと真面目に頷き、「友達」と決めつけてしまうこちらで）
  (2023/10/23 15:36:03)

東北ずん子> ……その怖がり方は予想外ですが。スレッタさんって言われたいのとおなじように。私もずんこって言われたいって意味合いですよー(中々面白い反応を示す相手にホクホク…大きく開いた口を堪能しちゃうのも…と一瞬だけかんがえつつもすなおに枝豆の混ざった甘いお菓子。ずんだ餅をスレッタさんのお口にあーんっと放り込んで)そうですね、皆さんとお友達……のつもりですけど…仲良しになりたいなぁって。もちろん、スレッタさんとも友達になりたいですよっ(単純に判断してしまい素直に頷く)
  (2023/10/23 15:39:34)

スレッタ> な、なるほど…じゃあ、ずん子……。（さん付けを消して口にするもみるみる動揺に顔がほんのり赤くなり）ずん子さんでっ、お願いします…。いきなり呼び捨ては失礼だって、お母さんが…。（少し言い訳も交じりつつ申し訳なさそうに眉をしょげさせつつ。それはそれ、口に放り込まれた甘い匂いがするお菓子、ずんだ餅を噛みしめれば……？？？！！）―――美味しいです！んんっ……甘くて、柔らかくて…っ。（初めて甘露を口にしたかのような反応、あっという間に噛みしめて喉に流し込まれれば、幸せのため息と共に目が輝いて。餌付けされた野生動物のようにキラキラと彼女を見る目が変わっているような）―私も、ずん子さんと仲良く、なりたいです！あの、よろしくお願いします！（声が弾んでテンションが上がってます。握手を求めて褐色の手を差し出せば、こちらはもうお友達気分でいて）
  (2023/10/23 15:48:40)

東北ずん子> …………その流れは友達、では……な(こちらまではずかしくなるものの…美味しそうに食べてくれる様子を見ながら、きゅっと白い手で握り返して)ふふん、そうでしょう。私のおすすめなんです、ずんだ餅……スレッタさんが気に入ってくれればとっても嬉しいですし。もちろんなかよくもしましょう(ぶんぶんっと手を振りながらも顔を少し赤くしたまま、ふぅっと息を吐いて)……とはいえ、だからどうしようってなっちゃうんですよねぇ……いやぁ。お友達っていうと私基本…スキンシップでしか伝える方法知らなくて……スレッタさんは…このお部屋に迷い込んで何か探しに来たんですか？(色々考え込みながらも、思い返すように小さく首傾げ)
  (2023/10/23 15:54:07)

スレッタ> （自分と異なる白いキレイな手を嬉しそうににぎにぎとしながら、彼女の戸惑いに小首を傾げるこちらで。美味しい食べ物をくれなんて良い人だと、先ほどの臆病さがなりを潜めて自然と笑顔が浮かんで。顔を赤くする彼女、よもや握手程度でとは思わず手を握ったままそっと自らの膝の上に置けば）…例えば、どんなスキンシップがあるのでしょうか。私に、試して、見て貰えませんか。…あ、軽く、お願いします…。（何やら迷いがある様子に、この部屋には何か特別なものがあるのかと、ならばそれに従おうとそっと背中を丸めて顔を覗き込んで）私はただ好奇心で…あと、人に言われたんです。「ここに来ると、楽しいよ」って…
  (2023/10/23 16:02:53)

スレッタ> （人→ある人）   (2023/10/23 16:03:53)

東北ずん子> ……スレッタさんって面白い人ですね……ふふ(それならっとそのまま手をしっかり握りしめて。彼女と距離を詰める。少し腰を上げるとふわりと大きな胸がスレッタの身体に…ぐっと弾力が伝わるように凭れかかり…身体を少し密着させるように軽く抱擁して)中々難しいですねぇ…とりあえずこんな感じでお友達という感覚をたのしむというのでどうでしょうか(にぎにぎ…っと手と手を握り合わせて。顔と額と額がくっついちゃうかもしれないくらいの近い距離間)こんな感じで…いっぱい触れ合うのがすきなんですよねー…キスとか…そういうのもすきですけど…それは人によって価値観違いますしねぇ(じーっとその青い瞳の奥を見つめるように目と目と合わせ)
  (2023/10/23 16:11:12)

スレッタ> 進めば二つ…ですからっ。でも面白いなんて言われたの初めてです…バカとか、そんなのばっかりで…えへへ。（多分褒められているのかな？と嬉しそうに笑顔を綻ばせれば、彼女の言うスキンシップは当然相手任せ…。今でも十分に距離が近いのにさらに密着すれば、お互いの衣越しにこちらもそれなりにある胸が彼女の大きな胸と触れ合って、自然とこちらの顔がさらに赤くなり）……この距離が、お友達……。ずん子さんはずいぶん、大胆なんですね。私の認識がちょっと、追いつかないような…。（身長差があるせいか、やや臆病な様子で顔を後ろへそらせば容易に距離が開き、「ごめんなさい…」と小さく謝って。でも両腕はそっと背中へ回せば抱擁に応えるようにきゅっと引き寄せて）…キ、キスは、大事な人と…うぅん、大事な人は一人きり、とは限らないのでしょうか…。（彼女の温かみのある茶色の目を見つめると、認識の違いをまざまざと思い知り）
  (2023/10/23 16:23:38)

スレッタ> 【すみません、用事がありまして次のレスで落ちるか、気絶しようと思います！こんな時間に来てくれて、ありがとう、ございます！また来ます！】   (2023/10/23 16:24:19)

東北ずん子> 【おっと、お疲れ様です！】   (2023/10/23 16:24:52)

東北ずん子> まぁ……その辺は、スレッタさんの出来る程度に。仲良しになれるようにいろいろ、勉強しましょ(軽く彼女の頬をつつくと。満足したように身体をそっと離して)距離感は人それぞれですし、それを含めて楽しむのが私なので♪いくらでもこれから時間はありますから。いつでもきてくれれば…スレッタさんが忘れたか。思い出したときにまた飛び込んでくると思いますので(気楽さを残しつつひらひらと手を振ると…あっと)あ、大事な人は一人だけじゃなくていいとおもいますー、だから、キスはだれとでも、していいかな、なんて♥(しれっとスレッタさんに吹き込み、その効果がどれだけあるかは素知らぬ顔)
  (2023/10/23 16:28:22)

スレッタ> は、はい！私、このお部屋のこと、もっと知りたいです…！あと、今度は私も何か持ってきますね。美味しいずんだ餅…ありがとうございました。（彼女が身を引くと同時に腕を解くと初々しく体の緊張を解いてほぅと息をついて。彼女の思いやりと優しさを感性で感じれば、やはり良い人だと笑みを絶やさずに。あとしっかりと赤タヌキは餌付けされましたよ。）わ、私も、見かけたら飛び込みます…！他の綺麗な人にも会ってみたい、ですし…っ。（好奇心は隠せずに彼女だけでなく他の来訪客へも思いを馳せれば、そろそろ時間かとソファを立ち、隣で寝こけている同じ世界の住人を抱き上げて）―ひゃい…？！キキキスは誰とでも…‥、あ、あの、今度見学とかさせてくださいね…、それじゃあ、また…ずん子さん。（実践よりも見学したなぁとびくびくと興味と驚きがないまぜになった顔を向ければペコリとあいさつ代わりに頭を下げて部屋を出ていきます。ありがとうございました…）
  (2023/10/23 16:38:02)

おしらせ> スレッタさんが退室しました。  (2023/10/23 16:38:14)

東北ずん子> よし、いきますか(ごそごそ、よいしょ   (2023/10/23 16:57:42)

おしらせ> 東北ずん子さんが退室しました。  (2023/10/23 16:57:45)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/10/23 18:05:37)

結月ゆかり> 帰りました。結月ゆかりです。   (2023/10/23 18:05:53)

おしらせ> 無言時間が25分を超えたため、結月ゆかりさんが自動退室しました。  (2023/10/23 18:32:18)

おしらせ> ロゼスタリアさんが入室しました♪  (2023/10/23 22:18:36)

ロゼスタリア> 少しのあいだお邪魔をさせていただきますね   (2023/10/23 22:18:58)

ロゼスタリア> 私が入るといつも視線を多く感じるのですが……。何か気になることでもあるのでしょうか。   (2023/10/23 22:29:38)

おしらせ> ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆96.bXirfZe6Sさんが入室しました♪  (2023/10/23 22:31:34)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> んーーっ…あ、やっぱりこの前の……やほー…？邪魔しちゃってもだいじょぶ？(ひょこっと人気に釣られて顔を覗かせながら   (2023/10/23 22:32:26)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> んー？…寝ちゃったかな……私も気を付けなきゃ…(おーいと、目の前で手フリフリ   (2023/10/23 22:40:52)

おしらせ> トール ◆KYU4xJUDfn8Iさんが入室しました♪  (2023/10/23 22:44:45)

トール ◆> (ひょこ)   (2023/10/23 22:45:07)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> …んん？…あ、あー…………………さくじつはおたのしみでしたね♪(ニマニマ笑顔を浮かべてレトロなお約束を   (2023/10/23 22:45:46)

トール ◆> …………見てたんですか！？……////   (2023/10/23 22:46:30)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> ふふ………可愛かったよー……♪(口に手を当てながらω的な   (2023/10/23 22:47:16)

トール ◆> あ、あれは……あれです！お仲間のドラゴンだからですからね！？みんなにあぁしてるわけでは…(あわあわと弁解)   (2023/10/23 22:50:29)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> 解る､解るよ……ふふふー…♪(うんうんと満足気に頷いて   (2023/10/23 22:52:14)

おしらせ> 無言時間が25分を超えたため、ロゼスタリアさんが自動退室しました。  (2023/10/23 22:54:42)

トール ◆> 分かってませんよね！？……////^にしてもまさか見ていたとは……(ぷいっと背を背け)   (2023/10/23 22:54:44)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> えー、そんな事ないよー…？やっぱり、嬉しいものだよねー…♪(逸らされても尚気にせず笑顔で   (2023/10/23 22:55:49)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> お休み……んー……これはちょっと見込み無いかなぁ……(ぼそ…   (2023/10/23 22:56:08)

トール ◆> まぁたしかに同作の人(ドラゴンですが！)が来て嬉しかったですけども……寝てしまいましたね……この人(つんつん)   (2023/10/23 22:56:57)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> 仲良い娘が増えるのは大事でしょ勿論…♪　ん、まぁ寝ちゃったものは仕方無いねー……私もやらかす側だし昨日もそうだし…   (2023/10/23 22:58:20)

トール ◆> と、とにかくっ……本当は小林さんラブなんですからね！私は！……(プンプン)この人前も寝落ちしてませんでした？気のせいでしょうか…   (2023/10/23 23:00:30)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> ふふー…解ってる解ってる…♪(頭をぽむぽむと)んー、まぁ仕方無いって、人なんて何時寝ちゃうか解んないしさー…？   (2023/10/23 23:02:18)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> あ……んー……まぁ仕方無い、か…(ぽつり……   (2023/10/23 23:03:02)

トール ◆> んむぅ…分かってなさそうです……あ、カムイのこと狩らないでくださいよ！？(じぃ)私も昨日は眠気の戦いでしたから…   (2023/10/23 23:03:10)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> えぇぇ……酷いなぁ……トールとはあんなのやそんなのまで…(およよー、と泣き真似して)あ、あの娘カムイって言うんだ…？さ、流石に早々狩らないよっ…！？風評被害っ…！　実際寝ちゃったしねー私なんて…  
(2023/10/23 23:04:45)

トール ◆> 嘘泣きはダメですからねっ……あんなのやそんなのって……も、もう……(しっぽでぺちぺち)カンナカムイですよっ！私よりも幼い子なんです……狩らないなら良いのですが……仕方ないですよ。人もドラゴンも眠気には敵いません……(うんうん)  
(2023/10/23 23:06:42)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> えー…えーっ…Σちょ、痛い痛いっ…！(慌てて飛び退いて)あ、そこまでが名前なんだ………ふぅん……トールはあんな娘に…(改めてニマニマと)ま、そうだよねー…私もどれぐらい保てるかなー今日は……  
(2023/10/23 23:08:55)

トール ◆> そんな本気で叩いてませーん！(わーわー)そうなんですよ……ってそこはいいですから！あれはその場の雰囲気というか……(この話はおしまいです！おしまい！)…私は日付変わる頃には……明日も早いので   (2023/10/23 23:11:12)

