チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2025年06月02日 01時30分 ～ 2025年07月23日 00時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

マツリ> ん～…なんかもう動くのだるいっす…（目も開けられない状態…）   (6/2 01:30:15)
新条アカネ> まぁその時次第かな……(撫で受け)   (6/16 22:14:38)

B B> それなら、普通に寝かしつけてしまいましょうか（ころころと）   (6/16 22:15:21)

新条アカネ> ごめんね、また起きて空いてる時に遊ぼうね   (6/16 22:19:35)

B B> ちゃぁんと起きてるときにしっかりとですねー   (6/16 22:20:45)

新条アカネ> それじゃあまたねぇ   (6/16 22:20:58)

おしらせ> 新条アカネさんが退室しました。  (6/16 22:21:07)

おしらせ> B Bさんが退室しました。  (6/16 22:21:43)

おしらせ> 花火さんが入室しました♪  (6/17 03:13:04)

花火> こんな夜更けにこんばんは〜♪って誰も来ないだろうけど〜♪   (6/17 03:13:21)

花火> 4時くらいには撤退しよっかな〜♪誰も来なさそうだったらね♪   (6/17 03:20:53)

花火> 4時まで〜って言ってたけど眠くなっちゃった♪またね♪   (6/17 03:42:52)

おしらせ> 花火さんが退室しました。  (6/17 03:42:55)

おしらせ> 新条アカネさんが入室しました♪  (6/18 21:14:24)

新条アカネ> 今日も今日とてやっと終わったわけで……疲れたぁ……(今日は暑すぎる。熱中症になるってぇと愚痴りながらも冷蔵庫からキンキンの麦茶を出してごくごく飲みながら服がはだけてるだらしない格好でソファに座り)   (6/18 21:15:27)

新条アカネ> うー……ひんやりしてて気持ちいい～♪にしてもまだ水曜日って…あと2日も持たないっての(麦茶を飲みながらもため息を1つ。体感的には既に金曜日の様子…)   (6/18 21:25:55)

おしらせ> B Bさんが入室しました♪  (6/18 21:35:54)

B B> 暑いですねー（どろどろと溶けそうですよーとぐったりと覗き込みつつ、ドリンク取り出して）   (6/18 21:36:18)

新条アカネ> ひっ……びっくりしたぁ……BBかぁ……(唐突に声をかけられながら見上げて)   (6/18 21:38:45)

B B> BBちゃんですよー？（ふふーんと上から見上げていつものようにじいっと）   (6/18 21:39:10)

新条アカネ> 最近BBよく見る気がする(見つめ返して)   (6/18 21:40:35)

B B> そうですねぇ…暇そうなところを覗きに来てたり（つんつんと   (6/18 21:41:27)

新条アカネ> 私を覗いても面白いところは何も無いけどね(つつかれてぐえーっとなり)まぁほかに人もいないから仕方ないか   (6/18 21:42:07)

B B> 面白い事をしちゃいますー？　というわりには力尽きてる雰囲気が多いですからねぇ（つんつくつんと）   (6/18 21:44:21)

新条アカネ> 否定はしない。水曜日は確定で遅くなるからね……と言いつつも全く相手にしないのも罪悪感があるから……(むぎゅっとハグをしてみて)   (6/18 21:45:21)

B B> 元気ならそれはそれで愛でてしまうのがいいんですけどねー（ぎゅうっと抱き返して）   (6/18 21:46:15)

新条アカネ> 元気では無いけど元気を補充しよう。帰るまでだけど……(抱き合いながらほっぺたをすりすり)   (6/18 21:48:25)

B B> そのうち帰さなくなりますよーと（ちゅっと頬にキスをして背中に指を這わせて）   (6/18 21:49:50)

新条アカネ> それは困る～終電…無くなっちゃったね？♡って奴？(キスをしながら背中も撫でてみて……)   (6/18 21:51:08)

B B> えぇ、もう戻れませんよーとたっぷり襲われてしまうんですね（唇を重ねなおして舐める）   (6/18 21:51:43)

新条アカネ> 金曜日ならともかく他の日にされたら明日に支障が～(唇を重ねつつも目を蕩けさせて)   (6/18 21:53:15)

B B> 金曜日に捕まえた時にそのまま…ということになるかもしれませんねー（目元に指を這わせて擽り）   (6/18 21:54:35)

新条アカネ> まぁその前にぐーすか寝る可能性もなきにしも非ず……(目元を触られてびっくり)   (6/18 21:58:05)

B B> そして夢の中であんなことからこんなことまでと   (6/18 21:58:24)

新条アカネ> その性癖は無いねぇ……(おっぱい触って)   (6/18 22:01:06)

B B> 箱庭で色々やってそーですけど（ムニムニと胸を押しつけつつ）   (6/18 22:02:35)

新条アカネ> それはそれってやつっ……(胸同士を押しあって)   (6/18 22:03:32)

B B> というわけで箱庭でいちゃいちゃっとしたりもするんですねぇ（むぎゅむぎゅちゅーっと）   (6/18 22:07:15)

新条アカネ> まぁその時はその時……だね？(ちゅっ……むぎゅ～)   (6/18 22:09:32)

B B> そしたらアカネさんがどんどん蕩けちゃうかもしれませんねー（なでなで   (6/18 22:11:25)

新条アカネ> 楽しみだね？今日はそんな時間ないけど……(撫で受け)   (6/18 22:12:56)

B B> えぇ…蕩けるのが楽しみですねぇ……時間があるときでいいんですよー（おでこにちゅ）   (6/18 22:14:09)

新条アカネ> やっぱり土日とかになるのかなぁそうなると……(唇にもキス)   (6/18 22:15:23)

B B> 週末にまったりどろろんと（舌先を甘く差し入れて歯をなぞって）   (6/18 22:15:50)

新条アカネ> その時を楽しみにしてるね？……♪(舌を絡めていって)   (6/18 22:19:16)

B B> その時はしっかりと染めちゃいましょうねぇ…（唾液を交換しては唇を離して唇の横にキスをしなおして）   (6/18 22:20:20)

新条アカネ> んっ……今日はあと20分くらいしかないから無理だけど……(唇を離して)   (6/18 22:24:09)

B B> （唇を押さえて指先をなぞって）……なんだかんだでアカネさんを独り占めしてるみたいな雰囲気もあったりなかったり？   (6/18 22:25:34)

新条アカネ> まぁほかに人が来ない状況だし仕方ない……(唇に着いた指をチロチロ)とりあえず今日は解散……になるかな？   (6/18 22:28:09)

B B> えぇ、仕方ないですねー。ゆっくりとやすんじゃいましょうかー（舐められて濡れた指で頬をなぞって）   (6/18 22:28:50)

新条アカネ> ごめんねっ意外とヘトヘト……もしかしたら寝る前とか来るかもしれないけど(またねと手を振り)   (6/18 22:29:59)

おしらせ> 新条アカネさんが退室しました。  (6/18 22:30:01)

おしらせ> B Bさんが退室しました。  (6/18 22:30:19)

おしらせ> 暁美ほむらさんが入室しました♪  (6/18 22:44:26)

暁美ほむら> ...さっきまで誰かいたみたいね...（椅子に座っては待機の構えを...）   (6/18 22:44:54)

暁美ほむら> 誰か...きてくれれば良いけれど...（小さく背伸びをして...）   (6/18 22:55:07)

おしらせ> 無言時間が25分を超えたため、暁美ほむらさんが自動退室しました。  (6/18 23:20:17)

おしらせ> 新条アカネさんが入室しました♪  (6/19 00:00:21)

新条アカネ> ふわぁ……添い寝相手募集しよあかなぁ   (6/19 00:00:33)

おしらせ> ペコリーヌさんが入室しました♪  (6/19 00:05:56)

ペコリーヌ> こんばんは☆アカネさんっ☆   (6/19 00:06:10)

新条アカネ> いらっしゃーい♪(むぎゅ)もう日付も変わっちゃったけどね   (6/19 00:06:57)

ペコリーヌ> この間ぶりですねっ☆（ぎゅー）あまり無理せず、この間よりは早めに寝ましょうねっ☆   (6/19 00:07:46)

新条アカネ> この間ぶりっ……♪(むぎゅっ)ペコリーヌこそ明日は早くないの？♡   (6/19 00:08:22)

ペコリーヌ> 今日はクタクタですが……それでも早くはないので♡   (6/19 00:08:55)

新条アカネ> 私もヘトヘトだよぉ……いいなぁ私は明日もおなじ時間だよ……♡   (6/19 00:11:09)

ペコリーヌ> この間、だいぶ辛そうでしたからね……（むぎゅっ♡）   (6/19 00:12:06)

新条アカネ> 寝坊しかけたよ…♡まぁいいんだけど……♡(抱き合って頬ずり♡)   (6/19 00:12:45)

ペコリーヌ> もう、無理はいけませんよ……♡（頬擦りしながら触れるだけのキスをして♡）   (6/19 00:14:04)

新条アカネ> もちろん……♡………今日はどうする？お部屋……入っちゃう？♡(唇を少しだけ重ねるキス♡)   (6/19 00:14:58)

ペコリーヌ> お部屋、行きたいって顔してますよ……♡（ペロッと唇を舐めながら♡）   (6/19 00:16:10)

新条アカネ> んっ……♡まぁ否定はしない……ほんとに前よりは早めに寝るよ？♡(唇をペロリと舐め返して♡)   (6/19 00:17:13)

ペコリーヌ> なら行きましょうか……♡お部屋、待ち合わせに準備しましたよ……♡（アカネの手を取って）   (6/19 00:18:15)

新条アカネ> それじゃあお部屋にレッツゴー……♡(手を握りながら一緒に奥の部屋に♡)   (6/19 00:18:46)

おしらせ> 新条アカネさんが退室しました。  (6/19 00:18:50)

おしらせ> ペコリーヌさんが退室しました。  (6/19 00:18:54)

おしらせ> BBペレさんが入室しました♪  (7/11 03:43:23)

BBペレ> 久しぶりのBBちゃんでーす💕　ものすごーく遅い時間なのでちょっぴり望み薄ですけれども、少しのんびりさせていただきますねえ💕（ぼふ、とソファに腰掛けて、端末ぽちぽち暇つぶし）   (7/11 03:44:18)

BBペレ> さすがに夜明け前の時間では無謀でしたかねえ。残念ながら出直してきまーす、ではでは💕   (7/11 03:59:53)

おしらせ> BBペレさんが退室しました。  (7/11 03:59:57)

おしらせ> マツリさんが入室しました♪  (7/15 01:21:57)

マツリ> 超絶久々に来た気がするッス♪   (7/15 01:22:46)

マツリ> こんな時間だし誰かに会える気はしないっすけど…作業ついでにってことで♪   (7/15 01:25:02)

おしらせ> アンビーさんが入室しました♪  (7/15 01:32:55)

アンビー> …深夜にこんばんは。（ぺこ。）   (7/15 01:33:09)

マツリ> おっ？こんばんはッス！！まさかの誰かが来てくれたッスね♡（書類から顔上げてにこー♡）   (7/15 01:34:35)

アンビー> 始めまして。私は邪兎屋の従業員、アンビー・デマラ。よろしく。（顔をじーっとみて、再度会釈。）   (7/15 01:36:45)

マツリ> 始めましてっす♡自分は王宮騎士団（ナイトメア）見習い団員のマツリっていうッス！こちらこそよろしくっすよ～！（じぃっと見つめ返して、よっぽど嬉しいのか虎耳をぴこぴこ揺らして満面の笑みを返し）   (7/15 01:39:35)

アンビー> ん……。こんな時間までお疲れ様、マツリ。（ほっ、と一息つき、揺れる虎耳をちらちらみながら隣に腰掛けて。）   (7/15 01:40:59)

マツリ> これも任務の一環ッスから！復習って感じで目を通してただけなんすけどね♡（にへっと緩い笑みを浮かべ、これが気になる？と、頭を差し出すようにして虎耳を見せつけて♪）   (7/15 01:43:11)

アンビー> 偉いね……でも、休むことも大切。（こくん、と小さく頷きつつ…頭を差し出されると、半ば反射的になでなで……って。）   (7/15 01:44:12)

マツリ> えへへ～♡…確かにそうっすね♡（撫でられると気の抜けた声漏らしながら広げていた書類を片付けて、自分からも頭すりよせて♪）   (7/15 01:48:33)

アンビー> ……いつもこんな時間なの？（はっ、と気付いて手を離そうとするけど、心地よさそうなのを見たら、そのまま安心して撫で続けて）   (7/15 01:50:08)

マツリ> 今日はいつもより遅めっすね～…いつもって言っても久々に顔出した感じなんすけど♡アンビーお姉さんは？（初対面なのになぜか癒される感じがして、とろんと表情緩めて少しだけ距離詰めちゃう♡）   (7/15 01:53:58)

アンビー> ……私も少し遅め。来るなら、もう少し早く入りたかった所もあるけど……。（距離が詰まると、少しだけ身動ぎしつつも眼を細めてそっと寄り添い）   (7/15 01:55:31)

マツリ> じゃあ今日は偶然が重なって会えたんすね♡いちごいちえってヤツっす♡（外は暑いけど部屋の中はそれなりに涼しくて、肩を触れ合わせるとじんわり温もりが伝わった気がして♡）   (7/15 01:59:23)

アンビー> そう、なるね。……お部屋行く？（肩が重なると貴女の体温が伝わり、なんとなく、そんな雰囲気…。もじっと身動ぎしつつ、ぽつり、と囁き）   (7/15 02:01:31)

マツリ> うんっ♡いつでもお休みできるようにしたほうがいい時間だもんね♡（えへ～♡心がポカポカしてきちゃう♡提案に嬉しそうに頷けば、書類の入ったカバンを肩に掛けてから、アンビーお姉さんの腕にギュッと抱きついて）準備できてるッス♪鍵付きで大丈夫だったっすかね？
  (7/15 02:05:51)

アンビー> うん。大丈夫。（腕に抱きつかれたら、そっと立ち上がり鍵を指でくるくる回し。）   (7/15 02:07:15)

マツリ> それじゃあ向かうッス♡（一緒に立ち上がって腕を組んだままお部屋を後にして）   (7/15 02:08:17)

おしらせ> マツリさんが退室しました。  (7/15 02:08:25)

アンビー> 失礼するね。   (7/15 02:09:22)

おしらせ> アンビーさんが退室しました。  (7/15 02:09:25)

おしらせ> アンビーさんが入室しました♪  (7/15 16:38:03)

アンビー> 昨夜は寝てしまった……。申し訳ない……。   (7/15 16:38:18)

おしらせ> 暁美ほむらさんが入室しました♪  (7/15 16:50:41)

暁美ほむら> …こんばんは。   (7/15 16:50:48)

おしらせ> 無言時間が25分を超えたため、アンビーさんが自動退室しました。  (7/15 17:03:52)

おしらせ> 無言時間が25分を超えたため、暁美ほむらさんが自動退室しました。  (7/15 17:15:53)

おしらせ> 森先化歩さんが入室しました♪  (7/15 18:06:20)

森先化歩> 学校終わり〜……あと仕事…？仕事も……うん。タイムセールは……雨だから今日はなし……   (7/15 18:06:42)

おしらせ> 無言時間が25分を超えたため、森先化歩さんが自動退室しました。  (7/15 18:59:00)

おしらせ> 森先化歩さんが入室しました♪  (7/15 19:56:25)

森先化歩> 御飯作って歌歌ってたら落ちてた……   (7/15 19:56:39)

おしらせ> 無言時間が25分を超えたため、森先化歩さんが自動退室しました。  (7/15 20:23:05)

おしらせ> 森先化歩さんが入室しました♪  (7/15 22:03:34)

森先化歩> 意外と入室してたこと忘れちゃうよね……（へちょん   (7/15 22:03:51)

おしらせ> 無言時間が25分を超えたため、森先化歩さんが自動退室しました。  (7/15 22:30:49)

おしらせ> マツリさんが入室しました♪  (7/15 23:45:45)

マツリ> ただ寝てただけならよかったッス～（ほっ）   (7/15 23:46:31)

マツリ> 一言だけ言って帰るのもあれなんで涼んでこうかな～？   (7/15 23:49:25)

マツリ> 日付も変わったし帰るとするッス！   (7/16 00:06:20)

おしらせ> マツリさんが退室しました。  (7/16 00:06:25)

おしらせ> アンビーさんが入室しました♪  (7/17 00:34:47)

アンビー> はぐっ……。……深夜にこれ。……やめられないっ……（ハンバーガー頬張り、ほわっ、と至福の表情）   (7/17 00:35:33)

おしらせ> 東風谷早苗 ◆TOHoPro.3Ngmさんが入室しました♪  (7/17 00:38:26)

東風谷早苗 ◆> なにやらジャンクな香がしますね？（わざとらしくにおいを嗅ぐようなふりをしては入ってきて）   (7/17 00:39:22)

アンビー> んぐ。こんふぁんは……（もぐもぐ。口に頬張りつつ、ぺこり）   (7/17 00:43:08)

東風谷早苗 ◆> はいこんばんわー。こんな時間に食べてるといろいろと大変ですよー（罪の味がしますと）   (7/17 00:44:06)

アンビー> 大丈夫、問題ない……おそらく。多分……。（瞬き。）   (7/17 00:44:39)

東風谷早苗 ◆> …そうなんですねー（よしよし頭撫でつつ）おいしければそれでいいんですよーきっと   (7/17 00:47:55)

アンビー> うん。美味しければ、それで。（撫でられてゆらゆら。）   (7/17 00:49:11)

東風谷早苗 ◆> というわけでこんばんわですよー（揺れてるのに合わせて撫で続けて）   (7/17 00:51:47)

アンビー> ……2回目だね。私は邪兎屋のアンビー・デマラ。よろしく。…食べる？（撫でられる間に完食し、包をくしゃりと。ポテトの口をそちらに向け）   (7/17 00:53:47)

東風谷早苗 ◆> ……おなか一杯になりましたか？（差し出されるのをひょいと咥えて揺らして食べて）東風谷早苗さんです   (7/17 00:55:20)

おしらせ> 無言時間が25分を超えたため、アンビーさんが自動退室しました。  (7/17 01:19:44)

おしらせ> 無言時間が25分を超えたため、東風谷早苗 ◆TOHoPro.3Ngmさんが自動退室しました。  (7/17 01:20:23)

おしらせ> BBペレさんが入室しました♪  (7/17 21:57:55)

BBペレ> おじゃましまーす💕　久々にまともな時間に余裕ができたBBちゃんでーす★　さてさて、どなたかと絡めるかなぁと期待しつつ、少しのんびりさせていただきましょうか（ごろり、とソファに横になって、端末をいじくっていたり）   (7/17 21:58:53)

おしらせ> 無言時間が25分を超えたため、BBペレさんが自動退室しました。  (7/17 22:24:16)

おしらせ> アンビーさんが入室しました♪  (7/18 01:25:44)

アンビー> ぷつっと寝落ちしてしまうの……気をつけないと。   (7/18 01:26:05)

おしらせ> 無言時間が25分を超えたため、アンビーさんが自動退室しました。  (7/18 02:22:12)

おしらせ> 森先化歩さんが入室しました♪  (7/19 01:19:25)

森先化歩> よいしょ……そう言えばまだ２話見てないから明日見よ……って言いながらちょっぴり夜ふかしに来たぞー……！   (7/19 01:19:50)

おしらせ> 天王寺瑠奈さんが入室しました♪  (7/19 01:29:42)

天王寺瑠奈> ジー…………(深夜に迷い込んで…ソファの上にいる先客……とびらを少しあけて覗き見る様にしながら様子を見つつ)   (7/19 01:31:10)

天王寺瑠奈> どうやら眠ってしまったらしい……(気づかれたらボードで顔を隠しながら入る予定だったけど、ぴくりとしないのを確認すると…足音を立てない様に近づいて……)もう1時半…だもんね…(と、ソファ眠ってる先客のそばまで辿り着き…寝顔を見届けて…)このままだと風邪ひく……なにかかけるもの…(とあたりをさがしはじめて…)
  (7/19 01:38:29)

おしらせ> 無言時間が25分を超えたため、森先化歩さんが自動退室しました。  (7/19 01:45:36)

天王寺瑠奈> うにゅ……私もスリープモードになっちゃいそ……おやすみなさい……また会えますように…(なんて化歩におおきめのブランケット…夏用の冷感ブランケットだから暑くないはずなんて…かけてあげると、わたしもいよいよ眠くなってしまい……)また……(と、お部屋を後にするのでした……ぐっないと…)
  (7/19 01:46:09)

おしらせ> 天王寺瑠奈さんが退室しました。  (7/19 01:46:14)

おしらせ> 森先化歩さんが入室しました♪  (7/19 01:55:46)

森先化歩> はっ……来てくれてたのに歓待できなかった……！！！（がばっ   (7/19 01:55:58)

森先化歩> ご、ごめんね……私がぼーー…っとしてたばっかりに……   (7/19 02:01:34)

森先化歩> よし……また会えることを信じておちておこう……   (7/19 02:04:24)

おしらせ> 森先化歩さんが退室しました。  (7/19 02:04:26)

おしらせ> マツリさんが入室しました♪  (7/19 22:59:06)

マツリ> ばんわッス～！涼みに来たッス！   (7/19 23:00:13)

マツリ> …夏に着ぐるみパジャマはしんどかったかもしれないっす…   (7/19 23:07:59)

マツリ> 虎フードを取っても虎耳がついてるって一発ネタだけのために…！   (7/19 23:19:10)

おしらせ> 碧棺合歓さんが入室しました♪  (7/19 23:22:23)

碧棺合歓> お邪魔しまーす、   (7/19 23:23:50)

マツリ> こんばんわッス！（にぱー）   (7/19 23:24:47)

碧棺合歓> ふふ、こんばんは、えっと、私は碧棺合歓って言うの、貴女は？   (7/19 23:25:51)

マツリ> 自分はマツリって言うッス！（人に会えて嬉しいのか虎耳パタパタさせて）   (7/19 23:27:05)

碧棺合歓> ふふ、嬉しそうでよかった〜…あ、思っていたのだけれど、その格好熱くないの？いや、絶対暑いよね？   (7/19 23:31:16)

マツリ> あっ…暑くてフード脱いでたから仕込んでたネタが…！？（慌てて虎耳付きフードを被ってから、再び脱げば本物の虎耳が現れ）…これが、やりたかったんす…（てへ…♡）   (7/19 23:33:30)

碧棺合歓> あ、その耳本物なの？可愛い〜！確かにそのネタ面白いね！耳触ってみてもいいかな？   (7/19 23:38:23)

マツリ> うぅ、それそれ！その素直な反応が見れただけでもやった甲斐があったッス～！（パジャマの前を開いて涼しい風を送り込みながら、どーぞどーぞと頭を差し出して♪）   (7/19 23:39:49)

碧棺合歓> いいの？多分感覚あるんだよね、こういうの初めてみたから、（そっと耳に触れて、もこもこふわふわで癒されて）すごい、ちゃんと動いてる、可愛い   (7/19 23:41:23)

マツリ> えへへ、ちょっとくすぐったいッス…♡そっか、お姉さんのとこでは自分みたいなのは居ないんすね～？（お姉さんの手の下でぱたたっと動かして見せて、その反応にまんざらでもない感じ♪）   (7/19 23:44:09)

碧棺合歓> てことはマツリちゃんのとこにはいっぱいいるの？絶対可愛いだろうな〜だってマツリちゃんもすごい可愛いもんね！   (7/19 23:47:06)

マツリ> 全員がそうじゃないっすけど、獣人族が主体の国があるくらいっすから、それなりには居るっすよ！自分なんかより可愛い人がいっぱい居るから、お姉さんが来たらびっくりしちゃうっすね♪（そんなにケモミミが刺さったんだ、って嬉しくなっちゃう…♡）   (7/19
23:50:55)

碧棺合歓> そうなんだ、また行ってみたいなぁ、私のとこはコスプレとかで偽物のしかないから、だから本物のはこんなに動くんだなーって感動してる！（にこにこと貴女の耳を触って）   (7/19 23:54:01)

マツリ> 居ないとこには全然居ないみたいっすもんねー？感動してもらえて嬉しいッス♡好きなだけ触ってってくださいっす♪（くすぐったさを通り越して気持ち良くなってしまう♡すりすりと頭ごと擦り寄せて♪）   (7/19 23:57:14)

碧棺合歓> わ、ふふ、かわいいね、ほんとに、…なんかマツリちゃんって妹みたいだよね、私に妹ができたみたいでとっても嬉しいな、（よしよし、と頭を撫でて）   (7/20 00:00:36)

マツリ> そ、そんなに可愛いっすか？ケモミミ補正だいぶ入ってる気がするっすけど…///ん～♡ねむおねーちゃん♡…なんて、調子に乗ったッス///（甘えるように名を呼んでみたり…自分でやっておいて恥ずかしそうに頬染めて耳を伏せ）   (7/20 00:03:51)

碧棺合歓> んふふ、合歓お姉ちゃんだよ〜！マツリちゃんにお姉ちゃんって言われるのとっても嬉しいな〜   (7/20 00:05:17)

マツリ> そんなに喜んでくれるなら、今後もそうやって呼んじゃうッスよ…？（もじもじ…♡）   (7/20 00:06:31)

碧棺合歓> ほんと？なら呼んでほしいな、ふふ、私も、マツリって呼び捨てにしちゃおーかな   (7/20 00:08:11)

マツリ> 呼び捨てで大丈夫っすよ♡姉妹って言うには、種族が違うっすけど…そんなの関係ないッス♡   (7/20 00:09:52)

碧棺合歓> ふふ、そーだよね、義理の姉妹だってありえるし、でも本当にマツリちゃん可愛い、（ぎゅっ、と抱きしめて頭を撫でてみて）   (7/20 00:12:52)

マツリ> そ、そんなにかわいいって言わないで欲しいっす///…どきどき、しちゃう…♡（抱きしめられたらいい匂いがして、真っ赤な顔で見上げて）   (7/20 00:14:47)

碧棺合歓> わ、！ごめんね、顔真っ赤にしちゃって、恥ずかしかった？急に抱きしめちゃってごめんね、？   (7/20 00:16:02)

マツリ> …そんなに顔赤いッスか？///恥ずかしいとは、ちょっと違う気がするッス///…ううん、抱きしめてもらえて、嬉しかったっす♡（表情隠すようにおねーちゃんの肩口に額押し付けて、熱を冷ますようにせわしなく耳がぱたぱた揺れて）   (7/20
00:18:57)

碧棺合歓> 恥ずかしいとはちょっと違うの？ぁ、服脱ぐ？それだと多分暑いよね、のぼせちゃったのかな、（頭を優しくなでて）   (7/20 00:20:11)

マツリ> うん…胸がどきどきってして…お腹の下あたりがむずむずって…♡あ、きっとそれッス！冷房入ってるから油断してたっす♪（着ぐるみを脱げば白Ｔシャツに淡いピンクのショーツだけになり、だいぶ涼しく感じて♪）   (7/20 00:23:58)

碧棺合歓> 胸がドキドキしてお腹の下辺りが……確かに、それは恥ずかしいじゃないかも、…ん、涼しそうな格好になったね、これで熱がおさまるといいんだけど、（なんとなく察しはしたが、知らないフリをして）   (7/20 00:27:27)

マツリ> まだちょっとドキドキしてるっすけど…綺麗なおねーちゃんができたら誰だってそうなるッス！♡ちょっと寒いくらいっす♪えへへ～♡（ぎゅーっとして暖を取り♪）   (7/20 00:30:29)

碧棺合歓> 綺麗か、ふふ、ちょっと恥ずかしいな、ん、寒い？冷房少し弱めた方が良さそうね、（ピッと少し温度をあげて）   (7/20 00:33:05)

マツリ> …言われ慣れてるんじゃないッスか？♡（にやにや♡）くっついて温めてもらおうと思ってたのに～！（冗談っぽく言って笑い）   (7/20 00:35:50)

碧棺合歓> …まぁ、可愛いとかは、多かった、？かも、まぁほとんど知り合いにだったけどね、ん、そーなの？…それじゃあ、ぎゅーしよっか、（ぎゅうっと抱きしめて）   (7/20 00:37:25)

マツリ> 確かに可愛さもあるッス！うちのおねーちゃんは欲張りセットだ♡…ワガママいっぱい言ってごめんなさいッス♡（ぎゅー！♡すりすり♡）   (7/20 00:39:36)

碧棺合歓> マツリの方が可愛いと思うけどね、わがままじゃないよ？もしわがままだとしても、可愛いしね、それに、もっとわがまま言ってくれた方が私嬉しいな   (7/20 00:41:46)

マツリ> …またかわいいって言う///あんまり甘やかされたら…ほんとにワガママ言っちゃうッス…♪   (7/20 00:43:56)

碧棺合歓> ん、わがまま言っていいんだよ？本当に、なんでもいいよ？甘やかしたくなるんだよね   (7/20 00:45:09)

マツリ> …眠たくなったら、一緒におやすみしたいっす…♡（ぎゅうっ♡くんくん…お姉ちゃんの匂い好き♡）   (7/20 00:47:05)

碧棺合歓> ん、もちろんいいよ！私も一緒に寝たいから、…ん、そんなに匂い嗅がれると恥ずかしい、臭くない、？   (7/20 00:50:14)

マツリ> やったー！♡あ、好きな匂いだったから思いっきり吸っちゃってた♡いい匂いするよ？♡）   (7/20 00:51:46)

碧棺合歓> ん、そっか、臭くないならよかった、…ん、私もドキドキしてきちゃった、笑   (7/20 00:53:48)

マツリ> えへへ…♡他に誰も来ないし、もう移動しちゃうッスか？♡…ドキドキしてきてるおねーちゃんがかわいいっス♡   (7/20 00:56:06)

碧棺合歓> 誰も来ないところ、んー、いっちゃおっか？…寝る時も2人、だしね   (7/20 00:57:09)

マツリ> 準備してきたんで行くッス♡添い寝して欲しいっす～♡（待ちきれないといった様子でお姉ちゃんの手を引いてお部屋へと向かい♪）   (7/20 01:00:20)

マツリ> あれ…おねーちゃん？大丈夫ッスか？   (7/20 01:07:49)

碧棺合歓> ログインできなくて、ごめんね、どうしよう   (7/20 01:08:41)

マツリ> お部屋作り直したッス！   (7/20 01:09:42)

碧棺合歓> ありがとうね、わざわざ、ごめんね   (7/20 01:09:53)

マツリ> 謝らないでくださいッス♡   (7/20 01:10:22)

マツリ> 無事に合流もできたんでこっちは落ちておくッス！   (7/20 01:12:12)

おしらせ> マツリさんが退室しました。  (7/20 01:12:21)

碧棺合歓> 私も落ちるね   (7/20 01:13:17)

おしらせ> 碧棺合歓さんが退室しました。  (7/20 01:13:19)

おしらせ> ニャアンさんが入室しました♪  (7/20 04:10:44)

ニャアン> ……。（不審そうに辺りをきょろきょろ無言で見回し、少し警戒しながら部屋の中へと入って）……使っていいのかな、ここ……誰もいないみたいだけど。   (7/20 04:14:39)

ニャアン> この時間に寝れないの、地味にきつい……（疲れた目を擦り、ソファに腰掛けてうとうととしながら呟き）   (7/20 04:21:12)

おしらせ> 東條希さんが入室しました♪  (7/20 04:44:36)

東條希> おはよう、ニャアンちゃんまだいる？   (7/20 04:45:04)

おしらせ> 無言時間が25分を超えたため、ニャアンさんが自動退室しました。  (7/20 04:46:39)

おしらせ> 東條希さんが退室しました。  (7/20 04:47:23)

おしらせ> サハラさんが入室しました♪  (7/20 17:55:17)

サハラ> ここは…普通の部屋みたいだけれど…(警戒しながら部屋を覗くと…誰もいない。)…ま、しばらく待ってればメノウたちが迎えにくるでしょ…(手近なソファにどっさり。)   (7/20 17:58:54)

サハラ> あ〜…久しぶりにダラダラ出来る…(フォースの総督として崇められていた時以来のくつろぎ…サハラは面倒事が嫌いなのだ。出来るならばずっとくつろいでいて、関わりたくはない…)   (7/20 18:01:37)

サハラ> 【なんとなく待ってみます、よろしくお願いします〜。】   (7/20 18:02:17)

おしらせ> サハラさんが退室しました。  (7/20 18:24:57)

おしらせ> アンビーさんが入室しました♪  (7/20 20:20:55)

アンビー> なんとなく……。（辺りを見回し、誰もいないと確認すれば、ぼすっ…とソファーに身体を沈め）   (7/20 20:21:57)

おしらせ> 無言時間が25分を超えたため、アンビーさんが自動退室しました。  (7/20 20:48:13)

おしらせ> 森先化歩さんが入室しました♪  (7/20 23:00:48)

