/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]
https://pcmax.jp/?ad_id=rm176481
2022年11月26日 10時53分 ～ 2022年11月27日 04時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> はーい、お話してくてありがとう♡   (2022/11/26 10:53:41)
クレー> レムお姉ちゃんの時間の合う時にで大丈夫だよっ♡   (2022/11/27 01:37:59)

クレー> もしかしたら、また大勢でってことなんてことも…♡だからホントに機会があったらってくらいだから、深く気になくて大丈夫だよっ   (2022/11/27 01:38:40)

レム> 衣乃様は私と千束様の絡みを見てとても楽しそうにしてた事レムは見逃していませんよ…♡ でも…流れを作ってくれたことにはレムはとても感謝していますから… 体でお支払いは少し…恥ずかしく思うところもありますけど…コレくらいならいつでも…♡
(左手は背中に回して…右手で頬を撫でながら啄むキスをしてみて…♡)   (2022/11/27 01:39:31)

おしらせ> 無言時間が25分を超えたため、レイナ･プラウラーさんが自動退室しました。  (2022/11/27 01:40:12)

レム> はい…レムは一線越えるなら奥のお部屋でって思っていましたけど…皆様で一線を越えるのも悪くないモノだと少し思ってしまいましたから…♡ またその時が来るならレムは楽しめると思いますし…クレーちゃんと奥のお部屋に行くのも楽しみにしていますね…♡  
(2022/11/27 01:41:24)

クレー> はわっ♡レムお姉ちゃんが衣乃お姉ちゃんに…♡(手で顔を隠しながらちらっと覗き見てわわっと♡)   (2022/11/27 01:41:31)

桜衣乃> ん……♡……少し物足りないですが、今日のところはこれくらいで良しとしておきます…♪(レムちゃんの体支払い…。ちょっとだけ物足りないけれど、啄みあってプチ満足して…♡)今日は私もクレーちゃんももうへとへとのようですから…昨日みたいなことはできないでしょうし…。
  (2022/11/27 01:42:24)

クレー> うん、クレー昨日はちょっと夜更かししちゃったし、今日おでかけしてきたからこのあともう寝るんだー…レムお姉ちゃんせっかく来てくれたのにごめんね？だから、またきてねって意味だったの   (2022/11/27 01:43:55)

クレー> 【ROMすごいね♡】   (2022/11/27 01:44:43)

レム> 大丈夫です♡ レムに気を使う必要もありませんし…お二人が休んでその後誰も来る気配がなければレムもお部屋に帰ることにしますから…
ふふっ…♡でもへとへとの衣乃様なら今のレムでも簡単に可愛がることはできそうですね？　(腰に手を回して見つめながら微笑んでみて) 休むならレムは引き止めたりしませんのでご安心してくださいね…♡   (2022/11/27 01:47:27)

クレー> レムお姉ちゃん元気だねっ♡さすがっ   (2022/11/27 01:48:38)

レム> クレーちゃん、レムはまた来ますから疲れているならゆっくりと体を休めるのも大切ですよ…♪ レムはさっき不本意ながら仮眠を取ってしまったので目が冴えてしまっているんです…   (2022/11/27 01:49:53)

桜衣乃> 本当はレムちゃんのことをこれから可愛がってあげたいのですが……ふふ、またみんなが元気なときに百合乱交パーティーしましょうね♪今度は私もみなさんと一緒に気持ちよくなりたいので……♡   (2022/11/27 01:50:23)

桜衣乃> 私も(ふわぁ)今日はそろそろ落ちちゃいますので……レムちゃんの素敵なお相手……いらっしゃると、いいですね……。(ちゅ、と最後にレムちゃんのほっぺにキスを落とすと、残念そうに体を離します…)   (2022/11/27 01:52:04)

おしらせ> 渋谷凛 ◆346.Rf.llEさんが入室しました♪  (2022/11/27 01:52:04)

渋谷凛 ◆> ……静かになる頃かな……？　こんばんわだね（軽く頭下げて入ってきて）   (2022/11/27 01:52:32)

クレー> あ、渋谷お姉ちゃんこんばんはっ   (2022/11/27 01:53:09)

桜衣乃> あ、渋谷さーん♪お久しぶりこんばんはです〜…。　…もうすぐ落ちるところですが〜……   (2022/11/27 01:53:15)

レム> わかりました…♡ 衣乃様が本当にお疲れのようなのでレムの高まった気持ちは次回に取っておきますね…♪ 次は衣乃様にも楽しんでもらえるようにレムは全力で頑張りますね…♡ (手を離して口づけしてくれた頬に触れて照れ笑いです…♡)   (2022/11/27
01:53:21)

レム> こんばんは、凛様…♪   (2022/11/27 01:53:47)

クレー> じゃあ、クレーも今日はここまでにするねっ。渋谷お姉ちゃんせっかく来たのにごめんね？   (2022/11/27 01:53:52)

渋谷凛 ◆> その辺は遅いから仕方ないしね？（クレーと衣乃をぽんぽんとしてから）   (2022/11/27 01:54:27)

桜衣乃> みなさん、お疲れ様でした〜…。連日遅くまでレズセックスして、お昼の個室で寝落ちしないようお気をつけて…。それでは、失礼します……♡おやすみなさい……♡   (2022/11/27 01:54:50)

おしらせ> 桜衣乃さんが退室しました。  (2022/11/27 01:55:01)

クレー> それじゃ、それじゃおやすみなさいー   (2022/11/27 01:55:14)

おしらせ> クレーさんが退室しました。  (2022/11/27 01:56:32)

レム> お疲れ様でした、クレーちゃん、衣乃様…♪ (右手を振りながらお二人をお見送りしていて)   (2022/11/27 01:57:22)

渋谷凛 ◆> そしてレムの方はいいのかな？（改めて彼女に向き直って首を傾げて）   (2022/11/27 01:57:35)

レム> いいって…どういう意味でしょうか…？　レムは少し待ち人を待っていると言いますか…勝手に待ってますけど多分今日はもう来ないと思うので…   (2022/11/27 02:01:46)

渋谷凛 ◆> 丁度解散みたいな雰囲気だったからね。　それじゃあ人待ちに少しお付き合いかな……？   (2022/11/27 02:03:05)

レム> 付き合ってくれるとレムは嬉しく思います…♪ 1人で待つのは少し退屈だなって思ってたレムでしたから… 凛様が来てくれて良かったです…♪   (2022/11/27 02:05:55)

渋谷凛 ◆> じゃあ、その辺まったりしてよっか……レムも色々と仲良くできてるみたいだしね（くすりと笑ってソファに腰を下ろして見せて）   (2022/11/27 02:08:06)

レム> はい…おかげさまで皆様とても優しく振る舞ってくれるのでレムは嬉しいです…♪ (隣に静かに腰掛けていて)   (2022/11/27 02:10:23)

おしらせ> 花隈千冬さんが入室しました♪  (2022/11/27 02:11:55)

花隈千冬> おや……寝直そうと思ったらリビングがついてたのでもしやと思いましたが。こんばんは。   (2022/11/27 02:12:24)

渋谷凛 ◆> 優しくされて……そして悪い事を覚えたりしていくのかもね（くすと片目つぶってちゅっと頬に一つ）　　   (2022/11/27 02:12:29)

渋谷凛 ◆> ん、いらっしゃいだね（ソファから軽く手を上げてひらひらっと挨拶をするように）   (2022/11/27 02:12:49)

花隈千冬> あぁはい、どうも。（ガウン羽織ってそのままキッチンに立って。白湯でも飲んでいこうと水を沸かそうと）   (2022/11/27 02:14:31)

レム> こんばんは…♪ 初めましての方ですね…レムはレムと申します、仲良くしてくれると嬉しいです…♪ (眼鏡が似合う女の子が来てくれたらソファから立ち上がって挨拶とお辞儀をしっかりこなしていて)   (2022/11/27 02:15:14)

花隈千冬> こちらこそよろしくおねがいします…メイドさん…ですか？（と、キッチンカウンター越しにこちらも会釈を返しながら。ポットに視線を落としては。）   (2022/11/27 02:16:52)

レム> んぅ… はい…悪いことは昨日色々覚えちゃいました…なので…そういう事をされてもレムは狼狽えたりしませんよ…♪(頬に口付けされても動揺する事なく笑顔でお話していて)   (2022/11/27 02:17:21)

渋谷凛 ◆> 渋谷凛だよ。よろしくね？（キッチンの方へと声をかけて）ここにはいろんな人が来るみたいだからねメイドさんの格好する人もいるんじゃないかな   (2022/11/27 02:17:28)

渋谷凛 ◆> じゃあ、そのうちレムには悪い事をどれくらい覚えたか確かめてあげないとね（つんと口づけた頬をつついて）   (2022/11/27 02:18:31)

レム> レムはメイドさんですよ…♪ お湯ならレムがって…少し遅かったみたいですね… メイド失格でしょうか…(会釈を返してくれる礼儀正しい女の子ってレムは少し感動を抑えきれません…)   (2022/11/27 02:19:15)

花隈千冬> 時たまにテレビで見かける気がします。アイドルでしたっけ。（あんまりカバーとかはしないからよく知らない…とまでは言わずに。小気味よい電子音のなるポットを少し乱暴にケーブルを引っこ抜いて、五月蝿い、と音を止めて）   (2022/11/27
02:19:38)

レム> ふふっ… レムが覚えた事を凛様にご体験させれば良いのでしょうか…♪ (座り直したら頬を突かれて…少し恥ずかしくなり赤くなってしまいます…)   (2022/11/27 02:21:10)

渋谷凛 ◆> その辺りはここにいれば仕事をしてるわけじゃないから気にしなくてもいいよ（づ通の学生ってことでいいんだしねと…あんまり知らなさそうな雰囲気に手を振って）   (2022/11/27 02:21:11)

花隈千冬> 別にメイドだからといって、私と契約結んでいるわけでもないので大丈夫です。（そのまま、こぽぽぽぽぽ、と温かい音を鳴らしながらお湯をラークパッチマグに注ぎつつ……）   (2022/11/27 02:21:35)

渋谷凛 ◆> 逆にレムにもっと新しい事を教えるかもしれないよー？（赤くなったのにくすくすと笑って少しだけ身を緩めて）   (2022/11/27 02:22:10)

花隈千冬> そうですか？あまりテレビとか見ないのでそう言っていただけると。（たすかります、とも今度は付け加えつつ。ポットと湯呑みだけついでに持ってきながら二人の反対のソファにぽすんと埋もれては）   (2022/11/27 02:23:55)

渋谷凛 ◆> 最近はTVだけじゃないからね……自分から色々と好みのものを探しに行く感じだし（趣味が広くなってきてるよねと）   (2022/11/27 02:26:10)

レム> 職業柄こういうのは自然としてあげたくなってしまうモノなんですよ… 契約がなくても貴女にお湯の一杯注ぐくらいはしてあげます…♪ (次は任せてくださいっと言わんばかりに胸を少し張ってみて)   (2022/11/27 02:27:06)

花隈千冬> 基本的には読書とか、どうしても。（趣味は趣味の時間に注ぎ込みがちですしね、と同意をしつつ、一口ずず…と湯呑に口をつけて）   (2022/11/27 02:28:04)

レム> レムの知らない事を教え込んでしまうんですね？はい…それは悪くない事だと思うのでその時には教えていただけるとレムは嬉しく思います。ただ…苦手なこともありますからね…♪ (笑ってる貴女にレム笑顔になってて)   (2022/11/27 02:29:18)

花隈千冬> あぁはい、ありがとうございますね。　そしたら、次回があればお願いするかもしれません。（まぁ、煩わせるようなことでもないけれど…とも思いながらも、善意は受け取ろう、と）   (2022/11/27 02:29:21)

渋谷凛 ◆> 何か独りのほうが好きなのかな…（静かに何かしてそうな趣味になってるねと）＞千冬   (2022/11/27 02:31:52)

渋谷凛 ◆> 余りひどい事を教えるわけにもいかないし…そこまで変な事は……（苦手なことはみんな苦手だしねと少しだけレムに首を傾げて）   (2022/11/27 02:32:31)

花隈千冬> 先輩に連れ出されたりはしますけれど…一人のほうが落ち着くことは多いですね。（困ることもありませんし、と。視線だけ相手に向けながら。）   (2022/11/27 02:32:50)

レム> 任せてください… お湯を注ぐのにも全力を尽くしますので…メイドとして頑張らせていただきますね…♪ (笑顔で向かいに座る貴女を見ていて)   (2022/11/27 02:34:23)

レム> 凛様が変な事をするなどと考えてるレムではありませんよ… ただ先にこういうのはお伝えしておいた方が後々のためだとレムの勝手な判断ですので、お気になさらないでください…♪   (2022/11/27 02:35:48)

花隈千冬> たかが白湯にそこまでの全力いるかぁ…？（思わず素のツッコミを溢しつつ。別にこれで十分だしな……と二口目をつけて）   (2022/11/27 02:37:11)

渋谷凛 ◆> お茶なら全力を出して淹れて貰えば自分でやるよりはいいものがもらえるかもしれないね……コーヒーは流石にどうかなとは思うけれど（お茶なら飲みたいかもねと少しだけ考えて）   (2022/11/27 02:42:26)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/11/27 02:43:10)

後藤ひとり> こんばんは……少しだけお邪魔します………   (2022/11/27 02:43:20)

レム> レムは何事にも全力なんです…！　お湯を注ぐのにも全力ですよ…♪ お湯と言わずに…紅茶など注ぐのも良いかもしれません… 最近は凄く冷え込むのでホットミルクなどもお口に合えばレムが貴女に注いであげます…♪
あ！ずっと貴女呼びも失礼なので…差し支えなければお名前をお聞きしてもよろしいでしょうか…？   (2022/11/27 02:43:37)

レム> こんばんは…♪ ひとり様♪   (2022/11/27 02:43:53)

後藤ひとり> こんばんはレムさん………♪あ、あの……ち、千束さん取るような真似してすいません………   (2022/11/27 02:45:05)

渋谷凛 ◆> いらっしゃいだね…（少しだけなのかなと小首を傾げて）   (2022/11/27 02:46:11)

後藤ひとり> あ、はい寝る前に少しだけ……   (2022/11/27 02:46:52)

レム> コーヒーでもレムは相手に美味しく飲んでほしいので全力です…♪ お茶がお飲みになりたいなら… (台所を借りて…お湯を沸かしながら茶葉をカップに入れて簡単にお湯を注いでティーカップを凛様の前に置いていて)   (2022/11/27 02:47:53)

レム> いえいえ…♪ 千束様も楽しそうにしていたならレムはそれだけでとても満足ですのでお気になさらずに…♪ ひとり様がここに来たということは…千束様は寝てしまわれたということなんですね   (2022/11/27 02:49:10)

花隈千冬> この時間にカフェインは流石に……。（ホットミルクも今からはどうだろうか、とは悩みつつも。やっぱり白湯でいいかな、というような）わたしの名前ですか？私は別に名乗るほどのものじゃ……   (2022/11/27 02:49:56)

花隈千冬> 後藤さんこんばんはです。（ずず……   (2022/11/27 02:50:17)

渋谷凛 ◆> うん、ありがとう……それじゃあゆっくりといただくね（カップに砂糖を入れては少しだけ持ち上げて見せて。ゆっくりと味わうように喉に流し込み）…ん、おいしい   (2022/11/27 02:51:24)

後藤ひとり> 怒ってなかったミンチにされずに済んだ……はい、多分楽しんでくれたかと……そうですね。おねむみたいでした……   (2022/11/27 02:52:19)

後藤ひとり> 千冬さんこんばんは……   (2022/11/27 02:52:25)

渋谷凛 ◆> ミンチとか何か危険なことはあったのかな……？　その辺は難しく考えずに仲良くしてても大丈夫な場所だとは思うけれどね   (2022/11/27 02:57:00)

後藤ひとり> あ、いえ誇張表現なのでお気にせず……   (2022/11/27 02:57:57)

レム> わかりました… それではお名前を聞いてしまって申し訳ありません… (小さく頭を下げて謝罪する形になってしまいます…)   (2022/11/27 02:59:04)

レム> ミンチになんてレムをなんだと思っているんですか…ひとり様… (むーっと頬を膨らませてしまいます…) 千束様が楽しんでいたならレムはその話を聞けただけで大満足です…♪ ひとり様もお疲れ様ですね   (2022/11/27 03:00:24)

花隈千冬> 別にそんなに縮こまらずとも。（いいですよ、本当に雇ってるわけじゃないので、と。）ただまぁ…さま、とつけられると恥ずかしくなっちゃうので。   (2022/11/27 03:00:57)

レム> お口にあったみたいで良かったです…♪ (美味しそうに飲んでくれてるのを見たらレムは嬉しくて感動です…♪)   (2022/11/27 03:02:33)

レム> 様付け禁止っ…なら…様をつけないとお約束するのでよろしければ…教えてください… (様付けが恥ずかしいって言われたらとても…可愛らしい子だと思い、レムの中では少し好感度上昇中です…♪)   (2022/11/27 03:04:21)

後藤ひとり> あ、いえ誇張表現なので……本当は半殺しくらいですよね……礼儀正しい人が実は裏では怖い人なんて設定ありますから………(あっ……頬を膨らませてるの可愛い……なんて思い)はい、……いい感じでした……はい、お疲れ様です……   (2022/11/27
03:04:46)

渋谷凛 ◆> 半殺しというか立てなくされるくらいの方が面白いかもね（うん、危ない事じゃなくても成立するしね）……ここらしい感じだとそんな雰囲気なのかも   (2022/11/27 03:05:51)

後藤ひとり> さりげなく恐ろしいことを……！？   (2022/11/27 03:06:43)

渋谷凛 ◆> こうして美味しいものを淹れて貰えるとお嫁さんみたいにたっぷり味合わせて欲しくはなっちゃうよね…（いつでも飲めちゃうんだろうしねと）   (2022/11/27 03:06:48)

レム> 成程…でもレムは怖い人ではないのでご安心してください…♪ ひとり様がレムにされたいっていうならレムは喜んで色々として差し上げるかもしれませんね…♡   (2022/11/27 03:14:47)

レム> それは…スバルくんが前に言ってた…毎朝俺の味噌汁を作ってくれ！などと言ってたことに似た言葉ですね…♪ レムで良ければお茶くらい注いで差し上げますよ…？　(時計を眺めながら待ち人は寝てしまったって報告を聞いて少しぼーっとした時間を過ごしてしまいます…)
  (2022/11/27 03:17:13)

おしらせ> アリサさんが入室しました♪  (2022/11/27 03:17:17)

後藤ひとり> よかったです……そ、そうですねレムさんとも仲良くしたいのでお時間が合えばぜひ……今はさすがに無理ですけど……   (2022/11/27 03:17:25)

アリサ> （そろり、そろり…）こ、こんばんは〜…？なんだかすごく楽しそうな声が聞こえてきたからついつい入っちゃったけど…大丈夫でしたかね…？   (2022/11/27 03:18:08)

渋谷凛 ◆> 寝たり力尽きてそうな雰囲気な娘もいるけれどいらっしゃいだね（大丈夫と手招き一つして）   (2022/11/27 03:19:20)

後藤ひとり> い、いつでも入ってください……   (2022/11/27 03:20:14)

アリサ> あはは…本当ならみんな寝ているはずの時間ですしね…？ありがとうございます…♪（手招きしてもらえるとぱぁっと表情を明るくしながらひょこひょこと皆さんの方に近づいていき）   (2022/11/27 03:21:31)

おしらせ> 佐久間まゆさんが入室しました♪  (2022/11/27 03:21:41)

後藤ひとり> ま、また人が……   (2022/11/27 03:22:01)

佐久間まゆ> お邪魔します…♪初めましてなんですけど…とても賑わってますね…♡(ふふ、微笑みながらお辞儀をし)   (2022/11/27 03:23:00)

後藤ひとり> よ、よろしくお願いします……最近ここはよく盛り上がってますよ……   (2022/11/27 03:23:25)

アリサ> こんばんはーっ…♪わたしもさっき来たばっかりなんですけど、皆さんが楽しそうにしていましたし、ついつい入ってみたくなっちゃいますよね…♪   (2022/11/27 03:23:50)

渋谷凛 ◆> ん、まゆはいらっしゃいかな（くすりと笑って少しだけ手招いて）　この時間でもいっぱいになるみたいだね。   (2022/11/27 03:24:35)

渋谷凛 ◆> お茶から朝ご飯まで色々と用意して貰うと嬉しいのかも（時計を見てこの時間だしねと）レムはなんか自由そうな雰囲気になったけれど   (2022/11/27 03:25:22)

レム> 今からなんてレムは申しませんよ…♪ ひとり様はお疲れのご様子ですのでご無理はなさらぬように…♪   (2022/11/27 03:25:42)

おしらせ> 無言時間が25分を超えたため、花隈千冬さんが自動退室しました。  (2022/11/27 03:26:03)

アリサ> 千冬さんはおやすみなさい…！また今度機会があったらお話しましょうね…♪   (2022/11/27 03:27:02)

佐久間まゆ> はい、よろしくお願いします♪それにしても、皆さん可愛らしい…♡(きゅん、と胸に手を当てながら皆見て)   (2022/11/27 03:27:34)

後藤ひとり> はい、また会えたら是非に……♪(うとうと)   (2022/11/27 03:27:39)

佐久間まゆ> おやすみなさい、いい夢見てくださいね…♡   (2022/11/27 03:27:51)

後藤ひとり> か、可愛いなんてそんな……其方も可愛いですよ……！   (2022/11/27 03:27:56)

レム> こんばんは…♪ お二人様… (新しく来た2人にお辞儀をしてお出迎えです…♪) お疲れ様です…結局お名前を聞きそびれてしまいました…次回は教えていただけるようにレムは頑張りますね… (お姫様抱っこで抱き上げて奥のお部屋のベッドに寝かせて戻ってきます…)
  (2022/11/27 03:28:35)

アリサ> ほわ…！？か、可愛いだなんてっ…！皆さんの方が全然可愛いと思いますよ…！（ほんのりと頬を赤く染めながらわたわたっ…！）   (2022/11/27 03:29:45)

渋谷凛 ◆> ここで使う誉め言葉は可愛いじゃなかったら……美人になるかな……（可愛いより美人に近い雰囲気とも思えるけれどとアリサに視線を向けて。レムも美人系？）   (2022/11/27 03:30:26)

アリサ> あ、わざわざご丁寧に…こちらこそ、こんばんはですっ…！（お辞儀をしてもらうとこちらも続くようにぺこり、と深く頭を下げて）   (2022/11/27 03:31:13)

佐久間まゆ> ふふ、ありがとうございます…♪(頬を抑え、)   (2022/11/27 03:32:10)

佐久間まゆ> 可愛い、美人…どちらとも最高ですね♡(ふふ、)   (2022/11/27 03:32:44)

アリサ> 美人だなんて…ただ、エルフで少し珍しいだけで普通だと思いますよ…？（視線を向けられると褒められ慣れていない様子を見せつつも自身より余程美人な凛さんに視線を返し…）   (2022/11/27 03:32:58)

後藤ひとり> わ、私なんかよりみんなの方が綺麗です…   (2022/11/27 03:33:50)

おしらせ> ライネスさんが入室しました♪  (2022/11/27 03:35:06)

渋谷凛 ◆> ここでは珍しいから美人でいいと思うよ……？　自分のところでは普通だったとしてもね（大丈夫だよ自信もっていいしと）＞アリス   (2022/11/27 03:35:42)

佐久間まゆ> 私はとても可愛いと思いますよ？ひとりさん♡(ひとりさんの後ろからこそ、と話しかけ)   (2022/11/27 03:35:59)

ライネス> 後は綺麗だとか…愛らしい。なんていう言葉も似合うんじゃないかな？と、盗み聞きの様になってしまったが…こんな夜更けに賑やかな声が聴こえたものでね。私も末席にお邪魔させてもらってもいいかい？（いつの間にか居た感じにひょっこりと）  
(2022/11/27 03:36:34)

後藤ひとり> ひっ！？……わ、私なんか全然まゆさんの足元にも……(後ろから話しかけられてあわあわ……)   (2022/11/27 03:36:52)

後藤ひとり> あ、こんばんは……   (2022/11/27 03:37:24)

レム> レムが美人系…レムは普通系…いえ、鬼系でしょうか…？(鬼族なのでって言葉には出さずに笑顔で冗談をぽろりと…) こんばんは…♪ いらっしゃいませ…♪ 今夜も賑わって良かったです   (2022/11/27 03:38:37)

アリサ> あ、ありがとうございますっ…！えへへ…♪あんまりそうやって容姿を褒められることってなかったので、照れちゃいますね♪>凛さん   (2022/11/27 03:38:50)

渋谷凛 ◆> 綺麗や愛らしいは美人や可愛いのバリエーションかもしれないね。　自分で色々と……決めれそうな子が来たね（気が強そうな雰囲気で自分で堂々としてそうだねと）＞ライネス   (2022/11/27 03:39:04)

佐久間まゆ> ふふ、また綺麗な人が来ましたね♡こんばんは…♪(緩く笑いながら手を振り)   (2022/11/27 03:39:41)

アリサ> わ…！？いつの間に！？こんばんは、初めまして♪（気がついたら話の輪に混ざっていたライネスさんに驚いたように小さく跳ねてから挨拶をして）   (2022/11/27 03:39:55)

後藤ひとり> お、鬼にしては随分綺麗ですね……？(まさかほんとに鬼などとは思っておらず)   (2022/11/27 03:39:57)

渋谷凛 ◆> 鬼は…大体は性格とかに使われるものだから……鬼なのかもしれないけど（そんなに気が強いのかななんて首を傾げてレムを見つめて）   (2022/11/27 03:40:28)

ライネス> 心地よい歓迎をありがとう。私はライネス・エルメロイ・アーチゾルデ。…フルネームだとお堅くなってしまうから気軽にライネスと呼んでくれると嬉しい。…確かに周りに振り回されるのは好きではないが、ファーストインプレッションがそれかい？＞凛  
(2022/11/27 03:41:09)

アリサ> お、鬼系…？つまり怒ったらすごく怖いとかそういう感じでしょうか？（怒らせないようにしなきゃ…！と心の中で決心しつつ首を傾げ）   (2022/11/27 03:41:18)

佐久間まゆ> ふふ、そんなびっくりしないでください…♪まゆはピンクの髪も、控えな性格も…可愛いと思いますよ…♡(相手の髪をさら、と手櫛でといてみて)   (2022/11/27 03:41:56)

後藤ひとり> ほ、ほんとに鬼ならやはりミンチに……！   (2022/11/27 03:42:18)

渋谷凛 ◆> 褒められ慣れてそうだし？　普通に私たちが褒めても受け入れそうだからね…。だから自負してる感じで自分を褒めてるところを見る方が面白そうかなって＞ライネス   (2022/11/27 03:43:15)

後藤ひとり> あ、そ、そうですか？……そう言ってくれると……すごく……うれ……しいです……♡(髪をさらさらと撫でられるとくすぐったそうに目を閉じて気持ちよさそうに)   (2022/11/27 03:43:19)

ライネス> 驚かせたのはすまない。にしても…聞いた限り、エルフに、鬼。まるで童話の話じゃないか（神秘的には興味深い限りだが…と二人を見定めるように）エルフの君は特徴的な耳をしているが、鬼と言うには…見た目がいささか少女すぎやしないかい？（鬼のイメージというと、いや確かに一部童女が鬼をしてる世界線もあるけれど！厳かなイメージじゃないか）
  (2022/11/27 03:44:41)

佐久間まゆ> それに、この髪飾りも…全部全部…可愛い…♡(後ろから腕を回し髪飾りを弄って)   (2022/11/27 03:47:21)

ライネス> そこまで買いかぶられる程じゃないさ、自称で良ければ自分を褒めてやりたい所は多いけどね。周りから褒められる分にはいつだって大歓迎だよ（あっちみたいにね？って褒め殺しされてそうな方をチラ見しつつ）＞凛   (2022/11/27 03:47:52)

アリサ> わたしがエルフだって証明できるの、この耳くらいですからね…？（髪の合間から覗く特徴的な尖った耳の先に指先で触れて…）そ、そうですね…！こんなに可愛くて礼儀正しい子が本当の鬼なわけが無いですよね…！（ほっ、と胸をなでおろし…）  
(2022/11/27 03:47:53)

渋谷凛 ◆> ここで本当に褒め始めると二人きりで隅々まで褒めることになりそうだしね？（あたりを見回してからくすりとアリスやライネスに）   (2022/11/27 03:48:58)

レム> 本当のレムを知ってしまったらひとり様は多分レムを怖がると思います…♪ 可愛らしい鬼にレムがなれるならそうありたいと願いますね… (口元に指を当てながらクスクスっと笑っています…♪)
>ひとり様　　　えっと…そんなにまじまじと見つめられてしまうと流石のレムでもとても恥ずかしい…です (もじもじと恥ずかしさを隠すように股同士を擦り合わせていて…) >凛様　　　　　レムは鬼化したらツノが一本つーんっと生えてくるんですよ…
少女…これでもレムは大人だと思っていたんですけれどまだまだ未熟者だと言うことなのでしょうか… 姉様はレムに変わってとてと大人でレムの目標なので姉様のような大人の女性になれるようにレムも頑張ります…♪
(両手でお胸を寄せながらコレくらいでもまだまだ小さい方なんだと思いお姉さんになる決意を固めるレムなのでした…♪) >ライネス様   (2022/11/27 03:49:31)

後藤ひとり> あ、そ、そうですか……さ、さすがに照れますね……///(まゆさんに髪飾りも褒められて満更でもなさそうににへにへと)   (2022/11/27 03:50:45)

アリサ> （おふたりがなんだかあまあまないい雰囲気に…！とっても可愛い…！）   (2022/11/27 03:51:48)

後藤ひとり> そ、その発言が怖いです……で、でもレムさんとは仲良くしたいので……どんなレムさんでも受け入れます！   (2022/11/27 03:53:11)

佐久間まゆ> ふふ、照れた顔も可愛い…♡(ぎゅ、と後ろから軽く抱きしめ首筋の匂いをくんくん、と)   (2022/11/27 03:53:23)

渋谷凛 ◆> レムのその恥ずかしがるところはもう別の意味になってきちゃうけれど…ね？（寂しくなっちゃったのかなぁと）   (2022/11/27 03:53:59)

後藤ひとり> あっ……♡////あの……♡は、恥ずかしい……です///(首筋をくんくんされて嫌な匂いしてないかな……なんて不安になりつつもドキドキとしてされるがまま……)   (2022/11/27 03:55:52)

レム> ひとり様はとてもお優しいのですね…♪ レムもひとり様とは仲良くしていきたいので今後とも仲良くしてくれる事をお祈りしております…♪ (両手を重ねてお祈りするポーズを見せてみて)
>ひとり様　　　　別の意味…レムは恥ずかしがっているだけなのでそれ以上の深い意味はありませんよ…♡ >凛様   (2022/11/27 03:59:02)

ライネス> 身体的な特徴で言うとそうだが…後は、長寿であったり人一倍の美貌であったり、時には魔力や弓術に優れたり等が伝聞としてはあるが…その辺は？（なんて興味を）＞アリサ　ツノが…？それは興味深いね、是非とも後学の為に拝見してみたい所だよ。…あぁ、気分を害してしまったならすまない。子供か大人かって言う観点であれば私じゃ判断はまだつかないよ。鬼と比べた時に与える印象が無垢な女の子だって事で…その一点で言えば十二分以上に大人なんじゃないかな！(悪びれていたところで、目の前で大きなそれが寄せられているなら決意固める相手に手のジェスチャーと共にツッコんだ)＞レム
  (2022/11/27 04:00:10)

渋谷凛 ◆> そういうこと言うと深い意味を作られても知らないけれどね（太ももに手を置いてゆっくりと撫でて膝頭で手を広げるように甘く擽りからかって）＞レム   (2022/11/27 04:01:26)

佐久間まゆ> 恥ずかしくなんてないですよぉ…♡まゆは、ただ可愛い、と言っているだけですもの…♡(ふふ、とからかうようにそんな事を言っては首元にそっと口付けてみて)   (2022/11/27 04:01:37)

後藤ひとり> は、はい！例えほんと鬼でも私は受け入れます……(お祈りするレムさんに私もお祈りをするように手を握って……)   (2022/11/27 04:02:35)

ライネス> 隅々までとなると流石に気恥ずかしくなるよ…？というより出会った初日で褒められる所がそんなに…ありそうだね。（凛の言葉に対する疑問には…実例があるね。仲睦まじい様が微笑ましい）   (2022/11/27 04:03:20)

後藤ひとり> そ、それだけでも恥ずかしいんです……私は可愛いなんて滅多に言われませんから…///あっ……♡(首元にちゅっと口付けされるとビクッと身体を震わせて)   (2022/11/27 04:03:28)

佐久間まゆ> そんな…こんなに可愛いのに…♡(そのまま首筋をぺろっと舐め )   (2022/11/27 04:04:55)

