/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年08月08日 22時27分 ～ 2018年08月11日 01時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

九条カレン> 【そっか、時雨ちゃんも寝てる？】   (2018/8/8 22:27:27)
竹井 久> 分かったわ。二人目の妊婦さんね(なんて言いながらヒナギクの子宮の中を味わう様に擦り付けていくわ)   (2018/8/9 13:43:55)

竹井 久> 【直して来たわ】   (2018/8/9 13:45:37)

桂ヒナギク> んんっ…///ええ…///(にこりとしつつ子宮の中に擦り付けられて)【うん】   (2018/8/9 13:45:54)

竹井 久> それじゃダメ押ししましょうか？(起き上がるとヒナギクを抱き上げて駅弁になると壁にヒナギクの背中を押し付けて下からおちんちんが荒々しく突き上がるわ。子宮の中の精子を愛液と混ぜるように掻き回すわね)   (2018/8/9 13:48:34)

桂ヒナギク> えっ…(いきなりそう言われつつ駅弁になり背中を押し付けられておちんちんが月上がり愛液が漏れて精液と愛液が混じってゆく)まってえええ♥久の精子と私の愛液が混じってすごいことになってる♥♥   (2018/8/9 13:56:58)

竹井 久> ヒナギクのおまんこの中スゴいわ(突き上げていく度に精子と愛液が混ざりあってそれを突くから子宮にたっぷり流れていくわ)ハァ…ハァ…ヒナギクのおまんこの中スゴく気持ちいいわ。トロトロおまんこが子宮もトロトロなのよ？   (2018/8/9
14:03:53)

桂ヒナギク> …♡♡♡(まるで精子と愛液がお互いを求めるように混ざり合いそれが支給の中に入る)久のおちんちんもすごいわ…////   (2018/8/9 14:07:22)

竹井 久> ヒナギクの中がいっぱいだわ。(ズチュズチュ音が大きく厭らしく聞こえている間に激しく突いてヒナギクの子宮を犯していくわ)ヒナギクのおまんこが気持ちいいからよ。最高のおまんこね？   (2018/8/9 14:11:56)

桂ヒナギク> そんな事言わないで…////照れるよ…////ああっ…//久のおちんちんと相性がいいだけ//(厭らしく水音を立てて激しく犯される)   (2018/8/9 14:14:03)

竹井 久> フフ…最初の頃のヒナギクはどうしたのかしらね？(なんて言いながらヒナギクのおまんこの奥の子宮にたっぷりおちんちんを突き上げていくわ)   (2018/8/9 14:21:49)

桂ヒナギク> 抵抗があっただけよ…////♡(おちんちんを突き上げられているのを見て嬉しそうにしつつ)   (2018/8/9 14:24:37)

竹井 久> じゃあ今は抵抗なんかなくなっちゃったのね？すごくエッチなおまんこになっちゃったわね？(おちんちんを荒々しく突きながらヒナギクの耳元で囁くわ)   (2018/8/9 14:28:24)

桂ヒナギク> そうね…////♡恥ずかしいけどそうなのね…♡///(軽くキスしつつ割れ目からは液を漏らして)   (2018/8/9 14:30:54)

竹井 久> フフ…ヒナギクの首筋にも印付けちゃおうかしら？(ヒナギクとキスをしてから首筋に吸い付いて自分の印を付けていくわ。ヒナギクの中から液が溢れて出ていて太股を伝うわ。突き上げるのは荒々しく突き続けているわ)   (2018/8/9 14:34:14)

桂ヒナギク> ！？…////どうも…////ね…♡(なんて照れつつも太ももに液が伝いつつ、突き上げられるとまた激しくいイきそうで)   (2018/8/9 14:37:21)

竹井 久> ん…ちゅっ…ちゅっ…(ヒナギクの首筋にあちこち印を付けていくわよ。突き上げる速度を早くしていきヒナギクの子宮を激しく突きながらビクビク震えておちんちんが一層膨らむわ)   (2018/8/9 14:38:54)

桂ヒナギク> …////んんっ…////(おちんちんを突き上げられながらこちらも締め付けて快感を与える)   (2018/8/9 14:41:11)

竹井 久> ハァ…ハァ…ヒナギク…いっぱい私を感じてちょうだい！(締め付けられておちんちんが射精に向けて震えるわ。ビクビク震えているおちんちんが突く度に膨らんでヒナギクの中を満たしていくわ)   (2018/8/9 14:43:39)

桂ヒナギク> ええ…///また出そうぅぅううう…////(思い切り抱きついておちんちんを締め付けて射精させようと)   (2018/8/9 14:45:54)

竹井 久> 私も出そうだわ！ヒナギク！たくさん出すわよっ！(ヒナギクに抱きつかれて締め付けられればおちんちんがビクンと跳ねてヒナギクの子宮へとまた精子を流し込むわ)   (2018/8/9 14:47:50)

桂ヒナギク> ああっ！んんんんんんんん！？…/////(中に精子を沢山だされて、こちらも潮を吹いてしまい倒れてしまう)   (2018/8/9 14:51:43)

竹井 久> 　   (2018/8/9 15:07:14)

竹井 久> 【ごめんね？うたた寝してた】   (2018/8/9 15:07:38)

竹井 久> またたっぷり出ちゃったわ。フフ…ヒナギクの中でおちんちんがビクビクしてるわ(ヒナギクを抱き締めたままそう言いながら突き込むわ)   (2018/8/9 15:09:11)

桂ヒナギク> …////(抱きつきながらさすがに恥ずかしくてそっぽを向き)【大丈夫？】   (2018/8/9 15:10:08)

竹井 久> ヒナギク、おちんちんがヒナギクの中でビクビクしてるの分かるでしょ？(しっかりヒナギク抱き締めたままおちんちんが子宮の奥をグイグイ突くわ)【電車に揺られてると眠いわね】   (2018/8/9 15:12:47)

桂ヒナギク> ええ…///凄いビクビクしてる…////(なんて締め付けたままおちんちんがグイグイ着いてきて)【大丈夫？無理しなくてもだよ】   (2018/8/9 15:15:33)

竹井 久> ヒナギクの中に入れたままおちんちんが抜きたくないってなってるわ(リズム良く突いてヒナギクの中をおちんちんが突いていくわ)【大丈夫よ。移動中暇で(笑)でも電車はなぜか眠くなるのよね】   (2018/8/9 15:26:13)

桂ヒナギク> …////ま、まだできるの？…////(なんて言いつつも再び突かれてしまい)【分かるよ…】   (2018/8/9 15:29:34)

竹井 久> ん～どうかしら？ヒナギクがいっぱい締め付けてくれたらおちんちんが元気になるかもね？(なんて言いながら子宮の中をズン・ズンとリズム良く突き続けていくわ)【電車マジックね(笑)】   (2018/8/9 15:32:14)

桂ヒナギク> …///分かったわよ…////(おちんちんを締め付けてきもちよくさせようとする)【だよねー】   (2018/8/9 15:36:22)

桂ヒナギク> 【私も寝ることあるからね】   (2018/8/9 15:36:29)

竹井 久> フフ…ヒナギクの締め付け気持ちいいわ(ヒナギクの中で締め付けられておちんちんが膨らんでいくわ)【長い時間乗るとなるのよね】   (2018/8/9 15:39:23)

桂ヒナギク> ふふっ…////(きつく締め付けて再び快感を与えようとして)あなたのそれ固くなってる…///   (2018/8/9 15:40:11)

竹井 久> フフ…おちんちんがヒナギクの中で元気になっちゃったわ(言うなりズンズン突いてすっかりおちんちんの形になってるおまんこの子宮を突いていくわ)   (2018/8/9 15:44:59)

桂ヒナギク> 久…////分かったわよ…////(またニコリとしておちんちんを締め付けながら)またして欲しい///   (2018/8/9 15:48:00)

竹井 久> フフ…ヒナギクのおまんこはすっかり私のおちんちんが欲しくてたまらないのよね？(ニヤリ笑み浮かべるとまた激しく突いていってヒナギクの子宮を突き上げていくわ)   (2018/8/9 15:49:54)

桂ヒナギク> ええ…////(おちんちんを挟みながらこちらからも腰を振りイカせようと)【電車で寝て乗り過ごすのだけはやだね】   (2018/8/9 15:52:56)

竹井 久> ハァ…ハァ…ヒナギクの中にまた出すわ。私の精子を全部ヒナギクの中に出すわよっ！(おちんちんがビクビク震えると子宮にまた大量の精子を流し込み)【あ～それは嫌だわね】   (2018/8/9 15:58:28)

竹井 久> 【そろそろ電池が危ないから一回落ちてからもう一個の携帯ではいるわね】   (2018/8/9 16:09:47)

おしらせ> 竹井 久さんが退室しました。  (2018/8/9 16:09:52)

おしらせ> 無言時間が20分を超えたため、桂ヒナギクさんが自動退室しました。  (2018/8/9 16:13:27)

おしらせ> 桂ヒナギクさんが入室しました♪  (2018/8/9 17:01:29)

桂ヒナギク> 【ごめんなさい！うたた寝してしまました！】   (2018/8/9 17:01:59)

桂ヒナギク> 【また夜9時とかに来るので遊んでくれると嬉しいです:】   (2018/8/9 17:13:22)

おしらせ> 桂ヒナギクさんが退室しました。  (2018/8/9 17:13:25)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/9 17:29:54)

竹井 久> 【わかったわ。夜入れたら入るわ。】   (2018/8/9 17:30:25)

おしらせ> 竹井 久さんが退室しました。  (2018/8/9 17:30:33)

おしらせ> クー子さんが入室しました♪  (2018/8/9 19:20:54)

クー子> （ガチャリ、制服姿でリビングへやってくると、さっそくソファにぼふり。部屋にしつらえられたゲーム機にさっそくスイッチを入れて。）…ニャル子に聞いた。ここなら好きなだけダラダラしていいって。ゲームも飲み物もいっぱい。何という楽園。   (2018/8/9
19:23:47)

おしらせ> ドイッチュラントさんが入室しました♪  (2018/8/9 19:25:36)

クー子> 【こんばんは♪】   (2018/8/9 19:26:16)

ドイッチュラント> 【はぁい、こんばんはねぇ♪お邪魔させてもらうわよぉ？】   (2018/8/9 19:26:41)

ドイッチュラント> (カツ、カツ、ブーツを鳴らしてお部屋近くの廊下を歩いていれば聞こえる電子音。誰かが居る、というのを確信してはがチャリ、扉を開けて)…あらぁ、何をしているのかしら？♪…っと、こんばんは、初めましてね？(ちんまい容姿に対して少し尊大になりつつも。軽く会釈をしてはゲーム機にそっと覗き込もうとしてみたり)
  (2018/8/9 19:28:43)

クー子> …ゲーム。レトロゲームから最新ゲーム機まで完備。ここは天国。きっと初めまして。クトゥグア星人のクー子。よろしく、ロリっ子。（ガチャリと扉が開かれる。ゲームを続けながらちらりと一瞥すると再び視線はゲーム画面に、そうこうしている間にゲーム画面を覗きこんできた彼女に振り向き、名を名乗って）
  (2018/8/9 19:35:02)

ドイッチュラント> (画面の方は…8bitのピコピコサウンド。“ゲイムギョウ界”の産物かしら？なんて思いつつ)…んー？ロリっ子と呼ばれるのは初めてねぇ…♪私はドイッチュラント級…貴女における星人、という感じかしらね。名前はドイッチュラント。私よりもゲームに夢中になれるなんて…よっぽど面白いのね？(クツクツ、ギザ歯を覗かせながら笑いつつ…ぽふん、と頭の上にお胸を乗せてみようか、なんて。ポケット戦艦、という二つ名もあって、小柄な割には胸は大きかったり。)
  (2018/8/9 19:40:16)

クー子> …面白い。そして尊い。クリエイターの魂がこの8bitのマシンを舞台にあくなきまで詰め込まれている。ドイッチュラント、覚えた。よろしくロ…ドイッチュラント。……重い。（目の前に広がるゲーム画面を、目を輝かせながら語る。どこか誇らしげなその表情は得意げで。相手の口から名を聞く…反芻するようにその名を呼ぶと、頭の上にのしかかるふくらみに、自分の胸と見比べ少し悔しそうに。）
  (2018/8/9 19:50:48)

ドイッチュラント> …あら、ごめんあそばせ？♪でもぉ、せっかく私が来てやったのに、貴女はゲームに釘付けだもの。…なーんか、妬いちゃうのよねぇ♪(うふふ、なる笑い声を耳元で響かせながら。頭から背中へ…むにゅうっ、と押し付けながら抱きしめてはゆすり、ゆすり、ゆっくり擦り付けて見たり。…尤も大事な場面では動きを止めたり。暫くはゲーム鑑賞でもして付き合ってみようか、なんて)
  (2018/8/9 19:54:23)

クー子> …世代を超えて愛されるゲームは何よりも尊ばれるべき。これ自然の摂理。……何だか見せつけられてるようで、複雑。謎…何食べたらそんなになるのか気になる。（プレイしているゲームに敬意を示すクー子。目を伏せ一人頷くと、頭の上の二つの「柔らかい」は徐々に背中へ下降してくる……背中越しでもしっかりとわかる大きさに、格の違いをを見せつけられているようで、思わずため息が漏らしながら、皮肉めいた質問をして）
  (2018/8/9 20:07:58)

ドイッチュラント> ふぅん…一種の崇拝、と言うやつかしらね。…さぁねぇ？尤も私は“そういう風に造られた”から、“造った”本人に聞いてみないとねぇ。(元となった船は軍規条約云々により制限されていた中、｢艦砲が打てれる小柄な戦艦を作ろうぜ！(諸説あり)｣を目指して造られ、結果的に周りにプレッシャーと影響を与えたドイツの傑作(らしい)。そんな事もあってなのか立派なお胸が出来たとかなんとか？)…んふふ、大きければイイってものでも無いわよぉ？貴女のここ、可愛いくて綺麗じゃない…♪(後ろから抱きついていた手を緩め…代わりに小ぶりな膨らみをふに、ふに、軽く揉み掴んでいたり)
  (2018/8/9 20:15:21)

クー子> ドイッチュラント、調べた。なるほど、コンセプトはサダラーン級宇宙戦艦。旗艦にして小型、高火力。そう思うと不思議と愛着がわいてくる。（造った、不思議な物言いをする彼女に、グーグル先生を頼ることにした。検索結果を見遣りながら、結局ガン〇ムのネタに走るクー子であった。）……ん。いきなり触ってくるのは予想外。痴女というやつ？（背中に張り付いた小柄な少女は手を前面に回してきて、なだらかなふくらみを揉み始めた。一瞬身体がピクリと反応すると、ジト目で口を尖らせて）
  (2018/8/9 20:29:59)

ドイッチュラント> …何処の国が造った戦艦かしら。(ドイッチュラント級よ、なんてツッコミを入れつつも、要約してくれた所には｢そんな感じよ｣と大体合っていることを伝えよう。わかればいいのだ、という顔。)んぅー？コレでもまだ優しいスキンシップよ？♪…まぁ、嫌なら謝るわ？(ぱ、と手を離して…代わりに背中をつつー、と指先でなぞってみよう。｢まだ、ゲームしておく？｣と指で書いてみたり)
  (2018/8/9 20:35:36)

クー子> 建造はアクシズ。グワジン級を徹底的にフィードバックして造られた。航行距離、火力、機動性全てを凌駕した傑作艦。デザイン、フォルム、すべてにおいて、神。（調子に乗って、どんどん語りだす。相手が聞いているかいないかなど気にすることもなく、クー子の悪い癖が出る。三度の飯よりゲームと特撮ヒーローとガ〇ダムが好きらしい）嫌とは言わない、けどびっくりした。……！！（身体を撫でる彼女の言葉に肯定も否定もしなかった。誤魔化すようにそっけなく言葉を紡ぐが、背中に這う指の感触に思わず身体が跳ねた。見えないところは少し弱いようだ）
  (2018/8/9 20:49:37)

クー子> ……お腹空いた。そろそろニャル子が愛エプしてくれてる頃（もちろん妄想）だから、帰る。なかなか楽しかった。またね、ロリっ子。（くー…、お腹が盛大に鳴る。すっくと立ちあがると、勝手な妄想を垂れ流しながら、部屋を後にして。）【すみません、そろそろご飯なので、抜けます。またお話してくださると嬉しいです。】
  (2018/8/9 20:52:26)

おしらせ> クー子さんが退室しました。  (2018/8/9 20:52:36)

ドイッチュラント> レッドアクシズなら合っているけどねぇ…。(その後のが何か違う。でもツッコミを入れるのは野暮だと思い触れないように聞き流していれば)…あら、補k…ご飯がまだだったのね。えぇ、食べてらっしゃいな。(此方は食べ終えたから…クスッと笑いながらも両手は彼女を解放し、そのまま見送っておこう。)【えぇ、食べてらっしゃい、お疲れ様ね♪】
  (2018/8/9 20:54:14)

ドイッチュラント> ーーーさぁて、一人になってしまったわね。…ふぅ、このまま誰も来ないなら帰ろうかしら？(ぽすん、とソファーに寛ぎ、寛ぎ。自動退室する頃には…ふらふらーとお外に出ていたり。)   (2018/8/9 20:58:40)

おしらせ> 無言時間が20分を超えたため、ドイッチュラントさんが自動退室しました。  (2018/8/9 21:18:59)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/8/9 21:26:20)

ウオッカ♀ ◆> 【お風呂】   (2018/8/9 21:28:22)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/9 21:31:02)

竹井 久> こんばんは。   (2018/8/9 21:31:45)

おしらせ> 桂ヒナギクさんが入室しました♪  (2018/8/9 21:37:24)

桂ヒナギク> 【申し訳ないわ…少し片付けが長引いいてて今日は出来そうにないわ…明日の朝とか大丈夫？】   (2018/8/9 21:38:00)

竹井 久> 【明日は午前中墓参りで昼まで難しいと思うわ】   (2018/8/9 21:39:19)

桂ヒナギク> 【ん、明日の夜この時間お願いできるかしら？】   (2018/8/9 21:41:12)

竹井 久> 【分かったわ。この時間ね】   (2018/8/9 21:44:14)

桂ヒナギク> 【何回も迷惑かけてごめんなさい。中の人忙しくてね】   (2018/8/9 21:44:56)

竹井 久> 【大丈夫よ。忙しい時は無理しちゃダメよ】   (2018/8/9 21:45:57)

桂ヒナギク> 【ええ、ごめんなさい。また会えたらよろしくね】   (2018/8/9 21:47:06)

おしらせ> 桂ヒナギクさんが退室しました。  (2018/8/9 21:47:13)

竹井 久> 【またね。お疲れ様   (2018/8/9 21:47:49)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/8/9 21:48:30)

おしらせ> 竹井 久さんが退室しました。  (2018/8/9 21:48:53)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/8/9 23:12:40)

ウオッカ♀ ◆> 【こんばんは】   (2018/8/9 23:14:01)

ウオッカ♀ ◆> 【茜へ、いまからでもいいよ】   (2018/8/9 23:14:48)

ウオッカ♀ ◆> 【今週どこでもいいよ】   (2018/8/9 23:23:15)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが退室しました。  (2018/8/9 23:42:07)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/8/9 23:54:31)

おしらせ> 時雨さんが入室しました♪  (2018/8/10 00:04:35)

時雨> 【こんばんは…】   (2018/8/10 00:05:17)

ウオッカ♀ ◆> 【こんばんは】   (2018/8/10 00:09:34)

時雨> いたいた…少しの間だけどお邪魔するよ…(ちょこんと隣に座って)こうやってめんと向かうのは初めてかな   (2018/8/10 00:17:06)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/8/10 00:30:01)

おしらせ> 無言時間が20分を超えたため、時雨さんが自動退室しました。  (2018/8/10 00:37:34)

おしらせ> ひろみさんが入室しました♪  (2018/8/10 01:00:20)

ひろみ> あれー   (2018/8/10 01:00:46)

おしらせ> ひろみさんが退室しました。  (2018/8/10 01:00:51)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/10 06:24:49)

竹井 久> 【おはよう。ちょっとだけ入るわ。時雨来てたのね】   (2018/8/10 06:25:38)

おしらせ> 桂ヒナギクさんが入室しました♪  (2018/8/10 06:29:41)

桂ヒナギク> 【おはようございますー】   (2018/8/10 06:30:01)

竹井 久> 【ヒナギク、おはよう】   (2018/8/10 06:30:13)

竹井 久> 【私の部屋で話しない？】   (2018/8/10 06:30:52)

桂ヒナギク> 【昨日はすいません…はい】   (2018/8/10 06:30:57)

竹井 久> 【大丈夫よ。じゃあ移動しましょう】   (2018/8/10 06:31:37)

おしらせ> 竹井 久さんが退室しました。  (2018/8/10 06:31:41)

桂ヒナギク> 【はーい】   (2018/8/10 06:32:59)

おしらせ> 桂ヒナギクさんが退室しました。  (2018/8/10 06:33:01)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/8/10 08:43:19)

リグル・ナイトバグ> 前と同じように微妙に疎らな出現な感じになっている私な気がしなくもないね。(んーっと身体を伸ばし一息。長く居られるかは判らないラインだけれどと椅子に腰かけて。一応リビングかもしれない」   (2018/8/10 08:44:10)

おしらせ> 弦巻マキ＠リボンさんが入室しました♪  (2018/8/10 09:07:31)

弦巻マキ＠リボン> 疎らが「みだら」って聞こえて（よんで）、このすけべめーっておもったわたしがいる（にゅ、っこそ。ソファの陰からそっと顔出し）   (2018/8/10 09:08:26)

リグル・ナイトバグ> つまりその聞こえ方をしちゃったマキさんが一番すけべっていう可能性が出てきたかもしれない……？(にゅっと出てきた顔にびくんっとしつつも、手を小さくフリフリ)   (2018/8/10 09:09:38)

弦巻マキ＠リボン> 可能性は存在してる（えへー）　あ、おはよー（ごそごそ。朝起きてまた眠くなって二度寝してた気配で、ぐしぐしって目をこすって）   (2018/8/10 09:10:14)

リグル・ナイトバグ> 此処に来ている人は大体その可能性が存在してるから仕方ないよね(うんうん)　ふふ、おはようとお久しぶりだね。(二度寝の気配、と言う訳では無いけど気持ちは判るのだった。目を擦ってるマキさんに手を伸ばし、頭を撫でり)   (2018/8/10
09:11:19)

弦巻マキ＠リボン> だよねえ……（しみじみ頷く）　あ、そぉだね、だいぶんひさびさ……？（首かしげ。やわい髪をなでてもらって、うにゃぁーって鳴き声をあげたり）　   (2018/8/10 09:12:14)

リグル・ナイトバグ> むしろ明言している人まで！　大分お久しぶり、かなぁ。(何だかんだであまり来れてなかったからねって。鳴き声あげる様子を見ながら目を細め、髪を梳きつつ、ほんわか)   (2018/8/10 09:13:37)

弦巻マキ＠リボン> わたしも大分久々だなあ。賑やかみたいで、まあ、いいかなって思ったりしてた（お部屋が賑やかなのはいいこと、って。頭を手に擦り付ける格好になりながら、にへにへ）　明言してるひとは、わたしかな？（ちらり   (2018/8/10
09:14:49)

リグル・ナイトバグ> 賑やかなのを見つつほんわかしたりして遠目から眺めて満足しちゃう自分が中に居る…(触っているこっちも何だか心地良くて、えへへってなってる様子)　マキさんも私も明言はしてるね。(割と大っぴらだった！)   (2018/8/10
09:16:12)

弦巻マキ＠リボン> ねー。遠目で見てまったりしちゃう。（くしゅくしゅすりすり。ソファの背もたれに顎のせてまったり）　　わたしはほら……積極的にスケベネタ振ってくほうだから……（別の子がきてる時はまたべつなこともあるけれど、って）   (2018/8/10
09:17:49)

リグル・ナイトバグ> そういう立ち位置も何だかんだで楽しかったりするからね…(なでなで、すりすり)　私もこう、スイッチというか切り替わると割と積極的になる方だった…(流れと状況次第ではある、って頷いて。けど、マキさんがやらしいのはある意味安心(安心とは)  
(2018/8/10 09:20:18)

弦巻マキ＠リボン> ね。　なんとなくそういう気持ちもある。まったり楽しい……そういえばそうだった。女の子を無差別でたべちゃうリグルちゃんだった（ふへへ。でも安心ってなんだろう）   (2018/8/10 09:22:53)

リグル・ナイトバグ> 無差別で食べちゃう私って言われると何だか凄い誤解ｇ……誤解でもない気がする。(マキさんももぐもぐとしてしまっていたのだった。ある意味で変わりなくて安心？とマキさんのほっぺを撫で擽り)   (2018/8/10 09:26:45)

弦巻マキ＠リボン> かわいー子なら無差別でしょー？（なんてからかいながら、納得しちゃったのを見て顔の向きを変えて指をぺろっと舐めにいき）　そんなリグルちゃんは今日は食欲のほどは？（ちらり   (2018/8/10 09:28:24)

リグル・ナイトバグ> ……ひ、否定はしない！(反論する証拠が無かった様子。ペロッと指を舐められれば片目を瞑り)――んっ、お腹の虫がなっちゃう位にお腹は空いているかも？(食欲のほどを聞かれればそんな事を漏らし。舐められた指を自分の顔に寄せ、ぺろりと)  
(2018/8/10 09:31:11)

弦巻マキ＠リボン> じゃー、お部屋でごちそー、する？（ちょびっとでもよければだけど、って指先ぺろぺろ、真っ赤な舌で舐めて）   (2018/8/10 09:32:33)

弦巻マキ＠リボン> （反対の手の指ね！）   (2018/8/10 09:32:43)

リグル・ナイトバグ> 折角だしご馳走してもらおう、かなっ。(こくこくっと頷いて。真っ赤な舌を見れば何だかドキッとしちゃうのだった)   (2018/8/10 09:33:38)

弦巻マキ＠リボン> じゃいこっか？　いちめーさまごあんなーい、なんてね（手を引いて、お部屋にごーごー）   (2018/8/10 09:34:22)

おしらせ> 弦巻マキ＠リボンさんが退室しました。  (2018/8/10 09:34:39)

リグル・ナイトバグ> (マキさんに手を引かれつつ、ご案内されるのだった！一名、そして段々と増える人数(それは無い)   (2018/8/10 09:35:23)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/8/10 09:35:26)

おしらせ> 木幡茜さんが入室しました♪  (2018/8/10 15:01:34)

木幡茜> （ウォッカへ　だいたい了解。そうだねー、今日の21時過ぎとか空いてるかな？　そのごろに顔出すね）   (2018/8/10 15:02:19)

おしらせ> 木幡茜さんが退室しました。  (2018/8/10 15:02:22)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/10 17:51:44)

竹井 久> 今日はなかなかスケジュールがキツかったわ(一日を振り返る。時間との勝負的な所がいっぱいあったのは確か)   (2018/8/10 17:52:51)

竹井 久> 【誰も来なさそうね】   (2018/8/10 19:10:49)

おしらせ> 竹井 久さんが退室しました。  (2018/8/10 19:56:28)

おしらせ> チトさんが入室しました♪  (2018/8/10 20:02:46)

チト> 【生存確認：はーはす　また来る】   (2018/8/10 20:03:37)

おしらせ> チトさんが退室しました。  (2018/8/10 20:03:44)

おしらせ> 木幡茜さんが入室しました♪  (2018/8/10 20:39:23)

木幡茜> （チトちゃん、伝言預かったよ。ハルファスちゃんに伝えとくね）   (2018/8/10 20:39:57)

木幡茜> （余談だけど今日の私は純白のアオザイです。つまりまあ。透けるよね）   (2018/8/10 20:54:33)

木幡茜> http://www.vietnam-sketch.com/2013111736492 [/JumpUrl2/?url=http%3A%2F%2Fwww.vietnam-sketch.com%2F2013111736492]
イメージとしてはこんな感じ   (2018/8/10 20:57:20)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/10 21:03:48)

木幡茜> およ。ひさ、こんばんは。   (2018/8/10 21:04:18)

竹井 久> 【こんばんは。こっちでまた待ってみようかと思ってお邪魔します】   (2018/8/10 21:04:21)

竹井 久> こんばんは。台風過ぎたらまた暑いわ…   (2018/8/10 21:04:58)

木幡茜> そうだねぇ……どこもかしこも暑いったらなくって。   (2018/8/10 21:05:24)

竹井 久> ブールでも行きたいけど明日からメチャクチャ忙しいわ   (2018/8/10 21:06:23)

おしらせ> 桂ヒナギクさんが入室しました♪  (2018/8/10 21:07:11)

木幡茜> そっかー。ならまあ、せめて今日は涼んで、パワー貯めないとね（なんて言いながら、冷蔵庫から麦茶を出してきてふるまうよ）   (2018/8/10 21:07:18)

桂ヒナギク> 【こんばんは。来ました。ですが少し待っててくれますか？】   (2018/8/10 21:07:39)

木幡茜> （ひなぎくちゃん、ちーす。私のことはお構いなく）   (2018/8/10 21:08:08)

竹井 久> 【ヒナギク分かったわ】   (2018/8/10 21:08:38)

竹井 久> あら、ありがとう(麦茶受け取りひと口飲むわ)   (2018/8/10 21:09:21)

木幡茜> どーいたしまして。ヒナギクちゃんもいかが？（なんて、ヒナギクちゃんの分のグラスに麦茶を注いで勧めるよ）   (2018/8/10 21:10:19)

竹井 久> 最近、家の集まりが悪いわ(愚痴っちゃった←)   (2018/8/10 21:12:47)

木幡茜> 集まりねぇ……いるときゃいるしいないときゃいない、会うときゃ会うしそうでもない時はそうでもない。あんまり深く考えないでも、自分の中で定期的にメンテナンスできてればいいんじゃない？   (2018/8/10 21:18:34)

竹井 久> ちょっと愚痴りたかっただけなの。ごめんなさい。   (2018/8/10 21:21:45)

桂ヒナギク> 【ただいまー】   (2018/8/10 21:22:02)

木幡茜> いやまあ、私の方こそちょっとおせっかいだったかな。ごめんね。   (2018/8/10 21:22:25)

竹井 久> 【おかえりなさい】   (2018/8/10 21:22:48)

桂ヒナギク> 【はい】   (2018/8/10 21:22:55)

木幡茜> （おっかえりー）   (2018/8/10 21:22:59)

桂ヒナギク> 【はい】   (2018/8/10 21:23:24)

竹井 久> 【でも今日はヒナギクで良いの？一応身重の身…】   (2018/8/10 21:24:24)

桂ヒナギク> 【あっ…そっか…新しいキャラにする？カレンとか浜風なら呼べますよ】   (2018/8/10 21:25:09)

竹井 久> 【そうね…カレンにしちゃうと見た目てきにあれだから浜風にしようかしら？】   (2018/8/10 21:25:57)

桂ヒナギク> 【そっか、呼んでくるよ】   (2018/8/10 21:26:30)

おしらせ> 桂ヒナギクさんが退室しました。  (2018/8/10 21:26:33)

木幡茜> （いってらー）   (2018/8/10 21:26:36)

おしらせ> 浜風さんが入室しました♪  (2018/8/10 21:26:57)

浜風> 【カレンちゃんばっか使ってるから大丈夫かな】   (2018/8/10 21:27:14)

竹井 久> 【ウオッカさん今日は来ないの？】   (2018/8/10 21:27:46)

木幡茜> （今週ならいつでもって言ってたし、気長に待つから大丈夫）   (2018/8/10 21:28:37)

竹井 久> 【私は浜風自体良く知らないからある程度は大丈夫じゃないかしら？】   (2018/8/10 21:28:42)

浜風> 【了解です】   (2018/8/10 21:28:57)

竹井 久> 【そうなのね。茜】   (2018/8/10 21:29:13)

木幡茜> （そゆこと）   (2018/8/10 21:29:45)

浜風> 【ふむふむ】   (2018/8/10 21:29:55)

