/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月04日 21時56分 ～ 2023年03月05日 14時43分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

京町セイカ> えーっと…話題もないし、自己紹介でもする？   (2023/3/4 21:56:01)
犬走椛> 眠くて思考が……   (2023/3/5 04:23:13)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/5 04:42:11)

おしらせ> 無言時間が25分を超えたため、犬走椛さんが自動退室しました。  (2023/3/5 04:48:59)

おしらせ> A.R.O.N.A.さんが入室しました♪  (2023/3/5 08:30:28)

A.R.O.N.A.> 先生おはようございます。A.R.O.N.A.ちゃんねるのお時間です。（提供：色彩のテロップ。）   (2023/3/5 08:31:24)

A.R.O.N.A.> （いい感じに顔にかかって目の位置にちょうど配置された、「提供」の二文字をぺいぺいっと手で追い払いつつ）   (2023/3/5 08:32:04)

おしらせ> 小春六花さんが入室しました♪  (2023/3/5 08:33:19)

小春六花> （ひょこ）今日もラスボス大統領さんがいる！（つまりそういう認識）   (2023/3/5 08:33:43)

A.R.O.N.A.> …今日は日曜日なんですね。基本あまり曜日が関係ないお仕事（シッテムの箱の管理OS)してると、曜日の認識が希薄になってきていけません。（そして……ねーむーいー……ぺそっと前のめりにテーブルになつきつつ）   (2023/3/5
08:33:45)

A.R.O.N.A.> 大統領ではありません。ラスボス属性のセーラー服美少女です。（カメラ目線でぴーす）……はい、何となく。仕事（キヴォドスの壊滅）の時間になるまで転寝をするか、うだうだすごすか、迷っている所です。――おはようございます、六花さん（テーブルになついたまま。だれてる。）
  (2023/3/5 08:35:23)

小春六花> あれ、D4Cの使い手じゃなかったの？（カメラ目線の使い手！？）あらまー…仕事がすっごい物騒じゃん……。　どーする？わたしがいるならうだらせることもできちゃうぜ？（よいしょ、って隣に腰を落ち着けて）   (2023/3/5 08:40:27)

A.R.O.N.A.> …ああ、そういえば昨晩そんなことを話していたような…。（ゆえに大統領ですか。なるほど。さもありなん。重々しくうなずいた。）――そうですね。私も平行世界の私（アロナ）とは仲良く（せっくす。）したいですし。……別に六花さんがいなくてもうだうだは出来るのですが。――何ですか。朝からお盛んなんですか？（もそもそ顔の位置だけ変えつつ。。からだねじって。するっと首あたりに手指。猫にするように喉元、すりすり…♡いーこ♡いーこ♡）
  (2023/3/5 08:43:38)

小春六花> そうそう、そんな感じで理解しました。たぶん。（わからないものをわかるように覚えるの大事）ほえー…自分と遊べるタイプの変態さんかぁ……私はちょっときつい…かも？え、えー？一人でいるからきただけよー？（んもー…って喉もどスリスリされるときもちいー…ってはふん）
  (2023/3/5 08:45:58)

おしらせ> 京町セイカさんが入室しました♪  (2023/3/5 08:48:31)

京町セイカ> おはようー。ラスボス大統領と聞いてネットを見ろ！情報弱者め！が思い浮かんだけどアレは上院議員だったわね…   (2023/3/5 08:49:17)

A.R.O.N.A.> メインストーリーでは否定しあう事しかできなさそうですし。…そもそも私が関連するキャラで此処に入れそうなのが、私（アロナ）とシロコ（テラー）くらい、しか。……第一目標は先生の懐柔・ないし誘惑ですけれど。（先生は先生で。キャラクターではないですし。先生と絞精えっちしたいです。）――おや、そうですか。……六花さん、意外とナイーブなんでしょうか。（きゅ♡、と瞳を細めて、くすりと）――それはどうも。六花さんがいれば、こうやって誰か追加で来そうです。…おはようございます？（昨晩あった方。六花さんののど、かりかり♡しつつ）
  (2023/3/5 08:50:18)

小春六花> なんのはなし、おはよ？   (2023/3/5 08:50:52)

A.R.O.N.A.> 筋肉系ナノマシンドーピング上院議員ですか。   (2023/3/5 08:50:58)

京町セイカ> アロナちゃん六花ちゃんおはよ。そうそう、アームストロング上院議員   (2023/3/5 08:54:30)

小春六花> ほむほむ……。なかなか複雑な関係性のようで……。　第一目標が能力の割に壮大だよね。ナイーブ…ナイーブなのかなぁ。そんな気配はありそうだけど。（うーんって首かしげーの）おかしいなぁ、私客寄せパンダ枠？   (2023/3/5 08:54:49)

A.R.O.N.A.> メタルギアはやったことはないですけど。上院議員有名ですよね。（キャラが濃すぎました。物理で黙らせるタイプなのに知的なのも宜しい。）   (2023/3/5 08:56:21)

京町セイカ> いいじゃない客寄せパンダ。それだけ一緒にいて楽しいってことよ？   (2023/3/5 08:56:57)

A.R.O.N.A.> まあ、敵側ですし。…ブルーアーカイブはアニメ化企画も進んでいるようですが、流石に私が登場するところまではお話進行しないでしょうし。――Yostarお金もってそうですし、ワンチャン四クール目くらいで、でしょうか……。（いやでも。そこまでは流石に難しい気がします。まあ数年後くらいに劇場アニメでわんちゃん。）はい。――そういうの、可愛いと思います…♡（喉からすると頭に手を滑らせて。よーしよし♡いーこいーこ♡）
  (2023/3/5 08:59:52)

A.R.O.N.A.> と、セイカさんは申しておりますし。（さもありなん。宜しいのではないでしょうか。）＜一緒にいて楽しい   (2023/3/5 09:01:15)

小春六花> ソシャゲのアニメ化は、私は期待するのを辞めてるから……（艦これとか、艦これとか、艦これあたりとか）のんびり日常系アニメで受け止めてほしいです。（訓練された死んだ目）え、えぇー…私はもっとこう、セックスしようぜがほしい（？）   (2023/3/5
09:01:32)

A.R.O.N.A.> あだだだだだだ………（アズレンアニメ第一期、艦これアニメ第一期……！）――い、いえ、でも、最近は自社で作りだしたり、あとはufotableとかが関わったりして、なかなか侮れないというか――（目を、そらす。冷や汗だらだらだら。日本の企業でないのは業腹ですが。Yostarとかmihoyoとか自社でアニメスタジオ持ってるお金持ち会社は強い印象。）……セイカさんとか相手してくれるんじゃないですか？（する、と手を放しつつ。白羽の。矢！ずばーん）
  (2023/3/5 09:04:32)

京町セイカ> おもしろいソシャゲアニメだってあったわよ？…………し、進撃のバハムート…(冷や汗かきつつ)ふえっ！？わ、私っ！？   (2023/3/5 09:06:03)

おしらせ> シルヴィ（影）さんが入室しました♪  (2023/3/5 09:07:38)

A.R.O.N.A.> あ、神撃のバハムートは確かに。面白かったですよね。普通に良質のファンタジーで、一作目も面白かったですし（アフロしか覚えてないけど。）二作目も恋愛要素？を持ってきた所がまた面白かったですし――うん？（あれ、しないんですか？みたいな流れ。）……おはようございます？（そしてもう一人来ました。なんでしょう。えっち立候補者でしょうか。どんどん飛び火していくゥ）
  (2023/3/5 09:08:29)

シルヴィ（影）> アイドルマスターは成功した方の…いや、最初期の「声優・世界観・キャラデザ総とっかえのロボットアニメ」があったね…くふふ   (2023/3/5 09:08:47)

シルヴィ（影）> やあ、六花君にセイカ君。初対面の子から私が変態発情魔術師などと思われている気がするよ。おはよう。それに初めまして   (2023/3/5 09:09:52)

小春六花> でもなんだろう、ソシャゲのアニメ化の爆死率はその、ね。異常とか言うか。サイゲは割りとアニメ化わかってる節はあるけど、他の会社は大丈夫？まじで。（うん……）どうだろー。したいけど、セイカさんはしばらく別の人とも遊んでほしいよ私は。（うんうん）  
(2023/3/5 09:10:34)

小春六花> シルヴィさんおーはーよー。   (2023/3/5 09:11:55)

京町セイカ> えーっと、私は…いいよ？(六花ちゃんに向き直り)他の人ともってことならこないだ衣乃ちゃんにお持ち帰りされたしなにより六花ちゃんやちーちゃんとタイミングがあるならそれはそれでいい機会だし   (2023/3/5 09:12:47)

A.R.O.N.A.> あだだだだだだだ……（ありましたね。なんでしたっけ。ゼノグラシア？でしたっけ。見てないのでノーコメントです。インパクトが強すぎた。）――……アイマス一期は、アイマスを全く知らなかった私が、存在を認識した作品でもありますし……（なつかしいです。そして青い鳥でガン泣きしました。）――いえ、とりあえず視界に入ったので。……A.R.O.N.A.です。見た通りの目が死んでる系黒コートセーラー服美少女です。（ぺこ。）
  (2023/3/5 09:13:15)

A.R.O.N.A.> あ、すでにプレイ済みでしたか。（これは失礼しましたとぺこり。ぷれいゆーな。）   (2023/3/5 09:14:00)

A.R.O.N.A.> サイゲはそこらの展開うまいですよね。伊達にお空をマルチメディアで稼いでないというか。（ぷぃこねアニメも面白かったですし。うんうん）   (2023/3/5 09:15:48)

小春六花> ウマにしても、空にしても。割りとアニメお上手よね。サイゲ。   (2023/3/5 09:16:50)

シルヴィ（影）> まあ、私の作品も原作が別にあって、ほとんど原作とは別物なスピンオフと言うのでアニメ化をどうこう言えないけど…　私の中の人は「ガンパレードマーチを『戦死ネタありの学園サクラ大戦いけるんちゃう？　あ、声優のランク下げておこ（はぁと）』したのはとても許せない」と言っていたよ（遠い目）
  (2023/3/5 09:17:18)

A.R.O.N.A.> ゲームの方でお話も毎回面白いですからね。なんだかんだで。お空も気になるお話があると、今でも読みに行くくらいですし…（最近年末年始の無料ガチャとチャットツールとしてしか使ってないお空。尚ロボミシリーズのお話が好き。）……ああ、ウマもサイゲでしたね。ウマはもう語るに落ちたというか。（ずるすぎる。一期から大好き。スズカさんの沈黙の日曜日の歴史改変とか号泣しますて。）……―――（思い出し感情性失禁しかけるラスボス。）
  (2023/3/5 09:19:53)

シルヴィ（影）> あ、自己紹介がまだだったね。シルヴィ・スオマライネン。　Deep One
虚無と夢幻のフラグメントと言うFANZA…こほん、DMMの全年齢（版もある）ソシャゲのキャラだよ。小柄・爆乳・ドえむ・マッドサイエンティスト・オッドアイの属性過多で魔法使いだけど魔力ビームよりも怪しいお薬や装置を作る方のキャラ…割と客観的に言えたかな？  
(2023/3/5 09:22:05)

小春六花> 他の企業がど下手なだけ説とかあるけど。グラブル君は更に課金圧高める方針らしいので私は永遠に復帰しなさそう……。（はふん）   (2023/3/5 09:22:48)

A.R.O.N.A.> おや。原作あるのですか、とのフラ（へー、相槌うちつつ）――GPMアニメも観てませんね。原作ゲームは好きでしたが。（幻獣の首を刈れ。３００だ。）…あの頃は、まだそれほどアニメを見ていなかったので、GPオーケストラのオープニングが好きだったなあ、くらいです。（今でもカラオケで歌うラスボス。ラスボス…？）
  (2023/3/5 09:23:23)

A.R.O.N.A.> まあ、私もライト層ですし。友人たちが遊んでいるので会話ツールとしては使ってますけれど。そもそも古戦場走らなくて良いなんちゃって騎空団ですし…（末期のアークスみたいなきくうし。）   (2023/3/5 09:24:32)

京町セイカ> グラブルは単純にノルマがキツすぎて離れちゃったな…   (2023/3/5 09:24:48)

小春六花> 去年あたりから急に課金しないと人権がない世界に突入したのでかなりきついのよね……。   (2023/3/5 09:25:36)

シルヴィ（影）> 『Deep One
-ディープワン-』と言う昔に出た18禁ゲームらしい…私の中の人もプレイしてないけど、断片的な情報では数十年も前だし、海底都市と異世界冒険のとのフラと違って、原作は日本の一地方で話が終わっちゃうらしいよ。あとKOTY候補にされたとか。   (2023/3/5
09:26:00)

シルヴィ（影）> え？　課金って性能度外視で推しの衣装をコレクションするために月数万円課金することじゃないのかい？（洗脳済み。とのフラは戦闘が緩すぎのと最難関マップをクリアしても石が余計にもらえるだけなので、まさに衣装コレクションするしかないゲームです）  
(2023/3/5 09:27:03)

A.R.O.N.A.> うちはノルマ無いので気楽でいいです。もしかしてお空の楽しみ方として最適なまであります。（目が死んでるだぶるぴーす♡いえーい、プロ騎空士くんみてるー♡　そもそも騎空団のみんながチャットツールとして使ってるだけの騎空団チャット。昨日は原神とコーエーから出た死にゲー三国志のお話してました。お空で。）
  (2023/3/5 09:27:08)

京町セイカ> まぁ   (2023/3/5 09:27:25)

京町セイカ> 今は旅人としてテイワットをうろうろしてるから他のゲームに手を出すゆとりはないなぁ   (2023/3/5 09:27:47)

小春六花> そんなこんなでサイゲーからは離れましたね……。というか、ソシャゲから今はもう距離おいてるんですけど。……毎月の通信料が異常に減りました。   (2023/3/5 09:28:07)

A.R.O.N.A.> あったような…なかったような――――………（しらにゃい。）…………海底都市と聞くと、何とかデイズとか思い出しますね。（スクールデイズじゃないです。去年のクリスマスについに初見いっき見しましたが。色彩の嚮導者と一緒に。）  
(2023/3/5 09:29:17)

A.R.O.N.A.> MIHOYOのゲームは基本サブゲームとして遊ぶようには作られてませんから、他のゲームと一緒に遊ぶのはむつかしいですね。…私も原神する前は１０，２０平行してゲームをログインしてるとかざらでしたが、今ではすっかりご隠居ゲーマーです（薩摩ボグワーツとか配信で眺めて楽しんでるくらい。プロゲーマーかずのこさん大好き。）。
  (2023/3/5 09:31:06)

シルヴィ（影）> まあ、エロソシャゲにありがちなハーレム環境を作るのに邪魔だから、プレイヤーキャラを除く職員が死んだり追い出されたりで、男は主人公君しかいないんだけどね（笑）　とのフラは一日一回、その時のイベントを体力フルにしてから放置周回で成長素材や資金はあふれかえるほどに集まるけど、イベントの他に通常マップやらサブクエストを受けまくらないといけなくて、まともにやったら廃人になるぐらいに拘束力高いのも多いよね
  (2023/3/5 09:33:55)

小春六花> 薩摩ホグワーツは結局なんなのかわからないことは好き。   (2023/3/5 09:35:01)

A.R.O.N.A.> かっこわらいて。（ツッコミ役にまわりました。なんでやねん。裏手しゅぱーん）……拘束力高いゲームは、よっぽど出来が良くないと最近はむつかしいですよね。サクラナイトメア、でしたっけ。あれの続編のような続編じゃないようなゲームがつい最近リリースされて気になってましたけど…。――お話がFGOで、育成パートがウマ娘パワプロ、戦闘がファンキルと聞いて、あ、これ原神と崩壊休止しないと遊べないやつだってあきらめました。（ウマでさえ育成周回時間リソースつらいのに…。目が死んでる。）
  (2023/3/5 09:37:11)

A.R.O.N.A.> 「エ゛クズベリア゛ア゛ア゛ーーーーッ！！！」（武器を持つ腕ごとチェスト。）…みたいな感じですね。（猿叫。）   (2023/3/5 09:39:06)

小春六花> なにそれすごく楽しい……のかなぁ。　ソシャゲは結局最後は無課金である程度追えるかどうかみたいなところあるのよ……（色々と。リソースが金も時間も取られるだけのゲームは辛いのよね…）   (2023/3/5 09:39:50)

京町セイカ> 薩英戦争ののち、協力関係にあった魔法使いと薩摩武士の間で技術交換が行われたことは歴史的にもあきらか   (2023/3/5 09:40:29)

A.R.O.N.A.> そうですね。無課金で遊べないと、課金するまで私は気持ちが高ぶりませんし。――ただ課金出来ないゲームだと、引退もまた近い、というジレンマがあって、なかなか。（NIKKE引退勢。AFKアリーナタイプのゲームに課金するのは、自分にはちょっと辛かったです…。）―――いえ、NIKKEは良い出来だと思いますし、当分サ終しないとは思いますが。（ふぉろーふぉろー。自分にはつらかっただけで。カメラ目線。）
  (2023/3/5 09:42:08)

A.R.O.N.A.> 実際チェーンソーマンコラボで、私の周りでも始めた人多いみたいですし。（更にフォロー。むしろこの時期にやめた私が珍しいと思う。）   (2023/3/5 09:44:50)

京町セイカ> まぁそう考えると最近流行りのバトルパス制は結構好きなのよね(原神月額勢)   (2023/3/5 09:45:10)

シルヴィ（影）> 寝室が無課金で見れないと気持ちが高ぶらない…（ぼそ）　いや、寝室みるのに課金して素材を買う必要のあるゲームは滅びろと思うけどね（昔、そういうのに手を出したことが）   (2023/3/5 09:45:22)

A.R.O.N.A.> 原神は、紀行パスとデイリー買ってしまえば、毎回１天井くらいは普通にできるので、かなり私も遊びやすい課金体系だと思います――あ。……ブルアカもよろしくお願いします。（ぺこり。カメラ目線でダイマ。売りは覇権ゲーだからファンアートいっぱい流れてきてモチベ維持してくれること…？くらい。）……FANZAはそこら優しいですよね。とりあえずエロシーン見れる、みたいな。（チュートリによくぶっこまれてますし。）
  (2023/3/5 09:47:57)

A.R.O.N.A.> ――さて、なんだかんだ、楽しくいっぱい話し込んでしまいましたが。……まだ時間少しありますし、ちょっとおなにーして、二度寝してこようと思います。（お仕事前に。伸び。んぅー。セーラー服のすそからあざとくおへそ、ちらり）  
(2023/3/5 09:49:24)

小春六花> えー、オナニー見せてくれないの！？（くいついた   (2023/3/5 09:49:44)

シルヴィ（影）> え、オナニーの生配信チャンネルは？（さらにくいつき）   (2023/3/5 09:50:19)

京町セイカ> ……というか六花ちゃんは私へのお返事ほしいかな   (2023/3/5 09:50:26)

A.R.O.N.A.> 皆さん直球好きですよね。そういうとこ好きですよ…♡（目が死んでる儘食いつかれつつ。私は絡め手の方がすきなんですが）――ログ打ってる間に二度寝する時間がなくなるので（見せま、せん。）……それでは、今日はありがとうございました。（律儀にお礼する黒幕。ぺこり。）
  (2023/3/5 09:52:24)

おしらせ> A.R.O.N.A.さんが退室しました。  (2023/3/5 09:52:57)

京町セイカ> お疲れ様ー、またね   (2023/3/5 09:54:26)

小春六花> あ、気づいてなかった。   (2023/3/5 09:54:44)

シルヴィ（影）> お疲れさまだね。まだ寒いから温かくして眠るんだよ。   (2023/3/5 09:55:43)

小春六花> どーだろー。うーん…。別に遊びたいなら少しくらいなら時間取れるよ。   (2023/3/5 09:56:43)

京町セイカ> いやいや、時間ないならムリしなくて大丈夫よ？今したいっていうよりそういう機会があるなら私は満更でもないってことで   (2023/3/5 09:57:36)

小春六花> そーぉ？基本的に流れありきなので面と向かわれてもふぅん…としかならないよ   (2023/3/5 10:00:19)

京町セイカ> うん、だから機会があったらね。私はこうして話してるだけで楽しいし   (2023/3/5 10:00:58)

シルヴィ（影）> 時間がなくて外からロムしてることが平日では多いけど、割とすぐに手を出したりしてるこのお部屋では珍しい気質…私もすぐにエロスのエンジンがかかるわけじゃないから、すぐにしましょうと言われると戸惑うけれど   (2023/3/5 10:01:57)

京町セイカ> それすごくわかるわねえ。なんかそういう雰囲気になる流れってあるわよね   (2023/3/5 10:02:54)

小春六花> アロナちゃんいるセクハラしたろ！のメンタルで突撃してるからね……。（ころーん）   (2023/3/5 10:03:45)

シルヴィ（影）> 六花君の原典としてはおっぱい大きい子と小柄な子の両府がいるけど、六花君はどっちのタイプが好みなんだい？　ここにいるのは大きい方だけど   (2023/3/5 10:05:54)

小春六花> 私の原典ってーと、千冬ちゃんとかりせんのことかな？　どっちが選べないくらい大好き！が正解なんだけど……普段の趣味なら大きい方が好きかなー…。声質とか性格なら千冬ちゃん。（こく）   (2023/3/5 10:13:50)

シルヴィ（影）> なるほど…つまりロリ巨乳が最強と言うことだね（違）   (2023/3/5 10:18:00)

小春六花> セイカさんってこと（？）   (2023/3/5 10:21:18)

京町セイカ> 私！？   (2023/3/5 10:22:27)

シルヴィ（影）> いやあ、セイカ君はビール飲みのOLさんっぽい描写されることが多いから、ロリには当たらないんじゃないかな…？　私もロリ化したセイカ君を食べてはみたいけれど。この版権百合部屋ではロリ巨乳タイプの子は来たかな？   (2023/3/5
10:23:30)

京町セイカ> んまぁpixiv辺りでロリ巨乳判定されてるのはこの間発覚したばかりだけど…   (2023/3/5 10:24:10)

小春六花> セイカさんはロリ巨乳タグのおんなよ……（？）   (2023/3/5 10:26:29)

小春六花> いやー、そもそも性知識はある子じゃないとやーよー。   (2023/3/5 10:27:04)

京町セイカ> ロリ巨乳にもガチなやつと雰囲気ロリ巨乳があるものねー   (2023/3/5 10:30:44)

シルヴィ（影）> そうだったんだ…　私は飲酒の印象が強いからロリとは見えないけれど。　いやいや、ローティーンで性知識もおっぱいのサイズも十分にあるけど耳年増で体は未開発と言うのも…（にじりより）　でも、知識がないというか触っても「何してるの？　くすぐったいよ」タイプの子は確かに面倒くさい…（ぼそ）
  (2023/3/5 10:31:06)

京町セイカ> まぁ私のロリ巨乳は身長で合法ロリ判定されるようなものよ…151しかないからね…   (2023/3/5 10:33:05)

シルヴィ（影）> そういうことなら私もロリ判定されそうだね。ゲーム内で（見た目）ローティーン組と変わらないぐらいのかなり低い身長だし…   (2023/3/5 10:35:52)

小春六花> 耳年増とか精神がある程度性行為に対して円熟しててほしいよね。（それがエッチなことであると認識してほしい）   (2023/3/5 10:36:36)

京町セイカ> お互いある程度共通の認識がないとシチュエーションが進まないのよね…   (2023/3/5 10:38:56)

シルヴィ（影）> 無垢な子を落とすイメチャと言うのは、中のPLさんがわかってて協力してくれないとひたすらダメ出しと塩対応することになるよね…（遠い目）   (2023/3/5 10:40:05)

小春六花> 知ってるロリは好きだけど、知らないロリは嫌い理論ですね…   (2023/3/5 10:42:12)

京町セイカ> その辺も含めて気の遣いあいよね…私も気をつけないと…   (2023/3/5 10:42:14)

シルヴィ（影）> まあ堅い話よりも、柔らかい話の方が私は好き。おっぱいは…鍛えすぎて大胸筋レベルのまっ平でカチカチはこまるけど、程よく鍛えて指を跳ね返すぐらいに強い弾力と言うのも…（六花の胸に手を伸ばし）   (2023/3/5 10:46:15)

京町セイカ> でもあれね、シルヴィさんの言ってたロリ化っておもしろそうね。意識や知識はそのまま縮めるの。   (2023/3/5 10:46:27)

シルヴィ（影）> …そういうオクスリを作るか、ロリ化してしまう異空間設定でセイカ君を食べていいと？（じゅるり）   (2023/3/5 10:49:40)

京町セイカ> えっそこで私！？…まぁ、いいけど…   (2023/3/5 10:50:09)

小春六花> いいぞ……たくさん食べろ……（私のはそんなに大きくないぞーって。触らせながら触り返して…♥）   (2023/3/5 10:51:17)

シルヴィ（影）> 成長の余地があるおっぱいと言うのもそれはそれで…（右手で六花のおっぱい触りつつ、左手でセイカに）　セイカ君の場合はまずはそのままロリ化させずに素材の良さを味わってから…例えば酔いつぶれたセイカ君をお持ち帰りして、きちんと服を着替えさせて身体をふきふきの下着まで着替えさせて乃お世話をしてから翌朝に戸惑うセイカ君を押し倒すとか…（謎のこだわり）
  (2023/3/5 10:54:32)

京町セイカ> ………♡(左手で抱かれつつ耳元でシチュエーション囁かれると困ったように身体を捩らせて)   (2023/3/5 10:56:54)

シルヴィ（影）> セイカ君はお世話されたい側と…目覚めた時にスケスケでレースががなければおっぱいの4分の３やお尻の肉の大半がはみ出すドスケベ下着をつけさせよう   (2023/3/5 11:00:45)

京町セイカ> ふ、あ………♡(イメージの中におかしな下着をつけてベッドに横たわる自分の姿が浮かんで…甘い吐息が漏れ出してしまう)   (2023/3/5 11:02:16)

シルヴィ（影）> 六花君には…やっぱり「熊さんぱんつ」かな？（もみもみもみとセイカの胸を服の上から）   (2023/3/5 11:04:44)

小春六花> じゃあ、私もいただきます。（なんて、シルヴィさんの大きなおむねをわしわし掴みながら……♥）いや普通のレースのショーツだが！？   (2023/3/5 11:07:33)

京町セイカ> ンア…♡あ、ふう…♡(妄想で昂った身体はすぐに胸揉みに反応して…ツンっとその先端が興奮を伝えてしまう)   (2023/3/5 11:08:37)

シルヴィ（影）> おや？　普通の布一枚でお尻全部を隠すような大人しいというか普通過ぎるのかと思ったら、レース仕立てとはかわいいのはいてるんだね（いったんセイカから離れて確かめるべく六花のスカートをがばっとやろうと）   (2023/3/5 11:09:23)

小春六花> 流石に女子校生が、そんなのはいたらあとがやばいのよ。（いろいろと）   (2023/3/5 11:13:17)

シルヴィ（影）> ああ…授業の着替えとかで見せることもあるからスケベ過ぎず、おばさんっぽくならず…と。男子がいない女子高生ネタみたいに、夏場はスカートをまくり上げて中に下敷きなどで風を送ったり？   (2023/3/5 11:15:41)

小春六花> そうそう…。だいたいそういうこと。ダサすぎる下着は学校生活に影響及ぼしかねないからね！   (2023/3/5 11:21:11)

京町セイカ> や、やっぱり…そ、ういうとこも…考えてるんだ…♡(顔赤くしてへたり込みながら)   (2023/3/5 11:22:52)

シルヴィ（影）> 間違えて明日の夜の彼氏とのデート用のドスケベ下着を履いてくる子は…まあいないか。日常的に使っていたら違和感ありそう   (2023/3/5 11:24:54)

シルヴィ（影）> ん…会話が止まった？　それじゃ、ごめん。ちょっと出かけてくるから…   (2023/3/5 11:38:27)

京町セイカ> はーい、いってらっしゃい   (2023/3/5 11:38:45)

おしらせ> シルヴィ（影）さんが退室しました。  (2023/3/5 11:39:58)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2023/3/5 11:46:47)

おしらせ> 無言時間が25分を超えたため、京町セイカさんが自動退室しました。  (2023/3/5 12:03:50)

おしらせ> レンさんが入室しました♪  (2023/3/5 13:11:28)

レン> …ふ～、食った食った。…まぁ、男の時より食べられなくなってるから…そんなに食べた気がしないんだけど。お腹いっぱいになるなら何でもいっか…(今日もオフなので街で一人で外食。最初は…ラーメン屋とか入るの気にはしてたけど、今時のお店はおしゃれだったりして割と敷居が低い！…まぁ、今日は普通に牛丼。飯時だとやっぱり何処も混むもんだ、日曜日なら尚更。チェーン店ならそれなりに空いてるから入っちゃった…。そんな昼下り)……んー、おいし…♪(セブンイレブンで売ってるしまうまアイスを齧りつつ満面の笑み。最近ハマってるんだよね、これ。でかいホームランバーだろ？って俺も最初は思ったけど、歯ごたえあるくらいチョコいっぱいでパリパリって食感がホントいい。…天気のいい日はこんな風にアイス買って食べる日も増えそうだなぁ…ってアイスを咥えつつ窓の外を見上げながら、ソファに腰掛けて脚をぱたぱた)
  (2023/3/5 13:17:05)

レン> ぁ、むっ。…んむ、んく……寒い日ももう終わりかぁ。(アイス齧りつつしっかりと咀嚼。適度…初見なら多めに感じるくらいにバニラアイスに混ざるチョコを噛み砕くパリパリとした小気味いい食感が歯を伝わって…それも含めて美味しい。……あれ、おすすめ商品レビュアーだっけ、俺。)服…色々増えてくれたらいいんだけど…(叶わない願い。実装される前に終わっちゃったからね…海の向こう側だともっと増えてるのかな？きっとこっちに持ってこなかった衣装とかもあった筈。…なので当分は制服かな。あんまり服多くても、なんか迷うし。…ぼそぼそ)
  (2023/3/5 13:34:13)

おしらせ> 謎のヒロインXオルタさんが入室しました♪  (2023/3/5 13:46:56)

レン> …ん。(アイス完食。残った棒を指で弾いて…)ていっ…(ゴミ箱目掛けてシュート。1−3:入った　4−5:外れた　6:自分の頭に刺さった)   (2023/3/5 13:47:03)

レン> 1b6   (2023/3/5 13:47:15)

レン> 1d6 → (4) = 4  (2023/3/5 13:47:50)

レン> (〜〜〜〜〜〜！！！BとD間違えるとか何してんだ、俺っ。ソファからよろりと立ち上がって惨めに棒を拾い直してゴミ箱にストン。)   (2023/3/5 13:49:10)

謎のヒロインXオルタ> …あ、こんにちは…です、レンさん…(食事から戻って来たのですが、あちらの部屋はまだイチャついている様なのであまりお邪魔しない様にと下に降りれば…昨日見知った方がちょうど何かを弾いたのがゴミ箱から外れたところで…)横着するからですよ、ふふ…(色んな意味で間が悪かったところでしょうか？
バツが悪そうなところにくすっと笑みを漏らしましょう)   (2023/3/5 13:49:56)

レン> あ、えっちゃん、いらっしゃい。(昨日はどうも、なんて軽く会釈して。……ゴミ箱に棒を入れ直す格好の悪いところまで見られてしまえば、こほんっ！と咳払いして誤魔化しつつ)…そうだけど、さぁっ。誰も居なかったし見られるとは思わなかったんだし…っ、うぅ…。(…そりゃ、笑われるよなぁ、って肩を落としつつ首を揺するとえっちゃんに顔を向き直し)…そっ、それよりさっ。昨日はあんまり話せなくってごめん！(強引に路線変更)
  (2023/3/5 13:53:55)

謎のヒロインXオルタ> …そうですね、自分一人で誰も見てないから…と粗暴になる気持ちはわからなくもないです(昨日と同じ服装で恥ずかしいところをみられたとしょげるレンさんに多少の同条は覚えながらも、呆れ顔をほんのりと浮かべながらそっと傍らに腰掛けましょうか…)いえ、ほとんど偶然のタイミングで私もお邪魔した訳ですから、気にしなくていいです…ふふ、茜さんとはお楽しみでしたか？(強引に話題を切り返そうとする姿が微笑ましくて、では今度はそちらで突いてみましょう)
  (2023/3/5 13:58:29)

レン> 粗暴…粗暴、かぁ…うん。たくさん言われたよ、今までも…。信じちゃもらえないかもしれないけど、元は男だからな…俺(中身は男のまま、とか不思議な世界から来ているであろう彼女には伝わるのだろうか？なんて、視線をちらりと送ってみたり。)…ん゛ん゛っ…！ま、まぁ…？そ、っ…それなりにはっ…うんっ！(余計に追い詰められた気がした。逃げ場がどんどんなくなっていくような感じに、視線は合わせられずにしどろもどろ。返す返事もとっても適当なやつで、動揺)
