/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月21日 18時22分 ～ 2023年03月24日 01時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> 食べにくいからとか？>ひとりお姉ちゃん   (2023/3/21 18:22:29)
絹川みちほ> あ、出れる。それじゃ   (2023/3/21 22:57:57)

おしらせ> 絹川みちほさんが退室しました。  (2023/3/21 22:57:59)

おしらせ> 鹿目まどかさんが入室しました♪  (2023/3/22 00:09:12)

鹿目まどか> こんばんは…。寝る前に、ちょっとだけ…。（寝間着姿で髪を下ろして、枕を抱きつつソファに腰掛けて）   (2023/3/22 00:12:18)

おしらせ> 天童アリスさんが入室しました♪  (2023/3/22 00:13:41)

天童アリス> こんばんはぁ、御邪魔してもよろしいでしょうか?(ひょこっと壁から顔を覗かせて)   (2023/3/22 00:14:22)

おしらせ> 暁美ほむらさんが入室しました♪  (2023/3/22 00:14:29)

暁美ほむら> （こんな所でまどかが深夜に密会…。一体なんの話を…。窓の外に立ちながら聞き耳を立てる一般通過魔法少女。…不審者ではないわ。ホームセキュリティみたいなものよ。一緒にしないで頂戴。）   (2023/3/22 00:16:10)

天童アリス> あっ、どうぞ私がお邪魔でしたね。(間を開けて)   (2023/3/22 00:17:52)

鹿目まどか> こんばんはっ。えっと、どうぞどうぞ？（ソファから立ち上がると、顔を覗かせている女の子に、部屋に入るよう促して）   (2023/3/22 00:17:58)

鹿目まどか> …わ、ほむらちゃん…なのかな…？（おいでおいで、と窓の外に手を振ってみて）   (2023/3/22 00:19:17)

天童アリス> あ、ありがとうございます。自己紹介を天童アリスといいます。アンドロイドです、よろしくお願いいたします。(許可を頂けばへやにはいってはぺこっと頭さげて)   (2023/3/22 00:19:56)

鹿目まどか> いえいえ。私は、かなめまどか、です。よろしくね？（小さく頭を下げると、にこりと微笑み）…アンドロイドっていうと…ロボット？　すごい…普通に女の子にしか見えないよ…？（失礼かな、と思いながらも驚きのせいかまじまじと全身を見つめて←）  
(2023/3/22 00:24:10)

暁美ほむら> …？！（どうして…。気配は完全に消したはずよ。なのにまどかに勘付かれたわ…やるようになったわね、まどか。まどか（の因果）は私が育てたのよ。保護者のような穏やかな笑みを浮かべながら変身と同時に時間停止。普通に入り口に回り込んでドアノブを捻りつつ時間停止、変身解除。）…こんばんは。奇遇ね、こんな場所で会うなんて。（片手で黒髪ばっさぁあ。制服のままクール気取りで部屋の中をとことこ）
  (2023/3/22 00:24:49)

天童アリス> かなめまどかさんですか、なるほどぉ可愛い名前ですね。((ペコッと頭さげて)まーそうですねぇ、多分普通の人間に見えますけどアンドロイドです(こうみえて重火器ももてるアリスですよとふんすっ)   (2023/3/22 00:26:48)

鹿目まどか> こんばんは、ほむらちゃん。…えへへ、久しぶりに来てみたんだー。ほむらちゃんはよく来るの？（相変わらずクールだなぁ、と思いながら邪気のない笑顔で応えて）   (2023/3/22 00:28:29)

鹿目まどか> ありがとう、アリスちゃん。アリスちゃんも可愛い名前だねっ。（名前を褒められて嬉しそうに）そうなんだぁ…重火器って、バズーカとか…？　なんかすごいねぇ…。（感心した様子で眺めつつ）   (2023/3/22 00:32:45)

天童アリス> どういたしまして、まどかさん。えへへよく先生にもいわれます。(えへへって笑って)あ、いえ銃とかですね。そこらへんを使う子たちもたまにいますが(こくっ)   (2023/3/22 00:34:29)

暁美ほむら> インキュベーターの次はアンドロイド…。世も末ね（外宇宙の存在だの人間そっくりのロボットだの、まどかへの悪影響は計り知れないわ。今のうちに排除を。）RPG7なら私にだって撃てるわ（謎の対抗意識。）そう。いえ、私は…余り来ないわね。まどかの姿が見えたから来ただけよ。（軽く腕を組んで、まずは部屋を見渡せる位置に向かい壁に背中を預け）
  (2023/3/22 00:37:51)

天童アリス> 世も末ですねぇ。(きょとんとしながらはて、なにやらたくらんでそうなのでじりじりとちかづいて)あー私の銃は重いのでその銃よりかはおおきいですよ(ふんすっ)   (2023/3/22 00:40:19)

暁美ほむら> そう。なら…タンクローリーはどうかしらね？（ふふん。石油満載のやつよ、重いってレベルじゃないわ。何処か誇らしげ）   (2023/3/22 00:41:50)

鹿目まどか> 名前もそうだけど、髪も綺麗だしお人形さんみたい…。（無邪気に微笑むアリスちゃんを見つめながら、ほんとによくできてるなぁ、なんて思って）銃って、なんか危ないイメージが…よくわからない世界かも。（うーん、と考えて）   (2023/3/22
00:42:11)

おしらせ> 千代田桃さんが入室しました♪  (2023/3/22 00:43:54)

天童アリス> あーそれは持ってないですけど私の銃でとかせますよ?(煽り合戦がここに勃発しようとしている) ふふん、そうだと思います。(ふんすっ)私達の世界では先生を守らないといけないので)   (2023/3/22 00:44:08)

千代田桃> こんばんは……お邪魔してもいいかな？夜分遅くだけどね………(手をヒラヒラとラフな格好でおじゃまして)   (2023/3/22 00:44:31)

暁美ほむら> 確かに危ないモノよ、まどかには触って欲しくはないもの。（手の甲のソウルジェム撫でつつ。重火器満載だなんて決して言えやしないわ。）   (2023/3/22 00:44:51)

天童アリス> お邪魔しても、大丈夫ですよぉ(ひらひら)   (2023/3/22 00:45:26)

千代田桃> うん。よろしくね。後藤さんのccだよちなみに……(ウトウト)   (2023/3/22 00:46:00)

暁美ほむら> なかなかやるじゃない。私は溶かせない、とだけ言っておくわ（いざとなれば時間停止のチートスキルがあるもの。負けるわけがないわ。）   (2023/3/22 00:46:02)

天童アリス> あ、はいしってます。(よしよし）   (2023/3/22 00:46:42)

鹿目まどか> あっ…えっと、こんばんは。大丈夫ですよー？（すごく懐かしいかも？　と思いつつ挨拶して←）   (2023/3/22 00:47:23)

暁美ほむら> …こんばんは。深夜にこんなに人が集まるものなのね。明日の学校は……と思ったけどもう春休みね（休みが終わりそうになったら時間遡行すればいい。永遠の春休みよ）   (2023/3/22 00:47:41)

千代田桃> 良かった……え？何ここすごい殺伐としてるけど………(ヨシヨシされながらもさっき高くない？ここと)   (2023/3/22 00:47:42)

千代田桃> いいねそれ。永遠の春休み。エンドレスエイトだね。   (2023/3/22 00:48:00)

天童アリス> 並行戦な気がします。(じーと見てて)   (2023/3/22 00:48:02)

天童アリス> あー大丈夫です、気にしなければ(にこっ)   (2023/3/22 00:48:29)

千代田桃> 魔法少女としてなにかお助けになれば……   (2023/3/22 00:49:56)

天童アリス> 大丈夫ですよぉ、アンドロイドなので(よしよし）   (2023/3/22 00:50:16)

暁美ほむら> ふ…。それを言ってしまったら私の話は先に進むことはないもの。延々とループが繰り返されるだけの世界よ。（遠い目）   (2023/3/22 00:51:13)

千代田桃> あ、そうなんだ。アンドロイド……メカか……(じー)   (2023/3/22 00:51:44)

天童アリス> あ、私の武器レールガンらしいです(ぼそっ）   (2023/3/22 00:52:49)

暁美ほむら> まどか、眠いならもう寝てしまって大丈夫よ。というか早く寝なさい（母親面）   (2023/3/22 00:52:49)

天童アリス> はい、メカです。(じー)   (2023/3/22 00:53:21)

鹿目まどか> ずっとお休みならいいのに、って思うこともあるけど、あんまり長いと何したらいいのかわからなくなりそう…   (2023/3/22 00:53:32)

千代田桃> 武器なんて甘えだよ。頼りになるのは拳。筋肉さえあれば何とかあるんだよ……(じとー)   (2023/3/22 00:54:15)

鹿目まどか> んぅ…まだ大丈夫だよ。   (2023/3/22 00:55:47)

暁美ほむら> そうね。アテもない休みなんて退屈なだけよ。…むしろ落ち着かないわ（体験談。）そう。眠くなったら無茶はしないことね。   (2023/3/22 00:56:26)

天童アリス> 拳ですかぁ、たたかえなくはないですよぉ(しゅっしゅっ)   (2023/3/22 00:56:38)

鹿目まどか> えっと…桃さん、魔法少女なんだよね？　プロレスラーじゃないよね…？(いささか困惑しつつ←）   (2023/3/22 00:57:18)

千代田桃> 退屈な時というのは退屈じゃなくなった時に初めて気付くんだよ？……新年度になれば早くもGWは夏休みが恋しく……   (2023/3/22 00:57:53)

暁美ほむら> …初代のプリ○ュアみたいな考え方ね。とりあえず体術最強、的な。突き詰めたら実は最強だった体術しか出来ない忍者…なんてものにも浪漫があって良いものよ。   (2023/3/22 00:58:19)

千代田桃> え？あ、うん。魔法少女だけど………(そう言うと普段の魔法少女の姿へ←)   (2023/3/22 00:58:25)

暁美ほむら> （じぃいい。ソウルジェムは何処…？まずは急所を確認しないと。）   (2023/3/22 00:58:55)

千代田桃> ？………なんで狙われてるの私……   (2023/3/22 01:00:05)

天童アリス> 私は若干眠くなって来てます(うとうと）   (2023/3/22 01:01:39)

暁美ほむら> 狙いはしないわ。貴方が敵に回った場合のことを考えているだけよ。   (2023/3/22 01:01:57)

千代田桃> 眠いなら無理せずね？……(よしよし)   (2023/3/22 01:02:49)

千代田桃> 敵にはならないかな？……そもそもここは戦闘出来ないし   (2023/3/22 01:03:03)

暁美ほむら> もう一時よ。普通なら寝ている時間だし、アンドロイドとはいえ休息の時間は必要みたいね…？   (2023/3/22 01:04:52)

鹿目まどか> プロレスラーじゃなくてよかった…（小並感←）   (2023/3/22 01:06:03)

鹿目まどか> みんなで一緒に寝る…？（胸元に枕を抱きつつ）   (2023/3/22 01:06:48)

天童アリス> まだ、寝ないです(すりすり）   (2023/3/22 01:08:19)

千代田桃> そんな脳筋では無い…はず……()   (2023/3/22 01:08:59)

暁美ほむら> なら私は寝るわ。おやすみなさい…（かちゃ。まどかの胸に抱かれている枕を時間停止で私と入れ替えてまどかの胸で私は眠るわ…すやぁ。）   (2023/3/22 01:11:52)

おしらせ> 暁美ほむらさんが退室しました。  (2023/3/22 01:11:57)

天童アリス> お休みなさい(ひらひら）   (2023/3/22 01:12:19)

鹿目まどか> わ…枕とほむらちゃんが入れ替わってる…！？（なんか重いなとびっくりしつつ←）   (2023/3/22 01:14:12)

千代田桃> 重いなら筋トレをする必要が………   (2023/3/22 01:14:51)

天童アリス> なるほどぉ、時間遡航というわけですか(あの自信はそういうことだったのか(   (2023/3/22 01:15:01)

鹿目まどか> わ、私はそんなムキムキじゃなくてもいいかなって…。（ほむらちゃんは床に捨てておいて、再び枕を胸に←）   (2023/3/22 01:16:44)

天童アリス> (とりあえず毛布だけかけておきます)   (2023/3/22 01:17:34)

鹿目まどか> （アリスちゃん優しい…()）   (2023/3/22 01:18:36)

千代田桃> いやほら………ピンク同士のよしみとして……ダメ？…………()   (2023/3/22 01:18:39)

千代田桃> あ、眠気が…   (2023/3/22 01:18:43)

鹿目まどか> ダメじゃないけど…ピンクも一緒だけど、違う作品になりそう()   (2023/3/22 01:21:01)

天童アリス> (アリスはやさしいです)   (2023/3/22 01:21:10)

天童アリス> 眠っても大丈夫ですよ?(よしよし）   (2023/3/22 01:22:06)

鹿目まどか> 桃さんも一緒に寝よう？（枕を片手に耳元で囁き）   (2023/3/22 01:24:42)

千代田桃> 寝たいですね……   (2023/3/22 01:25:06)

千代田桃> あ、一人の性格が…   (2023/3/22 01:25:15)

天童アリス> 一緒にねましょう(耳元asmr)   (2023/3/22 01:25:40)

鹿目まどか> ひとりさんって寝る時どうしてるんだろう…押し入れなのかなぁ   (2023/3/22 01:28:02)

千代田桃> ダンボールの中で寝てるんじゃないかな？   (2023/3/22 01:30:40)

鹿目まどか> そこでも段ボールなんだ…確かに暗くて落ち着くけど   (2023/3/22 01:31:51)

鹿目まどか> アリスちゃんは、寝る時どうしてるの？　スリープモードみたいな感じ？   (2023/3/22 01:33:06)

千代田桃> 私普通に寝るね   (2023/3/22 01:34:19)

天童アリス> 私はどうなんでしょう。(はて)   (2023/3/22 01:34:43)

鹿目まどか> うんっ、おやすみなさい♪（桃さんに毛布掛けて）   (2023/3/22 01:35:56)

鹿目まどか> 充電しながら椅子に座って寝てる…みたいなイメージあるけど…   (2023/3/22 01:36:57)

千代田桃> あ、いや方法として普通に寝る……みんなが起きるならまだ起きる…   (2023/3/22 01:37:03)

天童アリス> 多分充電しながら寝てると思います。   (2023/3/22 01:37:35)

天童アリス> 私はまだおきてます。   (2023/3/22 01:37:47)

鹿目まどか> あっ、ごめんね…？　ひとりさんは普通に寝るって意味だったんだね…。   (2023/3/22 01:38:40)

千代田桃> とりあえずみんなが起きるなら起きようかな…   (2023/3/22 01:39:07)

鹿目まどか> 私もこのまま寝落ちしちゃうか、どうしようかなぁって感じだねぇ…（ソファに座りながら、膝に置いた枕に頭を預けて）   (2023/3/22 01:41:40)

天童アリス> でも、若干眠い。   (2023/3/22 01:42:00)

千代田桃> 眠いのもわかる…   (2023/3/22 01:43:42)

天童アリス> でもapexもみたいから寝れません(うとうと）   (2023/3/22 01:44:13)

千代田桃> な、なるほど…   (2023/3/22 01:45:44)

天童アリス> ふにゃっ   (2023/3/22 01:47:05)

千代田桃> ダメだひとりの人格が……   (2023/3/22 01:47:36)

天童アリス> 桃さんあなた疲れてるのよ   (2023/3/22 01:48:38)

千代田桃> 闇落ちするしかないね……   (2023/3/22 01:50:03)

天童アリス> あっ、やみおちした。   (2023/3/22 01:50:23)

千代田桃> 闇落ちするしか無いんだよ…   (2023/3/22 01:51:27)

天童アリス> そういえばそんなフォームありましたね   (2023/3/22 01:52:09)

千代田桃> うん……ひとりの人格が出るせいで闇堕ちだよ   (2023/3/22 01:52:57)

天童アリス> ひとりさんが悪いみたいになってます。   (2023/3/22 01:53:45)

千代田桃> ひとりが悪いんだよ   (2023/3/22 01:54:20)

天童アリス> シャミ子さんじゃなくて?   (2023/3/22 01:54:44)

千代田桃> 本編では言ってないんだけどね…   (2023/3/22 01:56:30)

天童アリス> 言ってないですね   (2023/3/22 01:56:56)

鹿目まどか> ふぇ…もうこんな時間…。（うとうとしながら）   (2023/3/22 01:58:39)

天童アリス> 起きてました。   (2023/3/22 01:58:58)

千代田桃> 起きてた……言ってないね   (2023/3/22 01:59:22)

天童アリス> 誰が流行らせたんでしょう?   (2023/3/22 01:59:47)

千代田桃> 私にも分からないかな……   (2023/3/22 02:01:02)

天童アリス> 私にもわかりません。   (2023/3/22 02:01:19)

千代田桃> アリスが悪いんだよ…   (2023/3/22 02:02:45)

天童アリス> なんで私なんでしょう?.   (2023/3/22 02:03:15)

鹿目まどか> そんなのあんまりだよ…()   (2023/3/22 02:04:17)

千代田桃> なんとなく…   (2023/3/22 02:04:18)

天童アリス> 名言でました。   (2023/3/22 02:04:39)

天童アリス> そしてアリスもだんだんねむく(ふわぁ）   (2023/3/22 02:05:16)

千代田桃> わけがわからないよ   (2023/3/22 02:05:18)

天童アリス> もう何も怖くない   (2023/3/22 02:05:55)

鹿目まどか> キュゥべえ…？   (2023/3/22 02:06:19)

鹿目まどか> マミさん…帰ってきて…()   (2023/3/22 02:07:21)

天童アリス> マギレコではいきてます。   (2023/3/22 02:07:51)

鹿目まどか> そうなんだ…あっ、でも私マミさん殺してた…()   (2023/3/22 02:09:30)

千代田桃> その辺は分からないなぁ…   (2023/3/22 02:10:13)

天童アリス> ワルプルギスはたおせなかったよ。その世界でも(やっぱり強いんだなぁ)   (2023/3/22 02:10:55)

天童アリス> (すやすや)   (2023/3/22 02:11:21)

鹿目まどか> 「みんな死ぬしかないじゃない！」ってご乱心の時に…   (2023/3/22 02:11:31)

千代田桃> そう思うと私の方は平和だなぁ   (2023/3/22 02:12:27)

天童アリス> やみおちしたとき危なかったような?   (2023/3/22 02:13:05)

千代田桃> たしかにそれくらいだよでも   (2023/3/22 02:14:18)

天童アリス> もう一人の魔法少女の子も危なくなりかけたような   (2023/3/22 02:15:17)

千代田桃> ミカンかな？たしかに呪いがね……   (2023/3/22 02:15:57)

鹿目まどか> んぅ…私そろそろ寝るね…？　おやすみなさい…（ソファからベッドへ移動して横になり）   (2023/3/22 02:15:59)

天童アリス> 危ない惨劇でした。   (2023/3/22 02:16:49)

おしらせ> 鹿目まどかさんが退室しました。  (2023/3/22 02:16:54)

天童アリス> お休みなさい（ひらひら）   (2023/3/22 02:16:57)

千代田桃> おやすみなさい   (2023/3/22 02:17:24)

千代田桃> そうだね。色々危なかった……まどかさんの世界よりはあれだけど   (2023/3/22 02:17:36)

天童アリス> 私もそろそろ眠いです。(休眠モードはいりかけ)   (2023/3/22 02:18:04)

千代田桃> 眠いなら無理せずだよ？   (2023/3/22 02:18:42)

天童アリス> お休みなさい（すやぁ）   (2023/3/22 02:19:00)

おしらせ> 天童アリスさんが退室しました。  (2023/3/22 02:19:03)

千代田桃> おやすみなさい。またね   (2023/3/22 02:21:09)

おしらせ> 千代田桃さんが退室しました。  (2023/3/22 02:21:13)

おしらせ> ニィロウさんが入室しました♪  (2023/3/22 11:11:01)

ニィロウ> こんにちは…お邪魔しまぁす…？（そろ、と中を覗き込んで。今日は確か――平日？の、お昼間。だから、流石に中は閑散としていて。ではなぜ自分がここにいるかというと――）……今日はなんと、お休み！（えへへへ―♡シアターのおしごとは大体みんながお休みの時にあるから、逆にみんながお仕事の日は、お休みな事がおうおうにしてあるのです。てててっ、って、日当たりのよいお部屋に）
  (2023/3/22 11:13:46)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/3/22 11:15:48)

ニィロウ> …祝日とかじゃないよね？（カレンダー確認した。違った。うん、良かった。ほう、って胸を撫でおろして――祝日とかは、お客さんが今日は多いな、とか思ったりするくらいなので、あんまり奇異してない毎日。）――こんな晴れた日は、日向で日向ぼっこして……♪（日当たりの良い場所に、ててててっ――あたたかな陽射しはとても気持ちがいい。猫伸び、んぅ――――っっっ♡）
  (2023/3/22 11:17:19)

中野三玖 ◆> …ふあ……。(和室とつながる障子をひいては中から顔を出して。眠そうにぽやぽや…)   (2023/3/22 11:19:16)

ニィロウ> ん？――ぁ、こんにちはっ♪………こんな天気の良い日だと、眠くなっちゃうね…♪（えへへー♡んーって窓際のテーブルにつっぷした姿勢。手をぱたぱたー♪ってお気楽に振って）   (2023/3/22 11:22:28)

中野三玖 ◆> (ぼんやりと視界に映るのは鮮やかな赤色の髪。ゆっくり近づいては、温かい陽射しを浴びてまた眠そうに…)   (2023/3/22 11:25:59)

ニィロウ> ……――？………♪（眠そうな様子に、邪魔しない方がいいかなって言葉を止めて。にこにこしながら、自分もテーブルに突っ伏すの、続行――♡）   (2023/3/22 11:32:22)

中野三玖 ◆> (日向ぼっこをする為に、同じテーブルの近くに座っては、机に突っ伏して)…ん、んぅぅ…(唸るような声をあげて、軽く身体を捩らせて。元から着崩れていたパジャマがさらに崩れては肩からパジャマが落ちそうで)   (2023/3/22 11:35:24)

ニィロウ> ……うんうん…♡（ここが一番日当たりいいもんねー、って心の中で納得。…って、パジャマの乱れに――）………っ（はしっ！と乙女の柔肌ガード。乱れないようにそっと抑えて肩にひっかけてあげました。見せられないよ！）   (2023/3/22
11:41:43)

中野三玖 ◆> …へぇ……手…出さないんだ…。(ぱち…と目を開けては、パジャマを元に戻す少女に声をかけて)   (2023/3/22 11:44:16)

ニィロウ> ……？――え、ええっと、手……？出して――（るよ？見えないようにガードしたし。…ん？って小首傾げて）   (2023/3/22 11:46:08)

中野三玖 ◆> ……てっきり胸とか見てきたり…触るかと思った(自分で着崩れを直しながら、目を覚ますように身体を伸ばして)   (2023/3/22 11:47:36)

ニィロウ> え？ええー………（なんだかすごい事言われた。）……うぅん、ええっと、別にみてもしょうがないし、触っても……やっぱりしょうがなく、ない……？（自分の大きくも、そんなに小さくもない胸手で両側から触って。ふにふに）   (2023/3/22
11:50:22)

中野三玖 ◆> ……ふぅん…(自分の横で胸に触れる少女を見守りつつ…)…私、三玖。中野三玖…。これからよろしく…   (2023/3/22 11:53:40)

ニィロウ> ぁ、――私、スメールのニィロウ！お休みだから、ちょっとお昼前にのんびりしにきたの♪――うん♪よろしくねー？（えへへー♡）   (2023/3/22 11:58:02)

中野三玖 ◆> (のび…ぐでぐで…)…にぃろう…？   (2023/3/22 12:09:20)

ニィロウ> そうっ、ニィロウ♪（私の名前だよ？って自分指さして。にこにこ♡）   (2023/3/22 12:10:25)

中野三玖 ◆> …踊り子？(服装を見ながら、昔の人みたいな…と)   (2023/3/22 12:14:29)

ニィロウ> えへへ、そうだよー♪スメールシティにあるグランドバザールの…ズバイルシアター！という場所で、踊ったりするのがお仕事っ…だったり、神様に踊りをささげたりとか――うん、そういう事して生きていくのが、私、ニィロウのおしごと、かな…♪（違う服装。違う格好。だから、ちょっと詳しく。歌うように軽やかに。リズムをとるように口ずさんで）
  (2023/3/22 12:21:52)

中野三玖 ◆> …？(スメールシティ…ズバイルシアター…？とよくわからない単語が聞こえてくるものの、彼女の仕事の内容は粗方わかったようで)…今日はお休みなんだ。普段から頑張ってるみたいだし…休んで行ったらいいよ。   (2023/3/22 12:27:07)

ニィロウ> うん、ありがとう！…お仕事は嫌いじゃないけど、ちょっとお休みしないと、からだもこころも疲れちゃうもんね…♪今日はいちにちじゅう、のーんびりっ、するつもりだよー♡（ほわわん♡）――三玖も今日はお休みなの？   (2023/3/22 12:32:44)

中野三玖 ◆> うん…学校はお休み。(のびのび…。)…家庭教師もないから……のんびりできる日。   (2023/3/22 12:34:23)

ニィロウ> へー…三玖って、おうちに先生がくるんだっ（すごーい！お金持ちのお嬢様みたい！きらきらっ♡）…うん、じゃあ三玖ものんびりだねー♪…私はそろそろお昼ご飯食べてこようと思ってるけど、お互いのんびりしょうねー……♡（えへへー♡同じようにのんびりごろごろ♡ふわ、と頭に手を伸ばして、子供にするみたいに、いーこ♡いーこ♡）
  (2023/3/22 12:47:19)

中野三玖 ◆> …ん…っ…？(撫でられると、不思議そうに首を傾げながら見つめて。撫でてくる手に頬を擦り寄せつつ…)   (2023/3/22 12:50:41)

ニィロウ> ん♡――それじゃ、お昼ご飯、いってくるね……っ♪（ふわって、踊るように軽やかに立ち上がって）またねー♪（ばいばーい♪って手を振って。ててててーっ♪）   (2023/3/22 12:57:44)

おしらせ> ニィロウさんが退室しました。  (2023/3/22 12:57:46)

中野三玖 ◆> いってらっしゃい…。   (2023/3/22 13:00:50)

中野三玖 ◆> …ご飯…もう食べちゃったし   (2023/3/22 13:08:57)

中野三玖 ◆> …誰か来るかな(もぞ…)   (2023/3/22 13:21:59)

中野三玖 ◆> (日向ってよくない…眠たくなっちゃう   (2023/3/22 13:34:11)

中野三玖 ◆> …よし、寝よう…   (2023/3/22 13:35:50)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/3/22 13:35:53)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/22 17:59:13)

倉田ましろ> とりあえず引けるだけ引いて瀬田先輩でたかな…星５ね   (2023/3/22 17:59:57)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/22 18:35:19)

後藤ひとり> こ、こんばんは…   (2023/3/22 18:35:23)

倉田ましろ> こんばんは、もうすぐ落ちちゃうけど…   (2023/3/22 18:37:32)

後藤ひとり> あ、そうなんですね……無理はせず……(撫で)   (2023/3/22 18:38:41)

倉田ましろ> もうすぐ夜ご飯だからね…呼ばれるまではいてるけど…（すりすり）   (2023/3/22 18:39:24)

後藤ひとり> なるほど(撫で)   (2023/3/22 18:39:34)

倉田ましろ> そういえばひとりさんのバンドリのガチャはいかほどに？（すりすり）   (2023/3/22 18:40:07)

後藤ひとり> ぼちぼちですね…あたりもまあまあ出てます……(むぎゅ)   (2023/3/22 18:42:16)

倉田ましろ> ぼちぼちかぁ…いいなぁ…（むぎゅう）   (2023/3/22 18:42:43)

後藤ひとり> そちらは？…(撫でて)   (2023/3/22 18:43:05)

倉田ましろ> まーそこそこかな…？（すりすり）   (2023/3/22 18:43:46)

後藤ひとり> 今日は星四が1人だけ…(すりすり)   (2023/3/22 18:46:04)

倉田ましろ> 私も星４いったいだけ…（すりすり）   (2023/3/22 18:47:44)

倉田ましろ> そろそろ夜ご飯できるらしいから行くね…お疲れ様…（ちゅっ）   (2023/3/22 18:50:38)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/22 18:50:43)

後藤ひとり> あ、お疲れ様でした……(手を振り)   (2023/3/22 18:51:09)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/22 18:54:03)

おしらせ> 鹿目まどかさんが入室しました♪  (2023/3/22 22:36:02)

鹿目まどか> こんばんはー。昨日は結局夜更かししちゃったなぁ…今日は早めに寝ないとね。（髪を下ろして、寝間着姿のままソファに座ると、枕を抱きつつ）…昨日と今日っていえば、野球すごかったなぁ…。普段全然見ないけど、あんなに一生懸命になって見たの久しぶり。  
(2023/3/22 22:40:38)

鹿目まどか> 今日だけは、午前中は仕事にならなかったって人が多いんじゃないかなぁ…（ふふふ）   (2023/3/22 22:44:31)

鹿目まどか> えへへ…今日はいっぱい元気もらえたし、早く寝よーっと♪ おやすみなさい♪（上機嫌でソファから立ち上がると、枕を抱えてそのままベッドへ←）   (2023/3/22 23:15:29)

おしらせ> 鹿目まどかさんが退室しました。  (2023/3/22 23:15:38)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/23 09:17:53)

倉田ましろ> はふっ、おはようございます…（ふわぁ）   (2023/3/23 09:18:17)

倉田ましろ> そろそろ行く準備するか…お疲れ様でした…   (2023/3/23 10:56:38)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/23 10:56:42)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/23 17:28:01)

倉田ましろ> こんばんは…   (2023/3/23 17:28:15)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/23 17:40:21)

後藤ひとり> 失礼します…   (2023/3/23 17:40:25)

倉田ましろ> こんばんは   (2023/3/23 17:43:39)

後藤ひとり> 今日も一日お疲れ様です   (2023/3/23 17:44:42)

倉田ましろ> ありがとう   (2023/3/23 17:45:29)

後藤ひとり> 私は何もしてないですけどね……(むぎゅ)   (2023/3/23 17:47:16)

倉田ましろ> おつかれさまだけでもうれしいいよ？（すりすり）   (2023/3/23 17:50:46)

後藤ひとり> ありがとうございます……何もしてないけど疲れちゃいました……(ぎゅ)   (2023/3/23 17:52:08)

倉田ましろ> どういたしまして…ねてるだけだったのに？（ぎゅう）   (2023/3/23 17:52:54)

後藤ひとり> 寝ても中々疲れが取れなくて……(ちゅ)   (2023/3/23 17:55:48)

倉田ましろ> それはつらいねぇ…（ぷにぷに）   (2023/3/23 17:56:12)

後藤ひとり> なかなか夜も寝れないし……(すりすり)   (2023/3/23 17:58:43)

倉田ましろ> 私と一緒だねぇ…（すりすり）   (2023/3/23 17:59:22)

後藤ひとり> 酷い時は5時寝とか…(ぽふ)   (2023/3/23 18:01:48)

倉田ましろ> 偏ってるんだねぇ…（よしよし）   (2023/3/23 18:03:35)

後藤ひとり> 昼寝はすぐできるのに……(ぎゅう)   (2023/3/23 18:06:59)

倉田ましろ> なんでなんだろうねぇ…？（よしよし）   (2023/3/23 18:10:00)

後藤ひとり> 七不思議です……(すりすり)   (2023/3/23 18:10:37)

倉田ましろ> 七不思議だねぇ…（すりすり）   (2023/3/23 18:13:07)

後藤ひとり> なので今日は頑張って寝ようかと……   (2023/3/23 18:17:27)

倉田ましろ> がんばれぇ…   (2023/3/23 18:18:46)

後藤ひとり> お腹も空いたし……   (2023/3/23 18:19:25)

倉田ましろ> お腹すいたかぁ…   (2023/3/23 18:22:49)

後藤ひとり> お肉食べたい…   (2023/3/23 18:23:14)

倉田ましろ> 食べる？   (2023/3/23 18:25:39)

