チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年05月21日 23時47分 ～ 2023年05月27日 04時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

琴葉茜> いや祥鳳さん別に全裸やないから。服着とるから。肩出しとるだけやから。   (2023/5/21 23:47:49)
無名> そうそう。菖蒲様にも心配されたくないからねぇ   (2023/5/22 20:59:35)

朝倉可憐> うん、お陰で深夜のお部屋でずっと泣いてたの。（苦笑い）   (2023/5/22 21:02:13)

クレー> か、感動のなみだだよね…？(可憐お姉ちゃんを心配そうにみて)   (2023/5/22 21:04:13)

朝倉可憐> 感動の涙ね…。最高のシナリオだったわ？   (2023/5/22 21:05:14)

クレー> そうなんだね♪泣いちゃうくらい良かったんだー…いいね♡(うんうん)   (2023/5/22 21:08:26)

朝倉可憐> 鍵のシナリオだから…クォリティは本当にすごいし、泣けちゃう……   (2023/5/22 21:08:59)

クレー> それじゃ、クレーもお風呂いってくるね♪クレーは戻ってくるかどうかわからないから‥お先におやすみなさいだけ残しておくねっ   (2023/5/22 21:09:05)

クレー> それじゃ、いってきまーす♪   (2023/5/22 21:09:37)

おしらせ> クレーさんが退室しました。  (2023/5/22 21:09:40)

無名> いってらっっしゃい   (2023/5/22 21:09:51)

朝倉可憐> お疲れ様。   (2023/5/22 21:09:56)

おしらせ> 無言時間が25分を超えたため、無名さんが自動退室しました。  (2023/5/22 21:34:53)

おしらせ> 無言時間が25分を超えたため、朝倉可憐さんが自動退室しました。  (2023/5/22 21:35:05)

おしらせ> クルミさんが入室しました♪  (2023/5/22 21:39:48)

クルミ> ただいまーっと…。おお…戻ってきたら誰もいなくなってるとは…さっきまでのワチャワチャが嘘みたいだ…。（お風呂上がりの印と言わんばかりに首にタオルをかけて戻り、さっきと違う静けさに少しの間呆然として）   (2023/5/22 21:43:22)

おしらせ> クレーさんが入室しました♪  (2023/5/22 21:44:55)

クレー> ただいまー♪(お風呂から帰ってきたクレーが帰ってきて。赤色の子どもパジャマを着て再び…！)   (2023/5/22 21:46:34)

クルミ> んお？クレーかぁ……おかえり〜。（ソファーに寝転がって小型端末を操作しているとクレーが戻ってきたのでぐでーっとした格好のまま手を振って）   (2023/5/22 21:48:52)

クレー> クルミお姉ちゃん♪(クルミお姉ちゃんをみかけてクレーもクルミお姉ちゃんの座ってるソファに座って)…それ、クルミお姉ちゃんのスマホ〜？(ってクルミお姉ちゃんの方をみて。覗き見ることはしないけど…！)   (2023/5/22 21:51:09)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/5/22 21:56:36)

後藤ひとり> 少し寝てきました……   (2023/5/22 21:56:40)

クルミ> んー…スマホとはちょっと違うけど似たようなものかな…？ほら、これを使えば外を飛んでるドローンを操作したり映像を見れるんだ…♪（得意げにそう言うと端末の画面を向けて夜景を見せて）……でもまあ…目視の方が良い時もあるかもしれない…（でもその時に見た赤色のパジャマのクレーが可愛かったから無意識に頭を撫でようとして）
  (2023/5/22 21:56:51)

クレー> あっ、ひとりお姉ちゃんおかえりなさいー♪ちょうど1時間くらいだね…！仮眠できた？(ふたりで同じソファにいながらひとりお姉ちゃんに手を振って)   (2023/5/22 21:57:59)

クルミ> お〜、おかえり〜。頭はすっきりしたかー？（ソファーの上でゴロンと転がって視線を向けて）   (2023/5/22 21:58:14)

後藤ひとり> まあ少しだけスッキリと……(ソファに座り)   (2023/5/22 21:58:53)

クレー> ドローン…！空飛ぶロボットかな？クルミお姉ちゃん操作できるんだね♪(夜景きれいー♡なんてクルミお姉ちゃんの端末の画面見せてもらって)‥クレーの住んでるモンドも夜は灯できれいだよ♪(たまたま持ってた写真を一枚ぺらーと見せてあげて)  
(2023/5/22 21:59:55)

クルミ> うんうん、寝られたならよかった。よーし、それじゃあ三人もいるんだし何かゲームでもするかー？（ソファーに三人並ぶ形になるとカバンから色んなゲームを出して見せてみて）   (2023/5/22 22:03:40)

後藤ひとり> な、何します？……   (2023/5/22 22:05:16)

クレー> わくわくー♪(？)   (2023/5/22 22:06:40)

クルミ> ああ…ほとんどAI制御だけど、ボクのボタン一つで何でもしてくれるんだ…♪モンド……聞いたことのない地域だ…。これってどの辺にあるんだ…？（見せて貰った写真は地球上のどことも一致しなくて、興味深そうに聞いてみて）   (2023/5/22
22:06:59)

クルミ> うーん、モノポリーやカタンといきたいとこだけど…ルールを教えてる時間はない…。とくれば、シンプルな王様ゲームとかでどうだ…？   (2023/5/22 22:08:19)

後藤ひとり> な、なるほど……それならいいかも……   (2023/5/22 22:09:40)

クレー> クレーの住んでるテイワットは、ここ日本とは別の世界にあるみたい♪クルミお姉ちゃんからみたらクレーは異国の人だね…！王様ゲーム？やってみたーい♪   (2023/5/22 22:10:43)

クレー> (モノポリーってボードゲームであるんだね！白いひげの紳士のおじさん、見たことあった♪)   (2023/5/22 22:12:25)

クルミ> よし、ならやってみよう…♪クジは無いからサイコロを振って、一番数の多い人が王様…。命令を出したら王様以外はもう一度サイコロを振って、数の多さで一番二番を決めるって寸法だ…♪   (2023/5/22 22:12:41)

後藤ひとり> アプリで見ましたね……モノポリー   (2023/5/22 22:12:57)

おしらせ> 無名さんが入室しました♪  (2023/5/22 22:13:31)

無名> ただいま   (2023/5/22 22:13:40)

後藤ひとり> あ、おかえりなさいです   (2023/5/22 22:14:00)

クレー> 無名お姉ちゃんおかえりなさいー♪これから王様ゲーム？をやるみたいだけど、無名お姉ちゃんもやってみる…？   (2023/5/22 22:14:16)

クルミ> テイワットか……別世界にあるならパスポートを偽造しても行けなそうだな…。   (2023/5/22 22:14:50)

無名> いいの？それならやろっかな   (2023/5/22 22:15:11)

クルミ> おかえり〜。ゲームやるから参加するならサイコロを取るといいぞー？   (2023/5/22 22:15:35)

後藤ひとり> パスポートを偽造……！？   (2023/5/22 22:15:57)

無名> もう投げても良い感じかな？   (2023/5/22 22:16:00)

クルミ> とりあえずやってみるか〜。王様だーれだっ。   (2023/5/22 22:16:18)

無名> 2d6 → (2 + 5) = 7  (2023/5/22 22:16:25)

クルミ> 2d6 → (4 + 4) = 8  (2023/5/22 22:16:35)

クレー> えーい！   (2023/5/22 22:16:43)

クレー> 2d6 → (1 + 4) = 5  (2023/5/22 22:16:51)

後藤ひとり> 2d6 → (4 + 3) = 7  (2023/5/22 22:16:52)

クルミ> おー、始めは年長者に譲ってくれるとかいい心意気じゃん…♪なら…一番が三番のほっぺにキスだ〜♪   (2023/5/22 22:18:02)

後藤ひとり> 2d6 → (6 + 3) = 9  (2023/5/22 22:18:22)

後藤ひとり> 【少し返事遅れますね】   (2023/5/22 22:18:34)

無名> 2d6 → (4 + 1) = 5  (2023/5/22 22:18:44)

クレー> 2d6 → (2 + 1) = 3  (2023/5/22 22:18:53)

クルミ> 【あいよー、ゆっくりしておいで〜】   (2023/5/22 22:18:59)

無名> 【は〜い】   (2023/5/22 22:19:07)

クレー> あにゃ、クレー一番すくない！   (2023/5/22 22:19:09)

クルミ> これは……ボッチがクレーにキスするってことになるのか…。妹と変わらない年代の子にそんな事するなんて…背徳的で見ものだ…♪   (2023/5/22 22:20:41)

無名> ひとりからキスするとこ初めて見るから楽しみ…   (2023/5/22 22:21:23)

後藤ひとり> えっと……私がクレーちゃんにすれば？   (2023/5/22 22:21:55)

クレー> 数が多い順なんだね…！(じゃあ、クレーの右ほっぺなら大丈夫だよ♪って指差して…それともお口でも//)   (2023/5/22 22:21:55)

クルミ> クスクス、ほっぺとは言ったけど口でもいいぞ〜？♪（完全に状況を楽しんでるようで囃し立てて）   (2023/5/22 22:23:15)

無名> そうだそうだ〜やっちゃえ〜（ガヤから見ていて）   (2023/5/22 22:23:58)

後藤ひとり> なんだかいつもの光景な気もしますけど………でしたらっ……♡ちゅ……♡(目を閉じながら唇にキスを……♡)   (2023/5/22 22:24:01)

クレー> ちゅ………♡(ひとりお姉ちゃんくちびる選んだー…♡って目を閉じてキスをうけて)…えへへ〜♪   (2023/5/22 22:25:44)

後藤ひとり> ここまでいわたらさすがに…♡   (2023/5/22 22:26:41)

クルミ> おーなんだなんだ〜？ふたりとも結構慣れてる感じだったぞ〜？//（初々しい反応を見られると思ったら経験豊富な感じで、意表を突かれてドキドキして）   (2023/5/22 22:29:03)

後藤ひとり> い、何時もしてますからね……///(慣れてます……♡なんて)   (2023/5/22 22:30:03)

クレー> クレーとひとりお姉ちゃんなかよし♪(えへへーと照れ笑い♡)…じゃあ、またサイコロふってみよっか♪   (2023/5/22 22:30:56)

無名> クレーはなんかそういうの慣れてるって聞いたよ。ひとりは噂程度にしか聞いたことないかなぁ（前聞いた話を思い出して）   (2023/5/22 22:31:12)

クルミ> ふーん、ならもっと命令の内容を過激にしてもいいな…？//よーし、次いってみるか…♪   (2023/5/22 22:31:38)

クルミ> 2d6 → (6 + 2) = 8  (2023/5/22 22:32:05)

無名> 2d6 → (4 + 4) = 8  (2023/5/22 22:32:12)

クレー> 2d6 → (3 + 1) = 4  (2023/5/22 22:32:40)

クレー> (無名お姉ちゃんが不慣れだから、あまり過激すぎない程度にね…！)   (2023/5/22 22:33:18)

無名> （ごめんクレー！ありがとう！）   (2023/5/22 22:33:42)

後藤ひとり> 2d6 → (6 + 5) = 11  (2023/5/22 22:34:18)

後藤ひとり> あ…   (2023/5/22 22:34:30)

クルミ> 王様はぼっちか……ちなみにボクにNGはほとんどないぞ♪   (2023/5/22 22:35:08)

クレー> ひとりお姉ちゃんすごーい！   (2023/5/22 22:35:11)

クレー> 2d6 → (2 + 3) = 5  (2023/5/22 22:35:25)

後藤ひとり> でしたら……2番が3番の人の胸を揉んでください……   (2023/5/22 22:36:09)

クレー> まちがえたー！王様の指示がでてからだよねっ   (2023/5/22 22:36:11)

クルミ> 2d6 → (1 + 4) = 5  (2023/5/22 22:36:37)

無名> 2d6 → (1 + 6) = 7  (2023/5/22 22:36:44)

クレー> 2d6 → (3 + 1) = 4  (2023/5/22 22:36:58)

クレー> ありゃ、クレーまた数字ちっさいや…！   (2023/5/22 22:37:24)

無名> この数字だと私揉むの！？もんじゃって良いの！？   (2023/5/22 22:37:34)

クレー> いいよ♪(この前さわってくれたもんね♡って無名お姉ちゃんに目線送ってどーぞ♪と胸を張ってみて。)   (2023/5/22 22:38:14)

後藤ひとり> わくわく…   (2023/5/22 22:39:23)

無名> そ、それじゃあいくよ…も〜み。あ、も〜み…（かなり遅い速度で胸を揉んでいく。手は緊張でガチガチ）   (2023/5/22 22:39:51)

クルミ> すごく噛み締めて揉んでる感じだな…。うんうん、初初しくていいじゃないか…♪   (2023/5/22 22:41:19)

クレー> んっ………//(えへへ♡クレーのおっぱいくらいで緊張しなくてもいいのに♪って力を抜いて無名お姉ちゃんに任せちゃう。優しくね♪ってにへー…♡と笑顔で応えて)   (2023/5/22 22:41:52)

無名> もんでもんで…っと！これでいいかな…いいよね！？（うん分かった…と優しくある程度数秒数えて揉んでからそっとおててを話す）   (2023/5/22 22:42:58)

クレー> ありがと無名お姉ちゃん♪   (2023/5/22 22:45:26)

無名> どういたしましてっ   (2023/5/22 22:46:05)

クレー> 次やるー？(終わったのでみんなの様子をみて)   (2023/5/22 22:48:48)

クルミ> 良かったなー…♪さて、揉み終わったみたいだし次のゲームに進むか…？   (2023/5/22 22:49:03)

無名> そうだね   (2023/5/22 22:50:02)

後藤ひとり> 私はいつでも   (2023/5/22 22:50:54)

後藤ひとり> 先しますね   (2023/5/22 22:51:22)

後藤ひとり> 2d6 → (2 + 4) = 6  (2023/5/22 22:51:32)

クレー> いくよー♪   (2023/5/22 22:51:47)

クレー> 2d6 → (3 + 1) = 4  (2023/5/22 22:51:52)

クルミ> 2d6 → (6 + 4) = 10  (2023/5/22 22:51:56)

無名> 2d6 → (2 + 2) = 4  (2023/5/22 22:52:15)

クレー> 無名お姉ちゃんとクレー同じ♪(えへへ)   (2023/5/22 22:53:02)

無名> ほんとだ！なんだか嬉しいね…   (2023/5/22 22:53:41)

クルミ> よーし、ボクが王様だな…？なら…1番が好きな相手の好きな部分の匂いを嗅ぐ、だ…♪   (2023/5/22 22:54:20)

無名> 2d6 → (5 + 4) = 9  (2023/5/22 22:54:43)

クレー> 2d6 → (1 + 1) = 2  (2023/5/22 22:55:34)

後藤ひとり> 2d6 → (6 + 1) = 7  (2023/5/22 22:55:43)

クレー> クレー小さい数字ばっかりー！(ぷくー)   (2023/5/22 22:55:50)

無名> あれ？私が大きい数字だね   (2023/5/22 22:56:32)

クルミ> 無名か…気になる相手の好きなとこ存分に嗅いでいいよ〜？   (2023/5/22 22:56:50)

無名> じゃあ…クレーの…んく…んく…（先程胸を触ったのでお腹のとこ嗅いできて）   (2023/5/22 22:58:18)

クレー> きゃー♡クレーのおなかが気になるの…？//(無名お姉ちゃんがクレーおなかに顔を当ててにおい嗅いじゃうの//…さっきお風呂入ったばかりだから大丈夫なはず♡)   (2023/5/22 22:59:51)

無名> おぉ…石鹸の綺麗なにおいがぁ…するね（近くに行かないと聞こえにくいぐらいの声の大きさでお風呂上がりの人の体なのでかなり普通の感想を述べてみる）   (2023/5/22 23:01:24)

クルミ> おー、嗅いでる嗅いでる…♪でもボクじゃなくてよかった……普段押し入れに入ってるせいでどうしても匂いが取れないからな…。   (2023/5/22 23:02:13)

クレー> え…！クルミお姉ちゃんとひとりお姉ちゃん仲間だ…！   (2023/5/22 23:02:57)

後藤ひとり> 仲間………？私はこんなにネット詳しく……   (2023/5/22 23:03:50)

クレー> 押し入れにこもってるところ…♪(クルミお姉ちゃんのレスに書いてあるよ♪)   (2023/5/22 23:04:23)

後藤ひとり> あ、なるほど……クルミさんも引きこもり…！   (2023/5/22 23:04:56)

クルミ> へー、ぼっちも押し入れで生活してるのか…？どれどれ…？（近くに寄って少しだけ鼻をならそうとして）   (2023/5/22 23:05:11)

後藤ひとり> え、いやあの……(もはや命令関係ない！？って嗅がれて)   (2023/5/22 23:06:06)

クルミ> ボクは引きこもりじゃないぞ…！？……いや…そう言われるとほとんど外に出てない気がしてきた…。……おー…。ボクに負けず劣らずの押し入れ臭だ…木の匂いがする…。（くんくん、と続けて鼻先がジャージに付きそうになったところでやめて）さっ、次の勝負に行くか…？それともそろそろ終わりにする…？
  (2023/5/22 23:08:27)

クレー> まだ大丈夫ー！(やろやろー♡)   (2023/5/22 23:09:36)

後藤ひとり> 私も学校はいってるし……クルミさんは学生ですか？……木の匂い……あとは殺虫剤の匂いとかも言われます……どちらでもいいですよ   (2023/5/22 23:10:02)

無名> 私はどっちでもいいかな   (2023/5/22 23:11:09)

クルミ> あー……ハッキングして大学の在籍者データを弄ればすぐに学生にはなれるぞ…。うん、だから学生だ…。ああ、殺虫剤の匂いも慣れると落ち着くんだよな…♪   (2023/5/22 23:13:01)

クレー> じゃあ、クレーふるよー！おっきい数字でろー♪   (2023/5/22 23:13:20)

クルミ> じゃあもう一戦するかー…！王様だれだー！   (2023/5/22 23:13:24)

クレー> 2d6 → (5 + 1) = 6  (2023/5/22 23:13:28)

クルミ> 2d6 → (4 + 6) = 10  (2023/5/22 23:13:35)

無名> 2d6 → (2 + 3) = 5  (2023/5/22 23:13:38)

後藤ひとり> つまりハッカーなんですね……   (2023/5/22 23:13:41)

後藤ひとり> 2d6 → (3 + 3) = 6  (2023/5/22 23:13:45)

クレー> クルミお姉ちゃんつよすぎー…   (2023/5/22 23:13:49)

クルミ> またボクか……。じゃあ全員でボクを好きにしろ…っていうのはあり？   (2023/5/22 23:14:47)

後藤ひとり> これまたなかなか過激なのを……   (2023/5/22 23:15:02)

無名> 好きに！？   (2023/5/22 23:15:14)

クレー> ええっ…♡クルミお姉ちゃんどうしたの？好きにしちゃうよ……？♡(じー)   (2023/5/22 23:15:43)

クルミ> と言っても体を壊すようなのはだめだぞ〜？まあ…全員で責めてもボクを満足させるには皆まだ若すぎるかもだけどね…♡   (2023/5/22 23:17:54)

クルミ> だってボクだけずっと絡みがないんだぞ？欲求不満にもなるって言うかさぁ…♡   (2023/5/22 23:19:02)

後藤ひとり> 確かにそうですね……   (2023/5/22 23:19:16)

クレー> だって、クルミお姉ちゃんがサイコロの振りがつよいんだもーん…♡流石クルミ王だね♪(のそのそとクルミお姉ちゃんに寄ってきて)…それじゃ、そんな欲求不満な王様にはみんなでご奉仕してあげなきゃ♡   (2023/5/22 23:20:30)

クルミ> まあでもしたいしたくないは人それぞれだから、無理にしなくてもいいからな〜？（とりあえず攻めやすいようにソファに腰掛けて、パーカーの下の下着は少しずらして）   (2023/5/22 23:20:43)

無名> じゃあ私は…足揉んであげるね（クルミの方へと寄っかかってつかかっいって）   (2023/5/22 23:22:25)

後藤ひとり> 私は後ろから撫でてあげますね……   (2023/5/22 23:22:59)

クレー> ひとりお姉ちゃんはいすのように抱きしめてあげると喜ぶと思うよ♪(ふかふかだもん♡)   (2023/5/22 23:23:43)

クルミ> 強すぎるが故の孤独だってあるんだぞー？ん…♡お手柔らかにな…♡（寄ってこられると何をしてもらえるのか期待して頬を赤くしていって）   (2023/5/22 23:23:53)

無名> 始めるよ〜（足をかなりゆっくりと揉んでいき始めて）   (2023/5/22 23:24:29)

クルミ> おー、ありがとー♪今日は100歩も歩いたから足がガチガチでさー…♪（足を揉んでもらうと顔をふにゃーっと緩ませていって）   (2023/5/22 23:25:32)

後藤ひとり> 椅子のように！？……私が椅子になるんですね……(後ろから抱きついて撫でて)   (2023/5/22 23:26:11)

クレー> えへへ……♡クレーと同じ声なのにそんな恥ずかしいこと言ってるとクレーが言ってるみたい♪(なんて、じゃあクレーはクルミお姉ちゃんのそばにきてパーカー少しずらして、クルミお姉ちゃんの下着見ちゃうの♪どんな下着なのかなー…♡ってくるーと)…クルミお姉ちゃん、クレーもご奉仕してあげるね…♡(って、くいっと顔近づけて、ちゅー…♡)
  (2023/5/22 23:26:18)

無名> ひゃ、100歩…それはぁ…大変だったね…（100歩で！？となるがなにか事情があってそうなってしまうのかと考察したのでより丁寧に揉んでいく）   (2023/5/22 23:27:09)

クルミ> 撫でてくれるのか…？ならボクの髪、ぼっちと同じ押し入れの匂いがするからよく嗅いでみなよ…♡（後ろから抱きつかれると大きな胸やぼっちの顔に長い金色の髪がフワァっと撫でるように当たって）   (2023/5/22 23:28:24)

後藤ひとり> あ、は、はい………っ確かに似てる香りが………♡(後ろから胸を押し付けながらも顔を神に填めてくんくんと)   (2023/5/22 23:30:48)

クルミ> あ…！クレーが一番慣れてるんだもんな…人は見かけによらないわ…//（パーカーを捲られるとワンポイントでリスがプリントされた子供っぽい下着があらわれて）んぁぅ…！？っ…♡（無邪気な責めに抗うことなんてできなくて、いいように唇を奪われると目をとろんってさせて）
  (2023/5/22 23:32:53)

クレー> ひとりお姉ちゃんふかふかで座り心地いいでしょ……♡無名お姉ちゃんも丁寧にマッサージしてくれてるもんね…♪(いたずらにくすぐっちゃってもいいんだよ♡って無名お姉ちゃんに目線で合図して…)   (2023/5/22 23:33:31)

クルミ> 普段は50歩くらいなんだけど、今日は大分あるいたからなー♪あー、いいかんじ…♡（揉まれた足は気持ちよさそうにピクピクって動いて）   (2023/5/22 23:34:37)

無名> 50歩ねぇ…確かに大変かも…（もっと歩いていると言うところだがここで言ってしまったら気まずくなるので話を合わせる）おっ。じゃあちょっとお言葉に甘えて…ちょっと速度上げるね〜（クレーの目線の合図に気付いたので会話しながらひょいひょいっとくすぐっちゃったりもしてみる）
  (2023/5/22 23:35:37)

クレー> あー…♡クルミお姉ちゃんかわいー…♡(クルミお姉ちゃんの下着…♡クレーもぷちぷち…とボタン外して自分の下着見せちゃう♡クレーはうすぴんくで胸に小さなりぼんのキャミソール…♡)…ひとりお姉ちゃんや無名お姉ちゃんには負けちゃうけど、クレーのおっぱいさわってみてもいいよ…？♡あっ、クルミお姉ちゃんと大差ないかも…？♡(なんて王様を煽っちゃうイケナイクレー…♡)それともぉ…こうかな♡(クルミお姉ちゃんの下着の上から手をすすー…とはわせて♡)
  (2023/5/22 23:36:22)

クルミ> んくぅっ♡かなり息当たってるぞ…？えへへ…そんなにいいのか、ボクの匂い…♡（首筋や頭に当たる息が擽ったくて変な声を出して。息を整えながら甘い声で伝えていく）   (2023/5/22 23:37:11)

クルミ> ひゃっ！？んん…これ、揉むって言うよりくすぐるだろぉ…♡（足の触り方がフェザータッチになってくると擽ったくて口から涎が垂れそうになるのを必死に我慢して）   (2023/5/22 23:39:59)

無名> ご、ごめんっ…で。でももうちょっとだけ…（それでも今嬉しそうじゃなかった？なんて小悪魔的な笑みを浮かべて弱めるもくすぐるのは続けちゃうよ♡）   (2023/5/22 23:41:45)

後藤ひとり> あ、いえ……♡その……♡慣れてる匂いと女の子の良い香りが……♡(胸を当てながらも息を耳元に吹きかけて)   (2023/5/22 23:42:05)

クルミ> ひっ♡子供のくせに……どこでそんな触り方ぁ…♡（下着の上から的確に性器に与えられるもどかしいくらいの感覚に足をピーンとさせながら少しずつ足を開いてしまって）ボクだって……大人として負けられない…ぞ…♡（休みなく与えられる快感に震える手でキャミソールに触れると、そのまま先端を探して指先をくりくり動かして）
  (2023/5/22 23:44:17)

クレー> ふふー…♡無名お姉ちゃんもひとりお姉ちゃんも良い感じだよ♪クルミ王様にしーっかりご奉仕して、気持ちよく今夜は寝てもらおうね…♡(クレーはクルミお姉ちゃんのおむねまで手をのばしながらふにふに…♡ちくび探して…♡こ・こ……♡って小さな人差し指でくにくに…♡と当てちゃって…)…んあっ♡クルミお姉ちゃん…//やだっ♡同じ声なのにえっちな声でちゃう…//ふにゃっ♡
  (2023/5/22 23:45:37)

クルミ> あひっ♡い…ひぃぃ♡くすぐるの…だめだってばぁ♡（息が出来なくなるほど擽ったくて気持ちよくて、歯をガチガチさせながら目を閉じて耐えようとして）   (2023/5/22 23:46:37)

クレー> あっ♡クレーおむねを触ってたつもりだったけど…クルミお姉ちゃんは下の方がご所望だったんだね…♡さわってあげる…♡(もう片方の手を下にのばして…すりすり…♡)   (2023/5/22 23:47:02)

無名> だよね！じゃあだめなだここで揉む方に切り替え〜（擽り続けに続けてからここぞとの合図で快楽を与える為に擽りから足揉みに切り替える。揉み方も最初に比べれば濃厚味が増している）   (2023/5/22 23:48:51)

クルミ> そんな素直な声で……い…いい匂いって…言うなぁ…♡あひっ♡みみはぁ…だめ…だろ…っ♡（耳にかかる息が頭の中を全部空っぽにしていくと、お腹の方から気持ちいいのが上り詰めてくるのを感じて）   (2023/5/22 23:50:24)

クルミ> ひっ♡やめ…ろぉ…♡ちくびも、したも…ぜんぶされたら…♡ぼく…もどれなくなるだろぉ…っ♡♡（上と下のお豆に同時に快感を与えられるともう呂律が回らなくなるほど気持ちよくて、下着にはお漏らしみたいに生暖かい液体がじんわり染み出してきて）  
(2023/5/22 23:54:13)

クレー> 無名お姉ちゃん、クルミお姉ちゃん感じて足が暴れちゃうみたいだから蹴られないようにね…♡   (2023/5/22 23:54:30)

後藤ひとり> 事実ですし……♡それとももっとした方がいいですか？……♡(抱きついたまま耳を舐めたり背中をさすったりして)   (2023/5/22 23:54:50)

無名> あ〜大丈夫。私、普段は戦ってるからそういうのには慣れてるからっ   (2023/5/22 23:55:32)

クレー> クルミお姉ちゃん…♡みんなにご奉仕されて…♡みんなにレス返して…こーんなに感じて立派な王様だね…♡(すりすり…♡クルミお姉ちゃんのおぱんつの上からなぞるように…♡クレーの小さな手がクルミお姉ちゃんの割れ目をしっかりなぞって…♡)…クルミお姉ちゃん気持ちいい…？♡もっと可愛い声だしていいんだよ……♡クレーもお部屋でたくさん声でちゃうから…クルミお姉ちゃんの声も響かせちゃお…♡(もちろん、ちくびさんもちゃんとくにくに…♡たまに指先でくりくりっ♡とさせてみたり…♡)
  (2023/5/22 23:57:51)

クルミ> ひっ…♡いぐっ♡い…ぐぅぅうぅ♡////（色んなところからの休みない責め立てに小さな体は限界を迎え、足無名に預けながらピーンと伸ばし、頭はぼっちの声や舌でとろとろに蕩かされながら、大事な部分からはプシッと音を立てて大きな絶頂を迎えてしまう）  
(2023/5/22 23:58:17)

クルミ> はぁ…♡はぁ…♡すまない…流石にボクの体力の限界だ…//三体一はやっぱり分が悪い…♡   (2023/5/22 23:59:46)

クレー> きゃっ……♡(クレーの手にもたくさん漏れ出ちゃうクルミお姉ちゃんのえっちなお汁……♡とろとろー…♡って溢れ出てきて…)…♡クルミお姉ちゃん気持ちよかったんだね♪よかったぁ♡♡(えへー♡とにこにこして…♪)   (2023/5/23 00:00:21)

後藤ひとり> 気持ちよさそうで何よりです……♡   (2023/5/23 00:00:39)

クルミ> うう…恥ずかしすぎだろ//今日はこれで寝るけど、この借りはいつか返すからなぁ！おやすみ…！（三人からなおも続く言葉責めにお大事の疼きが止まらないのを隠しながら、捨て台詞のようなものを残して部屋を後にして）   (2023/5/23 00:03:21)

おしらせ> クルミさんが退室しました。  (2023/5/23 00:03:31)

後藤ひとり> お疲れ様でした……♪   (2023/5/23 00:03:49)

クレー> えへへ…またきてね♡クルミお姉ちゃん♪おやすみなさいっ   (2023/5/23 00:06:40)

後藤ひとり> みんなもそろそろ寝ますか？   (2023/5/23 00:07:46)

クレー> 無名お姉ちゃん大丈夫かな…？(4人でぐるぐる回して大変だったもんねって無名お姉ちゃんを優しく寝かせてあげつつ)   (2023/5/23 00:08:25)

クレー> クレーもキリがいいし、今日は寝ちゃおうかなって。それにまだほっぺも治ってなくて…(あうー…)   (2023/5/23 00:09:03)

後藤ひとり> あ、そういえばそうでした……お大事に…   (2023/5/23 00:09:54)

クレー> (って、そんなにすぐに治るものじゃないのは十分わかってるから安心してね♪)   (2023/5/23 00:10:14)

後藤ひとり> 私はまだ経験したことないんですけど……とにかくご無事を……   (2023/5/23 00:10:56)

無名> お疲れ様。私落ちるね。ありがとう   (2023/5/23 00:12:05)

おしらせ> 無名さんが退室しました。  (2023/5/23 00:12:07)

クレー> はーい！おやすみなさい無名お姉ちゃん♪   (2023/5/23 00:12:52)

後藤ひとり> おやすみなさい……♪   (2023/5/23 00:13:02)

クレー> うん…♪ちゃんと安静にしてたくさん寝て早く治るようにする！   (2023/5/23 00:14:44)

クレー> それじゃ、今日はもう寝ちゃうね…！ちょっと早いけど…。うん、ちゃんとねる♪   (2023/5/23 00:15:35)

後藤ひとり> おやすみなさい……♪   (2023/5/23 00:15:47)

クレー> はーい、おやすみなさいっ(おやすみのちゅー♡)   (2023/5/23 00:16:57)

おしらせ> クレーさんが退室しました。  (2023/5/23 00:17:00)

後藤ひとり> ありがとうございました……♡   (2023/5/23 00:17:54)

おしらせ> 後藤ひとりさんが退室しました。  (2023/5/23 00:17:55)

おしらせ> 成歩堂 みぬきさんが入室しました♪  (2023/5/23 17:08:04)

成歩堂 みぬき> こんにちは~…で良いのかなｯ…?ちょっと緊張してますけどゆっくりしちゃいましょうかねｯ。(謎の緊張を表すかの様に目を少し泳がせ、ソファへと座って行き。)…こうして寛いだら緊張は逸れるんですかねｯ…   (2023/5/23 17:11:56)

成歩堂 みぬき> …ふぁあ。っと。ちょっと眠たくなっちゃいましたね…一先ず今回はこの辺で…お部屋汚し失礼しましたｯ。(すたた、とその場から去って行き。)   (2023/5/23 17:32:40)

おしらせ> 成歩堂 みぬきさんが退室しました。  (2023/5/23 17:32:42)

