/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月08日 15時11分 ～ 2023年01月09日 10時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> ですよね……油断してたら寝そう……   (2023/1/8 15:11:45)
後藤ひとり> あ、おやすみなさいです……   (2023/1/9 01:28:19)

伊地知虹夏> キタちゃんはお疲れ様！ゆっくり休んでね！   (2023/1/9 01:28:48)

伊地知虹夏> お姉ちゃん…！？お姉ちゃんがそれで幸せになるなら私は良いと思うよ？後悔しなければそれで…   (2023/1/9 01:29:37)

PAさん> こちらこそ普段（本編）あまり話す機会も少ないから楽しかったです♪おやすみなさい喜多さん   (2023/1/9 01:29:45)

PAさん> ………懐が深いって言えばいいのか。虹夏さんは優しいですね。（下北沢の大天使って呼ばれる理由を垣間見ました）   (2023/1/9 01:32:19)

伊地知虹夏> そうかなぁ？えへへ。ありがとうございますっ！ぼっちちゃんもリョウもキタちゃんも…みんな優しいですよ？   (2023/1/9 01:34:36)

後藤ひとり> わ、私は普通ですよ……///   (2023/1/9 01:35:02)

PAさん> 喜多さんと後藤さんは何となく分かりますけど…山田さんも？（喜多さんは普段が、後藤さんはお金貸してたりとか見ましたけど…普段の印象に優しさが浮かばないのが…）   (2023/1/9 01:37:33)

伊地知虹夏> リョウは優しいよ？みんなの事をちゃんと見てくれてるし、しっかり考えることは考えてくれてる。そんなリョウが私は好きだしキタちゃんも慕ってくれてるんじゃないかな？   (2023/1/9 01:38:56)

PAさん> そうですか。喜多さんの慕い方はまた少し別な気がしますけど…なんだかんだと結束、できてるんですね♪   (2023/1/9 01:40:25)

伊地知虹夏> 結束はできてると思いたい！うん！思いたい…なぁ……   (2023/1/9 01:42:41)

PAさん> そこは自信持って下さいよ。私だって皆さんの事結成した頃から見てきてるんですから…応援してますよ♪   (2023/1/9 01:44:55)

PAさん> さて…後藤さーん？（ほっぺつんつん）   (2023/1/9 01:46:19)

後藤ひとり> あ、はい……   (2023/1/9 01:46:39)

PAさん> 私ももう帰りますので、ちゃんと虹夏さんに添い寝（＋α）してあげてくださいね？♪   (2023/1/9 01:48:46)

後藤ひとり> あ、は、はい……//   (2023/1/9 01:49:07)

伊地知虹夏> ですよねっ。ありがとうございます！あはは…。ぼっちちゃんは最初からそれが目当てで来てるもんね？違った？   (2023/1/9 01:50:40)

後藤ひとり> も、もちろんそうですよ！   (2023/1/9 01:51:19)

PAさん> 素直な返事ですね。そういう事なのでお先に失礼しますねー。お相手して頂いてありがとうございました。次は…私も店長がいる時とかに顔出せたらいいなー。   (2023/1/9 01:51:24)

後藤ひとり> お疲れ様でした……   (2023/1/9 01:52:01)

PAさん> 仲睦まじくて何より…では（ぺこりとお辞儀してお先にあがりまーす）   (2023/1/9 01:52:26)

伊地知虹夏> お疲れ様です！おやすみなさいっ。   (2023/1/9 01:52:31)

おしらせ> PAさんさんが退室しました。  (2023/1/9 01:52:31)

伊地知虹夏> さてと。ぼっちちゃん、眠くない？大丈夫そう？   (2023/1/9 01:56:24)

後藤ひとり> まだ大丈夫です……   (2023/1/9 01:56:36)

伊地知虹夏> そっかそっか。お昼に言ったもんね。添い寝するなら付き合うよ？何ならお話しして眠くなったらそのまま…って感じでも良いし…   (2023/1/9 01:57:34)

後藤ひとり> ならそうします？   (2023/1/9 01:59:39)

伊地知虹夏> 良いよ？お部屋はどうする？ぼっちちゃんが建てる？それとも私が建てる？   (2023/1/9 02:01:39)

後藤ひとり> お願いしていいですか……？   (2023/1/9 02:02:04)

伊地知虹夏> 建てたよ！それじゃあ先に行ってるね！   (2023/1/9 02:03:49)

おしらせ> 伊地知虹夏さんが退室しました。  (2023/1/9 02:03:53)

おしらせ> 後藤ひとりさんが退室しました。  (2023/1/9 02:04:24)

おしらせ> 巴マミさんが入室しました♪  (2023/1/9 02:18:20)

巴マミ> あ、ふ…………ちょっと間が空いたわね…とはいえ…まぁ良いけど…(現れるなり欠伸一つ、目元を擦りながら気怠そうにソファへと身を投げて   (2023/1/9 02:20:23)

おしらせ> 小春六花さんが入室しました♪  (2023/1/9 02:25:40)

小春六花> やっほー。   (2023/1/9 02:26:02)

巴マミ> ……あら、今晩は小春さん…？(ひらひらりと   (2023/1/9 02:30:07)

小春六花> こんばんはー。一人で寂しそうにしてたからみにきたぞーっと   (2023/1/9 02:30:42)

巴マミ> …………一言二言余計な気がするわよ(むーっ…   (2023/1/9 02:31:38)

小春六花> そー？不要ならでるけどー。（どこふくかぜー）   (2023/1/9 02:33:10)

巴マミ> …………ホントに冷やかしに来ただけなの…(じとー…   (2023/1/9 02:34:05)

小春六花> なんだろう、冷やかしも何も雑談しかしないんだから？   (2023/1/9 02:36:10)

巴マミ> ……小春さんがそれで良いなら構わないけれど……そんなボキャブラリー？みたいなのは私も持ち合わせてないわよ生憎…？   (2023/1/9 02:38:35)

小春六花> ないならないで作るのがざつだにすとのしごとなのよ？　それに巴さんもあれでしょ？雑談勢でしょ？   (2023/1/9 02:40:29)

巴マミ> なら大丈夫そうね……湯水のごとく出てくるでしょうし…？　　別に勢って訳では無いのだけど……   (2023/1/9 02:42:49)

小春六花> あれ違うのー？私クラスのスーパー雑談ガール何だと思ってた。（てへぺろー☆）   (2023/1/9 02:44:13)

巴マミ> ………言って小春さんは……………(一度首を振り)……私の場合は単純に未だ今来てる人達と距離感が掴めてないって…前にも言った…かしら…？   (2023/1/9 02:48:09)

小春六花> なーにー？なになに？途中で黙るのはよくなくない？お昼に眠くなっちゃう。　あんまりそういうこと言いすぎてると一生詰められなくなるよ、ソースは私。   (2023/1/9 02:51:00)

巴マミ> どうしてお昼の話になるのかしら………別に気にせず寝られるでしょう小春さんなら…？　　その時はその時ね…元通りになるだけだから…？   (2023/1/9 02:53:57)

小春六花> 夜も寝られなくもなにも今寝てないからねー。（はふ）　あんまり達観するもんでもないよー。巴さんは私と違ってまだまだ未来のある若人なんだからよ。   (2023/1/9 02:54:57)

巴マミ> 普段なら小春さんはそろそろ寝てる時間でしょう…？　　………干支一周り離れてるでもないのに何言ってるのかしら…   (2023/1/9 02:57:21)

小春六花> 寝てる時間だねぇ……19時から寝ちゃったので起きてるけど。　若い頃の2年間はだいぶ違うんじゃよ……（よぼよぼ   (2023/1/9 03:01:05)

巴マミ> ………それは確かに、寝にくい過ごし方してるわね…だからってあまり感心は出来ないけど(じとー…)……なら実演形式で教授でもしてくれるのかしら？   (2023/1/9 03:04:39)

小春六花> 完全にお風呂入って気持ちよくなっちゃったやつだねぇ……（目そらし）……何を知りたいの？やらかし先生を表出するのはよくなくなーい？   (2023/1/9 03:06:42)

巴マミ> …………お風呂に入ったならそれで寝られるんじゃないかしら普通は……？(首傾げ)反面教師にするには何か違う気がするのよ小春さんは……だったら何か、良い方法の一つでも聞いた方が良いと思ったのだけど？   (2023/1/9 03:12:15)

小春六花> それで、そのまま寝落ちて0時に起きたのよ。　いい方法なんて、とりあえずこう、抱きついて遊びましょ？って誘うのが一番よ？   (2023/1/9 03:13:36)

巴マミ> 嗚呼……そういう経緯だったのね………それなら入り直すのが一番かしら…？　　それは万人と遊びたい人向けのやり方でしょう……？   (2023/1/9 03:15:07)

巴マミ> 第一目の前の誰かさんには効果無かった以上それこそ参考になってないわよ……   (2023/1/9 03:16:47)

小春六花> そうそう、だから寝るのもなー。って起きてる。　万人向けが1番じゃなーい？　それに私にお部屋行こ？って言ったことなくなくない？   (2023/1/9 03:21:10)

巴マミ> 小春さんが普段どんな生活リズムか解らないけどあまり狂わせるとイザって時大変よ…？　　それだけ私が歪だから仕方無いって事ね……？　　……部屋に行かないといけない前提なのね小春さんは…   (2023/1/9 03:24:35)

小春六花> 今すごく後悔してるところだから……それ以上言われると泣いちゃう。   (2023/1/9 03:25:52)

巴マミ> ………………泣いてる小春さんとかそれはそれで見てみたくもあるわね…(ぼそっ   (2023/1/9 03:27:04)

小春六花> いびつとか自虐してももっと他の人が近寄らなくなるだけだからおすすめしないぞー。　別に部屋にいかなくてもいいけど、理由もなく見せつけるのもなーみたいな。   (2023/1/9 03:28:17)

小春六花> 結構泣き方がガチで引くって言われる   (2023/1/9 03:28:33)

巴マミ> それはそれこれはこれ？今だって似た様なものだから…？(ﾌﾌﾌ…)まぁそれはその時の気分とかも色々有るから仕方無いわね………　　…親に怒られた子供、みたいな感じなのかしらそれとももっと違う方向に…   (2023/1/9 03:30:38)

小春六花> まー、それはそれで納得してたりガルガルしてたいならあんまりこれ以上言わないけどね。（しれり）そーそ、気分次第もあるし…私は下手くそだから見られたら照れちゃう♡（ってことにしておいてもろて）　野々村議員バリに泣くよ   (2023/1/9
03:36:18)

巴マミ> …………………？？ガルガルって何かしら？(ｷｮﾄﾝ)…………とてもそんな風には見えないけれど今の小春さん見る限り……？　　又ちょっと懐かしい人の名前ね……あれももう何年前の話だったかしら…？   (2023/1/9 03:41:41)

小春六花> ガルガルっていうのは誰に対しても威嚇するタイプの人ですね。つまり私ってこと。……そー？多分何度もするとマンネリになるタイプだとは思うよ？　わたしあぁいう特徴のあるロール得意ー。（いぇーい）何年前か考えるのは辞めようね！みんな傷つくよ！  
(2023/1/9 03:44:17)

巴マミ> …………狂犬小春さん？…………お手？(右手差し出し)……中身までは何とも言えないけど…どんなのが好きかは解らないし…　　あれは特徴と言うか何と言うかだけど………確かに泣かれたら面倒そうね………あら、ごめんなさい、でもそうなると逆に新しい事って何が有るかしら？
  (2023/1/9 03:50:42)

小春六花> 噛まれると絶対に遊ばなくなるぞー。（おててつんつん）そのへんはクリアになにもないです。　そうそう、私みたいなタイプは泣かせると面倒くさいよ。主に対処が。　うーん……30になって彼氏いないマミさんはかれこれそこから数年経過したけどなにかいいことある？みたいな地獄なフリとかする（？）
  (2023/1/9 03:55:37)

巴マミ> …………そんな噛み千切るような真似はしないわよね流石に………しないわよ、ね…？(つつかれながらじぃっと)………そうなると逆に苦手な事とか探る方が正確かしら…　　…………ギャン泣きでもされようものなら放っといても良いかしら？　　…………………………♪♪(笑顔でマスケ銃構えて
  (2023/1/9 04:00:39)

小春六花> 威嚇ってそういうことなのよ。（つんつん）……苦手なこともグロくらいなんですねー。　うわー…つめた～い。ひどーい。　やめよう、話せばわかる。（板垣退助）   (2023/1/9 04:03:40)

巴マミ> ………ならどうぞ…？(そのまま右手を顔の前に)………それは割りと大半の人が不得手な気はするわね……小春さんは何でも屋…？　　面倒って小春さん自身が言ったじゃない………　　　おかしいわね前も誰かに似たような事言われた事が有るのよね……………私はそんな人生は送らないわ(ニコニコ…ﾆｺｯ…
  (2023/1/9 04:09:24)

小春六花> 一体渡されてどうしろと……（とつとつとつ）割と何でも屋よりだよー？更にいうと、ヤりたいかどうかも相手任せだしねー。（はふ）　そもそもギャン泣きさせる時点でだめなのでは？　……でも今こうして、まさにぼっち拗らしてない？（恐れを知らないもの、こはるり）
  (2023/1/9 04:12:49)

小春六花> マスケット構えたまま寝た…！？（   (2023/1/9 04:26:11)

おしらせ> 無言時間が25分を超えたため、巴マミさんが自動退室しました。  (2023/1/9 04:34:45)

小春六花> さらば……   (2023/1/9 04:41:01)

おしらせ> 小春六花さんが退室しました。  (2023/1/9 04:41:03)

おしらせ> チリさんが入室しました♪  (2023/1/9 07:44:18)

チリ> おはよ~、まいど、チリちゃんやで~   (2023/1/9 07:44:32)

おしらせ> 無言時間が25分を超えたため、チリさんが自動退室しました。  (2023/1/9 08:09:37)

おしらせ> 小春六花さんが入室しました♪  (2023/1/9 09:16:03)

小春六花> そして小春はこっちに。   (2023/1/9 09:16:18)

小春六花> マルハニチログループで伝えられる愛情は多分そう多くないのよ。   (2023/1/9 09:19:34)

小春六花> 私もよく使うけどさ……冷凍食品。（うんうん。   (2023/1/9 09:22:30)

おしらせ> 喜多 郁代さんが入室しました♪  (2023/1/9 09:23:28)

喜多 郁代> じゃあ、私もこっちに♪おはよう、小春さん…♪   (2023/1/9 09:23:45)

小春六花> おはろおはろー！（おててぶんぶん   (2023/1/9 09:25:31)

喜多 郁代> 朝から元気いっぱいね？（くす、てをふりふり）   (2023/1/9 09:26:16)

小春六花> 陽キャの化身に少しでも陰の毛を見せたら吹き飛ばされるって……（ｶﾞﾀｶﾞﾀｶﾞﾀｶﾞﾀｶﾞﾀ   (2023/1/9 09:27:34)

喜多 郁代> 吹き飛ばされたりしないわよ！？あと、化身ってほどでもないから！？   (2023/1/9 09:28:15)

おしらせ> チリさんが入室しました♪  (2023/1/9 09:28:16)

チリ> まいど~、チリちゃんやで   (2023/1/9 09:28:32)

チリ> おはようさんやなぁ~   (2023/1/9 09:28:38)

おしらせ> 如月ついなさんが入室しました♪  (2023/1/9 09:28:44)

如月ついな> おはようやでぇ   (2023/1/9 09:28:55)

小春六花> あれー？ちがったー？（てへぺろー）いま来た人はいらっしゃー。   (2023/1/9 09:29:04)

喜多 郁代> 一気に増えた！？おはようございます…♪   (2023/1/9 09:29:46)

喜多 郁代> 全くもう、小春さんはいつも通りね…？（悪びれる様子のない小春さんのほっぺを軽くつん、とつついて）   (2023/1/9 09:32:27)

チリ> おはようさ~んっ   (2023/1/9 09:32:27)

おしらせ> 巴マミさんが入室しました♪  (2023/1/9 09:32:53)

巴マミ> ……は、ぁ………ごめんなさいまさか寝てしまうと、は……あら、何か人が一杯……？   (2023/1/9 09:33:31)

小春六花> 私はいつだっていつもどおりなのよー。（えっへん。つつかれるとよく沈むおにくー。）   (2023/1/9 09:33:47)

喜多 郁代> チリさんはお久しぶりですね…♪   (2023/1/9 09:33:54)

喜多 郁代> あ、巴さんもおはよう…？   (2023/1/9 09:34:08)

如月ついな> あっちにいたらゆっくりたべれるもんたべれんからこっちきてもうた（お昼ごはん食べるからちょっと反応は遅めやで）   (2023/1/9 09:35:15)

喜多 郁代> いつでも同じようにマイペースなのはいいことな気もするけど…♪（くす、って笑いながらなんだかすごく柔らかいほっぺから手を離し…）   (2023/1/9 09:35:35)

喜多 郁代> （お昼！？）   (2023/1/9 09:35:42)

如月ついな> おはようやでぇ   (2023/1/9 09:35:49)

チリ> きたちゃんてええんかな？うちのチリちゃんは昨日からやから、はじめまして~、やな！(おててあげてにっ。こり   (2023/1/9 09:36:01)

如月ついな> （お昼ご飯しょくばでくえやんねん）   (2023/1/9 09:36:21)

巴マミ> え、っと………色々おはよう？   (2023/1/9 09:36:22)

小春六花> マスケット構えたまま寝落ちた人だ…！   (2023/1/9 09:36:28)

巴マミ> ………………………撃った方が良かったかしら(小春さんにジト目   (2023/1/9 09:37:28)

喜多 郁代> （はじめましての人だった…！？ごめんなさいっ）あ、そうだったんですね？それじゃあ、はじめまして…♪よろしくお願いします、チリさん♪   (2023/1/9 09:37:32)

喜多 郁代> （あー…なるほど…？）   (2023/1/9 09:37:48)

小春六花> そうそう、いいことと捉えておいてー。（喜多ちゃんのほっぺを突き返して）   (2023/1/9 09:37:59)

如月ついな> （南無南無）   (2023/1/9 09:38:07)

小春六花> 撃ってもいいけど血まみれになるぞ！この部屋と私がな！   (2023/1/9 09:38:12)

如月ついな> （そういうことやでぇ）   (2023/1/9 09:38:54)

チリ> なんやチリさんって畏まって~。チリちゃんって呼んでくれたらええんよ。よろしくな~…？(ぽんぽん。頭にて乗せてよし、よし   (2023/1/9 09:39:07)

巴マミ> …流石に血染めにするシュミはないわよっ…(ふるふるっ   (2023/1/9 09:39:23)

喜多 郁代> 小春さんの調子がおかしかったらこっちもすこし違和感覚えそうですしね…♪（あうあう…つつき返され…）   (2023/1/9 09:39:45)

小春六花> あいあむのーまるひゅーまん　のーまるひゅーまん　いず　ひっと　ちまみれ   (2023/1/9 09:40:13)

喜多 郁代> あはは…でもほら、一応年上、だと思いますし、最初のうちはさん付けで…♪（頭撫でられて片目つむりつつ…）   (2023/1/9 09:41:07)

小春六花> そんなに！？やっぱ誰かに習っていつもバイブス上げてこー！とか言いながらテキーラ追加するほうがいい？（これは保湿をしている触り心地……！）   (2023/1/9 09:41:14)

巴マミ> …………ノーマルって何だったかしら…………お、お酒はダメよ…？   (2023/1/9 09:42:21)

小春六花> ノーマルっていうのはゴーストタイプとは互いに無効化し合う関係ってことだよ。   (2023/1/9 09:42:52)

チリ> ええんや、ここでは年上も年下もあってないようなもんやから…！(いい子いい子。って頭撫でながら、しれっとぎゅ~。っとして   (2023/1/9 09:43:05)

喜多 郁代> そんなことしなくていいから！？そんなパリピのノリ持ってこられても私だって困るわよ！？（確かに肌の手入れは欠かさずしてるけど…！！）   (2023/1/9 09:43:54)

小春六花> そんな……！パリピののりで生きてないの！？渋谷109でプリクラいつも撮ってるんじゃ！？（謎の偏見。そしてなでたり突かれたり大変だなぁ……って目を向けながら……突く……なでる。ついでに揉む）   (2023/1/9 09:45:23)

巴マミ> それはポケモンのタイプの話よね……？小春さんには当てはまらないと思うけど……   (2023/1/9 09:45:24)

如月ついな> （アンドロイドやからノーマルじゃないんじゃって顔）   (2023/1/9 09:45:26)

喜多 郁代> 元も子もないこと言い始めた…！？まぁ、その通りなんですけどっ…！（撫でられていたかと思うと突然抱きしめられ…）   (2023/1/9 09:45:42)

巴マミ> ………まともな人が居ない説？(ぼそっ   (2023/1/9 09:46:33)

小春六花> そっかー、あてはまんないかー。　残念。   (2023/1/9 09:46:47)

小春六花> まともなやつはこんなところに来ずにもっと有意義な休日を過ごしてるんですよ。   (2023/1/9 09:47:07)

喜多 郁代> 陽キャとパリピは違うからね！？たまには撮ることもあるけど、そんなにいつもって訳でもないし…！（偏見が強い…！2人に散々されたい放題されつつも揉もうとする手はちゃんとぱし、って叩き落とし…）   (2023/1/9 09:47:15)

小春六花> ほっぺは揉ませてくれない……と、めもめも。えー…じゃあいつも何してるの！？（なんて陽キャの行動サイクルメモを作るとうと今日は取材の構え）   (2023/1/9 09:48:37)

如月ついな> （ほっぺじゃなくてむねももうとしてやん）   (2023/1/9 09:49:22)

巴マミ> ………小春さんの言いたい事は解らなくもないけど…ホントに底無しね小春さんは………喜多さんは包囲されて尚……あれが真の陽キャなのね……   (2023/1/9 09:50:44)

チリ> 年上が年下に犯されることだってあるからなぁ。(ぽんぽん。世の中は食ったもん勝ちや。って、抱きしめたままの喜多を撫で尽くして   (2023/1/9 09:51:05)

小春六花> 何も底なしポイントなくない？？？　ねぇ、何が底なしだっていうのよ！   (2023/1/9 09:51:36)

喜多
郁代> なんか昨日も同じようなこと別の人に聞かれたけど！？…んと、大体するとしたらウィンドウショッピングとか…人数が数人いたらカラオケとか♪あと、SNSで話題の映えるお店とかに遊びに行ったり…♪（まぁ、別に隠すような事でもないから素直によく行くところ、を指折りながら伝えて）
  (2023/1/9 09:51:40)

喜多 郁代> ち、チリさんはちょっと撫ですぎですよ！？ポケモンじゃないんですからっ…！（じたばた、と軽く手足を動かして）   (2023/1/9 09:52:40)

小春六花> あー……なるほどー。ちなみに今って何はやってるのー？タピ岡さんの次辺りに流行ってるもの、っていうか。（ほーほー、毎日遊んでたらお金足りなくなるよね……わかる）   (2023/1/9 09:53:41)

巴マミ> ………色々常人じゃない底無し沼な小春さん……？　　そう言えばマリトッツオも一時だけ流行って直ぐ廃れたわね……今だと何が良いのかしら……   (2023/1/9 09:55:27)

小春六花> 常人でしょ……どう考えても常人の域を出てないでしょ……（震え声）   (2023/1/9 09:57:09)

チリ> いや~、可愛いな~。と思て。だめやったかな？(くす。小さく笑ってみながら、どうどう。落ち着かせるように背中さすって)   (2023/1/9 09:57:43)

如月ついな> 常人やったらここでこういはしやんとおもうんよ（うん）   (2023/1/9 09:58:07)

喜多
郁代> んー、私も結束バンドに入ってからはほとんどギターの練習に時間使ってて、あんまり遊びに行く機会は少ないんだけど、クレープとブリュレの合わさったようなスイーツとか、一緒に食べに行ったりしたわね…♪結構人気みたいよ…？（あんまり遊んでないのにお金が無い…！ライブノルマ強い…）
  (2023/1/9 09:58:21)

巴マミ> 小春さんが常人ならそれこそ此処に居る皆が常人になるのだけど………   (2023/1/9 09:58:26)

喜多 郁代> 適切な距離感ではないかなぁって…？（ほんのり顔を赤くしながらチリさんのみぞおちの辺り、両手でぐい、と押して一旦離れ…）   (2023/1/9 09:59:50)

如月ついな> （喜多ちゃんのてれかおやぁとしゃしんとって）   (2023/1/9 10:00:56)

小春六花> クレープとブリュレ！？後で調べないと……普通にクレームブリュレをもじったりしてクレープブリュレみたいな名前でいいの？……貧乏バンドマンになってる……草とか食べ始めそう……。   (2023/1/9 10:01:21)

喜多 郁代> 如月さん！？なんで写真撮るの…！？   (2023/1/9 10:01:25)

如月ついな> 照れ顔がレアやからついなぁ（てへっ）   (2023/1/9 10:02:21)

小春六花> 巴さんがひどい……30になっても彼氏なしの見栄はり独身のくせに……！（うわーん   (2023/1/9 10:02:21)

喜多 郁代> うんうん、クレープブリュレって名前だったわね♪原宿とかにお店が出て、元々は富山の方から来たらしいわ…♪そこまで貧乏じゃないわよ！？草食べるのはリョウ先輩くらいだし…   (2023/1/9 10:03:07)

チリ> チリちゃん夜の疲れが取り切れてないんや~。少しくらいええやんか~。(ぱっ。とおてて解放しながら、ぶす~。と頬膨らませて   (2023/1/9 10:03:31)

巴マミ> ……………やっぱり血染めにした方が良いのかしらこの小春さん……どうせ常人ではないのだから……(ぶつぶつぼそぼそ   (2023/1/9 10:04:53)

喜多 郁代> もう十分撫でてましたよね！？…って、夜間のお仕事だったんですか…？（きょと…… ）   (2023/1/9 10:05:07)

小春六花> いいなー。具がブリュレなのかな。もちっ、ぱり、とろー……の三重奏的な。でも憧れが講じて気づいたらサバイバルイソスタグラマーの喜多喜多ちゃんに……。（戦場カメラマン的なやつ。）   (2023/1/9 10:05:52)

小春六花> 基本でない土地は山になるのは大好きだけど大嫌いだなら血染めはやめてほしいなー。   (2023/1/9 10:07:06)

喜多 郁代> そうそう、あのクレープのクリームとかバナナとか色々入ってる所がそのままブリュレになってる感じ♪とっても美味しかったし、友達と写真撮ってすごく映たの…♪…サバイバルイソスタグラマー！？な、なんかよく分からないけどなってないわよ？  
(2023/1/9 10:08:39)

チリ> いや~、夜に終わって帰ってきたんやけどね~、また呼び出し食らってもうて。さっき帰ってきとこなんよ~(こく。ぐ~ったり。   (2023/1/9 10:08:44)

巴マミ> ……土地とか山って何言い出すの小春さんは……山に簀巻きにしてポイがお好みって事……？   (2023/1/9 10:10:05)

喜多 郁代> あはは…それはお疲れ様ですね…？朝までお仕事、大変そう…   (2023/1/9 10:10:09)

巴マミ> ………終わったと思ったら更に呼び出しとか鬼の所業ね……   (2023/1/9 10:10:35)

小春六花> それはそれで確かに映えそう……。豪華な具材にパリパリの飴細工のようなブリュレの上部分が飾られてるんでしょー？（ほわほわ）えー、なってないんだ……#食べられる野草　#仲間と生き延びる　#今夜に感謝　みたいな。   (2023/1/9
10:10:40)

小春六花> とりあえず私、多分巴さんから完全に敵認定されたので静かにしておきます……   (2023/1/9 10:11:25)

巴マミ> …………小春さんが一定の範囲内で収まってくれないからでしょ……(じー…   (2023/1/9 10:12:13)

喜多 郁代> 小春さんが食べたそうに妄想をふくらませてるわ…（苦笑…）さすがにそこまで困窮してないから…！？   (2023/1/9 10:12:33)

喜多 郁代> （そういえば、これだけ賑わっててひとりちゃんがいないのも珍しいわね…）   (2023/1/9 10:12:58)

小春六花> 規格に収まってる女ではあるよ   (2023/1/9 10:13:26)

如月ついな> （このロムがそうやったりして）   (2023/1/9 10:13:38)

小春六花> いやー、だって美味しそうじゃん、そんなの。私だって美味しいもの食べたいよー。JKだよー？（アッピル）そっかぁ……でも飴玉だけで打ち上げはするんだよね……（？）   (2023/1/9 10:14:46)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/1/9 10:14:49)

チリ> で、今日もあるんよね~。ほんま、休み欲しいわ~。挑戦者少し少なくしてくれへんかぁ。   (2023/1/9 10:14:52)

喜多 郁代> 呼んだらきた！？   (2023/1/9 10:14:58)

巴マミ> 人をアラサー認定するのは規格内なのかしら………(しまとー   (2023/1/9 10:14:59)

後藤ひとり> (呼ばれた気が……)   (2023/1/9 10:15:02)

巴マミ> ………喜多さんは監視されてたのかしら……後藤さんはおはよう？   (2023/1/9 10:15:21)

如月ついな> （呼ばれて飛び出てひとりちゃん）   (2023/1/9 10:15:24)

小春六花> これがラブラブカップル。なるほど。   (2023/1/9 10:15:37)

巴マミ> ……朝から夜まで戦う事を強いられて………？   (2023/1/9 10:15:57)

小春六花> それは自分の版元に言ってくれない？アラサーネタを受け入れたのはあなた自身なんよ。   (2023/1/9 10:16:15)

後藤ひとり> ご飯食べて……見てたら私を呼ぶ声がしたので………   (2023/1/9 10:16:31)

喜多 郁代> 甘くて美味しいものとかいつでも食べたくなっちゃうものね、気持ちはとってもよく分かるわ…♪（くすくす）…あ、あれは色々事情が……（めそらし）   (2023/1/9 10:16:45)

巴マミ> ……違う、あんなのは私じゃないわ……(ふるふるぶんぶん   (2023/1/9 10:17:01)

喜多 郁代> チリさんは面接官も兼任してるんですもんね…大変そう……   (2023/1/9 10:17:16)

喜多 郁代> あ、ご飯中だったのね！？なんか呼び出すみたいなことしてごめんなさい…（苦笑い…）   (2023/1/9 10:17:46)

チリ> 朝はレイシフトって感じやからね~。元は夕夜やから。そ、朝の呼び出しは面接官の方だったからなぁ。   (2023/1/9 10:18:04)

後藤ひとり> あ、いやご飯はもう食べました……食べたあとここ見たんです……   (2023/1/9 10:18:34)

喜多 郁代> あ、なるほど♪それじゃあナイスタイミングかしら…♪ちょっとひとりちゃんとお話したいこととかあったし…♪もう少ししたら奥のお部屋でちょっとだけいい……？   (2023/1/9 10:19:47)

小春六花> これでも割と普通のJKなのよ……？近所が商店街だから今川焼きくらいしか変えないとかあるけど……（燃料投下）   (2023/1/9 10:19:48)

小春六花> じゃああの巴マミ30歳は……いったい……   (2023/1/9 10:20:20)

如月ついな> いってらっしゃい（ひらひら）   (2023/1/9 10:20:34)

後藤ひとり> あ、はい……奥ですね。大丈夫ですよ。寝落ちしたらすいません……   (2023/1/9 10:20:40)

後藤ひとり> マミさんの30代の漫画ありますよね……   (2023/1/9 10:20:57)

喜多 郁代> あぁ、大判焼きね…？あれも優しい甘さがして私は好きよ…？   (2023/1/9 10:21:03)

巴マミ> ………何か色々大変そうね、夜に出る事は有るから何となく気持ちは解るわ……昨日は私も眠かったもの日中…   (2023/1/9 10:21:17)

喜多 郁代> もう行くことになってる！？そ、それじゃあお部屋建てるわね…！   (2023/1/9 10:21:20)

小春六花> 喜多ちゃんは来てくれてありがとー！あと回転焼きだからね！   (2023/1/9 10:22:20)

後藤ひとり> あ、いや別にタイミングはいつでも………(あわわ)   (2023/1/9 10:22:27)

巴マミ> 夫婦饅頭よね…？(更に投下)…………小春さんも後藤さんも酷いわ私の扱い…(ぐすん   (2023/1/9 10:22:36)

チリ> 一睡しようかと思ってるけど、どうしようか~って迷ってるとこやなぁ   (2023/1/9 10:22:42)

喜多 郁代> それじゃあ、ほんとにちょっと、多分30分くらいだけひとりちゃん借りてくわね…？行きましょ…♪（ひとりちゃんの手を引き…）   (2023/1/9 10:22:43)

如月ついな> まだ中学生やのになぁ（可哀想）   (2023/1/9 10:23:01)

後藤ひとり> では失礼します………(手を引かれて)   (2023/1/9 10:23:17)

