/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年10月07日 10時11分 ～ 2018年10月19日 17時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

九条カレン> 【そうでしたか…お疲れ様です？】   (2018/10/7 10:11:49)
おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/17 22:37:15)

竹井 久> 【美穂子来るかと思ってたけど来なかったわ…】   (2018/10/17 22:37:42)

ウオッカ♀ ◆> 【オレは、あれだったり】   (2018/10/17 22:38:43)

竹井 久> 【あれ？】   (2018/10/17 22:39:10)

ウオッカ♀ ◆> 【発情】   (2018/10/17 22:42:10)

竹井 久> 【ああ…いつもの】   (2018/10/17 22:43:51)

ウオッカ♀ ◆> ///   (2018/10/17 22:53:08)

竹井 久> 【私は美穂子か時雨が来れば解消されるんだけどね…】   (2018/10/17 22:55:07)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/17 23:13:21)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/10/17 23:15:13)

おしらせ> 渋谷凛さんが入室しました♪  (2018/10/17 23:37:31)

渋谷凛>  お邪魔するね（静かなリビングを眺めてはソファの方へと足を進めて座り込む。ぐぐっと手を組んでは背伸びをするように伸ばして）んんっっ   (2018/10/17 23:39:51)

おしらせ> 無言時間が20分を超えたため、渋谷凛さんが自動退室しました。  (2018/10/18 00:50:15)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/10/18 08:28:57)

リグル・ナイトバグ> 少し久しぶりになるのかな。(首を傾げながら、最近は顔を出したりできてなかったからなぁ。ってリビングに現れてはソファに座ってみて。ここ最近寒いから色々堪えるのかもしれない、虫妖怪なのもあるのが関係しているのだろう、多分きっとおそらく)  
(2018/10/18 08:30:36)

おしらせ> 風見幽香さんが入室しました♪  (2018/10/18 08:36:31)

風見幽香> 【おはよう。お邪魔させて貰うわよ】   (2018/10/18 08:36:53)

リグル・ナイトバグ> 【はーい、おはようだよ。(どうぞどうぞ、と)】   (2018/10/18 08:39:14)

風見幽香> (見慣れない部屋を見つけ中に入ってみると見覚えのある虫の妖怪がリビングで寛いでいた)……あら、リグルじゃない。何をしてるのかしら(人でも殺しそうな鋭い目つきでリグルを見る。目つきが悪いのは元からで他意はない。本人は挨拶ぐらいの感覚)  
(2018/10/18 08:40:17)

リグル・ナイトバグ> (同じ幻想郷の住人で、面識はある相手が見えれば手を軽く振って挨拶を)――あ、おはようだね。幽香さん。ん、んー。特にこれと言って何をしていた訳ではないけれど…強いて言えばのんびりしてたかな。(お出かけとかそういうのをする前にちょっとした息抜き位の感覚かもしれない。目つきが悪いのは元々だという事は理解しているし同郷故に特に警戒とかもしないであいさつに応じて)
  (2018/10/18 08:42:57)

風見幽香> そう……(人によっては此方が近づくだけで逃げ出すと言うのに手を振って挨拶してくる奴も珍しい)私もちょうど花の世話を終えて休憩といったところかしら……(リグルの隣に腰かける。彼女が小柄ならこちらの方が頭ひとつかふたつ大きいだろうか。そんな
体格差があるなら知らない人から見れば気弱そうな子が絡まれてる光景にしか見えないだろう)   (2018/10/18 08:50:08)

リグル・ナイトバグ> 今日もお花のお世話お疲れ様…かな。…て言っても花によってはこの後もちょこちょことお手入れしてあげたりする必要がある子もいるだろうけれど。(小柄、子供過ぎる体型と言う程でもないけど小柄な方になってしまうだろう。隣に腰掛ける幽香さんを見つつ割と体格の差はあり…パッと見れば誤解を招きそうな状況は確かにあるかもしれない。なお、当の本人は特に警戒は以下略)
  (2018/10/18 08:53:23)

風見幽香> そうね。こまめに見てあげる必要があるから。好きでやってることだから苦ではないけれど(花と言っても毒でお馴染みのアレだったり、やっちゃダメ、絶対の花ではない。至って普通の花。能力的な部分もあるがこう見えてファンシーな趣味もある)  
(2018/10/18 09:03:47)

リグル・ナイトバグ> 自分が好きな事をしている時って楽しいから苦に感じることは無いだろうからね。(こくこくっと頷いて。色々な意味で危ない感じの花とかは仮にあったとしてもそれはきっと、こう、どちらかと言えば何処かの薬師さん辺りが育てて居そう。ちゃんとしたお花を育ててるのも知っているし其れを趣味としてるのも知ってるから幽香さんに対する認識は目つきが悪かったりしても優しさのあるお姉さんな感じだと思ってるのかもしれない。ちらりと幽香さんを見上げればにこりと笑って)
  (2018/10/18 09:08:58)

風見幽香> 虫のあなたの場合、好きなことって何になるのかしら…………何よ？(見上げられるとたわわに膨みのある胸元や魔女と形容しても差し支えないような顔立ちが目に入るだろうか。他人と目と目を合わせて会話することなどほとんどないから、ふいと視線を背けてしまい)  
(2018/10/18 09:13:52)

リグル・ナイトバグ> 私の場合、んー……色々な所を散歩したり、かな。…幽香さんみたいな趣味が無かったりするから色々な事をしてみるのは良いかもしれないけど。…ん？幽香さんの顔、こうやって間近でちゃんと見る事ってなかったからって思ってたらついつい。(膨らみある胸にも視線は向いてしまったけれど。言葉を漏らしながら視線を背かれるとほっぺたを軽く掻きつつ様子を眺めて)
  (2018/10/18 09:17:14)

風見幽香> 色々なところを散策するのも立派な趣味でしょ。ひとつのことに熱中すればいいってものでもないし………だからと言って人の顔を見ても面白くもなんともないでしょ(なので、こうして間近で見つめられるのには慣れていない。平静を装おってはいるものの顔もやや赤い)
  (2018/10/18 09:26:38)

リグル・ナイトバグ> そうかな？そう言ってもらえると安心は出来るけど…。…色々な趣味を見つければその分楽しみもだけど気づけたりする事もあるだろうからね。…私は見てて楽しいけれど。(幽香さんがちょっぴり赤くなってるのも含めて。ってちょっぴり意地悪な事を言ってしまいながら。少しだけ顔を寄せて。じーっと顔を覗き込み)
  (2018/10/18 09:31:53)

風見幽香> あせらず見つければいいでしょう。自分に合う趣味なんていくらでもあるでしょうし……(平静を装いながらリグルが離れてくれるのを待つが一向に離れる気配がない)な、何が楽しいのかしらね。理解しがたいわ(距離が近いこともありドキドキとしてしまい)  
(2018/10/18 09:44:10)

リグル・ナイトバグ> だね、焦って色々やってみて失敗しちゃったらそれはそれでつまらないし…ん。ふふふ、楽しいよ？普段見れない幽香さんの一面が今見れてる気がするもの。(やや赤い顔。もっとドキドキさせるように意地悪く顔を寄せ。幽香さんの手に触れながら唇がもう少し顔を寄せたら触れ合ってしまいそうな距離まで近づいて)
  (2018/10/18 09:46:52)

風見幽香> ……そう……んん……んー(素っ気なくリグルへ返事するが距離が更に近づきリグルの吐息が感じられるほどに)近い……近くないかしら？近いと思うのだけど……近いわ(あまり体験したことない感覚。リグルの手がとても熱く感じる気がして、澄ましたような顔で反応するが内心焦りがあるのか言葉がろくに出てこない)
  (2018/10/18 09:53:55)

リグル・ナイトバグ> …幽香さんがあまりの事に何だか言葉を失っちゃっている気がする。(そこはあえてちゃんと突っ込みを入れてしまいながら)…このお部屋は…お話もするけれど、こうやって触れ合ったりもする事があるお部屋だから、ね。(幽香さんがドキドキしてくれてるかなって思ったから意地悪しちゃった。って…澄ました顔をしてる幽香さんの唇…だと流石にいきなりすぎるから顔を少しずらしほっぺにちゅっとキスを落とし)
  (2018/10/18 09:55:56)

風見幽香> そんなことないわ……さっきから生意気よ貴方(そこでようやくリグルと視線を合わせる。鋭い視線には羞恥に戸惑うような部分もありいつものような眼光はない)触れあったりね。話しぐらいはともかく、私には無縁の…………ッ！？
は！？(頬に口づけをされて、自分が何されたのか理解できないほどに驚いているのか目を見開かせる)   (2018/10/18 10:03:14)

リグル・ナイトバグ> 生意気――かもしれない、かなぁ。(いや、どっちかと言えば意地悪って言われる方かもしれないけれど。何時ものような眼光ではないからか特にたじろぎはせずに)…ふふ。…少し意地悪が過ぎちゃった気がするけれど。(顔を離して自分の唇をなぞり。目を見開かせて驚く幽香さんを眺め)
  (2018/10/18 10:05:21)

風見幽香> 口づけなんかして何を考えてるのかしら……わからないわ(明らかにキスされたことに動揺しているのが第三者視点でも丸わかりであり。わからないと言いつつ心は意地悪そうに見つめるリグルにもっと見られたいという気持ちが強まっている)   (2018/10/18
10:10:11)

リグル・ナイトバグ> 幽香さんに意地悪したり、さっき言ったみたいに触れたりしたいって思ってる…からかな。…と言っても、そろそろ時間が迫っちゃっているから。(…今はキスだけになっちゃうけれど。って幽香さんにもう一度顔を寄せれば動揺している幽香さんに、また触れる程度の口付け。今度は唇に掠める程度に口付ければ…ゆっくり顔を離し。時間があったら、もっと、意地悪しちゃったんだけどね。って)
  (2018/10/18 10:12:13)

風見幽香> 【野暮なことを聞くけれど……触れあいはどこまでお望みかしら？】   (2018/10/18 10:12:29)

風見幽香> 【っと時間なのね。了解したわ】   (2018/10/18 10:12:59)

リグル・ナイトバグ> 【触れ合いと言うより割とがっつりと行為まで及んじゃいそうな気はする…っ！あ、幽香さんのお返事を聞くくらいの余裕はあるからね(それまでちょこんっとすわり)】   (2018/10/18 10:14:04)

風見幽香> バカらしい……バカらしいわ。あぁ、本当に。こんなことして、ただでは済まさないわよ貴方(もう一度キスをされるとピクッと身体を揺らして反応して。相変わらず素っ気ない態度なのだけれど顔は赤く、拒否しないところから意地悪とやらにも興味があると言っているようなもの)
  (2018/10/18 10:16:09)

風見幽香> 【そう、がっつりと……次は楽しみにしてるわね】   (2018/10/18 10:16:47)

リグル・ナイトバグ> えへへ、じゃあ、ただで済まなくなっちゃう前に今日はいったん退散しちゃおう。(なんて、時間が来ちゃっただけなのだった。赤い顔を見つめ、…今度、もっと意地悪しちゃうからね。って告げる姿は悪戯っ子な雰囲気を伝えて――マントをひらりとすればそのままゆっくりと部屋の扉へと向かうのだった)
  (2018/10/18 10:18:05)

リグル・ナイトバグ> 【楽しみにされてたら応えなきゃっ…私が生やして幽香さんをたっぷり、とかも大丈夫そうなら出来るし普通に手とか口で幽香さんを気持ち良くとかも有り無しどちらでも対応できるからねっおだけ伝えて今日は退散っ、来てくれてありがとね、幽香さん！(またねっと)】
  (2018/10/18 10:19:16)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/10/18 10:19:20)

風見幽香> ふう……あの子の前だと調子が狂うわ(まだドキドキしている胸を押さえながら、花の世話に戻るために部屋を出ていく)   (2018/10/18 10:20:46)

おしらせ> 風見幽香さんが退室しました。  (2018/10/18 10:20:49)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/18 18:03:24)

九条カレン> 【待機します】   (2018/10/18 18:03:41)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/10/18 18:43:28)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/18 19:28:33)

竹井 久> 【こんばんは…ちょっと待機するわね】   (2018/10/18 19:29:08)

おしらせ> 古明地さとりさんが入室しました♪  (2018/10/18 19:32:29)

古明地さとり> ((こんばんは   (2018/10/18 19:32:36)

竹井 久> 【こんばんは…初めましてかしらね？】　   (2018/10/18 19:33:17)

古明地さとり> ((初めましてです   (2018/10/18 19:33:59)

竹井 久> 【そうなのね。よろしくね…】   (2018/10/18 19:35:14)

古明地さとり> ((よろしく、、   (2018/10/18 19:36:05)

竹井 久> そうね…それじゃ、普通の会話にしましょう？(リビングのソファーに座ると用意してあったティーセットに紅茶を注いで相手の方にカップを置くわ)私は竹井久よ。よろしくね？   (2018/10/18 19:38:58)

古明地さとり> えぇ…分かったわ…（向かい側に座れば注いでる姿を見て）ありがとう…私は古明地さとり…よろしく（カップを受け取れば一口飲み   (2018/10/18 19:40:41)

竹井 久> 最近人に会ってなかったから貴女が来てくれて良かったわ(自分もカップに口を付けて紅茶を飲んで味と香りを楽しむわ)   (2018/10/18 19:43:08)

古明地さとり> そう…なら良かったわ…私もちょうど暇をしていたから…（紅茶を飲みながら   (2018/10/18 19:44:36)

竹井 久> 私は最近忙しくて稀にしか来れてないわね…明日が急遽休みになったから今日は久し振りにゆっくり出来るわ(紅茶を飲みつつ答えてから今度は紅茶にミルクを注いでミルクティーにして飲むわ)   (2018/10/18 19:47:40)

古明地さとり> あら、そんな大事にしなきゃ行けない日に私なんかと話してていいの？（目を相手に向けては目を細めて   (2018/10/18 19:48:37)

竹井 久> 何事も息抜きは必要じゃないかしら？(フフッと笑ってさとりをみつめるわ)   (2018/10/18 19:49:48)

古明地さとり> 確かにそうだけど、何か申し訳ないわね…（カップを机に置いて   (2018/10/18 19:50:33)

竹井 久> 気にしないで良いわよ？本当に忙しいならまずここには来ないわ(ソファーの背もたれに身体を預けながらくつろいでいるわ)   (2018/10/18 19:52:18)

古明地さとり> そう…なら気にしないわ（軽く微笑んで   (2018/10/18 19:53:04)

竹井 久> 所でさとりはこの部屋は初めてかしら？何度か来た事あったりするのかしら？(ふと思い付いて質問をするわ)   (2018/10/18 19:56:12)

古明地さとり> えぇ、初めてよ、ついでに言えばあまりここのサイトには不定期でしか来ないから   (2018/10/18 19:57:00)

竹井 久> そうなのね。滅多に来ないのね？なら逆に私が話相手で良かったのかしら？   (2018/10/18 19:58:35)

古明地さとり> えぇ、寧ろ、貴女みたいな常識ある人が最初でよかったわ（微笑んで   (2018/10/18 19:59:16)

竹井 久> 誉め言葉と受け取って置くわ(こちらも微笑み浮かべて)さとりは雑談とちょっとエッチな事とどちらが希望かしら？   (2018/10/18 20:03:21)

古明地さとり> えぇ…（微笑み）えと…まぁエッチな方…かしらね（目を逸らして   (2018/10/18 20:04:16)

竹井 久> フフ…さとりはエッチな方が希望なのね？なら、こっちに来てちょうだい？(笑み浮かべるとさとりを手招きして自分の方に来るように誘うわ)   (2018/10/18 20:07:52)

古明地さとり> な、なんか恥ずかしいわ…（目を逸らしたままそちらに向かえば   (2018/10/18 20:08:25)

竹井 久> あら、恥ずかしい事無いわよ？ここに来る娘は皆エッチな娘ばかりよ？(さとりが近寄ってくれば手を引き寄せて膝に乗せると指先で唇をなぞってみるわ)   (2018/10/18 20:10:19)

古明地さとり> それはそうだけど…ん…////（頬をピンクに染めてはゆっくりと瞳を貴女に向けて   (2018/10/18 20:11:36)

竹井 久> フフ…緊張する？んんっ…(聞いてからゆっくり唇を重ねてキスするわ)   (2018/10/18 20:12:42)

古明地さとり> えぇ…んっ////（唇が重なれば目を閉じて   (2018/10/18 20:13:23)

竹井 久> んんっ…(そのまま唇を深く重ねてあげてから舌をさとりの口内に入れて口の中を舌でなぞっていくわ)   (2018/10/18 20:15:31)

古明地さとり> んっ……んっ……////（入ってくる下の感触にさらに頬を染め上げては貴女の服をキュッと掴んで   (2018/10/18 20:16:19)

竹井 久> ん…んんっ…(そのままさとりの口の中を舌でなぞってからさとりの舌を絡ませて吸い付くわ)   (2018/10/18 20:18:21)

古明地さとり> んっ…あっ……////（相手から絡まされるとこちらからもゆっくり絡ませ返し   (2018/10/18 20:18:53)

竹井 久> ん～…チュッ…(舌を絡ませて吸い付いてさとりの舌を十分味わってから離すと唇をペロッと舐めて)ご馳走さま。余りキスに慣れてないのかしら？   (2018/10/18 20:21:47)

古明地さとり> んっ……えぇ…////（蕩けた目をしており頷いて   (2018/10/18 20:22:33)

竹井 久> へぇ…それじゃ、こっちも余り触ったりしてないのかしら？(片手を胸に置くとゆっくり揉んでみてさとりの反応をみるわ)   (2018/10/18 20:24:24)

古明地さとり> ひぁっ……////（ビクっとしては甲高い声を上げて   (2018/10/18 20:26:00)

竹井 久> ちゃんと答えないと気持ちよくしてあげないわよ？(胸をゆっくり焦らす様に揉んでは質問を続けるわ)   (2018/10/18 20:28:33)

古明地さとり> んっん…触ってない…////（ビクビクしながら   (2018/10/18 20:29:02)

竹井 久> フフ…もっと気持ち良くなりたかったら自分で服を脱いでちょうだい？(胸を揉んでからそう言うと指先で乳首辺りをつつきながらさとりに脱ぐように言うわ)   (2018/10/18 20:31:19)

古明地さとり> ……………っ…////（自分の服を脱ぎ始めては裸になり胸を隠していて   (2018/10/18 20:32:21)

竹井 久> あら、胸を隠しちゃダメよ？(裸になったさとりを膝に乗せながら手を退かすように言うわ)   (2018/10/18 20:34:19)

古明地さとり> ぅ……////（腕を退かしては全て見せて   (2018/10/18 20:35:30)

竹井 久> フフ…良い娘ね？(チュッと唇にキスしてから胸を掴むと揉みながら乳首に吸い付いて口の中で乳首を舐めたり吸ったりするわ)   (2018/10/18 20:36:54)

古明地さとり> んっ…ぁ…んっぅぅ////（ビクビクと体は反応していて甘い声を漏らして   (2018/10/18 20:37:45)

竹井 久> ん…乳首…もうコリコリよ？(乳首を舌を絡ませて舐めあげてから強く吸って乳首の堅さをさとりに伝えるわ)   (2018/10/18 20:39:46)

古明地さとり> んっ…や…恥ずかしい…////（気持ちよさそうな目で見て   (2018/10/18 20:40:21)

竹井 久> 言葉と表情が反対ね？気持ち良さそうな顔してるクセに…んんっ(乳首を強く吸い付いて甘く噛んで刺激を与えていくわ)   (2018/10/18 20:41:23)

古明地さとり> んっあっ…そんなことっ…ぁぁっ…////（相手の服を掴んでビクビクと感じて   (2018/10/18 20:43:13)

竹井 久> 乳首も気持ちいいってこんなに堅くなってるわ…(両方の乳首を甘く噛んで交互に吸い付いて堅く尖る乳首を眺めて言うわ)   (2018/10/18 20:45:18)

古明地さとり> んっぅぅっ…ああっ…////（涎を垂らしながら甘い声を漏らして太ももをモジモジさせていて   (2018/10/18 20:46:39)

竹井 久> さとり…こっちも触って欲しいのかしら？(乳首を吸いながら太ももを撫でてわざとらしく聞いてみるわ)   (2018/10/18 20:49:06)

古明地さとり> ひぁっ…ぅうん…触って…欲しい…////（素直になって頷き   (2018/10/18 20:49:33)

竹井 久> 素直ね？良いわよ…(乳首を吸いながら太もも撫でていた手をゆっくり割れ目に這わせるとゆっくり撫でていくわ)   (2018/10/18 20:51:00)

古明地さとり> んっ…んんっ…ぁぁ////（触れられればビクビクして舌を出して   (2018/10/18 20:52:29)

竹井 久> どこら辺が良いかしらね？(ゆっくり割れ目にそって撫でてから濡れた指先でクリトリスを撫でていくわ)   (2018/10/18 20:55:51)

古明地さとり> んっぁ…ひぁぁ！！////（クリトリスに触れられてはビクッと背中を仰け反らして   (2018/10/18 20:56:21)

竹井 久> フフ…ここ…弱いのかしらね？(クリトリスを撫でてから爪先で軽く掻いて皮剥いて芯芽をコリコリ掻いていくわ)   (2018/10/18 20:58:20)

古明地さとり> ぁっ…りゃめっ…んっんっ…はぁっ////（今までで1番ビクビクと感じていて   (2018/10/18 20:59:13)

竹井 久> すぐにイッちゃうかしら？(芯芽をコリコリ掻いてさとりの絶頂を誘うわ)   (2018/10/18 21:00:40)

古明地さとり> ぁっ……ぁっ…きちゃぅ…っっ……！！！！////（ビクビクと腰を揺らして絶頂を迎えて   (2018/10/18 21:01:22)

竹井 久> フフ…気持ちよかったかしら？(さとりをソファーに寝かせながら聞いて顔を埋めるとチュッと芯芽に吸い付いて舌を這わせて舐めていくわ)   (2018/10/18 21:02:44)

古明地さとり> はぁ…はぁ…ぅ、うん…////（頷いては息を整えながら）んっ…ぁぁっ…いったばっかぁ////   (2018/10/18 21:03:31)

竹井 久> それが良いのよ…イッたばかりの敏感な芯芽をこう…吸って…んんっ…(芯芽に強く吸い付いて歯先で甘く噛んで刺激を与えて連続でイかせようとするわ)   (2018/10/18 21:05:25)

古明地さとり> ぁぁっ…らめっらめっ…またすぐちゃっぅっ////（完全に大人しさを失い感じていて   (2018/10/18 21:07:07)

竹井 久> ん…んんっ…(芯芽を強く吸ったり舐めたり甘く噛んで刺激を与えていく間に手を伸ばして胸を掴むとゆっくり揉んで刺激を増やすわ)   (2018/10/18 21:08:50)

古明地さとり> んぁ…もぉっらめ…んっぁんっあっ…あっあっ…！！！////（再び絶頂して   (2018/10/18 21:11:06)

竹井 久> ん…またイッちゃったわね？そろそろこっちも…かしら？(指を膣口にあてがうとゆっくり挿入始めていって２度の絶頂ですっかり濡れた膣内突き進みながら)…さとり、こっちは初めてかしら？   (2018/10/18 21:13:17)

古明地さとり> んっぁ…初めて…////（相手の顔を見て   (2018/10/18 21:14:20)

竹井 久> そうなのね？指じゃ勿体無いわね…さとりが良ければふたなり化して処女を貰いたいわ…苦手ならこのまま貰ってあげるわ(さとりをみながら提案するわ)   (2018/10/18 21:17:10)

古明地さとり> ん、いいわ…貴女の好きなように貰って欲しいの…////（見つめて   (2018/10/18 21:18:08)

竹井 久> フフ…ありがとう。それじゃあ…私の太くて長いおちんちんでさとりの処女を貰うわね？(指を抜くと下着を脱いで勃起したおちんちんをさとりの膣口に当てると擦り付けて愛液で濡らしていくわ)ああ…ぬるぬるおまんこ…気持ちいいわ…　   (2018/10/18
21:20:48)

古明地さとり> んっ……////（それを見ては恥ずかしい気持ちでいっぱいになるも興奮していて）あっんっ……んん…////（ヒクヒクとしていて   (2018/10/18 21:22:41)

竹井 久> フフ…そろそろ入れるわね？(愛液で濡らしたおちんちんで膣口の中を突き入れるとゆっくり挿入していき処女膜に当たると腰を打ち付けて突き破るわ)   (2018/10/18 21:24:05)

古明地さとり> んっ…んっ…っっっ！！////（痛みに顔を歪めるもそれ以上に快感が押し寄せて次第に顔が蕩けていき   (2018/10/18 21:26:56)

竹井 久> ふ…ぅ……さとり…大丈夫かしら？(そのまま深く挿入するとさとりに聞いて痛みを和らげようと胸を揉みながら唇にキスするわ)   (2018/10/18 21:28:16)

古明地さとり> んっ…大丈夫…っんっ…んっんっ////（相手に抱きついてはキスを受けて   (2018/10/18 21:29:13)

竹井 久> ん…まだ痛いでしょう？このまましばらく…んんっ(さとりに言ってから胸を揉みつつキスを深くしていくわ)   (2018/10/18 21:30:37)

古明地さとり> んっ……んっ…んん…////（和らいできたのかキュンキュン締め付けて愛撫を受けて   (2018/10/18 21:32:58)

竹井 久> ん…締め付けて来たわ…気持ち良くなってきたのね？(キスの合間に言うとゆっくり腰を揺らしておちんちんが膣奥を突き始めるわ)   (2018/10/18 21:34:23)

古明地さとり> んっ…うん…ぁっ…ぁあっ…////（抱きつきながら感じていて   (2018/10/18 21:35:08)

竹井 久> どうかしら？私のおちんちんは？(さとりに聞きながらゆっくりゆっくり突いていくわ)   (2018/10/18 21:36:08)

古明地さとり>  あっ…ぁっ…きもちぃ////（締め付けながら甘い声を漏らして   (2018/10/18 21:36:36)

竹井 久> フフ…喘ぎ声たくさん聞かせてちょうだい？(言いながら突き続けてさとりの子宮まで突いていくわ)   (2018/10/18 21:37:40)

古明地さとり> んっぁ…はぁっあっ…ぁんっあっ////（突かれる度に喘いで   (2018/10/18 21:39:24)

竹井 久> 良いわ…喘ぎ声たくさん出してちょうだいね？チュッ…(子宮突き続けて刺激を与えながら首筋に吸い付いてキスマークを付けて何度も吸い付き濃いキスマークにしていくわ)   (2018/10/18 21:42:04)

古明地さとり> んっあっ…ぁぁっ…あっあっ////（たくさんの喘ぎ声を室内に響かせ   (2018/10/18 21:42:54)

竹井 久> さとり…そろそろ出すわよ？私の精液をしっかり受け取ってちょうだい！んんっ！(強く突いていきビクビク震わせるとおちんちんが膨らんでさとりの子宮目掛けて射精始めて濃い精液を流し込むわ)   (2018/10/18 21:45:00)

古明地さとり> んっあっ……ぁっあっ…わたひも…いっくぅ…いくぅ…！！！////（精液が流れると同時に絶頂を迎えて   (2018/10/18 21:46:16)

竹井 久> んんっ！さとり…いっぱい出してあげるわ…(精液を流し終えるとおちんちんで突いて子宮へ精液を送るわ)   (2018/10/18 21:48:04)

古明地さとり> んっあっぁあっ……！！////（ビクビクと腰を反らして余韻に浸り   (2018/10/18 21:48:46)

竹井 久> フフ…さとりのおまんこしっかり貰ったわよ？(ギュッと抱き締めて言うとそう言って繋がったままでいるわ)   (2018/10/18 21:50:33)

古明地さとり> んっぁ……嬉しい…////（ビクビクとしつつも抱きついて   (2018/10/18 21:51:28)

竹井 久> さとり、可愛いわね…このまままた動いちゃおうかしら？(さとりの膣内でおちんちんがまた膨らむわ)   (2018/10/18 21:53:42)

古明地さとり> んっ…なんどでも貴女となら…////   (2018/10/18 21:54:16)

竹井 久> あら、そんな事言ったら離さないわよ？(クスクス笑いながらさとりをみつめるわ)   (2018/10/18 21:55:50)

古明地さとり> んっ…構わないわよ（微笑んで   (2018/10/18 21:57:15)

竹井 久> フフ…なら、また可愛がってあげるわ(言うなりゆっくり突いてまた膣の中をおちんちんが行き来するわ)   (2018/10/18 21:58:36)

古明地さとり> んっ……あっあっ…ぁぁ////（また締め付け   (2018/10/18 22:02:11)

竹井 久> ん…んんっ…(さとりの膣の中を突き続けて締め付けられれば膨らんで堅さを増していくおちんちんが先走りを流していくわ)   (2018/10/18 22:03:57)

古明地さとり> んぁっ…あっあっ……ぁぁ…久…っ////（相手の名前呼んでみて   (2018/10/18 22:05:36)

竹井 久> ん…もっと喘いで私の名前を呼んでちょうだい？(さとりの腰を掴むと突く速度を上げていってさとりの膣内をおちんちんでたくさん突くわ)   (2018/10/18 22:07:08)

古明地さとり> ぁんっあっ…ああっ…久…久……ぁんっあああっ////（何度も名前を呼び   (2018/10/18 22:07:44)

竹井 久> さとり…さとり…気持ち良いわ！さとりのおまんこが私のおちんちんをしっかり締め付けてくるわ…(さとりの膣壁をおちんちんの先っぽで突いていってグチュグチュ音が聞こえてくるわ)   (2018/10/18 22:10:12)

古明地さとり> んっぁ…っ…ぁぁっ…んっああっ////（抱きつきながら喘いで   (2018/10/18 22:11:18)

竹井 久> さとり…ここ…奥まで入って良いわよね？(子宮をおちんちんで突きながら中に入りたそうにして聞くわ)   (2018/10/18 22:12:37)

おしらせ> 竹井 久さんが退室しました。  (2018/10/18 22:13:42)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/18 22:13:45)

古明地さとり> んっぁ………入って……////（抱きつきながら   (2018/10/18 22:13:51)

竹井 久> 【間違えて押しちゃったわ】   (2018/10/18 22:14:10)

竹井 久> ええ…入れるわよ？(子宮を激しく突いていって子宮の中へ入り込み子宮の奥を先っぽで激しく突いていくわ)   (2018/10/18 22:15:19)

古明地さとり> ぁぁっ…んっあっあっ////（さっきまで以上に感じていて   (2018/10/18 22:15:56)

竹井 久> はぁ…はぁ…さとりの子宮も私のモノよ？チュッ(子宮奥を突きながら言ってさとりにキスするわ   (2018/10/18 22:17:24)

古明地さとり> んっぁ…あっ…全部久のもの…////（微笑みながら締め付け   (2018/10/18 22:18:46)

竹井 久> んんっ…凄い締め付けね？私のおちんちんがさとりから抜けなくなるわ…(締め付けられながら突き続けて子宮の中をあちこち突いていくわ)   (2018/10/18 22:20:12)

古明地さとり> んっぁ…あっあっ…ぁぁ////（自分からキスして   (2018/10/18 22:24:16)

竹井 久> ん…チュッ…(さとりからのキスに返しながら子宮奥を突きビクビク震わせると射精したくなっておちんちんが膨らむわ)さとり…また出すわよ？子宮の中にたくさん出すわよ？   (2018/10/18 22:26:01)

古明地さとり> んっあっ…きてっ…んっぁぁっ…////（自分もいきそうに   (2018/10/18 22:27:07)

竹井 久> さとり…また出るわよ！んんっ！(子宮奥を激しく突いてからビクビク震わせると射精始めて２度目でも濃い精液を子宮奥にドピュドピュ流し込むわ)   (2018/10/18 22:28:48)

古明地さとり> んっぁ…あっあっ…！いくっいくっぅぅ…ぁぁぁ！！！////（ビクビクしてイキ   (2018/10/18 22:32:28)

竹井 久> さとり…たくさん出ちゃったわ。(射精終えるとまたさとりを抱き締めて唇をキスして塞ぐわ)   (2018/10/18 22:33:53)

古明地さとり> んっ……はぁはぁ……んっんっ…////（キス受けて   (2018/10/18 22:34:53)

