/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2021年07月17日 02時54分 ～ 2021年08月14日 07時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> マヤさんが入室しました♪  (2021/7/17 02:54:49)
スワイヤー> はぁ、疲れた…。肝心なときに、あの凸凹コンビはいないんだから（仕事を一旦終えて、おつかれモードの虎のおまわりさん。冷蔵庫から缶のお酒を取り出して、そのままソファへと移動。深く身を沈めて大きく深呼吸。――お酒にすぐには手をつけず、額にぴたりと当てて「ぁ゛～」なんて変な声を出しつつ己を労う）
  (2021/7/28 18:51:17)

スワイヤー> ――まぁいいわ、今夜は久々の非番なのだし、明日に備えてしっかり回復しておかないと（大きく深呼吸の後に、缶のタブを開く。お酒はそこまで強い方ではないけれど、少しくらいならいいだろう――と安易な考えて口をつけて、喉に流し込んでいく）……ぷは…あぁ。うん、ちょっとくらくらするけれど、美味しい…。
  (2021/7/28 19:05:07)

スワイヤー> ……少し汗をかいてきたわね。シャワーでも浴びてきましょうか（半分ほどしか飲んでいない缶をテーブルの上に置くと、脱衣所へと向かう。ごきげんに鼻歌を混じらせ、虎尾をゆらゆら揺らしながら、扉の向こうへと消えていった）   (2021/7/28
19:18:38)

おしらせ> スワイヤーさんが退室しました。  (2021/7/28 19:18:44)

おしらせ> スワイヤーさんが入室しました♪  (2021/7/28 21:59:36)

スワイヤー> ふー…すっきりしたわ（シャワー上がりの虎のおまわりさん。バスタオルローブを身に着けただけの姿で、来るときに来ていた龍門警察制服は丸めて小脇に抱えてる。――皺くちゃになるかもしれないが、今度クリーニングに出せばいいだろう。整理整頓や片付けは苦手だった）――さて、もう少し休んだら帰りましょうか。（元のソファへと戻り、飲みかけの缶に口をつける。――何気なくテレビのリモコンに手を伸ばし、起動。チャンネルを回してみるが、普段龍門で見ている番組はひとつもやっておらず、角も尻尾もない者たちが面白おかしく騒いでる番組ばかりである）……まぁ、言葉はわかるみたいだし、暇つぶしにはなるわね。
  (2021/7/28 22:02:35)

スワイヤー> さて、少し仮眠を取らせてもらいましょうか（ぐーっと背伸びして、荷物をまとめて奥の部屋へ姿を消した）   (2021/7/28 22:19:38)

おしらせ> スワイヤーさんが退室しました。  (2021/7/28 22:19:43)

おしらせ> 藤岡ハルヒさんが入室しました♪  (2021/8/6 18:33:23)

藤岡ハルヒ> こんばんわ…。久しぶりに来ました。   (2021/8/6 18:33:46)

藤岡ハルヒ> それにしても暑いですね…。（首筋の汗を、持っていたタオルで拭きながら…）   (2021/8/6 18:46:04)

藤岡ハルヒ> ふ…少し離席と…。   (2021/8/6 18:47:34)

おしらせ> 藤岡ハルヒさんが退室しました。  (2021/8/6 18:47:38)

おしらせ> 日向秋さんが入室しました♪  (2021/8/6 19:56:59)

日向秋> こんばんは。足跡……   (2021/8/6 19:57:21)

おしらせ> 無言時間が20分を超えたため、日向秋さんが自動退室しました。  (2021/8/6 20:17:41)

おしらせ> 日向秋さんが入室しました♪  (2021/8/7 02:49:00)

日向秋> こんばんは　少し居させてください   (2021/8/7 02:49:25)

日向秋> romさんいかがですか？   (2021/8/7 03:04:00)

おしらせ> 未定さんが入室しました♪  (2021/8/7 03:18:21)

未定> 【とりあえず見てますと足跡だけ…】   (2021/8/7 03:18:41)

おしらせ> 未定さんが退室しました。  (2021/8/7 03:18:45)

日向秋> 【あ…】   (2021/8/7 03:19:25)

日向秋> 【せっかく来てくださったのに…】   (2021/8/7 03:23:41)

日向秋> 【気になるのでしたらお話しませんか？】   (2021/8/7 03:31:45)

おしらせ> 無言時間が20分を超えたため、日向秋さんが自動退室しました。  (2021/8/7 03:52:04)

おしらせ> 朝香果林さんが入室しました♪  (2021/8/7 17:10:20)

朝香果林> Ｍです。主従関係で犬以下の家畜のように飼われたいです   (2021/8/7 17:10:27)

おしらせ> 無言時間が20分を超えたため、朝香果林さんが自動退室しました。  (2021/8/7 17:30:58)

おしらせ> 藤岡ハルヒさんが入室しました♪  (2021/8/9 12:35:09)

藤岡ハルヒ> こんにちわ…。   (2021/8/9 12:35:16)

おしらせ> 藤岡ハルヒさんが退室しました。  (2021/8/9 12:54:23)

おしらせ> 桜衣乃さんが入室しました♪  (2021/8/13 23:20:17)

桜衣乃> こんばんはー、外がすごい雨なので、少し雨宿りさせてくださ〜い…。って、誰もいない…？お留守なのかな？戸締まりはちゃんとしないと、危ないですよー……。   (2021/8/13 23:23:42)

桜衣乃> 【こんばんは！小さな女の子から大人な女性まで、相談からでも大歓迎です！しばらく待ってみますね！】   (2021/8/13 23:30:51)

桜衣乃> うぅ、なかなか雨が止まないのでここから出られません……1人じゃ寂しいです〜…。ロコ先輩、ニナ先輩、はゆちゃん、へもちゃぁん……誰か傘持って来てくれないかな〜……。(窓の外を眺めながら1人体育座りぽつーん……。   (2021/8/13
23:48:47)

おしらせ> 巴マミさんが入室しました♪  (2021/8/13 23:56:26)

巴マミ> ……ふぅ…最近戦果もイマイチ、ね…少し休憩かしら…あら…？(何時もの魔法少女スタイル、小脇にはお気に入りのマスケット銃を抱えながら室内へ、と…したら先客が居た模様？   (2021/8/13 23:57:42)

桜衣乃> 【こんばんはー！】   (2021/8/13 23:58:11)

巴マミ> 【今晩は、特に指定？が無かったので私で来たけど大丈夫だったかしら…】   (2021/8/13 23:58:56)

桜衣乃> あっ，ここの住人の方ですか！？スミマセン急に雨に降られてとっさについ…あ、部屋の中の物は特にいじってませんので……！(突然人がやってきたことに驚けば慌てて手をぶんぶん振って、何もしてないですよと謝りだし…)……えっ…？…その格好……あなたももしかして、同業者さん…だったり？(普段は見慣れないような姿に、アイドルの衣装か何かと思い込んだようで)
  (2021/8/14 00:02:13)

桜衣乃> 【問題ないですよっ、他作大歓迎ですっ！】   (2021/8/14 00:02:39)

巴マミ> ……？え、あ、いえ…私も此処はたまに使わせて貰う程度なのだけど…と言っても少し間が空いてしまったわね…(そもそも誰が所有者なのかなど特に気にした事が…)……あら、同業者…？……貴女も導かれた存在なのかしら…？(一応まじまじと、目の前の相手を上から下まで観察…新しい…なんて聞いてないけど…等とズレた事を呟きながら…
  (2021/8/14 00:05:14)

桜衣乃> そ、そうなんですか？ここ、公共施設みたいなところだったんですね…。はー、よかったぁ……。雨が止むまで、ちょっと使わせてもらいますね。(桃色の浴衣を思わせるようなデザインの上着に、フリルのついたスカート、黒いタイツを着飾ったこっちはアイドルで、深夜番組の収録の為にこんな格好でいた)導かれた存在……？かどうかはわかりませんが、私は桜
衣乃！フルーツタルトっていうアイドルやってます！(くるっと回ってポーズを決めて。にっこり笑顔！)   (2021/8/14 00:10:34)

巴マミ> そうね…普通に私も休憩で使わせて貰ってるから…と言っても、貴女は大変だったみたいね…？(何やら降られたのだろうか…此方は平穏だった分少し気まずそうに…)そうだわ紅茶…何か少し肌寒いものね外は…(と、言うや否や何処からか取り出したティーセット、二つのカップを並べたらポットから何故か暖かい紅茶が注がれて)…あらあら…最近の魔法少女はそんなスタイルも有るのね？とっても可愛らしいわよ♪(アイドル＝そんな戦闘スタイルなのだろうと擦れ違い解釈…歌って踊るとか中々斬新ねって
  (2021/8/14 00:15:54)

桜衣乃> あ、あはは……まぁ、よくあることなので……。…えっ、紅茶貰っちゃっていいんですか？凄いですね、手品みたいですっ！(どこからとも現れたティーセットに目を輝かせ)……魔法少女？…えっと、まぁー…そういう存在でもあるかもしれませんね、アイドル！みんなに元気をあげる存在、みたいな〜…？(金髪乙女で髪もクルクルしててファンタジーみたい…！かわいい…！胸大きい…！などと内心思いながら、紅茶をいただき)
  (2021/8/14 00:22:48)

巴マミ> それはこう、もうちょっとこう、天気予報観るなりして警戒した方が良いんじゃないかしら？(とはいえ、最近はちょっと乱れ気味ですものね…と、頷き乍ら毒は無いわよ、と、自分からカップに口を付けて)……皆に元気…？…あらあら、随分おっきな目標なのね…私には誰かを守ってあげる事しか出来ないけど…(何となく先輩ぶって、眩しい後輩の存在には多少…)と、紹介が遅れたわね…私は見滝原中3年の巴マミよ、宜しくね？(一度す、と立ってスカートの裾を摘まみながらの一礼…明らかに不釣り合いな部分は上下運動に合わせて多少…？
  (2021/8/14 00:27:48)

桜衣乃> ちゅ、中学3年生っ！？嘘、見えない！同級生かちょっと上かな〜って思ってましたっ！？(中3というワードを聞けば、雰囲気よりも若いことに驚く高1)…あっ、す、スミマセン、失礼なこと言っちゃいました…。私は東小金井学園の高校一年です、よろしくお願いしますね、マミちゃん！……天気予報、見てなかったんですよね…。午前中はちゃんと傘持ってたんですよ？でも、収録の帰りはちょっと傘忘れちゃって…。(紅茶をこくり、と飲むと大きなため息をとほほ…と)……えへへ、まだ全然売れてない、底辺アイドルなんですけどね…。フルーツタルト、やっぱり聞いたことないですよね…。
  (2021/8/14 00:36:14)

巴マミ> え、えっ…あ、の…？桜、さん……？(まさか此方も相手が先輩だと思わず…ちょっぴり先輩風吹かせてたのが恥ずかしくなったのか急に横を向きながら…)え、えっと…よ、宜しくお願い、しま、す？…ま、まぁ、この時期にそんな、雨が長続きする事自体も、珍しい…わ、です、ね…？明日以降もまだ天気は下り坂、みたい…ですし…(今更乍ら拙い敬語…自分にとっての先輩自体が不慣れな存在故か違和感だらけで…？)あ、え、っと……え……ほ、本当にアイドル、なの…？(魔法少女の集団、なら耳には入るはず…それを知らない＝目の前の相手は本物の…？
  (2021/8/14 00:41:28)

桜衣乃> ……あれっ、どうかしました、マミちゃん？…あっ、別に私がひとつ歳上だからって気にしなくて大丈夫ですよっ！？ほら、たったひとつしか違わないんですから…。(急に縮こまってしまったマミちゃんを見て、私も去年まで中3だったしっ、とフォロー入れ)……はい、これでもライブやったり、深夜番組出てたり、いろいろアイドルらしい仕事してるんですよっ。マミちゃんは……どっちかっていうと、役者さんなんですか？本物の魔法少女みたいな格好で、似合ってますよ！(銃もかっこいい！とやたら褒めてきて。どうやらそっちの思う魔法少女のことは本当に知らない様子…)
  (2021/8/14 00:48:22)

巴マミ> あ、えっと…そ、それじゃぁ…御免なさい普段通りにさせてもらうわね…？(ｺﾎﾝ、咳払い一つ、流石に色々と無理があったので今まで通りに務めようと切り替えて)あ、そ、そうなの…？重ねて御免なさい私そういう方面には疎くて…嗚呼でもだからこそ、皆を笑顔に…なのね…ふふ…やっぱりそういう目標が有るのは羨ましいわね…？…え、役者…？…あ、えっと…そ、そんな所かしら…？(となると目の前の相手は存在そのものを知らない事に…一応銃は自分の後方に回して、から見えない所で消しておいて…紅茶のおかわりは如何かしら？と、ポットを持って前のめりに、露骨な転換を図って
  (2021/8/14 00:52:48)

桜衣乃> そうなんです、子供の頃にテレビで見た子が、ちっちゃいのに踊ってて…。それが楽しくてかわいくて！それでアイドルを目指すようになったんですよ〜！今はその憧れの人と同じアイドルグループに……これって運命感じちゃいません！？…っとと、熱くなっちゃいました、おかわりもらいますっ！(ごくり、と飲み干したカップを差し出して)…やっぱり。マミちゃんなんだか振る舞いが大人っぽいですもんね。どこかの演劇やってたりとか？お嬢様みたいで憧れちゃうな…。(と、マミちゃんをみる目は羨望の眼差しで、紫の瞳がキラキラとまっすぐに顔を捉えている)
  (2021/8/14 01:03:28)

巴マミ> あら…何か物凄い偶然…いえ、それも桜さんの因果に導かれた運命、だったのかもしれないわね…ふふ…何だか愉しそうで、やっぱりちょっと羨ましいわね…♪(はいどうぞ、と、威勢良く空になった桜さんのカップ→序で自分のカップ、と、未だ熱の引かない紅茶を注いで)あ、い、いえ、…私は別に、これが普通、と言うか…そんな…ま、まぁ色々、色々有るのよっ……と、というか、さっきからその、呼び方…何か慣れてないから…違和感だらけ、で…(ずい、と、迫る眩しい視線に耐えきれずに又身体ごと真横を向いてしまい…普段が先輩な立場もな所為か、先程から如何にも不慣れな呼ばれ方も相まっては困った様に、ロール状の髪に指をクルクルと巻き付けて…
  (2021/8/14 01:09:43)

桜衣乃> ええー？いいじゃないですかっ、マミって名前がもう可愛いですよね！それに、マミちゃんも私のことイノちゃんとかイノっちとかって呼んでいいんですよ？私はアイドルですから！マミちゃんも私達のファンになってくれたら、先輩嬉しいな〜、なんて♪(カップを持ったまま、すす…とマミちゃんの隣に座り)…うん、近くで見ると…本当に綺麗…。メルヘンチックで可愛い身なりとか……アイドルになったら人気出そうだなぁ……(…と、ベタ褒めするのと同時に、口元からは涎が垂れ、ハァハァと危ない息をし始めて…)
  (2021/8/14 01:16:51)

巴マミ> っ、っーーーな、何急にっ…も、もうっ…そ、そんな…別に、私だって、桜さんは…とても、可愛らしい女の子だ、って…えっえっ？(褒められたらじわじわと色付く頬…一応素直に、此方も思った事を伝えて返してる間に隣に詰められて)…あ、あの、桜、さっ……そ、その…い、言って貰える、のは…悪い気は、しない、けど……Σ桜さっ…!？(更に至近距離で追撃を喰らってしまえば冷静な思考など出来るはずも…それも一瞬、何やら犬同然の不審な表情を見たら思わず大声が…
  (2021/8/14 01:21:01)

桜衣乃> えへへぇ……照れるマミちゃん可愛いですよぉ……♡(ことん、とカップを机に置けば、すくっと立ち上がりマミちゃんの正面に立って)……私、マミちゃんみたいなお嬢様みたいな女の子って近くにいないので…ちょっと気になっちゃうんですよねぇ……。(大声を出しかけたマミちゃんの唇に人差し指を立てると、しーっ…と静かにさせるジェスチャー…)大丈夫、怖くないですよ〜…。ちょっと、味見しちゃうだけですから……いいですよね？(と、マミちゃんの両肩に手を置けば、そのまま顔が近づいてきて…)
  (2021/8/14 01:29:29)

巴マミ> っーーーも、もうっ……っ…(添えられた人差し指…思わずﾄﾞｷﾘと…鼓動は嫌と言う程に早鳴りを。、それが余計な焦燥感を駆り立てて…思わず此方も、何かあっては困るから、と…カップはその隣に置かれてから、一応警戒心の籠もった眼差しで見上げた状態…)こ、怖くない、なんて、どの口が、そんな事を言ってるのかし……らっ…(一応反論は小声、ながら…味見、なんて言われて両の肩を掴まれては…もう、そういうのなのだろう、と………瞼を閉じて顎を上に…唇を自ら突き出したら所謂キス待ち顔の完成…
  (2021/8/14 01:35:52)

桜衣乃> ほら、怖くない怖くない…。それに、マミちゃんも……そんな顔しちゃうってことはーーー(座ってキス待ち顔になってしまった目の前の子の唇をそっと奪うと、唇の感触を味わうかのように…重ねるだけのキス。息が止まってしまうほど、静かで動かない時間が過ぎて)  
(2021/8/14 01:41:59)

巴マミ> っ、っーーーーー……(流石に待ってる状態では反論すら出せない…多少は自覚もある所為か否か…？…ふわりと、触れるだけの口付け…情事に不慣れな事も有ってかﾋﾞｸﾝ、と、小さくは震えたものの…特に抗う訳でもなく…かと言って自ら踏み込むでもなく…両手は何処は忙しそうにスカートの裾を握りながら…
  (2021/8/14 01:45:44)

桜衣乃> ……ぷぁ……。(ほんの僅かな時間とも、永劫ともとれるような時間とも思えるような、そんな空間がこちらから唇を離したことで終わって。熱い吐息を漏らしながら、両肩を掴んだまま目の前の女の子を見やり)……お嬢様の味は紅茶味、でしたね…♪とってもおいしかったですよ…♪(満面の笑みを浮かべながら、スカートの裾を握るマミちゃんの手に自分の手を重ね)……でも、もうちょっとだけマミちゃんを味見していたい…かな？マミちゃんさえ良ければ……先輩が教えてあげよっか…♡(耳元で甘く優しく、くすぐるように包み込むようにささやいて)
  (2021/8/14 01:52:11)

巴マミ> は、はっ…は、ぁ……(やっと、解放された…暫く呼吸すら忘れていた所為か、解放感と共に熱の籠もった呼吸を繰り返して…)あ、ぅ…お、お粗末…さ…まっ…!？(正直味など考える余裕すら無かった自分とは大違い…無意識に握られたスカートの上から重ねられた手に思わず驚愕の声が…)Σさ、桜、さっ……!？っ、っーー……そ、その……こ、此処で、な…の…？(同じ声のはずなのに、先程までのおどけた調子とは明らかに違う艶の混じった声がそのまま脳内に響き渡って…何を意味するか等わかりきってるが故に、紅く染まった顔は…)あ、え、と……そ、の、い、一応序で、に…ど、どこまで、起きてられるか、解らない、け、ど…(若干の申し訳無さと共に…それでも一応否、とは言わずに…
  (2021/8/14 01:58:11)

桜衣乃> えへへ、やっぱりマミちゃん…嫌って言わないんですね…。興味のあるお年頃だもんね、わかるよ…♪(重ねた手を撫でつつ、じっ…と見つめ合って)…うんうん、途中で眠っちゃってもいいから……ね？(その手が離れると、マミちゃんの太腿に手のひらが触れ。円を描くように撫で回しながら、その手がどんどん上に上がってくる)
  (2021/8/14 02:05:45)

巴マミ> そ、それ、はっ……っーー…(こんな所に出入りしてる以上言い訳も出来るはずがなく…恥ずかしさから思わず俯いてしまえばお互いの両手が視界の中に…)っ、…そそれ…な…ら……あ、あっ……んっ…(直に腿を撫でられたら又ﾋﾞｸﾘと…震えてしまう身体…やがてそのまま上に上に…一応捲れない様に、裾は押さえてはいるものの…両脚が閉じられる事は無く…自ら誘ってる様にも…
  (2021/8/14 02:10:52)

おしらせ> 巴マミさんが退室しました。  (2021/8/14 02:11:00)

おしらせ> 巴マミさんが入室しました♪  (2021/8/14 02:11:02)

桜衣乃> ねぇ、マミちゃん…。裾、めくって見せて？マミちゃんの下着…見てみたいなぁ…♡大人な下着かな？それとも、かわいい下着かな？気になっちゃうな〜……♡(指先をなめらかに滑らせながら、スカートの中に手が潜り込んでいく。優しくゆっくりと、丁寧に手が滑れば、その大事な部分を守っている布に指先をぴっ、ぴっ、と引っ掛けて。それと同時に、見たいな〜、見たいな〜…と、耳元で甘えるように何度も囁き…)
  (2021/8/14 02:16:24)

巴マミ> ΣΣな、なっ……!?(ただでさえ公の場で恥ずかしさも酷い状況、なのに唐突にされたお願いは更にそれを上塗りにしてくる有り様で…イヤ、と、まだ残った理性は抗いを見せるものの…)や、やっ、あっ…わ、わか、た、からっ…あっ…(触れられた先、多少熱の籠る空間…削られるのは少ない理性、やがて顔は背けたまま、両手でスカートをお腹の辺りまで自ら捲り上げてしまったその中…所々にフリルをあしらったレモン色のショーツを曝してしまい…中学生らしからぬ体躯の彼女がそんな真似をしてたらまるで妖しい撮影会にも…
  (2021/8/14 02:24:40)

桜衣乃> うんうん…♪その調子その調子…。…へー…思った通り…マミちゃんのイメージカラーって黄色かなーって思ってたから、ここもそうなのかなーって期待してたんです…♪(フリフリで可愛いですよ…♡とか、ここ暖かくなってますよ…♡とか、ぼそぼそと耳打ちしてきて)……自分から見せられましたね、よくできました…♡(と、褒めることも忘れずに…。ご褒美と言わんばかりに頬に口づけすれば、レモン色のショーツの上から、指先を立ててすりすり…と撫で)
  (2021/8/14 02:31:10)

巴マミ> ΣΣっ、っーーーーい、言わなくて、良い、からっそん、なっ…や、あっ…(自ら曝した手前暫く下ろす訳にも行かず…桜さんの声は容赦無く頭を通じて全身を揺さぶられて…)あ、ぅ、んっ……あ、あっ、そ、こっ…あっ…(御褒美一つ、それだけでも次第に脳内に刷り込まれるのは抗えなくなる優劣？やがてお尻が時折上下に揺れ動き、強く押し込まれたら、一部が色濃くなってしまうかも…
  (2021/8/14 02:36:43)

桜衣乃> ……凄いですよ、マミちゃん…。私、まだ女の子の気持ちいいところ全然触ってないのに…。見えます？シミ…広がってきちゃってます…♡(わざわざ、目に見えていること、感じることを口に出して。羞恥を煽っているのか、興味本位の実況なのか、窺い知ることはできず…)…マミちゃんのぬくもりを感じますよ…♪蒸れて、生暖かい…女の子の熱気です…♡はぁ、なんて心地いいぬくもりなんでしょう…♡(くに…くに……とショーツの上で指が跳ね回り。窪みを下からなぞりあげたり、突起を探すかのように突き回ったり…)
  (2021/8/14 02:44:18)

巴マミ> ΣΣう、嘘よそん、なっ…だか、らっ…や、やっ;!(ふる、ふる…押し寄せる羞恥心に堪えきれないのか、時折ロールを左右に揺らしながら、も…次第に口付け時よりも呼吸は乱されて、瞳も何処か眼力が無く？)Σっ、っーーあっ!(やがてナニかを探す様な桜さんの指の動き…それが薄布の内側から自己主張をし始めたのを突かれたら一際響く声と、じわ、と…更にその面積を広げてしまって…
  (2021/8/14 02:49:55)

桜衣乃> ……あれ、もう達しちゃったんですか……？(すすす…と姿勢を下げれば、顔をショーツの目と鼻の先へ。シミが広がる様を真正面で眺め…)……マミちゃんって、感じやすいんですね…♡そんなところも可愛い…♡(マミちゃんのショーツの上から股座に顔を埋め、鼻をぐりぐりと窪みに押し付ければ、わざとらしく聞こえるような呼吸をして匂いを嗅いでいて…)はわぁ……♡いい香りがしますぅ……♡すん、すん……♡
  (2021/8/14 02:55:03)

巴マミ> Σっーーー(軽くとはいえ、誰が来るかも解らない部屋で達してしまった事に盛大な恥ずかしさ、と…ｶﾁﾘ、と…振れていくのは被虐方向に…？)は、はっ、そ、んな、事…無いわ…よ…Σきゃっ、きゃぁっ!?な、何してっ…!?(思わず摘まんでいたスカートを離してしまえば桜さんの頭の上に…その中での桜さんの有り得ない？行動にはたまらずスカート越しにぽかぽかと、桜さんの頭を叩いてみるものの、既に奥底から疼き始めた牝の、或いは時折、処理のしきれないﾂﾝとした刺激臭が鼻腔を突いてしまい…
  (2021/8/14 03:01:38)

桜衣乃> えへっ……だって、マミちゃんが可愛くて止まらないんですぅ……♡(ぽかぽか優しく叩かれるのすらご褒美…♡女の子の恥ずかしい匂いをおかずに、自分も秘部を弄り始めて…)ん、ぅ…♡マミちゃんのラブジュース、いただいちゃいます、ね……♡(くい…とショーツをずらし、湿った割れ目を見れば、躊躇なく口づけして…。ちゅるる…♡と音を立てて、窪みの中の水分と空気を吸っていき…)
  (2021/8/14 03:07:04)

巴マミ> っ、っーーーーーー!(最後、一回だけぺしん、と、強目に叩いたものの、どうやら桜さんには効果が無い模様で…)えっ、Σきゃっ!?あああっ!?(ズラされて外気に曝されたのは既に湿り気ゆ帯びて物欲しそうにしてしまってる割れ目や、先程よりも強い自己主張をしてる感覚器、或いは発育故か、髪色と同じ茂みが曝されて…卑猥な音が奏でられたら押し退けそうな程に腰も浮いてしまい…
  (2021/8/14 03:11:19)

桜衣乃> あむ、ん、ちゅ…♡ぢゅる、ちゅっ……ぢゅぞぞっ…♡(窄めた口で、源泉から蜜を必死に吸い上げて…。蜜が出なくなったと思えば、今度は唾液のたっぷりとついた生暖かい舌が割れ目を開いて潜り込み…)ぢゅるるっ♡れろっ、れぇー……っ♡んぢゅるっ♡ちゅ、ちゅぷ…ぴちゃ、じゅるるるるっ……♡(肌を吸い、襞を舐め回し、膣内を舌で蹂躙して。暴れ回る舌が、壁を、天井を縦横無尽に駆け巡る…)
  (2021/8/14 03:17:18)

巴マミ> あ、あぁぁぁっ!?(身体は成熟しても快感には不馴れなもの、強すぎる快感には部屋中にその声を響かせてしまい)Σひぅ!?ま、まっ、あっ、さ、桜、さっ、そ、それっだめっ…膣内っ舐めな、でっあっあっあっだめだめいやぁっ;!(やがて割り入れられた舌は容易くその膣内を搔き乱し始めて…明らかにその声には快感以外に焦燥感も混ざり出して…桜さんの舌にはやがて迫るだろう限界から、膣内で震える感触が伝わってしまうかも…
  (2021/8/14 03:22:56)

桜衣乃> れろ、あむ、ちゅっ、…ぷぁ…♡……えへっ…♡もうイきそうなのが、伝わってきましたよ…♪大丈夫ですよ、私以外は見てませんから……私にだけ、マミちゃんがイくところ……見せてください♡(とどめ、と言わんばかりに、秘部の上で主張している突起を、かりっ……♡と甘く噛んでしまって…)
  (2021/8/14 03:27:54)

巴マミ> ΣΣひぃぃぃぃぃっ!?(訪れたのは甘い刺激…衣装越しの膨らみを上下に揺らしながら仰け反る上半身、下半身は又桜さんの顔を押し退けそうな程に跳ねてしまい絶頂の波の中に…やがてちょろ……しゃぁぁぁっと、先程の紅茶が作用してしまったのか桜さんの顔に向けてお漏らしし始めてしまい…)いやっ、いやっ…見ない、でっ…見ないでぇぇぇっ;(ふる、ふる…力無く首を振りながらも、自らでは暫く制御が出来ずに桜さんやら座ってた椅子やらを汚してしまい…
  (2021/8/14 03:33:16)

桜衣乃> あ、ダメですよ逃げちゃ…♪(マミちゃんの太ももに腕を回せば、暴れて逃げられないようにして。マミちゃんが我慢できずにしてしまった放尿を、恍惚とした表情で浴びつつ…。加えて、その絶景を眺めながらの自慰は強烈な快感を齎して…)マミちゃんっ…マミちゃ……んんっ…ふぅぅぅぅぅ……！♡♡(目の前の少女の名を呼びながら、聞こえているかどうかはさておき、自慰で達してしまい…)
  (2021/8/14 03:40:18)

巴マミ> い、やっ、いやぁ…っ…ひっあ…、ひっ…ごめ、なさっひっ…(やがて一頻り、終える頃には先程よりも強い刺激臭が漂いだし…恥ずかしすぎる様を見られたり、アイドルを汚してしまった罪悪感に押し潰されそう、な…)あ…あっ……は、はっ……(それも直ぐ搔き消されたのは桜さんの悶える姿…或いは冷めない余韻からか、呼応する様に表情は惚けてしまい…拗らせだした無自覚な被虐性癖は、今なら多少酷い命令だって従ってしまいそうな程に…？
  (2021/8/14 03:46:36)

桜衣乃> ……ぺろっ…。……これがマミちゃんのおしっこの味……♡(蕩けた表情で涎を垂らしながら、夢見心地で口の中の残り香を味わい)とーっても、美味しかったですよ……♡ごちそうさまです…♡……あれあれ…？マミちゃん、物足りなさそうな顔ですよ…♪先輩にこんなに恥ずかしい姿見せたのに、まだ物足りないんですか…？(ぽたぽたと水滴を髪から垂らしながら、マミちゃんの耳元で
  (2021/8/14 03:53:30)

桜衣乃> まだまだしてほしいんですか…♡と、くすぐるように囁いてきて)……それじゃあ……裸になっちゃいましょうか♪マミちゃんの体……全部、私に見せてください？♡(耳たぶを甘噛みしながら、命令口調で言ってみて…)   (2021/8/14 03:57:30)

巴マミ> っ、っーーーー♪(重なる恥辱…それももうある種の快楽に置き換えられてﾋﾞｸﾝ、と…)ΣΣっ、あ、そ、そんな、事、はっ…あっ……な、ない、わ、よっ…っ…(ふる…小さく、否定の態度はしめす、ものの…身体の熱は未だ引く気配が無く…桜さんの抜けた両足の、膝頭同士はモジモジと擦り合ってる様を…)Σっな…なっ……や、やっ…ま、待っ…あっ…(聞こえた指示は思いの外酷いもの…でも…ｶﾁﾘ、と…朧気な思考はもう…まずゆっくりと立ち上がり…シュルと、リボンをほどいてから、お腹の留め具やらを外してコルセットを脇に…そのままブラウスを脱いでスカートも下げたら中学生には不釣り合いな身体を覆う上下対の下着姿へと…
  (2021/8/14 04:06:50)

桜衣乃> そう言ってる割には……私の言うこと、聞いちゃうんですね…♡私、マミちゃんのこと分かってきた気がします…♪(がさごそ、と自分の鞄からスマホを取り出せば、スタンドに置いて録画開始…♡)…うんうん、ばっちり撮れてます…♡あ、マミちゃんは気にしないでそのまま脱ごうね…♡あ、でもソックスだけは残してくださいね？私、そこだけこだわりがあるので…♡(舌を垂らし、涎を垂らしながら、脱いでいく様を血走った目で眺め…)
  (2021/8/14 04:12:10)

巴マミ> そ、そんな事、無いわ、よ気のせい、よっ…(なんて口では抗って見せても手は止まる事無くニーソに指が掛か…った所で桜さんが取り出したのは…)ΣΣや、やっ!?まっ、録るなんて、聞いて、なっ……あ、あっ…っーーー…(桜さんの瞳以外に増えた無機物のギャラリー…それはつまり今後、彼女にはまともに逆らえないと言う絶大過ぎる弱味……それでもす、と…外されたブラの中の左右それぞれの中心は卑しくﾂﾝ、と尖ってしまっていて…
  (2021/8/14 04:18:20)

桜衣乃> えぇ、でも……こうして撮られて…。記録に残っちゃって…。自分の痴態が、いつ、どこに漏れちゃうか……なんて、考えただけでもゾクゾクしちゃいませんか……♡(マミちゃんに想像させるように、あんなことやこんなことの詳細を教えてあげて…。それとも、配信の方がよかった…？♡などと、耳をいじめてくる…)
  (2021/8/14 04:24:30)

