/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月03日 20時29分 ～ 2023年01月04日 21時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> ふにゃあ………流石衣乃お姉ちゃんにライネスお姉ちゃんだ…♡   (2023/1/3 20:29:03)
中野一花> (真っ赤に染まった耳と顔で、レムちゃんの正面に立って。揶揄ってきている。というのが、レムちゃんの表情からよく伝わってきて)五月ちゃんよりもこう…お上品だねぇ…(服装と言い口調といい…。但しイタズラにおいては遥かに妹よりも上なのは確かで)…でもそれもまた良しっ…お姉ちゃんとしてはポイントが高いなぁっ…！
  (2023/1/4 02:23:03)

レム> レムはレムですから…五月様…ではないんですよ…♪ 喜んでもらえてレムは嬉しいです (褒められるのも嫌いではないので褒められたら笑顔になっちゃいます♡) 眠れないなら無理せずにこちらへどうぞ…♪ 今は2人きりですのでこれくらいはして差し上げますよ…
(ソファに座り直して膝をとんとんっと…膝枕へご招待です…♪)   (2023/1/4 02:28:11)

中野一花> …んむ…(ちょっと警戒しながらも、膝枕をしてくれる様子のレムちゃんに近づいてから、ゴロンと横になって)……(もちっとしてる…。と口には出さずに、レムちゃんの太腿の感想を心の中で呟いて)   (2023/1/4 02:31:39)

レム> そんなに警戒しなくても何もしないのでご安心してください…♪ (前髪をかき分けて…貴女のお顔をじーっと見下ろすように見つめていて) 今夜はお静ですね、このままお休みになってもレムはよろしいですよ♡   (2023/1/4 02:36:58)

中野一花> さっきのがあるからなぁ〜…？信じていいのかなぁ〜…？(と言っているものの、すでに横になっている。前髪をかき分けられて、その下にある青い瞳でじっと見つめて)…みんな三が日で遊びすぎたんだよ〜。衣乃ちゃんとひとりちゃんなんて何人と遊んだんだろうね♪(クスクスと笑いながら、レムちゃんの頬に手を伸ばして)
  (2023/1/4 02:39:04)

レム> 皆様楽しんでるようでレムはとても嬉しくなってしまいました…♪ 衣乃様も日頃お忙しいみたいですのでこの３日で癒されてると良いのですけど… (頬に触れられても抵抗することなく微笑ましく見つめていて)
一花様も遊び疲れてしまいましたか…？　あまり無理をしてはいけませんよ、レムも無理はしませんので…♪ (触れる手に手を重ねてにっこりです♪)   (2023/1/4 02:44:20)

中野一花> お姉さんはそんなに遊んでないかな〜…。いろんな事務所に回ったり、お爺ちゃんに会いに行ったりで忙しかったからね〜。…無理なんてしてないよ〜。お姉さんは頑張れる範囲で頑張ってるだけだし♪(ちょっとだけ笑みを溢しながら、レムちゃんの頬をゆっくり撫でて)
  (2023/1/4 02:52:20)

レム> レムも遊ぶことはできなかったですね… どうしたんですか、レムの頬を撫でて妹様を思い出してしまったのでしょうか…？それともライネス様が恋しくなってしまいましたか？　(レムも貴女の頬に手を添えて…優しく撫でるように触れています♡)   (2023/1/4
02:56:41)

中野一花> レムちゃんはレムちゃんなんでしょ〜？今はレムちゃんのほっぺた撫でたいだけ〜。(ゆっくりと、下から上に、もちっとしてるほっぺたを撫であげて…)   (2023/1/4 02:58:35)

レム> レムはレムです…♪ 撫でたいなら思うままにどうぞ… レムの頬を堪能してくださいね♡ (撫でられて満面の笑顔です♪) お時間もお時間ですけどお休みにならなくてもよろしいのでしょうか…？一花様   (2023/1/4 03:02:16)

中野一花> ……ここまで眠れないのは想定外かなぁ…(でもまぁほっぺた撫でてたら眠くなるよ〜きっと。とナデナデし続けて)   (2023/1/4 03:05:32)

レム> 人肌を重ね合うと眠気も襲ってくるのでオススメですよ♪ レムは…添い寝してもらっちゃったらすぐに寝てしまうので衣乃様たちにはご迷惑をおかけしているかもですが… (目を閉じながら貴女の手の感触を感じています♪)   (2023/1/4 03:12:05)

中野一花> 人肌かぁ…(じっとレムちゃんの方を見てから、ひとはだ…？と考え直して)……レムちゃんでいっか♪(優しく頬を撫で続けつつ、時折下瞼あたりまで撫でてみて)   (2023/1/4 03:16:10)

レム> 一花様が望むのであればレムは喜んで添い寝をいたしますよ…♪ (下瞼あたりまで撫でられてレムは心地良くて目元を細めて子犬のように可愛がられてしまいます…♡)   (2023/1/4 03:19:16)

中野一花> ありがと、レムちゃん…♪(耳の辺りも時折くすぐりつつ、目元を細めて心地良さそうにしてくれてるのが嬉しくて)   (2023/1/4 03:21:56)

レム> このままで良いんでしょうか…？　ベッドで添い寝でもレムは断りませんよ…♪ (耳は少し弱くて…くすぐられたらビクビクっと小さく震えてしまいます…)   (2023/1/4 03:24:55)

中野一花> じゃあ、ベッドの方で添い寝しよっか…♪(優しく撫でてから、軽く抱きしめて)   (2023/1/4 03:26:08)

レム> 奥のお部屋でしょうか…？　それともここがよろしいですか…一花様？ レムはどちらでもよろしいですよ…♪ (力を抜いて抱きしめられてしまいます…)   (2023/1/4 03:31:26)

中野一花> 奥まで行こっかっと…(レムちゃんの膝枕から身体を起こして、軽く手を握って)寝落ちしちゃっても大丈夫だからね♪   (2023/1/4 03:33:38)

レム> それではお部屋に行きますね…♪ (そっと立ち上がってお部屋に向かいます)   (2023/1/4 03:36:50)

おしらせ> レムさんが退室しました。  (2023/1/4 03:36:55)

おしらせ> 中野一花さんが退室しました。  (2023/1/4 03:38:21)

おしらせ> 森久保乃々さんが入室しました♪  (2023/1/4 07:02:34)

森久保乃々> おはようございます…昨日で三が日も終わり、いつもの日常に戻っていく人も多いことでしょう…もりくぼはまだ猶予はありますけど、やはりまとまった休みの後は憂鬱になりますね…（うぅ、寒い寒いと呟きながらお布団から這い出して）   (2023/1/4
07:05:56)

森久保乃々> 昨日は三が日最終日だというのに…いえ、最終日だからでしょうか…たくさんの人が集まっては交わっていたようですね。みなさん日常に戻る気合を注入していたのでしょうか…？まあ…もりくぼもお昼にしていた側ではありますけど…   (2023/1/4
07:11:20)

おしらせ> 東北ずん子さんが入室しました♪  (2023/1/4 07:16:57)

東北ずん子> つまり最後にあさからすると！   (2023/1/4 07:17:12)

森久保乃々> えぇ…？誰もいないからとぽつぽつ適当に呟いてただけなんですけど…！   (2023/1/4 07:18:04)

森久保乃々> と、ずん子さんおはようございます…   (2023/1/4 07:18:16)

東北ずん子> おはようございますー、お早いですね（ぎゅう）   (2023/1/4 07:19:39)

おしらせ> 芹沢あさひさんが入室しました♪  (2023/1/4 07:19:51)

芹沢あさひ> おはようございますっすー♪   (2023/1/4 07:20:05)

森久保乃々> 寝るのが早いと起きるのも早くなりますからね…（実を言うと5時起きです）   (2023/1/4 07:20:24)

東北ずん子> おや、おはようございますー（森久保さんに凭れつつひらひらと手を降って）一緒にあたたまります？   (2023/1/4 07:21:08)

森久保乃々> あ、おはようございます……   (2023/1/4 07:21:17)

芹沢あさひ> いやー...ほんとに朝から寒いっすね...   (2023/1/4 07:23:02)

東北ずん子> さむいですよー、あたたまりたいです、人肌で。人肌でっ（きらきら）   (2023/1/4 07:24:55)

芹沢あさひ> なんで人肌、って所を強調するっすか？(きょとん)   (2023/1/4 07:25:29)

森久保乃々> 寝起きの寒さほどつらいものはなかなかないです……まあこうしてただくっつくぐらいでしたらいいですけど…（ずん子さんに肩寄せて）   (2023/1/4 07:26:14)

東北ずん子> 冬に誰かと暖まるって定番でよくないですか？（森久保さんにぎゅう、くっつき胸をよせて）   (2023/1/4 07:27:22)

芹沢あさひ> 確かに、暖かそうっす...！！(2人に後ろからむぎゅう、と抱きついて見たり)   (2023/1/4 07:28:02)

森久保乃々> …そういえば、初めましてですね…？アイドルの森久保乃々ですけど……そちらも確かアイドルですよね…？   (2023/1/4 07:29:34)

芹沢あさひ> 自己紹介してなかったっすね。私は芹沢あさひ、283プロダクションでアイドルをやってるっす！そういうあなたは？   (2023/1/4 07:30:51)

東北ずん子> はじめまして気にしないけいボイスロイド東北ずんこです、いらっしゃいませっ（押しくら饅頭むにむに）   (2023/1/4 07:30:53)

芹沢あさひ> 乃々ちゃんとずん子ちゃんっすね、よろしくっす！   (2023/1/4 07:32:13)

森久保乃々> うぅ…まぶしい…もりくぼ同じ14歳とは思えないんですけど…！あ、はい…よろしくお願いします…あさひさん（ぺこり）   (2023/1/4 07:32:54)

東北ずん子> 同じアイドル…ですよね？（後ろのあさひさんちらみ、森久保そんのほっぺむにむに）   (2023/1/4 07:34:17)

芹沢あさひ> 同い年なんだし、そんなに固くならないで欲しいっすよ...？(と乃々ちゃんをじーっ)   (2023/1/4 07:35:23)

森久保乃々> い、いえ…これくらいはもりくぼ平常運転なんですけど…（目反らしつつ、お互いの体温でぽかぽか…いい気分です）   (2023/1/4 07:36:32)

東北ずん子> 森久保さんは柔らかいですよー、触り心地抜群です（二人にすりすりよって）   (2023/1/4 07:39:01)

芹沢あさひ> プロデューサーがよく言ってたっす。「たまには他の事務所の子と交流してみたらどうかな」って。いいチャンスっす！(2人に頬を交互に擦り寄せて)   (2023/1/4 07:39:41)

森久保乃々> もりくぼは湯たんぽじゃないんですけどー…（二人にすりすりされてもみくちゃ…どこか遠い目をして）たしかに…他の事務所の子と話すのはいろいろ繋がりそうですからね…   (2023/1/4 07:41:42)

芹沢あさひ> これ、ずん子さんからしたら現役アイドル2人と引っ付いてるってだいぶ激レアな状態っすよね。   (2023/1/4 07:43:58)

森久保乃々> しかもジュニアアイドル……ある種の人物からすれば垂涎もののチャンスですね…   (2023/1/4 07:45:57)

芹沢あさひ> 私、もっと乃々ちゃんのこと知りたいっす！   (2023/1/4 07:47:20)

森久保乃々> えっと…はい、もりくぼでよければ…？同じアイドルとして仲良くはなっておきたいですからね…   (2023/1/4 07:49:12)

東北ずん子> なるほど…つまり二人ともセクハラすれば色々楽しめると（森久保さんのほっぺぷにぷに、あさひさんの体を背中越しにふにゅ、やわらかさ堪能）   (2023/1/4 07:49:44)

芹沢あさひ> ほわっ...(背後からの感触に目を丸くして)   (2023/1/4 07:50:28)

森久保乃々> そういうわけじゃないと思うんですけど…！まあずん子さんはいつもこんな調子ですか…（呆れつつぷにられ）   (2023/1/4 07:52:10)

芹沢あさひ> でも、ふと思うっす。私と乃々ちゃん、どっちかがお家に遊びに行っても、スキャンダルにはならないって。   (2023/1/4 07:53:30)

東北ずん子> ふふ、私はこうやって距離感たもつんです（ふふん）つまり家に連れ込んであんなことこんなこと（謎の意訳）   (2023/1/4 07:54:51)

森久保乃々> 同い年のアイドルですからね…ただ普通に仲良く遊んでるだけだと思われることでしょう…   (2023/1/4 07:55:03)

芹沢あさひ> でも、これが19歳くらいになったらきっと言われるんだろうな、って。   (2023/1/4 07:56:35)

森久保乃々> …そういうものでしょうか、大人になるというのは複雑なことだと思ってしまいますね   (2023/1/4 07:57:59)

芹沢あさひ> だから...(乃々ちゃんを抱きしめてソファにぽすり)こうしている所を撮られたりなんかしたら大変っす。   (2023/1/4 08:00:23)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/4 08:01:09)

桜衣乃> （かしゃり）   (2023/1/4 08:01:17)

東北ずん子> 私もまーぜてー（あさひさんと乃々さんと一緒にソファにぎゅう）   (2023/1/4 08:01:31)

おしらせ> 小春六花さんが入室しました♪  (2023/1/4 08:01:47)

小春六花> 地下アイドル、ご当地アイドル、アイドル、アイドルって構成の日？私プロデューサーのフリとかしたほうがいい？   (2023/1/4 08:02:21)

森久保乃々> あぅ…あ、あさひさん…？（困惑しつつ、ソファで抱きかかえられたままで）   (2023/1/4 08:03:11)

東北ずん子> 六花プロデューさー、おはようございますっ   (2023/1/4 08:03:51)

芹沢あさひ> ...可愛かったから...つい...っす。(すこし頬を朱にそめて)   (2023/1/4 08:04:00)

森久保乃々> あ、どうもおはようございます…イノさんは撮りたがり、撮られたがりですね…   (2023/1/4 08:04:10)

桜衣乃> おっはよーございまーす♡（スマホくるくるくる〜……しゅぱっと隠し）　…ふふ、ご安心ください♡この画は私専用にしますので…♪   (2023/1/4 08:04:37)

桜衣乃> そしてそちらは…はじめま〜して♪ご紹介に預かりました地下アイドルの桜衣乃で〜す♡　……って、誰が地下アイドルですか！！   (2023/1/4 08:05:15)

森久保乃々> あ、ありがとうございます…？でももりくぼも…あさひさんのことは可愛いと思ってますよ…？（もりくぼも少し照れて）   (2023/1/4 08:05:27)

小春六花> はろはろー（おててふりふり、付け髭なでながらおっほんおっほん）   (2023/1/4 08:05:41)

芹沢あさひ> いやぁ...なんか照れるっすね...(恐る恐る乃々さんの頬に触れてみたり)   (2023/1/4 08:06:28)

森久保乃々> まっとうなアイドルとは離れてますし…   (2023/1/4 08:06:35)

小春六花> 実際活動範囲何も知らんねん……。きらら作品の不良債権アイドルの活動範囲ってどのレベルなの…？   (2023/1/4 08:06:59)

森久保乃々> えへへ……あさひさんが言い出したことじゃないですか…（自分から手にすりすり）   (2023/1/4 08:07:56)

桜衣乃> がーんっ……い、一応深夜番組とか出してるし……、東小金井を中心にライブしたりしてるし……、アイドル甲子園では全一アイドルグループ「クリームあんみつ」とライバル張ってたり（自称）するのに……   (2023/1/4 08:08:35)

桜衣乃> 乃々ちゃんもひどいっ！？（ががーん）   (2023/1/4 08:09:45)

東北ずん子> ふたりともおはようございますー   (2023/1/4 08:09:50)

芹沢あさひ> 乃々ちゃん...(我慢できずに背中に手を回して)   (2023/1/4 08:10:08)

桜衣乃> ずん子さんもおはようございますっ。……そして乃々ちゃんはどうやら…そっちの方に夢中になられてるようなので……私は外したほうが良さそうですかね……？   (2023/1/4 08:10:49)

小春六花> 深夜番組に出てるのは売れないアイドルか地下アイドルだし、そちらのご当地アイドルの東北さんのほうが活動範囲広いのどうなのよ。（東北全域）　そもそもアイドル甲子園ってイロモノ企画の扱いもわかんないんだなぁ（こはお）   (2023/1/4
08:10:58)

森久保乃々> ん…したいならもっとぎゅっとしていいですよ…   (2023/1/4 08:11:13)

芹沢あさひ> 乃々ちゃんも...どうぞっす...   (2023/1/4 08:12:30)

桜衣乃> 六花ちゃんの言葉のナイフが私を刺します！？　…というわけで、おふたりを見守っていたかったのですが私もお仕事がはじまりますので……この辺でっ。それではまた…♪   (2023/1/4 08:13:26)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/4 08:13:31)

東北ずん子> いってらっしゃーいー   (2023/1/4 08:13:55)

小春六花> いってらー。（ふんすー   (2023/1/4 08:14:02)

芹沢あさひ> お疲れ様っす、お仕事ふぁいとっすよ   (2023/1/4 08:14:10)

森久保乃々> なんか…思ったより甘くなってしまいましたね…？まあ…いいですけど（照れ照れ…あさひさんに腕回して、ゆっくりとぎゅぅぅ…抱きしめてあげて）   (2023/1/4 08:14:38)

森久保乃々> イノさん、いってらっしゃいです…   (2023/1/4 08:14:57)

東北ずん子> あさひさんと乃々さんのぬくもり今度いっぱい堪能しないと（はふー）   (2023/1/4 08:15:24)

芹沢あさひ> ...心臓の音がするっす(ソファに寝転んで抱きしめ合う14歳アイドルの図)   (2023/1/4 08:17:35)

小春六花> 今は私のぬくもりで我慢しとくー？久しぶりに。   (2023/1/4 08:18:15)

森久保乃々> まあ…これだけ近ければわかっちゃいますよね…（胸を押し当て、もっと相手に伝わるようにと…お互いの体温、交換していって）   (2023/1/4 08:19:35)

芹沢あさひ> 乃々ちゃん...(理由は分からないけれど真っ直ぐに目線を合わせた後、目を閉じてみたり。)   (2023/1/4 08:20:46)

東北ずん子> いいですよね、かわいらしくてっ羨ましいっ（六花ちゃんにぎゅう）   (2023/1/4 08:21:23)

森久保乃々> （こ、これは…もりくぼがしていいのでしょうか…！？あわあわ…でもこのまま待たせるわけにはいきませんよね…）あさひさん……ん…（唇に…ちゅぅ…）   (2023/1/4 08:22:58)

小春六花> わかりみ……今日の森久保ちゃんはいつもと違ってこう……ブラトニックなのも可愛さある。（ずんちゃんむぎゅーっとしつつ、ほおずりすりすり）   (2023/1/4 08:23:31)

芹沢あさひ> ぁ...ん...(小さく声を漏らしながら唇を重ねて)   (2023/1/4 08:24:26)

森久保乃々> （いつもがえっちということですか…！？心外…とは言えないですね、はい）   (2023/1/4 08:24:34)

芹沢あさひ> (乃々ちゃんはえっち...)   (2023/1/4 08:24:56)

森久保乃々> んん……ぁむ…（出会ったときの爽やかな顔から変わって…もりくぼを求めてるみたいで…可愛い…。唇をついばむようなキスを重ねて…）   (2023/1/4 08:26:57)

東北ずん子> （今度乃々ちゃんをいたずらしなきゃ）   (2023/1/4 08:26:57)

芹沢あさひ> ふぁ...んむ.....(積極的になった乃々ちゃんにつられるように...何度もキスを重ねながら、背中をとんとんしておーけーの合図...)   (2023/1/4 08:28:31)

森久保乃々> はぁ……ちゅ、ちゅぅ…ん、むぅ…（連れ込めってことですか…？も、ももももりくぼはははは…）っ…たっぷり時間とれるわけじゃないですけど…行きます…？   (2023/1/4 08:31:25)

東北ずん子> 私ともあそんでくださいねー（森久保さんじーー）   (2023/1/4 08:32:29)

芹沢あさひ> ちゅ...はぁっ...こんなにドキドキさせといてお預けは...酷っすよ...？   (2023/1/4 08:32:40)

小春六花> もてくぼだぁ   (2023/1/4 08:32:41)

森久保乃々> まあ…そうですよね…鍵は大丈夫でしたっけ…？   (2023/1/4 08:34:40)

芹沢あさひ> 大丈夫っすよ   (2023/1/4 08:34:56)

森久保乃々> お部屋…ありますので…行きましょうか？（にこ…手を差し出して）   (2023/1/4 08:35:49)

芹沢あさひ> ...はいっす。(手を取って微笑みを返して)   (2023/1/4 08:36:30)

森久保乃々> おふたりとも、行ってきます…（あさひさんの手を引っ張りながら、ふたりにお辞儀して）   (2023/1/4 08:37:40)

おしらせ> 森久保乃々さんが退室しました。  (2023/1/4 08:38:19)

芹沢あさひ> 行ってくるっす(口元に人差し指を当てて内緒、のポーズをしつついたずらっぽく笑って)   (2023/1/4 08:38:31)

おしらせ> 芹沢あさひさんが退室しました。  (2023/1/4 08:38:36)

小春六花> いってらー。   (2023/1/4 08:38:52)

東北ずん子> いってらっしゃーい（のびー）   (2023/1/4 08:39:08)

小春六花> のびてる……   (2023/1/4 08:43:21)

東北ずん子> のびずんだ！   (2023/1/4 08:43:37)

小春六花> ただのずんだもちじゃないですか！   (2023/1/4 08:46:07)

東北ずん子> ずんぺろっ♪　ずんだホライずん久しぶりに見ましたがやばくてやばかったです   (2023/1/4 08:49:06)

小春六花> 私も久しぶりに見ましたが、相変わらず脳が理解を拒む怪作ですね……   (2023/1/4 08:50:35)

東北ずん子> ひどいあにめもあったものですね！一体誰が主人公なんでしょうか   (2023/1/4 08:57:59)

おしらせ> フィーさんが入室しました♪  (2023/1/4 08:59:28)

小春六花> おまえだぁぁぁぁぁ！！！！   (2023/1/4 08:59:28)

フィー> おはようございます♪   (2023/1/4 08:59:48)

小春六花> めっちゃご機嫌じゃん……   (2023/1/4 09:00:19)

東北ずん子> おはよぅございますっ（わきわき）   (2023/1/4 09:00:20)

小春六花> めっちゃわきわきしてるのにポンコツユーステラ秒で反応キレてるじゃん……   (2023/1/4 09:11:45)

フィー> …パソコンが固まってました。   (2023/1/4 09:12:24)

フィー> 六花さん、熱の方は大丈夫ですか？   (2023/1/4 09:12:36)

東北ずん子> パソコンめー   (2023/1/4 09:12:44)

小春六花> 熱は下がったので普通にお仕事ですのよ   (2023/1/4 09:13:15)

フィー> なるほど、おつかれさまです…   (2023/1/4 09:13:25)

フィー> 未だに姫はじめできてないフィーちゃんです。   (2023/1/4 09:13:36)

東北ずん子> （わきわき）   (2023/1/4 09:13:56)

小春六花> なんかもう無理にしなくていいし、ずんホラ主人公はいつまでわきわきしてるの（？）   (2023/1/4 09:14:12)

フィー> どうしましたか？ずん子さん（じぃ   (2023/1/4 09:14:54)

東北ずん子> わきわきしてるのはなんかこつ、のり？（フィーにぎゅうっともたれて）   (2023/1/4 09:15:10)

小春六花> フィーちゃんなら押し倒してキスしてあはーんしても怒られないよ（？）   (2023/1/4 09:15:55)

フィー> まぁ、確かに怒りませんが…（もたれかかられて、ぎゅっと抱きしめ返し）   (2023/1/4 09:18:41)

東北ずん子> ふへへ、つまりフィーさんをひめはじめするんですねっ（すりすり。身体をくっつけ）   (2023/1/4 09:19:22)

小春六花> フィーちゃんおめでとう…？（遠巻きで拍手）   (2023/1/4 09:24:05)

フィー> フィーとしては以前ずん子さんとやったあかりちゃんを呼んできてもいいですが…どうしましょう。   (2023/1/4 09:24:37)

フィー> 六花さんともしたいところですが、仕事中とのことですし…   (2023/1/4 09:25:03)

小春六花> え、まだ仕事中じゃないけど。   (2023/1/4 09:25:14)

フィー> あ、そうなんですか？仕事だって言ってたのでてっきりもうしてるものかお   (2023/1/4 09:25:33)

小春六花> 今月は特殊なので……いつもとお仕事する時間が全体的にばらばらなんだよねー…（だらりだらり）   (2023/1/4 09:26:16)

おしらせ> 東北ずん子さんが部屋から追い出されました。  (2023/1/4 09:26:38)

おしらせ> 東北ずんこさんが入室しました♪  (2023/1/4 09:26:38)

小春六花> まぁでも、ずんちゃんがわきわきしてるしそっちとしっぽりねっちょりぐっちょりぬぷぬぷしてきたらどうだろ。   (2023/1/4 09:26:38)

小春六花> 闇落ちしたーーーー   (2023/1/4 09:26:55)

東北ずんこ> 六花さんとにします(すすす   (2023/1/4 09:27:06)

小春六花> なんでぇ！？   (2023/1/4 09:27:12)

小春六花> というかなんで闇落ちしたのぉ！？   (2023/1/4 09:27:17)

東北ずんこ> あ、いやちょっとへんになって(きりかえ   (2023/1/4 09:28:07)

フィー> どうしたんでしょう…？？？   (2023/1/4 09:28:31)

東北ずんこ> ともあれ、しっぽりできるならしたいですが、フィーさんしだいで(あかりちゃんとでもそこはおまかせ   (2023/1/4 09:28:34)

フィー> フィーとしてはわりとムラムラはしてるのでしっぽりはしたいですね…？   (2023/1/4 09:29:28)

東北ずんこ> フィーさんとするとしてもあかりさんとするとしてもがつがつ食べてたっぷり染め上げることにはなるでしょう(こくこく   (2023/1/4 09:31:54)

フィー> いいですよ。（こくん）   (2023/1/4 09:35:03)

小春六花> 姫ってらー？   (2023/1/4 09:36:23)

東北ずんこ> いってきまーす？(ひょいっとかかえて   (2023/1/4 09:37:21)

おしらせ> 東北ずんこさんが退室しました。  (2023/1/4 09:39:02)

フィー> つれてかれるー…   (2023/1/4 09:39:16)

おしらせ> フィーさんが退室しました。  (2023/1/4 09:39:17)

小春六花> いてらいてらー。また一人救ってしまった。（やれやれだぜ……）   (2023/1/4 09:41:13)

小春六花> ぼちぼちご飯でもたべてこよっかなー…っと。   (2023/1/4 10:07:45)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2023/1/4 11:04:08)

おしらせ> 十六夜ノノミさんが入室しました♪  (2023/1/4 18:14:06)

十六夜ノノミ> こういう時間に来るのは久しぶりな気がしますね～。皆さん新年から楽しまれてるみたいで何よりです～（ふふー。ちょこちょこ覗いてはいたけどその程度。賑やかだったのは感じられて、ふふーと微笑みを浮かべながらソファに座って）   (2023/1/4
18:19:53)

おしらせ> 小春六花さんが入室しました♪  (2023/1/4 18:24:38)

小春六花> おー、おかえりー？（ひょこ、っと床下から飛び出る六花ちゃん。あいたかったよー。なんて、ソファーの背もたれに体を持たれるように後ろから声をかけたり）   (2023/1/4 18:26:09)

十六夜ノノミ> あ、六花さん。こんばんわ～、はい、学校が終わったところで……ん（六花さんににこーって微笑みかけると額に手のひらをあてて）お身体の方は、よくなりましたか？（夏はもうないでしょうか、て首を傾けてたずねて）   (2023/1/4 18:30:50)

小春六花> ほいほい、流石にもう…昨日には引いてるから大丈夫かなー。（にこー、って笑顔を返しては、手のひらのひんやりとした指の感触を楽しみつつ）だから、へいきへいきー。（にへ、って笑いかけつつ。いくらでも今日はご一緒できるよー？って）   (2023/1/4
18:34:38)

十六夜ノノミ> ふふ、それだったらよかったです。変な時に具合を悪くしちゃって大変でしたね（頬から頭の方に手が移動するとよしよしって頭を撫でて。こんな冬のさなかに夏なんてなかったんです）私はこの後ごはんと、その後にもやらないといけないことがいくつかあって本当に顔見せくらいのつもりできたんですけど、こうしてお会いできてうれしいです♪（こつん、て額と額を軽くあわせてみて）
  (2023/1/4 18:44:59)

小春六花> まぁ仕方ない仕方ない。結構色々強行してたのは自分だからねー。（あはは、って苦笑い半分になりつつ。半分くらい自業自得だからしゃーない……って顔になりつつ。）あららー、そうだったのね？それならノノミちゃんをこう、ねっちりお部屋でこねくり回すのはまた次回かぁ。私もそれでもこうして言葉を交わせる時間をもらえて嬉しいけど、ね♪？（って額同士を合わせながら。私からもお背中に腕を回しながら。会いたかったーって、ちょっぴりのアピールを隠せない程度に）
  (2023/1/4 18:52:03)

十六夜ノノミ> 時期が時期ですからそうなっちゃう気持ちもわかりますけど…身体が一番大切ですから、無理のし過ぎはしないようにしてくださいね？（苦笑をしながら髪をなでなでして）はい、また時間があったときにですね……私の方が六花さんをふにふにしちゃうかもしれませんよ？（くすー。額をくいくいって押し付けると、回した腕でぎゅうーって抱きしめて）
  (2023/1/4 18:59:37)

小春六花> そうなんだよねぇ……。身体が大切なのはよくよくわかってるんだけど。流石にしばらくはむりしないかなー……（なんて、気を付けますともー。って申し訳なさげに苦笑い）なんとしても合わせたい……とは思うんだけれど。ふにふにする部位、ノノミちゃんと違って私足りなくなーい？（こんなお胸もないしー、って身体を寄せてむにゅん、と撓ませつつ。額を、体を密着させて）
  (2023/1/4 19:02:54)

十六夜ノノミ> ふふ、そうしてください。六花さんの元気がないと他の方も心配しちゃうかもしれませんし（くすくす、て微笑んで）えー、そうですか～？いっぱいあると思いますけど……こことか、こことか♡（身体をくっつけながら顔を近づけると、やわらかいほっぺをはむ♡ぐーって身体を押し付けながら伸ばすと、耳もはむって、唇ではさんで♡）
  (2023/1/4 19:08:30)

小春六花> えー…？それはどうかなー……って感じな所あるけれど。少なくとも一人心配させちゃうしねー？（なんて、それは不本意ーってほっぺぷに）ほっぺもくちびるも、ずっとふにふにされたら困るけどなぁ……♡（えっちよりイチャイチャになっちゃう……♡ってそれはそれでいいんだけれどー、って挟まれるとすこしふにゃーってなったりしつつも、お返しとばかりに軽くお尻をにぎにぎ、っと指を押し付けて）
  (2023/1/4 19:14:54)

十六夜ノノミ> そうですよー。六花さんの身体はもう六花さんだけの身体じゃないんですからね～♪（ふふー。ほっぺを押し付けるとほっぺとほっぺでふにふにして♡）そういうのも私は好きですから～…ひゃう♡もう、今日はそんな時間ないって言ってるのに…（びくって身体を跳ねさせた後で、じー…と見つめるとお返しのお返し。耳の内側をつー…て舌でなぞって、すって♡六花さんの手には、むにむにって柔らかい感触を返してて）
  (2023/1/4 19:23:47)

小春六花> なるほどなぁー、そう言われるとすっごい照れるんですけども…っ！（なんてほっぺたを押し付けあって頬ずりするみたいにしつつ……♡）まぁー…わたしもそういうの好きだけどねー…？先にやってきたのは、そっちじゃーん…♡？（お耳、いじいじしてきおってからに…♡って、なぞられていくうちにほんのり耳が朱く染まり……気持ちよさそうに嘆息して……♡ノノミちゃんのお尻をつかんで…撫で回してスカートの上から……シワができる程……我慢できないというふうに）
  (2023/1/4 19:34:38)

十六夜ノノミ> ふふー。なんだか六花さんがそうやって照れてるのは貴重な気がします♡（にこー。ふにふに。ぎゅうー♡）例えばーですよー…、んっ♡もう……。そろそろご飯に行ってきますから…続きはまたこんど、ですよぉ…♡（ぴく、ぴく♡小さく震えちゃう口元を耳に近づけると、囁きながらふぅー…♡息を吹きかけながら、ここまでです、とそっと身体を離して）
  (2023/1/4 19:43:05)

