/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]
https://pcmax.jp/?ad_id=rm176481
2019年02月14日 16時37分 ～ 2019年03月08日 00時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

竹井 久> 誰か居るかしら？   (2019/2/14 16:37:34)
島風> 華やか……ネロさんは強いし綺麗、なんだね！（なんとなく、その動きづらい格好であっても剣を振舞うという様子を想像し、そして納得してしまった。）……えへへ。（甘える最中、いつしかから自身の身体についてしまっていたソレが熱を持って硬くなっていたことに気付いて。そして、どうやらネロもソレに気がついてしまったようで、照れたように笑いを零して。）……？（何か言おうとした言葉の真意を汲み取れず首を傾げて見せて。移動は是非に、というところで。）
  (2019/3/7 09:49:44)

ネロ・クラウディウス> 【う、うむ、では待ち合わせに作ったから続きはそちらでな？】   (2019/3/7 09:53:17)

島風> 【入ったよー！それじゃこっちは失礼するねー？】   (2019/3/7 09:54:19)

おしらせ> 島風さんが退室しました。  (2019/3/7 09:55:07)

おしらせ> ネロ・クラウディウスさんが退室しました。  (2019/3/7 09:55:18)

おしらせ> 源内あおさんが入室しました♪  (2019/3/7 22:10:45)

源内あお> おっじゃましまーす（なんて夜更けに元気な挨拶1つしながら扉を開けて）……ありゃ、誰も居なかった（返ってくる声がないのがわかれば、そのまま中へと）変わったようなー、変わってないようなー。何にしても、うん。凄い久しぶりだよねー（ぽつぽつと独り言を漏らしつつソファまで行き　ぽすんと座って）
  (2019/3/7 22:13:12)

おしらせ> 東北ずん子さんが入室しました♪  (2019/3/7 22:20:45)

東北ずん子> あーーーーーーーオーーーーーサーーーーーーーんーーーーーーーーーーーーー(扉を開いた瞬間、満面な笑みを向けて。元気よく走ってくる、なぜ入る前から名前を呼んでたとかはずんだぱわーです、おかしい事はなにもないですね)わー、あーーーーおーーーさーーーー(超絶えこーで大きく手を広げてソファに進撃するのです)
  (2019/3/7 22:23:00)

源内あお> …うっひゃぁ？！（遠くから聞こえる私を呼ぶ声…しかも扉は空いてない。一体なんていうホラー案件？！と驚きの声と共に開かれる扉、そこから漂うずんだの香り）ず、ずん子…！？って、ちょ…もしかしてそのまま突撃しようとしてな…（どんどん迫ってくるずん子に対応しかけないというか混乱が抜けきらないまま…わたわたと暴れるようにしながら無意識的に手を広げて受け入れ態勢に）
  (2019/3/7 22:25:43)

東北ずん子> おひさしぶりです、お久しぶりです。やぁ、元気でした。あけまし…いや、えーと。うん、ずんだいりますか！(きらっきら、めっちゃ笑顔のままもちもちな柔らかなお胸をむにゅっと。あおさんの身体に押し付けるように遠慮なく抱きついちゃいます、弾力あるので痛くないはずです)ひ、ひ、久しぶりの。お話じっくり出来そうな人が、お話できますか、むしろ悪戯していいですか、ずんだならいくらでもあげますよっ(目の色が緑色に輝いてめっちゃ血走ってるきがする)
  (2019/3/7 22:28:45)

源内あお> う、うん。久しぶり…あー、あけおめってだいぶ前だよね…どこからずんだが！？（勢いのままにあたる柔らかい感触、ドキッとしたりムッ羨ましいと思ったり…純粋に柔らかいと思ったりって忙しいんだけど感情が！もちもち肌と柔らかいソファで痛くはなかった。むしろ心地よかった）と、とりあえずお、落ち着こ…？危ない人になってるっていうかアグレッシブになってるっていうか…ほ、ほらずんだを食べる時は落ち着いて何ていうか救われてなくちゃいけないんだーみたいな？！（ずん子の目がずんだに燃えている…！）
  (2019/3/7 22:32:30)

東北ずん子> ひっひっふー？ひっひっふー？えっと、まぁ、うん……なんていうかまぁ、色々楽しいことはしてたんですが、なんていうか。こう、イチャイチャ成分がたりなかったっていうか？(ずんだ成分はいくら補給しても足りないんですって、少しだけ身体は離すも。柔らかな太股はしっかりとむにゅっと押し付けたりはしておく)ふぅ…こんばんは、あおさん。えへへ、久々ですね、えーっと、あらためて、げんきでしたか？ふぅと軽く息を吐くと改めて目の前で首をかしげて
  (2019/3/7 22:38:20)

源内あお> ずん子がやるとずんだ産まれそう…そっか、イチャイチャ成分が足りなくなると目が緑色に輝くんだね（あはは…と苦笑気味に笑いつつ、柔らかい…柔らかいよずん子って感じに少しだけ頬が朱色に染まる）…うん。やっほずん子、見ての通り元気だよ♪………ずん子に会えたのも嬉しい（首を傾げるずん子を見ながらそう言うとぽすっと身体を預けるようにずん子の肩に顔を埋めて）
  (2019/3/7 22:43:37)

東北ずん子> やだ、あおさん、私と子作りしたいなんて、情熱的ですね。うふふ、しかもこれはさんら(それ以上はひかえた、口をつむいで。)まさかこんな時間にあおさんにあえるなんて、いやあおさんってこれくらいのじかんでしたっけ。なにはともあれ、三月のずんだが忙しくなる前にあえてよかったですよー(嬉しそうに大きな胸をむにむにってあおさんに押し付けるくらいくっついちゃうのです)
  (2019/3/7 22:48:29)

おしらせ> ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆KLZ6n2PkL6さんが入室しました♪  (2019/3/7 22:50:12)

源内あお> 私の発言が大胆な告白にされた…！（何かが自重された…きっとそっとしておくべき案件なんだと思う）ん、そうだね…この時間帯か、もうちょっと遅いぐらいが多かったかな。…ずんだが忙しくなる時期なんだ（今日ずん子と出会ってから何回ずんだの文字が出ただろうかってぐらい既にずんだが忙しい気もするけど…されるがままに押し付けられる柔らかい胸、くっ…魅力が強いと離れられずに）
  (2019/3/7 22:54:05)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> ───こんばんは、お邪魔させて……うっへぇ、豆の匂いがプンプンするんですけどぉーっ！(凛とした口調で挨拶しようと扉を開けて……一気に素の口調に。───ずんだ餅って甘くないんだよね…(虚ろ目))…っと、おやおやぁ、いい雰囲気になってますねぇ…♪︎あ、アタシは邪魔しない、邪魔しないよ？混ざってもいいなら遠慮なくだけどっ。(存在自体邪魔なら出ていくよー、とも言った上で二人の近くに歩み寄ってはおいっす、なんてゆらゆら手を振ってみよう。なお格好は白の薄めのパジャマ姿、よくよく目をこらえると…？)
  (2019/3/7 22:54:10)

おしらせ> 博麗霊夢さんが入室しました♪  (2019/3/7 22:57:09)

東北ずん子> なんですか、フェリエさん、ずんだにしますよ！口に突っ込んで。味が覚えるまで徹底的に染めますよ。とろっとろの味がくちにしみるまでしますよっ！(おもわず不穏な電波を受信したので真っ先に威嚇する、威嚇？あ、もちろん歓迎的にいえばむにむにと胸の中に包みつついくらでも受け入れる案件なのですが)まぁ、なんでしょう、三月ですからね。花見の前の時期ですし、お饅頭がよく売れる時期じゃないですか。とつぶやきつついらっしゃいませー(柔らかな肌の間にまざりますーってにこにこ)
  (2019/3/7 22:58:19)

博麗霊夢> こんばんは～。あら…今日はすごく人が多いわね…(たまに覗くと静まり返ってるお部屋に蛍光灯の明かりと話し声が聞こえて思わず扉を開けて…)えっ、ずんだ餅って甘くないの？(扉を開けて聞こえてきた言葉に思わず反応…確かに食べたことないからどんなものか知らないのよね…ずんだ餅)三人ともこんばんは～…私も良ければ仲良くしたいなぁ、なんて…(と少し控えめにしながらも三人に手を振って近づいて)
  (2019/3/7 23:01:06)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> うっへぇ、ソレは勘弁したいから許して！ずんだ餅パフェでも要らないからっ！(ひぇーっと言わんばかりのリアクションを取って全力で断っていくスタイル。でもそんな威嚇するずん子の後ろからぎゅー、と抱きついて宥めるようにすりすりっ)
あー、春だからねぇ、なんか忙しくなりそうだしねぇ…。あ、アタシはここん所落ち着いた日がないんですけどねー。(あっても休日に設定された日くらい。その割にあちこちに姿を見るのはロールを鈍らないようにするための。)───ちぃーっす。…あ、ずんだ餅って豆の味するんよ？(甘い豆餡かと思ったら、まんま豆の味で…甘いもの好きな背後の味覚にダメージを受けたのはつい最近のこと。)
  (2019/3/7 23:03:40)

源内あお> …ん、こんばんわー。と、なんだか賑やかになってきたね（ずん子の後ろに見える人影が幾つか）私は歓迎しちゃうよー。　ずんだ餅って原料枝豆だっけ、確かにあんことか他の和菓子に比べたら甘さ控えめ、なのかな（対した知識はないけれど…話題に乗っかるように。）あー、確かにもうそんな季節になるんだねー。花見…団子………（それなら納得っと思いつつ、お腹がなりそうで怖い）
  (2019/3/7 23:03:53)

東北ずん子> えーと、ずんだもちは枝豆なので、甘い、というよりも美味しい、といった部類でしょうか。普通のお饅頭と思って食べるよりはお摘みとして食べたり？結構独特な味がするので。豆系が好きなら好きになれるって所でしょうか！(初心者さんに丁寧にするずんだ信者の鑑的ななにか)ともあれ、始めまして…この人数なら詳しい挨拶はひかえましょう。東北ずんこ、ずんだの使者です！もっちもっちです(おおきなむねあおさんのまえでむにむにしてた)
  (2019/3/7 23:06:55)

博麗霊夢> そうなんだ…豆の味するのね…でも、イメージが和菓子で凝り固まっちゃってるから妄想の中で食べた感じだけど甘いのよね…(うーん、このイメージを払拭するためには実際に食べないとダメかしら…)あーん、シャルロットちゃんずるいわ…私もみんなとイチャイチャしたいっ…(後発組だけど、と…ずん子ちゃんと挟むように青ちゃんのとなりに座ると同時に腕に抱きついて…)今日なんだか寒いからみんなで温まりましょ♪
  (2019/3/7 23:09:08)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> そだねぇ、(ロル上手な)人がいると続々と来るのは稀に良くあることよー。(尚こちらの場合は。…後ろから両手伸ばして軽くずん子の大福(意味深)をもぎもぎと揉みしめては少しだけ距離を取って)ほんっと、ここもっちもちだねぇ…ま、アタシのも負けちゃ無いけど♪︎っと、別にずるくしてないんですけどっ。…アタシ、そこまで長くいられないと思うしっ。(故にずん子から少し離れては。…三人の意見を聞いてから合わせようかな？なんて思っていたりっ)
  (2019/3/7 23:12:46)

源内あお> い、イチャイチャ成分が足りない人がこんなに…あっ、私は源内あお、普通の高校生だよ（ずん子につられて簡易的な挨拶…むにむには、恥ずかしいのでやらないけれど。）まだ寒い日は続くよねーって…そんな格好だから寒いんじゃ（腕に抱きついてきた彼女を見れば…見える風通しの良さそうな巫女服をジッと見て）
  (2019/3/7 23:13:35)

東北ずん子> なんていうか、めずらしいですね、四人でくんずほずれつって。比較的こういう場面って珍しいです(フェリエさんは飛び込んできたからってのもあるみたいですけど)最近は少しずつ暖かくなってきた印象ですけどね。これからあたたかくなって、春になって。開放的になる時期、むしろ恋の季節ですね、うきうきですね！(フェリエさんにもしっかりとむちむちのもち肌をむにゅう☆っと。沈めておいて感触と名残は確かめさせておきましょう。フェリエさんのぬくもりも充電です)
  (2019/3/7 23:15:09)

博麗霊夢> あっ、ずるいっていうのは羨ましいって意味だからねっ(ずん子ちゃんともシャルロットちゃんともイチャイチャしたいし…欲張りぃ…)でも、遠慮しあうよりも気を遣いつつ積極的にみんな楽しめたらなぁって…(って、それが一番難しいかも…？)ふふ、この服装じゃなきゃ私じゃないんだから当然でしょっ(寒そうな服装という目で見られても冬もこの格好だから、と質問とはちょっとずれた答えをして…)うんうん、みんなでくんずほずれつって楽しそう♪
  (2019/3/7 23:18:25)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> んひゃぁっ…！あっ、うぐっ…。(涼しい顔をしている向こうに大して此方は敏感に反応しているのが少し悔しい。…だから、少し八つ当たり的な意味で)アタシはシャルロット。元生徒会長、今はフリーの冒険家やってまーすっ。(なんて自己紹介しながら…あおの胸をむにゅむにゅっ。)…昼は暖かだけど、夜は寒いねぇ、おかげで朝起きるの辛いわぁ…。(はふ)
  (2019/3/7 23:19:48)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> 分かってる、わかってるって♪︎まぁ本格的にイチャイチャするなら…また次の時ね？(今夜は日またぐ前に落ちなければ。…時期的には日曜の夜がオススメ？)＞霊夢   (2019/3/7 23:23:33)

源内あお> そういう物なんだ…（当然とまで言われるなら納得するしかなくて。）皆で楽しくってのは私も賛成かな。楽しい時を共有するのって良いと思う（だから是非とも遠慮せず来てねという気持ちを込め…）ふっ、ん…？！な、なんでこっち…に（霊夢に腕を取られつつずんこともくっついてるなら逃げ場なく揉まれる私のむにむにな所…顔の赤みが増して）
  (2019/3/7 23:24:09)

博麗霊夢> そっかぁ、本格的にできないのは残念ね…半端だとモンモンとしちゃわないか心配…(日曜の夜ね？時間が合えば遊びましょうね♪)ふふ、あおちゃん顔赤くなってるわよ？可愛いー…はむっ…(赤くなったあおの耳たぶをはむりと唇で挟んでちゅっちゅ吸い付いて…胸にはこちらの胸を押し付けてすりすりぃ)
  (2019/3/7 23:28:43)

東北ずん子> 楽しいことはだれとでもきょうゆうするのがいちばんですからね、ずんだ普及も新鮮さが大事です！(今はちょっとだけどたばたしているので全員分に返すのはえんりょしておきましょう、むにむにたいむは一時休戦、なかむつまじい様子をたんのうしておきましょう、ほくほく。みみ攻めっていいですよねぇ)
  (2019/3/7 23:30:13)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> うんうん、アタシとしても混ざるんは歓迎よ？ただ、豆文で返されたら即スルーするんですけどね。(返事返そうにも返せれないから。やわやわ、その柔らかさにおぉ、なる声もあげてみたり。)…あおのここ、見た目によらずあるじゃん♪︎(なんて言いつつも霊夢からのスキンシップに合わせれるように手を離して)そゆことー。…ま、因みにタイマンだと(ロル文が)長くなるんで、ね？♪︎(日曜の夜、覚えていたら、という程度でいい？なんて。合えばという条件だけどもOKってサムズアップっ、)＞霊夢
  (2019/3/7 23:31:27)

おしらせ> 結月ゆかり ◆ny/.YUKARIさんが入室しました♪  (2019/3/7 23:36:28)

源内あお> …そりゃ、いきなり触られたら…ひうっ！？（ぴくっと驚きで身体が跳ねて）く、くすぐった…いよ……んっ（小さく自分の太ももをすり合わせて…与えられる感触を受け入れ）…うっ、それは…（感心したように言われると嬉しくも恥ずかしくて複雑な気分）…私ばっかりずるいか、ら…（そう言うとずん子…は忙しそうなので、ずん子の後ろに居るシャルロットの胸に手を伸ばして、そっちの大きさと柔らかさを確かめに）
  (2019/3/7 23:37:30)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> ───っと、言いたいとこだけど、ゆかりの約束もあったんだよなぁ…！(本人きてから思い出した…！ごめんね、ゆかり！霊夢…！)   (2019/3/7 23:37:36)

博麗霊夢> うんうん、ずんだ餅コンビニで見かけたら食べてみるわね…(ずん子ちゃんも様子見やめて両側からあおちゃん攻めたらいいじゃない…と可愛い反応を見ながら耳の縁を舌でれろりと舐め回して…たまに熱い吐息をはぁっと耳の中に吹き掛けて…)はーい、私もそんな軽いノリだからーって…いきなり浮気現場みたいな修羅場展開！？(って、なるわけもないんだけど謝り方が完全にそれ…)
  (2019/3/7 23:40:23)

結月ゆかり
◆> 思わず二度見してしまいましたよ。どうもどうも、ゆかりさんです(まさかここにずんだ教を布教している方が居るなんて思っても見ないゆかりさんは些か出遅れてしまったようです。ただまあ、それでもお顔つなぎは出来たことには胸を一つなでおろすとしましょう)シャルさんは先日ぶりで……お約束は来週でしたよね？ゆかりさんのことは気にしなくて構いませんので遊びたいときはしっかり遊んでくださいませ。と、脱線しましたがシャルさん以外の方は初めまして、結月ゆかりです。ずんだ餅のずんだ餡をゆかりふりかけにすり替えるためにやってきました。いえ、嘘ですけれども……(そもそもゆかりふりかけはホカホカご飯にかけてなんぼだとゆかりさんは思います。名目なんて言うものは特にありませんが、同僚のお名前を見つけたのが切っ掛けなのは確かです)
  (2019/3/7 23:41:49)

東北ずん子> ひどい、ずんだというものがありながら、うわきするなんて！横暴ですよ、フェリエさん。確かに味は独特ですけど。その味になれれば素敵なものなのです！(ゆかりご飯は私も好きですよってきらきら)……あれ、ゆかりさんってあったことなかったでしたっけ？あ、いえ同僚的にって意味でもないですが。はじめましてだったんですか(あれぇって記憶を思い出して)
  (2019/3/7 23:44:48)

おしらせ> アティさんが入室しました♪  (2019/3/7 23:45:46)

アティ> 何やら懐かしい顔ぶれが懐かしい部屋にたくさんいると聞いて…先生登場です。（眼鏡をくいくいっとしながら、さながら女教師よろしくご入室。）というわけでこんばんは、みなさん。（ぺこり。…教鞭をカチカチカチのばして…部屋にあった黒板を指し示し…授業の時間ですよ？なんて。）……。（ぽいっ。アティ先生は教鞭を投げ捨てた。　授業とか冗談です。）
  (2019/3/7 23:47:30)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> ───ん、まぁそうだったね、うん。(ゆかりとは長ーく、じっくり８時間超の可能性も踏まえての。尚昨日休みの変更があって来週の月曜火曜が連休になりました。)
───うひゃぁっ！？…あ、あおも、意外と積極的ぃ…っ。(…ずん子に目を行きがちで思わぬ反撃に目を見開いて。───きっとその手を重たく乗るくらいにはある方。ぷくり、パジャマ越しに尖りが見えたり？)   (2019/3/7 23:47:54)

結月ゆかり
◆> あれ？お会いしたことありましたっけ？はて……ゆかりさんはゆかりさんとしてお会いしたことがあるのはIAさんとマキさんだけだったと記憶していましたが……(顎に指をあてて記憶を思い返してみますがずん子さんにお会いした記憶はありませんでした。ずん子さんが別のゆかりさんと混同している可能性もなくは有りませんけど、トリップ的なメタ視点も加味すればそれも違うかもしれませんよね)んー……ゆかりさんがゆかりさんではない時にお会いした、わけでもないですよね？はて……
  (2019/3/7 23:50:29)

源内あお> んぅ…ふぅ……（耳を攻めつつ喋ると息がぁ…とくすぐったさに振るえつつ）源内、あお…です…。えっと、こんな状況だけど…よ、ろしく（ふぅと少し熱っぽい息と共に挨拶は大事。ゆかりご飯、たまに食べると美味しいんだよね、毎回そうそうこんな味だったなーなんて思うよ。と頭の中で反応する私）アティ…もいらっしゃい。（定員が埋まるのはびっくりだった。）ふふん…やられるだけじゃないのは見せないとって（少し得意げに笑って。…手に伝わるしっかりとした感触。何度か指を動かして揉んで堪能気味に、時間があったら主張を始めた所も…と思うけど、きっとそれはお預けなんだと思う冷静な私）
  (2019/3/7 23:51:50)

アティ> ゆかりさんは108人いるとのもっぱらの噂ですからね、真面目なゆかりさん、エッチなゆかりさん、どすけべなゆかりさん、ちょっと性癖が歪んでるゆかりさん…などなど。…たくさんいますよね？（…あれ…？最初いがいまともなゆかりさんがないような気がするのはきっと気のせい。　先生のせいじゃありませんよ？）　あ、はい、いらっしゃいました、あおさんも久しぶりですね？ちゃんとお勉強してますか？（もっとも今は保健体育の授業のようですけど。っとふふって口元に手をあてながら軽く笑みを浮かべながら近場のソファにぽっすん。）
  (2019/3/7 23:53:10)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> ───あっ、アティせんせーだっ♪︎ばんちゃーっ…んぁっぅ…♥(───もう少しだけ、大丈夫。と言うより豪華メンツに囲まれている中で落ちるのはおしく感じた今の状況。そっとあおに背中を預ける様に寄り添いつつも…先生にはてをふりふりっ。)
  (2019/3/7 23:54:04)

東北ずん子> はいはいアティ先生、保健体育をおしえてほしいです！まずは男と女の(もごもご　いやぁ、あおさんが積極的なのもとってもいいですねぇ、なんていうか。こう、いいですね(こくこく)　……ふむ、私の記憶するゆかりさんではなかったのですかね、ごめんなさい、雰囲気もにていましたのでついつい
  (2019/3/7 23:54:12)

博麗霊夢> 二人ともいらっしゃいー。お部屋がさらにカオスになったわね…(私もゆかりご飯好きー。梅のふりかけで一番好きかも。アティさんは教鞭持つとなんだかSMっぽいわね…)   (2019/3/7 23:54:28)

結月ゆかり
◆> あー…ああ、なるほど。ゆかりさんの千里眼は偉大でした。ずん子さんは、お久しぶりなわけですね(こくこく、得心がいったので頷いておきましょう。同輩としては初めましてでも以前お会いしたことがあったようです。ゆかりさんの『あかしっくれこーど』に記されていました)＞ずん子さん　なんですかその煩悩の数をすべて切り分けたようなゆかりさんの群れは！しかも最初以外全部ふしだらなゆかりさんじゃないですかね！？(先生の思わぬ迎撃に慌ててツッコミをいれておきましょう。このままではゆかりさんの知的でクール落ち着いていて世話焼きでその他もろもろなまともなイメージがすべてえっちな方向に流れてしまうではありませんか)　＞アティ先生
  (2019/3/7 23:55:42)

アティ> ずん子さんこの部屋で男女の営みをおしえるのはいささか無理があるような気がしますけど…。（ほら…周りは女性というか女性しか入れないこの空間。…いえ、教えるにいたっては問題ないかもしれませんが。　ううんっと首を傾げて悩みます。）＞ずん子さん　　でも大体こーいう世界に降り立つゆかりさんって煩悩全開な方おおいとおもうんですよね？…それいうと先生も人の事いえなかったかりするんですけど。…まぁこの世界に降り立てば…誰でもというところでしょうか。…ではゆかりさんはまったくふしだらではないんですか？（立ち上がってゆかりさんの前にたてば…眼鏡越しに…ぢぃぃぃーっ。　瞳の中覗き込むように…超凝視。）
  (2019/3/7 23:57:50)

結月ゆかり
◆> (ゆかりふりかけは飛び込んだ勢いを緩和するためのクッションだったのですけど、案外好意的な目が多くて人安心なゆかりさんです。流石はのりたまふりかけと鮭フレークに弾圧されながらも力強く生き延びる猛者ですね。ちなみに、ゆかりふりかけは梅っぽい風味がするのはわかりますが赤紫蘇ふりかけです。性格には梅干しが赤紫蘇の風味がする、が正しくなります)
  (2019/3/7 23:59:49)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> (尚背後もといアタシは両親の遺伝子的な理由でゆかりご飯はNG。しそアレルギー体質という…。)───まぁ、普段の(今いる)ゆかりはそこまでじゃないんよー？(特定の場面は…除く。あおの手から離れれば、アティ先生の後をこっそりと。)───因みにアタシは7割は“そーゆー気分”、だかんねっ♪︎(尤も最近はご無沙汰だったわけで。そっと先生のお胸に手を伸ばしてはわしわし、掴んでみようかなんてっ)
  (2019/3/8 00:01:51)

結月ゆかり
◆> ……いや、全くふしだらなことをしない考えない求めない……なんてことは言えませんけど流石にその問いかけは卑怯だと思いますよ?(数多いるゆかりさんの中では比較的爛れていないゆかりさんだと自分では思っていますけれども、それがイコール清廉潔白えっちなことはいけないと思います、なゆかりさんであるという事ではありません。寧ろそんなゆかりさんがここに来たらそれは誘い受けであること間違いないでしょう。ゆかりさんならそう思います)
  (2019/3/8 00:03:10)

博麗霊夢> 私、のりたまもけっこー好きなのよね…(ぼそっと呟いてしまった一言に目そらし…。梅のほうが赤紫蘇より下なの！？　嘘…梅干しの味のする赤紫蘇でしょ…なんてどうでもいいことが頭の中をめぐったりめぐらなかったり)   (2019/3/8 00:03:11)

源内あお> 久しぶ…うっ（勉強という単語で詰まる言葉…多分4月からも高校1年生、6月には劇場で高校一年生をやってる気がした。何はともあれ久しぶり。）……ん、シャルロット攻められると弱いタイプだ（預けられた背中…それなら私だって悪戯心がない訳ではないので。伸ばしている人差し指の腹の部分で尖った場所をさすりっと優しく撫でて。…なんだかずん子が凄く頷いてる）
  (2019/3/8 00:03:15)

源内あお> （はっ…悪戯心が間に合わなかった。逃げられていた！）   (2019/3/8 00:04:09)

博麗霊夢> (悪戯心がシャルロットちゃんを追跡して当たっちゃえ～(無茶))   (2019/3/8 00:05:15)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> (後ろに追っかければ間に合うけれど…こうなるとおっぱい揉みたいがための人間ム〇デ状態になりそう！) …あお、その必要ない情報言うなし！(※原作基準。攻撃性能高めで防御性能低い部分はエッチの気質に変換されていたり。)  
(2019/3/8 00:06:44)

東北ずん子> あ、どうやらゆかりさんてきにもなっとくしてくれた様子！よかった私も間違ってなかった(ぐぐ　え、男女の営みって女同士でもできますよね、ほら、色々と不思議な力で無茶できますし(何をどう無茶させるかってのはおいといて)＞アティさん　……えっと、あおさんとフェリエさんの悪戯合戦？い、悪戯の使者はわたしじゃなかったんですか二人とも！？(起こる所が違う
  (2019/3/8 00:07:13)

アティ> ゆかりさんのゲシュタルト崩壊がおこりそうです。（ゆかりふりかけの話題とも混合して…！）…比較的真面目なゆかりさんでしたっ。（先生の冗談めいた意地悪が素面でするりっとかわされてしまいました、慣れない悪戯はするものではないですねっと…顔ぽふっと赤らめてしまいます。（弱い））こほん、ええ先生なのにずるっこでしたね、申し訳ありませんっ。なにはともあれはじめましてなのでよろしくお願いしますね？（どんなゆかりさんか知るためにもと　ぽそり。）
  (2019/3/8 00:07:59)

アティ> …シャルさん？一応先生はこれでも元軍人ですからね？そんな簡単に背後はとられませんよっ？（すすすっ。っと回避。いえ、ほらあおさんの手が寂しそうですし…！！）   (2019/3/8 00:09:02)

アティ> なんですか、その「うっ」は。…もしかして学生のほんぶんも忘れて遊び惚けてる…？（首をかくりっと傾げながらぢーっと見つめます。）…いえ、まぁいいんですけどね、しっかり勉強もしないと駄目ですよ？学生なんですし…じゃないと先生の個別指導をうけることになりますよ？（…個別♥授業♥…じゃないですよ？♥満開なそんな指導ではないと思います多分。）
  (2019/3/8 00:11:06)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> (流石軍人、おっとりしていて隙だらけに見えたのは大間違いでしたー！なんて言う勢いで空を、或いは見つめていた先のゆかりの胸に掴もうと？)《1d6で1~3なら空を掴んでドンガラガッシャーン
4~6ならゆかりさんへ、特に理由はないセクハラが？》   (2019/3/8 00:11:33)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> 1d6 → (2) = 2  (2019/3/8 00:11:37)

東北ずん子> (ずんだもちぽたぽた)   (2019/3/8 00:12:02)

結月ゆかり
◆> お胸を後ろから鷲掴みにする人たちでムカデ競争でもするんですか……(きっとそのときはゆかりさんはスタートの合図のピストル役になることでしょう。目のハイライトが消えているかもしれませんが、その時はその時です)あー……たしかにゆかりさんの一人称が真面目な時以外ゆかりさんなこともあって、ゲシュタルト崩壊しかねませんね。ですけどゆかりさんはゆかりふりかけをかけたゆかりごはんが大好きですから仕方ありません(とりあえず意趣返しにさらにゆかり漬けにしておきましょう。謝っていただけましたけれども、意趣返ししてはいけないということはないはずです。ゆかりさんはにっこり笑顔でゆかりさんのもってるゆかりふりかけのパックをアティ先生へ差し出しましょう)
  (2019/3/8 00:12:05)

源内あお> （追いかければ…絵面はシュール。けれどアティのフォローが入り。私の手は一体どこに向かえば！　きっと、スポ根漫画とかでありそうな高速世界が繰り広げられてる気がする。）…えっ、今だと必要な情報じゃ（純粋に思った事を口にしただけだった。けれど…それが事実なら私のゲーマセンスは高いのかもしれない　多分結局…思考の手遅れ感的にシャルロットを追いかけたけれど、その手が何かを掴む事なくﾍﾞﾁｯと地面に倒れる私が居ると思う）
  (2019/3/8 00:13:03)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> ───へぶしゅっ！ …うぅ、こういうのはイタズラしたもん勝ちの世界なんよ…(どべしゃぁ。ゆかりの前で前のめりの床に熱いキスを交わしたまま。お尻は高く突き上げ、うっすらと黄色と白の縞模様が見えたかも…？)   (2019/3/8
00:13:25)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> ───ふぎゃぁっ！？(そしておそらくきっとmaybe、自身の上にあおが覆いかぶさっているでしょう。或いは背中に手がバシーンとされた状態で横隣に倒れ込んでいる姿か。いずれにしても無防備なのは間違いなし！)   (2019/3/8
00:15:29)

東北ずん子> しまぱん……ふむ、やっぱりストライプっていうのはフェリエちゃんくらいの活発な女の子って感じですよね。フェリエちゃんカラーの黄色って所はポイント高いと思います！いいですよ。よっ(なんか全体的に崩れ落ちるねた的な人ばっかりな雰囲気はいいですねぇ、ほほえましいですねぇ
  (2019/3/8 00:15:59)

アティ> ゆかりさんゆかりさん…ゆかりふりかけの話題をさらっと混ぜてこないでください、ゆかりさんがゆかりふりかけっていうとゆかりさんの名前がすごくすごくゲシュタルトと崩壊していきますのでっ。いえ、ゆかりごはんは私も好きですし、好きなゆかりご飯の話題を差し止める権限など私にはないのですが。（…と、自分でも「ゆかり」を連呼…してしまうと目をぐるぐる。差し出されたゆかりふりかけのパックは両手でしっかりうけとって…サイドポーチにしっかり保管しましょう。　ありがとうございますって頭をゆるく下げまして。）
  (2019/3/8 00:16:10)

