チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年04月14日 19時39分 ～ 2023年04月15日 21時58分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

羽鳥智世 ◆> ……この、言葉にできない激情みたいなOP好きだなぁ……   (2023/4/14 19:39:04)
おしらせ> クエットさんが入室しました♪  (2023/4/15 05:44:33)

クエット> はふ……おはようございます、なのです…（くしくし…）皆さんが目覚めてくるには少し早いと思うのですけど…少しこのお部屋でゆっくりさせてもらうのです…（ソファに座って、肘掛けに少し体重を預けるようにしながらうとうと…）   (2023/4/15
05:47:10)

クエット> ……はっ……んー…やっぱりこの時間じゃこないのです…ではひとまずこれくらいにしておくのです、お邪魔したのです…！   (2023/4/15 06:27:01)

おしらせ> クエットさんが退室しました。  (2023/4/15 06:27:07)

おしらせ> ライネスさんが入室しました♪  (2023/4/15 08:39:11)

ライネス> あー…全く。なんとか小休止といった所だが…やはり疲れるな。こうして顔を出せるタイミングを作れてしまった訳だが…厄介なものだね（疲れたぁ…と肩を下ろしながらふらふらっと顔を出して）多少の忙しさや、ストレスには慣れているつもりだが、やはりガス抜きは必要だ。といっても…こんな朝方に顔を出すようなおいしｓ…こほん。愛らしい相手が居てくれるかは怪しい限りだが…（それはそれとしてぽふっとソファにうつ伏せに倒れ込んで）
  (2023/4/15 08:42:19)

おしらせ> ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄさんが入室しました♪  (2023/4/15 08:43:52)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> あ。お疲れで死んでる子がいる。栄養剤とか、つくる？つくる？飲んだら一気に元気になっちゃうやつ。あちこち。（あちこち？　とか、なんとか冗談いいながら、ソファの前にしゃがみこんで、眠てる、子のほっぺをむにぃ♥指先で、捏ねるように、悪戯…ふに。ふに。ふーーーーに♥）
  (2023/4/15 08:45:05)

ライネス> んぁ…？（倒れ伏して数秒、想定より早い気配に流石に寝落ちてる訳はなく）…ひゃひのひへふんはい？（真っすぐ近寄ってきた気配にほっぺを取られれば…じぃーっと見つめる疲れ目の私だ）   (2023/4/15 08:48:19)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> 可愛い子がいたからつい。ほっぺたを捏ね捏ねしてた…♥（てへ…♥なんて、わるびれない、笑顔…♥）で、だいじょうぶそう？（ふにゅ、ふにゅ…♥って、まだ継続してるわけだけど。　でも、喋りずらそうな上に、なにいってんだかわからないから、指先を離して、お目目をぢぃーってのぞきこむ。　深刻なほど、身体がつかれてるわけじゃなさそう！）
  (2023/4/15 08:50:07)

ライネス> ほほひゃはひいはほは…（楽しそうな顔に少し呆れ気味な視線を向けつつほっぺは離されて）全く…いきなり心配ついでに頬を摘ままれたのは初めてだね。あぁ、何…この部屋に来てる程度には体力の余裕はあるよ。心配してくれるのは嬉しいけどね。栄養剤というのも必要はない筈だよ。生憎他人からの無償の施しには警戒してしまう性質でね（君子危うきに近寄らず…というものかもしれない。君が安全を保障する上でなら話は別だけれど）
  (2023/4/15 08:56:20)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> ふふ。可愛い子はとりあえず触れておけってお父さんあたりがいってたきがする。（そんなことはない。この錬金術師のお父さんは緑川ボイスの常識人。）　って、わけで、お隣お邪魔するねっ。（ぽふぅ。って、ソファの隣にすわったら、自分より背丈は小さめかなー？そんな相手に身体をすりすり、擦り寄せ預けながら、えへー♥って笑みを一つ。）必要ないならいいんじゃないかなー、あーいうのは飲むと変に癖になるし！私が作るのはできるだけ、そーいう成分を減らしてあるけど。（こく。）
  (2023/4/15 08:59:21)

ライネス> …その父親は外に出しちゃいけないタイプの人物だな（大丈夫か？その声の心当たりは…泣き黒子で数多の女性を魅了する槍男か馬なんだが）ん、あぁ…それは構わな……ん、ぅ…？（視線で隣に座るのを追って見やれば…全体的に柔らかい感触を押し当てられ…少し身じろいで。どの世代の君だったとしても…まぁ、私の方が小さいだろうな。…私ってかなり小さい？？）依存的な部分か…？確かに一度頼って実用性があれば私達にとっては都合はいいかもしれないな
  (2023/4/15 09:04:01)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> 田舎の島で農家してるから、そんなに人と接する機会ないから大丈夫。（わりと、ノリで自分の親をやばいやつ扱いしたの、ひっこみつかなくなった！ちがうのに…！）ん～？（すに、すに…。すぅに。ほら、女の子が人肌寂しがってるんだから、腰だいて、アピ♥…相手も女の子だけども…ッ！みじろがないでー…！）そうそう、依存。エナドリ系は元気の前借っていうしね！依存しすぎも良くない！ほんとーにしんどいときだけ…ッ！（ぴっ。かたゆび立てた。）
  (2023/4/15 09:06:56)

ライネス> そういう問題か…？いや、むしろそういう環境だからこそ（飢えた結果の教育か…とあらぬ誤解はしっかり芽生えたかもしれない。ライザパパ…すまない。）その、これじゃ隣どころか半ば重なりかけて…いないか？（悪い心地はしないが…というかほぼ抱かれている形になっていれば、多少気恥ずかしさで頬が赤く染まりつつ。もぞもぞ…）ふむ、その言葉は是非とも我が兄上に聞かせてやりたいな…私も、ここ二日はエナドリや糖分で強引に動いてるから人の事言えないが…（立てられた指から視線を逸らした）
  (2023/4/15 09:12:20)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> そういう問題だとおもう。（ごめん、お父さん。今更実は普通の常識人だなんて、いいなおせないって、ばつわるそうに、めそらし。）…つべこべいわず、抱く。（む、にぃ…♥口でいった。強硬手段、ほら、腰に、腕まわして、ぎゅって、するーって！身体、むにっぃ゛♥おしつけ！）兄上さんって、仕事エナドリきめるより。大戦略とかやってるときに、キめてそうだよね…！（だめだよー。むりしちゃ。って、頬つんつん。）
  (2023/4/15 09:16:47)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/4/15 09:21:03)

中野三玖 ◆> …ふあ……おはよう…   (2023/4/15 09:21:14)

ライネス> 何にせよ実害が出ていないなら…まぁ…（その教育の結果、こうして接近されているなら私が被害者かもしれないが。深くは考えまい）なっ……あぁ、まぁいいか。今は抵抗するより流される方が悪くない（強引な言葉に面喰った顔をしつつ…しっかり抱きしめられてしまえば、受け入れるようにライザに押し付けられる身体に顔を埋めて…）そうだな、仕事を片付けるのと…それが終わった後のリフレッシュのためのゲームで、それぞれキめていてもおかしくはないだろうなぁ（何、こっちも望んでやってる事ではないが…仕事なのであれば仕方ないものさ。と言い訳気味で）＞ライザ
  (2023/4/15 09:22:54)

ライネス> んっ…おはよう。そっちは寝起きかな…？＞三玖   (2023/4/15 09:23:26)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> んふふー…♥（大人しく顔埋めたの確認したら、後頭部をぽふ、ぽふ。胸の谷間擦り寄せ乍ら…いーこ、いーこ、しておこう。　性格的には、私のほうがどうみても子供っぽいけど…！）でも魔術師って基本、なんか普段からやばいのキめてそうな人多そうだしへーきなのかなぁ。（偏見。　ヤバイの作ってるって意味では私もあんま大差ないかもしれないけど。）
  (2023/4/15 09:26:04)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> おはよー…！（手をふりふっり。）   (2023/4/15 09:26:14)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/4/15 09:27:27)

後藤ひとり> お、おはようございます……   (2023/4/15 09:27:42)

ライネス> ……君は、私を甘やかすのが目的だったのか？（嬉しそうな声に…歓迎とも取れる程に柔らかい谷間に顔を埋められつつ、なんだか可愛がられている…顔をあげれば上目気味に訊ねて）…そういう人物が居ないとは決して言わないが、私と兄上はそこまで非人道的なものはキメていないぞ？ただの社畜サラリーマンと同等程度だろうよ（カフェインの塊や、ブドウ糖の塊とかまでなら行く時はあるかもしれないが…）
  (2023/4/15 09:31:22)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが入室しました♪  (2023/4/15 09:31:23)

中野三玖 ◆> ……寝起きと…いろいろ   (2023/4/15 09:31:31)

羽鳥智世 ◆> おはようございます。お邪魔しても…いいですか？   (2023/4/15 09:31:51)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> 私夜のお仕事明けだから、こー可愛がって、寝るまでちょっと抱き枕にでもなってもらおうっていうのが目的♥（素直に吐いた。ぢぃ…って、上目遣い気味の相手に視線を合わせて、にへー…♥）まぁ、おにいさん、どう見ても苦労人っぽいもんね。どうみても。（あれ、つねに、ふりまわされて生きる運命にありそうって、ぽそり。）
  (2023/4/15 09:33:52)

ライネス> ん…これはまた賑わってきたね。ひとりはおはよう。（見知ったひとりの事は歓迎しつつ、その後の赤髪の彼女も歓迎を）…ああ、そちらの君も………っ、問題なくゆっくり、して…いき、たま…え？（と視線を向ければ…私の眼が反応しそうな魔力量持ちじゃないか君…？って少し疼く気配）
  (2023/4/15 09:33:54)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> っと、いろいろ、おはよう…！   (2023/4/15 09:34:01)

後藤ひとり> はい…おはようございます   (2023/4/15 09:34:22)

中野三玖 ◆> ……(ぐて…)   (2023/4/15 09:37:18)

ライネス> その点で言えば私も今は陽が落ちてから行動しているから同じだな…。なるほど、休もうと思っていた所に都合よく人肌が転がっていたと（つまり徹夜明けの疲労で温もりを求めていたのはそっちだった訳か…）苦労という言葉を顔に表したような見た目だからね…それでいてわざわざ厄介ごとの渦中に足を踏み入れるのだから、愉快なものだよ（たまに、そうなるように背中を押したりもしているが…なんてケケッとした笑いを浮かべて）
  (2023/4/15 09:39:19)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> そうそう。だから、都合が悪くなければ私のアトリエにご招待して、一緒にころんってしたいんだけど。（って、お誘い…♥えへへ。）たまに、子供時代の愛嬌ちょこちょこでるのでも可愛いよねッ…！（声が、子供時代に戻る。あと、へっぴりごしガンド！）
  (2023/4/15 09:40:50)

中野三玖 ◆> …すごくねむい   (2023/4/15 09:44:53)

後藤ひとり> (ぽけーっ)   (2023/4/15 09:46:01)

羽鳥智世 ◆> えっと、私がどうかしましたか？（なにやら金髪の少女に見つめられれば困ったように指を弄びながら、なにかしたっけ……。迷惑だったか…？と首を傾げて）   (2023/4/15 09:46:23)

ライネス> …随分と積極的なアプローチだな。そうだな、この枕なら寝心地の良さとしては十分そうだし。断る理由もないかな？（なんて流れるままに誘われたのにきょとんとしたのも束の間…少し考えた後は、先ほど顔を埋めた柔らかい膨らみを指で軽くつついて。お誘いには首を縦に振ろう）…くくっ、話が合いそうな事を言ってくれるね。あの頭でっかちな兄が、動揺して余裕がなくなればなくなるほど直情的になる青臭さはたまらないよ（感情的になった時の兄上は必見さ…！）＞ライザ
  (2023/4/15 09:47:52)

後藤ひとり> あ、行ってらっしゃいです   (2023/4/15 09:48:29)

中野三玖 ◆> (今の私なら…抱っこされたら猫みたいにとけれそう…)   (2023/4/15 09:49:02)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> ふふ、じゃぁ、ちょっと人の多さに私は目ぐるぐるしてきたし、いこっか…♥（って、お胸つっつかれたら、あンッ…♥とか、軽く嬌声もらしながら、たちあがりつつ、そのまま、待ち合わせにお部屋つくってるね！って一足先に、おへやだて  
(2023/4/15 09:49:08)

ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄ> ）…噛んだ！けど。このまま、私はいってきまーす！起きてきた人は良い一日を！   (2023/4/15 09:49:33)

おしらせ> ﾗｲｻﾞﾘﾝ･ｼｭﾀｳﾄさんが退室しました。  (2023/4/15 09:49:35)

羽鳥智世 ◆> あ……ごめんなさい、邪魔しちゃったみたい…かな。   (2023/4/15 09:50:01)

後藤ひとり> 私もおじゃましたみたいですね……(ずーん)   (2023/4/15 09:50:39)

中野三玖 ◆> いってらっしゃい…   (2023/4/15 09:52:03)

ライネス> ……いや、今は言及は避けておくよ。勿論迷惑なんて事はなかったから気にしないでくれ、タイミングとしてはすれ違いになってしまったが…私も追わなければいけない身になったのでね。（こほんっと少し仕切りなおすように咳払いして）本来ならば、初対面の相手には適度な距離で接するべきだが…初めまして、赤髪の君、私はライネス。英国育ちの魔術師さ。入学おめでとう、また今度機会があったら仲良くしてくれると嬉しい（魔術師として夜の愛し仔を狙ってる訳じゃないから安心してくれ…なんて。こっそり、知ってるアピールだけ残して私は先に行った彼女を追うよ）
  (2023/4/15 09:53:52)

ライネス> ひとりも、義姉上の妹君も…別段邪魔だったという訳じゃないから気にしない！むしろ折角顔を出してくれたのにすれ違い気味ですまないが…また会おう！（相手を待たせ続けるのも悪いから…せっせっと向かう私だった）   (2023/4/15 09:54:55)

おしらせ> ライネスさんが退室しました。  (2023/4/15 09:54:59)

羽鳥智世 ◆> あ、行ってらっしゃい…。時計塔…みたいなものだから、親近感…とかあるのかな。   (2023/4/15 09:55:37)

後藤ひとり> お疲れ様でした……(あくびして)   (2023/4/15 09:58:29)

おしらせ> クエットさんが入室しました♪  (2023/4/15 09:59:22)

後藤ひとり> あ、こんばんは…   (2023/4/15 09:59:29)

中野三玖 ◆> …(すや)   (2023/4/15 10:00:48)

クエット> …ふぅ、クエットが入ると満員になってしまうので様子を見守っていたのです。こんにち…こんばんは？（ひょこりと扉から飛び出してきて、お部屋にいる皆さんにあいさつを…時間外れのあいさつにちょっと戸惑いながら）   (2023/4/15 10:01:38)

後藤ひとり> あ、そういえばおはようございますでした……いつも夜に来るから癖で……   (2023/4/15 10:02:03)

羽鳥智世 ◆> おはようございます。   (2023/4/15 10:02:15)

クエット> ふふ、眠そうなのできっと間違えてしまったのです。チセお姉さんは先日ぶり…こちらの眠そうなお二人は初めまして、なのです。クエットなのです（ぺこりと軽く頭を下げて。むむ、どのソファに座るか悩むのです…）   (2023/4/15 10:04:37)

後藤ひとり> よろしくお願いします……後藤ひとりです…   (2023/4/15 10:06:07)

クエット> ひとりお姉さんですね、よろしくなのです（すす、と近くに寄って、小さい手でぎゅぅ…）また新しくお姉さんと知り合えて、クエットは嬉しいのです…！   (2023/4/15 10:09:55)

後藤ひとり> あ、は、はいお姉さんですか……照れますね……(握手をお返しして)   (2023/4/15 10:10:34)

羽鳥智世 ◆> うん、先日ぶりですね。（こく   (2023/4/15 10:10:39)

クエット> あまりお姉さんと呼ばれることがないのです？だったらクエットが言ってあげるのです…！ひとりお姉さん…♪（照れた様子のお姉さんにちょっとだけ意地悪…耳元でこしょこしょ言ってあげて）   (2023/4/15 10:13:01)

クエット> あっと、そうそう…チセお姉さんにはクエットのお耳を触らせてあげると約束…約束でしたっけ…？まあ、そういう話をしていたのです。なので…触ってみるのです？（今度はチセお姉さんのほうに寄って。ちょっとお耳をぴこぴこ）   (2023/4/15
10:15:34)

後藤ひとり> あわわ……///じ、実は妹は一人いるけどここでは中々言われないので……///(耳元で囁かれるとドキッとして)   (2023/4/15 10:15:45)

中野三玖 ◆> …いきてる   (2023/4/15 10:15:49)

後藤ひとり> 生きてた……(つんつん)   (2023/4/15 10:16:54)

羽鳥智世 ◆> あ、うんありがとう…（そしたら少し触らせてもらうね、ってそっと後ろ側を軽く撫でて）   (2023/4/15 10:18:44)

中野三玖 ◆> …ん…ぅ   (2023/4/15 10:19:02)

後藤ひとり> 眠そうですね……(よしよし)   (2023/4/15 10:19:24)

クエット> ほほー、妹さんがいるけどこのお部屋で呼ばれることはないと…ふふん、こう呼ぶとかわいい反応してくれるのでちょっと楽しいのです（むふふと少し満足げ）   (2023/4/15 10:19:55)

クエット> ん、ん……チセお姉さんの手…気持ちいいのです…（お隣に座りつつ、触られる感覚に集中するみたいに目を閉じて…くすぐったさもあるけど、優しい手つきに心地よくなって）   (2023/4/15 10:22:27)

後藤ひとり> そういうことですね……///好きに甘えていいですからね……//   (2023/4/15 10:22:28)

中野三玖 ◆> …ぬあ…   (2023/4/15 10:23:50)

後藤ひとり> ぬあ……？(よしよし)   (2023/4/15 10:24:31)

羽鳥智世 ◆> それなら良かった、かな（ゆっくりとマッサージするように丹念に優しく撫でるように…）   (2023/4/15 10:25:04)

クエット> もちろん、ここのお部屋のお姉さんたちには甘えることにするのです…！いつかすてきな大人になるのが目標なのですけど、今のうちに可愛がられる特権も味わっておきたいのです…！   (2023/4/15 10:25:41)

後藤ひとり> 5歳の妹がいるんですけど……クエットさんはお幾つで……？   (2023/4/15 10:28:55)

クエット> チセお姉さんは優しくてすてきなのです……（すりすりされるともっとリラックスして…心地よさに体を揺らしてはぽすんとチセお姉さんの膝に頭を預けて。もっと甘えてもいいのです…？とちらっと顔を伺って）   (2023/4/15 10:29:12)

羽鳥智世 ◆> そうかな…？それなら嬉しいんだけど…（すこし、照れるように目を背けつつ。甘えたいならいくらでも、って頷いて見せて）   (2023/4/15 10:31:35)

クエット> （うーん…原作的には年齢は開示されてないのですけど……おそらく小学生くらいなのです…？ワーフリの中でもかなり年齢は低い方だと思うのです）   (2023/4/15 10:31:37)

中野三玖 ◆> ……ねむねむ   (2023/4/15 10:31:49)

後藤ひとり> 若いですね……(小さくてかわいい……)   (2023/4/15 10:32:01)

後藤ひとり> 眠いなら無理せず……   (2023/4/15 10:32:06)

クエット> はふ……クエットは優しくしてくれる人がすきなのです…だからその優しさにもっと甘えるのです（撫でられながらも膝に頭を擦りつけるように…ちょっとだけ獣の血を引くみたいにマーキング…？）   (2023/4/15 10:35:11)

クエット> クエットみたいに小さい子はあまりいないのです…？お姉さんとは別にお友達も欲しいのです…   (2023/4/15 10:38:01)

後藤ひとり> 居ますよ？中学生の人とか……小学生ぽい人も…   (2023/4/15 10:38:36)

クエット> なるほど…その人たちともお友達になれたらいいのです…！今の静かさだとこういうお休みの日くらいしかチャンスはなさそうなのですけど…   (2023/4/15 10:40:56)

中野三玖 ◆> (くぁぁ…)   (2023/4/15 10:41:01)

後藤ひとり> 夜に来れば色んな人に会えるかと……夜なら沢山人居ますし…それでも以前ほどでは無いですが……   (2023/4/15 10:42:46)

後藤ひとり> (布団をかぶせて)   (2023/4/15 10:42:50)

おしらせ> 絹川みちほさんが入室しました♪  (2023/4/15 10:42:58)

絹川みちほ> おはよう……   (2023/4/15 10:43:46)

クエット> 夜ですか…深夜帯に来ている人は観測しているのです…でもやっぱりクエットはその時間は眠くなってしまうのです…（しょぼん）   (2023/4/15 10:45:16)

クエット> おはようなのです…！   (2023/4/15 10:46:03)

絹川みちほ> おはよう、はじめましてかな？   (2023/4/15 10:46:25)

後藤ひとり> おはようございます……。   (2023/4/15 10:46:27)

後藤ひとり> とにかく無理はせずに眠いなら……無理せず…来なくても良いかと……   (2023/4/15 10:46:52)

絹川みちほ> おはよう、ひとりちゃん   (2023/4/15 10:47:04)

中野三玖 ◆> …やだ   (2023/4/15 10:47:19)

絹川みちほ> 未来ちゃんは、眠いけど此処には来たい、って事かな？   (2023/4/15 10:48:05)

クエット> はい、初めまして、クエットなのです。まだまだここには来たばかりなのです、よろしくなのです…！（ぺこ）   (2023/4/15 10:49:08)

後藤ひとり> 三玖さんも無理せずですよね……   (2023/4/15 10:49:21)

絹川みちほ> クエットちゃんだね。私は絹川みちほです、よろしくね〜   (2023/4/15 10:50:20)

中野三玖 ◆> …ん   (2023/4/15 10:52:14)

クエット> みちほお姉さん、なのです…！えへへ、このお部屋にいるだけでいっぱいお姉さんと知り合えるのです…！（百合部屋なのでそりゃそうでしょと言われればそれまでなのですけど、てへ）   (2023/4/15 10:53:39)

おしらせ> 無言時間が25分を超えたため、羽鳥智世 ◆TaduQjWkbwさんが自動退室しました。  (2023/4/15 10:56:39)

絹川みちほ> 智世ちゃん、お疲れ様だよ   (2023/4/15 10:56:54)

クエット> あぅ……チセお姉さんの中身が行ってしまったのです…お疲れ様なのです   (2023/4/15 10:57:28)

絹川みちほ> えへへ、   (2023/4/15 10:57:31)

後藤ひとり> おやすみなさいです……   (2023/4/15 10:58:51)

後藤ひとり> そういえば私以外みんな青です…   (2023/4/15 10:59:00)

絹川みちほ> えへへ、お姉ちゃんかあ、照れちゃうな。クエットちゃんはいっぱいお姉さんと出会えたんだねー（クエットちゃんの真似して両手を頭の上に掲げて猫耳みたいに）   (2023/4/15 10:59:19)

絹川みちほ> ほんとだ、あたし色変えするね   (2023/4/15 10:59:51)

クエット> ひとりお姉さんも挟まれて青になったりするのです？と言ってる間に変わってしまったのです   (2023/4/15 11:00:44)

中野三玖 ◆> (zzz...   (2023/4/15 11:01:37)

後藤ひとり> 後藤ひとり真っ青の姿ですね……   (2023/4/15 11:02:03)

絹川みちほ> 三玖ちゃんつんつん   (2023/4/15 11:02:21)

絹川みちほ> あ、ひとりちゃんも青くなった   (2023/4/15 11:02:45)

クエット> 星見の街のお姉さんたちも素敵なのですけど、ここのお姉さんも優しくて…クエットはとってもしあわせなのです…！（クエットの真似なのです…？とお姉さんを見てはくすりと笑って）   (2023/4/15 11:02:46)

クエット> ほわ、ひとりお姉さんが真っ青なのです…！これは精神力が削られてそうな……そんな気がするのです   (2023/4/15 11:03:56)

後藤ひとり> げっそりしてそうです……   (2023/4/15 11:04:27)

絹川みちほ> よかった、しあわせそうなクエットちゃんを見てるとあたしも嬉しいなあ。（そうそう、真似っ子、なんて呟いてみて）   (2023/4/15 11:04:43)

絹川みちほ> たしかにひとりちゃん、げっそりしてそうな…   (2023/4/15 11:05:29)

後藤ひとり> ただでさえしなしななのに…   (2023/4/15 11:05:47)

絹川みちほ> ひとりちゃんよしよし   (2023/4/15 11:07:38)

クエット> ふっふっふ、しあわせな人を見るとしあわせになる……しあわせが無限にひろがっていくのです（みちほお姉さんは結構おちゃめなのですね…）   (2023/4/15 11:08:56)

クエット> さて、少し早いのですけど……クエットはお腹が空いてきたのでごはんを食べてくるのです（ぐぅ）   (2023/4/15 11:09:55)

後藤ひとり> あ、おやすみなさいです   (2023/4/15 11:12:21)

後藤ひとり> 行ってらっしゃいです   (2023/4/15 11:12:25)

絹川みちほ> 笑顔のループってやつかなあ、素敵だよねクエットちゃん。あ、ご飯いってらっしゃい   (2023/4/15 11:12:52)

クエット> ……ひとりお姉さんまだ寝ぼけているのです？いってくるのです…！   (2023/4/15 11:13:07)

おしらせ> クエットさんが退室しました。  (2023/4/15 11:13:12)

後藤ひとり> いつもの癖で…   (2023/4/15 11:13:59)

絹川みちほ> よしよし、ひとりちゃん   (2023/4/15 11:15:31)

後藤ひとり> ん…   (2023/4/15 11:17:05)

絹川みちほ> ん……ふふ   (2023/4/15 11:17:37)

中野三玖 ◆> ……んあ   (2023/4/15 11:18:14)

絹川みちほ> 三玖ちゃんもよしよし   (2023/4/15 11:18:29)

後藤ひとり> 眠……   (2023/4/15 11:21:15)

絹川みちほ> 皆で寝る？   (2023/4/15 11:21:53)

後藤ひとり> 寝ようかな…   (2023/4/15 11:23:35)

絹川みちほ> そうしよ？   (2023/4/15 11:24:00)

後藤ひとり> ですね……   (2023/4/15 11:24:12)

絹川みちほ> あたしも、うとうとしてきた…   (2023/4/15 11:24:43)

中野三玖 ◆> …ねようかな   (2023/4/15 11:25:19)

後藤ひとり> おやすみなさい……(むぎゅ)   (2023/4/15 11:26:41)

絹川みちほ> じゃあ、そうしよ……（二人ともむぎゅ）   (2023/4/15 11:27:02)

中野三玖 ◆> ……ひとりちゃん   (2023/4/15 11:27:25)

後藤ひとり> どうしました？   (2023/4/15 11:28:17)

絹川みちほ> ん…三玖ちゃん？   (2023/4/15 11:32:33)

中野三玖 ◆> ……ううん…大丈夫   (2023/4/15 11:34:19)

後藤ひとり> とりあえずおやすみなさいです……♪(ちゅ)   (2023/4/15 11:35:26)

絹川みちほ> ならいいんだけどね……なでなで   (2023/4/15 11:38:12)

中野三玖 ◆> …んっ…うん…おやすみ   (2023/4/15 11:41:48)

後藤ひとり> おやすみなさい……   (2023/4/15 11:43:50)

おしらせ> 無言時間が25分を超えたため、絹川みちほさんが自動退室しました。  (2023/4/15 12:04:09)

おしらせ> 無言時間が25分を超えたため、中野三玖 ◆WY5HuZnICQさんが自動退室しました。  (2023/4/15 12:06:50)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2023/4/15 12:09:39)

おしらせ> クエットさんが入室しました♪  (2023/4/15 20:01:51)

クエット> はー……すごかったのです…あ、あんなに熱く絡み合って……あれが大人の遊びというやつなのです…？（上の階を覗いていて、先ほどまでのことを思い出して顔を赤くさせたままお部屋に入ってきて。その熱を冷ますようにソファに座ってぽけーっと天井を眺め）  
(2023/4/15 20:05:48)

クエット> と、クエットがこんな調子じゃだめなのです…！（両手で頬をぺちん、気分を入れ替えるようにして）いつも通りのクエットで誰かを待つとするのです（いつ来てもいつの間にか補充されているお菓子類…それに手を伸ばしてはクッキーをもぐもぐ…今夜はどんな人が来るのかちょっと期待してみたり）
  (2023/4/15 20:17:08)

おしらせ> 東北ずん子さんが入室しました♪  (2023/4/15 20:42:19)

東北ずん子> クエットさんと大人の遊びをできるとききました！(クエットさんのおとなりにとびこんで   (2023/4/15 20:42:48)

クエット> あ、こんばんはずん子お姉さん…ってそんなことを言ったつもりはないのです…！（お部屋に入ってくるなり、とんでもないことを口走るずん子お姉さんにちょっと引き気味に）   (2023/4/15 20:45:16)

東北ずん子> えー、できないんですかー、ざんねんですね、しかたないのでクエットさんを抱きしめさせてもらうことに。ともあれ、こんにちはー。今宵もおじゃまします(よいしょっとお隣に座って   (2023/4/15 20:46:22)

クエット> …興味はなくはないのです。ただやっぱりクエットにはちょっと早い気がするのです…！でも……ふふん、抱きしめられるのは全然平気なのです（ちょっと甘えたい気分なのです…いつも甘えたい気分かもしれないなのですけど、とさっそく肩を寄せて）  
(2023/4/15 20:50:07)

おしらせ> クレーさんが入室しました♪  (2023/4/15 20:53:45)

東北ずん子> それならおとなしく諦めますか(クエットさんの髪を丁寧に撫でて、耳を優しく弄り)クエットさんは可愛いので興味はあるんですけどね(ふふっと小さく笑みを漏らしながらクエットさんの頬を軽くつついて)   (2023/4/15 20:54:14)

クレー> こーんばんはー♪クレー参上っ(がちゃこんっ)   (2023/4/15 20:54:18)

東北ずん子> 元気ですか、クレー。こんばんはー(ひらひらと手を振って   (2023/4/15 20:56:27)

クエット> はぅ…クエットをおいしくいただこうと狙われているのです（撫でられては心地よさそうに目を少し細めつつ、内心舌なめずりしてそうなお姉さんにちょっとぞわり…でもクエットもいつか…と考えると期待のようななにかが心にあって）   (2023/4/15
20:56:49)

クレー> ずん子お姉ちゃん久しぶり♪うん、クレーは元気だよ！(えへへー)   (2023/4/15 20:57:27)

クエット> はっ、こんばんはなのです…！（クエットと同じくらいの子…？先日話に出てた小さい子を目にして少し目を輝かせて）   (2023/4/15 20:58:14)

クレー> はじめまして…！クレーはクレーだよ♪よろしくねっ(はじめてみかけたクレーと同じくらいの子にはじめましてのご挨拶をして)>クエットちゃん   (2023/4/15 20:58:32)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/4/15 21:00:28)

後藤ひとり> お邪魔します……   (2023/4/15 21:00:38)

東北ずん子> それならよかったです、私も最近は元気は出てきたのですが。中々楽しめる時間がないですね(うーんっと、少しだけ考え込みながらクエットさんをなでなで、軽くクエットさんを抱えて、胸の中に包んじゃいます)   (2023/4/15 21:00:49)

クレー> むむむっ、ちょっと席外すね？   (2023/4/15 21:00:56)

