チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年08月25日 02時16分 ～ 2023年09月01日 04時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

高坂桐乃 ◆> じゃあTOP4になった   (2023/8/25 02:16:32)
スレッタ・ﾏｰｷｭﾘｰ ◆> 解散しますか   (2023/8/26 18:55:24)

中野二乃> お疲れさま   (2023/8/26 18:55:35)

おしらせ> 中野二乃さんが退室しました。  (2023/8/26 18:55:41)

スレッタ・ﾏｰｷｭﾘｰ ◆> お疲れ様でした（ひとりさんのほっぺにちゅっ）   (2023/8/26 18:56:10)

おしらせ> スレッタ・ﾏｰｷｭﾘｰ ◆VpeFG8lScoさんが退室しました。  (2023/8/26 18:56:15)

後藤ひとり> あ、は、はい……//   (2023/8/26 18:57:00)

おしらせ> 後藤ひとりさんが退室しました。  (2023/8/26 18:57:06)

おしらせ> カールスルーエ ◆MSTR.Awjvgさんが入室しました♪  (2023/8/26 19:13:57)

カールスルーエ
◆> さてと、お邪魔させて頂きましょうか…♪相変わらずお昼は日差しが強くて暑いですが、夜になれば秋の気配が近づいて来ているのを実感しますねぇ。（はふ、と一息つきつつ。シャワーを浴び終え、薄手のブラウスに黒のショーツの姿でお部屋の中へ。冷蔵庫からアイス珈琲を手に取っては氷たっぷりのグラスに注いで…♪）
  (2023/8/26 19:16:37)

カールスルーエ
◆> …ぁー、美味しいですねぇ。秋が近づいてきたとはいえ、まだまだ冷たい飲み物が美味しい時期ではありますから…♪（ぷぁ、と飲み干したグラスを机に置いては一息を。）…そういえば昨日から闘争を求めて闘いに明け暮れている方々が多いのでしょうか。私もやってみたくはありますがねぇ。（はふ。お勤め故に乗り遅れてしまって悶々としていたり。）
  (2023/8/26 19:29:39)

おしらせ> 無言時間が25分を超えたため、カールスルーエ ◆MSTR.Awjvgさんが自動退室しました。  (2023/8/26 19:54:52)

おしらせ> 吉田優子さんが入室しました♪  (2023/8/27 19:48:41)

吉田優子> はふっ…。何だかんだ、一階が一番入り慣れてる感じですね。どこの階も同じなんですけどぉ…。（湯上がりでほかほか、湯気を立たせながらお部屋に入ります。）   (2023/8/27 19:50:03)

おしらせ> スレッター･ﾏｰｷｭﾘ ◆VpeFG8lScoさんが入室しました♪  (2023/8/27 19:56:09)

スレッター･ﾏｰｷｭﾘ ◆> こんばんはです(ひょこ)   (2023/8/27 19:56:25)

吉田優子> あ。こ、こんばんは。えっと…はじめまして、ですね…？（ゆったり寛いでいた所にひょっこり姿を見せられた方がいて、びくっ…と慌てて居住まいを正し、ぺこり、と会釈を）   (2023/8/27 19:57:59)

スレッター･ﾏｰｷｭﾘ ◆> あ、こんばんは。はい初めてですね、自己紹介をスレッター･マーキュリーです、よろしくお願いします(ぺこっと会釈して   (2023/8/27 19:59:09)

吉田優子> 私は吉田優子です…。えっと、皆んなからはシャミ子…って呼ばれることが多いかな……？よろしくおねがいしますね、スレッタさん…？（眉尻を下げつつも、ぺこぺこと互いに会釈を交わして）   (2023/8/27 20:00:59)

スレッター･ﾏｰｷｭﾘ ◆> 優子さん?シャミ子さん?えっと、どっちで呼べばいいんでしょう...?(二つ名前言われるとわたわたするようにきいちゃって)   (2023/8/27 20:02:24)

吉田優子> え、えーっと…どっちでも良いですがぁ…シャミ子…のほうが最近はしっくり来るっていいますか…。（ぴんっ、と尻尾を張り詰めさせ。）   (2023/8/27 20:04:03)

スレッター･ﾏｰｷｭﾘ ◆> シャミ子さんですね、わかりました。私のことはスレッタでいいですよ?(尻尾ある、なんてみちゃって)   (2023/8/27 20:05:20)

吉田優子> は、はいっ。スレッタさん、ですね…？あ、私はまぞくなので…。ツノとか、尻尾とか、あるんです…。（邪魔になっちゃってますけどね…。と、丸っこいツノに触れて）   (2023/8/27 20:09:50)

スレッター･ﾏｰｷｭﾘ ◆> はい、スレッタです。あーそういうことなんですね、なるほどです。(じろじろと尻尾とか角を興味津々そうにみてて)   (2023/8/27 20:11:04)

吉田優子> ……そ、そんなに気になります…よねー……。（視線を受けて、やや緊張した面持ちで尻尾を腕に抱いて）   (2023/8/27 20:14:05)

スレッター･ﾏｰｷｭﾘ ◆> 私、気になりますシャミ子さん(じーって見ながら、もっとじっくり見ちゃって)   (2023/8/27 20:15:31)

吉田優子> ひっ……。……触れて、みます…？（圧力が、すごい……。じーっとした視線に屈し、尻尾をくいっと差し向けて）   (2023/8/27 20:17:34)

スレッター･ﾏｰｷｭﾘ ◆> えへへ、触っていいんですか?(目をキラキラ輝かせながら、尻尾をそーっとさわって)   (2023/8/27 20:18:59)

吉田優子> は、はいっ……。うぅ…そんなに喜ぶことなんでしょうかっ……。（瞳を輝かせる様子に何も言い返せず、ぴくり、と擽ったそうに尻尾を預け）   (2023/8/27 20:20:08)

スレッター･ﾏｰｷｭﾘ ◆> えへへ、ふふ。柔らかいです。(尻尾、もみもみしながら柔らかい感触を楽しみ)   (2023/8/27 20:22:17)

吉田優子> それなら、良かった……です……？（ふる、と身震いしつつ、スレッタさんの好きなように触れさせて）   (2023/8/27 20:23:18)

スレッター･ﾏｰｷｭﾘ ◆> これくらいに、しときます。(触るのやめて、寛いでいて)   (2023/8/27 20:24:24)

吉田優子> ……すみません……。（はふぅっ…と、深く息を吐いて尻尾を引っ込めて）   (2023/8/27 20:25:50)

スレッター･ﾏｰｷｭﾘ ◆> いえ、大丈夫です。(こちらもすいませんとぺこぺこ頭さげて)   (2023/8/27 20:26:24)

吉田優子> 良かった……。あの、スレッタさんはこちらに来て長いんですか……？（再び両者ぺこぺこと頭を下げたあと、ちら、と視線を向けつつ問い掛けて）   (2023/8/27 20:29:26)

スレッター･ﾏｰｷｭﾘ ◆> ありがとうございました。いえ、短いです。(ふるふると頭をよこにふって)   (2023/8/27 20:30:55)

吉田優子> へ、ぇっ…そうなんですねっ……。これから、仲良くしてくれると嬉しいですっ…（ちょっと慣れてきたかも。柔らかく自然な笑みを浮かべ、片手を差し出し）   (2023/8/27 20:33:05)

スレッター･ﾏｰｷｭﾘ ◆> へへ、わかりました、仲良ししてください。(手を差し出されると。手をこっちもさしだし)   (2023/8/27 20:34:25)

吉田優子> えへへ……。お友達、増えちゃいました……。（差し出された手をしかと握り、ゆっくり上下にふりふりして）   (2023/8/27 20:35:17)

スレッター･ﾏｰｷｭﾘ ◆> えへへ。私もお友達、増えました(ニコッとしながら、上下にこっちもふりふり)   (2023/8/27 20:36:27)

吉田優子> スレッタさんは…えっと、えっと……。結構、おっきいですね…？（わた。）   (2023/8/27 20:46:17)

スレッター･ﾏｰｷｭﾘ ◆> んっ、なにがおっきいんでしょう?(ふにゃ)   (2023/8/27 20:46:57)

吉田優子> 身長が……。（見上げて、目をぱしぱし）   (2023/8/27 20:49:46)

スレッター･ﾏｰｷｭﾘ ◆> あっ、そ、そうですよね!?(勘違いして目をそらす)   (2023/8/27 20:50:31)

おしらせ> 後藤ひとり ◆qdBZ5U32c6さんが入室しました♪  (2023/8/27 20:55:58)

スレッター･ﾏｰｷｭﾘ ◆> !?   (2023/8/27 20:56:08)

後藤ひとり ◆> 170代なんですよね……(じーっ)   (2023/8/27 20:56:13)

後藤ひとり ◆> ！？とは！？   (2023/8/27 20:56:16)

スレッター･ﾏｰｷｭﾘ ◆> え、てっきりひとりさんがシャミ子さんしてるとばかり...   (2023/8/27 20:57:11)

吉田優子> は、はいっ…。…何を勘違いしたんですか……？あ、ひとりさん、こんにちは。（ぺこり）   (2023/8/27 20:57:30)

後藤ひとり ◆> …………違いますよ！？したことはありますけど！   (2023/8/27 20:58:00)

後藤ひとり ◆> 背も胸も大きい……？   (2023/8/27 20:58:08)

スレッター･ﾏｰｷｭﾘ ◆> え、それは胸が..(ボソッ)   (2023/8/27 20:58:32)

スレッター･ﾏｰｷｭﾘ ◆> ぽかーんとなりました...   (2023/8/27 20:58:59)

吉田優子> …まぁ、それも大きいですけどっ……。（ごにょ）   (2023/8/27 20:59:04)

後藤ひとり ◆> 脱ぐと凄いですよね……シャミ子さんも大きいですが   (2023/8/27 20:59:21)

スレッター･ﾏｰｷｭﾘ ◆> 私以外胸が大きい...(ぐすん)   (2023/8/27 20:59:43)

後藤ひとり ◆> スレッタさんもスタイルいい気が……   (2023/8/27 21:01:33)

スレッター･ﾏｰｷｭﾘ ◆> そ、そうでしょうか?   (2023/8/27 21:04:29)

吉田優子> は、はいっ…そんな気にしなくっても良いと思いますっ…！（ぐっ）   (2023/8/27 21:04:30)

後藤ひとり ◆> 脱げば分かります……？多分   (2023/8/27 21:04:48)

スレッター･ﾏｰｷｭﾘ ◆> 脱ぐ!?   (2023/8/27 21:05:02)

スレッター･ﾏｰｷｭﾘ ◆> あ、ありがとうございますシャミ子さん(ぺこ)   (2023/8/27 21:05:50)

後藤ひとり ◆> 脱いだらすごいかも……   (2023/8/27 21:10:15)

スレッター･ﾏｰｷｭﾘ ◆> だ、誰がですか？（きょとん)   (2023/8/27 21:10:39)

後藤ひとり ◆> スレッタさんですね   (2023/8/27 21:11:01)

吉田優子> いえいえっ。…えっと、脱いでもいいと思いますっ…。私は関係ありませんがー…（目反らし）   (2023/8/27 21:11:35)

スレッター･ﾏｰｷｭﾘ ◆> こ、ここではさすがに...(すっと壁の方に隠れて)   (2023/8/27 21:12:06)

スレッター･ﾏｰｷｭﾘ ◆> シャミ子さんが、脱ぐといいです...(ボソッ)   (2023/8/27 21:12:30)

吉田優子> 私は脱ぎませんよ…！（ばっ、と両手で胸元隠し）   (2023/8/27 21:16:28)

スレッター･ﾏｰｷｭﾘ ◆> 私のかわりにぬいでも、いいんですよ...(じー)   (2023/8/27 21:17:02)

後藤ひとり ◆> でもほぼ半裸のかっこしてますし……   (2023/8/27 21:19:12)

吉田優子> い、今は普段着ですっ…   (2023/8/27 21:20:01)

スレッター･ﾏｰｷｭﾘ ◆> じゃあ、ひとりさんが..,   (2023/8/27 21:20:20)

後藤ひとり ◆> いや私は……(こそこそ)   (2023/8/27 21:23:24)

スレッター･ﾏｰｷｭﾘ ◆> ひとりさんもそこそこあります...   (2023/8/27 21:25:18)

後藤ひとり ◆> いや私は普通……(目逸らし)   (2023/8/27 21:31:59)

後藤ひとり ◆> いきなり静かです、！   (2023/8/27 21:42:35)

吉田優子> 沈黙こそが是なので！（びっ、と手のひらを前に出して）   (2023/8/27 21:43:10)

スレッター･ﾏｰｷｭﾘ ◆> ふにゅっ   (2023/8/27 21:45:46)

スレッター･ﾏｰｷｭﾘ ◆> じゃあ、皆さん脱ぎましょう!?(暴走)   (2023/8/27 21:46:25)

後藤ひとり ◆> え！？いや私は無理です……(こそこそ)   (2023/8/27 21:47:06)

吉田優子> そんなお部屋でしたっけ……あ、そうでしたね…（納得。）   (2023/8/27 21:47:09)

スレッター･ﾏｰｷｭﾘ ◆> ひとりさんが言ったからこうなったんですよ!?(がしっ)   (2023/8/27 21:48:07)

後藤ひとり ◆> ひいいいっ！   (2023/8/27 21:48:36)

スレッター･ﾏｰｷｭﾘ ◆> 腹をくくってください...(じーーーー)   (2023/8/27 21:49:02)

後藤ひとり ◆> 腹切ります……！   (2023/8/27 21:49:38)

スレッター･ﾏｰｷｭﾘ ◆> 服を脱ぐんです!?(ゆさゆさ)   (2023/8/27 21:50:06)

後藤ひとり ◆> じゃ、じゃあ……(ジャージ脱ぎ)   (2023/8/27 21:51:40)

スレッター･ﾏｰｷｭﾘ ◆> じゃあ、私も(服脱ぎはじめて)   (2023/8/27 21:55:50)

後藤ひとり ◆> いいスタイルです…   (2023/8/27 21:58:18)

スレッター･ﾏｰｷｭﾘ ◆> ひとりさんもいいです...(じーーー)   (2023/8/27 21:58:51)

後藤ひとり ◆> シャミ子が抜けた……(キョロキョロ)   (2023/8/27 21:59:10)

スレッター･ﾏｰｷｭﾘ ◆> シャミ子さん(ゆさゆさ）   (2023/8/27 21:59:23)

吉田優子> ふぁっ！？わ、私は…いいですっ…お気遣いなく……。（ふるふる）   (2023/8/27 21:59:55)

後藤ひとり ◆> 私たちだけ脱いでるのはあれですよ！？   (2023/8/27 22:00:07)

スレッター･ﾏｰｷｭﾘ ◆> シャミ子さんも脱ぐんです!?(ゆさゆさ）   (2023/8/27 22:00:26)

吉田優子> えー……。わ、わかりましたよぉ……。（渋々といった様子。流石に恥ずかしくて頬を染めながら、Tシャツを脱いで、ふるんっ…と、豊かな胸元が露に…。）   (2023/8/27 22:01:56)

スレッター･ﾏｰｷｭﾘ ◆> エッロイ...   (2023/8/27 22:02:25)

後藤ひとり ◆> おっきい…危機管理は恥ずかしくないのにこれは恥ずかしいんですね…(まじまじ……背は小さいのに……)   (2023/8/27 22:02:31)

吉田優子> 危機管理は危機管理なので…恥ずかしかったですが、アレはアレで慣れるしかなかったんです…！…見なくても、そんなに…。（ぐぬ…っと歯噛みして、シャツで胸元を隠して…）   (2023/8/27 22:05:48)

後藤ひとり ◆> あ、見えなくなった……でもいいですよね。背は小さいのに胸はこんなに……(自分のと見比べて)   (2023/8/27 22:06:27)

スレッター･ﾏｰｷｭﾘ ◆> ...(二人のむねと見比べて意気消沈したスレッターさん...)   (2023/8/27 22:07:44)

後藤ひとり ◆> 落ち込んでる……   (2023/8/27 22:08:14)

吉田優子> そんな落ち込まなくても…（いそいそと服を着直し、）   (2023/8/27 22:10:36)

スレッター･ﾏｰｷｭﾘ ◆> 胸あっていいですね...(しょぼん)   (2023/8/27 22:13:50)

後藤ひとり ◆> 胸あってもそんないい事ないですよ……   (2023/8/27 22:15:40)

スレッター･ﾏｰｷｭﾘ ◆> あるといいこともいいかと...   (2023/8/27 22:19:11)

後藤ひとり ◆> そ、そうですか？……私はその身長の高さが羨ましいですが…   (2023/8/27 22:22:02)

スレッター･ﾏｰｷｭﾘ ◆> 大きくてもいいことないですよ...(ぶつかっちゃいますし)   (2023/8/27 22:22:37)

後藤ひとり ◆> 胸大きくても肩こるし………   (2023/8/27 22:22:58)

スレッター･ﾏｰｷｭﾘ ◆> 需要はあります!?   (2023/8/27 22:23:16)

後藤ひとり ◆> そもそもアニメの私は胸ないし……   (2023/8/27 22:24:07)

スレッター･ﾏｰｷｭﾘ ◆> あると思います!?   (2023/8/27 22:24:49)

後藤ひとり ◆> https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEShGEbdsS6lPjy5K-RqThMp-Xnt4xDs4twQ&usqp=CAU
[/JumpUrl2/?url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcTEShGEbdsS6lPjy5K-RqThMp-Xnt4xDs4twQ%26usqp%3DCAU]
  (2023/8/27 22:26:11)

後藤ひとり ◆> ほ、ほら……   (2023/8/27 22:26:15)

スレッター･ﾏｰｷｭﾘ ◆> 服で隠れてるとおもいます!?   (2023/8/27 22:27:42)

吉田優子> ……ん、デフォルメ……ですねっ…。（こく）   (2023/8/27 22:27:57)

後藤ひとり ◆> https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi1U_LxVwY3898e9NM0la6mqKeGLxZVRAHdw&usqp=CAU
[/JumpUrl2/?url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcRi1U_LxVwY3898e9NM0la6mqKeGLxZVRAHdw%26usqp%3DCAU]
  (2023/8/27 22:29:36)

後藤ひとり ◆> で、でも原作は……   (2023/8/27 22:29:39)

スレッター･ﾏｰｷｭﾘ ◆> ある   (2023/8/27 22:30:04)

吉田優子> 私は一度お暇しますね。お疲れ様でした……   (2023/8/27 22:30:17)

おしらせ> 吉田優子さんが退室しました。  (2023/8/27 22:30:24)

スレッター･ﾏｰｷｭﾘ ◆> お疲れ様でした!   (2023/8/27 22:30:27)

後藤ひとり ◆> わ、私たちはどうします？   (2023/8/27 22:31:56)

スレッター･ﾏｰｷｭﾘ ◆> え、と前の続きしたいです...(もじもじ)   (2023/8/27 22:33:39)

後藤ひとり ◆> あ、は、はいいですよ……お部屋作りますね   (2023/8/27 22:33:58)

スレッター･ﾏｰｷｭﾘ ◆> ありがとうございます   (2023/8/27 22:34:35)

後藤ひとり ◆> 作りました……   (2023/8/27 22:34:39)

スレッター･ﾏｰｷｭﾘ ◆> はいりましたぁー   (2023/8/27 22:35:10)

後藤ひとり ◆> ではこちらは抜けます……   (2023/8/27 22:36:03)

おしらせ> 後藤ひとり ◆qdBZ5U32c6さんが退室しました。  (2023/8/27 22:36:05)

スレッター･ﾏｰｷｭﾘ ◆> とー   (2023/8/27 22:36:10)

おしらせ> スレッター･ﾏｰｷｭﾘ ◆VpeFG8lScoさんが退室しました。  (2023/8/27 22:36:13)

おしらせ> 吉田優子さんが入室しました♪  (2023/8/27 23:08:18)

吉田優子> 戻りましたぁー……。大人しそうに見えて、結構過激な方々でしたね……。（はふ。所要を済ませてあとは寝るだけ…ですが、せっかくなので寝る前にお邪魔しちゃいましょう。）   (2023/8/27 23:10:33)

おしらせ> 桜衣乃さんが入室しました♪  (2023/8/27 23:30:15)

桜衣乃> こーんばーんはっ♪　日曜日の夜分お疲れ様でーす♪   (2023/8/27 23:30:52)

吉田優子> あ、っ…イノちゃん、こんばんは。お久しぶりですっ。（手をひらひらっと…）   (2023/8/27 23:33:33)

桜衣乃> この優子ちゃんは……シャミ子ちゃん！　お久しぶりです〜♪…もしかして、ちょいと奥で遊んできたあとですか〜？♪（ややお疲れそうなお顔を見ては、お隣にぽふりと座ります…）   (2023/8/27 23:36:28)

吉田優子> こっちの私とあっちの私……？ふぇあ…訳解んなくなっちゃいますけど。はい、イノちゃんに仲良くしてもらってる私ですっ。…いえ、その…奥では遊んでません。けど、昨日と今日で、たくさんお友達ができて…楽しかったですっ…！（ちょっと疲れてる風に見えるんでしょうか…。目をごしごし軽く擦り、お隣のイノちゃんに寄り添って…）
  (2023/8/27 23:38:59)

桜衣乃> あれ？過激な方々というのは"そういう"方ではない？ふふ、早とちりでしたね♪　さて、今日は日曜日……お休みがあっという間に終わってしまいました……。　私も今日はうとうとが近いので〜……（寄り添うシャミ子ちゃんに肩を預けて…♪）　一緒におやすみしませんか〜♪
  (2023/8/27 23:42:32)

吉田優子> あ、はいっ。…もう夜中で日付が変わりますもんね……。私で良ければ、喜んで……。（ちらり、と鍵をお見せして、ここと奥、どちらにします？と問い掛けて。）   (2023/8/27 23:46:11)

桜衣乃> もちろん奥で〜♪今宵は一緒にふたりだけでおやすみし〜ましょっ♪（と、鍵を持つシャミ子ちゃんの手を取って…♪）   (2023/8/27 23:49:02)

吉田優子> ありがとうございますっ。では、向かいましょっか…。（手を取ってもらい立ち上がると、一緒に奥のお部屋へ…）   (2023/8/27 23:50:35)

桜衣乃> 【はいりま〜したっ♪　それでは奥で〜♪】   (2023/8/27 23:50:50)

おしらせ> 桜衣乃さんが退室しました。  (2023/8/27 23:50:54)

おしらせ> 吉田優子さんが退室しました。  (2023/8/27 23:51:31)

おしらせ> 小鳥遊ホシノさんが入室しました♪  (2023/8/30 02:07:42)

小鳥遊ホシノ> ふぁ、今晩は〜…♪初めましてのお部屋だけど、入っちゃって大丈夫だった、かなぁ？   (2023/8/30 02:08:28)

小鳥遊ホシノ> さすがにこの時間、おじさんと一緒に話でもしたい〜って人はいなさそうかな？もっと早い時間に来れたら良かったんだけど、ちょっと野暮用がね〜…   (2023/8/30 02:16:01)

小鳥遊ホシノ> ROMさんはいるけど、って感じかぁ…まぁ、来たばっかりの人とお話なんてって気持ちも分からなくはないんだけどね……見てるだけだとおじさん、だらだらしてそのまま寝ちゃうよ〜…？   (2023/8/30 02:21:33)

小鳥遊ホシノ> 今日は自己紹介だけで帰ろうかな……？えーっと…アビドス高校3年生、一応対策委員会の委員長を務めてる小鳥遊ホシノだよ…♪まぁ、おじさんはのんびりしてることが多いから、出会う機会があったら一緒にのんびりしてくれたら嬉しい、かな♪それじゃあ、またね〜♪
  (2023/8/30 02:31:05)

小鳥遊ホシノ> おやすみなさーい♪   (2023/8/30 02:31:27)

おしらせ> 小鳥遊ホシノさんが退室しました。  (2023/8/30 02:31:31)

おしらせ> 倉内安奈さんが入室しました♪  (2023/8/30 02:45:56)

倉内安奈> お久しぶりにこんばんはーっ。…とと、つい先程まで先客様がいたみたいですね。タイミングが合わなかったようで残念です。   (2023/8/30 02:47:02)

倉内安奈> 眠る前の軽い気持ちの来訪です。添い寝してくれる方…いるようならお待ちしています(ぺこり   (2023/8/30 02:48:13)

倉内安奈> 今日のところは引き上げさせていただきましょうか。また気が向いたら来ますね。それでは失礼します(ぺこり   (2023/8/30 03:00:03)

おしらせ> 倉内安奈さんが退室しました。  (2023/8/30 03:00:56)

おしらせ> 小鳥遊ホシノさんが入室しました♪  (2023/8/31 01:52:48)

小鳥遊ホシノ> 今夜も今夜でこんばんは〜♪おじさんだよ♪またのんびりお話し相手でも待ってみようかなぁ.   (2023/8/31 01:53:31)

小鳥遊ホシノ> さて，夜更かししてる悪い子他にもいることを願いながらのんびりしようかな♪（誰もいないお部屋内．ソファが空いているのを見ればそのままうつ伏せに寝転がり）   (2023/8/31 01:57:18)

おしらせ> 東北ずん子さんが入室しました♪  (2023/8/31 01:59:12)

東北ずん子> よふかしずんだですよー(ずずいっとへやにはいってずんだ餅を提供するずんだです   (2023/8/31 02:01:05)

小鳥遊ホシノ> およ，いらっしゃいませ〜♪初めましてだね〜♪（提供されたずんだ餅をうまうま♪って頬張りながらふりふり）   (2023/8/31 02:01:59)

東北ずん子> こんばんはー、初めまして東北ずん子です(ぺこりっと軽くお辞儀して　ふふ、美味しそうに食べてくれる人は好きですよ！(とてとてっととなりにすわって   (2023/8/31 02:08:23)

東北ずん子> はじめましての挨拶が久しぶり過ぎて色々まよったずんだです！悪戯とか悪戯とか悪戯で何とかしてる人なので   (2023/8/31 02:09:38)

小鳥遊ホシノ> これはこれはご丁寧に♪わたしは小鳥遊ホシノだよ…♪ずんだ餅って優しい甘さがしていいよね．あんまり食べる機会が無いのが玉に瑕かな？（隣に座ったずん子ちゃんににへり）   (2023/8/31 02:10:10)

小鳥遊ホシノ> うへ，おじさんにイタズラはしなくていいと思うよ？   (2023/8/31 02:10:27)

東北ずん子> 実際私も最近あんまり食べてない(時折食べるのがいいんですって頷いて)えー、ホシノさんは可愛いからいたずらしがいがありそうですけど。へりませんよ！まぁ、とはいえ何かやつってわけでもないんですけどねー(はふーっとせをのばし   (2023/8/31
02:11:35)

小鳥遊ホシノ> そもそもなかなか無いしね，ずんだ餅．いやいや，おじさんよりずん子ちゃんの方が可愛いよ〜？イタズラかぁ…メジャーなところで言えばいきなりほっぺに冷たいもの当てたり，脅かしたり？   (2023/8/31 02:14:35)

東北ずん子> もっとずんだもちをひろめなきゃ(使命感　いやぁ、私はこういう感じしてますけど残念系ですし…しかし、ずいぶんとかわいらしい悪戯ですねぇ(懐かしむように目を細め)そろそろ、脅かすようなのも時期過ぎたでしょうか、いつのまにか九月近くてびっくりですっ  
(2023/8/31 02:17:53)

小鳥遊ホシノ> うへ，謎の使命感に駆られてるね〜．無理はしちゃダメだよ？残念系．それはそれで守ってあげたくなる感じで可愛いんじゃない？（全肯定おじさん）ほら，初めましてなら出来てそれくらいじゃない？わからないけど♪なんならもうあと24時間後には9月だしね〜．歳をとると時間が過ぎるのがあっという間だよ．
  (2023/8/31 02:20:37)

東北ずん子> 初めてでも気にせずがっつり悪戯するずんだです、よろしくお願いします…というか、地味に恥ずかしいですね！(あわわっと、ちょっと顔を赤らめて)そうなんですよねー、いつの間にか時間が過ぎちゃっててびっくりなんですよー。もう９月とか受け入れられなそうです(むーっと目を細めて)
  (2023/8/31 02:25:50)

小鳥遊ホシノ> ガッツリイタズラかぁ，それもまた若気の至りってやつだね，多分♪（よしよし♪顔を赤らめてるずん子ちゃんを撫でて）9月は夏休みが終わって絶望を感じる学生ちゃんも沢山居そうな月だしね？まぁ，おじさんはあんまり普段と変わらないけど…．  
(2023/8/31 02:28:16)

東北ずん子> ふへへへへー、ホシノさんにも悪戯を(わきわき、素直に頭を撫でられ手を出すわけでもないけど)涼しくなったらとりあえずお片付けしたいなぁって……今年は大掃除を、します！こう、お部屋をもう1割くらいはお片付けしたいです(むーん   (2023/8/31
02:30:47)

小鳥遊ホシノ> だからおじさんにはしなくていいんだってば〜，もう♪（わしゃわしゃ）涼しくなったらやる〜って言ってて気がついたら寒くなったから暖かくなってから，ってならないようにね？（とおいめ）おじさんもたまには部屋の掃除しないと．ものが少ないから助かってるけど．
  (2023/8/31 02:34:20)

東北ずん子> 今日の所はしないので安心してください(軽くホシノさんにだきついて)わかる……というか大体そうなるやつ！一緒に掃除しましょうよ、誰かとやるってなったらなんかこう、やる気が手ますし   (2023/8/31 02:39:14)

小鳥遊ホシノ> いつかはするんだね？（苦笑い）うへ〜，おじさんは身体がきついからなるべく動きたくないんだけどなぁ．ずん子ちゃんがおじそんのお部屋も掃除しておいてくれれば…．   (2023/8/31 02:40:34)

東北ずん子> 誰かの掃除をするのは全然いいんですけどね(こくこくっと小さくうなずいて私は自分でやるってきめないとやらないタイプだと思うんですよねー…やるきっていうかなんていうか。きっかけがほしいところですねぇ(何かしらあればちがうんでしょうかねー  
(2023/8/31 02:48:00)

小鳥遊ホシノ> やるって決めたらやるだけ偉いと思うよ？おじさんなんて悲惨だしね？まぁ，ほんとにやらなきゃ行けない時は何とかするけど．きっかけかぁ…大晦日とか？すごく先だけど   (2023/8/31 02:52:05)

東北ずん子> 来年から本気出す！　実際、大晦日っていいタイミングですねー、その時にちゃんとお掃除するのは良さそうです(こくこく   (2023/8/31 03:00:30)

小鳥遊ホシノ> うーん…このやらなさそう感は凄いねぇ．ま，その大晦日にはだいたいコタツでゴロゴロするって使命があるんだけどね♪   (2023/8/31 03:02:14)

東北ずん子> みかんとおもちもほしいですー、やっぱりむしむししてこまっちゃいます(うえー   (2023/8/31 03:03:57)

小鳥遊ホシノ> 結局やるやらないは個人のやる気の問題かぁ．つまり思い立ったが吉日．早めにやろうってことで？   (2023/8/31 03:06:43)

東北ずん子> そうですねー、明日にでもやろうかなぁ(うーんっと小さくうなって   (2023/8/31 03:10:14)

小鳥遊ホシノ> 平日に！？なかなか勇気あるね〜．それ言ったら平日のこの時間に起きてるおじさんもどうなのってなりそうだけど〜．   (2023/8/31 03:11:42)

東北ずん子> そういえばねれないんでしょうか？わたしはまぁ、明日はゆっくりできますけど。このじかんにねるとお昼まで寝ちゃいますよ！(よくやるやつ)   (2023/8/31 03:17:06)

小鳥遊ホシノ> まぁ，そうだね〜？半分諦め？おじさんはいつものんびり夜更かししてるからあんまり気にしなくて大丈夫だよ♪朝起きて，お昼にお昼寝してってかんびでやってるし♪   (2023/8/31 03:18:52)

東北ずん子> なるほど、それならよかったですけど、私もそろそろ眠気がでてきたような。はふ(のびー   (2023/8/31 03:23:11)

小鳥遊ホシノ> そっかそっか♪それなら無理しないで寝ちゃった方がいいよ♪おじさんもお話し相手がいなくなったら自動的に寝るだろうし？   (2023/8/31 03:24:14)

小鳥遊ホシノ> 寝ちゃったみたいだね〜？おじさんも寝よっか，お話してくれてありがとね♪ずん子ちゃん？（寝息を立てている彼女をなでなで）   (2023/8/31 03:46:19)

