/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月09日 13時36分 ～ 2018年06月11日 09時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

フカ次郎> いや、大丈夫……14時からちょっと野暮用だから   (2018/6/9 13:36:14)
リグル・ナイトバグ> (とりあえずちょっと暖かめのお茶を淹れてからソファにぽすっと腰を下ろして)…この気温差とかで体調を崩す人が出ないと良いんだけどね。(お茶をちびちびと飲みつつ、はふぅっと息を吐いて)   (2018/6/10 13:03:19)

おしらせ> 東北きりたんさんが入室しました♪  (2018/6/10 13:23:10)

おしらせ> 無言時間が20分を超えたため、リグル・ナイトバグさんが自動退室しました。  (2018/6/10 13:23:20)

東北きりたん> どうも、低血圧で……あれ？口上の前に御退室されてしまいましたね……。   (2018/6/10 13:23:58)

東北きりたん> んー……お久しぶりにリグルさんがいらしたのでご挨拶にと思いましたが……。まぁ、元々長居はできない身なのです。早々に引き上げてしまいましょう。（いそいそと、机のしたにもぐってそのまま消えるのです。）   (2018/6/10 13:25:46)

おしらせ> 東北きりたんさんが退室しました。  (2018/6/10 13:25:54)

おしらせ> 結月ゆかりさんが入室しました♪  (2018/6/10 13:28:12)

結月ゆかり> （お大事に、ときりたんさんに念を送っておきますね。私は汗流しです。）   (2018/6/10 13:28:42)

おしらせ> 結月ゆかりさんが退室しました。  (2018/6/10 13:28:46)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/6/10 13:44:49)

リグル・ナイトバグ> きりたんとゆかりさんには後で土下座をしておかなきゃ。(うとうととしてしまっていたと唸り。むむむ)   (2018/6/10 13:46:03)

リグル・ナイトバグ> ――と、一旦戻っておこうかな。(首をぷるぷるっと振って。ちょっぴりお昼寝をしに行こう)   (2018/6/10 13:49:53)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/6/10 13:49:58)

おしらせ> 九条カレンさんが入室しました♪  (2018/6/10 16:09:12)

九条カレン> 【お部屋はリビングで】   (2018/6/10 16:09:27)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/6/10 16:29:31)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/6/10 17:05:43)

リグル・ナイトバグ> (相変わらずのリビングに設定をしつつ――)…んー……お昼寝のおかげか身体が軽いね。(半端な時間にお邪魔になっちゃってはいるけれどと。寝不足と言う訳じゃ無いから今日の雨にちょっぴりやられた位の感覚だった様子。とりあえずソファにダイブしとこう。とりあえずとは)
  (2018/6/10 17:08:05)

おしらせ> 九条カレンさんが入室しました♪  (2018/6/10 17:11:50)

九条カレン> 失礼するデース！   (2018/6/10 17:12:45)

リグル・ナイトバグ> ん、こんばんはだね。カレンさん。(ソファでごろごろはしていたけれど身体を起こして。小さく手を振って)   (2018/6/10 17:14:27)

九条カレン> こんばんはデース！(隣に座って挨拶して)   (2018/6/10 17:15:06)

リグル・ナイトバグ> 雨とかに降られなかったかな。(首を傾げ、喉が少し乾いたのか立ち上がりつつ一旦奥の方へと向かい。…場所によっては違うかもしれないけれど今日はほぼ一日中雨だったと言う可能性もあるだろうしって)   (2018/6/10 17:19:08)

九条カレン> 傘があったので大丈夫デース…(私の中の人の所では雨が酷かったデース   (2018/6/10 17:20:59)

九条カレン> まあ傘があったので大丈夫でしたが)   (2018/6/10 17:21:19)

リグル・ナイトバグ> ふふ、それなら安心かな。時々凄い降りにはなっちゃうみたいだったけど。…部屋に入る分は雨もまだ良い…って思ったけどそうでも無かったりする時はあるからね。(気圧とか気圧とか気圧、気圧の事を恨めしそうに思ってそうな位気圧って言ってた。カレンさんに紅茶を、自分は緑茶を淹れつつ差し出しとこう)
  (2018/6/10 17:25:54)

九条カレン> デスねー！(私も気圧とかは頭も痛くなるし嫌だなーなんて思いながら淹れてくれた紅茶を飲みつつ)   (2018/6/10 17:28:32)

リグル・ナイトバグ> 気圧の変化で身体に起きる影響って結構あるからね…頭痛くなったり、眠気が増したり…と。お昼寝はして眼は冴えて、寝足りないって訳じゃ無いけれど若干ボーっとしてたりねって小さく欠伸を漏らし。漏れる其れを噛み殺そうとは思いつつもこれも全て気圧の奴って所為なんだ！)
  (2018/6/10 17:35:10)

九条カレン> はい、私はよく頭痛に悩まさせてるデース…(あの頭痛がどうしても慣れないなんて思いつつ眠気もすごいあるけどねっ)しかも明日も雨デース   (2018/6/10 17:37:36)

リグル・ナイトバグ> 下手すると暫く雨って言う、いや、6月だからね……(恐らく、身体が慣れて来た所で…みたいなパターンかもしれない。カレンさんの頭をぽんぽんっとしてから)――…ん、私はお時間もお時間だから一旦戻っておくね。(またね、と告げて。笑みを浮かべ…どうぞどうぞって言うようにポケットに入ってた飴をあげとこう。糖分補給で少しはマシになるかもしれないし――)――っという訳で、またっ！(手をブンブンしつつお部屋の扉へ)
  (2018/6/10 17:39:28)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/6/10 17:39:34)

九条カレン> お疲れ様デース…(飴を受け取って、手を振りつつ)   (2018/6/10 17:41:13)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/6/10 18:01:34)

おしらせ> 京塚志温さんが入室しました♪  (2018/6/10 18:43:29)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/10 18:50:17)

京塚志温> あら、こんばんは～   (2018/6/10 18:50:43)

霍青娥> こんばんは〜（ご挨拶しながら部屋の中に入ると初めまして？と微笑みかけて   (2018/6/10 18:51:00)

京塚志温> 初めてましてですね？えっと京塚志温です…(ぺこりと挨拶をしつつ、中の人は勇とかカレンですよって)   (2018/6/10 18:52:41)

霍青娥> よろしくね、青娥よ（そう言いながら微笑みかけてご挨拶しながら疲れた〜とソファに横になり   (2018/6/10 18:53:12)

京塚志温> お疲れ様…(ニコリと微笑みつつも、)そうね、もう夜ですもんね…   (2018/6/10 18:54:11)

霍青娥> んふふ、大人の時間ね（そう言いながら微笑みかけて言いつつゆったりとゴロゴロとしていて   (2018/6/10 18:54:59)

京塚志温> そうですね…(私も眠たそうにソファーに座りつつ)   (2018/6/10 18:55:31)

霍青娥> んふふ〜、さて、ちょっとご挨拶に来ただけだから出るわね…またご飯やらお風呂やら済ませたらくるわね〜（そう言いながら投げキッスをしていなくなり   (2018/6/10 18:56:34)

おしらせ> 霍青娥さんが退室しました。  (2018/6/10 18:56:38)

京塚志温> ～///行ってらっしゃいね～///   (2018/6/10 18:57:22)

おしらせ> マシュ・キリエライトさんが入室しました♪  (2018/6/10 19:25:46)

マシュ・キリエライト> こんばんは、お邪魔いたします   (2018/6/10 19:26:10)

京塚志温> あら～こんばんは～私は京塚志温よ…よろしくお願いします？(ぺこりとお辞儀をして)【カレンとか忍の中の人なのです】   (2018/6/10 19:27:31)

マシュ・キリエライト> はい。マシュ・キリエライト、通りすがりの公務員のようなものとご理解いただければ幸いです（了解しました。不肖マシュ・キリエライト、本日は原点回帰のわたしです）   (2018/6/10 19:28:40)

京塚志温> 公務員ですか～お疲れ様です～(ざっくりしてるけど別にいいかと思いつつ)よろしくお願いしますね？【カレンとか綾にも戻せますがどうします？】   (2018/6/10 19:29:50)

マシュ・キリエライト> （お気遣いなく。はじめましては何度経験しても喜ばしいものと判断します）はい、こちらこそ。ふつつかなわたしですが、これをご縁によろしくお願いしたいと思うのです   (2018/6/10 19:31:19)

京塚志温> よろしくお願いしますね～(ニコリと微笑みつつも)私はお仕事と言えるかは分かりませんが…マンションの管理人してます～   (2018/6/10 19:32:00)

京塚志温> 【ありがとうございます、初めての也なので不自然でしたらすいません、】   (2018/6/10 19:33:04)

マシュ・キリエライト> ……まんしょん。共同生活の場を束ねていらっしゃるのですね。大変に興味深いです。ちょっとあこがれです（秘密魔術組織で生まれ育ったわたしにとっては、外の世界でお過ごしの方はそれだけで新鮮なのです）   (2018/6/10
19:33:28)

マシュ・キリエライト> （大丈夫です、わたしもぽこぽこ知人を増やすことについては人後に落ちません。肩慣らしにご活用いただけるなら、わたしも嬉しいのです）   (2018/6/10 19:34:27)

京塚志温> まあそんなに大規模のものでもないですけどね…(念押しもしつつ)貴方は一軒家なのかしら？【なら良かったです】   (2018/6/10 19:35:49)

マシュ・キリエライト> （あれーっ、と困ってしまうわたしです。よもや秘密魔術組織の移動基地に住んでいる、などとは言えません）わたしは……仕事の関係で旅から旅です。さすらいの旅人さんなのです（少し強がって胸を張ります……）   (2018/6/10
19:38:30)

京塚志温> 旅人…凄いですね？(怪しい感じもするがおっとりして何も気にしないこのお姉さん)【と、1度離席します、すぐ戻ります】   (2018/6/10 19:39:55)

マシュ・キリエライト> それほどすごいかどうかは判断の余地があるのですが……ともあれ、いってらっしゃい、しおんさん   (2018/6/10 19:40:27)

京塚志温> そうですね…でもなんか憧れちゃいます…♪【はい、なるべく早く戻ります】   (2018/6/10 19:41:44)

マシュ・キリエライト> （ご無理なさらず、どうぞごゆっくり）そう、なのですか？　……ありがとうございます、そうおっしゃっていただけるなら、なんだかわたしもうれしいです   (2018/6/10 19:42:28)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/10 19:48:41)

マシュ・キリエライト> こんばんは、せいがさん   (2018/6/10 19:49:04)

霍青娥> ふぅ…ただいま〜（そう言いながらご挨拶しながら部屋の中に入ってくると今回は普通の服と同じだけどお風呂上がりなので薄くネグリジェのような服でいて首にタオルをかけていて   (2018/6/10 19:49:39)

霍青娥> こんばんは、マシュちゃーん   (2018/6/10 19:49:46)

京塚志温> ただいま…   (2018/6/10 19:49:47)

霍青娥> ただいま〜志温ちゃんっ   (2018/6/10 19:50:24)

マシュ・キリエライト> おかえりなさい、しおんさん。ごらんのとおり、むやみにリラックスされた方がいらっしゃいますが、仕様です。皆様の忍耐に感謝します   (2018/6/10 19:50:24)

京塚志温> あら？おかえりなさい～♪>青娥 だ、大丈夫よ～♪えっととにかくよろしくお願いね>マシュ   (2018/6/10 19:51:03)

霍青娥> お風呂上がりだからね、仕方ないわね（そう言いながら太ももや胸元がバッチリ見えている姿で、下着はちゃんと下はつけていて…冷蔵庫からビールを取り出して   (2018/6/10 19:52:06)

マシュ・キリエライト> （右を向き、左を向き、大まかな事情を推測して肩をすくめます。ラブ行為まみれのこの部屋では日常と判断します）了解しました、しおんさん。おおむね推察しましたので、お気遣いなく   (2018/6/10 19:52:33)

京塚志温> あらま～なんとだらしないの…(なんか凄い格好、大して自分は普通の服装で>青娥 え、ええ…大丈夫なら良かったわ♪>マシュ   (2018/6/10 19:53:23)

霍青娥> んふふ、こういうところでかしこまってもね（そんなことを言いつついつのまにか枝豆を茹でてそれを持って来てソファに座りながら二人も飲む？と首を傾げつつビールのふたを開けてごくごく   (2018/6/10 19:59:31)

マシュ・キリエライト> お言葉ですがせいがさん、茜さんならともかくわたしは未成年です。お気持ちだけ受け取りますので、どうぞお気遣いなく   (2018/6/10 20:00:11)

京塚志温> ん、私は20歳だから飲めるわ～♪(うなづいて酔っ払う描写がないからオリジナルですが)   (2018/6/10 20:00:30)

京塚志温> あら～マシュちゃんは未成年なのね…大人っぽい見た目だから間違えちゃった…   (2018/6/10 20:01:30)

マシュ・キリエライト> そうなのでしょうか？　好ましい評価にはお礼申し上げますが、不肖マシュ・キリエライト、こう見えて日本国内の基準に照らせば未成年なのです   (2018/6/10 20:02:18)

霍青娥> 炭酸ジュースとかもあるわよ（そう言いながらマシュに取り出して見せつつゆったりと志温ちゃんにビールを渡してあげて   (2018/6/10 20:02:27)

京塚志温> ええ…ちなみにお幾つで？>マシュ ありがとうね～♪(受け取りつつ飲んでみて)   (2018/6/10 20:03:24)

マシュ・キリエライト> （ノンアルコールであれば警戒する必要はないと判断します。気にはなりますが、お相伴にあずかることにしましょう）では、こちらのりんごソーダを……＞せいがさん　2000年7月30日生まれですので、数えで18歳ですね＞しおんさん  
(2018/6/10 20:04:42)

京塚志温> まあ…私の従妹と一歳違しかない…(花音よりも一切だけ年上だと知って驚き)>マシュちゃん   (2018/6/10 20:05:54)

霍青娥> そうなのねぇ、わたしもハタチ越えてるかと（そう言いながらりんごソーダを渡しつつゆっくりとビールを飲みながら枝豆にぱくついていて   (2018/6/10 20:05:55)

マシュ・キリエライト> （正直に申し上げると、わたしの誕生日は先輩がゲームを始められた時期なので不定です。便宜上、最もリリースの速いandroid版のサービス開始日を誕生日に推定しています）   (2018/6/10 20:06:26)

マシュ・キリエライト> おとなっぽい、のでしょうか？　ありがとうございます、こう見えて世間知らずなので、もしかしたら無意識にご迷惑をおかけしているかもなのです   (2018/6/10 20:07:47)

京塚志温> 青娥さんはたしかに大人っぽいわ～>青娥 (なるほどなのです、メタい話ですが把握しました)ええ…花音ちゃんの可愛さと違って綺麗な感じ…>マシュ   (2018/6/10 20:08:40)

霍青娥> よろしくね（マシュに微笑みかけつつゆったりとお酒を飲みながら）ふふ…ありがとう♥（志温に微笑みかけて   (2018/6/10 20:09:50)

マシュ・キリエライト> お、恐れ入ります……大人っぽいと評価されたのは初めてです。その、少し恥ずかしいですが、同時に嬉しさも感じます   (2018/6/10 20:10:17)

京塚志温> ええ…(ニコニコと)私の従妹は17歳よ…>マシュ こちらこそ…♪(嬉しそうに)>青娥   (2018/6/10 20:11:13)

マシュ・キリエライト> 従妹さん、ですか。年齢の近い方には興味を覚えます。（秘密魔術組織は同年輩の方が圧倒的に少ないのです。新鮮な情報と判断します）   (2018/6/10 20:12:30)

京塚志温> ええ…まだ今度会えたら呼んでみるわね…きっと仲良くなるわ…ただ人見知りだから…♪>マシュちゃん   (2018/6/10 20:14:00)

霍青娥> んふふ…（ゆっくりとそのまま飲みつつ、なくなるとお代わりしてプシュッとプルタブを開けて   (2018/6/10 20:14:04)

マシュ・キリエライト> 了解しました。その時を楽しみにしています＞しおんさん　それにつけてもせいがさんはハイペースです。いかに幻想種とはいえ、いささか飲みすぎと懸念します   (2018/6/10 20:15:01)

霍青娥> 大丈夫よぉ&heartsマシュちゃんは真面目すぎ〜♥（そんなことを言い楽しそうに笑いつつクスクス笑っていて、酔っているどう見ても酔っている   (2018/6/10 20:16:05)

京塚志温> ぇぇ…楽しみにしててね♪>マシュちゃん 幻想種？…(不思議そうに青娥を見つめて)   (2018/6/10 20:16:26)

マシュ・キリエライト> ……あ。業界用語のようなものです、しおんさん（いけません、うっかりしていました。カルデアのこと、魔術がらみのこと、皆さん顔見知りのような気がしていたのでセキュリティ意識が薄くなっていました）　お言葉を返すようですが、せいがさんは不真面目すぎです。いくらなんでも緩みすぎです
  (2018/6/10 20:17:53)

京塚志温> なるほどね…～♪まあなんでもいいわ～♪(私もほんのり酔っていてにこやかに笑いつつ)   (2018/6/10 20:18:54)

霍青娥> だってわたしは邪仙…堕落こそ至高よ♥（そう言いながらマシュの隣に来て微笑みかけて、隣に来ると大きな胸の谷間がよくマシュには見えていて   (2018/6/10 20:19:44)

京塚志温> 邪仙…？(人間じゃなかったのねって)   (2018/6/10 20:20:59)

マシュ・キリエライト> もう……そうやっていたいけなハルファスさんとラブ行為に及んだのも、マシュっとお見通しです（困ったせいがさんです。困った方ですが、お色気で迫られるとちらちらと気にしてしまうわたしでもあるのです）   (2018/6/10
20:21:32)

霍青娥> そうよ、堕落した仙人って感じ（志温に伝えつつ）んふふ…ハルファスちゃんに伝えて…もっとしましょうねって♥（相手に言われるとクスクス微笑みながら恥ずかしげもなく言いつつ気にしている感じにキュンと来てそのまま谷間を強調して   (2018/6/10
20:23:38)

京塚志温> そうなのね～>青娥   (2018/6/10 20:24:16)

マシュ・キリエライト> 了解しました。ともあれ、ご伝言は承りました。お手柔らかに、とは申し添えます＞せいがさｎ   (2018/6/10 20:25:05)

霍青娥> はぁい♥（マシュにクスクス笑いながら手をあげて言って）そうよ〜（志温に微笑みかけつつ妖艶な笑みでいて   (2018/6/10 20:26:21)

京塚志温> 不思議な部屋なのねここ…(妖艶な笑にドキドキして)   (2018/6/10 20:27:10)

マシュ・キリエライト> はい。人類も人類以外も、女性を愛する女性であれば無差別に来訪しています。ご利用は計画的に、と申し添えます＞しおんさん   (2018/6/10 20:28:16)

京塚志温> 私はそういうのは気にしないわ～(ぽわーっと笑みを浮かべ)悪い人じゃ無さそうだし～>マシュちゃん   (2018/6/10 20:29:17)

マシュ・キリエライト> そうでしたか、了解しました。であればわたしから申し上げることもございません、良いラブを   (2018/6/10 20:30:01)

霍青娥> んふふ…可愛い子ばっかりよ（そう言いながらゆったりとしつつ足を組みつつゆったりビールからワインに変わっていて   (2018/6/10 20:30:12)

京塚志温> なら良かったわ～>青娥 ええ…♪>マシュちゃん   (2018/6/10 20:31:20)

マシュ・キリエライト> （せいがさんは酒豪と判断します。茜さんをぶつければ酒豪同士で対消滅するのでしょうか。益体のない嗜好を打ち切り、しおんさんに微笑みを返します）   (2018/6/10 20:32:25)

霍青娥> んふふ（微笑みかけつつゆっくりとワインを飲みながらゆったりしていて   (2018/6/10 20:33:43)

京塚志温> ～♪(笑みを浮かべつつほんのり赤くなって)   (2018/6/10 20:34:01)

マシュ・キリエライト> （ゆったりされているのであれば、いささかおつまみなど必要でしょうか。冷蔵庫内を創作しています……）   (2018/6/10 20:34:38)

マシュ・キリエライト> （捜索、ですね。わたしもちょっと駄目な感じで推移しています）   (2018/6/10 20:34:54)

霍青娥> んふふ…（冷蔵庫の中をマシュが捜索しているとこちらは志温にゆっくりと近づいて見つめていて   (2018/6/10 20:35:47)

京塚志温> あら～♪？(近づかれると首を傾げて、青娥よりは大きくないけど胸をぽよんと揺らし)   (2018/6/10 20:36:52)

マシュ・キリエライト> （一口チーズの詰め合わせとクラッカーを発見します。クラッカーにチーズを搭載してカナッペと言い張ることはできそうです……てきぱきてきぱき……少女盛付中……）   (2018/6/10 20:39:21)

霍青娥> んふふ…（盛り付けているマシュをちらっと見つつも酔っていてる様子でゆっくりと志温の横に来て優しく頬を撫でてあげて   (2018/6/10 20:40:14)

京塚志温> んっ～♪(頬を撫でられると顔をより赤くさせて)積極的ですね♪   (2018/6/10 20:41:23)

霍青娥> ふふ、積極的なのは嫌いかしら？（そう言いながら二人でマシュを待ちつつ志温の頬を優しく撫でてあげていて   (2018/6/10 20:49:57)

京塚志温> ～///♪(照れながらもニコリと)大丈夫ですよ…♪ですが私も食事なので少し待ってくれますか？   (2018/6/10 20:50:37)

マシュ・キリエライト> （ちゃちゃっと即席カナッペをでっちあげたわたしです。お邪魔にならないようにそーっとテーブルの上に置きます）   (2018/6/10 20:50:47)

マシュ・キリエライト> （行ってらっしゃい、しおんさん。また後ほど）   (2018/6/10 20:51:12)

京塚志温> 【はい、なるべく早く戻ります】   (2018/6/10 20:52:03)

霍青娥> いってらっしゃーい   (2018/6/10 20:54:18)

京塚志温> 【はい、それではまた】   (2018/6/10 20:54:51)

霍青娥> ふふ、ありがとうマシュちゃん（相手に微笑みかけつつそのまま相手の作ってくれたカナッペをパクリと食べて美味しい〜と言いつつゆったり味わっていて   (2018/6/10 20:55:00)

マシュ・キリエライト> 恐れ入ります、せいがさん（余ってしまったクラッカーをぱりぱりと食しながら応じましょう。なんだか小動物になったような気分です）   (2018/6/10 20:55:45)

霍青娥> んふふ、マシュちゃんは気持ちいいことはしたことあるの？（そう言いながらゆったりと齧りつつワインを飲んでいて   (2018/6/10 20:58:17)

マシュ・キリエライト> わたしですか？　多寡はともかく、ラブ行為の経験は幾度かありますが……（よもやこの流れは、と思いながらクラッカーを食んでいます）   (2018/6/10 20:59:28)

霍青娥> なるほどねぇ（そう言いながら生真面目そうだからないかと言いながらゆっくりと食べてゆったりとしながら楽しそうにクスクス笑っていて   (2018/6/10 21:01:58)

マシュ・キリエライト> （ないわけではないのです。せいがさんとはないのですが、その、このお部屋に出入りしている方々の例にもれず……それなりに乱れてもいるのです……）は、はあ……（ぱりぱりとクラッカーを食します。どちらかというとルヴァン派のわたしです）  
(2018/6/10 21:03:45)

京塚志温> ただいまよ～♪   (2018/6/10 21:04:28)

マシュ・キリエライト> おかえりなさい、しおんさん   (2018/6/10 21:04:39)

霍青娥> お帰り〜   (2018/6/10 21:05:11)

京塚志温> ええ～♪(ご機嫌そうに)   (2018/6/10 21:05:31)

霍青娥> マシュちゃんが乱れる姿を観察して見たいわ（そんなことを言いながら食べ終わるとご馳走さまとマシュに微笑みかけてそのままゆったりとしながら   (2018/6/10 21:06:11)

マシュ・キリエライト> わたしですか！？（乱れる姿はあちらこちらの過去ログに収録されているような気がするわたしです）　……もう。茜さんやハルファスさんの言う通りです。せいがさんもせいがさんでえっちです   (2018/6/10 21:08:07)

霍青娥> わたしはエッチよ、エッチなこと大好きっ♥みんなが良ければ穴にしてほしいぐらい♥（そんなことを言いながら笑っていて   (2018/6/10 21:10:11)

マシュ・キリエライト> あ、あな、ですか……。（なぜでしょう。せいがさんのオープンな性的嗜好から職場の知人を思い出して顔を覆うわたしです）   (2018/6/10 21:11:23)

霍青娥> ほかにもいるのねぇ…（そう言いながらクスクス微笑みつつ   (2018/6/10 21:13:53)

マシュ・キリエライト> え、ええ、まあ……条件が難しいので、お会いできるかどうかは未知数ですが（行き着く先は殺生院。……必殺技で地球プレイを敢行するようなサイバー大妖怪ですので、出来ればこのままで合わないでいてほしい私です）   (2018/6/10
21:15:22)

霍青娥> なにそれこわい（地球プレイってなに…と思いながら   (2018/6/10 21:15:51)

マシュ・キリエライト> 人生いろいろなのです、あまり深く考えてはいけません（殺生院キアラさん、という方ですね。Fate/Extra CCCの隠しボスから、FGOにも上陸なされた剛の者です）   (2018/6/10 21:17:14)

霍青娥> なるほど（ぐぐり   (2018/6/10 21:17:30)

霍青娥> どういうことなの…（ひえっと声を出しつつ   (2018/6/10 21:19:15)

マシュ・キリエライト> どういうとおっしゃいましても……人生いろいろ、としか申し上げられないのです   (2018/6/10 21:19:55)

霍青娥> …あまり考えないことにしましょうっ（わたしはなにも見てないと思いながらそのままワインをまた飲んでいて   (2018/6/10 21:21:57)

おしらせ> 無言時間が20分を超えたため、京塚志温さんが自動退室しました。  (2018/6/10 21:25:33)

おしらせ> 京塚志温さんが入室しました♪  (2018/6/10 21:25:37)

京塚志温> ごめんなさいね～中の人がぼーっとしてて返信し忘れちゃった～   (2018/6/10 21:26:02)

マシュ・キリエライト> おかえりなさい、しおんさん   (2018/6/10 21:26:04)

京塚志温> 返事出来なくてごめんなさいね   (2018/6/10 21:26:33)

霍青娥> おかえりなさーい   (2018/6/10 21:26:50)

マシュ・キリエライト> お気になさらずなのです。   (2018/6/10 21:26:55)

京塚志温> ええ♪>青娥 ありがとう～>マシュちゃん   (2018/6/10 21:27:21)

京塚志温> 【いないですか？】   (2018/6/10 21:34:49)

マシュ・キリエライト> （失礼しました。ついついクラッカーに集中していたわたしです）   (2018/6/10 21:35:22)

京塚志温> 【はい】   (2018/6/10 21:35:57)

マシュ・キリエライト> ……せいがさん？　先ほどから随分とハイペースですが……大丈夫ですか？   (2018/6/10 21:38:21)

京塚志温> ね、寝ちゃったのかしら？   (2018/6/10 21:44:04)

マシュ・キリエライト> その可能性は否定できません。……ひとまず経過を観察しましょう   (2018/6/10 21:44:33)

京塚志温> そうね…   (2018/6/10 21:45:09)

マシュ・キリエライト> そう言う事もあるのです。いずれにしても、わたしたちは静かに見守りましょう（残余のクラッカーを食べつくしてしまいました。明日の戦闘訓練は念入りにしておいたほうがよさそうです……）   (2018/6/10 21:46:07)

おしらせ> 無言時間が20分を超えたため、霍青娥さんが自動退室しました。  (2018/6/10 21:46:58)

京塚志温> お疲れ様ね…(優しく毛布をかけてあげて)ん？そうね   (2018/6/10 21:47:23)

マシュ・キリエライト> お疲れ様です、せいがさん。（では、私は食器とグラス、酒瓶を撤収することにしましょう。そのまま洗い物などしてみるわたしです）   (2018/6/10 21:48:44)

京塚志温> 私達はどうしましょうか～？(ニコニコと)   (2018/6/10 21:49:46)

マシュ・キリエライト> わたしたち、ですか？　……わたし個人についてはさしたる予定もありませんので、お任せします……（意識してしまって頬に赤みがさすわたしなのです）   (2018/6/10 21:50:47)

京塚志温> こっち来てみない？…♪(胸を揺らしながら膝をぽんぽんと)   (2018/6/10 21:51:25)

マシュ・キリエライト> は、はい……それでは、ご厚意に甘えます（膝枕、というものなのでしょうか。せっかくなので、とぎこちなく膝に頭を乗せるわたしです）   (2018/6/10 21:52:58)

京塚志温> ふふっ…♪可愛いわ…♪(頭を撫でつつも素直な感想をいい)妹みたいね～///   (2018/6/10 21:54:56)

マシュ・キリエライト> お、恐れ入ります……（妹。そうかもしれません。思えばカルデアでは同年代の方もあまりいらっしゃいませんでした。カドックさんと先輩くらいです。わたしの立ち位置として、末っ子なのかもしれません）   (2018/6/10 21:56:19)

京塚志温> ふふっ…本当に可愛いんだから～////(ナデナデしつつそう伝えて)今度は抱きついてみる？   (2018/6/10 21:57:26)

マシュ・キリエライト> だきつく、ですか……このような感じでしょうか？（身を起こしてしおんさんに抱きつきます。体勢上、お胸に顔をうずめているようにも見えるのです）   (2018/6/10 21:58:23)

京塚志温> ふふ…♪(胸を優しく顔に当てて)そうよ…♪それでいいのよ…♪   (2018/6/10 21:59:03)

マシュ・キリエライト> んっ……このような感じ、なのでしょうか……（それにつけてもなんとボリュームのあるお胸でしょう。名だたるサーヴァントにも劣らぬプロポーションです。……甘えてしまって、いいのでしょうか、などと考えてもしまうのです）   (2018/6/10
22:03:25)

京塚志温> そうよ…(優しく胸を押し付けながらも、ちなみに従妹はまなi…)もっと甘えてもいいのよ？   (2018/6/10 22:05:13)

マシュ・キリエライト> （職場にも小ぶりなバストの方はいらっしゃいます。こればかりは永遠の悩みなのです）で、では……不肖マシュ・キリエライト、お言葉に甘えさせていただきます……（しおんさんのお胸に、深く顔をうずめます。おかあさん、とはこのようなものなのでしょうか、と、一瞬切ない感情がよぎるのです）
  (2018/6/10 22:06:41)

京塚志温> ふふっ…(お母さん？姉？のように甘えさせながらも胸をむにゅっと押し付け、優しく撫でる>   (2018/6/10 22:08:24)

マシュ・キリエライト> んっ、ん……っ&hearts:（身体をなでる優しい手。データから推定する母親のようでもあり、それ以外の、ラブ行為に近い手つきも感じてしまうのです。よもやこの人と愛し合えたら、なんてはしたないことを期待しながら、しおんさんに身体をすり寄せてしまうのです）
  (2018/6/10 22:10:57)

マシュ・キリエライト> （♥ を噛みました。今日もうっかりです）   (2018/6/10 22:11:27)

京塚志温> っ…////(子供をあやすように撫でながら身体をすられる感覚に身をよじらせて)こんなんだけもエッチとかはやってないのよね…///(照れながらも)【大丈夫でーす】   (2018/6/10 22:12:27)

マシュ・キリエライト> （意外なことを聞いたので、ぴょこんとお胸の間から顔をのぞかせます）そうなのですか？　失礼かとも思うのですが、手慣れていらっしゃるように見えて、どなたか恋人さんがいらっしゃるのかと、考えていました……   (2018/6/10
22:13:45)

京塚志温> こ、恋人がいるならこんな部屋に通ってられないわよ♪(柔らかい胸を堪能させながらそう伝えて)マシュちゃんはもう体験してるのかしら？…♪   (2018/6/10 22:15:05)

マシュ・キリエライト> （……過去のわたしの行状を思い出して顔に火がつきます。気まずくて恥ずかしくて、それでも事実は事実ですので……）あ、はい……幾度か、その、ラブ行為については、経験が、あり、ます……。   (2018/6/10 22:16:33)

