チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月12日 00時34分 ～ 2023年03月12日 14時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

モリガン ◆> さあ、二人とも召し上がれ♪（二人に手を差し伸べて）   (2023/3/12 00:34:48)
松原花音> わかんないなぁ?   (2023/3/12 03:19:26)

弦巻こころ> 花音は可愛いわね♪眠気がないなら連れ去りたいところだけど…ふふっ♡(ぎゅ♡)とは言っても、あたしもそろそろ限界かしら…(あくび)   (2023/3/12 03:20:29)

松原花音> 私一時期スーファミで格闘王ヨーヨーでぼこってたなぁ   (2023/3/12 03:20:39)

後藤ひとり> ストーンで陰キャして……最後の最後でやられた覚えが……   (2023/3/12 03:21:11)

中野三玖> 今のところ…11分55秒が限界   (2023/3/12 03:21:35)

弦巻こころ> スーファミのカービィもswitchで遊べるものね   (2023/3/12 03:21:42)

後藤ひとり> タイムまで気にしてた……私は勝てればなんでも……   (2023/3/12 03:21:56)

松原花音> えへへありがとうこころちゃん、うんわたしもねむくなければいきたかったなぁ(ぎゅう💕)私もそろそろ限界(ふわぁ)   (2023/3/12 03:22:03)

松原花音> 後はソードとかでハメ技もあったなぁ   (2023/3/12 03:22:44)

弦巻こころ> さて、ごめんなさい。あたしの方が限界みたいだわ。そろそろ寝るわね！みんなも早く休みなさいよ？おやすみなさい♪   (2023/3/12 03:22:57)

おしらせ> 弦巻こころさんが退室しました。  (2023/3/12 03:23:02)

後藤ひとり> スパークのバリア強いです……あとアーマーかっこよくて好きです   (2023/3/12 03:23:06)

後藤ひとり> お疲れ様です   (2023/3/12 03:23:08)

松原花音> お休みこころちゃん   (2023/3/12 03:23:11)

松原花音> スパークはね、うんほんとうあれはずるい   (2023/3/12 03:23:38)

後藤ひとり> バリアがあれば飛び道具系ほぼ無効ですし……   (2023/3/12 03:24:00)

松原花音> なんであんなチートのコピーを作ったのか   (2023/3/12 03:26:09)

後藤ひとり> あれなかったら格闘王はずっとストーンで芋ってました…   (2023/3/12 03:26:34)

松原花音> 私はソードで一生ぼこってたなぁ   (2023/3/12 03:27:05)

松原花音> メタナイトのとこだけめんどくさかったけど...   (2023/3/12 03:27:56)

後藤ひとり> ソードもシンプルで使い易いです……   (2023/3/12 03:28:05)

松原花音> 普通に強いからねぇ   (2023/3/12 03:28:43)

後藤ひとり> かっこいいし……   (2023/3/12 03:29:19)

松原花音> ハメ技できるし...   (2023/3/12 03:29:38)

後藤ひとり> そうなんですね……   (2023/3/12 03:30:15)

松原花音> 相手が攻撃する前に攻撃して延々とそれ繰り返すと相手が攻撃することなく終わります...   (2023/3/12 03:31:17)

後藤ひとり> あー……確かにそれ私も使ってたような……   (2023/3/12 03:31:41)

松原花音> しかもスパークとちがって攻撃はやいですからねソード...   (2023/3/12 03:32:47)

松原花音> 三玖さん寝ちゃった？(つんつん）   (2023/3/12 03:33:58)

後藤ひとり> 確かに攻撃まで遅いですよねスパーク……   (2023/3/12 03:34:06)

松原花音> 溜めないといけないからね...   (2023/3/12 03:34:39)

後藤ひとり> ただでさえジョイコンのスティック壊れかけなのに……   (2023/3/12 03:35:23)

松原花音> 最短でも6秒ないとフルチャージできなかったはず...   (2023/3/12 03:35:57)

後藤ひとり> 試してみよ……   (2023/3/12 03:36:12)

後藤ひとり> スティックガチャガチャしたら2秒弱でした……   (2023/3/12 03:36:44)

松原花音> スーファミ基準なので...あてになるかわからないです...   (2023/3/12 03:36:48)

松原花音> はっや...   (2023/3/12 03:37:10)

後藤ひとり> Switchの方ですからね……多分緩くなってるのかと……   (2023/3/12 03:37:37)

松原花音> ゲームボーイアドバンスでカービィ追加ないかな...   (2023/3/12 03:38:12)

後藤ひとり> 来ますかね……   (2023/3/12 03:38:34)

松原花音> 来そうだけどね...   (2023/3/12 03:38:46)

松原花音> 64もいちおうカービィあるし...   (2023/3/12 03:39:25)

後藤ひとり> ミックスとかすごい面白そうです……   (2023/3/12 03:39:58)

松原花音> ニードル最強なんだよなこれ...   (2023/3/12 03:40:18)

後藤ひとり> あー確かそんな噂は……   (2023/3/12 03:40:31)

松原花音> あれも性能はスパークとほぼいっしょ...   (2023/3/12 03:40:51)

後藤ひとり> そんなこんなでカービィwiiデラックス6－3まで進んでます……   (2023/3/12 03:42:25)

松原花音> 私は64カービィしてる...   (2023/3/12 03:44:06)

後藤ひとり> ていうかそろそろ寝ないと……   (2023/3/12 03:44:35)

松原花音> そうだね...寝ないと...   (2023/3/12 03:45:15)

後藤ひとり> 寝ますか……   (2023/3/12 03:46:03)

松原花音> ねよっか...   (2023/3/12 03:46:33)

おしらせ> 無言時間が25分を超えたため、中野三玖さんが自動退室しました。  (2023/3/12 03:46:49)

後藤ひとり> おやすみなさい……♪(ちゅ)   (2023/3/12 03:48:09)

松原花音> お休みなさい...(ちゅ）   (2023/3/12 03:49:10)

後藤ひとり> ではまた…   (2023/3/12 03:49:36)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/12 03:49:37)

松原花音> また...   (2023/3/12 03:49:45)

おしらせ> 松原花音さんが退室しました。  (2023/3/12 03:49:47)

おしらせ> プラナさんが入室しました♪  (2023/3/12 07:24:55)

プラナ> おはよう世界goodmorningworld（dr.stoneのop）……あの狂乱の夜から一夜明けて。――プラナちゃんです。（ぺこ）   (2023/3/12 07:26:13)

おしらせ> レンさんが入室しました♪  (2023/3/12 07:26:58)

プラナ> ネタバレ配慮も考えましたが――方々でも言われてる通り、「ネタバレなんか気にしてるなら今すぐTwitter閉じてブルアカ読め」が正解だと思いまして。…先生の味方（よいこちゃん）になったプラナは、今日も元気です。――おや。   (2023/3/12
07:28:05)

レン> ふぁ……。ん、珍し…。……今日くらいは、大人しく聞いててやろうか。何か語りたそうだし…(顔をこっそりのぞかせて…襲いかかってもロクな事にならないのも分かってるから、扉の前で立ち止まったまま、じぃいい…。俺は壁だ、床だ)   (2023/3/12
07:28:54)

レン> (あれ、何もない？何もないの？なら遠慮なく、部屋に侵入。静寂保ったままの部屋を進んで…ソファの方へそろそろり)   (2023/3/12 07:33:51)

プラナ> おはようございますレンちゃん先生。（ぺこ。）――――………（あ、気づかない方が良かったやつですがこれ。）…………リテイクです。（こほん。）……「誰もいない部屋で二人きりになったアロナ先輩と先生。何も起きない筈は無く――。『ぁ、先生、だめですいけませんっ♡先生とアロナちゃんがこんな関係になるなんて…♡　え、アロナはosだから合法？――ぁ…♡そんなこと言われちゃったら、アロナは…♡』夕暮れの中重なる二人の影。先生の指がアロナ先輩の穢れを知らない秘密の場所に伸びて行き――」
  (2023/3/12 07:35:03)

レン> お、おはよ。なにもないわけない、よね、うん。(え、何その話。ちょっと口元をひくひく、とさせながら。俺がアロナに手を出すの確定しちゃってる？確かにガチャのピックアップでなさすぎてアロナにお仕置き程度には考えていたけれど、汚れの知らない秘密の場所だとか…意味深すぎて、今度はそっちの意味でついていけんっ！って、ソファの方へずかずかと進んでいき。)
  (2023/3/12 07:38:33)

プラナ> 何か喋った方が良いかと思いまして。――確認ですが、レンちゃん先生は「あまねく奇跡の始発点」はちゃんと読んでますね。大丈夫ですね？プラナは一切ネタバレ配慮とかする気はありませんが。（名取さんとか大丈夫か心配になります。いえーい名取さん見てるー？絶対見てない。いつもブルアカ配信楽しみに見てます！）……いえ、ただの二次創作なのでお気になさらず。むしろアロナ先輩はプラナがおいしくいただきたいです。（とっちゃ駄目です。妄想の中のアロナ先輩、ぎゅ♡してとっちゃ駄目ポーズ。）
  (2023/3/12 07:41:55)

レン> う、うん。それが、どうかした？この前配信されたやつは今途中だけど…別にネタバレしてもいいよ？俺は人から聞くより自分の目で確かめないと気が済まない性分だから。(どんなレビューでも好きなものなら爆死覚悟で購入するし、自分でやってこそのゲームだろう？って、熱弁するオタク。名取のものまねのレパートリー増えるの楽しみにしてるぞっ！)…この前まで奪うだとかなんだとか肉染み一色だったのに、素直になっちゃえば心変わりも早いもんだね(くす。はいはい、取らないよ、取らないからお好きにどうぞ。俺はユウカの太ももさえあれば、それで…。)
  (2023/3/12 07:46:49)

プラナ> なんだって……。（ぴしゃーん。）――いえ、作品を知る方と感動を共有したかったので。……もう凄すぎて昨日は一日ダメになってました。ブルーアーカイブ完結です。――ちなみに続編のイベントが、すぐにあります。…具体的に言うと今日11時から。（早すぎる……！）　一部肯定――レンちゃん先生も読めばわかるかと。…原作基準は、原作を愛する者として最低限のマナーだと思っていますし。…それに大体の事は「あれから色々あった」で大体解決です。プレナパデス先生への見方も180度変わりました。（死んだ目できらきらきら）
  (2023/3/12 07:57:53)

レン> や。昨日は暇だし読もうかと思ったら、呼び出し食らっちゃって…。うぅ……そこは申し訳ない。まさか、こういう焦らしプレイさせることになるとは…(うぐぐ。ソファの上に正座しつつ期待に応えられなくって、ごめんって気まずそうに姿勢をただし。)周年からずっとイベントやってない？ブルアカ大丈夫？一ヶ月くらい虚無期間でもいいんだぞっ、そろそろ休めっ！もういいっ！(…というか止まってほしい。さ、財布が。…はじまりの君へピックアップガチャとかエモいことやってたし、向こうのシロナのガチャとか配布とか、来ちゃう？もしかして。ちらちらっ。)　色々、あったんだな。あれから…何がとは言わないけど、辛いこととかもいっぱい。(死んだ目のプラナの頬をなでなで。)
  (2023/3/12 08:03:13)

プラナ> いえ。そこらは個人の事情ですし、仕方ありません。私も今日にずれていたら明後日まで読めてない可能性はありますし。――でも、時間を作れるなら、読まないよりは読んだ方がいいと思います。…なんなら私を放置して今読んで頂いても。（もう凄いので。とても凄いので。涙腺大決壊でした。プラナは中華ソシャゲの犬です。わおーん。）…この勢いを止めない方向性なのでしょう。それについては賛否両論だと思いますが、スマホ媒体の欠点は無視して長所を最大限に生かす工夫、だとは思います。（ついていけない人はつらいと思いますけど。ついていけると凄く愉しい。覇権を取った今のブルアカだからできること。）――はい。……読んで、感じてほしいので、プラナの口からは何も言えません（おくちチャックしつつ。撫でられる。んー♡って猫っぽく目を細めて、ごろごろ♡）……シロコテラーと、プレナパデス先生ルートが、ヤバすぎました。（情緒めちゃくちゃにされました。スクショ取りに再読したいですが二度と読みたくありません）
  (2023/3/12 08:11:25)

レン> うん、そうするよ。今日は…どうかな、ちょっとやらなきゃいけないことあるし、全部じゃなくっても…うん。きっと完走する、俺も。(…犬なのか猫なのかハッキリしたほうが。あ、でもブルアカの開発って韓国だっけ。ヨースター運営だから中華イメージ凄いけども。とりあえず喉の下を撫でてあげよう。犬猫どっちでもここ撫でると喜ぶし。)まぁ、勢いのある内に出すもん出しちゃえ、っていうのは正解だと思うよ。変に焦らしたり勿体ぶったり、出し惜しみされると……俺も萎え萎えになっちゃうタイプだから。(来るなら早めに来てほしいのも本音。ガチャは…頻度落としてほしい。全部スルーできないよわよわな意志だから。)うん、大丈夫。俺もすぐに追い付くから…。(プラナの頭もぽんぽん、なでなで。よしよし、前よりちゃんと良い子になってるのが…少し気になるけど。)あー…あるよね、そういうの。記憶を空っぽにしてじゃないともう読めないヤツ。感情めちゃくちゃにされたいから記憶消してもう一回楽しみたい、なんてのもあるけど。…しっかし、周年PVから一気にここまで来ちゃったんだね。2周年なんてついこの間だったのに、随分昔に感じるよ…(しみじみ。)
  (2023/3/12 08:19:31)

プラナ> 肯定。――流石のプラナちゃんも原作を重視しない訳にはいきません。滔々と感動を語りたい所ですが、fgoで第一部特異点のお話全部スキップした後で、ソロモン時間神殿のお話の感想会をするようなモノですので、ぐっと我慢します。出来るスーパーOSなので。（とてもすごい。）……ん――♡……それはさて置きンちゃん先生は、プラナちゃんとスキンシップを所望なのですね？（喉を擽る手に手、する♡って重ねて。ふに♡って頬に宛がって…上目遣いで、じー…♡）…プレナパデス先生は計画的にガチャを回してるので、基本的に天井分石が無い時や、性能などを吟味して、スルーする時はスルーしてます。…特に向上は、そのうち引けることも多いですし…。（唯一ノアだけは、ちょっと引かなくて後悔してますけれども。）
  (2023/3/12 08:28:01)

レン> そ、それはあれだけ。聞いてる方がぽかーん、としちゃうやつだ…(あ、はは。)でも、我慢させちゃうのは正直申し訳ないな、って。お話したくて来てるんだろうし…(感想を共感するのもまた楽しみだよ、ってこくんこくん。)　…や、なんかこう…何もされないのは違和感もあって。うん…嫌じゃない、けども…。(ハッ、と手を止めてからするすると指を落としていけば、へにゃりとヘタれ。…ま、まぁプラナの都合次第？そこは…。って、ちらり。)そうなんだよね。欲しい恒常に限ってこないバグ、いつになったら直るんだろ…。俺もアコ出るまで随分かかったし…。(恒常でもほぼピックアップ復刻なんてストーリーに絡まないと無いんだし、ピンと来たら引くべきっ。そのせいで苦しさもある、んだけど…。自業自得である。)
  (2023/3/12 08:34:14)

レン> (あれだけってなんだ、そうだねだよっ。ってけしけし、かきかき。)   (2023/3/12 08:36:46)

プラナ> はい。やはりどうせお話するなら、感動を共有できる方が良いです。（ブルアカのお話が良い！と力説しても。スキップ多めの方とは、やはり感じ方も違うと思いますし。後伏線が多すぎる。タイトル画面の、ケイ人形をつんつんしてるアリスとか。プレナパデス先生の焼け焦げた大事なもの、とか。色々。色々。――思い出すだけで涙腺にくる。ごしごし）……ぁ、いえ。歓送会は、昨晩他の先生とも半分寝ながらしたので大丈夫です。（途中で寝堕ちた子。ぐー。）――そうですね。誘惑して先生をBADENDに導けないのはちょっと残念ですけれど（はぁ、って溜息つきつつ――でも、って。くすり♡そっと耳朶に唇寄せて…）……別に、アロナ先輩に内緒で、アロナ先輩が妹と溺愛（？）する私が、影で先生と悪戯（らぶらぶえっち。）しちゃう展開も、それはそれで…♡（わるいこの、内緒話です。ひそひそ…♡）――あ、でもアコもカズサも全部ピックアップはスルーしてすり抜けで引いているので、プラナちゃんは文句を言えません（だぶるぴーす。そのうちノアも引く事でしょう。）
  (2023/3/12 08:42:46)

レン> 何気ない一枚絵でも、それに意味があるっていいよね。後からそういう意味だったのかって…新しい気付きや発見があるのも楽しいし。考えてる間も楽しい。(…で、真実を突きつけられて突き放される。そんな経験ももちろんある。)そっかそっか。…眠いなら、二度寝…しとく？(目の前で、おーい。)　ひ、ぃっ…(急に耳たぶに寄ってくる唇に思わず身構え。)……うん、うん。そういうのは、隠れてこっそりするから…良いのもある、よね。(悪い子要素はまだまだ健在だった。ちょっと安心。両手を腰に回して聞こえないように、ひそひそ。耳たぶに顔を同じく寄せてから、肯定。隠れて深める関係って…悪い事してる感じあって、うん。ちょっと楽しい…。)っぐぬぬ。自分のガチャだけ優遇してないかそれっ！一向に出ないんだがっ(他のソシャゲだと忘れた頃にぽろっとか、周年で選べるチケット〜なんて便利なものもあるけど、ブルアカにはそれが、ないっ！！)
  (2023/3/12 08:50:51)

プラナ> 部分否定…――今日もシッテムの箱の管理OSとして、仕事がありますので。（土日は基本お仕事勢。）…はい。プラナは、プラナちゃんと名付けられて、先生の味方（よいこ）になりましたが、アロナ先輩の妹分という立場を利用しない手はありません…♡えっち中でしたら、アロナ先輩の事をお姉ちゃんとも呼びますし、それを利用して、レンちゃん先生と気持ちよくなっちゃう事だって、躊躇しません…♡――そこまで時間がある訳でもないですが、すこーし♡…別室で、ご休憩、しちゃいます…？――お、ね、え、ちゃ、ん…♡に、内緒で…♡（ふにって、コートの下の淡い胸の膨らみ。押し付けて…ぎゅぅ…♡ひそ、ひそ…♡）
  (2023/3/12 09:00:27)

レン> …だよね、忙しそうだなー、って…見てたから。(よしよし。頑張ってて、偉いよ)…っ。そ、そうだ、ね…いつまでも此処占領してるような感じにも…なってるし。移動しよっか。時間短くても…いいから、うん。(なんか押し当てられちゃってる、けど。視線を散らして、誤魔化しちゃう感じ。み、見てないし何も感じてないからなっ、俺は。)…ぁ、部屋…どうする？俺が建てる？
  (2023/3/12 09:04:22)

プラナ> はい、レンちゃん先生は素直で可愛いですね…♡（よしよーしって頭いーこ♡いーこ♡）――ぁ、じゃあお願いします。……プラナちゃんは、鍵つきのお部屋だとは入れないので、ご注意下さい。（さ。だっこしてくださいだっこ。お姫様のよーに♡死んだ魚の目で両手差し出しつつ）
  (2023/3/12 09:08:44)

レン> …うぅ。な、なんで俺が褒められて…(何もしてないのに。めそらし。でも、満更でもなさそうに、すりすり。)う、うん。じゃあ…行こっか…。(言われたとおりにするけど…そんなにお仕事、嫌？って問いかけちゃって、一緒にお部屋を後にしよう。)  
(2023/3/12 09:11:47)

おしらせ> レンさんが退室しました。  (2023/3/12 09:11:51)

プラナ> （ふふふー♡）って、あ（お姫様抱っこされませんでした。ふー、やれやれって肩をすくめつつ。短時間のご休憩。てててー♡）   (2023/3/12 09:13:34)

おしらせ> プラナさんが退室しました。  (2023/3/12 09:13:37)

おしらせ> 十六夜ノノミさんが入室しました♪  (2023/3/12 09:34:03)

十六夜ノノミ> ふぁ…、おはようございます～。朝からいろいろにぎやかですねぇ～（気配を感じながら、ソファにぽふんと腰を下ろすとはふーと息をついて）   (2023/3/12 09:37:20)

十六夜ノノミ> いろいろなごたごたについて、とりあえずひと段落ついた形でしょうか。さすが私たちのブルアカ、という感じでしたね～。（ふふーと微笑みをうかべて）一つの山をこえましたけど、山を越えたことでいろいろとありそうですからまだ私の予定は落ち着かなそうですけど…。年度末進行は相変わらずありますし、学校の問題もだいたいそのままですし……でも、皆さんがいますから、きっとなんとかなりますよね（今まで通り…ううん、きっとそれよりもいい方に向かっていってくれるはず。先生だっていてくれますし♪）
  (2023/3/12 09:46:51)

十六夜ノノミ> ん…。寝起きでぼんやりしてましたけど、だんだん目が覚めてきましたね。気候もすっかり温かくなって、春が近づいてるんだなーって気がします……それはそれで眠くなっちゃいそうですけど、のんびりできる時ならそういうのも良さそうですね～♪（窓の外の陽気にふふーと笑みを浮かべて）
  (2023/3/12 10:08:20)

おしらせ> 砂狼シロコさんが入室しました♪  (2023/3/12 10:10:56)

砂狼シロコ> （てててて。）…ん、しごと。（2代目銀行強盗のマスク片手に。行ってきますのちゅー、ほっぺに。ふにゅ♡）――――（ててててー）   (2023/3/12 10:11:42)

おしらせ> 砂狼シロコさんが退室しました。  (2023/3/12 10:11:46)

十六夜ノノミ> あら♡はぁーい、お仕事頑張ってきてくださいね～♡（ふんふんと手をふってお見送りして。ほっぺにのこるやわらかい温かさに、表情も緩んで）   (2023/3/12 10:14:00)

十六夜ノノミ> ……は。私の方が挨拶しそびれちゃいましたね～…。帰って来た時に、でしょうか～（自分の唇に人差し指をあてて）   (2023/3/12 10:15:03)

十六夜ノノミ> 今日はこれからお片付けがあるみたいですし…そろそろ準備してきましょうか。あ、そういえば忙しくて学校のお掃除も最近あまりできていなかったから、それもしておきたいですね……大切な私たちの学校、ですから♡（対策委員会のみんなが集まる、大切な私たちの場所。ふふーと笑みを浮かべると、ぱたぱたと外へと出ていって）
  (2023/3/12 10:33:05)

おしらせ> 十六夜ノノミさんが退室しました。  (2023/3/12 10:33:14)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが入室しました♪  (2023/3/12 11:32:04)

錦木千束 ◆> おはおは~~♪ この時間に来る千束は結構レアだと思うなぁ…(ソファに腰掛けてて)   (2023/3/12 11:33:22)

おしらせ> 佐天涙子さんが入室しました♪  (2023/3/12 11:36:59)

佐天涙子> おはようございます…（朝からジョギングしていたのか、ランパンにランシャツ姿で姿を現して）   (2023/3/12 11:38:03)

錦木千束 ◆> おはよう…♪ 朝からお疲れ様だぁ…千束は…(制服着ててもソファに座ってだらけてて) うん、休みの日くらいは休日を満喫しなきゃだよ… (ソファに凭れて…足を組んでて)   (2023/3/12 11:40:34)

佐天涙子> はぁ…いい運動でした。（持っていたタオルで首筋の汗を拭きつつ…ソファーの方に近寄っていく…）   (2023/3/12 11:42:00)

錦木千束 ◆> 偉いねぇ…千束は休みの日はだらだらーってしたいタイプだからなぁ… んぅ…うん、良いものですな…♪ (乙女が汗を流して運動してるって横目に見て…謎の頷き♪) にしても、誕生日だったんだぁ… おめでとう、二日遅れだけどぉ…   (2023/3/12
11:44:56)

佐天涙子> 面倒だけど…続けないと…。（千束産の隣に腰を下ろせば…疲れた膝を解すようにランパンから露出した太腿に手を添えてゆっくりと揉み解し）   (2023/3/12 11:50:10)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/12 11:51:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> サボリールドロップアウト、開幕(ちら、っちら。視線のぞかせながら   (2023/3/12 11:51:51)

錦木千束 ◆> 成程ぉ…ちなみに続けて何かをしたいとか…体力作り？それとも…ダイエット的目的なら君はめっちゃ痩せてるから無理しなくて良いと千束は思っちゃうんだけど… (横目で見ながら揉み解す太腿をちら、と見つつ視線を逸らしてっ…)   (2023/3/12
11:53:11)

錦木千束 ◆> ガヴ〜♪ いらっしゃーい…♪ サボって…サボって大丈夫なんだぁ…？   (2023/3/12 11:53:54)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 暇すぎるから。いちおー、な…忙しくなったら飛んでくけど。   (2023/3/12 11:56:01)

錦木千束 ◆> 千束もテレポートとかしたいなぁ… はいはーい♪ 無理はしちゃダメだよ…ガヴ   (2023/3/12 11:59:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 千束がいたから、いちおー顔出しとこうかな~と思ってさ。うん、その時も帰っては来ると思うから~   (2023/3/12 12:00:52)

錦木千束 ◆> この子は寝たっぽい…？ (佐天さんのほっぺ、つんつんっ…)   (2023/3/12 12:04:45)

錦木千束 ◆> 千束に会いに来たんだぁ…♪ 嬉しいこと言ってくれるじゃん、この天使ぃ…♪   (2023/3/12 12:06:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> だって、話したいことあるとか言ってたじゃん？(つんつん   (2023/3/12 12:11:22)

おしらせ> 無言時間が25分を超えたため、佐天涙子さんが自動退室しました。  (2023/3/12 12:15:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お疲れ様ぁ~   (2023/3/12 12:16:30)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 千束も寝たか、これ(つん、つん   (2023/3/12 12:20:00)

錦木千束 ◆> ね、寝ちゃうところだった…天使パワー…(突いてくる指を握ってみて) よく覚えてたじゃん♪ また今度でいい？♡   (2023/3/12 12:22:17)

錦木千束 ◆> お疲れ様ぁ…♪   (2023/3/12 12:22:36)

おしらせ> 桜衣乃さんが入室しました♪  (2023/3/12 12:30:21)

桜衣乃> あ゛う゛〜……（目こしこし）こんにちは〜……   (2023/3/12 12:30:51)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん、今度って言われると、あたしが合わせれなくなるかも…？2ヶ月先。とか。そんな先のはなしになりそぉだけど~？   (2023/3/12 12:31:04)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしやまー   (2023/3/12 12:31:11)

錦木千束 ◆> いらっしゃーい…♪ ゆっくりしてってね…♪ 衣乃は今起きたっぽい…？寝起きの衣乃はちょっとレアだよねっ   (2023/3/12 12:31:36)

桜衣乃> チセちゃんと遊んでて、気がついたらふたりともうとうとと……　今日は３時に起きてたので、ふらふらです〜……　とりあえずご飯にしてきまーす…。   (2023/3/12 12:32:31)

おしらせ> 小春六花さんが入室しました♪  (2023/3/12 12:33:20)

小春六花> こんちゃーっす。   (2023/3/12 12:33:38)

錦木千束 ◆> ガヴめっちゃ忙しそう… うーん、二ヶ月先とか長いなぁ… でも、話してる最中に寝ちゃったりするの嫌だしぃ… 二ヶ月後でも会えたら話そっか… (前髪撫でてあげちゃう♡) 体調管理しっかりだよー？ガヴ♪   (2023/3/12 12:33:49)

錦木千束 ◆> らっしゃーい♪ ゆっくりしてってね♪   (2023/3/12 12:34:13)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ほんと、1ヶ月くらいここから姿消すから…。ん、それでもいいなら連れ込むつもりだったけど…それでいーの…？(こてん。と   (2023/3/12 12:35:30)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしゃーい   (2023/3/12 12:35:39)

桜衣乃> 六花ちゃんこんにちはー……（ぽわぽわ）   (2023/3/12 12:36:14)

桜衣乃> 3月4月は、卒業、就職、お引越し……とーってもお忙しい時期だったりですからね〜……   (2023/3/12 12:36:50)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしは就活。今から佳境に入るからさ~。   (2023/3/12 12:37:15)

小春六花> 若いねぇ……私は来年高校三年生だけど高校二年生もう一週やります。   (2023/3/12 12:37:38)

錦木千束 ◆> つ、連れ込むって…ガヴは相変わらず積極的だなぁ…♪ 私もあまり時間ないしぃ…ガヴの大事な時間千束に使うのもったいなーい♪ 来れなくなっちゃうなら今の時間を楽しまなきゃ、衣乃がご飯食べ終わったら相手してもらいなよ♪
(目を細めて微笑ましく見つめてて)   (2023/3/12 12:40:17)

桜衣乃> あう〜……私も午後はおでかけが……。お昼休憩のつもりで顔出しなので〜……   (2023/3/12 12:41:42)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んぅ~。千束と会ったのもかなり久々じゃん…だから。とおもったんだけど…勿体ないとか、ないしさ…(つ~ん。   (2023/3/12 12:41:46)

小春六花> そもそも、本当にもったいないと思ってるなら手放さないんだよね……。（こてーん）   (2023/3/12 12:42:14)

小春六花> そしてみんなしーずかー。   (2023/3/12 12:48:23)

錦木千束 ◆> 千束も午後からお出掛けで顔出しのつもりだったから…そろそろ落ちなきゃなんだよなぁ… でも、やっぱこの部屋は千束をネムネムにしてくるぅ… 天使が居るだけで用事あるのに寝ちゃいそうになっちゃったよ…(目を擦りながら…)   (2023/3/12
12:52:21)

錦木千束 ◆> 衣乃も気をつけなよ… 行き道と帰り道…♪   (2023/3/12 12:52:39)

錦木千束 ◆> それじゃあ、六花が盛り上げちゃえばいいじゃん…♪   (2023/3/12 12:53:15)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> そっかぁ……。用事、かぁ。   (2023/3/12 12:54:21)

おしらせ> 京町セイカさんが入室しました♪  (2023/3/12 12:54:58)

京町セイカ> こんにちはー   (2023/3/12 12:55:03)

小春六花> こんちゃーっす   (2023/3/12 12:55:16)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしゃーい   (2023/3/12 12:57:27)

京町セイカ> 六花ちゃんガヴちゃん久しぶりー   (2023/3/12 12:58:26)

錦木千束 ◆> いらっしゃーい…♪ すれ違いだぁ…   (2023/3/12 13:00:19)

小春六花> 盛り上げようにも盛り上がる人……いる？   (2023/3/12 13:00:48)

京町セイカ> 千束ちゃんもこんにちは   (2023/3/12 13:00:56)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> うへぇ。残業コースじゃなくて良かった……   (2023/3/12 13:03:20)

小春六花> おつおつ、バイト上がり？   (2023/3/12 13:03:38)

錦木千束 ◆> うん、お出掛けの準備しなきゃ…寝ちゃう前に支度しちゃおー♪ ガヴ、また会えるの先になっちゃう？かもだけど…その時はまた千束に天使パワー充電させてねぇ…♡ 色々頑張っていこー！千束も頑張るぅ…
