/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月22日 19時50分 ～ 2023年02月23日 09時11分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北ずん子> ふたりに添い寝してもらえるときいて！(ぎゅ、ぎゅ   (2023/2/22 19:50:56)
ライネス> あー、そういう語呂合わせもあったか。なんだかそうやってクレーが猫になっているのを見ると可愛いのは勿論だが、いつだかの個室で猫にしてあげたのを思い出すね♪（なんて少しにやけ気味に）＞クレー   (2023/2/22 23:01:26)

クレー> ねむい時はちゃんと寝なきゃダメだよっ>セイカお姉ちゃん   (2023/2/22 23:01:39)

後藤ひとり> 意図的に添い寝？みたいな感じで寝るのはともかく……なるべく寝落ちしたくないです……まぶた閉じただけで寝落ちは成立するのが辛いところですが………(目を逸らしつつも)今は疲れてるので……ゴロゴロ……しながら寝落ちしないように気をつけます＞ライネスさん
  (2023/2/22 23:02:30)

後藤ひとり> (三玖さんの傍により)   (2023/2/22 23:02:40)

クレー> あぁー……♡そんなこというんだ//クレーまだしっぽつけてないのにっ……♡ふふっ、ライネスお姉ちゃんとまた個室えっちしたいねっ♪(もちろん表でオープンでもクレーはおっけーなのっ)>ライネスお姉ちゃん   (2023/2/22 23:02:53)

後藤ひとり> おはようございます……今夜ですよ！？＞セイカ   (2023/2/22 23:02:58)

中野三玖 ◆> (…ん…っ…ちゅぅ)   (2023/2/22 23:03:33)

後藤ひとり> (んちゅ……れろ)   (2023/2/22 23:04:12)

京町セイカ> (目を覚ますとなにやらいやらしい雰囲気に目をぱちくりさせて)   (2023/2/22 23:04:22)

ライネス> そうそう。二人で奥でとか宴もたけなわ…な辺りでなら皆で寝るのも悪くない。…うっかり目を閉じて寝てしまうのは、寝転んでいるからなんだろうなぁ（寝転んでいなくても寝落ちする人物も何人かいるようだが…それはそれ）あぁ、私が言えた事ではないけど…疲れてる時は休むのが一番だよ＞ひとり
  (2023/2/22 23:06:18)

ライネス> んー？ダメだったかな？楽しかったクレーとの大事な思い出の一つだが……随分とストレートな言い方を、あぁ…そう遠くない内にはできるといいね♡（私は…あまり表ではやりたがらない方だが、まぁそこは状況を見てだね！）＞クレー   (2023/2/22
23:08:01)

後藤ひとり> 私の場合は寒くて布団にくるまってたら……いつの間にか朝になってるとかあるあるですね………(今も寝落ちしようと思えばできるのは内緒)ま、まあ……善処はします……せっかくライネスさんともお話できますし   (2023/2/22 23:08:27)

クレー> その時はライネスお姉ちゃんがクレーのこと連れてってね♡…にゃん♪   (2023/2/22 23:09:28)

ライネス> と、そちらは…初めまして、かな。こういった所では…ああいうのも珍しくはないが。余り経験はないのかな？（と、少し面喰った相手に声をかけて）…あぁ、私はライネス・エルメロイ・アーチゾルテだよ。よろしくね？＞セイカ   (2023/2/22
23:09:39)

クレー> じゃあ、クレーもお風呂いってくるね～！   (2023/2/22 23:09:42)

クレー> またあとでっ…！   (2023/2/22 23:09:57)

おしらせ> クレーさんが退室しました。  (2023/2/22 23:09:58)

後藤ひとり> あ、はい……お疲れ様です………   (2023/2/22 23:09:59)

京町セイカ> あ、えーと、いざこういう雰囲気を目の当たりにすると…ね？はじめまして…あはは>ライネス   (2023/2/22 23:10:28)

ライネス> 身体の体温があがると眠くなるのは…当然の結果だね。その場合の朝は…あまり目覚めとしてはよくないだろうが（私も本来なら既に寝ている予定だったのは内緒だから…同じだよ）…そういう言われ方をされると、少しむず痒くなるね（別に珍しいキャラって訳じゃなかったんだけどなぁ…なんて一時期の事を思い出しつつ）＞ひとり
  (2023/2/22 23:12:51)

中野三玖 ◆> (れろ…ちゅっちゅ…)   (2023/2/22 23:13:59)

ライネス> と、お風呂はいってらっしゃいだ。…連れ出しについても、君を連れ出す算段ができたら是非にともさ♡（また一段と経験値のあがった可愛い子猫姿を愉しみにしているよってクレーを見送って）＞クレー　ほほう…なんだか初な反応するじゃないか。あの程度の甘いやり取りはまだ序の口だが…君は、そういう経験がまだなのかな？（にやっと少しからかうような笑みを浮かべつつ…すすっとセイカとの距離を詰めてみて）＞セイカ
  (2023/2/22 23:16:39)

後藤ひとり> ですよね…目覚めたら……あれ？返事は？とか今何時？ってなって……最後にあ、寝落ちしたって気付くんですよね……(ある意味同類ですね……)そういう意味ではなくて……貴女としてのライネスさんと話したいということです……   (2023/2/22
23:18:11)

後藤ひとり> (んちゅ……あむっ)   (2023/2/22 23:18:33)

中野三玖 ◆> ……ちぅぅ…   (2023/2/22 23:19:00)

京町セイカ> うえっ！？え、えーと…まぁその…はい(ゆっくり距離を詰めてくるライネスに対して目を逸らしながら顔を赤くして)   (2023/2/22 23:19:05)

後藤ひとり> んっ…れろっ   (2023/2/22 23:20:20)

中野三玖 ◆> …ひとりちゃん…っ…ん…ぅ   (2023/2/22 23:22:12)

ライネス> あー、私の場合は寝落ちした！…時間は……あぁ、ガッツリ手遅れだぁ…と、気づいてから落胆するタイプだな（お互い翌日にまで響かない様にしないとね…）……な、君はいつからそんな垂らし込むような言葉を言うように……そう言われるのは光栄だね（一瞬言葉に詰まりつつ…少しだけ頬を染めて…これがひとりが人気になる理由の一つか！）＞ひとり
  (2023/2/22 23:22:31)

後藤ひとり> 三玖ちゃんっ……♡れろっ……♡   (2023/2/22 23:23:48)

後藤ひとり> そういうタイプですか……すぐに気づくタイプですね……(明日は8時起きなので余裕はありますし……と)ライネスさんはよく絡んでくれますし………最近は話せなかったので………はい……(事実を述べただけですよ……と)   (2023/2/22
23:25:17)

ライネス> ……ふむ。それはまた、この場だと貴重な相手かもしれないな。けど、ここに来たというからには…興味、は…あるんだよね？（詰めていく距離を…さらに縮めれば肩が触れ合いそうな所まで…目を逸らす相手の顔をじぃーっと見つめ）＞セイカ   (2023/2/22
23:25:27)

中野三玖 ◆> (ぎゅぅ……♡)   (2023/2/22 23:27:00)

後藤ひとり> (なでなで……♡よしよし)   (2023/2/22 23:27:28)

京町セイカ> ひゃひっ！？(じっと見つめられるまっすぐな目にお酒の入った顔をさらに赤くして…)は、はひ…   (2023/2/22 23:29:06)

ライネス> 職業柄…というのも変だが、一応は知力タイプだからね私は（これでもミステリー系出身やら…軍師の皮を被ったりやらとＩＮＴのステータスは必須要素なんだ。…8時起きはそこまでの余裕はない様な…人によるけれど）ん、別に私に限らずひとりは色んな相手と絡んでいる気はするが…最近話せてなかったのは事実だな。結局君との逢瀬も…かなり間が空いているだろうし（事実だからこそ尚…質が悪いというか、こっちが気恥ずかしくなるんだ！）＞ひとり
  (2023/2/22 23:31:00)

ライネス> ………なら、経験…してみるかい？（二ィっと口角を上げつつ…自身の唇に指を当てて）＞セイカ   (2023/2/22 23:33:57)

中野三玖 ◆> …交尾しよっか…♡   (2023/2/22 23:35:57)

後藤ひとり> なるほどその場の状況をすぐに判断するタイプなんですね………(さすがライネスさん……頭良い……いつもよりは8時起きは優しい方ですよ……)私の相手は固定されてるような気もしますが……何にせよライネスさんと今年なかなか会えずに話せなくて寂しかったの事実ですし………(わ、私のせいなんですか！？と土下座)
  (2023/2/22 23:38:54)

後藤ひとり> もちろんです……♡   (2023/2/22 23:38:59)

ライネス> そういう事だね。といっても、咄嗟の判断…分析に惑わされず。実際の事象に関しての裏付けも大事になる訳だが（なんてただの寝落ち結果の話を意味ありげにしてみたり…普段はもっと早起きなのかい？）そうなのか…？方々に顔を出しているから、固定よりも顔は広いものと思っていたが…あ、はは。去年の末頃と比較すると私も顔を出せる頻度は減ったからね…あまり寂しくさせないように今後は少し意識するよ（そうだ今は君のせいって事に…なんて言おうと思ったが土下座まではしなくていい！？）＞ひとり
  (2023/2/22 23:44:20)

京町セイカ> け、けいけん…！？(イタズラっぽい笑みに目をぐるぐるさせながら)   (2023/2/22 23:47:06)

ライネス> そ、経験。…会って間もない相手、という点を除けば…私の様な美少女とそういう事ができるのは悪くない話だと思うが？（くっくっと…揶揄うのを楽しみつつ。どうする？って催促してみて）   (2023/2/22 23:50:13)

中野三玖 ◆> (交尾…こうび…♡)   (2023/2/22 23:50:21)

後藤ひとり> なるほど……なんだか頭良さそうです！半分くらい何言ってるか分かりませんが…………(難しいワードだらけ………寝落ちの結果はともかく……平日は6時起きとかありますから……)ま、まあ忙しいので無理はせず……出来る範囲で来てくれたらそれでいいので……(あれ、土下座無くていいですか？)
  (2023/2/22 23:50:55)

後藤ひとり> (三玖さんの胸に触れて)   (2023/2/22 23:51:04)

京町セイカ> あ、あまり大人を揶揄うもんじゃ…ない…わよ……(唇を尖らせながらも特段抵抗する様子もなく)   (2023/2/22 23:51:47)

中野三玖 ◆> んっ………♡   (2023/2/22 23:53:42)

ライネス> そ、そこまで難しい言い方はしてなかったと思うが！？（ざっくり雰囲気だけを受け取られたと…軽く驚きつつ、その時間に起きないとな君が、普段夜遅くまで起きているのか……）あぁ、無理してまで顔出して…心配されるのは本意ではないからね、そこは弁えているとも。（世の中相手に土下座を求める方が珍しいと思いたいよ…無くていいんだよ）＞ひとり
  (2023/2/22 23:55:51)

後藤ひとり> 柔らかいですね……♡   (2023/2/22 23:55:56)

ライネス> んー、揶揄っているのは事実だが…冗談までは言っているつもりはないよ。君が…してみたいと言うなら、その尖らせた唇を奪うぐらいは考えての発言さ（おそらく強引に迫れば…相手は受け入れそうな雰囲気だが…それよりも相手の意志を確認するように…けど、距離は縮める為にも相手の顎に指をあてて…くいっとこちらを向かせてみようか）＞セイカ
  (2023/2/22 23:58:46)

後藤ひとり> 眠い頭で理解するのは至難の業なんですよ……(はい……その代わり通学の時間を睡眠に費やしてなんとか帳尻を合わせてます……)はい……来たい時に来るくらいでいいですからね……(土下座はならやめておきます………頭を上げて)＞ライネスさん  
(2023/2/22 23:59:09)

中野三玖 ◆> …柔らかい…？♡   (2023/2/22 23:59:28)

後藤ひとり> 柔らかくて……癖になる触り心地です   (2023/2/23 00:00:27)

京町セイカ> っ……！(見た目に反する強引なアプローチに息を呑んで…)し、てみたい…です…(とろけた声をだしゆっくり目を閉じて)   (2023/2/23 00:00:27)

中野三玖 ◆> ……もっと触っていいよ…♡満足するまで触って…♡   (2023/2/23 00:02:43)

後藤ひとり> 分かりました……では……♡(乳房と乳首を同時に触り)   (2023/2/23 00:03:20)

ライネス> あー、そう言われてしまうと反論の余地がないな（眠いのなら仕方ない…はかなり幅広い理由付けとして有効だねと納得してしまう訳で。帳尻を合わせるには多少のツケが溜まりそうだが…自分なりのバランスが取れているなら良かった？）もとよりそのつもりだ。ただ…その来たくなる時のなかに、ひとりと話す為にという理由も勿論混ざっているのは伝えておこうか（そうそう、土下座をされてしまっては折角の君の可愛い顔が見えにくくなるしな）＞ひとり
  (2023/2/23 00:04:29)

ライネス> …ん、素直になったようで何よりだ♪…なら、少し失礼して…（相手の受け入れる体勢が整えば…少しだけ相手の待っている顔を見つめてから…そっと顔を近づけて、自身の唇を相手に触れさせるだけの口づけを一つ）＞セイカ   (2023/2/23
00:06:55)

京町セイカ> ﾝ……む♡(ちょんっと軽く触れる唇…キスなんて異性相手も経験がほぼないのでわからないが…柔らかくて…優しいふれあいにとくんっと胸がなる…)   (2023/2/23 00:08:30)

後藤ひとり> いや…私の理解力が無いだけです……何となく言いたいことは分かるので御安心を……(現在は春休みで絶賛そのツケを支払い中ですよ……)嬉しいです……それが嘘だとしても……(き、綺麗な顔！？……///と照れながらも満更でも無い様子)  
(2023/2/23 00:10:14)

ライネス> ……ぅ♪んっ……ん（一度触れさせたところで…それを挨拶替わりに、少しだけ口を開けば相手の唇を咥えるように重ね…少しだけ大胆な深いキスにつなげ）   (2023/2/23 00:11:42)

京町セイカ> ……はふぁ…♡(ぷるぷるとした唇にむしゃぶられるように唇を触れられるとなんだか恥ずかしいことをしてる気分が押し寄せてきて…もどかしそうに身を捩る)   (2023/2/23 00:13:12)

中野三玖 ◆> …ぁっ…ん……♡(びく…♡)   (2023/2/23 00:14:32)

後藤ひとり> 私のも……♡触っていいですよ……♡(じい)   (2023/2/23 00:15:13)

ライネス> 別にそんな事は…まぁ大した中身のある話でもないし、雰囲気だけ伝わっていれば十分だな（別段話がかみ合っていないとは思わない訳だし…いや、それはツケを支払っているというより休みでだらけているだけｊ…こほこほ）むっ…私が嘘をつくような胡散臭い人間に見えるかい…？（可愛い顔と言った筈が綺麗に変換が…！？いや、綺麗な顔と言っても問題ないレベルだとは思うけど）＞ひとり
  (2023/2/23 00:15:41)

中野三玖 ◆> …うん…♡(そっ…と手を添えながら、むぎゅ…♡)   (2023/2/23 00:16:40)

ライネス> ふっ…ん、……♡（そのまま味わいながらも相手から離れようとしなければ…舌をだし、相手の唇をつついて絡めようかのアピールで。捩る身体にある手をぎゅっとこっちから握りしめて）＞セイカ   (2023/2/23 00:18:19)

京町セイカ> んむ…ちゅっ…じゅる…♡(次第に水気を帯びはじめるキス音…キスの作法なんてわからないけど促すようにつつかれるとこちらも舌を出してつんつんとした同士を絡めていく)   (2023/2/23 00:20:12)

後藤ひとり> あ、あはは……とりあえずライネスさんは頭良いのは分かります……(だらけてる……全く否定できない……)胡散臭い……まあ胡散臭いのは否定できないけど……嘘は言ってないと思います…(それも寝ぼけで間違えて変換してた……)   (2023/2/23
00:22:16)

ライネス> ふ、んむ、ちゅっ…♡（こちらのアピールに応えるように出された舌に自身の舌を積極的に絡めれば…絡まる音が淡く響き始めて、気分の高揚を感じれば熱い吐息を零しつつ…相手の舌と唇を味わうように深いキスを続け）＞セイカ   (2023/2/23
00:25:17)

後藤ひとり> 三玖さん……♡もっと激しく……♡   (2023/2/23 00:25:59)

京町セイカ> んちゅ…じゅるっ♡ちゅっ…♡(流れ込む吐息に頭がくらくらしてくる…酔いが一気にまわったような心地よさに相手への気持ちが膨れ上がってきて…)……♡(相手が添えていた手を恋人繋ぎのようにすると身体をすっと密着させていく)   (2023/2/23
00:27:39)

中野三玖 ◆> うん……♡(ぎゅー…♡と抱きしめながらひとりちゃんの大きな胸に指を沈めるようにして…♡)   (2023/2/23 00:30:07)

ライネス> 頭良いアピールをしようとしてる訳では、ないんだけどね…（春休みが終わったら…今度はだらけた分のツケを払わされる事になるんだな…）否定できない程度には胡散臭い扱いなのか…あぁ、信じて貰えそうであれば、しっかりと嘘じゃないよと明言はするよ（ふふっ…少なからず自分が綺麗な顔と言われる可能性があると思っている証拠だね！）＞ひとり
  (2023/2/23 00:30:12)

後藤ひとり> あんっ……♡気持ちいい……♡(乳首を硬くさせながらも三玖さんの乳首もコリコリしていき)   (2023/2/23 00:33:05)

ライネス> んはっ、…ん、ぅ…♡ちゅ、ちゅ…っ……（こちらも調子づいてくれば、絡めている舌を相手の唇に押し込むようにして…再び唇同士を重ねれば、相手の口内へと舌を伸ばしてより濃密に絡ませていき。握り方の変わった手に少しだけ力を込めて握った感覚を強め）  
(2023/2/23 00:33:23)

中野三玖 ◆> だめ……ひとりちゃん…っぁ♡   (2023/2/23 00:34:49)

後藤ひとり> 知ってますよ………はい……私の感想なので……(うう……ま、まだ半分くらいしか立ってないのでまだ舞えます……)少しだけですので………とりあえずありがとうございます……(そんな私がナルシストみたいな言い方はよしてください！)   (2023/2/23
00:35:21)

後藤ひとり> もっと……♡(三玖さんの割れ目に指を入れて)   (2023/2/23 00:35:39)

京町セイカ> んむうっ！(侵入した舌が蛇のように動き回り口の中を侵略していく…手の握り方も強められると相手に支配されたような気持ちになり興奮と共にますます舌の動きを強めていき)   (2023/2/23 00:37:10)

中野三玖 ◆> ひゃぅっ！？♡   (2023/2/23 00:38:59)

後藤ひとり> ここ……濡れてますね……♡(指をゆっくりと奥まで入れて)   (2023/2/23 00:40:30)

ライネス> ん、そうか…まぁ頭が良いと言われるのは満更でもないから嬉しい所だよ（なかなかに長い休みをもらっているんだな…気づいた時には終わっていた。にならないように充実した日々を送るんだよ）いいや、こちらとしても話したいと思ってくれる相手との縁は大事にしたいんだ。（けど、ひとりってさり気なくそういう一面はあると思ってるんだが…違ったかな？）＞ひとり
  (2023/2/23 00:41:06)

中野三玖 ◆> んんっ…♡いいっ…そこ♡   (2023/2/23 00:44:57)

後藤ひとり> はい……天才ライネスさん……IQ400……!(はい……毎日家でゴロゴロ……楽しいです………)良かったです……私もライネスさんとは仲の良い人だと認識してたので……(………なんのことでしょう……私は知りません……私はただの承認欲求モンスターです……)
  (2023/2/23 00:47:25)

後藤ひとり> では……♡(感じやすい部分をゴリゴリと押し込むようにせめて)   (2023/2/23 00:47:38)

ライネス> んーぅ♡んっ、…ふっ……んむっ♡（相手の口を味わい尽くすように舌を這わせ…口内を味わっていきながら、相手からも絡める動きが激しくなっていけば…そんな相手の舌に溢れてくる唾液を乗せて絡ませて…）＞セイカ   (2023/2/23 00:47:49)

中野三玖 ◆> あいっ♡ぁっそこっ…きもちいぃ…♡   (2023/2/23 00:48:53)

ライネス> それはなんか、素直に喜んでいると逆に頭が悪そうに見えないか？！（……ま、まぁ楽しみ方は人それぞれか…家でゴロゴロするのも悪くないものな）あぁ、その認識に間違いはないと太鼓判を押そうじゃないか（…随分間の空いたとぼけ方だな…。今も尚人気は続いているし…存分に承認欲求を満たすといいよ）＞ひとり
  (2023/2/23 00:50:43)

後藤ひとり> いってもいいですよ……♡私が見てるので……♡(にこ)   (2023/2/23 00:51:46)

後藤ひとり> え……じゃあなんて褒めれば……(引きこもり生活isジャスティス……今旅行してる私が言えたことでは無いですが……)そこは疑ってないですよ……これからもよろしくお願いします………(人気があるのは…みんな私みたいな下の存在を見て安心してるんですよ……あとは同じ陰キャ同士惹かれあったり……)
  (2023/2/23 00:55:09)

中野三玖 ◆> …〜っ♡♡   (2023/2/23 00:56:31)

後藤ひとり> いきました…？♡   (2023/2/23 00:57:34)

中野三玖 ◆> い、いっひゃ…は   (2023/2/23 00:58:30)

後藤ひとり> 可愛いですね……♡(ちゅ)   (2023/2/23 01:00:10)

京町セイカ> はふっ…♡んっ…んむっ♡(ぎゅっと手をしっかり握り返すのは気持ちよさとそれに伴う不安さが半々…だんだん上り詰めていく未知の快楽に身体をぴくっと震わせて)   (2023/2/23 01:00:27)

中野三玖 ◆> もぅ…いぃく…♡)   (2023/2/23 01:01:21)

ライネス> ん、そこは…無理に何かつけたりしないで。「ライネスさんは頭も良くて優しくて強くて好き」とか…思うままに言ってくれれば…？（なんて自分で自分の言われる褒め方を言うのも不思議な感覚だが…。旅行先でも客室に引きこもっていそうだから末恐ろしい所だね）ん、あぁ…よろしく頼むよ♪（私は音楽に対して造詣が深い訳じゃないが…ひとりの事を下に見るのって結構ハードル高いんじゃないのだろうか…？）＞ひとり
  (2023/2/23 01:02:38)

後藤ひとり> 何度でもいって下さい……♡   (2023/2/23 01:02:53)

後藤ひとり> ………ライネスさんもなかなかに自分に自信ありそうですね……(家族旅行で……することないのでここ来てます……はい)こちらこそ……またいっぱい話したいです……(アニメの中だとただの高校生バンドなのに……何故か現実だと買う人が沢山……)  
(2023/2/23 01:04:49)

ライネス> ふぅ、んっ……んっ、んぅ…ちゅぅ、じゅるる♡（握り返された力を感じれば…淡く指を動かして相手の手の甲を撫でて。安心できるようにしつつ…。重ねたままの唇…最後に軽く相手の舌を吸い上げれば…ゆっくりと離して）   (2023/2/23
01:07:06)

京町セイカ> んむっ♡ふ、むう♡んちゅ…じゅるるっ…ん、ハアッ……♡(舌先を吸い上げられぎゅっと目を閉じてビクンッと身体を震わせる…長いキスが終わり唇が離れていくと潤んだ目とぐしゃぐしゃに濡れててらてら光る唇…)   (2023/2/23 01:09:53)

中野三玖 ◆> ふーっ…いくぅ…♡   (2023/2/23 01:10:26)

後藤ひとり> よく出来ました……♡   (2023/2/23 01:12:21)

中野三玖 ◆> …んんっ…♡   (2023/2/23 01:16:53)

ライネス> …ん？あぁ、私は自意識過剰という程ではないと思いたいが、自身の事は相応に評価はしているよ？（まぁ、日中の観光なら兎も角…旅館内のこの時間ならやる事ないのも仕方ないな）…あぁ、別に焦る事でもないだろうし、何度も話そうじゃないか（…そうだな。全国的に有名どころか、一世を風靡したっていってもいいぐらいには人気だね）＞ひとり
  (2023/2/23 01:17:20)

後藤ひとり> 三玖さん……眠気大丈夫ですか？……♡(よしよし)   (2023/2/23 01:18:22)

ライネス> ん、ふ…はぁ……♡と、個人的にこういうのが久しぶりなのもあってつい熱が入ってしまった…。ご馳走様♡（ふぅ…と呼吸を整えつつ。自身の濡れた唇は軽く指で拭いつつ…）どうだったかな？（なんてチラッと伺う視線を向けて）＞セイカ   (2023/2/23
01:19:24)

中野三玖 ◆> …もう…寝ちゃいたいけど♡   (2023/2/23 01:19:34)

後藤ひとり> 陰よりなのに……自尊心がある……(というかそろそろ寝ますけどね……荷物を片付けながら)はい……何度も……話します………！(アニメの中でもそれだけ売れたらいいんですけどね………作中ではあくまで高校生のバンドなので……)   (2023/2/23
01:20:43)

後藤ひとり> 私も眠いです………♡   (2023/2/23 01:20:49)

京町セイカ> え、えと……(意見を求められると唇に手で触れて先ほどまでの熱を確かめるように…)く、クセになっちゃう……かも…(きっとこれもまだまだ序の口…そんなことを考えながらそう、答えた)   (2023/2/23 01:21:04)

ライネス> な、なんだその…私と同じ仲間の筈なのにとでも言いたげな反応は…！（陰陽で行くと陰かもしれないがネガティブや根暗気質はそこまでない…からな？…多分。…ん、と荷物を片付けるって事は翌日には帰るのかい？）ん、その為にも色々と話題を考えておかないとだな（ま、まぁでも…原作も確実にファンや規模は大きくなっていってるから…？）＞ひとり
  (2023/2/23 01:24:53)

中野三玖 ◆> …おやすみ…♡   (2023/2/23 01:26:25)

ライネス> ん、心地よく感じてくれたなら何よりだ♪…癖になったとしても、ここに来れば…何度も似た経験は味わえるんじゃないかな。（今日のキスよりも激しい事も含めて…経験する機会はあるだろうねって意味ありげに微笑んで）＞セイカ   (2023/2/23
01:28:02)

中野三玖 ◆> 【んくっ…ライネスもまたね♡】   (2023/2/23 01:29:49)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/2/23 01:29:50)

後藤ひとり> え？違うんですか……？(あ、いえ明日は別の宿に移るのでそれの整理だけを……)話題ですか……私も考えておかないと………(いずれは現実世界のように……売り切れ続出を(うへへ……♡)   (2023/2/23 01:30:06)

京町セイカ> は、はい…♡(まだ柔らかい感触の残る唇に心臓の高鳴りも止まらず…下腹部にきゅんとしたうずきまで覚えている…次はどうなってしまうのか…少しの期待を芽生えさせつつ)   (2023/2/23 01:30:20)

後藤ひとり> お疲れ様でした……♡私もそろそろ寝ますね……♡また会えたらよろしくお願いします……♡   (2023/2/23 01:30:22)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/23 01:30:24)

ライネス> 【あぁ…また互いにゆっくりできる時に。おやすみ三玖】   (2023/2/23 01:31:03)

ライネス> 少なくとも私は引きこもっていたりはしないし…人との交流自体はとっているよ（話す相手を友だ何だと思う事は非常に少ないし…信用できる相手なんて片手で事足りかねない原作だが！）と、ひとりもおやすみ。何だかんだと話し続けられて嬉しかったよ♪＞ひとり  
(2023/2/23 01:32:42)

ライネス> と、そういえば君の名前も聞いてなかったな…。君の名前は…と、そっちの眠気とかは大丈夫かい？（どうも入ってきた時辺りに寝落ちしての復帰だったと思うけど…って一度雰囲気をリセットするかのように平和な話題を）＞セイカ   (2023/2/23
01:34:58)

京町セイカ> あ、セイカ、京町セイカです…えへへ、あのせいでちょっと目が冴えちゃったのかも(えへへとはにかみながら頭をかきかき)   (2023/2/23 01:41:36)

京町セイカ> 【ひとりさん三玖さんお疲れ様でした】   (2023/2/23 01:43:00)

ライネス> セイカか。…散々といちゃついた後に聞くのも、不思議な感じだ。あー……アレか。眠気より、興奮の方が勝ってしまったかな？（なるほど納得しつつ…握ったままだった手を引いて近くのソファにでも腰かけようか）   (2023/2/23 01:46:15)

京町セイカ> えっとほら、短時間だけ寝て目覚めるとすごく覚醒した感じになるじゃない？あんなのかしら(女の子にエスコートされることにまだちょっと恥ずかしさを覚えつつソファへ)   (2023/2/23 01:48:11)

ライネス> ふむ、まぁそれも経験がないでもないな…中途半端な時間寝るより、ちょっと意識飛ばしただけの方がかえって目覚めるのは…。でも、その場合…急に眠気が復活したりする奴では？（すぐ隣同士で座りつつ…相手の肩に身体を凭れさせて密着し）   (2023/2/23
01:51:16)

京町セイカ> そうなの。だからふとした時に眠気がぶり返すかもねー(先程までのしっとりした時間はどこへやら身体を寄り添わせる姿はホントに少女そのものでなんだか拍子抜けしてしまう)   (2023/2/23 01:52:56)

ライネス> なら、その眠気がぶり返すまでは…こうしてのんびりとしていればいいかな（…？と、なんだか不思議そうな感じに見られている気がして小さく首を傾げ）どうかしたかい？   (2023/2/23 01:56:10)

京町セイカ> あ、いやその…ちょっとギャップが…ね？ほらさっきまで…(えっちなこと…と言いそうになり口をつぐむ…キスをそう認識してることを知られるのはちょっとバツが悪い)   (2023/2/23 01:58:04)

ライネス> ギャップ…？あぁ……確かに、初対面の相手に揶揄ったり…迫ったりした後だとそうもなるか。…何、少し周りの空気に当てられたのと。所々の会話で察しは付くかもしれないが…久しくこういうスキンシップもなかったからね。（だから少し大胆になってしまっていたよ…と。落ち着いた今は…まったり預けてる身体をすり寄せて）
  (2023/2/23 02:02:08)

京町セイカ> 大胆に…ねえ？(ふと、キスの横から聞こえていた嬌声を思い出しつつ)若い子ってすごいわねえ…   (2023/2/23 02:03:47)

ライネス> …若い子って、そこまで大きくは変わらないんじゃ？いや…しかし、さっき味わった匂いに多少アルコールが混じっていた気もするし…成人済み、ではあるのか？（なんだか年老いた発言に突っ込みを入れつつ…こっちも少し遡って思い出して）   (2023/2/23
02:07:29)

京町セイカ> ええ、年より子どもに見られがちだけどねー(ぶすっと拗ねたような顔になりながら)   (2023/2/23 02:08:30)

ライネス> あっ、これは失敬…何も子供っぽいと言いたい訳じゃなかったが…（見た目的な話なら別段幼く見える訳でもないし…と取り繕いつつ）いや、だが……キス一つで取り乱すようじゃ、まだ…経験としては、子供…？か…？（と疑問が浮かんで）   (2023/2/23
02:11:32)

京町セイカ> ほら、そういうこという(クスリとわらいながら)   (2023/2/23 02:32:19)

京町セイカ> 【ごめんなさい、返事が遅れちゃった】   (2023/2/23 02:32:42)

ライネス> おっと、そうだな。折角興味を持って顔を出してくれた相手に…こういう言い方はよくないか。…経験なんてこれからどんどん積んでいけばいいだけの話だしね（失言だった。子供扱いはやめるよって手のひらを返し）   (2023/2/23 02:38:32)

ライネス> 【ん、問題はないが…そろそろ気を見てお開きにしても良い時間かもしれないな？】   (2023/2/23 02:38:48)

京町セイカ> まぁ、それはおいおい…素敵な経験をいっぱい教えてね？(パチリとウインク)   (2023/2/23 02:39:26)

京町セイカ> 【そうかも、かなり遅くなっちゃったわね】   (2023/2/23 02:39:40)

ライネス> …私の都合がつく時であれば喜んで。…だが、まずはその一つ目として…今夜はこのままくっついて二人で休む、なんてのはどうかな？（ウインクに応えるように微笑みを返して）   (2023/2/23 02:42:14)

ライネス> 【ここに居ると、時間の流れがあっという間に思えるから恐ろしいよ】   (2023/2/23 02:42:40)

京町セイカ> っ！そ、それはそれでなかなか恥ずかしい気もするわね…まぁ、ライネス…ちゃんとなら…いいけど…(頬を照れ隠しにかきながらそっぽ向きつつ応えて)   (2023/2/23 02:43:29)

