/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月02日 10時38分 ～ 2023年03月02日 23時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

白金燐子> そ、そんなことは…   (2023/3/2 10:38:44)
白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> もう、ヴィーネさんってばいきなり大胆ですね…♪そんないきなりめちゃくちゃにしたりはしないので…♪   (2023/3/2 15:48:00)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> そういえば、結束バンドさんはすごい人気でしたね…♪私も好きですよ、歌とか♪   (2023/3/2 15:48:44)

後藤ひとり> (とりあえず完熟マンゴーのダンボールに隠れ)   (2023/3/2 15:48:45)

後藤ひとり> あ、知ってました！？あ、ありがとうございます……(ダンボールの上からぺこり)   (2023/3/2 15:49:01)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> こ、怖っ…取り敢えず、ガヴは課題終わったみたいだし、ラフィも労ってあげたら？喜ぶと思うわ   (2023/3/2 15:49:02)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> まだ半分残ってはいるけど、今日はパス。心の整理がつかない。(ゲーム両手に抱えてぽい。ソファに身を投げぇ。   (2023/3/2 15:49:47)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ふふ、そうだったんですね♪ガヴちゃん、えらいえらいですよ〜♪よく頑張りましたね♪（なーでなでって子猫を撫でるようになでなで）   (2023/3/2 15:50:29)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> いや、半分残ってるって終わってないでしょ。何が心の整理よ…うわ、めちゃくちゃ甘やかしてるし…   (2023/3/2 15:51:12)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ひとりも来るか〜…？ラフィエル、なでるのうまいんだぞ〜…ぐでぇ。と蕩けきったまま   (2023/3/2 15:52:34)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> えぇと、ひとりさん？はそんなに畏まらなくて大丈夫ですよ♪ここにはイタズラ好きの天使と天使のような悪魔さんとダラダラしてるけど根は優しい天使さんしかいませんので…♡   (2023/3/2 15:52:37)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> もうっ…はい、ガヴは頑張ったわね…よしよし（優しく頭なでなでして）   (2023/3/2 15:54:23)

後藤ひとり> じゃ、じゃあ行こうかな……はい……天使だらけですね！？ここは天国なんでしょうか……(いそいそと皆さんの方へ近寄り)   (2023/3/2 15:54:57)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ふふ、なんだかんだ言って甘やかしちゃうヴィーネさんも可愛いですね…♪（くすくす）   (2023/3/2 15:55:05)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 私、悪魔なんだけど…（むぅ…）   (2023/3/2 15:55:41)

おしらせ> 滞在時間が360分を超えたため、後藤ひとりさんが自動退室しました。  (2023/3/2 15:55:41)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> あー！   (2023/3/2 15:55:52)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ヴィーネは、悪魔っぽいなにかだよ。(そのまま撫でられすりすり〜っ   (2023/3/2 15:56:06)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/2 15:56:17)

後藤ひとり> はっ……   (2023/3/2 15:56:28)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> 近寄ってきたら天に召されてしまいましたね…？   (2023/3/2 15:56:31)

後藤ひとり> 天国って発言が伏線に……   (2023/3/2 15:56:43)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> じゃあ後はラフィに任せて私は帰ろうかな、まだ外なのよ…   (2023/3/2 15:57:44)

後藤ひとり> あ、行ってらっしゃいです   (2023/3/2 15:58:14)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしも今外歩いてるぞ〜(もそもそ   (2023/3/2 15:58:23)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ぇー、わたし、もっとヴィーネさんで遊び…いえ、ヴィーネさんと遊びたいのに残念です…♪それではまたいずれ、ですかね？   (2023/3/2 15:58:33)

後藤ひとり> 私はバスです……   (2023/3/2 15:59:08)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ガヴちゃんも外だったんですね？私は暖房の効いた暖かいお部屋でぬくぬくしていますが…♪   (2023/3/2 15:59:17)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 今帰るとこだからな〜   (2023/3/2 15:59:45)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 本音漏れてるってば！私はガヴいたら顔出すし…ラフィ見掛けても顔出すと思うから、またすぐ会えるわよ。じゃあ、またね〜   (2023/3/2 15:59:54)

おしらせ> 月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙさんが退室しました。  (2023/3/2 16:00:02)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> またな〜(ふりふり   (2023/3/2 16:00:33)

後藤ひとり> お疲れ様です……   (2023/3/2 16:00:38)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> お疲れ様です♪ふふ、そんなふうに言って貰えるのは嬉しいですね…♪   (2023/3/2 16:01:23)

後藤ひとり> ふう……(くたり)   (2023/3/2 16:04:02)

おしらせ> 滞在時間が360分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/2 16:04:45)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/2 16:04:57)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 来ると思った~。   (2023/3/2 16:05:03)

後藤ひとり> ですよね…私のすぐあとに入りましたし……   (2023/3/2 16:05:28)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ふふ、おふたりとも外にいるのに随分と長くこちらにいられたんですね…♪   (2023/3/2 16:05:52)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしはそれこそ暇だったからな~   (2023/3/2 16:06:37)

後藤ひとり> 私は１時から外に出てて……それまでは家にいましたね……   (2023/3/2 16:06:40)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> 春休みを満喫していますね♪私はあと1時間後にアルバイトがあるので50分頃にはここを離れなければ、ですが…   (2023/3/2 16:08:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> バイトか〜。だるいなぁ〜。ぅ〜。   (2023/3/2 16:09:31)

後藤ひとり> はい……ゴロゴロ最高……ラフィさんはバイト頑張って……   (2023/3/2 16:09:55)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ふたりともすごい怠惰なところでシンクロしていますね〜…♪   (2023/3/2 16:10:54)

後藤ひとり> 私達どちらかと言う同族ですし……   (2023/3/2 16:12:16)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ラフィもゴロゴロするか〜？   (2023/3/2 16:12:20)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ん〜、そうですね〜おふたりがごろごろしているところを遠くから観察しておきます…♪   (2023/3/2 16:13:20)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん〜…(毛布握って、鉛筆みたいにころころ。   (2023/3/2 16:14:05)

後藤ひとり> 私も……(ダンボールに隠れて)   (2023/3/2 16:14:49)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> あら、ふたりが一緒にゴロゴロするわけじゃないんですね…？   (2023/3/2 16:15:29)

後藤ひとり> あ、そういう事ですか……   (2023/3/2 16:16:15)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> はい…♪あ、もちろん無理強いはしませんが、ダンボールの中に閉じこもっているよりは面白そう、ですし♪   (2023/3/2 16:20:16)

後藤ひとり> だ、大丈夫ですよ……ガヴさんさえ良ければ……(そーっとくるまってる方に近寄り)   (2023/3/2 16:21:10)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ガヴちゃん、移動中と言ってましたし、お返事ありませんね…？（ほっぺさわさわ）   (2023/3/2 16:26:28)

後藤ひとり> ですね……(反対の頬をさわさわ)   (2023/3/2 16:26:42)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが部屋から追い出されました。  (2023/3/2 16:28:48)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ.さんが入室しました♪  (2023/3/2 16:28:48)

後藤ひとり> ！？   (2023/3/2 16:29:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ.> 充電死んだ…でもなんとか帰れた。   (2023/3/2 16:29:06)

後藤ひとり> お帰りなさいませ……   (2023/3/2 16:29:24)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> 居ないのならば仕方ありません、お顔に落書きだけ残してからそっとしておいてあげましょう…♪（ほっぺに油性ペンを近づけ……）あ、おかえりなさい、ガヴちゃん♪   (2023/3/2 16:29:32)

後藤ひとり> 危なかったですね……危うくイタズラがバレるかと思いましたよ……   (2023/3/2 16:31:36)

おしらせ> 白金燐子さんが入室しました♪  (2023/3/2 16:34:07)

後藤ひとり> あ、おかえりなさいです……   (2023/3/2 16:34:30)

白金燐子> こんにちは…（ぐったり）   (2023/3/2 16:34:38)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> こんにちは、初めまして…♪   (2023/3/2 16:35:06)

後藤ひとり> お疲れ様です……(よしよし)   (2023/3/2 16:35:23)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ.> ん〜、(手に握られた油性ペンを見つめて、こてん、と   (2023/3/2 16:36:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ.> おつかれさま〜   (2023/3/2 16:36:39)

白金燐子> 初めまして…白金燐子といいますよろしくおねがいします…（ぺこっ）　仕事疲れました…（ふにゅ）   (2023/3/2 16:36:51)

後藤ひとり> お疲れ様です………私も帰宅です……   (2023/3/2 16:37:24)

白金燐子> 私は家に帰ってきてごろごろしてます…   (2023/3/2 16:38:12)

後藤ひとり> お疲れ様です……   (2023/3/2 16:39:33)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> ふふ、わたしはラフィエル、と申します、もうそろそろ家を出なければなのでお話はまた今度になってしまいそうですが、是非覚えておいていただけたら、と…♪   (2023/3/2 16:40:07)

白金燐子> ひとりちゃんもお疲れ様です（よしよし）　ラフィエルさんですか、覚えておきます。バイトですか頑張ってください…。   (2023/3/2 16:41:35)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> 雨が降りそうでなければもう少しギリギリまで居られたのですが…それでは、失礼しますね…♪またいずれお会いしましょう♪お疲れ様でした…♪   (2023/3/2 16:43:14)

おしらせ> 白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽさんが退室しました。  (2023/3/2 16:43:18)

後藤ひとり> あらお疲れ様でした……   (2023/3/2 16:44:02)

後藤ひとり> 燐子さんもおつかれで……(すりすり)   (2023/3/2 16:44:11)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ.> いってらっしゃ〜い   (2023/3/2 16:44:55)

白金燐子> お疲れ様でした…（ひらひら）　んっ、ありがとうございます（ぎゅう）   (2023/3/2 16:46:59)

後藤ひとり> 燐子さんもお疲れ様ですね…(抱き合いすりすり)   (2023/3/2 16:49:33)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/2 16:52:46)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 機種へんこー(やっとスマホ生き返った。   (2023/3/2 16:53:04)

後藤ひとり> あ、おかえりです   (2023/3/2 16:53:24)

白金燐子> はい、だいぶつかれましたぁ（ぎゅうっとだきながらすりすり）　お帰りなさい   (2023/3/2 16:53:50)

後藤ひとり> ゆっくり休んでくださいね？……(抱き合いつつも頬ずりをして)   (2023/3/2 16:55:07)

白金燐子> ゆっくり休みますよ？…（落ち着くのかそのままもたれながら抱きついて）   (2023/3/2 17:00:03)

後藤ひとり> はい……私もとりあえずお風呂に入ろうかと……(抱き合いながらもそわそわと)   (2023/3/2 17:03:11)

白金燐子> いってらっしゃい？（きょとんとしながら抱きつかないほうがいいかなとおろおろ）   (2023/3/2 17:04:38)

後藤ひとり> あ、いやすぐ戻るしまだお湯沸かしてないので……   (2023/3/2 17:06:23)

白金燐子> あ、なるほど…（ふにゅ）   (2023/3/2 17:08:29)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ.さんが自動退室しました。  (2023/3/2 17:10:03)

後藤ひとり> はい……なので戻ったらまた抱き合いたいです……   (2023/3/2 17:11:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふぁ〜。   (2023/3/2 17:11:53)

白金燐子> いいですよ？（こくっとうなずき）　眠たいんですか？   (2023/3/2 17:12:08)

後藤ひとり> なのでとりあえずお風呂へ……眠いなら無理せず……   (2023/3/2 17:14:31)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/2 17:14:40)

白金燐子> いってらっしゃいです…   (2023/3/2 17:14:59)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ちょっと眠たい……。   (2023/3/2 17:16:46)

白金燐子> あれだけすることしてたら眠いのも無理はないですね…（あたまなでなで）   (2023/3/2 17:17:50)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んふぅ……でしょぉ。(すりすり   (2023/3/2 17:19:48)

白金燐子> はい、すごい頑張ったと思います…（よしよし）   (2023/3/2 17:20:21)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 明日も頑張る。(ぎゆっ〜   (2023/3/2 17:26:12)

白金燐子> 頑張ってください…（ぎゅう）   (2023/3/2 17:28:48)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ありがとぉ〜(すりすり。ぎゅぅ〜む。   (2023/3/2 17:31:19)

白金燐子> どういたしまして…（よしよし。ぎゅう）   (2023/3/2 17:32:09)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んぅ〜。(もそ。と顔を上げ。胸元にすりすり。   (2023/3/2 17:34:05)

白金燐子> 可愛いですね…（よしよし。ふにゅう）   (2023/3/2 17:35:14)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おっき……♡(むに、むに。と頬うめたまますりすり   (2023/3/2 17:35:50)

白金燐子> んっ、よかったです♡（よしよしなでながら、にこっとして）   (2023/3/2 17:39:36)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/2 17:40:52)

後藤ひとり> 戻りました……   (2023/3/2 17:40:59)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おかえり〜。(燐子の胸に顔埋めたまんま手フリフリ   (2023/3/2 17:41:25)

後藤ひとり> はい……(ドライヤーかけて)   (2023/3/2 17:41:33)

白金燐子> お帰りなさい（ひらひら）   (2023/3/2 17:41:43)

後藤ひとり> はい……   (2023/3/2 17:41:58)

白金燐子> はふぅ…（ふにゅ）   (2023/3/2 17:47:40)

後藤ひとり> (ドライヤーをかけて)   (2023/3/2 17:48:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふぁ~。   (2023/3/2 17:49:57)

後藤ひとり> あ、続けてていいですよ…髪乾かしてるので…   (2023/3/2 17:51:57)

白金燐子> いえ、ひとりちゃんをまちます（ガヴリールさんのあたまなでなで）   (2023/3/2 17:55:23)

後藤ひとり> ならドライヤー終わらせますね……   (2023/3/2 17:55:44)

白金燐子> ゆっくりあせらずに待てる間は待ちますので…   (2023/3/2 17:56:21)

後藤ひとり> とりあえず一通りは終わらせました……   (2023/3/2 18:00:41)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んむぅ(もそ、もそ   (2023/3/2 18:01:01)

後藤ひとり> ね、眠そう……   (2023/3/2 18:03:32)

白金燐子> 眠そうですね。   (2023/3/2 18:03:43)

後藤ひとり> 眠いなら無理せず………(後ろからガヴさん抱きしめて)   (2023/3/2 18:05:18)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ちよっとたけぇ(こくこく、   (2023/3/2 18:08:07)

後藤ひとり> 無理しないで……(後ろからぽんぽん)   (2023/3/2 18:08:47)

白金燐子> むりせずにねてもだいじょうぶですよ？（ぎゅう）   (2023/3/2 18:09:42)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んぅ。もう少し話してたぁい(もそもそ   (2023/3/2 18:11:53)

おしらせ> 森久保乃々さんが入室しました♪  (2023/3/2 18:12:00)

後藤ひとり> あ、どうも……   (2023/3/2 18:12:13)

森久保乃々> あ、どうも……   (2023/3/2 18:12:20)

後藤ひとり> ならそうしてますか………(燐子さんとガヴさんまとめて抱きしめて)   (2023/3/2 18:12:33)

森久保乃々> ……ガヴリールさんを寝かしつける会ですか？   (2023/3/2 18:12:36)

後藤ひとり> あ、そこは真似するんですね……   (2023/3/2 18:12:40)

後藤ひとり> なのかも…   (2023/3/2 18:12:47)

森久保乃々> 先制攻撃されたので……   (2023/3/2 18:13:00)

後藤ひとり> 先手必勝ですし……   (2023/3/2 18:13:25)

森久保乃々> さて、とりあえずこんばんは……初めましての方もいるので…森久保乃々です…（ぺこり）   (2023/3/2 18:15:15)

白金燐子> 白金燐子です（ひとりちゃんにだかれながらぺこっ）   (2023/3/2 18:17:28)

森久保乃々> ふむふむ……なかなかおとなしそうな方……ひとりさんがなつくのも頷けます…（こくこく）   (2023/3/2 18:19:39)

後藤ひとり> 即座に察された！？   (2023/3/2 18:19:55)

森久保乃々> 半分勘でしたけど、どうやら当たっていたみたいですね？（くす）   (2023/3/2 18:21:30)

後藤ひとり> 勘のいいののさんです   (2023/3/2 18:23:22)

森久保乃々> まあひとりさんは根気よく優しくしてればたいていなつくでしょうし…   (2023/3/2 18:24:51)

後藤ひとり> ……これガヴさん寝ましたね……(ののさん見ながら)   (2023/3/2 18:27:27)

森久保乃々> そのうち帰ってきますよ、多分   (2023/3/2 18:27:48)

森久保乃々> しかしまったり空間ですね……（ふぁぁ…）この時間はこんなものでしょうか…   (2023/3/2 18:28:54)

白金燐子> ちょっとゲームしてました…   (2023/3/2 18:30:09)

後藤ひとり> 私もお風呂上がりで眠気が……   (2023/3/2 18:30:31)

後藤ひとり> あ、お疲れ様です燐子さん   (2023/3/2 18:30:36)

白金燐子> ５回だけの簡単なお仕事でした…   (2023/3/2 18:31:02)

森久保乃々> ひとりさんが眠いのはいつものことでは……もりくぼも最近はいつも眠いですけど…   (2023/3/2 18:31:24)

森久保乃々> もりくぼも裏で原神してます……アプデ来たのでやることも少々ありますしね…   (2023/3/2 18:31:58)

後藤ひとり> ガチャですか？……原神は……ブルアカのリセマラも終えたしやろうかな……   (2023/3/2 18:32:22)

森久保乃々> ガチャは……うーん…もりくぼの手持ちにも合わないし引く気はあんまり…   (2023/3/2 18:33:08)

後藤ひとり> あ、燐子さんに聞きました……5回って言うから…   (2023/3/2 18:33:36)

森久保乃々> （恥ずかしい）   (2023/3/2 18:33:53)

白金燐子> いえ、クエストを５回するだけの簡単なお仕事をしただけです…   (2023/3/2 18:34:21)

後藤ひとり> あ、なるほどすいません間違えて……   (2023/3/2 18:34:55)

後藤ひとり> (ののさんよしよし)   (2023/3/2 18:35:00)

白金燐子> 大丈夫ですよ…（ひとりさんよしよし）   (2023/3/2 18:36:21)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> (もそ   (2023/3/2 18:36:46)

森久保乃々> ……何のゲームか、って聞いたときに何も知らないし興味もないようなやつだったらと、聞くのが怖くなるもりくぼです…   (2023/3/2 18:36:54)

後藤ひとり> んっ…(燐子さん抱きしめて………)あ、起きてた……   (2023/3/2 18:37:09)

森久保乃々> 読み通り生きていましたね   (2023/3/2 18:37:11)

後藤ひとり> 私も知らないゲームがほとんどです……   (2023/3/2 18:37:18)

森久保乃々> そこから話を広げられないのがコミュ障というやつなんですね…はい…   (2023/3/2 18:38:14)

白金燐子> おきてました。んっ…（ぎゅう）   (2023/3/2 18:38:34)

白金燐子> グラブルをすこししただけです…   (2023/3/2 18:38:51)

後藤ひとり> 同じくらいコミュ障……グラブルは……ジータさんが可愛いのだけは知ってます   (2023/3/2 18:39:16)

森久保乃々> 古戦場がこわいことしか知りません……うちのアイドルも打ち上げられてるみたいですけど…   (2023/3/2 18:39:54)

白金燐子> いろいろかわいい子はいますよ…   (2023/3/2 18:40:04)

白金燐子> シンデレラガールズの面子でしたかね   (2023/3/2 18:40:26)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 起きてるおきてるぅ   (2023/3/2 18:41:00)

後藤ひとり> 確かコラボしてましたね……私は最近ブルアカを始めました……   (2023/3/2 18:41:30)

森久保乃々> 確認したら結構な数のアイドルが行ってました……自社内とはいえ、こんなにコラボ重ねてたんですねぇ…   (2023/3/2 18:42:55)

白金燐子> してますね…私はプリコネをしょうしょ   (2023/3/2 18:43:12)

後藤ひとり> プリコネもありますね……   (2023/3/2 18:43:35)

白金燐子> いつかシャイマスもすることをいのってます…   (2023/3/2 18:43:38)

森久保乃々> ちょっと違うところですから……   (2023/3/2 18:44:43)

白金燐子> 後はウマ娘とかいろいろですかね…   (2023/3/2 18:45:44)

後藤ひとり> コラボですか……リコリココラボどこかしないですかね……   (2023/3/2 18:46:26)

白金燐子> どうなんでしょう…   (2023/3/2 18:46:37)

白金燐子> リコリコはモンストでこないかな…   (2023/3/2 18:47:04)

後藤ひとり> モンストとするって噂があるので今オーブ貯めてますが……   (2023/3/2 18:47:07)

後藤ひとり> 被った…   (2023/3/2 18:47:14)

白金燐子> そこくらいしかないかなって後は荒野行動とか？   (2023/3/2 18:48:28)

白金燐子> そこくらいしか思いつかないです…   (2023/3/2 18:49:02)

後藤ひとり> 2月はハガレンでしたね……荒野行動はしてないから何とも……(ぐへえ)   (2023/3/2 18:49:29)

森久保乃々> （ソシャゲわからないの顔）好きな作品にコラボしてほしいというのはわかりますけど…   (2023/3/2 18:50:14)

白金燐子> ハガレンはかぶりしかこなかったです…私ももうしてないですね…   (2023/3/2 18:51:09)

後藤ひとり> まあそうですよね……私もソシャゲはそんなにしてないし   (2023/3/2 18:51:17)

後藤ひとり> 私は石貯めのためにそんな引かなかった……1月のガンダムは水星の魔女しか見た事ないのでログインでスレッタさんだけ運極にしました……   (2023/3/2 18:51:59)

白金燐子> （ふにゅ）   (2023/3/2 18:53:17)

森久保乃々> （もにゅ）   (2023/3/2 18:53:37)

後藤ひとり> (むにゅ)   (2023/3/2 18:54:22)

森久保乃々> ……いったい何が揉まれているのやら   (2023/3/2 18:56:01)

白金燐子> 胸でしょうか（？）   (2023/3/2 18:56:58)

後藤ひとり> ほっぺかもです……   (2023/3/2 18:56:59)

後藤ひとり> 胸も触りますが……   (2023/3/2 18:57:05)

森久保乃々> とりあえず困ったときはひとりさんの胸を揉めばいいらしいです……（もみ）   (2023/3/2 18:57:41)

白金燐子> 私もいっぱいもまれました（ひとりちゃんのむねもみ）   (2023/3/2 18:58:31)

後藤ひとり> ひあっ……♡2人して同じことしないでっ……//(2人にまとめて揉まれて)   (2023/3/2 18:59:14)

白金燐子> 朝もんでもいいといわれたのでつい（ふにゅ）   (2023/3/2 19:00:09)

森久保乃々> すけべな反応ですね……（指沈み込ませ）   (2023/3/2 19:00:21)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> (●REC   (2023/3/2 19:00:35)

後藤ひとり> 胸に飛び込んで来てという意味で言ったんですが……///まぁいいですけど……//っ……♡(2人の頭を撫でつつも顔を赤く)   (2023/3/2 19:01:34)

後藤ひとり> 撮られてる！？……///   (2023/3/2 19:01:39)

白金燐子> 飛び込むはさすがにできないですね…   (2023/3/2 19:02:44)

森久保乃々> ……もりくぼはセクハラしないと言いましたけど、普通にしました…反応よすぎじゃないですか？そんなに溜まってましたか？   (2023/3/2 19:02:48)

白金燐子> 撮ってますねぇ   (2023/3/2 19:02:56)

後藤ひとり> 飛び込むというか……その……顔を私の胸に当てるみたいな……いや……まあ確かに最近はしてないけど………(もじもじ)   (2023/3/2 19:03:52)

森久保乃々> というか、ひとりさんが部屋に行ってるところをろくに見てないような…（じー…）   (2023/3/2 19:04:58)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふはぁ(つやつや。   (2023/3/2 19:05:24)

白金燐子> あーなるほど…（ふむふむ）   (2023/3/2 19:05:24)

白金燐子> つやつやしてます…   (2023/3/2 19:05:34)

後藤ひとり> 旅行しながらなので雑談メインでした……ま、まあ揉まれるのも好きですから………   (2023/3/2 19:06:06)

森久保乃々> 何をしてたんでしょうねぇ…   (2023/3/2 19:06:13)

後藤ひとり> 1人でしてたんですね……   (2023/3/2 19:06:14)

森久保乃々> いえ、それ以前も……行ってましたっけ……   (2023/3/2 19:06:42)

白金燐子> 揉まれるのは誰しも通る道…   (2023/3/2 19:07:17)

後藤ひとり> 胸ある人はだいたい触られますし……行ってたのは先週までですね……   (2023/3/2 19:07:54)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 2.3発。(ふぅ。くて   (2023/3/2 19:08:27)

後藤ひとり> し過ぎです……   (2023/3/2 19:08:40)

白金燐子> 私もひとりちゃんとガヴリールさんにもまれました…   (2023/3/2 19:08:52)

後藤ひとり> スタイルいいですからね……   (2023/3/2 19:09:25)

森久保乃々> もりくぼは揉まれることは少ないですね……乳首は弄られがちですけど…   (2023/3/2 19:10:48)

後藤ひとり> それは遠回しにして欲しいということですか……   (2023/3/2 19:11:32)

白金燐子> いいほうではありますね…   (2023/3/2 19:11:42)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おっき過ぎ……♥   (2023/3/2 19:11:49)

森久保乃々> してほしいわけではないですね…はい…   (2023/3/2 19:12:17)

白金燐子> おっきいのは認めます…   (2023/3/2 19:12:34)

後藤ひとり> いいと思います……♡さわりがいがあって……(うへへ)   (2023/3/2 19:13:36)

森久保乃々> …と、もりくぼはあちら   (2023/3/2 19:13:51)

森久保乃々> へ少々…   (2023/3/2 19:13:55)

