/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月13日 13時17分 ～ 2023年02月13日 19時56分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

結月ゆかり> 錬金術じゃないですか   (2023/2/13 13:17:33)
倉内安奈> ふふ、お相手がやってきて良かったですね。添い寝大流行…ってところでしょうか。(ペコさんとマックイーンさんにはひらひらと手を振りましょう。目の前のチセさんに視線を戻せば、じーっと見つめて)大勢の人がいるのは苦手ですが？では私だけを見てしまいましょう。2人だけの世界に入ってしまえば、恥ずかしいのもどこへやら、です。沢山甘えて下さいね？(瞳を潤ませるチセさんがまあ可愛らしく、むぎゅうって私の胸に押し付けるように抱き締めちゃいます)
  (2023/2/13 16:12:19)

ペコリーヌ> 寝る前だったってのもありましたしね、ちょっとした賑やかしに？(たまにはそういうのもいいなぁっておもってたのでっと。軽くマックイーンさんに凭れかかり)私が添い寝っていうとエッチな事になっちゃいそうですし！(こくこく   (2023/2/13
16:15:16)

羽鳥智世 ◆> なんか、不思議な光景ですね…（ふたりのくっつく姿と、真横の相手の顔を交互に眺める。自分がここにいることが、不思議な気分）そうかも…。普段あんまり人が多いところにはいかないので……わっ…（と、小さく驚きながら。胸の柔らかさに甘えるように）  
(2023/2/13 16:15:29)

羽鳥智世 ◆> そ、その…わたし…二人のこと迷惑とかほんとないから…   (2023/2/13 16:15:52)

メジロマックイーン> あら。寝てしまうのです？少し残念ですが、安眠のお手伝いができれば。…ふふ、そう言うお誘いも大歓迎ですので、ぜひ気が向きましたら。（くす)   (2023/2/13 16:16:42)

ペコリーヌ> あ、いえ、私がでなく智世さんが？私の方に関しては起きてますよ。悪戯相手はいつでもぼしゅうですよ！(わきわき、マックイーンさんのほっぺつんつん)   (2023/2/13 16:17:38)

倉内安奈> 実を言う私も大勢の方のおもてなし…というかお相手が得意ではなく下手だったりするんですけどね(一人の方に集中してしまう性格なんです)大勢で遊ぶ部屋で来客を迷惑になんて思うわけもありませんから、そんな気にせずいいんですよー。よしよし、どうですか。私の胸、心地良いですかー？(谷間に顔を埋めさせたまま後頭部をさわさわ撫でちゃいます)
  (2023/2/13 16:19:28)

メジロマックイーン> (ほっぺぷにぷにされつつ。)…では、まあ、いつでもお誘いくださいと言うことで。私も同じですわねー…雑談を多人数に対して返すくらいならともかく、描写となると。この辺は、実際に音声で話してないと難しいところですわねー。  
(2023/2/13 16:20:19)

羽鳥智世 ◆> あ、はい…。えっと…みんなありがとうございます。（ちゃんと返信できないことを謝って。なお、心地よさげに擦り付きながら。とても気持ちよくて、とても満たされる…と）   (2023/2/13 16:22:13)

ペコリーヌ> 確かに多人数だと面倒くさいですもんね。私も3人までが一番いいのでっ。折角ですしマックイーンさんにあまえちゃいましょう(むねをぎゅーっとおしつけ、ふにふに)   (2023/2/13 16:22:19)

メジロマックイーン> 甘えたいです？甘やかされる役も歓迎ですが…ふふ。こんなに柔らかくて肉感的で、可愛いペコリーヌさんと抱き合えるのですから、私も役得です。（頭ゆっくり撫で回しつつ。こつんと額合わせてちゅ、♥)   (2023/2/13 16:24:02)

倉内安奈> 大勢にお返事は出来ませんけど、ちゃんと見ていますし、その光景に却って興奮してしまったりはあるのでこういう場自体は好きなんですけどねー(別でぎゅーしてるお二人にも頬を緩ませちゃいます。うふふふふ)今は中々お暇が無いかもですけど、好きなことしていいんですよ。チセさんは自分からするのと、してもらうの。どちらが好みなのでしょうか…♪(チセさんの顔は胸で挟んだままで、背中をすーり、すーり。指先を這わせるように優しく撫でちゃいます)
  (2023/2/13 16:27:22)

ペコリーヌ> 私は好きな事する方がすきでーす(きいてない。嬉しそうにマックイーンさんによって。ちゅ……小さく口づけ返し)肉質的…確かにムチムチはしてますが(たぷっと胸を揺らして。むにゅっともたれかかり)   (2023/2/13 16:29:03)

羽鳥智世 ◆> どっちもすき…かな。時間ないけど来ちゃってごめん…。（と、少し申し訳な下げ。けれども、ゆっくりと顔をパフパフしてもらうことも好き、自分からちょっと遠慮がちにスカートをめくるように…手で触れたいと）   (2023/2/13 16:30:13)

メジロマックイーン> 私はどちらかといえば尽くすタイプですので。ペコリーヌさんが好きな事をする方が………同じですわね、ふふ。（されたら、もう一度ちゅ。するする…と背筋を伝って腰まで撫でつつ、目を閉じて。♥)   (2023/2/13 16:30:38)

ペコリーヌ> 好きな事をって言われるとマックイーンさんにねっとり楽しみたいですが(軽くぎゅーっと抱き着いて。ほっぺをすりすり)   (2023/2/13 16:36:07)

メジロマックイーン> もちろん大歓迎ですけど…？（くす。ほっぺを擦り寄せて、耳元で小さく囁いて…)   (2023/2/13 16:36:37)

倉内安奈> 私もしっかり遊びたいというよりゆるゆるっと戯れたい気分だったので気にしないで下さいー。ふふ、少し奥手の攻めさんってこと、ですかね…じゃあ優しく誘ってあげないとですね。……んっ、ぅふふ……したいように触って良いですからねー…？(短いスカートを上げられれば太ももに手が当たり擦れ軽く声が漏れつつも、「もっとしてもいいですよ」と伝えるように私の手を一緒に添えます)
  (2023/2/13 16:37:20)

羽鳥智世 ◆> えっと…はい…。それで…添い寝とかみんなしてて少しいいな…って。（太ももに手を添えて、遠慮がちに擦ってみたりしながら。温かい手のひら、とっても嬉しい。）   (2023/2/13 16:40:49)

ペコリーヌ> 戯れはいいものですよねー。えへへ、マックイーンさんに出会えたのは偶然ですけど私たちも戯れちゃいます？(じーっとくっついて   (2023/2/13 16:41:14)

倉内安奈> ちょっと太っちゃったかもしれませんね。でも、触り心地は良くなってるかもです(太ももの触り心地はもちもちかもしれません。よしよしってもう片方の手で胸の谷間に挟みっぱなしのチセさんの頭を優しく撫でれば)ゆるーく添い寝、いいですね。そのまま眠れたら幸せになれちゃいます。……ね？(遠慮がちなところも可愛らしく、おでこにキス当てちゃいます)
  (2023/2/13 16:44:56)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/13 16:48:59)

後藤ひとり> こんばんは   (2023/2/13 16:49:04)

羽鳥智世 ◆> そんなことはないと思います…。とても、優しい心地…（少し息を胸にかけながら、相手にキスをされるとピクリと反応。　太ももをもち…と遠慮がちに撫でて、私は好きと言葉に出して。）寝れるときに…求めたくもあるかな…。（キスからも逃げず…）  
(2023/2/13 16:50:06)

羽鳥智世 ◆> あ、また……（あかあか）   (2023/2/13 16:50:13)

ペコリーヌ> 智世さんが恥ずかしい格好に、いらっしゃいませー(ひらひら   (2023/2/13 16:50:38)

後藤ひとり> 失礼しますね……   (2023/2/13 16:52:03)

倉内安奈> 柔らかいのが好きで良かったですよ。やわやわに沢山包まれてくださいねー？んー…♪(チセさんの頭くいって、こちらに向けさせれば、今度は唇同士を触れ合わせちゃいます。もっと触ってもいいんですよー、と添えた手で、チセさんの手を上に誘って太ももからショーツに包まれたお尻の方へと登らせてあげて…)
  (2023/2/13 16:54:59)

ペコリーヌ> いらっしゃいませー。マックイーンさんに今度悪戯してあげなきゃですね(ひとりさんぎゅー   (2023/2/13 16:55:28)

倉内安奈> ご来客ですね。ここは大にぎわいです。こんにちは(ぺこりと)   (2023/2/13 16:55:34)

後藤ひとり> はい、お邪魔します…(抱きつかれて)   (2023/2/13 16:56:25)

羽鳥智世 ◆> はい…少し大人数で恥ずかしいですけど…気持ちいいです。（視界が相手に埋もれたら少し幸せそうに声を漏らして…。ショーツの隙間から指を差し込んで…むちむちのお肉をにぎにぎとろしながら…キスを受け止めて…）   (2023/2/13
17:01:32)

おしらせ> 無言時間が25分を超えたため、メジロマックイーンさんが自動退室しました。  (2023/2/13 17:01:45)

ペコリーヌ> 恥ずかしがる二人をみながらもいいものです(ひとりさんすりすり   (2023/2/13 17:02:10)

後藤ひとり> ですね………(ペコリーヌさん撫でて)   (2023/2/13 17:03:37)

倉内安奈> んんー…♪ん、ん…ふ(気持ちよくなってくれてるなら良かったです、と目を細めて喜べばキスは続けたまま。少し積極的になったチセさんの手、欲求のままもにもにと揉まれてることに興奮して身を捩らせちゃいます。繋がった唇からも時折吐息が漏れてしまいます。もっと気持ち昂らせてあげようと、抱き締めてるチセさんのお尻まで手を下ろして、円を描くように優しく撫でてあげちゃいます)
  (2023/2/13 17:06:37)

おしらせ> ディズィーさんが入室しました♪  (2023/2/13 17:06:58)

ペコリーヌ> おー、案外積極的ですね。ああいう悪戯はいいものです(ひとりさんにぎゅー。凭れかかり   (2023/2/13 17:07:08)

後藤ひとり> あ、こ、こんばんは……多分寝起きなので素が出てます………(もたれかかられながらもにへ)   (2023/2/13 17:07:45)

ディズィー> ん…。   (2023/2/13 17:07:49)

ペコリーヌ> おや、ディズィーさんもおはようございます、昨日はすっかりねちゃいましたっ(手招き手招き   (2023/2/13 17:08:35)

ディズィー> こんばんはぁ…（ちょっと雨に濡れた様子で髪をタオルで拭きながら）あ、楽にしていてください   (2023/2/13 17:08:47)

ディズィー> あ、ありがとうございます…（ペコリーヌさんのご厚意に甘えてお側でちんまり）   (2023/2/13 17:09:59)

ペコリーヌ> おや、大丈夫ですか(ディズィーさんをタオルでふきふき)   (2023/2/13 17:12:54)

ディズィー> ん…大丈夫ですよ…（とはいうもののタオルの感触が良くてちょっと甘えた）>ペコリーヌさん   (2023/2/13 17:14:43)

ペコリーヌ> 智世さんも寝ちゃった、でしょうか…(あ、そうでもなさそう。私たちはマイペースにディズィーさんを優しく吹いてあげつつひとりさんをなでときましょう)   (2023/2/13 17:17:53)

羽鳥智世 ◆> ちょっぴり…その、気持ちよくて…。（お尻の肉をつかんで、強弱をつけながら…ゆっくりと揉みつつ。吐息を感じれば嬉しそうに唇に舌を這わせて逃さないようにしたさそうにして…撫でられると華奢な体がぶるっ、と震えて）   (2023/2/13
17:18:21)

羽鳥智世 ◆> あ、えっと…いまきた人…あぅ…（ひとりさんと、ディズィーさんに真っ赤になりながら会釈…。今はこれで許してください）   (2023/2/13 17:19:03)

ディズィー> はい。（ぽわぽわとした感じに笑みを浮かべると）よしよし…（ペコリーヌさんと一緒にひとりちゃんを撫で撫で）猫さんみたい…   (2023/2/13 17:19:30)

後藤ひとり> ふ、2人にいつの間にか撫でられてました……(ペコリーヌさんとディズィーさんに同時に撫でられると嬉しそうに目を細めて)   (2023/2/13 17:20:26)

ペコリーヌ> えへへー、ぎゅー(ディズィーさんと一緒に胸をぎゅー、ぎゅー、おしつけて   (2023/2/13 17:21:22)

ディズィー> あ、ありがとうございます…智世さん…恥ずかしいかもですけど…その…見てます…（ディズィーも顔を赤らめて答えた）可愛いです…（声は小さい）   (2023/2/13 17:21:55)

倉内安奈> (ここのお部屋は代わる代わる人が来るんですね…なんて驚きながらディズィーさんに目配せでご挨拶。今はキス中なのです)んん、んー…♪(やわやわと揉まれるほんのりとした心地よさに息を漏らしつつも、舌の感触にこちらも唇開いてチセさんの舌にご挨拶しちゃいます。にゅく…って先っぽを押し付けるように。ふる、ふる。軽くお尻を振って、チセさんの手に自分からもお尻、擦り付けちゃいます。スカートがひらひらと揺れちゃってます)
  (2023/2/13 17:23:13)

ディズィー> うん…（ペコリーヌさんと一緒にひとりさんをほのぼの撫で撫で）えぇ…っ（ペコさんと一緒に胸を押し付けることになって）…胸に沈んじゃわないかな？…ひとりさん（とは言うものの意外とムッツリなのでやっちゃう人）ぎゅぅぎゅぅ…   (2023/2/13
17:24:36)

ディズィー> ん…（安奈さんの目配せに、笑みで返した…キスシーンだから私の顔は赤い）   (2023/2/13 17:25:52)

ペコリーヌ> ふふふー、これくらいは挨拶ですよ、挨拶(ディズィーさんにないこと教えつつ。ディズィーさんと身体をぎゅ、ぎゅ、くっつけあってひとりさんサンドイッチです)   (2023/2/13 17:26:11)

後藤ひとり> く、苦しいですけど……柔らかくていいですね………これ………(ペコリーヌさんとディズィーさんの柔らかいおっぱいが押し付けられて顔と後頭部が圧迫されるけど幸せな顔を浮かべ)   (2023/2/13 17:27:51)

ディズィー> 挨拶…あ、ひとりさんが幸せに窒息しそうになってます…（手で胸を持ってひとりさんの体に押し付けた…）ひとりさんの体…小さくて可愛ぃ…挨拶…です（ペコリーヌさんも見て）むにゅぅ…   (2023/2/13 17:30:49)

羽鳥智世 ◆> んっ……ふ…ぁ…っ……（舌同士のキスを楽しんだあと。先端の甘みを感じる部分を擦りつけて。おしりを押し付けられて、握りしめて、少しだけ…少しだけ。理性を削られるような気持ちになりながら…、夢中に堕ちるよう…。）   (2023/2/13
17:35:09)

ペコリーヌ> えへへー、私ともしちゃいます？(じーっと、ディズィーさんの唇を見つめて)ひとりさんにはいっぱいぎゅってしちゃいましょう、ふにゅふにゅ(っぎゅ、ぎゅー、なでなで)   (2023/2/13 17:35:38)

ディズィー> あ…ぅ…（べコリーヌさんに言われて、顔を紅潮させて、足をもじもじさせてた、何を我慢するように。ひとりさんにおっぱい押し付けながらもじもじ…）し…しないです…まだ…もうちょっと見てから…（恥ずかしさで顔を下に向けたりしてる）  
(2023/2/13 17:38:54)

倉内安奈> ぷ、ぁ……ごめんなさい、チセさん。いいところなのですが、こちらが時間になってしまったようです(頭を持ってゆっくり口を話せば、さわ、さわ。髪を撫でます。)また気が向いたときに遊びに来ますので、その時は構ってくださいね(皆さんにぺこりとご挨拶すれば、スカート揺らして鼻歌交じりに部屋を後にします。お陰でとってもご機嫌になれました)では、失礼しまーすっ(にこっ)
  (2023/2/13 17:38:55)

おしらせ> 倉内安奈さんが退室しました。  (2023/2/13 17:39:20)

ペコリーヌ> あ、おやすみなさいませ(ひらひら   (2023/2/13 17:39:43)

ディズィー> あ…やっぱり皆さん時間ってあるんですね…？行ってらっしゃいませ？安奈さん   (2023/2/13 17:40:12)

羽鳥智世 ◆> あ、お疲れさまです。（ぺこ   (2023/2/13 17:40:41)

後藤ひとり> このままは、私のことはお構いなく……(2人がハグすることで柔らかい巨乳が体や顔に押し付けれてその感触に心地よさそうな笑みを浮かべ)   (2023/2/13 17:40:54)

ペコリーヌ> ひとりさんはぎゅーっていつでもしますので(なでなで、ふにふに   (2023/2/13 17:41:51)

ディズィー> 胸の大きい2人ですから…（ひとりさん撫で撫で）   (2023/2/13 17:42:09)

後藤ひとり> 柔らかくて大きいですよね……(撫でられたり胸を押し付けられたり)   (2023/2/13 17:43:03)

ペコリーヌ> 智世さんもぎゅーって寝る前にしときます？(ふにふに、ぎゅー   (2023/2/13 17:45:23)

ディズィー> 私もいつ夕ご飯呼ばれたりとかあるから…途中まででよろしければ…そのしても…大丈夫のような…ちょっと恥ずかしいような……（両手を前で揃えたり落ち着かない様子）でも、今はみんなでふにふにしませんか？ペコリーヌさん   (2023/2/13
17:45:30)

ディズィー> あ、賛成です…智世さんも一緒に…。（ペコリーヌさんが言い出してくれてどこかホッとした様子で）   (2023/2/13 17:46:34)

ペコリーヌ> ディズィーさんとするのはまたいずれで全然にいですよー(ぎゅー、ひとりさんになでなで   (2023/2/13 17:49:40)

後藤ひとり> 落ち着きますねこれ……(撫で受け)   (2023/2/13 17:50:40)

ディズィー> はぃ…（ひとりさんの顔をなでなで。お胸で枕）   (2023/2/13 17:51:07)

羽鳥智世 ◆> まだしばらく寝れないですけど……大丈夫ですか？   (2023/2/13 17:52:13)

ペコリーヌ> 私たちもゆっくりしてますし、いいんですよー(智世さんもひきよせちゃいましょう、おしくらまんじゅうです   (2023/2/13 17:52:46)

後藤ひとり> おっぱいに挟まれてますね……   (2023/2/13 17:53:44)

ディズィー> わわっ…はい（智世さんを一緒に引っ張られたような自分から引っ張ったような）ゆっくり…です…   (2023/2/13 17:54:09)

ディズィー> おっぱいは幸せの感触っていいますよ？（微笑ましそうにぽふぽふ）   (2023/2/13 17:55:03)

後藤ひとり> ですよね……特にみんなの胸は柔らかいです………暫くはこうしてたいです……(にへ……)   (2023/2/13 17:57:29)

ディズィー> してて下さい…（ぽふっと言わせてくつろぎ中…）   (2023/2/13 17:58:48)

ペコリーヌ> ぎゅー(すりすり、みんなでくっついて、ふにゅふにゅ   (2023/2/13 17:59:12)

後藤ひとり> (幸せそうな顔)   (2023/2/13 18:01:04)

ディズィー> ん…♪（ひとりさんのことを抱き寄せたまま、クッションに持たれてる）ペコリーヌさんもふわふわ…   (2023/2/13 18:02:10)

ペコリーヌ> ん－(すりすり、ぎゅ、ぎゅ、すりすり   (2023/2/13 18:05:44)

羽鳥智世 ◆> あわわ……。すごいことになってる…（胸に潰されるような貴重な体験…）   (2023/2/13 18:05:53)

後藤ひとり> いいですよ……これ……(にや)   (2023/2/13 18:08:19)

ディズィー> けっこうちゃんと智世さんのことも掴まえてます…もっとくっつけて…下さい…。えいっ…と（ペコリーヌさんを、智世さんを挟んで抱き寄せてみた）   (2023/2/13 18:09:56)

ペコリーヌ> ふふふ、わたしたちのおっぱいにまけちゃうといいのです   (2023/2/13 18:10:23)

ペコリーヌ> 負けちゃうといいのです(おっぱいでぎゅー   (2023/2/13 18:10:24)

後藤ひとり> 負けちゃいます……(むぎゅられ)   (2023/2/13 18:10:38)

羽鳥智世 ◆> 私だけ小さいですけど…（ふたり、さんにんの胸を押し付けられて…心地よくて、温かい。どうにかなってしまいそう）   (2023/2/13 18:10:56)

ディズィー> あの…おっぱいには自信があります…。（おっぱいで受け止めちゅう）   (2023/2/13 18:11:30)

後藤ひとり> みんな大きいですからね……(胸に顔すりすり)   (2023/2/13 18:12:30)

ペコリーヌ> だいじなことだからにかいいってました(ぎゅ、ぎゅ、ふにふに、おっぱいでむにゅーっとおしつけ   (2023/2/13 18:14:06)

ディズィー> んー…でも、小さいとそれだけ体の性感帯と近くて敏感って聞いたことあります……（ひとりさんと智世さんの体を胸で堪能中）   (2023/2/13 18:14:39)

羽鳥智世 ◆> な、なんなんですか…敏感じゃない…と思うけど…。（あかあか）   (2023/2/13 18:16:04)

ペコリーヌ> ほうほう？(智世さんのほっぺつんつん、ひとりさんもつんつん   (2023/2/13 18:17:22)

後藤ひとり> なぜ私まで……(ぴく)   (2023/2/13 18:18:27)

ディズィー> ん…♪小さいとそれだけ幸せを享受する感覚が敏感…というお話しです。（ひとりさんを抱きかかえたまま、智世さんの背中をよしよし♪）   (2023/2/13 18:18:32)

ペコリーヌ> え、それはディズィーさんとくらべるためです？(ディズィーさんのほっぺをむにゅー、手でつついて   (2023/2/13 18:19:53)

ディズィー> えと…反応が人と違って面白い？あと、様子が過去の黒歴史とかぶさって…ごふごふ…>ひとりさん   (2023/2/13 18:20:18)

ディズィー> （ちょっとされるがまま…）私は逆に…肉感的というか…お肉が…。（ほっぺも柔らか）   (2023/2/13 18:21:52)

羽鳥智世 ◆> あうあう…   (2023/2/13 18:22:13)

後藤ひとり> な、なんか途中変なのも聞こえましたが……(びく)   (2023/2/13 18:23:08)

ペコリーヌ> えへへー、肉質よくてぷにぷになのはいいですよー。こうふんしますよー♡(むにゅ、むにむに)   (2023/2/13 18:25:07)

羽鳥智世 ◆> 私も…自分にはないのである人が好きですね…。（お肉の柔らかさに揉まれて、気持ちがいい……。　よしよしされると身体を少しだけ預けてみて）   (2023/2/13 18:26:24)

ディズィー> ん…（ぽよぽよ）…にゃ！いっぱいしちゃだめです…（たぶん柔らかいので、肉感に溺れる感じ）…はふぅ…だめ…ですよ…？んっ…   (2023/2/13 18:26:39)

ディズィー> と…（智世さんの体を支えるように軽く手を添えて）軽くて羽根みたい…んっ…   (2023/2/13 18:29:15)

ペコリーヌ> お、中々いいはんのうしますね♥(つーっとディズィーさんのお尻を軽く揉みこんで)ふふふー♥(ひとりさんのお尻もふにゅーっともんで)   (2023/2/13 18:29:21)

後藤ひとり> んっ……♡なんでお尻揉むんですかぁ………///(いきなりそこを揉まれてびくっと)   (2023/2/13 18:30:39)

ディズィー> いい反応…っじゃないですよ…ぉ…これでも触られると…その…変な感じは…します…。いや…どはないです…っ…   (2023/2/13 18:30:58)

ペコリーヌ> ふふふ、色々いたずらしたくなっちゃいますね♥(ふぅっと落ち着くように智世さんのお尻もすり、ちょっとなでちゃいましょう)   (2023/2/13 18:31:54)

羽鳥智世 ◆> あまり…たしかに重くはないかもです…。（鍛えてたりもしないし、肉も少ない…。）   (2023/2/13 18:32:00)

ディズィー> 【いや…ではないです…】   (2023/2/13 18:32:24)

羽鳥智世 ◆> ひゃぁ…っ…！？（急に撫でられればびっくりして少し跳ねて）   (2023/2/13 18:32:38)

ペコリーヌ> うーん、ひとりさんはふにふにして、智世さんはむにむにして。ディズィーさんはぷにぷにしました！(満足満足)   (2023/2/13 18:33:18)

後藤ひとり> 凄い適当な評価……   (2023/2/13 18:34:38)

ディズィー> ん…心配ないです…体が重くない分…敏感だから…そこを磨いていけば…と（智世さんを安心させようとよしよし）反応が好きな方は、たくさんいらっしゃいますから…   (2023/2/13 18:34:55)

ディズィー> うん…（ひとりさんに同調…）   (2023/2/13 18:35:43)

ペコリーヌ> じっくりした評価はそれはもう、余すことなく堪能してから？(きょとん   (2023/2/13 18:36:32)

羽鳥智世 ◆> 敏感になりたくはどうでしょう……（それはそれでなんだか嫌だと）   (2023/2/13 18:37:19)

ペコリーヌ> 最初は痛いかもしないけど、きもちよくなりますよってやつですね！   (2023/2/13 18:37:56)

ディズィー> ………（じっくり堪能されたらと想像してしまう桃色頭…）恥ずかしい…なと   (2023/2/13 18:38:01)

後藤ひとり> 時間がある時にでも是非…   (2023/2/13 18:38:32)

ペコリーヌ> ふふふ、三人とも骨抜きにしちゃいますからね(わきわき   (2023/2/13 18:39:26)

羽鳥智世 ◆> えっと…お手柔らかに…？   (2023/2/13 18:40:09)

ディズィー> ん…ちょっとエッチだったかも…合う人と一生懸命に自分自身を感じとっていればいいのかな…と。智世さんの望むように育てていって下さい…（と話しを濁した）   (2023/2/13 18:40:35)

ペコリーヌ> え、手取り足取り腰取りやるものだと、ちがいました？(じー、色々教え込むの楽しいですよ、よ   (2023/2/13 18:41:37)

ディズィー> ………乱れた姿を見られるのは、ちょっと恥ずかしい……   (2023/2/13 18:43:50)

ペコリーヌ> わかりますわかります。二人っきりでじっくりやるのもいいと思いますっ(こくこく   (2023/2/13 18:44:31)

羽鳥智世 ◆> えっと…同じく？（濁されたけれど、ディズィーさんに同調）   (2023/2/13 18:44:58)

ディズィー> 恥ずかしいんだけど…なぜかちょっとドキドキ……。（ちょっと二人を裏切った）   (2023/2/13 18:46:31)

ペコリーヌ> いちゃいちゃはじっくり楽しむのが一番です(こくこく   (2023/2/13 18:49:33)

後藤ひとり> 私はどちらでも……   (2023/2/13 18:52:48)

ペコリーヌ> ひとまずのびのびしましょうー(ぎゅー、くてー   (2023/2/13 18:53:57)

ディズィー> いちゃいちゃも好きだし…淫らも好きだし…ほっこりも好き…のんびりも好き……たぶん私は欲張り…（油断していたらしく白状した人）   (2023/2/13 18:54:26)

ペコリーヌ> 一緒にたのしめればなんでもいいです！   (2023/2/13 18:56:32)

羽鳥智世 ◆> 私は…みんなと仲良くなりたいですね…   (2023/2/13 18:56:44)

後藤ひとり> 私も仲良くしたいです   (2023/2/13 18:57:14)

ディズィー> 私も…うん…仲良く…。まだ自信はないですけど…   (2023/2/13 18:58:59)

ペコリーヌ> 身体でたしかめればいいんですよ、いつでもお待ちしてます(うんうん   (2023/2/13 18:59:29)

ディズィー> エッチって、もちろん性欲だけれども…他の人と仲良いよって確かめられる一番の方法なのかも…   (2023/2/13 19:00:45)

後藤ひとり> た、確かに……？   (2023/2/13 19:01:37)

羽鳥智世 ◆> なるほど…？   (2023/2/13 19:02:45)

ディズィー> …………。（ちょっとペコリーヌさんの感想を聞くのが怖い。ひと＆智世の視線が痛いです）   (2023/2/13 19:03:58)

後藤ひとり> と、とりあえずお風呂で抜けますね……   (2023/2/13 19:04:09)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/13 19:04:12)

ディズィー> 黒歴史を一つ増やしてしまった……です。あと、お疲れ様、ごゆっくりですね…   (2023/2/13 19:04:48)

ペコリーヌ> え、仲良しって身体でわかるのはいいとおもいます！と、いってらっしゃい   (2023/2/13 19:04:52)

羽鳥智世 ◆> あ…お疲れさまです。   (2023/2/13 19:05:17)

ディズィー> …（じわぁと涙目になってペコリーヌさんに抱きついた）   (2023/2/13 19:05:50)

ペコリーヌ> 私もえっちするのも性欲ってのもありますけど。つながりっていうか、一緒にいられる心地よさを共有できますもんね(ぎゅー   (2023/2/13 19:05:57)

ペコリーヌ> あ、もちろんえっち。だけじゃなくて、智世さんみたいに甘くいちゃついてってのも同じですよ(うんうん、大事です   (2023/2/13 19:06:35)

羽鳥智世 ◆> あ、えっと…安全でいい方法だと思います…よ…？（めそらし）   (2023/2/13 19:06:47)

ディズィー> うぐ…っ（フォローのおかげでちょっと立ち直った人）   (2023/2/13 19:07:56)

ペコリーヌ> 私とかディズィーさんみたいにえっちを大事にするのもそうですし、智世さんみたいにお話楽しくもどっちも同じです！なのでおーるおっけーですねっ(ディズィーなでなで   (2023/2/13 19:09:41)

羽鳥智世 ◆> わかり合うためにお腹に穴開けたりよりは…うん…いいと思う。（頷き   (2023/2/13 19:09:56)

ディズィー> うぐ…うん…。（ペコリーヌに慰められ中の見た目お姉さんなディズィー）   (2023/2/13 19:10:46)

ペコリーヌ> お腹に穴開けるはきょくたんすぎますね！？   (2023/2/13 19:11:19)

羽鳥智世 ◆> ちょっとモツが吹き飛びました。   (2023/2/13 19:11:34)

ディズィー> 智世がすごいことを比較対象に…（汗）   (2023/2/13 19:11:45)

ペコリーヌ> それいじょう伝えるのは別の意味でこわいのでおちつきましょう！？   (2023/2/13 19:12:07)

羽鳥智世 ◆> あ…ごめんなさい…。（お腹さすり）　   (2023/2/13 19:13:54)

ディズィー> 見た目とは裏腹にすごい体験を…知識があるのですね…。（魔法使いの嫁は確かそんなこともあったような…と思い返し）うん…落ち着こう…。   (2023/2/13 19:14:02)

ペコリーヌ> ですです、そっちのほうが言われると想像しちゃうのでこわいですし(ふるふる、ぎゅーっとディズィーさんにくっつき   (2023/2/13 19:14:51)

羽鳥智世 ◆> え、えっと…。今は健康……ですね…。多分……。昔よりは……。   (2023/2/13 19:16:29)

おしらせ> 琴葉茜さんが入室しました♪  (2023/2/13 19:17:25)

琴葉茜> いえーい今日も元気な茜ちゃんやでー♡（床に横倒れになってびくんびくん這いずりつつ）   (2023/2/13 19:17:53)

ディズィー> んっ…（抱きつかれると、本当にペコさんふわふわな女の子ですと思いつつ）……まぁ…相手を知るのにも一段一段です（智世さんの手を優しく握り）   (2023/2/13 19:17:55)

ペコリーヌ> あ、最近元気な茜ちゃんです、こんばんはー   (2023/2/13 19:18:19)

羽鳥智世 ◆> そうだね…。そのほうがいいかな……。　あ、こんばんは…。   (2023/2/13 19:18:38)

ディズィー> 元気というよりも働き過ぎて限界が近いような、アザトースに魂を売ったみたいな入り方な気がします。初めましてのこんばんは>茜さん   (2023/2/13 19:19:24)

琴葉茜> うぅん、そこは「ぜんぜん元気じゃないやん」ってツッコミが欲しかったなぁ…。　お、ディズィーちゃんははじめまして、ええ子やなー。…イグゼクスやとまだ実年齢３歳の頃か（やめれ）   (2023/2/13 19:20:45)

おしらせ> 支援さんが入室しました♪  (2023/2/13 19:21:08)

支援> 支援   (2023/2/13 19:21:11)

おしらせ> 支援さんが退室しました。  (2023/2/13 19:21:19)

ペコリーヌ> 茜さんはなんかこう……遊んでるイメージが私としては高いので(めそらし   (2023/2/13 19:22:20)

