/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年11月24日 02時40分 ～ 2022年11月26日 01時16分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

渋谷凛 ◆> やっぱり…クレーの頭の中はまだまだピンク色そうだけど……？   (2022/11/24 02:40:31)
錦木千束> 私も寝よっとぉ…おーやーすーむー…(すやぁ)   (2022/11/25 01:32:23)

十六夜ノノミ> おやすみなさい。またお話してくださいね～♪あとカラオケもいきましょう～♪（手をふりふり～）   (2022/11/25 01:32:23)

おしらせ> 十六夜ノノミさんが退室しました。  (2022/11/25 01:32:30)

おしらせ> 錦木千束さんが退室しました。  (2022/11/25 01:32:43)

小春六花> 私とひとりちゃん大体同一人物とかリージョンフォームみたいな関係性だから……（？）   (2022/11/25 01:33:02)

クレー> 千束おねえちゃんもおやすみー   (2022/11/25 01:33:10)

クレー> ふむふむ…(小春お姉ちゃんとひとりお姉ちゃんを見比べて)   (2022/11/25 01:34:07)

後藤ひとり> つまり一体化することで無敵に？   (2022/11/25 01:34:26)

小春六花> ひとりちゃんのギターセンスに、私のボーカル性能とMCみたいなコミュ性能が合わさって実質無敵。（こく）   (2022/11/25 01:35:21)

後藤ひとり> いいですね。では早速合体を……   (2022/11/25 01:36:22)

クレー> えっ…どうやって合体するの…？(ジーッとちょっと手で口を隠して)   (2022/11/25 01:37:21)

小春六花> アテレコはまかせろーー。（ばりばりー。   (2022/11/25 01:37:31)

アリアル> …融合？   (2022/11/25 01:37:41)

後藤ひとり> ふゅ、フュージョン！   (2022/11/25 01:38:29)

後藤ひとり> あ、アリアルさん起きてた……   (2022/11/25 01:38:35)

クレー> アテレコ…あぁ(ぽんっと手を叩いてなんか納得した)   (2022/11/25 01:40:03)

小春六花> 突然の遊戯王…(?   (2022/11/25 01:40:24)

アリアル> ああ、少しばかり作業をね。起きているとも   (2022/11/25 01:40:29)

後藤ひとり> ドラゴンボールを思い出しました……   (2022/11/25 01:40:52)

後藤ひとり> 私はそろそろ寝ますが……   (2022/11/25 01:40:58)

クレー> じゃあクレーもそろそろ   (2022/11/25 01:41:11)

クレー> みんなきてくれてありがとう♡(1人ずつ駆け寄ってハグ♡)   (2022/11/25 01:41:48)

後藤ひとり> はい……♡(クレーさんむぎゅ)   (2022/11/25 01:42:26)

アリアル> ん。お休みだ、またいつか   (2022/11/25 01:43:34)

クレー>  それじゃまたね、おやすみなさーい♡(手をフリフリしてそのままモンドに帰るのでした)   (2022/11/25 01:43:46)

おしらせ> クレーさんが退室しました。  (2022/11/25 01:43:58)

後藤ひとり> おやすみなさい……   (2022/11/25 01:44:59)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/11/25 02:05:42)

おしらせ> 無言時間が25分を超えたため、アリアルさんが自動退室しました。  (2022/11/25 02:08:40)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2022/11/25 02:10:35)

おしらせ> 桜衣乃さんが入室しました♪  (2022/11/25 06:24:32)

桜衣乃> 最近の百合部屋は賑やかでいいですね…♡私も今度混ざりたいです…♪   (2022/11/25 06:25:26)

桜衣乃> 次…次は、いつにしようかな…♪   (2022/11/25 06:26:58)

おしらせ> 桜衣乃さんが退室しました。  (2022/11/25 06:27:02)

おしらせ> 錦木千束さんが入室しました♪  (2022/11/25 22:26:50)

錦木千束> おやおやぁ〜？今日は誰も居ないかぁ。(寂しさ半分、大部屋を広々使える嬉しさ半分に入室。どっか適当にソファーにでも腰をおろして)   (2022/11/25 22:28:24)

おしらせ> クレーさんが入室しました♪  (2022/11/25 22:29:53)

クレー> がちゃ…こんばんはー！(扉あけてクレー参上♡)   (2022/11/25 22:30:28)

錦木千束> おー、クレー！昨晩ぶりだなー！こんばんはぁ。(にっこりと笑みを向けて片手をひらひら。)   (2022/11/25 22:33:07)

クレー> あ、千束おねえちゃん！こんばんは～♪(クレーもお返しにっこりスマイルで手をひらひら♡)   (2022/11/25 22:34:18)

クレー> クレーもとなり、座ってもいーい？   (2022/11/25 22:35:17)

クレー> あれ…千束おねえちゃん？つんつん   (2022/11/25 22:40:54)

錦木千束> ととっ、ごめんね、なんかちょっと重くってさー。あは、ど〜ぞっ♪(隣のスペース空け迎え入れ)   (2022/11/25 22:43:01)

クレー> わーい♡ありがとう千束おねえちゃん！(そのままとなりにぽすっと座ってちょっと近寄って…)えへへー   (2022/11/25 22:44:33)

錦木千束> 来てくれてさーんきゅ♪(ちょっと近寄ってきたクレーの頭をわしゃわしゃぁっ…と撫でて)んぉー、やっぱり小さい子はあったかいなぁ…♪   (2022/11/25 22:48:53)

クレー> わー！もぉ千束おねえちゃん♡(んんっと勢いよく頭なでられてぎゅと耐えて。でも満更でもなくてむしろ嬉しくて)、クレーあったかい？えへへ   (2022/11/25 22:50:53)

錦木千束> なんだっけ〜？あんまり詳しくはわかんないけどさぁ、火属性？なんだっけ？(子供体温にほんわかと頬緩め、優しくなでなで。)   (2022/11/25 22:53:03)

クレー> 炎元素だよっ、でもそんな感じかな。クレーがもっと千束おねえちゃんあっためてあげる♡ぎゅっ(千束おねえちゃんの方を向いてそのままぎゅっと抱きついて)   (2022/11/25 22:54:39)

錦木千束> う〜ん…！ぬくぬくだねぇ…。炎元素かぁ…なぁるほど、情熱的ぃ〜…！(ぎゅっと抱きかかえて膝の上に乗っけて)   (2022/11/25 22:56:23)

クレー> クレーよくあったかいって言われるから、もっとぎゅってして温まってね♡(お膝の上に置かれてそのままぎゅっと抱きついてよりぬくぬくさせてあげて)   (2022/11/25 22:57:56)

錦木千束> よ〜しよ〜し。うんうんっ……♪湯たんぽみたいー…！(片手で背中をぽんぽんっ、と叩きながら、もう片手で頭をなでなで…)   (2022/11/25 23:00:23)

クレー> えへへ…♡千束おねえちゃんとはぐしてる♡ぎゅっー(よりぎゅっとして千束おねえちゃんの胸の辺りに顔ぽんと置いてすりすりしながらぎゅっと抱きついて甘えるの)   (2022/11/25 23:02:00)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/11/25 23:04:30)

後藤ひとり> こんばんは……   (2022/11/25 23:04:34)

クレー> あっ、ひとりお姉ちゃん！こんばんはっ   (2022/11/25 23:04:48)

錦木千束> 甘えん坊さん〜♪しょうがないなぁ〜♪(ぎゅー……と、胸元に顔を埋めさせ、とん、とん…と背中を撫で叩きながらゆっくり体を揺らして)   (2022/11/25 23:05:13)

錦木千束> ひとりじゃん、こんばんは〜。   (2022/11/25 23:05:26)

後藤ひとり> はいこんばんは………   (2022/11/25 23:06:00)

クレー> ひとりお姉ちゃんもこっちくる？♡(千束おねえちゃんにぎゅっと抱えられながらひとりお姉ちゃんの方をふりむいて甘えた目でひとりお姉ちゃんに呼び掛けます)   (2022/11/25 23:08:58)

後藤ひとり> あ、は、はい……邪魔でなければ……入りたいです………(千束さんとクレーさんがハグしているところの傍によって)   (2022/11/25 23:09:32)

錦木千束> んぉ、今日もみんなでぬくぬくするー？(隣のスペース空けておいでおいで〜…っと)   (2022/11/25 23:10:39)

後藤ひとり> はい……ぬくぬくさせてもらいます……(空いたスペースに入り2人に抱きつき)   (2022/11/25 23:11:11)

クレー> わぁ♡ひとりお姉ちゃんもぎゅっー♡(千束おねえちゃんの上に座りながらひとりお姉ちゃんに抱きついて♡)   (2022/11/25 23:11:51)

後藤ひとり> はい………ぎゅーっ……♪(クレーさんに抱きついてハグ)   (2022/11/25 23:13:29)

クレー> みんなでぬくぬくだよっ♡クレーの体温みんなにおすそわけなのっ♡   (2022/11/25 23:15:17)

後藤ひとり> はい……♡ホカホカですね…♡   (2022/11/25 23:16:34)

錦木千束> ホカホカぁ……ふぁ、ぁ〜……よしよぉ〜し……(大きな大きな欠伸を漏らし、膝にクレーを乗っけながら片腕でひとりを抱き寄せ)   (2022/11/25 23:18:30)

クレー> むぎゅー(ひとりおねえちゃんにもしっかり抱きついて顔もひとりお姉ちゃんの胸元にくっつけて♡)   (2022/11/25 23:18:53)

クレー> 千束おねえちゃんねむくなっちゃった～   (2022/11/25 23:19:20)

クレー> ？   (2022/11/25 23:19:23)

後藤ひとり> あ、可愛い……(千束さんに片手で抱きつかれながら胸元に来たクレーさんの頭をポンポンと撫でて)   (2022/11/25 23:20:24)

錦木千束> ちょっとだけねぇー……？(よっこいしょっ…と。ゆったりと脱力して)   (2022/11/25 23:21:27)

後藤ひとり> 寝ます？……   (2022/11/25 23:21:46)

クレー> 千束おねえちゃんもひとりお姉ちゃんもふかふかー♡えへへ   (2022/11/25 23:22:09)

錦木千束> ふかふかだし、あったかいし……。(むにゃむにゃ、、)やー、この、寝ようか起きてようか迷ってる時が一番幸せだよなぁ……   (2022/11/25 23:23:25)

クレー> (ふたりのことそれぞれぎゅっとして顔をすりすりとしながらふたりのこと抱き比べて…♡)   (2022/11/25 23:23:46)

後藤ひとり> ふかふかなのはクレーさんもですよ……♡(抱きしめながらこちらもご満悦の様子)   (2022/11/25 23:24:07)

クレー> 無理しないでね？眠たくなったらちゃんと言って大丈夫だからね   (2022/11/25 23:24:13)

クレー> クレーもふかふか？、ひとりお姉ちゃんのここはクレーよりふかふかなの…♡(小さな指でひとりのジャージごしにふにっと胸をタッチして♡)えへへ   (2022/11/25 23:26:07)

後藤ひとり> あんっ………♡もう……エッチなんですか……♡(胸をつんつんされてピクっと反応させて)   (2022/11/25 23:27:25)

錦木千束> 隣で始まった……！(きゅっ、と口を結んで…見て見ぬふり…)   (2022/11/25 23:28:25)

後藤ひとり> ち、千束もどうですか？………千束さんも胸大きそうですしクレーさんに好かれますよ……(じーっと)   (2022/11/25 23:29:12)

クレー> クレー今日はちょっと甘えたなの…♡えへっ。千束お姉ちゃんも結構大きい？(千束お姉ちゃんの制服ごしにつんつん)   (2022/11/25 23:29:25)

クレー> クレー巨乳好きじゃないよっ///   (2022/11/25 23:30:45)

クレー> たまたまみんな大きいだけだと…思う！多分//   (2022/11/25 23:31:15)

後藤ひとり> 怪しい………   (2022/11/25 23:31:25)

クレー> えー？でもぉ、衣乃おねえちゃんはD、ずんこおねちゃんはそれより大きくて…あとは…ノノミお姉ちゃんはばいーん！って感じだよね//クレーが知ってる中で小さいのはフィーお姉ちゃんくらいかなぁ   (2022/11/25 23:35:16)

クレー> みんな大きいんだよっ、クレーうらやましいっ   (2022/11/25 23:35:50)

錦木千束> 私はぁー……ほら。ぁ……あれだから。あれ……。(あれとは。胸元つつかれ柔らかな感触返しつつ眉を垂らして)   (2022/11/25 23:36:21)

後藤ひとり> やっぱり大きいのが好きなんですね………(くすっ)   (2022/11/25 23:37:05)

後藤ひとり> あれってなんですか………？(私もからかうように千束さんの胸をつんつん)   (2022/11/25 23:37:22)

クレー> ち、ちがうもん！//な…なんか恥ずかしいよぅ…うう   (2022/11/25 23:37:41)

後藤ひとり> 私も大きいの好きなので………気にしなくても……   (2022/11/25 23:39:42)

おしらせ> 桜衣乃さんが入室しました♪  (2022/11/25 23:40:01)

後藤ひとり> 噂をしたら来た！？   (2022/11/25 23:40:13)

クレー> そ、そうなんだ//   (2022/11/25 23:40:20)

後藤ひとり> 小さいのも好きですけどね……   (2022/11/25 23:40:47)

桜衣乃> おっぱいの話ですか？(ガチャ、とドアを開けて入る私はなぜか逆バニー！大事なところには♡のシールを貼ってます！)というか私を呼びました？   (2022/11/25 23:41:01)

クレー> クレーのも触ってみる…？すっとんとんだけど♡   (2022/11/25 23:41:08)

錦木千束> こ、こんばんはぁー…はじめまして！(左右から胸を突かれ、おろおろ。エキセントリックだぁ……)   (2022/11/25 23:41:18)

後藤ひとり> いろいろとイノさん凄いですね………(何を突っ込めばいいのか分からずオロオロ……)   (2022/11/25 23:41:44)

クレー> 衣乃おねえちゃん♡こんばんは…………ってええええっ！！！何その格好っ(びっくりおめめ飛び出ちゃう)   (2022/11/25 23:42:00)

後藤ひとり> クレーさんのも触りたいですね………(千束さんの胸の弾力に驚きつつ千束さんの胸をつんつんむにむに)   (2022/11/25 23:42:11)

桜衣乃> ふふ、3人仲睦まじそうにしてたので入ろうかどうか迷ってましたが、私の名前出たので入っちゃいました♪こんばんは、ひとりちゃんにクレーちゃん♪そして…はじめまして！グループアイドル「フルーツタルト」の桜衣乃です！お気軽にイノって呼んでくださいね♡(と、3人でぎゅうぎゅうしあってる正面のソファにぽすり、百合っぷりを微笑ましく見ています♪)
  (2022/11/25 23:43:27)

桜衣乃> あ、この格好は特に気にしないでいいですよ！衣装借りてそのまま来ちゃっただけなので。…おやおや？クレーちゃんには刺激が強過ぎましたかね♪   (2022/11/25 23:44:50)

クレー> 衣乃おねえちゃん見てたのぉ？♡(ひとりおねえちゃんと千束お姉ちゃんとはぐしながら戯れてるなか、えっちな格好してる衣乃おねえちゃんの方をみてくすっと小悪魔笑顔っ)   (2022/11/25 23:45:04)

おしらせ> レムさんが入室しました♪  (2022/11/25 23:46:00)

桜衣乃> 私はこの部屋の守護天使みたいな存在ですから♪みなさんを草木の陰から見守っているんですよ♡(小悪魔笑顔なクレーちゃんにアイドルスマイル返したら舌ペロ♪)   (2022/11/25 23:46:52)

後藤ひとり> あ……レムさんも3⃣こんばんは   (2022/11/25 23:47:04)

後藤ひとり> 3………   (2022/11/25 23:47:10)

クレー> にっ♡   (2022/11/25 23:47:18)

桜衣乃> いち♪   (2022/11/25 23:47:26)

レム> こんばんは…♪ お邪魔します   (2022/11/25 23:47:55)

クレー> あっ、レムおねえちゃんこんばんはっ   (2022/11/25 23:48:12)

後藤ひとり> (がーん)   (2022/11/25 23:48:22)

レム> ゼロ…♪ 何のカウントダウンなのでしょうか…   (2022/11/25 23:48:32)

クレー> はっ、なんかレムおねえちゃんがゼロっていうと合ってる気がした！   (2022/11/25 23:49:10)

桜衣乃> こんばんは〜♪ おやおや、今夜も賑やかですね〜♪ 私昨日おとといここにたくさん女の子居たのに来れなかったの後悔してたので、今日も賑やかになりそうで嬉しいです♪ お気になさらず、こちらへどうぞ〜♡   (2022/11/25 23:49:13)

レム> わ、私またしてもタイミングを逃してしまったのでしょうか… (ひとりさんが落ち込んでる姿を見て少し取り乱してしまって…)   (2022/11/25 23:49:41)

桜衣乃> ところで3ってチューしてるみたいに見えませんか？   (2022/11/25 23:49:52)

後藤ひとり> 私の誤字を弄られました……   (2022/11/25 23:50:06)

後藤ひとり> 確かに……唇ですよね   (2022/11/25 23:50:27)

クレー> ちがうよー。そんなつもりじゃないよ？ごめんね？ひとりおねえちゃん…(ぎゅっと抱きついて上目遣いにごめんなさいして)   (2022/11/25 23:50:58)

錦木千束> こんばんは！おー、もう、も〜ぅ！！やばい！やばい！(いざ巻き込まれてみたら恥ずかしさが先行して手足をばたつかせて)   (2022/11/25 23:51:01)

クレー> どうしたの？千束お姉ちゃん…？はずかしいの～？♡(にこにこっと千束おねえちゃんに笑いかけて)みんなで仲良しするの楽しいよっ？♡   (2022/11/25 23:52:22)

後藤ひとり> 本気で怒ってないですから…気にしないでもいいですよ………(よしよし……)   (2022/11/25 23:52:28)

レム> ふふっ… 一からいいえ…ゼロから！　名シーンですね…♪   (2022/11/25 23:52:40)

おしらせ> レイナ･プラウラーさんが入室しました♪  (2022/11/25 23:52:58)

桜衣乃> というわけで私もちゅーしたいのですが3人はぎゅーぎゅーしてるみたいですから…レムさん？でしたっけ。どうですか〜？   (2022/11/25 23:53:12)

クレー> レムおねえちゃんもこっちきて♡(くいくいと手招き)   (2022/11/25 23:53:14)

レム> こんばんは…♪ お邪魔させてもらっているレムです。記憶の隅にレムの事を覚えていてくれるととても嬉しく思います… (新しくきてくれた女の子に笑顔でご挨拶です…♪)   (2022/11/25 23:54:11)

後藤ひとり> 新しい人もこんばんは   (2022/11/25 23:54:27)

クレー> あっ、重なっちゃったごめん！   (2022/11/25 23:54:36)

錦木千束> こんばんはぁ…！や、私はぁ…あははぁ…。(きょろきょろあたりを見回し苦笑を浮かべつつ頰をかき)   (2022/11/25 23:54:45)

クレー> こんばんはっ♩   (2022/11/25 23:54:46)

クレー> 千束お姉ちゃんあわあわしてる♡ねっ、ひとりお姉ちゃん   (2022/11/25 23:58:04)

桜衣乃> …あれ？入り口で固まっちゃってます…？(おーい、と手を目の前でぱたぱた…)   (2022/11/25 23:58:11)

後藤ひとり> いつもは元気なのに凄い慌ててます……   (2022/11/25 23:58:20)

桜衣乃> …ま、再起動するまで待つとして…。…ふふ、私はどうしましょうかね…。   (2022/11/26 00:01:08)

クレー> そういえば…ひとりお姉ちゃんの髪の毛って長くていいねっ(さらさらと手で撫でるように)、ピンクでかわいいのっ   (2022/11/26 00:01:33)

レイナ･プラウラー> (ソファの背もたれの影で、いつのまにかぴこぴこ…とゲームを片手に座り込んで)   (2022/11/26 00:01:47)

レム> 大人数でぎゅっとするのはとても魅力的だと思いますけれど… 混ざりすぎるとその人も困ってしまうと思うので… (人気者で赤目の女の子…瞳がとても綺麗で姉様みたいな眼をしています…)   (2022/11/26 00:01:56)

クレー> レムおねえちゃんまだこのお部屋きたばかりだから、衣乃おねえちゃんが相手してあげてっ♡   (2022/11/26 00:03:31)

後藤ひとり> んんっ……髪の毛は普通ですよ……クレーさんも綺麗な髪の毛ですし……(サラサラ髪の毛を撫でられてご機嫌そうに)   (2022/11/26 00:03:31)

桜衣乃> ふふ、こないだはもっと大人数でおしくらまんじゅうみたいにぎゅうぎゅうしてたんですよ♪ …あら、レムちゃんもクレーちゃんのことが気になります？(視線の先に気づいたら、そっと声をかけてみて…)   (2022/11/26 00:03:34)

錦木千束> ふーっ……！んゃ、大丈夫か私。大丈夫だよな、うん。もう平気なはず……。(鼓動を刻まない筈の人工心臓が高鳴っている気がする。瞼を閉ざし、深呼吸を一つ。)   (2022/11/26 00:04:18)

桜衣乃> クレーちゃんはすっかりみんなのアイドルですねぇ…。イノお姉ちゃんは鼻が高いです♪せいky……教育の甲斐がありましたね♪(はーい、とクレーちゃんにお返事して…)   (2022/11/26 00:04:41)

クレー> クレーも髪のばしてみようかな？(自分の結び目から垂れてる髪の毛をくりくりと)、千束おねえちゃんもいい色でかわいい♡クレーと近いよねっ   (2022/11/26 00:05:54)

後藤ひとり> 千束さんきっと心臓もドキドキしてるんでしょうね………(胸に顔当てるのが恥ずかしいので確認はしないぼっち)   (2022/11/26 00:06:01)

レム> クレーちゃんも可愛くて魅力的だとレムは思います… ですけれど…ラムが気になって仕方ない人は皆様にぎゅっとされて慌てる姿を見せてる赤目が素敵な女の子の方です…♪ (慌てふためく姿がとてもレムには魅力的に見えていて…
もう少し眺めていたいと思ってしまいながらソファに腰掛けて両手を膝の上に置いて皆様の絡みを堪能させてもらいます…♪)   (2022/11/26 00:08:45)

レム> 【ご、誤字ってしまいました… ラムは姉様でレムです！レムです…//】   (2022/11/26 00:09:21)

クレー> だって♡千束おねえちゃん♡   (2022/11/26 00:10:10)

桜衣乃> あら、あっちの子でしたか。…私も気になってるんですよね〜。まだ名前も教えてもらってませんし、あの様子だと相当パニくってるみたいですから、落ち着くの待ちです♪
私もあの子とも遊んでみたいですね〜♪(レムちゃんの隣で、3人の絡みを一緒に鑑賞しちゃいます♪)   (2022/11/26 00:10:33)

錦木千束> おっ。そーだなぁ〜……？私とクレーはおんなじ髪色だねっ♪(髪を褒められるのは素直に嬉しく、撫でやすい位置にあるクレーの頭を再び撫でてあげよう……！)ひとりはこないだ、すっごいドキドキしてたよなぁー？んへ、私はどーだと思う？(少し余裕を取り戻したのかイタズラっぽく笑みを浮かべて……。)とと、え〜、そっちの青髪の子は…こないだは入れ違いになっちゃったねー？んん、私は錦木千束っというんだぁー。気軽に千束って読んで呼んでほしいなっ！(もう慌ててない私はむふん、と胸を張り得意気に自己紹介を。)
  (2022/11/26 00:13:35)

後藤ひとり> あ、……なんかいつもの千束さんに戻りました………いつの間に……(さっきまでオロオロしてたのにいつの間にか元の様子に戻っている千束さんにムスッとしつつその胸をつんつんと)   (2022/11/26 00:14:57)

クレー> そういえば、一緒に寝れなくてどうのって…♡(チラっとひとりお姉ちゃんの方を見て)   (2022/11/26 00:15:31)

レム> レムも貴女のお名前を知りません、差し支えなければ貴女のお名前をレムに教えていただけませんか？　レムはレムです…♪ (隣に座って楽しげに話す子にレムも凄く楽しそうに笑顔でお話です…♪)   (2022/11/26 00:16:18)

桜衣乃> ちーさーとー…千束ちゃんですね♪はい、覚えました♡ よろしくお願いしますね、千束ちゃん♡ …そして、レムちゃんにも自己紹介をしないといけませんね♪私は桜衣乃と申します…♪アイドルやってるんです♡
レムちゃんは礼儀正しくて良い子ですねぇ〜♪きっといい教育を受けてるんでしょうね、間違いありません！(ずいずい、とレムちゃんに肩を並べて、にっこり♡)   (2022/11/26 00:18:42)

レム> 錦木千束… む、難しくて覚えられそうにありません… 好きに呼んでも良いなら…千束様って呼ばせてもらいますね…♪ レムのことはレムとお呼びください。　それにしても千束様は人気者で周りの人の目を引く天才ですね… レムも自然と視線を誘導されてしまいました…♪
この前はすれ違いだったので… あの時のことの埋め合わせなどして欲しいって思っているなら…レムのお膝でよければ貴女の寝落ちに使ってくれて構いませんよ…♪ (満面の笑顔で人気者の千束様を見つめています…♪)   (2022/11/26 00:19:51)

桜衣乃> ですって♪千束ちゃんは人気ですねぇ♡私がいない間に超新星の女の子が集結しているみたいで、私も嬉しくなっちゃいます…♡(ほわほわ〜)   (2022/11/26 00:21:17)

桜衣乃> …それで、そこの…あの……お話しませんか？(と、ソファにもたれる黄緑色の女の子にも声をかけてみます)   (2022/11/26 00:22:49)

レム> 教育…姉様から色々教えてもらいましたよ…♪ 礼儀作法など… 姉様はとても完璧でレムの自慢の姉様です…♪ あいどる…？　アイドルって言葉は聞いたことないんですけどぉ… どのような事をする人たちのことなのでしょう…
レムは見た目通りメイドさんをしています…♪ (笑顔で話してくれる衣乃様に私も表情緩くなってしまって… 肩をずいずいっとこられたらレムもすりすりっと肩を寄せてあげます…♪)   (2022/11/26 00:22:57)

クレー> ひとりお姉ちゃん？   (2022/11/26 00:23:54)

後藤ひとり> は、はい   (2022/11/26 00:24:29)

錦木千束> 適応力の千束さんとは私の事だぁ…！(むっすり…とご機嫌を損ねた様子のひとりにしたり顔。胸に指がのびてくると、再び息を呑み……)〜〜っ……！ゃ、ちょ、ちょっ…まち！まーて！待て！(わぁわぁと首を横に振ったり……)衣乃にレムだね？や、ほんとー…色んなタイプの子がいるなぁ……。私はぁ…バイトしたり仕事したりしてるよ！ま、人助けがメインの活動みたいな感じ…かなぁ？……これが人気者ってやつ？人気者……人気者ぉ……。(言葉を選びつつ自己紹介を続けて…。人気者っていうか弄られる真ん中はタイミングで変わりそー。)
  (2022/11/26 00:25:18)

クレー> あっ、呼んでみただけなのっ。(今千束お姉ちゃんのお膝に乗ってるから…)クレーひとりおねえちゃんのお膝にすわってもいい…？♡   (2022/11/26 00:25:44)

桜衣乃> まぁ、ステキなお姉様がいらっしゃるんですね♪今度はその方もご一緒されてみてはいかがでしょう…♡
…アイドルというのはですね、みんなの前で歌ったり、踊ったり…。見に来てくれる人達に元気を与える人達のことです！…私はその新人で、まだひよっこなんですけどね…。(軽く肩をすくめたところ、レムちゃんに肩を寄せてもらうとすりすり…♪腕をちょっと絡めてみて、寄せ合っちゃいます…♡)
  (2022/11/26 00:26:47)

後藤ひとり> 適応力があるなら乳揉みも適応しちゃいましょう？………♡(胸を触るだけでここまでタジタジになる千束さんを揶揄うように胸を少しだけ強めに揉み)わ、私のお膝で良ければ……♡   (2022/11/26 00:27:25)

桜衣乃> 千束ちゃんは賑やかで見てて面白いですねぇ。でもこのお部屋に関してはまだまだウブってところでしょうか…♪ああいう反応は新鮮で、見ていて面白いですね♪ ひとりちゃん、もっとやっちゃえやっちゃえ〜♡   (2022/11/26 00:28:05)

レイナ･プラウラー> (ヘッドホンをはずせば、顔を上に持ち上げて。片手で持っていた携帯ゲーム機をポケットに仕舞うと、ぽふんっ…とソファに座って、軽く体育座りをして)…話すことくらいなら。   (2022/11/26 00:28:26)

後藤ひとり> (もしかして私と同じ陰キャ仲間……？と心の中で)   (2022/11/26 00:29:15)

クレー> えへへっ、じゃあ…(千束お姉ちゃんのお膝からひとりお姉ちゃんのお膝に移動して)きちゃった…♡ひとりおねえちゃんが責め責めだ♡クレーも千束おねえちゃんのつんつん♡   (2022/11/26 00:29:44)

レム> んぅ…衣乃様の服装は少し大胆ですけれど…寒くはないのでしょうか？　歌ったり踊ったりってその格好でそんな事をしてしまったら…大変なことになってしまうとレムは心配になってしまいます…
(人肌を求める貴女が寒いと思い…両手を背中に回してぎゅっと抱きしめてみて…♪) そんな格好してるから寒くなって体温を求めてしまうんですよ…？　もう少し暖かい格好をしなくては風邪をひいてしまいますよ…♪   (2022/11/26 00:30:51)

桜衣乃> ……もー、ちゃんと自己紹介してくれなきゃダメですよ〜。せっかくみなさんいるんですから、あなたもみんなとお話しましょうよ。…私は桜衣乃です♪どうぞよろしくお願いしますね♪(体育座りでお話してくれる気になった女の子にも笑顔で聞いてみます)  
(2022/11/26 00:30:53)

錦木千束> 私は寝落ちはしない主義だから大丈夫ぅ。寝るときは寝る！遊ぶ時は遊ぶってメリハリつけてるからね！ん、ひっ……♡ぁ、あーっ…膝枕は…いいよ～、私。今日はぁっ……(ちょうどクレーをひとりのお膝に乗っけようとしたら自分から移動して。胸を強めに揉まれて肩を揺らし……。)
  (2022/11/26 00:31:17)

後藤ひとり> 2人で千束さんのおっぱいつっついちゃいましょう……♪普段は元気なのに照れてる千束さんも可愛いです………♡(お膝に乗ったクレーさんを撫でながら千束さんの柔らかおっぱいをモミモミ)   (2022/11/26 00:32:24)

レム> 膝枕を拒否されてしまいました…♪ 単純にレムが千束様の寝顔を眺めて色々な想像してしまおうと思っていただけなのがバレてしまったのでしょうか…♪
(口元に指を当てながらクスクスっと笑顔でお胸を揉まれて気持ち良さそうにしてる姿にレムも少しドキドキしてしまいます♡)   (2022/11/26 00:33:41)

クレー> うん♡一緒にさわるっ…千束おねえちゃん…可愛いよ♡(クレーもひとりおねえちゃんのじゃまにならないように小さい手でぷにぷにと千束お姉ちゃんのお胸をさわってあげるの♡)   (2022/11/26 00:33:51)

桜衣乃> あ、大丈夫です！暖かいところから来たので、それにこんな格好じゃ外出歩けませんよ〜。(とは言いつつこの時期は部屋の中も温度下がってますから…)…あ、あら？…ふふ、レムちゃんは良い子ですね…♡…レムちゃんあったかくて、もっとぬくもり分けて欲しくなっちゃいます…♪(両手で抱きしめてくださるレムちゃんを、こちらからもぎゅっと抱こうとすれば、レムちゃんのお顔が私の胸に埋まる形に…)
  (2022/11/26 00:34:07)

レイナ･プラウラー> …レイナ。(体育座りのまま、膝の上から少しだけ視線を覗かせて。もご…と服で音が篭っては、耳を澄ませればよく聞こえそうな…それくらいの声量で)   (2022/11/26 00:36:27)

桜衣乃> …。まぁ、お部屋の温度を上げればいいことですが、ところで3人は脱がないんですか？おっぱい服の上からで満足しちゃっていいんです？(と、ド直球ストレートを投げてみて)   (2022/11/26 00:36:55)

クレー> えっ、クレーたち？♡…ど、どうしよっか？//(衣乃おねえちゃんに言われてひとりおねえちゃんと千束おねえちゃんにチラチラと目配せして)   (2022/11/26 00:38:12)

