/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月19日 01時24分 ～ 2023年03月20日 20時06分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> なら行ってらっしゃいです♪待ってますね   (2023/3/19 01:24:05)

中野三玖 ◆> …ふあ   (2023/3/19 14:10:27)

後藤ひとり> 三玖さんは大変そうです……   (2023/3/19 14:12:31)

堂領姫子> …んん…   (2023/3/19 14:17:26)

後藤ひとり> 眠そうですね   (2023/3/19 14:19:25)

中野三玖 ◆> ……できた   (2023/3/19 14:19:34)

後藤ひとり> 大丈夫ですか？   (2023/3/19 14:20:41)

堂領姫子> …大丈夫ですか？   (2023/3/19 14:21:21)

中野三玖 ◆> うん…ずっと血を吸ってた   (2023/3/19 14:22:13)

後藤ひとり> 分かりますそれ……鼻血出るとやります   (2023/3/19 14:22:40)

堂領姫子> ……吸ってたんですね   (2023/3/19 14:22:45)

中野三玖 ◆> 洗浄、消毒と絆創膏もしたけどね…   (2023/3/19 14:23:13)

後藤ひとり> 包丁は気をつけないとですね……   (2023/3/19 14:23:28)

堂領姫子> ええ…危ないですから気をつけないと…   (2023/3/19 14:23:44)

中野三玖 ◆> …お昼ご飯作るのにだいぶ遅れた…   (2023/3/19 14:26:31)

後藤ひとり> 仕方ないですよ……   (2023/3/19 14:26:41)

堂領姫子> お昼作ってたんですね…   (2023/3/19 14:30:41)

中野三玖 ◆> …お昼ご飯はほうれん草とハムのスパゲッティ   (2023/3/19 14:35:32)

後藤ひとり> 美味しそうですね……   (2023/3/19 14:36:13)

後藤ひとり> 私はラーメン食べました   (2023/3/19 14:36:19)

堂領姫子> おいしそうです…   (2023/3/19 14:36:20)

堂領姫子> あ、私もラーメン食べました…   (2023/3/19 14:36:37)

中野三玖 ◆> みんな麺類   (2023/3/19 14:36:46)

堂領姫子> 手軽に食べられますものね   (2023/3/19 14:37:06)

後藤ひとり> 麺好きです…   (2023/3/19 14:37:28)

中野三玖 ◆> 生でもいける   (2023/3/19 14:38:23)

後藤ひとり> 生麺ですね…   (2023/3/19 14:38:44)

堂領姫子> 私も生麺と乾麺、どちらも好きです   (2023/3/19 14:39:05)

中野三玖 ◆> 給食のソフト麺が懐かしい…   (2023/3/19 14:39:16)

後藤ひとり> ありましたねそういうの…   (2023/3/19 14:39:48)

堂領姫子> ありましたね   (2023/3/19 14:40:03)

中野三玖 ◆> スープと配分を間違えるやつ…   (2023/3/19 14:40:14)

後藤ひとり> あるあるだ……後そんなに美味しくない記憶が   (2023/3/19 14:41:10)

堂領姫子> 間違えちゃいますね…   (2023/3/19 14:41:19)

中野三玖 ◆> …生麺の方が最初は美味しかった   (2023/3/19 14:42:27)

後藤ひとり> 食べたのにラーメン食べたくなってきた…   (2023/3/19 14:43:00)

堂領姫子> 生麺のほうが美味しかったんですね…   (2023/3/19 14:44:09)

堂領姫子> 私も食べたくなりました…   (2023/3/19 14:44:17)

中野三玖 ◆> たべちゃえ…   (2023/3/19 14:47:00)

後藤ひとり> 流石にお腹満腹ですよ……というか眠くて……   (2023/3/19 14:48:57)

堂領姫子> ひとりさん眠いんですね   (2023/3/19 14:49:41)

堂領姫子> 私もまだお腹空いてないですね…   (2023/3/19 14:49:56)

後藤ひとり> はい……   (2023/3/19 14:52:36)

堂領姫子> 一緒に横になりますか？   (2023/3/19 14:55:44)

後藤ひとり> はい……三玖さんもどうです？   (2023/3/19 14:57:18)

堂領姫子> ええ、三玖さんももちろん   (2023/3/19 14:58:55)

中野三玖 ◆> …なる   (2023/3/19 15:00:01)

後藤ひとり> では…(皆さんに布団を渡して)   (2023/3/19 15:02:41)

堂領姫子> ありがとうございます、ひとりさん   (2023/3/19 15:04:05)

中野三玖 ◆> ……ん…ありがとう   (2023/3/19 15:04:29)

後藤ひとり> 寝ましょうか……(なるべく近寄り)   (2023/3/19 15:05:34)

堂領姫子> ええ、休みましょう（私も近寄り）   (2023/3/19 15:06:25)

後藤ひとり> おやすみなさい……おふたりとも   (2023/3/19 15:08:05)

中野三玖 ◆> (くて…)   (2023/3/19 15:09:20)

堂領姫子> ぽふっ   (2023/3/19 15:10:23)

中野三玖 ◆> …すや…   (2023/3/19 15:16:06)

堂領姫子> むにゃむにゃ   (2023/3/19 15:17:17)

中野三玖 ◆> 【おやふみ…】   (2023/3/19 15:27:15)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/3/19 15:27:18)

堂領姫子> 【おやすみなさい】   (2023/3/19 15:29:39)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2023/3/19 15:33:09)

堂領姫子> 【おやすみなさい】   (2023/3/19 15:33:20)

堂領姫子> 【それでは私も】   (2023/3/19 15:33:44)

おしらせ> 堂領姫子さんが退室しました。  (2023/3/19 15:33:47)

おしらせ> 井ノ上たきな ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/20 02:57:21)

井ノ上たきな ◆> こんばんは…目が覚めてしまいました…   (2023/3/20 02:57:35)

おしらせ> 小春六花さんが入室しました♪  (2023/3/20 03:01:27)

小春六花> 珍しくうまく眠れなくてふらふらしてたところだけど……お久しぶりー？   (2023/3/20 03:01:55)

井ノ上たきな ◆> こんばんは、お久しぶりです…六花さんも眠れないんですか？   (2023/3/20 03:04:19)

小春六花> そうそう…なんかうまく眠れない感じかな。寝なくちゃまずいんだけど。仕事だし。　　   (2023/3/20 03:05:44)

井ノ上たきな ◆> 私は明日の用事は夕方からなので大丈夫ですが…次の日にそういう日に限って眠れないんですよね   (2023/3/20 03:06:36)

小春六花> 普通に6時間後には仕事なんですねー…（ぐぇー）   (2023/3/20 03:07:40)

小春六花> 在宅だからまぁ…少しくらいならうたた寝しながらでもいいけど…忙しいんだよなー……。（遠い目……）   (2023/3/20 03:08:11)

井ノ上たきな ◆> 在宅…なら多少何とかなりそうですね？仕事中にうたた寝しないように…(くす)   (2023/3/20 03:09:12)

小春六花> そのためには添い寝してくれる人とかなー？いてくれたらなー？（ちら、ちら）   (2023/3/20 03:10:02)

井ノ上たきな ◆> 添い寝…して欲しいんですか？(首傾げ)   (2023/3/20 03:10:51)

小春六花> まぁ…してくれるなら？（くびかくーん）他の人待ちたいからここで……とかなら素直に諦めるけど。   (2023/3/20 03:12:29)

井ノ上たきな ◆> いえ、誰かを待っている訳では無いので……ふふ、して欲しいならしますけど？(どうしますか？なんて)   (2023/3/20 03:15:39)

小春六花> あ、いや。寝てる六花ちゃん眺めてる方が一人で待ってるよりはメンタルに良くない？くらいの提案だからさ。話し相手ほしいとかならみたいなね。私はしてほしいけど。   (2023/3/20 03:17:10)

井ノ上たきな ◆> 提案……ん、私も求められるのは嫌じゃないですよ？して欲しいって誘われるなら嬉しいですし…(じっ)   (2023/3/20 03:21:56)

小春六花> んもー。もとめてるのー。たきなちゃんさえ良ければ一緒に寝ましょ   (2023/3/20 03:23:35)

井ノ上たきな ◆> ふふ、ええ、いいですよ♪？(近くに座り)   (2023/3/20 03:25:29)

小春六花> 個室のほうがいいとかあるのかな……それとも…このまま…？（コロンとお膝に頭を乗せて横になって……   (2023/3/20 03:28:27)

井ノ上たきな ◆> どちらでもいいですよ？六花さんの好きな方で？(頭を優しくなでなでしながら見下ろし)   (2023/3/20 03:29:57)

小春六花> じゃあ個室行こ行こ。寝顔を全世界公開はちょっと恥ずかしいからね！   (2023/3/20 03:30:37)

小春六花> というわけでたーてた。   (2023/3/20 03:31:19)

井ノ上たきな ◆> ふふ、では行きますね？   (2023/3/20 03:36:16)

おしらせ> 井ノ上たきな ◆gAmHDzY8Wcさんが退室しました。  (2023/3/20 03:36:19)

おしらせ> 小春六花さんが退室しました。  (2023/3/20 03:36:30)

おしらせ> 井ノ上たきな ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/20 04:26:57)

井ノ上たきな ◆> 戻りました…もうしばらく居ますね？   (2023/3/20 04:27:04)

おしらせ> 無言時間が25分を超えたため、井ノ上たきな ◆gAmHDzY8Wcさんが自動退室しました。  (2023/3/20 05:07:10)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/20 09:14:11)

倉田ましろ> おはようございます…（ふわぁ）   (2023/3/20 09:14:24)

おしらせ> 京町セイカさんが入室しました♪  (2023/3/20 09:43:13)

京町セイカ> おはようございまーふ   (2023/3/20 09:43:30)

倉田ましろ> おはようございます   (2023/3/20 09:44:07)

京町セイカ> ましろちゃんおはよ。さすがに平日朝は静かねー   (2023/3/20 09:45:37)

倉田ましろ> そうですねぇ   (2023/3/20 09:47:06)

京町セイカ> さて、今日はどう過ごそうかしらね…(ぼんやり)   (2023/3/20 09:49:01)

倉田ましろ> お休みなんですか？（きょとん）   (2023/3/20 09:50:07)

京町セイカ> そうよ？私は土日仕事だから月曜休みが多いのね   (2023/3/20 09:51:00)

倉田ましろ> おやすみかぁそれはまよいますね。   (2023/3/20 09:51:54)

京町セイカ> まぁ私のおやすみはのんびりしてたらいつのまにか終わっちゃうんだけどねー(えへへっと困り笑い)   (2023/3/20 09:53:57)

倉田ましろ> 休みあるあるだぁそうですねぇ（こくこく）   (2023/3/20 09:54:54)

京町セイカ> そんなましろちゃんは？おやすみ？   (2023/3/20 09:55:31)

倉田ましろ> お仕事ですよぉ   (2023/3/20 09:55:48)

京町セイカ> そっかぁバンド活動かな？がんばってね！   (2023/3/20 09:57:24)

倉田ましろ> そうですねぇありがとうございます（ぺこっ）   (2023/3/20 10:04:34)

京町セイカ> うんうん、青春よねえ…私は午前いっぱいはゆっくりしてそこから動き出そうかしら   (2023/3/20 10:10:22)

倉田ましろ> そうですか？それがたぶんいいと思います（こくこく）   (2023/3/20 10:11:03)

京町セイカ> そんなゆったり時間にましろちゃんに会えたし思ってたより楽しい時間が過ごせそう(んーと伸びをしながら)   (2023/3/20 10:14:03)

倉田ましろ> ふふ、それはうれしい（はふっ）   (2023/3/20 10:14:50)

京町セイカ> やっぱり同じぼーっとするでも1人なのと誰かがいるのは全然違うものね   (2023/3/20 10:16:32)

倉田ましろ> そうですねぇ。   (2023/3/20 10:18:01)

京町セイカ> というわけなので私はゆっくりタイム突入ー♪(ごろごろしはじめて)   (2023/3/20 10:21:35)

倉田ましろ> 今日は休みのひといっぱいいそうだなぁ（こっちもくつろいでて）   (2023/3/20 10:25:47)

京町セイカ> 最近は不定休の人も多いだろうしねえ…   (2023/3/20 10:30:12)

倉田ましろ> どうなんでしょうねぇ…？   (2023/3/20 10:30:56)

京町セイカ> あ、そういえば今って春休みシーズンでもあるわよね。そう考えると今おでかけが楽しい時期でもあるのかしら   (2023/3/20 10:34:41)

倉田ましろ> そうですねぇ。でもごろごろして昼くらいになるのかなぁ？   (2023/3/20 10:37:02)

京町セイカ> 本格的にお出かけを考えるならやっぱり事前に決めとかないとねえ…行くぞって決めておきさえすればあとはノープランでも結構楽しいものよ？   (2023/3/20 10:42:03)

倉田ましろ> そうだねぇ・うんうん、どこ行くから決めてからいくのが安定ですねぇ   (2023/3/20 10:47:06)

京町セイカ> さて…ちょっとお昼前にお買い物してこなきゃ…ごめんねましろちゃん。また会えたらお話ししようね！   (2023/3/20 10:48:51)

倉田ましろ> はい、いってらっしゃいです。   (2023/3/20 10:50:06)

京町セイカ> うん、いってきまーす   (2023/3/20 10:51:58)

おしらせ> 京町セイカさんが退室しました。  (2023/3/20 10:52:00)

倉田ましろ> 私もそろそろ準備しとくか…   (2023/3/20 10:53:36)

倉田ましろ> さて、落ちようかなお疲れ様でした…   (2023/3/20 11:01:55)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/20 11:01:59)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/3/20 12:43:41)

朝倉可憐> お昼のお邪魔します。　……ちょっと練習です。この部屋で私は…誰が一番いいのかなって……。（ちょこん）   (2023/3/20 12:44:15)

朝倉可憐> 誰が…というか派遣したらいいのか、だね。　ふぅ……ピザ、美味しかった。   (2023/3/20 12:50:25)

おしらせ> カレンさんが入室しました♪  (2023/3/20 12:53:05)

カレン> …ほう。暇そうにしておるな、朝倉。ワシで良ければ付き合うぞ。ワシも暇すぎて死にそうじゃったからのぉ…！（にやり。瓜二つの顔。…ワシらは同じキャラだと？分裂くらい女がちんぽ生やしてくんづほぐれつしてる部屋よりよっぽど自然じゃろうが！）  
(2023/3/20 12:55:13)

朝倉可憐> あれ、カレンちゃんが分離してる……？あ、うん。カレンちゃんが良ければ少し話してほしいかな……最近始めたばかりだけど…楽しいね、ヘブバン。（あれ、カレンちゃんが精神だけじゃなくて体まで分裂してる。月歌さんみたらどう思うんだろう。平然としてそうだけど。）
  (2023/3/20 12:58:02)

カレン> ふん、任せておけ。朝倉に集るハエ共を嬲り殺しにしてくれるわぁー！！ひゃーっひゃっひゃっひゃ！！（テンションMAX）んむ。ワシも最初に触ったときは感動したものじゃ。コンシューマーでなくともこんなクオリティのゲームができようとはな。…まぁ、課金しだしたらキリが無い点以外は完璧じゃ。（え？あいつが見たところで「カレンちゃんとかれりん分離しててやりやすい」程度にしか思わんぞ。…朝倉がワシのカレンちゃんでしたー！って声真似すればまだまだ遊べそうじゃが♪）
  (2023/3/20 13:01:41)

朝倉可憐> それは頼もしいけど、今は殺しは禁止されてるからダメだよ。ここも仲良くするためにきているんだから…。（どうどう。）フルボイスなところに本気を感じるよね…。WFSのゲームは……ソーシャルゲームの枠に収めない努力をしているから…これから楽しみかな。　……課金程度じゃ勝てない歯ごたえのある難易度だったのがすでに怖いんだけど。（消滅都市……ゲーム体験としては最高だった。　……うん、月歌さんはそういう人だった。何も気にせずに７人目として受け入れそう…）
  (2023/3/20 13:07:46)

カレン> ……。（ソファに片足を乗せた状態で振り返り、ぴたり。）朝倉がそう言うなら我慢してやろう。朝倉の評判まで落とすのは本意ではない。（やれやれ）最近はフルボイスじゃないとシナリオゲーキャラゲーとして見向きもされんからのぉ。後発ソシャゲの不利な場面じゃ。昔からあるソシャゲならボイス無しでも全然構わんのだが。新規だと鬼の首を取ったように騒ぐ連中も居るからのぉ。まぁ焦るな朝倉。細々と無課金でやっていればそのうち楽になる、そういうものだ、ソシャゲはな。（肩ぽん。ノリが良すぎる…というかボケなのか真面目に言ってるのか全く読めんのが腹が立つ…ぐぬぬぬ。）
  (2023/3/20 13:13:11)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/20 13:17:13)

朝倉可憐> うん、カレンちゃんありがとう。ここは基地じゃないけど…軍の人には悪いことしたらばれちゃうから……多分。（分裂してるとどうなるんだろう）ストーリーやサイドストーリー部分までしっかりボイスを入れてるのは…それでも珍しくないかな…？そうでもないのかな…。　うん、そうだね…リセマラがんばれたし…しばらくはあたしも無理なく遊びたいな…。（あれは…多分全部ある意味真面目だと思う…って苦笑。真面目にボケをしてる…という感じ…？って首をかしげて、やっぱりわからない様子）
  (2023/3/20 13:17:25)

後藤ひとり> こんにちは……少しだけお邪魔します………   (2023/3/20 13:17:31)

朝倉可憐> あ、こんにちは…今週は私がちょっと練習のために顔を出してます。（手を振り）あっちは私の殺人鬼の人格の方のカレンちゃん。   (2023/3/20 13:20:12)

カレン> 悪いことぉ？…降り掛かる火の粉は払うまでじゃ、自衛と言っておけば大抵の事は許されるわ。何故ならか弱い女の子を演じていれば見逃されるからのぉー！！（ゲス顔）珍しいと思うぞ。あそこまでボイスまみれなのは他だとウマ娘くらいしか知らん。個別ストーリーもフルボイスだからの。　そうしておけ、朝倉の財布が涼しい=ワシの財布も涼しいになるんだ、少しは考えて使えよ…？（ちらり）
  (2023/3/20 13:21:21)

後藤ひとり> 殺人鬼！？……あ、逃げないと……   (2023/3/20 13:21:37)

カレン> はっじめましてぇ、カレンちゃんでぇーっす！！（逃げ道を塞ぐように回り込む同じ顔。）どっかの超高校級のジェノサイダーのパクりだとか言ったやつから片っ端から殺しまぁーす！！   (2023/3/20 13:22:42)

後藤ひとり> ひい！？あ、いやあの………誰か助けてください……(逃げ道を塞がれて完全に詰んだ顔)   (2023/3/20 13:25:30)

カレン> ……ま、獲物がないんじゃ素手で殺るしかないんじゃが。そもそも殺しはNGらしいからのぉ、獲物なんぞ持っておらんわ（ひらひら）   (2023/3/20 13:27:04)

朝倉可憐> 自衛っていうほど危ない人はここには……少しはいるかもしれないけど。あたしのふりして切り抜けようとしないで欲しいかなぁ…（苦笑い）サイゲームスに負けない豪華っぷりはやっぱりすごいと思う。専用ショップとかも秋葉原に期間限定にできてたし。　……食べ物がなくなったときはカレンちゃんに交代かな。（目逸らし）
  (2023/3/20 13:27:25)

後藤ひとり> あ、ならよかったです……はい……(一応念の為距離を空けておいて)   (2023/3/20 13:29:00)

カレン> …え？あたし、そんな悪い事してませんよ…（うるるん。朝倉ボイス）開発企業の力の大きさを感じるわ。どれだけ良いものでも広告出せなければ流行らんからのう。　…はぁ？朝倉、いいのか？そんな事をして。腹が減りすぎて気が狂ってザーメン貪るようなプレイに没頭するかも知れんぞ？そんなもので腹を膨らませるハメになってもワシは責任は取らんぞ？（にや）
  (2023/3/20 13:30:50)

カレン> 何が良かったんじゃ、言ってみぃ？（昼食の割り箸を首に突きつけ）まぁ、よい。名を名乗れ、それがスジじゃろう？   (2023/3/20 13:32:01)

後藤ひとり> 殺す気が無いと言ってたので………えっと……後、後藤ひとりです………(首に割り箸突きつけられてそのまま抉られて殺される………と)   (2023/3/20 13:33:41)

朝倉可憐> やめよう…？あたしまで殺しているみたいになっちゃう。…間違いなくあたしなんだけど（困ったものだなぁ…）……腐ってもグリーの子会社…というよりも、ちょっとＷＦＳは広告は下手なんだけど……、ゲームは本当に面白いもの作るんだよね。人の心を抉る作品が多そうだけど。　……ママ殺人鬼の語感にカレンちゃんが耐えられるかどうか…な気もするけど。（こてん
  (2023/3/20 13:35:25)

カレン> 殺人鬼とて手が滑る事だってあるぞ？ほれほれ…♪（割り箸をそのまま、胸の脂肪の塊へ突きつけて下から持ち上げるように……べぎ！脂肪の重みに耐えきれず折れる割り箸。）チッ…使えんのう。（ぽい。）   (2023/3/20 13:35:45)

朝倉可憐> ごめんね、カレンちゃんが。多分逃げても一瞬だから落ち着いてそばにいてほしいかな。   (2023/3/20 13:36:09)

後藤ひとり> た、助かった……なんで胸つんつんされたのかは分かりませんが……(ほっ)分かりました……機嫌を損なわないように気をつけてそばに居ます…   (2023/3/20 13:38:11)

カレン> 今は別個体じゃ。元に戻ったら…そうなるかもなぁ？（クックック。）正直、どれだけ広告打とうが中身がハリボテだったら流行らんし、流行るというのはある程度品質が高いものだからこそ流行るんじゃ。口コミなんかでな。　……それは嫌じゃ、耐えられん。サイコキラーが誰の種で孕んだかも分からないビッチだとか、そんなものはただのセックス狂いにしかならんしな！！
  (2023/3/20 13:40:31)

カレン> 殺人鬼に機嫌とかないぞ。暇だから殺すし、ムラっと来ても殺す。（こくん）まぁ、朝倉がやめろというしやらんが。   (2023/3/20 13:42:20)

朝倉可憐> また記憶にない（ないとは言ってない）殺人が私の手に…。　誰もやってる人を見ないのにベスト賞もらってるのがへブバンだから…多分広告は下手なんだよね……。もうちょっと流行ってほしいな。　そういうこと。私が受けるダメージは、全部カレンちゃんにも帰ってくるんだよ。
  (2023/3/20 13:44:54)

後藤ひとり> 怖い何この人……対処方法がなんにもない…(顔面をぐにゃっと崩壊させてとろけちゃう寸前……)   (2023/3/20 13:45:26)

朝倉可憐> 何って言われると……私のパーソナリティでサイコキラーのカレンちゃんだよ（静かに同情するように声をかけては。後She is Legendのデスボイス担当）   (2023/3/20 13:46:25)

後藤ひとり> 全然分からないけど関わらない方がいいのは分かりました…………(泣き出しそうな顔で可憐さん見つめ)   (2023/3/20 13:47:55)

カレン> この部屋に居る限りは増えんぞ、ある意味安心じゃな…？（にやり）　ワシの周りでも居らんし、そこそこ潜伏しているのかも知れん。ブルアカのように何かの拍子で爆発できるキッカケがあればいいんじゃが。　……どの面下げてそれを言うんだ朝倉。空腹をワシに肩代わりさせようとしたよな？な？
  (2023/3/20 13:48:20)

朝倉可憐> そういわれると悲しいな…。カレンちゃんも私の一部だから。（同じ顔で困ったように見つめ返して）   (2023/3/20 13:48:55)

カレン> （可憐の目の前に現れる同じ顔。）ワシに関わらないということは朝倉に関わらないと同義じゃぞ…？酷いことを言うもんじゃのう…初対面じゃろう、貴様。   (2023/3/20 13:49:53)

カレン> 貴様にもわかりやすく説明してやる。朝倉とワシは今は分かれてはおるが、二重人格なんじゃ。本来は同じ身体に共存しておるのだ   (2023/3/20 13:51:00)

朝倉可憐> ある意味安心…うん、基地でもここでも安心だけど…訓練がない分安心…？（首を傾げ）　募集するとどこからともなく出てくるのがヘブバンなのかも…私も正直ここでカレンちゃんに会えるとは思わなかったし…。　……カレンちゃんと同じ顔かな。だってほら……、サイコなキラーならこう……空腹も似合う…かも……。
  (2023/3/20 13:51:21)

後藤ひとり> わ、分かりました…そこまで言うからさっきの言葉は取り消します………(え！？これ私が悪いんですか！？……と心の中で)   (2023/3/20 13:51:23)

後藤ひとり> そういうタイプでしたか……表と裏の人格……   (2023/3/20 13:52:29)

朝倉可憐> 大丈夫だよ、多分死なないから……。（たぶん。）   (2023/3/20 13:52:40)

おしらせ> 京町セイカさんが入室しました♪  (2023/3/20 13:53:21)

京町セイカ> そこまでよ！タイムパトロール参上！   (2023/3/20 13:53:35)

カレン> 訓練がないとワシのムラムラが発散できぬわぁー！！（うがー。）ワシも面白そうだと思って飛び込んだまでだからのう。朝倉に逃げられないとも言えんし。　いやいやいや、空腹が似合うとか貧乏人じゃろうが！！サイコキラーな貧乏人ってただの不審者じゃ！！  
(2023/3/20 13:54:35)

後藤ひとり> あ、こんばんは……タイムパトロール……ドラえもん見たい……   (2023/3/20 13:55:09)

カレン> そういう事じゃ、もう一人のボクってやつじゃ。別にパズルを組んだ訳でもないが   (2023/3/20 13:55:33)

カレン> 何がそこまでじゃ、我殺人鬼ぞ？（白状）   (2023/3/20 13:56:07)

京町セイカ> さぁひとりちゃんを離しなさい！ちなみに私は設定的に別に戦えるわけでもないからまともにやりあえば犠牲者がでるわよ！(こちら側に)   (2023/3/20 13:57:11)

後藤ひとり> ぱ、ぱずる？……だそうです………(首を傾げながらもほっと)   (2023/3/20 13:58:26)

朝倉可憐> 大丈夫、その時は一旦基地に戻ってちゃんと任務を果たそう？（よしよし）あたしはさすがにカレンちゃんきて逃げたりは…しないかなぁ。　そ、そうかな……食うに困ってサイコにキル……みたいな……。うん、ちょっと人情味が出てきちゃった。  
(2023/3/20 13:58:36)

朝倉可憐> カレンちゃんを刺激しないでくださーい。設定的に秒殺できちゃうから一瞬で事件現場ができあがりますよ。   (2023/3/20 14:00:05)

カレン> さぁて、暇つぶしも終わったし、ワシはそろそろ寝るぞ。また朝倉が退屈してたら出てやるわ、またのう。（可憐の後ろに周りこんですぅっと一体化。）   (2023/3/20 14:01:07)

おしらせ> カレンさんが退室しました。  (2023/3/20 14:01:13)

後藤ひとり> そういう帰宅の方法初めて見ました……   (2023/3/20 14:02:04)

朝倉可憐> あ、カレンちゃんお休み。……起こさないようにしておこうね。（うん）   (2023/3/20 14:02:36)

京町セイカ> 世の中には不思議な存在があるものねえ…   (2023/3/20 14:02:49)

朝倉可憐> 不思議なことだらけです。　あ、改めてはじめまして。朝倉可憐です、31A部隊所属です。   (2023/3/20 14:04:49)

京町セイカ> あ、はじめまして。私は京町セイカ。精華町のPRやってるわ   (2023/3/20 14:05:21)

後藤ひとり> ご、後藤ひとりです……   (2023/3/20 14:06:02)

朝倉可憐> あ、うん。二人ともよろしくお願いします。カレンちゃんともどもよろしくしてね。   (2023/3/20 14:10:22)

後藤ひとり> よ、よろしくお願いします……   (2023/3/20 14:13:11)

京町セイカ> こちらこそ、よろしくねかれんちゃん！   (2023/3/20 14:16:23)

朝倉可憐> あ、うん。でも……どうしようか…話題もそんなにない…かな。   (2023/3/20 14:17:46)

後藤ひとり> 私もですたまたま人が居たので入ってみました……休みの日なので   (2023/3/20 14:20:40)

京町セイカ> 私もそうね、今日はお休み。まぁ気の向くままに話題が浮べばって感じね   (2023/3/20 14:23:58)

朝倉可憐> そうなんですね。いいなお休み…いつも訓練しないとだし…   (2023/3/20 14:27:16)

京町セイカ> ふむふむ、大変ねえ…その分ゆっくり気分転換していってね   (2023/3/20 14:30:08)

後藤ひとり> 訓練大変ですね……頑張って……(うとうと)   (2023/3/20 14:30:09)

後藤ひとり> 寝ちゃいましたか……？   (2023/3/20 14:40:01)

京町セイカ> まぁ休める時に休むのはいいことよ   (2023/3/20 14:41:15)

後藤ひとり> お疲れ様ですね……訓練お疲れ様です……私も少し眠くて……   (2023/3/20 14:43:00)

京町セイカ> ふむふむ(ぽんぽんと膝を叩いて)   (2023/3/20 14:43:29)

朝倉可憐> あ、うん……ありがとう。二人とも眠いなら無理しないでね…。   (2023/3/20 14:44:15)

京町セイカ> 気遣いありがとう、でも私は大丈夫よ？   (2023/3/20 14:45:13)

後藤ひとり> では……少しだけ寝ようかな……(お膝の上に頭を乗せて)   (2023/3/20 14:45:39)

京町セイカ> ふふっいらっしゃーい♡(膝の上の頭をゆっくり撫でてあげて)   (2023/3/20 14:47:47)

後藤ひとり> おやすみなさいですまた会えたらお話しましょうね……   (2023/3/20 14:48:25)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/20 14:48:27)

京町セイカ> おやすみ、ひとりちゃん   (2023/3/20 14:48:49)

おしらせ> 無言時間が25分を超えたため、京町セイカさんが自動退室しました。  (2023/3/20 15:14:03)

おしらせ> 國見タマさんが入室しました♪  (2023/3/20 15:15:00)

國見タマ> こんにちは！！！！可憐さんが居ると聞いて、不肖、この國見タマ！駆けつけました！！乗るしかありません！このヘブバンビッグウェーブに！元艦長だけに！！！（勢よく扉をばーん！と開けると、隣のソファに座って嬉しそうに身体を揺らしながら）  
(2023/3/20 15:17:23)

朝倉可憐> わわ、ちょっと目を離してた、ごめんね…？（うとうとしてたらびくぅって震えながら左右をみてタマをみれば手を振ってこたえて）   (2023/3/20 15:26:23)

國見タマ> これ、反応がないやつですか！？もうだめぽですか！今北産業、遅かったですか…！ぐぬぬぬ。取り敢えず可憐さんを見送ってから、私も落ちましょう…と、思ったら起きてました！（反応があれば嬉しそうに、ピンクの長い髪を揺らしながら肩を寄せて）  
(2023/3/20 15:27:28)

朝倉可憐> ユキさんいたら多分絶叫するようなこと言ってるけど大丈夫…？今北産業は多分使いかた違うと思うけど…。タマさんもこんなところで奇遇だね。（控えめに手を振りながら31Aの人がいっぱい来てくれてなんだかうれしいな…って）   (2023/3/20
15:28:39)

國見タマ> いえ！可憐さんを見掛けたら、この私も顔を出さない訳には行きません！最近、ヘブバンを始めたみたいですけど、こんなド畜生のイキったアプリを始めるなんて命知らずです！難易度とガチャの渋さ的な意味でですけど！ABイベント辺りから始めた感じでしょうか？（手をぶんぶん振り返すと笑顔で応えながら）
  (2023/3/20 15:32:01)

