/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年08月17日 17時11分 ～ 2018年08月20日 17時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

竹井 久> 【ちなみに部屋は継続して露天風呂のままよ】   (2018/8/17 17:11:26)
おしらせ> 時雨さんが入室しました♪  (2018/8/18 21:01:51)

ウオッカ ◆> ああ///   (2018/8/18 21:01:59)

竹井 久> 時雨おかえりなさい   (2018/8/18 21:02:10)

時雨> ごめんね、ただいま…   (2018/8/18 21:02:27)

ウオッカ ◆> 【部屋作ったぜ】   (2018/8/18 21:02:35)

セレニケ> あら、気が利くのね。じゃあ、お邪魔させてもらうわ、ウォッカ   (2018/8/18 21:02:53)

竹井 久> 眠いのかしら？(時雨の頭を撫でて)   (2018/8/18 21:02:55)

時雨> うーん、職業上見られるのは仕方ないんだけどね…。大丈夫大丈夫、(目を閉じて)   (2018/8/18 21:04:23)

ウオッカ ◆> 【オレらはお邪魔に】   (2018/8/18 21:05:05)

セレニケ> そうね、私たちはあちらに移るわ   (2018/8/18 21:06:37)

竹井 久> 私が厭なのよ…(ちゅっ…と首筋に吸い付いてキスマークの印を付けながら時雨の胸を揉んであげるわ)   (2018/8/18 21:06:50)

ウオッカ ◆> じゃ、じゃあな   (2018/8/18 21:07:08)

竹井 久> 【お二人さんいってらっしゃい】   (2018/8/18 21:07:09)

セレニケ> いってくるわね   (2018/8/18 21:07:15)

おしらせ> セレニケさんが退室しました。  (2018/8/18 21:07:18)

時雨> 【またね   (2018/8/18 21:07:23)

おしらせ> ウオッカ ◆yBxYs5wJysさんが退室しました。  (2018/8/18 21:07:56)

時雨> そうは言っても…分かった。今度中破した姿を特別に見せてあげるよ…ふぁ…//(ぴくっと震えて)   (2018/8/18 21:08:59)

竹井 久> 痛そうな時雨は見たくないわね？(胸を揉んでから指で乳首を撫で回していくわ)   (2018/8/18 21:10:02)

時雨> 痛いし寒いし恥ずかしいよ。白露曰くね…でも、ボクの服がはだけてる姿が見られるといったら、どうかな?…っ///(くりくりされて艶っぽい溜め息を履きながらこちらも久の股をまさぐって)   (2018/8/18 21:15:07)

竹井 久> こうやってエッチしてる時にすれば良いのよ。(時雨の話にクスクス笑うとそう答えてから服を脱がせて直に胸を揉んでから指で乳首を撫でていくわ)   (2018/8/18 21:17:11)

時雨> はぁ…///君はボクの裸のほうが好きなのかな…?(脱がされ裸になるとこっちも脱がせようと制服に手を伸ばして)   (2018/8/18 21:21:02)

竹井 久> 時雨の身体中に私の印を付けたいのよ…(首筋から胸に舌を這わせてから乳首に吸い付き甘く噛むわ。時雨に服を脱がせてもらうわ)   (2018/8/18 21:23:48)

時雨> んっ…甘えん坊さんなんだから…///(久を脱がすと舌がくすぐったくてぴくぴく震えて)そういえば久の裸…初めて見たかも   (2018/8/18 21:28:17)

竹井 久> そうだったかしら？露天風呂で会わなかったかしら？(お互い裸になってからそう言うと乳首に強く吸い付いて乳首を赤く膨らませるわ)   (2018/8/18 21:31:49)

時雨> そうだったっけ…そういえばあのときは脱いでたね…///はぅぅ…ボクのおっぱいそんなに好き…?///(強く吸い付く久の身体に触れながら、乳首をぴんと尖らせてしまう）   (2018/8/18 21:34:49)

竹井 久> ん…ちゅっ…時雨の乳首にもキスマーク付けたわよ？時雨の身体全部に付けるわよ(なんていいながら時雨の胸全体に強く吸い付いてキスマーク付けていくわ)   (2018/8/18 21:40:01)

時雨> んんっ…そんなこと言って……胸ばっかりじゃないか…っ///(キスマークを付けてもらえるのは嬉しいけど…って目を逸らしつつ、ちゅっと久の頬に口付けて   (2018/8/18 21:46:09)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/8/18 22:00:16)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/18 22:04:07)

おしらせ> 無言時間が20分を超えたため、時雨さんが自動退室しました。  (2018/8/18 22:06:12)

竹井 久> 【ごめんなさい、時雨、お疲れ様】   (2018/8/18 22:16:24)

竹井 久> 【私もそろそろ寝るわ、おやすみなさい】   (2018/8/18 22:19:15)

おしらせ> 竹井 久さんが退室しました。  (2018/8/18 22:19:19)

おしらせ> 泉 こなたさんが入室しました♪  (2018/8/18 23:27:06)

泉 こなた> 眠れぬ夜は東京〇店。（だから合言葉みたいに使わないで）   (2018/8/18 23:27:41)

泉
こなた> ふんふ～ん♪芥川龍之介がスライを聴いて～お歌が上手とホザいたと言う～♪（鼻歌を歌いながら、お馴染みのリビングへやってくると、もはや自分の部屋と言わんばかりにソファーに腰かけ。誰もいないことをいいことに、携帯電話をいじりながら、はしたなく膝を立てて座る姿は、干物女子そのものだった）
  (2018/8/18 23:33:50)

おしらせ> 無言時間が20分を超えたため、泉 こなたさんが自動退室しました。  (2018/8/18 23:54:13)

おしらせ> 泉 こなたさんが入室しました♪  (2018/8/18 23:55:20)

泉 こなた> 【うへ…眠くなってきた…】   (2018/8/19 00:14:40)

泉 こなた> 【ってーことで、失礼しました～】   (2018/8/19 00:15:16)

おしらせ> 泉 こなたさんが退室しました。  (2018/8/19 00:15:20)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/19 04:32:13)

竹井 久> おはよう。   (2018/8/19 04:32:30)

竹井 久> 【やっぱり自分の部屋を作ろうかしらね…】   (2018/8/19 04:37:17)

竹井 久> 【30分まで遊んでくれる人来ないかしらね…】   (2018/8/19 04:49:27)

竹井 久> 【ROMが減らないわね…独り言にそんなにみるなんて…カレン辺りが居るのかしら？】   (2018/8/19 05:20:55)

竹井 久> 【話したいなら普通に降りてくれば良いのに…】   (2018/8/19 05:25:24)

竹井 久> 【さて…仕事行ってこよう】   (2018/8/19 05:30:35)

おしらせ> 竹井 久さんが退室しました。  (2018/8/19 05:30:41)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/19 06:15:03)

九条カレン> 【えっと…私は今起きました…す、すいません…えっと…入ってもいいんですか？】   (2018/8/19 06:16:04)

おしらせ> 一井透さんが入室しました♪  (2018/8/19 06:22:06)

九条カレン> おはようデース   (2018/8/19 06:22:29)

一井透> おはよう。……久しぶり？   (2018/8/19 06:22:54)

九条カレン> お久しぶりデース！   (2018/8/19 06:23:30)

おしらせ> 少名 針妙丸さんが入室しました♪  (2018/8/19 06:24:52)

少名 針妙丸> （こそこそ…物陰からチラリ）   (2018/8/19 06:25:16)

一井透> うん、久しぶり。最近やっと涼しくなってきたよね。   (2018/8/19 06:25:16)

九条カレン> そうデスねー！そちらもおはようデース！   (2018/8/19 06:25:33)

一井透> おはよう。と、はじめまして。   (2018/8/19 06:26:06)

少名 針妙丸> 元気だね…！（びくり）   (2018/8/19 06:26:14)

九条カレン> ハイ！   (2018/8/19 06:27:27)

少名 針妙丸> うん、お初さんが多いね。（一人だけ小人という場違い感）   (2018/8/19 06:28:13)

九条カレン> そう言えばものすごい小さいデース！(じーっと)   (2018/8/19 06:30:14)

少名 針妙丸> ……手に持って見てもいいよぉ？(カレンちゃんをちらり)   (2018/8/19 06:31:14)

一井透> すごい……本物の小人だ……可愛い。(声がした方を見ると、改めて驚きつつ)   (2018/8/19 06:32:08)

九条カレン> 割れたら怖いデース…(優しく手に持って)   (2018/8/19 06:32:19)

少名 針妙丸> あ…なんか私…今すごく良いポジションにいる…♡(カレンちゃんの手に持たれつつ、二人に囲まれて)   (2018/8/19 06:33:43)

一井透> わー……。(珍しそうに、顔近付けつつ)   (2018/8/19 06:36:10)

九条カレン> 凄いデース～(力加減が難しくて)   (2018/8/19 06:37:10)

少名 針妙丸> 顔…近いよぉ…♡(透ちゃんの顔が近付くとドキドキしてしまい)   (2018/8/19 06:37:38)

少名 針妙丸> カレンちゃん、手のひらに乗せたら…どうかな…？(力加減難しそうにしてるのでボソッと)   (2018/8/19 06:38:32)

一井透> あ、ごめんごめん。びっくりしたよね。(少し顔離して) ……それって、打出の小槌？(手に持っているものがふと気になった様子で)   (2018/8/19 06:39:47)

九条カレン> そうデスね…(掌に乗せて)   (2018/8/19 06:39:56)

少名 針妙丸> あ…コレ？私と鬼しか使えない宝物だよ。びっくりはしないけどドキドキしちゃう。透ちゃんにちゅーされるのかと思って…♡(カレンちゃんの掌に立ちながらニコニコと)   (2018/8/19 06:41:52)

九条カレン> 【とおるちゃん大丈夫？】   (2018/8/19 06:48:40)

少名 針妙丸> 【ザ・ワールドでも掛かったのかな】   (2018/8/19 06:49:02)

一井透> 【ごめんね、おトイレ行ってて】   (2018/8/19 06:49:40)

少名 針妙丸> 【二人にちゅーされたら私とろけるだろうなぁ…（ぼそぼそ）】   (2018/8/19 06:50:24)

九条カレン> 【はい】   (2018/8/19 06:50:29)

少名 針妙丸> 【おかえりなさい～】   (2018/8/19 06:50:43)

九条カレン> 【2人に責められたいんだ…(くすくす)】   (2018/8/19 06:50:52)

一井透> ちゅーって……一方的に私が食べるみたいな格好になりそうだけど。どうなんだろ。(ふふふ、)   (2018/8/19 06:51:08)

少名 針妙丸> 【生えてるけど責められたい…♡】   (2018/8/19 06:51:15)

九条カレン> 【なるほどね…】   (2018/8/19 06:52:12)

一井透> 【……人差し指で電気あんまとか、そんな感じかな。体格差で。】   (2018/8/19 06:53:43)

少名 針妙丸> んー……やってみる……？（カレンちゃんの掌の上で向きを変えつつ、透ちゃんの方に顔を向けて立ち）   (2018/8/19 06:54:09)

少名 針妙丸> 【小さなキノコ…〜唇ではむはむされると気持ち良さそう…？】   (2018/8/19 06:55:32)

一井透> なんか積極的だね……してみよっか。(カレンさんの手のひらに顔を近づけて、目を閉じて)   (2018/8/19 06:56:50)

一井透> 【ほんとに捕食プレイになりそう。】   (2018/8/19 06:59:59)

少名 針妙丸> はぅ……♡(背中からカレンちゃんの視線を感じつつも、透ちゃんの唇を見つめ始め。百合キスを顔にされるのを待ち焦がれて)   (2018/8/19 07:00:20)

少名 針妙丸> 【舌で絡められ取られて、いつの間にか透ちゃんの口の中に身体が入ってそう…♡】   (2018/8/19 07:01:38)

一井透> ん……。(針妙丸さんの顔に、唇近づけてキスして)   (2018/8/19 07:03:24)

一井透> 【それだと全身ベトベトになっちゃいそうだけど、いいのかな……。】   (2018/8/19 07:04:55)

少名 針妙丸> んんっ……♡(顔にキスをされると透ちゃんの大きな唇に包み込まれる様な感覚がして股間の方も少し勃ってしまい)   (2018/8/19 07:05:31)

少名 針妙丸> （女の子の唾液でベチャベチャになるのはご褒美だよ）   (2018/8/19 07:06:08)

九条カレン>    (2018/8/19 07:09:48)

少名 針妙丸> 【生きてた】   (2018/8/19 07:10:10)

一井透> ん……あむ。(唇で頭から咥えてみて、甘噛みして) ……反応してる？   (2018/8/19 07:10:14)

九条カレン> 【大丈夫ですよ、ただ乗せてただけなので何も書けませんでした、すいません】   (2018/8/19 07:11:27)

少名 針妙丸> んぷっ…！？♡(唇で頭から咥え込まれると、甘噛みされてしまい。股間がどんどん膨らみ)【カレンちゃんも何か混ざっても良いのに。私を挟んでベロチューとか…♡】   (2018/8/19 07:12:20)

一井透> カレンさんも弄ってみたら？ 針妙丸さん。(ちら、とカレンさんの方を見て)   (2018/8/19 07:13:14)

九条カレン> 私デスか？(キョトンとしつつそっと近づいて)【分かりました】   (2018/8/19 07:14:12)

少名 針妙丸> ふがふが…♡(頭が口の中なので外の様子が分からずに居て)   (2018/8/19 07:15:09)

一井透> ちょっと口の中、くすぐったいかも……。(と、唇離すと、舌出して相手の顔や股間を舌の先でちろちろと舐めて)   (2018/8/19 07:16:25)

少名 針妙丸> はぅ……舐めたらくすぐったいよ…♡(透ちゃんの舌で顔や股間を舐められてしまうと思い切って脱ぎ始めて)   (2018/8/19 07:18:17)

一井透> うん、カレンさんともキスできるし……ね？(少し照れつつ、カレンさんと目を合わせて)   (2018/8/19 07:20:00)

九条カレン> 私デスか？…///   (2018/8/19 07:20:56)

少名 針妙丸> 私の身体でポッキーゲームみたいな事は…？♡(頭と足からそれぞれ咥えられるのを妄想し)   (2018/8/19 07:21:58)

一井透> ……全身マッサージみたいになっちゃうね、これ……。(服を脱いで露わになった相手の肌に、丁寧にキスしながら、股間の先を舌で往復して)   (2018/8/19 07:24:31)

一井透> 勢い余って噛んじゃったりしそう……。(くす、) と微笑みつつ、カレンさんの空いた手に触れて、見つめあって)   (2018/8/19 07:26:18)

少名 針妙丸> 透ちゃん……はぅ…♡(裸になってしまった身体へ丁寧にキスをされれば唇触れる度にぴくぴくして。股間を舌で舐められると小さいなりにも肉棒はちゃんと反応していて)   (2018/8/19 07:27:34)

九条カレン> そうなったら大変デース(見つめられつつら手を触れられてキョトンと)   (2018/8/19 07:27:53)

一井透> ……れろ、んむ……っ。(針妙丸さんの小さな肉棒を唇で咥えると、ちゅーっと肌を吸い上げたり、舌先で肉棒の先端を弄ってみたりして)   (2018/8/19 07:32:44)

一井透> なんかちょっと危なそうだよね……乗り気じゃないなら、いいんだけど。(少し遠慮がちに手を離して)   (2018/8/19 07:35:05)

少名 針妙丸> あっ…はぁ…はぁ…♡きもち…、ぃ…♡（透ちゃんの唇で肉棒を包まれては吸い上げられたり、舌先で舐められたりすると、先走りが漏れて）   (2018/8/19 07:35:26)

九条カレン> 私は大丈夫デスよ？…乗り気デース！(なんて言ってみて)   (2018/8/19 07:36:35)

一井透> ふふ……すっかり興奮しちゃってるね……びくびくしてる……。(肉棒の根元に口付けて、先走りを吸い上げるようにして、先端をちろちろと舌先で弄んで)   (2018/8/19 07:40:27)

少名 針妙丸> カレンちゃんも…私を舐めたり、キスしてもいいよ…？♡(その間も透ちゃんの口で肉棒を愛撫され、根元に口付けても余る程の唇に肉棒が全体包まれてしまって。ストローの様に吸い上げられながら舌先で先端を舐められると腰が震えて)   (2018/8/19
07:42:56)

九条カレン> 私デスか？…///(そっと顔を寄せつつ)   (2018/8/19 07:44:58)

一井透> ……やってみよっか。(ちら、とカレンさんと目を合わせて) ……えっとあ、頭いく？ 足の方いく？   (2018/8/19 07:45:02)

少名 針妙丸> ……ドキドキしちゃう……♡(カレンちゃんの掌から透ちゃんの手で包まれつつ肉棒を愛撫されてたので。緊張感が凄いことになり)   (2018/8/19 07:46:36)

九条カレン> 足の方でいいデース！…(なんて言う)   (2018/8/19 07:47:36)

一井透> じゃあ私は頭の方だね。……窒息しなきゃいいけど。(針妙丸さんの身体をそっと持ち上げると、頭から歯を立てないように咥えて)   (2018/8/19 07:49:22)

少名 針妙丸> んんっ……♡(小人でポッキーゲームのスタンバイに入られれば頭側は透ちゃんの口に咥え込まれてしまい。足先にくるカレンちゃんを待ち焦がれて)   (2018/8/19 07:50:58)

九条カレン> ハイ……////(優しく脚を舐めてゆき)   (2018/8/19 07:51:45)

少名 針妙丸> はぅ……♡(脚を舐められるとくすぐったくてぷるぷる震えて)   (2018/8/19 07:52:51)

九条カレン> んう…////(優しく足を舐め回す)   (2018/8/19 07:55:33)

一井透> ……んむんむ……。(口の中で、舌を動かしながら針妙丸さんの頭や手を舐めて、首の少し下あたりまで咥えて)   (2018/8/19 07:55:49)

少名 針妙丸> ん……んんっ♡(上半身は少しづつ透ちゃんの口へ咥え込まれて行き。足の方は舐め回したりするのみで進んでない様子で)   (2018/8/19 08:00:49)

一井透> ……//(身体が火照ってきたのか、カレンさんと目を合わせると、カレンさんの手を取って、自分の秘部の辺りへ持っていき)   (2018/8/19 08:02:13)

九条カレン> んう…/////(脚に吸い付きつつも、トオルの秘部の方に手をやられて)   (2018/8/19 08:05:04)

少名 針妙丸> んん……んんっ…♡(ポッキー役の間は動けず、上下から唇が迫って来る感覚に悶始めて)   (2018/8/19 08:06:12)

一井透> あむ……んん、っ。(針妙丸さんの胸の先端を、唇で甘噛みしながらはむはむと咥えて) ……//(手がお留守だよ？ と言いたげに、カレンさんと目を合わせて、手を重ねて自分の秘部を相手の指で慰めるように動かして)   (2018/8/19 08:08:01)

少名 針妙丸> んっ……んふ…ぅ…♡（遂には胸のあたりまで咥え込まれてしまい。口内は唾液でとろとろなので思考がとろけそうになり）   (2018/8/19 08:10:26)

九条カレン> んう…/////(足を舐めつつ、手に透の秘部が擦り付けられるのを感じてこちらも手を動かして)   (2018/8/19 08:11:12)

一井透> …… んん、っ……んむ。(針妙丸さんの上半身を口の中で愛撫しつつ、カレンさんの手が動くと、ぴくんと反応して、自分からもじもじと秘部を擦り付けて)   (2018/8/19 08:14:42)

少名 針妙丸> んっ……んぅ……んぅ……♡()上半身が透ちゃんの口の中で舐め回されていき。はみ出てる股間の肉棒は元気のままで。もう透ちゃんの口に全身を飲まれたくなっていて   (2018/8/19 08:18:45)

九条カレン> ～////(恥ずかしそうにトオルの秘部に手を当てつつも秘部が手を擦って透明な液が付く)   (2018/8/19 08:20:33)

一井透> ……んむ、んん……。(針妙丸さんの胸からお腹の辺りまで咥えこんで、上を向いて立っている肉棒に鼻息が掛かって)……ん、んっ……//(カレンさんの手が触れると、中から蜜が溢れ出して、自分のクリに指を擦り付けて)   (2018/8/19
08:24:00)

少名 針妙丸> んんっ……んぅ…ん……♡（とうとうお腹のあたりまで透ちゃんの口の中に咥え込まれてしまい。股間が鼻先まで来てしまえば鼻息で肉棒をくすぐられるでしょう形になってしまい）   (2018/8/19 08:25:45)

少名 針妙丸> 【透ちゃんのロル…好きだわぁ…個人的に今度絡みたいほどに（朝ごはんの時間が迫りつつ）】   (2018/8/19 08:26:29)

九条カレン> …//////(自分の指の方にトオルのクリが当たったのに気づいて優しく指でつまむ)   (2018/8/19 08:28:19)

少名 針妙丸> 【針妙丸のお部屋 ってプレイルーム作っちゃった…♡ 今度遊びに来てくれたら、私を食べ放題…♡】   (2018/8/19 08:32:27)

一井透> ……んむ……んふ、っ。(口の中で、針妙丸さんがふやけてるんじゃないかな、と無用な心配をしつつも、カレンさんが進んでくる様子がないので、肉棒の先を唇と相手のお腹で挟んで、先端をちろちろと舌先で刺激して)   (2018/8/19 08:32:29)

一井透> ……んんんっ//(クリの先を指で摘まれると、身体が敏感に反応してしまって、思わず腰を震わせて、自分で秘部の入り口を慰めながら切なそうに見つめて)   (2018/8/19 08:34:42)

少名 針妙丸> んっ…んぅ……ん……んっ…♡(そろそろイきたくなってしまうともじもじ動き始めてきて。透ちゃんの唇と自分の腹で肉棒を挟み込まれつつも舌先で刺激されれば…堪らずに口の中に向かってどぴゅっ♡と漏らしてしまい)   (2018/8/19
08:35:36)

一井透> 【……そう？ あんまり上手じゃないけど、気に入ってくれたら嬉しいな……って、もうお部屋作ったの？】   (2018/8/19 08:35:59)

少名 針妙丸> うん…作った！http://chat.luvul.net/ChatRoom?room_id=237988 [http://chat.luvul.net/ChatRoom?room_id=237988]   (2018/8/19
08:36:21)

少名 針妙丸> 【キリよくイったので…中途半端だけど朝ごはんに落ちまーす】   (2018/8/19 08:37:02)

少名 針妙丸> 【またねー♡】   (2018/8/19 08:37:37)

おしらせ> 少名 針妙丸さんが退室しました。  (2018/8/19 08:37:56)

九条カレン> …/////(切なそうに見つめられつつもクリを撫でたまま割れ目の方にもう片手で指を侵入させて)【お疲れ様】   (2018/8/19 08:38:04)

一井透> ……んむ……んんっ！(口の中で、針妙丸さんの肉棒から勢いよく熱いものが放たれて、絞り取るようにして吸い上げると、喉をこくんと鳴らして飲み混んでいき) 【ありがとう。また今度そっちのお部屋にも寄ってみるね。お疲れさま。】   (2018/8/19
08:40:11)

一井透> ……ん、んぅ……//(口から針妙丸さんの身体を離すと、そっと近くのタオルの上に横たえて。カレンさんの指が秘部に入ってくると、じわじわと蜜が溢れ出していき)   (2018/8/19 08:43:05)

九条カレン> 【私達はどうしますか？】   (2018/8/19 08:43:48)

一井透> 【カレンさん、時間あるなら移動しちゃうのもありだけど。】   (2018/8/19 08:45:23)

九条カレン> 【んー、まあそれなりかな…10時半までかも】   (2018/8/19 08:46:40)

一井透> 【そっか……もう少し付き合ってくれたら、嬉しいな。お部屋作るよ。】   (2018/8/19 08:48:42)

九条カレン> 【了解です】   (2018/8/19 08:49:42)

一井透> 【こっちは準備できたよ。移動するね。】   (2018/8/19 08:50:42)

九条カレン> 【はい】   (2018/8/19 08:51:40)

おしらせ> 九条カレンさんが退室しました。  (2018/8/19 08:51:43)

おしらせ> 一井透さんが退室しました。  (2018/8/19 08:51:56)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/19 13:32:00)

九条カレン> 【1時間ちょい入れます】   (2018/8/19 13:32:15)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/8/19 13:52:37)

おしらせ> チトさんが入室しました♪  (2018/8/19 15:32:32)

チト> （普段乗り文具でそふぁに眠っている幼女。　暑さが苦手なのか冷房設定を最強にしたまま毛布にくるまりくぅくぅと寝こけて）   (2018/8/19 15:34:11)

チト> 【普段のリビング】   (2018/8/19 15:34:34)

おしらせ> 無言時間が20分を超えたため、チトさんが自動退室しました。  (2018/8/19 16:21:34)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/19 18:46:03)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/19 18:59:25)

九条カレン> 【こんばんは…】   (2018/8/19 19:00:09)

竹井 久> 【…こんばんは】   (2018/8/19 19:00:37)

九条カレン> 【えっと…色々とごめんなさい…】   (2018/8/19 19:00:54)

竹井 久> 【別に構わないんだけど、何時もの部屋には行かないのかしら？】   (2018/8/19 19:01:28)

九条カレン> 【怒ってないんですか？…え、今は約束してないですよ…】   (2018/8/19 19:02:15)

竹井 久> 【私が怒ったのは約束に対してだけで他は怒ってないわよ】   (2018/8/19 19:03:13)

九条カレン> 【ならよかったです……(ぺこり)】   (2018/8/19 19:03:59)

竹井 久> 【ここで話していくのもアレだから個室で話しましょうか？】   (2018/8/19 19:04:56)

九条カレン> 【はい、お願いします。】   (2018/8/19 19:05:21)

竹井 久> 【作ったわよ】   (2018/8/19 19:06:31)

九条カレン> 【はい。ではこちらは】   (2018/8/19 19:06:43)

おしらせ> 九条カレンさんが退室しました。  (2018/8/19 19:06:44)

おしらせ> 竹井 久さんが退室しました。  (2018/8/19 19:07:01)

おしらせ> 泉 こなたさんが入室しました♪  (2018/8/19 23:31:30)

泉 こなた> 【困った…目が冴えて目濡れません…。ちょっとだけここで待機を…】   (2018/8/19 23:32:14)

泉 こなた> 【何目濡れないって（笑）眠れない、ですネ】   (2018/8/19 23:32:48)

泉 こなた> イカン、なんか喋らないと。んー、なに喋ろうかな。   (2018/8/19 23:45:08)

泉 こなた> よし、たまには自分でお茶でも入れてみよう。舞台は、結局いつものリビングってことにしよっかな。（キッチンへ向かい、何やらがざごそ漁り始め）   (2018/8/19 23:49:16)

泉 こなた> おぉ～…意外とうまく淹れられた気がする。うんうん、これからは私のことは陵桜学園のムギちゃんと呼びたまへ。（それなりにちゃんと入ったコーヒーを見遣る。リビングへ戻り、携帯をいじりながら時折口にして）   (2018/8/19 23:55:42)

おしらせ> 泉 こなたさんが退室しました。  (2018/8/20 00:15:49)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/20 04:14:46)

竹井 久> おはよう。カレンへ、寝ていたわ。ごめんなさい。   (2018/8/20 04:15:16)

竹井 久> 平日の早朝は毎度人は来ないわね…   (2018/8/20 04:26:26)

おしらせ> 竹井 久さんが退室しました。  (2018/8/20 05:02:44)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/20 06:54:02)

九条カレン> 何も気にすることはないデース！   (2018/8/20 06:54:12)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/8/20 07:15:04)

おしらせ> 結城友奈さんが入室しました♪  (2018/8/20 07:19:30)

結城友奈> おはようっ！今日は通勤…ゲフンゲフン、勇者部活動日だよっ。   (2018/8/20 07:21:35)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/20 07:35:52)

九条カレン> Good morning～   (2018/8/20 07:36:17)

おしらせ> 無言時間が20分を超えたため、結城友奈さんが自動退室しました。  (2018/8/20 07:41:41)

九条カレン> 【おうふ、来るのが遅かったのです】   (2018/8/20 07:42:06)

おしらせ> 九条カレンさんが退室しました。  (2018/8/20 07:42:09)

おしらせ> ブーディカさんが入室しました♪  (2018/8/20 08:09:33)

ブーディカ> お盆が明けたからかな。朝はどこも人混みが激しいわね……月曜日なのにお姉さん疲れちゃったわ(くてぇとソファーに背中を預ける)   (2018/8/20 08:12:10)

おしらせ> 京塚志温さんが入室しました♪  (2018/8/20 08:20:19)

京塚志温> お疲れ様です～(なんて眠たそうに先に来ているお姉さんを見つけて)   (2018/8/20 08:20:54)

ブーディカ> 【ごめんなさい。背後で落ちます】   (2018/8/20 08:22:01)

おしらせ> ブーディカさんが退室しました。  (2018/8/20 08:22:04)

京塚志温> 【お疲れ様です～】   (2018/8/20 08:22:27)

おしらせ> 京塚志温さんが退室しました。  (2018/8/20 08:25:31)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/20 08:25:42)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/8/20 08:46:13)

おしらせ> クロエさんが入室しました♪  (2018/8/20 15:56:35)

クロエ> 　こんにちわーっと。　涼しいのは今日までだったっけ？　明日から暑さが戻るとかなんとか。うぇー
(マンションの一室、リビングのお部屋に１０歳くらいのちびっこが入ってくる。持ってきたアイス棒を取り出しつつソファへすとーん。　日に焼けた褐色肌を夏らしい白のキャミソールに活動的なホットパンツで包みいかにも涼しげ。　勝ち気そうな琥珀色のツリ目は、暑さにやられてくったりたれ目がち)
  (2018/8/20 15:57:20)

おしらせ> 朔月美遊さんが入室しました♪  (2018/8/20 16:02:23)

クロエ> 　(ぴょん、とソファから飛び上がり、冷蔵庫へ。買ってきたオレンジシャーベットの細いアイスキャンディを袋包みから取り出して、ぱくん。舌でぺろ、ぺろ、転がしつつ残りを冷蔵庫に収納。　微妙に喉乾くのでサイダーなんかも用意してグラスに氷をいっぱいぶちこみ、ゆっくりゆっくり注いでいく……)　あら、誰か来た？(入り口からの物音に振り向けば、見知った顔をみて)　ミユー♪
  (2018/8/20 16:03:38)

朔月美遊> こんにちは…あ…クロ…?(入ってきた途端名前を呼ばれ、ドキリとしながら確認すると中にいた人物は見知った顔で)   (2018/8/20 16:04:58)

クロエ> 　ハロー！　ここでも見知った人と出会えるのね、このあいだは、どーも♪　アイスたべる？　それとも喉乾いてる？　ここで会えるのってちょっとめずらしいから嬉しいわ♪　(にへーっ、と笑み浮かべつつコップに氷をからんころん)   (2018/8/20
16:09:00)

朔月美遊> うん…一応クロが居たから入ったからそうなのかも……貰ってもいい…?(満面の笑みで出迎えを受けて、恥ずかしそうではにかんだような笑顔を浮かべながらその好意を受けようと)   (2018/8/20 16:11:37)

クロエ> 　このあいだはバタバタしててあんまり話せなかったからね、ちょっといま嬉しくてテンション上がってる♪　
はい、アイスはオレンジシャーベットのスティックと、サイダー！甘あま尽くしよー！　(はい、と氷とサイダーの泡になったグラスとアイススティック手渡してソファにすとーん。自分の分のグラスをくいーっと煽るように一気飲み。　すると慌てて目をつむり両足をぱたぱたぱた)
うあぁ、キーンときた、きたっ！   (2018/8/20 16:15:35)

