/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月25日 17時02分 ～ 2023年03月31日 01時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> 私には千束さんみたいな陽キャの塊は出来ませんが……   (2023/3/25 17:02:55)
緒山ひまり> ３期ないのかなぁ   (2023/3/27 10:27:27)

朝倉可憐> そもそも、グラブルはいつまで本編引っ張ってるんだろう…って。   (2023/3/27 10:28:40)

緒山ひまり> わからないですねぇ   (2023/3/27 10:30:21)

朝倉可憐> あと、私も鍵作品なのでアニメ化…してくれないかな。   (2023/3/27 10:31:09)

緒山ひまり> まだしなさそうではありますよねぇ。３章まだでしたっけ？   (2023/3/27 10:32:22)

朝倉可憐> 今月末に4章後半…だったかな。   (2023/3/27 10:33:46)

中野三玖 ◆> …ひとりちゃん   (2023/3/27 10:34:06)

後藤ひとり> あ、はい…   (2023/3/27 10:34:14)

緒山ひまり> 来年あたりにするのかな   (2023/3/27 10:35:16)

中野三玖 ◆> …今日の夜って…時間、ある？   (2023/3/27 10:36:03)

後藤ひとり> 夜ですか？多分…   (2023/3/27 10:36:56)

朝倉可憐> 2周年あたりで始まると…一章ワンクールくらいで。ぶんちゃんの話はまだ軽いし。   (2023/3/27 10:37:10)

緒山ひまり> ブルアカもするってなったの２周年だからそこらへんかなって   (2023/3/27 10:37:42)

後藤ひとり> (4話見終えて)   (2023/3/27 10:38:03)

中野三玖 ◆> …ん…じゃあ…えっちしたい   (2023/3/27 10:38:19)

朝倉可憐> なるほど……。   (2023/3/27 10:38:36)

後藤ひとり> ストレートですね！？大丈夫ですよ…   (2023/3/27 10:38:50)

緒山ひまり> グラブルのアニメするのが遅かったから基準がよくわからない…   (2023/3/27 10:39:19)

後藤ひとり> (布団にぬくぬく)   (2023/3/27 10:43:03)

緒山ひまり> （ざばっ）   (2023/3/27 10:43:17)

朝倉可憐> サイゲは私もよくわからない…   (2023/3/27 10:44:03)

中野三玖 ◆> (ふとん…)   (2023/3/27 10:44:21)

緒山ひまり> ゲームのアニメ化基準もよくわかってないですからねぇ。   (2023/3/27 10:45:00)

後藤ひとり> ざばっ！   (2023/3/27 10:45:39)

後藤ひとり> ざばっ！？   (2023/3/27 10:45:43)

緒山ひまり> あ、ついいつもの癖で   (2023/3/27 10:45:59)

中野三玖 ◆> …(ぬく。)   (2023/3/27 10:46:18)

後藤ひとり> 一緒に寝ます？…(体を寄せて)   (2023/3/27 10:47:02)

朝倉可憐> 急にイチャイチャが始まったわ？（温かい目）   (2023/3/27 10:53:18)

緒山ひまり> いちゃいちゃが始まりそうな予感（遠めで見守り）   (2023/3/27 10:53:46)

後藤ひとり> 見られてる……   (2023/3/27 10:54:34)

中野三玖 ◆> …ん(ぎゅ…)   (2023/3/27 10:56:26)

後藤ひとり> むぎゅ…   (2023/3/27 10:58:15)

朝倉可憐> 邪魔はできないので…   (2023/3/27 11:00:08)

緒山ひまり> てぇてぇ空間にお邪魔はできないねぇ   (2023/3/27 11:00:26)

中野三玖 ◆> …(すやぁ)   (2023/3/27 11:03:14)

後藤ひとり> なるほど…とりあえず寝よう……(すや)   (2023/3/27 11:03:31)

中野三玖 ◆> (zzz...)   (2023/3/27 11:04:04)

後藤ひとり> またお昼に…ではまた   (2023/3/27 11:05:39)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/27 11:05:41)

緒山ひまり> じゃあ、私もそろそろお仕事なのでいってきますねぇお疲れ様でした   (2023/3/27 11:06:58)

おしらせ> 緒山ひまりさんが退室しました。  (2023/3/27 11:07:02)

朝倉可憐> お疲れ様。   (2023/3/27 11:16:34)

中野三玖 ◆> …ほんとに眠い   (2023/3/27 11:18:47)

おしらせ> ジャックザリッパー ◆i6fJKa45IIさんが入室しました♪  (2023/3/27 11:21:16)

ジャックザリッパー ◆> こんにちはー   (2023/3/27 11:21:34)

中野三玖 ◆> …ん…   (2023/3/27 11:25:21)

ジャックザリッパー ◆> ミクおねえちゃん、昨日はありがとうね♪（にぱっ）   (2023/3/27 11:25:42)

中野三玖 ◆> ……ぁ…あれくらいなら…大丈夫…   (2023/3/27 11:31:59)

中野三玖 ◆> …眠いから…もうちょっとだけ…寝てくるね   (2023/3/27 11:32:14)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/3/27 11:32:17)

ジャックザリッパー ◆> いってらっしゃーい   (2023/3/27 11:32:36)

ジャックザリッパー ◆> ちょっと遅かったかな・・・またね   (2023/3/27 11:40:30)

おしらせ> ジャックザリッパー ◆i6fJKa45IIさんが退室しました。  (2023/3/27 11:40:35)

おしらせ> 無言時間が25分を超えたため、朝倉可憐さんが自動退室しました。  (2023/3/27 11:41:46)

おしらせ> 緒山ひまりさんが入室しました♪  (2023/3/27 17:25:47)

緒山ひまり> はふっ、こんばんはぁ   (2023/3/27 17:26:03)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/3/27 17:55:44)

朝倉可憐> よいしょ…お仕事終わり。　こんばんは。   (2023/3/27 17:55:56)

緒山ひまり> こんばんはぁ   (2023/3/27 18:03:52)

朝倉可憐> あ、反応あった。てっきり落ちたんだとばかり。えっと、朝ぶりね…。   (2023/3/27 18:05:05)

緒山ひまり> ちょっとながら作業しながらだからねぇ、反応はちょっと遅いかも。朝ぶりかぁ   (2023/3/27 18:06:36)

朝倉可憐> 朝ぶりじゃないかな？　作業しながらなら仕方ないね…。   (2023/3/27 18:08:24)

緒山ひまり> 朝ぶりだねぇ。もう終わったから大丈夫だけどねぇ   (2023/3/27 18:11:53)

朝倉可憐> あ、終わったのね。よかった。   (2023/3/27 18:15:24)

緒山ひまり> 終わったけど話題がないねぇ。   (2023/3/27 18:23:53)

朝倉可憐> そうね…私もあんまり話題を出すのは得意じゃないから…。趣味の話とか…？   (2023/3/27 18:26:20)

緒山ひまり> 趣味かぁ、アニメ見ることかなぁ   (2023/3/27 18:28:00)

朝倉可憐> アニメ…私は最近見れてないなぁ…ここの人はよく見てるみたいだけど…。   (2023/3/27 18:31:42)

緒山ひまり> 私の好きなやつだけだけどねぇ、偏りはあるけどねぇ   (2023/3/27 18:33:02)

朝倉可憐> ゆりアニメや日常系が好きな人が多いみたいね　   (2023/3/27 18:35:52)

緒山ひまり> そうだねぇ、私はくまなく見たりするけど   (2023/3/27 18:36:48)

朝倉可憐> あ、そうなんだ。　みようみよう思って中々習慣にならないんだよね…アニメ。   (2023/3/27 18:40:43)

緒山ひまり> 戦闘系アニメだったり百合だったり日常だったりほぼ見てるねぇ。まーみようとしたら１２わくらいみないといけないしねぇ   (2023/3/27 18:41:44)

朝倉可憐> 12週間忘れずに…ってなるとなかなかね。昔と違って娯楽も多くて。   (2023/3/27 18:49:15)

緒山ひまり> まーそうだねぇ。ありすぎるとそっちにはしっちゃうのはあるよね   (2023/3/27 18:51:40)

朝倉可憐> いろんなことしてるからつい…だね。ゲームと仕事と睡眠、みたいな。   (2023/3/27 18:57:24)

緒山ひまり> あーそれしてたらそうもなるかぁ。   (2023/3/27 18:59:13)

朝倉可憐> あんまりそしたらゲームとかはしない感じ？   (2023/3/27 19:05:11)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/27 19:07:00)

後藤ひとり> 今日は一日中寝てました…   (2023/3/27 19:07:09)

朝倉可憐> あ、いらっしゃい。   (2023/3/27 19:07:14)

緒山ひまり> するにはするけど１時間とかで終わるかなぁ   (2023/3/27 19:08:36)

緒山ひまり> こんばんはぁ   (2023/3/27 19:08:43)

朝倉可憐> あんまりしないんだね…なるほど。   (2023/3/27 19:09:53)

後藤ひとり> こんばんはです。私もアニメは百合系しか……   (2023/3/27 19:11:10)

緒山ひまり> するときはするんだけどねぇ。   (2023/3/27 19:12:23)

後藤ひとり> 今期は転天見てました…   (2023/3/27 19:17:34)

朝倉可憐> 来季はだれがくるんだろうね、ここに。   (2023/3/27 19:17:58)

後藤ひとり> うーん……わたゆりとか……水星とか……？水星は2クール目ですけど   (2023/3/27 19:19:44)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/3/27 19:20:49)

中野三玖 ◆> (モッ…モッ…ポテト頬張り)   (2023/3/27 19:21:08)

朝倉可憐> スパイ家族は誰も来なかったみたいだし、琴線次第ね。   (2023/3/27 19:21:30)

朝倉可憐> あ、待ち合わせ相手きたね。   (2023/3/27 19:22:02)

後藤ひとり> あ、ほんとだ……まだ私ご飯食べてないけど…   (2023/3/27 19:22:21)

中野三玖 ◆> けぷっ…   (2023/3/27 19:25:32)

緒山ひまり> スパイ教室確かに見てないなぁ   (2023/3/27 19:26:17)

緒山ひまり> あやかしのやつもきてなくない？   (2023/3/27 19:29:58)

朝倉可憐> そんなものなのかな。   (2023/3/27 19:31:23)

後藤ひとり> 今期はそんなに見てないです…   (2023/3/27 19:31:51)

緒山ひまり> くる基準がわかんないよねぇこの部屋   (2023/3/27 19:31:54)

中野三玖 ◆> …んん   (2023/3/27 19:32:07)

中野三玖 ◆> スレッタなら…できなくもないから   (2023/3/27 19:33:11)

緒山ひまり> おにまいと転天だけだねぇ今期きてるの   (2023/3/27 19:33:14)

後藤ひとり> スレッタさん来たらこの場がフレッシュトマトに………   (2023/3/27 19:34:24)

緒山ひまり> 英雄王もまったくみないしなぁ   (2023/3/27 19:34:30)

後藤ひとり> 確かに…百合要素強いし……   (2023/3/27 19:34:36)

緒山ひまり> （しようとしたけど）   (2023/3/27 19:34:40)

朝倉可憐> 期ごとにCCするのも大変だからきもちはわかるけど。   (2023/3/27 19:36:33)

緒山ひまり> キャラがしにくいとかなのかなぁ   (2023/3/27 19:37:07)

後藤ひとり> 私も最近CCしてないな……このキャラが心地よくて……   (2023/3/27 19:37:21)

朝倉可憐> 私もひとりさんみたいなキャラ、ヘブバンにもいるからできるかも……。   (2023/3/27 19:37:47)

中野三玖 ◆> なんとも…いえない   (2023/3/27 19:38:00)

緒山ひまり> 私はちょくちょくキャラ変えてるけどしっくりこないんだよねぇ   (2023/3/27 19:38:24)

緒山ひまり> とそろそろ夜ご飯らしいので落ちます、おつかれさまぁ   (2023/3/27 19:38:40)

おしらせ> 緒山ひまりさんが退室しました。  (2023/3/27 19:38:46)

後藤ひとり> お疲れ様でした   (2023/3/27 19:39:00)

後藤ひとり> ゲームはモチベが……   (2023/3/27 19:39:11)

朝倉可憐> あ、おつかれさま。   (2023/3/27 19:40:06)

中野三玖 ◆> …何時からにしようかな   (2023/3/27 19:40:38)

後藤ひとり> とりあえずご飯食べないと…   (2023/3/27 19:41:27)

おしらせ> 白石杏さんが入室しました♪  (2023/3/27 19:42:26)

白石杏> ババババババ(機関銃でひとりを攻撃   (2023/3/27 19:42:38)

おしらせ> 白石杏さんが退室しました。  (2023/3/27 19:42:40)

朝倉可憐> 殺人鬼が真横にいるほうが怖い思うな…ひとりさんなら。   (2023/3/27 19:52:05)

後藤ひとり> 殺人鬼とフレッシュトマトなら互角になるかも……   (2023/3/27 19:52:24)

後藤ひとり> とりあえずご飯落ち…   (2023/3/27 19:52:31)

中野三玖 ◆> …ん…   (2023/3/27 19:53:22)

朝倉可憐> サイズ的にいい勝負…？（ガンダムVSカレンちゃん）   (2023/3/27 19:53:56)

朝倉可憐> あら、いってらっしゃい。   (2023/3/27 19:54:03)

朝倉可憐> いや、私も話さないほうだけど静か！（カットイン）   (2023/3/27 20:04:12)

後藤ひとり> 戻りました……   (2023/3/27 20:14:26)

朝倉可憐> あ、おかえりなさい。   (2023/3/27 20:14:44)

朝倉可憐> じゃあ私はそろそろ一度抜くわね。またね。   (2023/3/27 20:17:17)

おしらせ> 朝倉可憐さんが退室しました。  (2023/3/27 20:17:19)

後藤ひとり> お疲れ様でした…   (2023/3/27 20:20:21)

中野三玖 ◆> …ん   (2023/3/27 20:25:24)

後藤ひとり> あ、起きてた……(よしよし)   (2023/3/27 20:26:44)

中野三玖 ◆> …おきてる   (2023/3/27 20:27:07)

後藤ひとり> 眠くないですか？……(むぎゅ)   (2023/3/27 20:31:00)

中野三玖 ◆> …ん(ちゅっ)   (2023/3/27 20:33:37)

後藤ひとり> 可愛いです……♪(んちゅ)   (2023/3/27 20:34:56)

中野三玖 ◆> ありがと…(ちゅ…)   (2023/3/27 20:41:10)

後藤ひとり> 早速します？それともここでゴロゴロします？(にへ)   (2023/3/27 20:43:36)

おしらせ> 小野寺さんが入室しました♪  (2023/3/27 20:45:25)

小野寺> 小野寺   (2023/3/27 20:45:29)

おしらせ> 小野寺さんが退室しました。  (2023/3/27 20:45:40)

中野三玖 ◆> ん…じゃあ、いこう(ぎゅ…)   (2023/3/27 20:49:44)

後藤ひとり> お部屋作りました……♪   (2023/3/27 20:51:37)

中野三玖 ◆> (ちゅっ…♡)   (2023/3/27 20:53:40)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/3/27 20:53:41)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/27 20:54:06)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/28 01:24:58)

桜花あさひ ◆> こんばんはだ〜…♪   (2023/3/28 01:25:03)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/28 01:43:58)

後藤ひとり> こんばんは……   (2023/3/28 01:44:02)

桜花あさひ ◆> んぅ、ひとり姉ちゃんこんばんはだ〜っ♪   (2023/3/28 01:50:01)

後藤ひとり> あ、起きてましたね……(撫で)   (2023/3/28 01:54:30)

桜花あさひ ◆> えへへ、起きてるぞぉ…♪（すり）   (2023/3/28 01:55:26)

後藤ひとり> 眠くないですか？……私は眠くて…   (2023/3/28 01:56:49)

桜花あさひ ◆> んぅ、あさひはまだ…だけどひとり姉ちゃんがねむたいなら一緒に寝るか〜……♪？   (2023/3/28 01:57:22)

後藤ひとり> もう少しだけ起きます……♪   (2023/3/28 01:57:54)

桜花あさひ ◆> 無理しちゃダメだぞ〜……？ん、ふふ、でも嬉しいぞ〜♪(ふにふに、ほっぺたくっつけ)   (2023/3/28 02:02:11)

後藤ひとり> 無理はしませんけどせっかくあさひさんがいるので……(頬ずりして)   (2023/3/28 02:04:11)

桜花あさひ ◆> ふふ、でも我慢できなくなったら寝なきゃだぞ…？(すりすり)   (2023/3/28 02:06:49)

後藤ひとり> 実は結構怪しくて…(うつらうつら)   (2023/3/28 02:07:34)

桜花あさひ ◆> むぅ、じゃあ寝ても大丈夫な様にベッドでお話したいぞ…っ(手を引いて)   (2023/3/28 02:11:23)

後藤ひとり> ですね……(手を引かれながらベッドの上で)   (2023/3/28 02:12:55)

桜花あさひ ◆> ふふ、ひとり姉ちゃんと一緒に寝るの好きだぞっ♪(布団に入ってむぎゅっと)   (2023/3/28 02:15:49)

後藤ひとり> 私もです……♡(布団の中で抱きつき会い)   (2023/3/28 02:16:40)

桜花あさひ ◆> ん、ひとり姉ちゃんいい匂いだなぁ…♪(すりすり胸元に顔を擦り付けて)   (2023/3/28 02:20:05)

後藤ひとり> そ、それほどいい匂いさしませんよ……♪(抱きしめて胸に顔を当てさせて)   (2023/3/28 02:20:43)

桜花あさひ ◆> んぅ、そんなことないぞぉ、いい匂いで〜、落ち着くぞ…♪(すんすんと鼻を鳴らしてニコニコ微笑み)   (2023/3/28 02:24:38)

後藤ひとり> 多分お風呂上がりだからかと……///(頭を撫で愛おしそうに見つめ)   (2023/3/28 02:26:02)

桜花あさひ ◆> えへへ、そっかぁ…♪ひとり姉ちゃんの匂い〜…♪ふふ、あさひもさっきお風呂入って来たんだぞ〜…♪   (2023/3/28 02:29:12)

後藤ひとり> 通りで良い匂いがしたわけです……♪   (2023/3/28 02:31:08)

桜花あさひ ◆> ふふ、2人でもっといい匂いだなぁ……♪(すりすり身体を擦り付けて、ほっぺたにちゅぅと)   (2023/3/28 02:31:57)

後藤ひとり> ですね……♪(ほっぺにキスをしつつ抱き合い)   (2023/3/28 02:36:52)

桜花あさひ ◆> ん……♪ひとり姉ちゃんすきすきだぞ〜…♪(はぐはぐと小さい胸を押し当てながらすりついて)   (2023/3/28 02:39:01)

後藤ひとり> 私もあさひさんすきです……♡と、そろそら寝ようかと……♡(抱きしめながらも目を細め)   (2023/3/28 02:40:09)

桜花あさひ ◆> えへへ…ありがとなぁ…♪んぅ、じゃああさひも〜……♪おやすみのちゅーして欲しいぞ〜…っ♪(目をつぶってつんと唇を尖らせて)   (2023/3/28 02:42:43)

後藤ひとり> では……おやすみなさいです…♡(そう言うと唇に自分の唇をくっつけて)   (2023/3/28 02:44:40)

桜花あさひ ◆> ん、ちゅー…♪ふふ、ひとり姉ちゃんおやすみなさいだぁ……♪(ふにゅ、と小さい唇を重ね、にこにこ微笑みながら目を閉じて)   (2023/3/28 02:47:01)

後藤ひとり> おやすみなさい……♡(こちらも目を閉じつつも抱き合いながら眠りにつき)   (2023/3/28 02:47:59)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/28 02:48:01)

おしらせ> 無言時間が25分を超えたため、桜花あさひ ◆gAmHDzY8Wcさんが自動退室しました。  (2023/3/28 03:17:30)

おしらせ> 緒山ひまりさんが入室しました♪  (2023/3/28 09:57:43)

緒山ひまり> はふぅ、おはようございますぅ   (2023/3/28 09:57:58)

緒山ひまり> いろんなアニメが終わっていろんなアニメがはじまる、そんな季節になりました。（しみじみ）   (2023/3/28 10:29:19)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/28 10:31:45)

桜花あさひ ◆> おはようだぞーっ♪   (2023/3/28 10:31:52)

緒山ひまり> おはようあさひちゃん   (2023/3/28 10:32:16)

桜花あさひ ◆> 博士〜っ…と、名前間違えてるぞ〜……？   (2023/3/28 10:34:35)

緒山ひまり> あれそうだっけ？（はて）   (2023/3/28 10:40:08)

桜花あさひ ◆> ひまりじゃなくてみはりだと思うぞっ！   (2023/3/28 10:45:39)

緒山ひまり> あっ…そうだった   (2023/3/28 10:46:28)

おしらせ> 緒山ひまりさんが退室しました。  (2023/3/28 10:46:31)

おしらせ> 緒山みはりさんが入室しました♪  (2023/3/28 10:46:41)

緒山みはり> よいしょっと   (2023/3/28 10:47:10)

おしらせ> 室崎みよさんが入室しました♪  (2023/3/28 10:47:14)

緒山みはり> 何と混ざったんだろ…   (2023/3/28 10:47:37)

室崎みよ> おはようございますー…(ぽわぽわ…と寝ぼけ眼で登場)…うぅ…、ちょっと寒いわね…！   (2023/3/28 10:48:19)

室崎みよ> まひろちゃんの「ひ」とみはりお姉さまの「はり」が混同しちゃってた可能性はあるかもしれませんね……>みはりお姉さま   (2023/3/28 10:50:10)

緒山みはり> ありうるなぁ、とおはよう（ひらひら）   (2023/3/28 10:52:25)

室崎みよ> (ちなみに確認なんですけど…結局まひろちゃんとみはりお姉さま、どっちでやってる予定ですか…？)   (2023/3/28 10:55:36)

室崎みよ> あさひちゃんはお取り込み中かな……？   (2023/3/28 10:56:51)

桜花あさひ ◆> ただいまだぞ…っ、あさひも前に間違えちゃってたな〜……   (2023/3/28 10:58:16)

室崎みよ> おかえりなさいあさひちゃん♪(後から来た私は、少し肌寒くてお部屋にあるブランケットを一枚お借りするとそれを身体に巻いてゆっくり座って)   (2023/3/28 10:59:29)

緒山みはり> （どっちもできなくはないけどねぇ、基本は私かな？）   (2023/3/28 11:00:33)

室崎みよ> みはりお姉さまも研究おつかれまです♪   (2023/3/28 11:03:32)

室崎みよ> おつかれ様です♪(さ、が出てこなかった…！)   (2023/3/28 11:04:09)

緒山みはり> ありがとうねぇ   (2023/3/28 11:05:29)

桜花あさひ ◆> みよちんもおはようだぞ〜♪   (2023/3/28 11:08:11)

室崎みよ> あさひちゃんもおはよう♪…今朝は雨で少し寒くて…。最近は晴れたり雨だったりで私もなるべくお天気予報とか見るようにはしてるんだけど…   (2023/3/28 11:09:54)

桜花あさひ ◆> 雨……あさひの所もだぞぉ…外で遊べないから雨はやだなぁ…(ごろん)   (2023/3/28 11:11:20)

緒山みはり> 私のとこははれてるなぁ   (2023/3/28 11:12:08)

桜花あさひ ◆> いいなぁ…ハカセ〜…っ晴れにする薬作れないのかぁ…っ？   (2023/3/28 11:17:01)

室崎みよ> こんな時はホットドリンクとか作ると美味しく飲めたりするので……♪(こくこく)   (2023/3/28 11:17:26)

緒山みはり> それはさすがに持ち合わせてないなぁ（苦笑い）   (2023/3/28 11:17:29)

桜花あさひ ◆> む〜…ハカセでも晴れには出来ないかぁ…(ぐで)ホットドリンク〜…ぽかぽかするやつかぁ…♪   (2023/3/28 11:18:42)

緒山みはり> できないねぇ、ごめんねぇ？（よしよし）   (2023/3/28 11:19:40)

桜花あさひ ◆> んぅ、いいんだぞ〜…ふふ、じゃあてるてる坊主作るぞ〜…♪(ごろごろ転がり、ティッシュと輪ゴムでてるてる坊主を作って)   (2023/3/28 11:21:16)

室崎みよ> ココアとかマキアート系とか…   (2023/3/28 11:22:16)

室崎みよ> 最近はインスタントでも色んな味があるのよね…！   (2023/3/28 11:22:35)

桜花あさひ ◆> あさひココア好きだぞーっ♪甘くて暖かくて美味しいよなぁ♪   (2023/3/28 11:24:22)

緒山みはり> 今から作ってやむかなぁ？（あたまなでなで）   (2023/3/28 11:24:37)

桜花あさひ ◆> いっぱい作れば止むはずだぞ〜っ♪(ぽんぽんと量産してテーブルに並べて)   (2023/3/28 11:27:47)

室崎みよ> もーあさひちゃんったらまた無理なお願いして～(ぽんぽんと優しく頭を叩いて)……すみません、急で申し訳ないんですけどお昼食べに行くことになったので一度お部屋抜けますね…？   (2023/3/28 11:28:08)

緒山みはり> だといいけどねぇ？（あたまなでなで）あ、おつかれさまみよちゃん（ひらひら）   (2023/3/28 11:29:07)

室崎みよ> はい♪朝はお付き合い頂きありがとうございました…！また機会あったらよろしくお願いしますっ(と、みはりお姉さまに丁寧にごあいさつ♪)   (2023/3/28 11:33:28)

室崎みよ> あさひちゃんもまたね♪   (2023/3/28 11:33:38)

室崎みよ> それでは失礼しました～(みよーん)   (2023/3/28 11:33:52)

おしらせ> 室崎みよさんが退室しました。  (2023/3/28 11:33:54)

桜花あさひ ◆> ふふ、行ってらっしゃいだぞ〜♪またなぁ♪(ふりふり)   (2023/3/28 11:34:08)

緒山みはり> ハーイ、またあったらはなそうねぇ（ひらひら）   (2023/3/28 11:34:17)

桜花あさひ ◆> ふふ、あさひのてるてる坊主は効果100倍だぞ〜♪   (2023/3/28 11:34:29)

緒山みはり> なんか聞いたことあるようなぁいいまわしだなぁ（くすっ）さて、そろそろ私も研究してこないとだからおちるねぇお疲れ様あさひちゃん   (2023/3/28 11:35:39)

おしらせ> 緒山みはりさんが退室しました。  (2023/3/28 11:35:42)

桜花あさひ ◆> ハカセもいってらっしゃいだぞ〜っ♪んぅ、あさひはもう少し〜…♪(てるてる坊主量産…)   (2023/3/28 11:37:37)

おしらせ> 無言時間が25分を超えたため、桜花あさひ ◆gAmHDzY8Wcさんが自動退室しました。  (2023/3/28 12:02:43)

おしらせ> 雷電将軍さんが入室しました♪  (2023/3/28 14:15:36)

雷電将軍> さて、久しぶりに訪れました……お花見シーズンですね？(静かに扉を開いてやってきた将軍、小さな欠伸を一つすれば座席に腰掛けました)少し眠さもありますね……全く…。   (2023/3/28 14:16:40)

おしらせ> 無言時間が25分を超えたため、雷電将軍さんが自動退室しました。  (2023/3/28 14:41:42)

おしらせ> 緒山みはりさんが入室しました♪  (2023/3/28 15:34:55)

緒山みはり> はふっ、研究おわりっとこんにちはぁ   (2023/3/28 15:35:20)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/28 15:42:00)

後藤ひとり> こ、こんにちは…   (2023/3/28 15:42:08)

緒山みはり> こんにちはぁ   (2023/3/28 15:44:23)

後藤ひとり> おかえりなさいですね………   (2023/3/28 15:45:43)

緒山みはり> ありがとう   (2023/3/28 15:50:01)

後藤ひとり> 私はゴロゴロしてました……   (2023/3/28 15:52:20)

緒山みはり> ごろごろいいなぁ   (2023/3/28 15:53:00)

後藤ひとり> あと2週間しかできませんけどね……   (2023/3/28 15:53:21)

緒山みはり> いいとおもうけどなぁ   (2023/3/28 15:54:07)

後藤ひとり> あ、ありがとうございます……そろそろ4月で新生活ですからね……   (2023/3/28 15:55:31)

緒山みはり> どういたしましてぇ、そうだねぇ新生活だぁ   (2023/3/28 15:56:23)

後藤ひとり> 私も少しは忙しく…   (2023/3/28 15:59:13)

緒山みはり> なるんだろうねぇ（よしよし）   (2023/3/28 16:00:18)

後藤ひとり> はい……特に火曜から木曜にかけて……(むぎゅ)   (2023/3/28 16:05:56)

緒山みはり> がんばらないとだねぇ？（よしよし）   (2023/3/28 16:06:27)

後藤ひとり> 頑張ります……みはりさんも頑張って下さい…(むぎゅ)   (2023/3/28 16:12:51)

緒山みはり> ありがとうねぇ（よしよし）   (2023/3/28 16:13:56)

後藤ひとり> 落ち着きます……(ぎゅ)   (2023/3/28 16:16:18)

緒山みはり> 落ち着くならよかった（あたまなでなで）   (2023/3/28 16:17:15)

後藤ひとり> 頭がぽんやりと……(撫でられて)   (2023/3/28 16:20:12)

緒山みはり> しちゃってもだいじょうぶだよ（あたまなでなで）   (2023/3/28 16:21:22)

後藤ひとり> 少しだけ眠いような眠くないようなそんな感じです……   (2023/3/28 16:23:51)

緒山みはり> 眠たいなら無理はしないようにねぇ？（髪の毛なでなで）   (2023/3/28 16:24:48)

後藤ひとり> 無理だけはしません……(撫でられながら抱きつき)   (2023/3/28 16:27:30)

緒山みはり> ならいいんだけどねぇ（髪の毛撫で撫で）   (2023/3/28 16:28:32)

後藤ひとり> はい……今のところはまだ……(胸に顔を当てて)   (2023/3/28 16:30:35)

緒山みはり> まだ、だいじょうぶ？（よしよし）   (2023/3/28 16:31:26)

後藤ひとり> はい……寝すぎると夜寝れなくなるので……(ぎゅうう)   (2023/3/28 16:33:36)

緒山みはり> それはいやだねぇ（よしよし）   (2023/3/28 16:34:16)

後藤ひとり> そろそろ寝る時間も早めにしないとですし…(すりすり)   (2023/3/28 16:34:55)

緒山みはり> 何回聞いたかなぁその言葉を（よしよし）   (2023/3/28 16:35:47)

後藤ひとり> 何も言い返せない……(ううっ)   (2023/3/28 16:37:51)

緒山みはり> ねれませんでしたと何回も聞いてきたからねぇ（よしよし）   (2023/3/28 16:38:44)

後藤ひとり> 今日は3時から12時まで…   (2023/3/28 16:39:57)

緒山みはり> 深夜なんだよなぁ（くすっ）   (2023/3/28 16:40:51)

後藤ひとり> 早起き出来てもついつい二度寝しちゃうんですよね……   (2023/3/28 16:42:53)

緒山みはり> しちゃうのは悪くはないんだけどそれが習慣になっちゃうと本格的にだめになるからねぇ（よしよし）   (2023/3/28 16:44:57)

後藤ひとり> まあ早起きしてもご飯食べて寝ちゃうんですけどね……   (2023/3/28 16:45:22)

緒山みはり> 典型的なだめなパターンだなぁ   (2023/3/28 16:46:03)

後藤ひとり> ぐはっ…   (2023/3/28 16:46:26)

緒山みはり> 朝にちゃんと起きないとねぇ   (2023/3/28 16:50:00)

後藤ひとり> はい……(ずーん)   (2023/3/28 16:52:50)

