/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月19日 11時23分 ～ 2023年02月20日 08時27分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱさんが退室しました。  (2023/2/19 11:23:04)
レム> はい、あさひちゃんも無理はしないように…♪ (ほっぺにちゅっ)   (2023/2/19 22:59:48)

桜花あさひ ◆> ふふ、おやすみなさいだぞ〜…♪(お返しに同じようにちゅーっと)   (2023/2/19 23:00:26)

レム> お休みなさい、あさひちゃん♪(手を振ってお部屋の外へ)   (2023/2/19 23:03:51)

おしらせ> レムさんが退室しました。  (2023/2/19 23:03:57)

桜花あさひ ◆> あさひはもう少しいるぞ〜…っ♪   (2023/2/19 23:07:15)

桜花あさひ ◆> と思ったけど……お風呂入って来るな〜っ♪？   (2023/2/19 23:12:06)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/2/19 23:12:09)

おしらせ> ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱさんが入室しました♪  (2023/2/19 23:33:23)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> っはーーーもーーーー……朝の9時過ぎに行って目の前でで締め切りとかないわーーー……っはーーもー…(ドカドカ不機嫌王女はソファにぼすんと荒っぽく腰を下ろして   (2023/2/19 23:35:10)

おしらせ> ユフィリア・マゼンタさんが入室しました♪  (2023/2/20 00:37:03)

ユフィリア・マゼンタ> …何をそんなに怒っているんですか…？アニス様…？その様子だとお目当てのものが手に入らなかったようにも見えますが…（かなりご機嫌ななめな様子を見ては苦笑いを浮かべつつ少し間を開けてその隣に座り）   (2023/2/20
00:38:08)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 聞いてよユフィーっ…行こうと思ったお店が目の前で行けなくなってさーもホント困った困っ……………は？え？(如何にもお手上げって感じで両肩を竦めて日常会話…も束の間…何で居るのって､鳩が豆鉄砲でも喰らったかの様な  
(2023/2/20 00:42:52)

ユフィリア・マゼンタ> は、はぁ…それは災難でしたね…？私はあまりそのような経験、したことないので実感はわきませんが……。………。なぜ毎度そのように幽霊を見たかのような顔をするんですか。（アニス様のその反応が納得いかない。ぷくー…と頬を膨らませ、ジト目でその顔を見つめ…）
  (2023/2/20 00:48:16)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ……目の前で打ち切られるとか私も衝撃的だったわホントに……折角夜の狩…っと、公務終わらせて直行したのにさーっ(今思い出して尚悔しいのか､両脚をソファの上でバタつかせて)何でって…全然会えないユフィとか本物かどーかわっかんないでしょ…？それならもっと私に会いに来てくれていーんだよ…？(じとーっ、此方もご立腹だと言わんばかりに空けられた隙間を詰め寄って
  (2023/2/20 00:53:08)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/20 00:54:27)

後藤ひとり> 寝る前に……少しだけお邪魔します……   (2023/2/20 00:54:38)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> んん？ひとりやっほー…？(一転声を掛けられた方に振り向いてにこやかな笑顔   (2023/2/20 00:55:08)

後藤ひとり> アニスさんは……お目当ての物が買えなくて怒ってるんですね………   (2023/2/20 00:56:10)

ユフィリア・マゼンタ> …夜の狩りとは。そちらについて詳しく。（じとぉぉ…）…私がいなくともよくイチャイチャとしているように見えるのはわたしだけでしょうか…？（お互いに睨み合ったままこちらももうひとつの手札をきるように詰め寄り。）   (2023/2/20
00:56:32)

ユフィリア・マゼンタ> ひとりはこんばんは…♪お久しぶりですね…？   (2023/2/20 00:56:46)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 物ってゆーかそもそもお店…？ほら、今やってるでしょ私達のコラボカフェ的な……？   (2023/2/20 00:56:54)

後藤ひとり> お久しぶりです……ユフィさん忙しいみたいで……久しぶりに見かけました   (2023/2/20 00:58:37)

後藤ひとり> あ、あー……あれですか………私は偏食家なのでそんなに詳しく見てなかったです   (2023/2/20 00:58:59)

ユフィリア・マゼンタ> 最近は少し忙しいのと、知らない人が増えて人見知りしてるのと…（苦笑い…）郁代も夜中にまれに顔を出していますよ…？短時間ですが…   (2023/2/20 01:00:08)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> …………ぴ～ぴ～♪(吹けてない口笛で誤魔化そ)………………ユフィ良いの？そのカードを態々此処で切るって事は……ユフィは当然、切り返される覚悟は有るんだよね………？(何処か戯けていた空気は一変、真剣な…或いは…その奥に宿る感情は何処か……
  (2023/2/20 01:00:43)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> アレは別に偏食云々関係なくなーい…？初日日和って昼過ぎぐらいに行ったらとっくになかったし今日は早めに行ったのにさー雨の中……目の前で打ち切りはちょっと本気で辛かったなー…   (2023/2/20 01:02:25)

後藤ひとり> 忙しいみたいでお疲れ様です………人見知りっていう私のアイデンティティを取らないで………(ぎく)1回だけ見たけど4時は私も起きてなくて(……何この気まずい空間)   (2023/2/20 01:03:51)

ユフィリア・マゼンタ> …誤魔化さないでください。（ずい。ずいっ。）……いいですよ。もちろん、切り返すことができるのなら、の話ですが…。アニス様は一体どのようにして切り抜けるつもりなのか、見させてもらいましょう。（まるで決闘でもしているかのような、ピリついた空気の中じとー…とアニス様を見つめて…。）
  (2023/2/20 01:04:08)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> …人見知り？ひとりが…？(はて、あれの何処が人見知りなのだろうと振り返って…   (2023/2/20 01:04:36)

ユフィリア・マゼンタ> …じゃあ、今度から私が第2のひとりになるしか…（？）人がいない時間にひょっこり現れてそのまま去っていくのが常になりつつ…（苦笑い…）   (2023/2/20 01:05:00)

後藤ひとり> あれそうでしたっけ……詳しく知らなくて……料理とかなんか食べると景品が貰えるのかと………   (2023/2/20 01:05:32)

後藤ひとり> じゃあ私は誰になれば……(ぐすん)もっと来ていいんですよ……私がいる時に…………(言い方)   (2023/2/20 01:07:15)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ………本当に良いの､此処で切り返しても…？私達の間に軋轢出来ても、ユフィは気にしない……？(ゆら、と…揺らめく瞳は今なら未だ、と…暗に訴えつつも…退かないのなら仕方無い、との決意とも…   (2023/2/20
01:07:36)

ユフィリア・マゼンタ> ひとりがいる時、大抵人が沢山いるから…（めそらし…）   (2023/2/20 01:08:01)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> あーそれは間違ってない、料理、デザートでランチョマット、ドリンクでコースターだったかな…期間中何回か行きたかったのにさー…   (2023/2/20 01:08:36)

後藤ひとり> あー……まあ二人きりだと気まずくて………人の多いところに行きがちなんですよね……(うう……)   (2023/2/20 01:09:27)

ユフィリア・マゼンタ> ……えぇ、もちろんです。本当にそんなものがあるのなら、ですがね…？（その圧力に少し動揺するように1歩後ずさり、頬を汗がつたう。それでも弱気に出たらそのままやられる気がしてあくまでも平常心を装いながら聞き返して…）  
(2023/2/20 01:09:29)

ユフィリア・マゼンタ> 【なんですか、これ。】   (2023/2/20 01:09:40)

後藤ひとり> あーなるほど……と、とりあえず……どんまいです。そういうのはガチ勢が集めちゃいますから……   (2023/2/20 01:10:29)

後藤ひとり> 【け、喧嘩しないで………それ以上すると私が死んじゃう………】   (2023/2/20 01:10:42)

ユフィリア・マゼンタ> 気持ちは少しわかるかも…？でも、わたしは本当に大体1人か2人のところに行きがち…ですね。（真いんきゃ…？）ひとりが楽しそうにしてるのはたまに見てたりするけれど…   (2023/2/20 01:13:06)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> そう……………ユフィだって居るよね…？私の比じゃ無いぐらいの……あんまりこんな所で其処までしたくなかった、けど…………淋しくない、と言えば嘘だった…今はもう良いやってなってるけどイリアもレイニ嬢も来てくれてるから…(…広がった距離はそのままに、目の前の彼女を見ていられずに視線は床へと)
  (2023/2/20 01:13:15)

ユフィリア・マゼンタ> 【これ、喧嘩なんですかね…？喧嘩なのかもしれない…？】   (2023/2/20 01:13:46)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> とりあえず明日は定休日だし明後日再凸するしかないかなー……？   (2023/2/20 01:13:56)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 【一応確認はしたけど否と言われなかったから…(】   (2023/2/20 01:14:56)

後藤ひとり> じゃあ今度から誰もいないところに行きますね……はい……というかほぼどの部屋にも誰かしらはいるような………(うーん)見てるなら来てもいいんですからね……   (2023/2/20 01:15:17)

後藤ひとり> いいですね……私は外に出るのめんどくさいから………いいけど……【とりあえず仲良くしてください……私が胞子になる前に……】   (2023/2/20 01:15:46)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> やっぱひとりが人見知りは嘘だよね…？何なら私の方が人見知りしてるまで有るし……   (2023/2/20 01:16:12)

ユフィリア・マゼンタ> ……それは…あまり否定できませんが、少なくとも私としてはアニス様、あとはイリアとしか事しかない、ですよ…？でも、そうですね……そこはすみませんでした…。（痛いところを突かれては少しだけ言葉に詰まり…それを指摘されたことよりも目の前の王女様が寂しそうにしているのが申し訳なくなり、謝罪を…）
  (2023/2/20 01:17:45)

後藤ひとり> え……いやそんなことは……だいたい大人数かなれてる人の所言って……なかなか話せないのが事実なので…   (2023/2/20 01:17:55)

ユフィリア・マゼンタ> 別にそこを強く意識する必要はありませんよ！？…行くかどうかはまた別、なので…   (2023/2/20 01:18:20)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが入室しました♪  (2023/2/20 01:18:54)

後藤ひとり> いや……だって来てくれないからそうするしか………ユフィさん……というか喜多ちゃん………どっちとも話したいですし………   (2023/2/20 01:19:35)

後藤ひとり> あ、千束さんこんにちは   (2023/2/20 01:19:44)

錦木千束 ◆> この時間に賑わうってどうなんって思うんだけど…この時間に起きてる私に言われても説得力とか全然感じられないよなぁ…… 眠気あったのに寝れなくてマジで災厄… (目を細めてぼーっとしながら3人に挨拶を…) こんばんは…お邪魔してまーす…  
(2023/2/20 01:20:42)

ユフィリア・マゼンタ> ほ、ほら、そうした所で来ると限った訳でもないですから、ね？（苦笑い…）あくまでもこうして見つけた時に話しかけに来てくれればそれで…   (2023/2/20 01:21:01)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ……だからあんまりこっちまで持ち込みたくなかったんだよ私としても…そういうものだと割り切って切り捨ててるぐらいの感覚だったし……(ふぃー、と…気怠げにソファの背もたれに身を委ねて大きな溜息一つ、後はもうゴメンだ、と首を左右に振ってｶﾁﾘと切り替えて)ひとりは個別にイチャついてない時は何か人を呼ぶよねー今までも……
  (2023/2/20 01:21:13)

ユフィリア・マゼンタ> こんばんは…♪   (2023/2/20 01:21:20)

後藤ひとり> でもそうした方が来るかもだし……(ユフィさんつんつん)ま、まあそうですねそもそも忙しいみたいだし……(お二人がいたから入るかどうか迷ったのは内緒です)   (2023/2/20 01:22:47)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 酷い時は此処埋まってたじゃん…あ、こら千束っ、この前レイニ嬢になんて事してくれてんのさーーっ!(聞き慣れた声に視線を向ければ前の出来事、未だ千束が全部悪いと思い込んでる無自覚王女が   (2023/2/20
01:22:50)

後藤ひとり> 人を呼ぶというか……普通に仲良いこと話したいだけだし………(ずーん)2人きりとかで会話持つかも不安だから……   (2023/2/20 01:23:22)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> まー狙いやすいってゆーか話しやすい娘を抱えておきたいって気持ちは分からないでもないかなー…後は会話の流れとか､お昼にちょっと入ったみたいに   (2023/2/20 01:24:51)

後藤ひとり> 私は基本お話もえっちもどちらも好きですし……というか結構嫉妬深くて仲良い人が別の部屋……というか別の階層に行ってたらしゅんとするくらいには……(真顔)   (2023/2/20 01:26:00)

錦木千束 ◆> ちょいちょい…あの時はアニスが全部悪いってぇ！だってぎゅっ！だよ…ハグだよ、ハグしちゃってたんだよ… 千束がしたのは…ちょっと手を握るくらいのことしかしてなかったような…(目を逸らして…)
あ！アニスアニス…ちょっち千束さんに付き合える時間ある…数分数十分とかで平気なんだけど… (機嫌の悪そうな王女を誘う千束は鉄の精神の持ち主かも…)   (2023/2/20 01:26:14)

ユフィリア・マゼンタ> まぁ、そうですね。わたしも配慮が足りていませんでした。今回のことは水に流していただけたら、と。反省はしていますので…。   (2023/2/20 01:26:43)

後藤ひとり> 千束さん……やっぱり女たらしなんですね………(よく分からないけど……)丸く治まって何よりです   (2023/2/20 01:27:30)

ユフィリア・マゼンタ> そもそも大前提に最近忙しいということ忘れないでくださいね…！？行けたら行きたいのはありますけど…。   (2023/2/20 01:28:19)

後藤ひとり> わ、分かってますよ……！だからこそ行ける時間には絡みたいですし……。どのくらい忙しいのかも分からないので……   (2023/2/20 01:29:31)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ひとりは嫉妬深いウーマン、と(脳内メモにさらさら、アニス覚えたっ)はぁっ…!？最後レイニ嬢の耳食べてたでしょうが忘れたとは言わせないからっ…!？私でも其処までしてないわっ！(ぴしぴしっ、尚あの後自分は竹篦返しを喰らった模様)……んんん？何か面倒そうな話…？直ぐ済むなら並行でもいーー？あんま褒められたもんじゃないけど(一応部屋は作ったと鍵投げて
  (2023/2/20 01:30:25)

後藤ひとり> はい……嫌われたくないので言わないだけで……結構そういう面はありますね………(メモしないで……そんなこと……)   (2023/2/20 01:31:34)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> だから前も言ったじゃん、ユフィの好きにしたらいーよって…？此処が居辛いのに無理して来る必要も義理も無いんだし今のユフィには……ね？(ぽふぽふ…前のめりになってユフィの頭を撫で撫でりと   (2023/2/20
01:32:14)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> や、まぁ私は別に妬かれる対象じゃ無いから良いかな確かに…？(ビリビリ脳内メモ破棄しちゃえ？   (2023/2/20 01:33:14)

後藤ひとり> アニスさんとも仲良くしたいですからね！？……(嫉妬したかどうかはさておき……)   (2023/2/20 01:33:52)

錦木千束 ◆> あ、あれれ…おかしいな〜〜記憶にありませんねぇ…(目を逸らしながら投げられた鍵を受け取って) 全然オッケー！すぐに終わらせるから♪   (2023/2/20 01:34:35)

ユフィリア・マゼンタ> でも、あまり待っててもらうのも悪いので…何より気分屋なところもありますから…本当に、色々面倒なところが多くてすみません。（めそらし）忙しさは…どのくらい…どのくらいなんでしょうか。かなり…？   (2023/2/20 01:34:39)

後藤ひとり> いや別に謝る必要は……言いたいことも分かりますし無理に来て欲しい訳でもなくて………(あわあわ……)土日とかも休めない感じですかね……？   (2023/2/20 01:35:52)

ユフィリア・マゼンタ> ……ありがとうございます。アニス様はお優しい、ですね。あのようなことを言った後なのに。（軽く頭を撫でてもらえると俯き気味になりながらお礼を…）   (2023/2/20 01:35:59)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> その後即効寝たから覚えてないんじゃないのーーっ…はーもーっ………レイニ嬢マジ魔性っ…!(床をﾀﾞﾝﾀﾞﾝ､居ない所で彼女の評価が…)仲良くってゆー割にはひとりから私への積極性が薄いよーな……？(じーーー…  
(2023/2/20 01:36:38)

ユフィリア・マゼンタ> 最近はもうずっと週休1日ですね。平日とかにたまに休みがあるくらいで…   (2023/2/20 01:36:52)

後藤ひとり> え？いや……あの……はい……積極性なくてすいません………(痛いところをつかれた……)   (2023/2/20 01:37:57)

後藤ひとり> なんかすいません……暇ばっかしてて……   (2023/2/20 01:38:15)

ユフィリア・マゼンタ> そこで謝らなくても……（苦笑い…）忙しくなるような道を選んだのは私自身ですから、ね？   (2023/2/20 01:38:53)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> んー……優しいって言うよりはさー…それこそ私も気分屋だし？後どっかでも言ったけど結構排他的だし…離れてくなら別に追いもしないと言うか追える気もしないし､後はユフィ次第…かな(一頻り撫で終えたら満足、と言わんばかりに…)ひとりを見掛けない日が無いよね…？や、別に時間なんて個々人差は有るだろうし…それが公務なのか或いは、と、あんまり言っても仕方無い…
  (2023/2/20 01:40:33)

後藤ひとり> 私もなにかしようかなーとは思うんですけど結局家にいるのが最強なので……(ずーーーん)とりあえず……無理はしないでくださいね   (2023/2/20 01:41:23)

後藤ひとり> 私……今春休みですから……はい……   (2023/2/20 01:41:37)

錦木千束 ◆> 寝ちゃった…多分めっちゃ居心地が良かったんだと思う…♪ アニスとレイニ可愛かったからなぁ♪ 多分そのせいで覚えてないんだと思う…寝落ちで忘れてるなら仕方ないよねぇ…？   (2023/2/20 01:41:45)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> それならひとりさー、転天コラボカフェ行ってみたら？何処が近いか解んないけど…序でに私の分貰ってきて？(じー)いや私は別にそんな……レイニ嬢はユフィとは別ベクトルに存在チート過ぎるんだよねー…純粋で可愛いし後おっぱいおっきいしっ…『アレ』無くても世の人々が放っておかないってゆーか…？
  (2023/2/20 01:44:54)

ユフィリア・マゼンタ> それでも、優しいと思いますよ…？あくまでも主観ですが、現に今こうしてそう思っているわけで…。そのさっぱりとしてる感じが逆に安心できるって言うのも無くはない、のかも。   (2023/2/20 01:45:53)

ユフィリア・マゼンタ> いいですね、春休み。毎日のんびりと過ごせるのは長期休みの特権ですから。   (2023/2/20 01:46:22)

後藤ひとり> 食べたいと思える食べ物がないんですよね……東京ですね近いのは……はいそんなにお金は無いですけど   (2023/2/20 01:47:11)

後藤ひとり> 私の場合ホント虚無ですから……働いてないし……かと言って何か遊びに熱中してるわけでもなく……スマホに釘付けの日々……   (2023/2/20 01:47:47)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> だってずぶずぶに縛ったって応えてくれるとは思えないしねー…分別は付けてるつもりだよこれでも…？……それとも私もした方が良い…？逃げられない様に…雁字搦めに…じわじわと蝕んで私無しじゃ生きらr(以下省略  
(2023/2/20 01:49:42)

ユフィリア・マゼンタ> 思っていたよりも虚無…！なにかこう、趣味になりそうなことを始めてみたりしたらどうでしょうか…？強制することでもありませんが。意外と新しい楽しみを見つけられることもありますよ…？   (2023/2/20 01:51:54)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> え、デザートぐらいは普通に美味しそうじゃなかった…？値段もそんなしないと思うけど…   (2023/2/20 01:52:19)

ユフィリア・マゼンタ> ……既に蝕まれている可能性も有り得るかと。夜中におひとりでいるのを見かけたら来てしまうくらいには。（めそらし。）   (2023/2/20 01:52:46)

後藤ひとり> 私の中の人なんて私からギターを取り除いたような存在ですし……ゲームとか進めようとするけど……なんかいつも眠気に襲われてSwitchの電源を入れるのも億劫で……   (2023/2/20 01:53:54)

後藤ひとり> あ、そうなんですね……調べてみます……あとははい……こういうのに入る勇気がなくて……   (2023/2/20 01:54:25)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 足りない足りない未だ足りない……もっともっと……ユフィの骨の髄まで私で埋め尽くさないと気が済まなくなっちゃうよ…(ずい、ずい､何処か瞳にアブナイ色を宿しながら空いた隙間を又詰め寄って？   (2023/2/20
01:54:41)

後藤ひとり> こわ………   (2023/2/20 01:55:36)

ユフィリア・マゼンタ> ……そんな悲しいこと言わなくても！？…そういう時期があるのは気持ち的に分かりますが…   (2023/2/20 01:55:44)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> えー…此処に来られるぐらいなら大丈夫じゃない…？別に周りに居る人も同類項？共通項？仲間？…あ、でも並行して違うコラボもやってるっぽいからそれだけ注意かなー…？   (2023/2/20 01:56:08)

ユフィリア・マゼンタ> さ、先程まで寂しくないからいいって言っていましたよね！？（ずいずい、と詰め寄られてはソファの端まで逃げるように間を開けて…）さ、さすがにそこまでにされてしまうのは…まだ覚悟が…   (2023/2/20 01:56:55)

後藤ひとり> まあ……はい……積みゲーは消化するように頑張ります………この有り余る時間をユフィさんに分けれられたらいいんですよね……   (2023/2/20 01:58:03)

後藤ひとり> そうなんですか……はい……まあそれはそうなんですが……なんというか……はい……ただ怠惰なだけですね……   (2023/2/20 01:58:51)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 私は気分屋ってさっき言ったばっかじゃん…？厭なら切る､可なら受け入れる…半端な状態は一番良くないんだよユフィ…フフフッ…♪(更にずいずいっ、人目も気にせずに、端まで逃げられたなら追い込むまでの強気姿勢…？)  
(2023/2/20 02:00:25)

後藤ひとり> 千束さん落ちましたね……   (2023/2/20 02:00:54)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> さて千束は又寝ちゃったか…？(ていっと、背後のクッションを掴んでから投擲)重度の引き籠もりじゃん…それはもう如何しようもないかー……   (2023/2/20 02:01:23)

ユフィリア・マゼンタ> そうやって時間を貸し借り出来たら確かにいいですね…？1日6時間ずつくらい貰いたいかも…？   (2023/2/20 02:01:54)

後藤ひとり> そういうのは友達と行きたい派なんですよね……1人だと緊張して   (2023/2/20 02:02:48)

後藤ひとり> そうですね……6時間なら貸せますね………   (2023/2/20 02:03:01)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 6時間代わりに公務してくれるとかなら良さそうかも…？(分けて分けてと便乗)…………トモ…ダチ……？   (2023/2/20 02:03:16)

ユフィリア・マゼンタ> あ、アニス様！今は千束となにか大事なお話をされているんですよね！？私に構ってないでそちらに集中してください…！（詰め寄られてしまえば顔を赤くしながらびし、と指差し…。この人、こういうところが良くない…！）   (2023/2/20
02:03:27)

ユフィリア・マゼンタ> 6時間そのまま睡眠時間に費やしたいところですね…。（苦笑い…）   (2023/2/20 02:03:59)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> え…その言葉もそっくりそのまま返すけど大丈夫…？(一転又真顔、何時もの情緒不安定王女)そもそも千束寝てるっぽいし向こうでも返事が……   (2023/2/20 02:04:55)

後藤ひとり> 公務……私は何をすれば………(うーん)トモダチ……スコシハイルノデ………ハイ   (2023/2/20 02:05:03)

後藤ひとり> 睡眠というものないいものです私なんて万年眠いですから……   (2023/2/20 02:05:26)

おしらせ> 無言時間が25分を超えたため、錦木千束 ◆zMYfgmhp9wさんが自動退室しました。  (2023/2/20 02:06:47)

ユフィリア・マゼンタ> …私…？私は特に大切な話とかもしていませんが…？（きょとん…）あぁ、本格的に寝てしまったんですね…   (2023/2/20 02:07:03)

ユフィリア・マゼンタ> おやすみなさい、千束。   (2023/2/20 02:07:10)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 私の代わりに呼ばれたら登城して父上母上と良い感じに会議しといて？(面倒事ぽいぽい)はーそんなもん未実装でしょ……？　っと、千束お休み…かな…なら向こうも閉じちゃ……   (2023/2/20 02:07:32)

後藤ひとり> 千束さんよく寝落ちするので………   (2023/2/20 02:07:51)

ユフィリア・マゼンタ> それは純粋に夜更かしをよくしているからでは…！？   (2023/2/20 02:07:56)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ……じゃちょっとそのままで良いし次ユフィ来て？(ちょいちょい   (2023/2/20 02:08:48)

後藤ひとり> 私に全部丸投げ！？私が会議に出たらどうなるかは想像も着くのに……私もよく寝落ちしてたけど悪い意味で耐性がついてしまいました   (2023/2/20 02:09:05)

ユフィリア・マゼンタ> わ、私…？分かりました…   (2023/2/20 02:09:21)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 大丈夫大丈夫最悪私お飾りだし気にしない気にしない……？　寝落ちはねー…した事無い人しか怒る権利無いから私は絶対に人を怒れない……   (2023/2/20 02:10:18)

後藤ひとり> あ、行ってらっしゃい……   (2023/2/20 02:10:35)

後藤ひとり> 私はあんな怖い大人の重圧に耐えれるほど………強くない…………。寝落ちですか……夜更かしをしてなかったときはなんでするんだろうと思ってたんですが……して分かりました……目を閉じるだけで時間高速で映ることが……   (2023/2/20
02:11:38)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 最悪そのまま気絶しといてくれたらおっけーおっけー(親指ｸﾞｯ)気付いたら15分20分2時間3時間ぅゎ朝じゃん最悪……うん、良く有るネー(ﾄｵﾒ   (2023/2/20 02:14:46)

後藤ひとり> 泡吹いて気絶しておきます……男性耐性ないので……(ずーん)私の場合は30分とか……2時間とか…あります……目を閉じただけなのに……   (2023/2/20 02:16:28)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> ……それは王女の替え玉として如何なのって気はするけど…ま、いっか奇天烈王女)…待ってる間に考えて先打ち出来る人は素直に尊敬する…こう、うん…   (2023/2/20 02:20:28)

後藤ひとり> そもそも私とアニスさんでは似てもなつかないような………(何もかもか違うような……)先打ち……そんな手もあるのか………   (2023/2/20 02:21:54)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> え、そぉ？私も基本重要じゃない時は黙りだし普段会議とか出る機会も少ないからねー王位継承権も無いし…？離宮に引き籠もりみたいな生活してるから大丈夫大丈夫♪　　明らかに早い人はそうやってるんじゃないかなー…私みたいに遅い人には余計プレッシャーががが…
  (2023/2/20 02:29:00)

後藤ひとり> つまり私と同類………才能の良さはかけ離れてますが……はい。じゃあ私が……いやバレバレですがね……(見た目と覇気がないかは……)なるほど…私も疲れてると返事が適当になることもあるので気をつけないと……   (2023/2/20 02:31:22)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 才能とか無くても良いって、どーせ私も変人奇天烈って言われてるし突拍子無い事しても驚かないからっ…？(なんなら演奏してもいーよってエアギター)生返事は色々誤解や亀裂も生みやすいもんねー…   (2023/2/20
02:36:03)

後藤ひとり> 私には戦いの才能もないし……魔法の道具？みたいなのも作れないので……ギター一緒にやります？(異世界にギターがあるのかはさておき)はい……まあ今のところ問題は起きてないけど……返事が遅くなる時もあって……   (2023/2/20
02:39:54)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> お姫様なんて基本王城で籠もってお勉強してたらいーんだし…ギターは有ったかなぁ…パレッティア王国にも楽隊は有るから弦楽器とか応用したら出来そう？(そしたら2ピースでぎゅんぎゅいん？)そこはもう当人達の問題だし相手をちゃんと選んでおけば……？
  (2023/2/20 02:42:22)

