/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年09月19日 17時59分 ～ 2020年10月09日 00時39分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北イタコ> むむむむ…(何かお悩みなイタコちゃんですわ)   (2020/9/19 17:59:58)
琴葉葵> やばっ！？寝落ちしてた。   (2020/10/2 22:09:59)

琴葉葵> うぐう。   (2020/10/2 22:26:18)

おしらせ> 無言時間が20分を超えたため、琴葉葵さんが自動退室しました。  (2020/10/2 22:46:45)

おしらせ> 東北イタコさんが入室しました♪  (2020/10/3 21:45:11)

東北イタコ> ちゅわっと参上。皆のおねーちゃん(誰のよ)のイタコですわ！   (2020/10/3 21:45:45)

東北イタコ> 折角の土曜日、何方かいらっしゃらないかしらー？(キョロキョロ)   (2020/10/3 21:46:35)

東北イタコ> まぁ、何はともあれ待ってみましょう。ですわ   (2020/10/3 21:48:13)

東北イタコ> (携帯電話をぽちりぽちり。)　…あらあら。明日は少しお天気が宜しくないのですわねぇ   (2020/10/3 21:51:46)

東北イタコ> 参りましたわねぇ…出回るのは取り止めた方が良いのかしら…？   (2020/10/3 21:57:17)

東北イタコ> 勿論お部屋でノンビリしますのも悪くありませんけれど、ね   (2020/10/3 22:02:39)

東北イタコ> んー…ですけれどもずっと一人ぼっちなのは、寂しいですわぁ(あんよぱたぱた)   (2020/10/3 22:10:17)

東北イタコ> (ソファでのぞのぞ)   (2020/10/3 22:15:57)

おしらせ> 藤原妹紅 ◆lxd9gSfG6Aさんが入室しました♪  (2020/10/3 22:19:05)

藤原妹紅 ◆> お邪魔しまーす...（のそのそと入室してきて...）   (2020/10/3 22:19:33)

東北イタコ> あらあら、いらっしゃいですわ(狐耳をピョコンと立てて)   (2020/10/3 22:19:59)

藤原妹紅 ◆> 珍しく人が居ると思ったら.....えっと、、だ、誰（あんまりこないから大体初対面になる訳で...）私は藤原妹紅って言うんだけど（とりあえず名乗っておく...）   (2020/10/3 22:24:37)

東北イタコ> 最近此方にお邪魔し始めました、東北イタコと申しますわ。　藤原妹紅さんと言いますのですね。宜しくお願い致しますわ　(そっと笑いかけ)　…ふん。何か神獣と類いをお飼いに？(何か気配を察して)   (2020/10/3 22:28:46)

藤原妹紅
◆> いたこ、そりゃまたど直球ないい名前だな（褒め方が下手すぎる）.....私はペットなんて飼ったことないよ、変なこと言わないでくれ。そもそも神獣なんて費用がとんでもなさそうだし飼いたくもない。（相手の近くに座り込んでは適当なことを言って誤魔化した...）  
(2020/10/3 22:34:18)

東北イタコ> おほほほ。色々と面倒臭い紆余曲折がありましたのよ。(名前の事を言われれば笑って)　ふぅん？　では私の気のせいにしておきましょうか。穿り返した処で良い物が出るとも限りませんし、ね   (2020/10/3 22:38:10)

藤原妹紅
◆> 色々あるんだな、いつの世も...（名前、どんな時代も重要視される記号...どんな名前にも魂が宿るのならば仕方はないけど...とそんなことを考えて...）そうそう、賢くて助かるよ。藪を突いて出てきたのがバケモンなんて。笑えないからな（相手は見るだろう、妹紅の影が陽炎の様に揺らめくのを...瞳が一瞬だけ鋭くなるのを、しかし刹那の事でまるで幻の様にすぐ様普通に戻ってしまった...）
  (2020/10/3 22:42:33)

東北イタコ> めーんどくさい事なんてぱぱーっと星空にでも投げてしまえば良いのですわ！　(金平糖みたいな光の粒をバラ蒔いてみて)　おっかないのは止めて下さいな。んもう。(何か暑苦しいですわ。って団扇ぱたぱた)   (2020/10/3 22:44:50)

藤原妹紅 ◆> うわなんだその技（綺麗だけどうっとおしっ、と目を細めた）なんのことか私にはさっぱりだけど、まぁ残暑も少しあるからなぁ...（微笑みながら肘杖をついてちょっと楽しそうに相手を眺めて...）   (2020/10/3 22:46:27)

東北イタコ> 技もヘッタクレもへちゃむくれも無いですわよ？　そこら辺の空気から光を集めて、ぱぱーっと妖術で散らかしただけですわ(くすくす)　太陽の盛りの時間帯や陽差しはまだまだ暑いですものねぇ…(はふん。　ってさっちチラ見えしたおっかない物を知らんぷり　ぉ)
  (2020/10/3 22:48:53)

藤原妹紅 ◆> ..........じゃぁ私もっ（掌から火の玉、の幻影を出しては相手に投げつけて...）油断したらすぐ汗が滲むから結構辛いしな...（火の玉ポイポイ）   (2020/10/3 22:52:41)

東北イタコ> きゃー！　きゃー！　きゃー！　(スーパーな配管工さんのファイアーボール投げ付けられてるみたいで悲鳴挙げながらあたふたと避けて)   (2020/10/3 22:53:59)

藤原妹紅 ◆> まぁ当たっても燃えないけどな...（影みたいな物で暑くもない、ただの光源である...ポイポイポイポイ）   (2020/10/3 22:56:53)

東北イタコ> ぺふん！(すてん、と転んで火の玉に囲まれて)　見た目が暑苦しいですわ！(体ぶるぶる。尻尾と耳パタパタっ。火の玉追い払い)   (2020/10/3 22:59:29)

藤原妹紅 ◆> そりゃ失礼（再び指を鳴らせば幻影が吹き飛んで...）結構鈍臭いんだなアンタ（運動神経な程を知れば、ふむ、と相手のことを眺めて観察する）   (2020/10/3 23:01:37)

東北イタコ> むー。人をいぢめておいて運動音痴とは失礼ですわ！誰だって火の玉に追い掛けられたら吃驚しますもの！(ぷんすこすこ。)　あ、さて。ちょっとお時間来て仕舞いましたから、今夜はそろそろお暇しますわ～。それでは～   (2020/10/3
23:03:38)

おしらせ> 東北イタコさんが退室しました。  (2020/10/3 23:03:52)

藤原妹紅 ◆> ん、お疲れ様...   (2020/10/3 23:05:21)

おしらせ> 藤原妹紅 ◆lxd9gSfG6Aさんが退室しました。  (2020/10/3 23:05:24)

おしらせ> 佐倉杏子さんが入室しました♪  (2020/10/5 00:48:37)

佐倉杏子> よっと。久しぶりーに、ちょいと待機してみっかな   (2020/10/5 00:49:02)

おしらせ> 環いろはさんが入室しました♪  (2020/10/5 00:54:57)

環いろは> お邪魔します。起きてるといいけどぉ…… (心配そうにお顔を覗き込むように近づけてみて)   (2020/10/5 00:57:04)

佐倉杏子> あ？そんな顔しなくったってちゃんと起きてるよ。(ぱちりと目を開け、ソファーに預けていた身体を起こす)ずいぶん夜更かしじゃん。学校行かなくてもいいのかい？   (2020/10/5 01:00:03)

環いろは> 起きてました。少しくらいなら夜更かししても問題ありませんよ？　(にっこり顔を近づけたまま笑顔で見ています♪) 貴女も学校とか…平気なんですか？　魔法少女と学校の両立難しいですけどぉ…。(しょぼん…)   (2020/10/5 01:02:23)

佐倉杏子> へーぇ。せっかく魔法少女になったってのに、あんたも学校なんかいってんだ。あたしは学校なんて行ってないから、そんなつまんねー事とは無縁にいきてるよ。好きなときに寝て、好きなときに起きる。(小バカにするように笑い飛ばすけれど、どこか自棄っぱちな言い方。ポケットからチョコ菓子取り出し、そちらに向けて)くうかい？
  (2020/10/5 01:05:46)

環いろは> 学校って楽しいよ？お友達お話したり、遊んだりできるんだよ。いただきます (チョコを受け取ってパクってお口の中に入れて…) んぅーん、甘くて美味しいです♪
貴女も…学校に行きたそうだね？家庭の事情…あ、ああ！これ以上は踏み込んだらダメだよね…他人だし…。(あははって慌てて笑ってごまかすように…)   (2020/10/5 01:10:42)

佐倉杏子> ふーん……。ま、あんたが楽しいって思うんならそれでいいんじゃない？あたしは、今の生活が気に入ってるから。(ぐしぐしと髪をかきあげばつの悪そうに視線を反らし、自分も菓子を口に入れて)そうだね、人の事情には首を突っ込まないの方が賢い生き方さ。(結構近くにある相手の顔を覗き込みつつ、頬をつついてにかっと笑い)
  (2020/10/5 01:18:05)

環いろは> ふっ…ぅ…えへへっ…でも、寂しくなったらいつでも声をかけてください。貴女の元へ駆けつけますから♪
どうして、なんて言わないでくださいね？　私がそうしたいからって…それが理由です。(佐倉さんの笑顔に私も…胸の奥を刺激されてるみたい…。突く貴女の手を握って満面の笑みで告白するみたいに想いを伝えます♪)   (2020/10/5 01:22:43)

佐倉杏子> ……そっか。ワケを聞くのも野暮だね。今日のところはその答えで許してやるよ。(手を握られて笑みを向けられたら、不覚にもドキっと胸が高鳴り、顔を赤らめながら視線をそらしてしまう)   (2020/10/5 01:24:52)

環いろは> あ、赤くなりました？　私を見てドキドキしてくれるなんて嬉しいです…私って魅力とか全然ないから…相手に正面からぶつかる以外に方法なんて思いつかないし… (赤くなった貴女を見て嬉しくなってしまって、可愛いですね。なんて耳元で甘く囁いてあげます)  
(2020/10/5 01:27:07)

佐倉杏子> うるさい。……まぁ、けど…魅力がないなんて事はないんじゃないか？ちょっとあたしもドキドキしたっていうか……うん……。可愛くない。(甘い囁きに顔が更に熱くなる。ふるふると首を横に振るけれど、無意識のうちにいろはに身を寄せるように……)  
(2020/10/5 01:30:07)

環いろは> うふふ…言葉と行動が裏返ってますね？　(優しく包むようにぎゅって抱き締めてあげます。) ……佐倉さん、移動も可能ですよ… (耳元で囁いて笑顔で見つめてます♪)   (2020/10/5 01:35:23)

佐倉杏子> んむっ……。(包むように抱かれたら、戸惑いながらも背中に手を回して、ぎゅっと抱き返し。)そう、だね……夜も遅いし、そうするか。(こくん、と頷きいろはを見つめ返す。)   (2020/10/5 01:37:16)

環いろは> さっきまで強がってたのに…急に素直になられたら私もドキドキします… (背中に回された手…優しく頭を撫でてあげます。) それじゃあ、私が…非公開入れるでしょうか？(手を握って2人で立ち上がって)   (2020/10/5 01:41:13)

佐倉杏子> うるせ。あたしだって人肌恋しくなることはあるんだよ。(口調は強いけれど、頭を撫でてもらったら声音は柔らかい。いろはと一緒に立ちあがり)うん、大丈夫だよ。   (2020/10/5 01:42:57)

環いろは> アレだよね…？　1人は寂しいもんな… (くすって口元を緩ませて笑顔で名言を言ってみたり) 待ち合わせにお部屋を用意しました。   (2020/10/5 01:45:30)

佐倉杏子> …おい、おい……。(じとー……。)ん、ありがと。んじゃあ移動するよ。   (2020/10/5 01:46:20)

おしらせ> 佐倉杏子さんが退室しました。  (2020/10/5 01:46:23)

環いろは> 私も… (手を引かれて…)   (2020/10/5 01:47:52)

おしらせ> 環いろはさんが退室しました。  (2020/10/5 01:47:56)

おしらせ> 佐倉杏子さんが入室しました♪  (2020/10/5 23:57:43)

佐倉杏子> うぅ…さっみー…。(そそくさと入室し、ソファーに腰掛け)   (2020/10/5 23:58:33)

おしらせ> 無言時間が20分を超えたため、佐倉杏子さんが自動退室しました。  (2020/10/6 00:19:08)

おしらせ> 東北イタコさんが入室しました♪  (2020/10/6 12:33:17)

東北イタコ> 何となくお昼からお邪魔致しますですわー   (2020/10/6 12:33:43)

東北イタコ> ちゅわー…　科学番組も面白いですわねぇ…(こらイタコ)   (2020/10/6 12:37:10)

東北イタコ> 大自然って凄いですわねぇ…　良くも悪くも…   (2020/10/6 12:47:03)

東北イタコ> ちゅわ～   (2020/10/6 12:56:18)

おしらせ> 無言時間が20分を超えたため、東北イタコさんが自動退室しました。  (2020/10/6 13:17:10)

おしらせ> 環いろはさんが入室しました♪  (2020/10/7 02:56:27)

環いろは> 夜は冷えてきて大変ですぅ… (小走りで入室して、近くのタオルケットに包まってて…)   (2020/10/7 02:57:41)

おしらせ> 鹿目まどかさんが入室しました♪  (2020/10/7 03:01:46)

鹿目まどか> ………（少し寒いなーと入ってきて）……こんばんわ？（ぺこりと頭を下げて）   (2020/10/7 03:04:04)

環いろは> あ、こんばんは…… お外寒かったですよね…？　あの、良かったら隣入りますか… (挨拶を返しつつも…私だけの体温だと全然暖かくならなくて…初めての人を隣に誘ってみて)   (2020/10/7 03:06:17)

鹿目まどか> いいのかな？　それじゃあお邪魔するね（タオルケットにくるまっているようす、その傍に寄れば覗き込んで）……何か避難してる感じかな？   (2020/10/7 03:08:30)

環いろは> 避難……ああ…お外が寒かったので…私寒いのは得意じゃないんです。夏よりは冬の方が好きなんですけど…ほら、寒さならどうにかできますし！(タオルケットを開いて) 貴女も良かったら…入ります？私の体温で多少暖かくなってますよ   (2020/10/7
03:10:13)

鹿目まどか> みんなに内緒だよ？（そのままタオルに入り込んで二人で肩を寄せて。少し小さいかななんて、狭さにぎゅっと手を回して）普通に温まるならお布団とかの方がいいのかも   (2020/10/7 03:12:51)

環いろは> っ……あの…お布団…なら、お部屋のベッドに行かなきゃダメだよ… (急に抱き締められて驚きつつも…うん、私も優しく手を回して…)   (2020/10/7 03:15:17)

鹿目まどか> ……貴女もお布団で良かったかもしれないのに……行ってごろごろしておく？（驚いた相手を覗き込んで背を撫でて、そのたびに手がタオルケットに擽られて   (2020/10/7 03:18:17)

環いろは> 貴女が一緒に行きたいって言うなら…私はお付き合いするよ… (背中を撫でて、見つめ合う形になっちゃう)   (2020/10/7 03:22:38)

鹿目まどか> うん、こんなところで丸まってたら寂しそうに見えるし、ゆっくりと寝れるようにしないとね（手を取り立ち上がればタオルケットが掛かったまま肩から滑り落ちる。雑に落ちて広がって）   (2020/10/7 03:24:31)

環いろは> お部屋…貴女のお部屋にお邪魔するってことだよね？移動…。(手を引いてもらって…私と同じくらいの女の子にリードされてる…少し不思議な感覚…)   (2020/10/7 03:27:44)

鹿目まどか> （立ち上がったところでタオルケットを拾い直して纏めて丸める。たたんでソファの端において）それじゃあ（ぎゅっと手を引いて奥の方へと）   (2020/10/7 03:29:15)

環いろは> うん…(奥の方へ連れて行かれて…)   (2020/10/7 03:31:29)

鹿目まどか> 【鍵付きでもよさそうだけれど…いいのかなとお部屋を準備しながら】   (2020/10/7 03:33:54)

おしらせ> 鹿目まどかさんが退室しました。  (2020/10/7 03:35:37)

環いろは> 【お邪魔しました。。】   (2020/10/7 03:35:49)

おしらせ> 環いろはさんが退室しました。  (2020/10/7 03:35:52)

おしらせ> 佐倉杏子さんが入室しました♪  (2020/10/7 21:19:13)

佐倉杏子> よ、っと。邪魔するよー？(チョコ菓子咥えながらふらっと入室。)   (2020/10/7 21:19:54)

おしらせ> 鹿目まどかさんが入室しました♪  (2020/10/7 21:29:54)

鹿目まどか> こんばんは...えっと、久しぶり...？（そっとお部屋に入ると、確証がないのか遠慮がちに手を振ってみて）   (2020/10/7 21:33:13)

おしらせ> 無言時間が20分を超えたため、佐倉杏子さんが自動退室しました。  (2020/10/7 21:40:06)

おしらせ> 佐倉杏子さんが入室しました♪  (2020/10/7 21:42:23)

佐倉杏子> っとと。まどかじゃん。久しぶりだなっ。(ひらひら手を振りにっこりと。懐かしい顔に頬を緩めて)   (2020/10/7 21:43:21)

鹿目まどか> うん、久しぶりだね。...えへへ、気づかなかったらどうしようって、ちょっとドキドキしちゃった。（変わらない様子に、ほっと胸を撫で下ろして）   (2020/10/7 21:46:09)

佐倉杏子> あはは、ちょっとうとうと仕掛けてたからさ。(チョコ菓子を一本差し出し、くうかい？って)   (2020/10/7 21:47:57)

おしらせ> 美樹さやかさんが入室しました♪  (2020/10/7 21:49:42)

鹿目まどか> そうだったんだね...あ、ありがとう。（こくんと頷いては、差し出されたお菓子を手に取って）   (2020/10/7 21:49:53)

美樹さやか> を?珍しい組み合わせだね～♪こんばんは♪   (2020/10/7 21:50:36)

おしらせ> 美樹さやかさんが退室しました。  (2020/10/7 21:52:01)

おしらせ> 美樹さやかさんが入室しました♪  (2020/10/7 21:52:31)

美樹さやか> ゴメンゴメン…ちょっとミスして書き直しで入り直したよ)汗   (2020/10/7 21:53:29)

佐倉杏子> なんだ、元気そうじゃん。(受け取ってもらえばにんまらやと。あたしも一本口へ運んで)んぉ、なんだよ、菓子に釣られて来るなんて現金なヤツ。(ここに三人以上なんて珍しい…？とりあえず両脇を空けて両手に花の体勢)   (2020/10/7
21:53:49)

鹿目まどか> あ、さやかちゃん。こんばんは...そ、そうかな？（はにかみながら、杏子ちゃんとさやかちゃんの顔を交互に見て）   (2020/10/7 21:54:31)

鹿目まどか> うん...最近忙しくて、あんまり来れなかったけど...。（お菓子を一口食べては、元気そうでよかったぁ、と微笑んで）   (2020/10/7 21:56:40)

美樹さやか> 杏子》お菓子とか食べ物見てホイホイ付いてくるアンタと一緒にしないでよね？（話を聞いて腰に手を当て…お菓子や食べ物見てホイホイ付いてくる彼女と一緒にしないでと不服な表情になり言って）   (2020/10/7 21:57:11)

鹿目まどか> あはは...まぁまぁ2人とも...。（苦笑いしながら杏子ちゃんたちの顔を見合わせて）   (2020/10/7 21:59:48)

佐倉杏子> そうか。んま、あたしも似たようなもんだけどねー。風邪の吹くまま気の向くままってやつ。魔法少女らしいだろ？(ぽりぽりとチョコ菓子を齧りながら、にっかりと)
あぁ？んなこと言うならさやかにはやらねーぞ？大体、あたしが食べ物に釣られるなんて…(むっ、と膨れ面でさやかをにらみ返し、チョコ菓子の箱をガード)   (2020/10/7 22:00:25)

美樹さやか> まどか》まどかこんばんは♪…そうだよ(笑)…おや～もしかしてまどかさん杏子とあんな事やこんな事やる予定だったのかな～(笑)（彼女の反応を見て聞いた後に顔を近付けてクスクスと軽く茶化して言って）   (2020/10/7 22:01:09)

鹿目まどか> どこかの風来坊みたい...そ、そうなのかなぁ。（魔法少女というより、どこぞのテキヤのおじさんを思い浮かべたようで...） も、もう、さやかちゃん...変なこと言わないでっ。（少し顔を赤くしては、頬を膨らませて、肘でさやかちゃんの脇腹を小突いて）
  (2020/10/7 22:05:20)

美樹さやか> 杏子&まどか》まどか大丈夫だよ(笑)…アタシ達こんなんだしね(笑)……ふーん?…差し入れで、アタシもお菓子を持って来たけれど…誰かさんが好きなチョコ菓子だけどな～(笑)（まどかに間入られたが、普段からこんなんだから大丈夫と言った後に…杏子の話を聞いて…手に持っていた差し入れの袋からチョコ菓子を見せて…誰かさんが好きなチョコ菓子だけどな～と見せ付けて言って）
  (2020/10/7 22:06:37)

佐倉杏子> へぇ…そりゃ、ここは「そういうこと」する場所だろ？(何かまどかとさやかが顔を付き合わせて喋っていたから、にんまりと悪戯っぽく笑みを浮かべ)やれやれ、これだから世間知らずのガキどもの相手はたいへ……。そ、それは…っ。(マウントとれそう…って、上機嫌になりかけていたら、袋から覗くお菓子の箱…。動きが止まり、思わずそこに手が伸びそうに…)
  (2020/10/7 22:09:02)

美樹さやか> まどか》ンッ…!冗談冗談～(笑)（彼女が顔を赤くしながら軽く頬を膨らませて肘で脇腹付かれて…ンッ!と苦しい表情になり冗談冗談と軽く謝り言って）   (2020/10/7 22:09:30)

鹿目まどか> えっ...そ、そうなの...？（杏子ちゃんの言葉にびっくりした様子で、思わず振り向いて） ...あ、釣られてる...。（お菓子の欲望に負けそうな杏子ちゃんを見ながら）   (2020/10/7 22:12:18)

鹿目まどか> それならいいんだけど...もう、さやかちゃんが変なこと言うからだよ...。（むーっと頬を膨らませながら、まだ少し不満そうにして）   (2020/10/7 22:14:01)

美樹さやか> 杏子》…おっと…誰が世間知らずだって？……てか言ってるそばから釣られかけてるじゃんか…)汗（彼女の世間知らずのガキと聞いてお菓子を上に上げて…誰が世間知らずと目をジトリになり言った後に手を伸びてる彼女に言ってる側から釣られてるじゃんかと呆れて言って）
  (2020/10/7 22:14:52)

美樹さやか> まどか》…そう怒らないでまどか…ほら他のお菓子上げるからさ♪（まだ頬っぺた膨らませて言ってる彼女に怒らないでと言って、同じ袋から煎餅のお菓子袋を取り出して彼女に渡して言って）   (2020/10/7 22:18:21)

佐倉杏子> そんな驚くことはねーだろ？ちょっとした火遊びみたいなもんだ。んま、平和ボケしてるまどかたちにゃ、ちょいと刺激は強すぎるかな…？(割と、そこそこ経験？はあるつもり。格好をつけたは良いものの、お菓子に向けて手を伸ばしてるせいで台無しかも)…あ！ったりまえだろ！甘いものの貴重さがわからねーのか！？それを手に入れるのにどれだけ苦労するのか……貴重な魔力と引き換えにして、やっと手に入る菓子…！(お金を払って買うという発想は、今のところないらしい)
  (2020/10/7 22:18:55)

鹿目まどか> ん...しょうがないなぁ。...ありがとう。（仕方ないといった様子で苦笑いしては、さやかちゃんの差し出したお煎餅を受け取って）   (2020/10/7 22:21:01)

美樹さやか> 杏子》…………アンタの頭の中には、お金を払って買うと言う考えないの?)汗…ほら…受けとりなよ♪（彼女の余りな当て外れな発言を聞いて…困惑な表情になりお金を払って買うと言う考えないのかと言った後に…彼女の手にチョコ菓子を渡して)  
(2020/10/7 22:22:45)

美樹さやか> まどか》エヘヘ…構わないよ(笑)（彼女からお礼を言われて…構わないよと笑顔で言って…ゆっくり食べなよと言って）   (2020/10/7 22:24:02)

佐倉杏子> へへっ…！さすがさやか、分かってるじゃんか…！(顔をぱぁっと綻ばせ、包みを空けてもぐもぐ。ついでに自分の菓子もテーブルの上に広げ)食べ物は、分け合うのが一番うまいからさ。…まどかやさやかとは…そこそこ付き合いもなげーし、食いなよ。  
(2020/10/7 22:25:22)

鹿目まどか> ...そ、そうだけど...私はそんなに火遊びなんかしてないもん。杏子ちゃんと違って。（また色んな意味で食べ散らかしてるのかなぁ、なんて思いながら苦笑いして。珍しく軽い皮肉を交えてぽつりと呟いて）...んと、聞かなかったことにした方がいいのかなぁ...。（んー、と考えつつ目を逸らして）
  (2020/10/7 22:26:11)

佐倉杏子> ……ほんとに？(あたしと違って…なんて、皮肉を返してきたまどかの顔を覗き込みながら、口の端をにっ、と吊り上げ…反撃。)   (2020/10/7 22:28:17)

鹿目まどか> あ、ありがとう、さやかちゃん...いただきます。（受け取ったお煎餅を一口かじっては、美味しそうに） あ、じゃあ私も...。（鞄の中から、ピーナッツチョコの包みを出しては、杏子ちゃん達と一緒に机の上に広げて）   (2020/10/7
22:30:00)

美樹さやか> まどか&杏子》これ以上からかったら…次は槍で刺されかねないからね～を?さすがじゃんか(笑)じゃあ頂くね♪（彼女が喜び自分の分も分けてくれると聞いてお礼を言った後にテーブルの上から１つ取り…これ以上からかったら次は槍で刺されかねないからね～と言って）
  (2020/10/7 22:30:47)

鹿目まどか> うん、本当だよ。（顔を覗き込まれると、少し真剣な表情で、じっと見つめ返して。嘘は言ってないよ？と目で訴えて）   (2020/10/7 22:32:42)

美樹さやか> まどか》を?まどかのも美味しそうじゃんか？(笑)（彼女の出したチョコを見て美味しそうじゃんかと言って）……本題に入るけれどどうする?まどかが、先に来てたから…もしやるなら移動して楽しんで来なよ♪   (2020/10/7 22:34:13)

鹿目まどか> えへへ、どうぞどうぞ。（さやかちゃんにもチョコを勧めて） ...んー、私はどっちでもいいんだけど...杏子ちゃんに聞いてみよっか。（私とさやかちゃん、どっちをお持ち帰りしたい...？ と、杏子ちゃんの方を見つめて）   (2020/10/7
22:37:23)

佐倉杏子> ばっか。さすがにあたしも、こんなとこで槍振り回したりしねーよ。(失礼なっ…って、鼻をならしながらさくさくと甘味に舌鼓。指に着いたチョコをなめとっていたら思わぬフリ。)…………もちかえり？！そー言う話かよ…っ。あたしはこのまま、食っちゃべってるのでもいいんだけど……？(最後までのこったやつが…って)
  (2020/10/7 22:40:24)

鹿目まどか> わー...杏子ちゃんって、大胆...！（かぁぁ、と顔を赤らめながら） ここで2人ともいただいちゃうってこと...？ （さやかちゃんの顔をちらちらと見ては、自分の頬に手を軽く当てて）   (2020/10/7 22:44:21)

佐倉杏子> え゛！？(そう解釈するのかぁ…って、まどかのピンクっぷりに目を見開くあたし。)……さん、にん…それって、どーやればいーんだ…？(？)   (2020/10/7 22:46:05)

鹿目まどか> 【...あ、くっちゃべってるって...ごめんごめん、読み間違えちゃった...恥ずかしい...】   (2020/10/7 22:46:24)

美樹さやか> まどか&杏子》…分かってるよ(笑)…を?杏子のお菓子やまどかのお菓子美味しいよ♪（まどかからどうぞどうぞと言われた時に杏子から槍を振り回したりしないと聞いて冗談だよ(笑)と言った後に二人のお菓子を食べて美味しいよ♪と笑顔で言って）…えっ!?つまり3P
////（最後の方の杏子の発言を聞いて誤解を受けて自分も顔を赤くしながら言って）   (2020/10/7 22:46:42)

佐倉杏子> 【話は繋がってるからせーふ…？】   (2020/10/7 22:47:09)

美樹さやか> （ミスは、気にしないで下さい(^_^;))   (2020/10/7 22:48:04)

鹿目まどか> わー、わーっ、今のなし...！ （ぶんぶん、と顔を赤くしながら思い切り手を振って） ...さ、3人でも...できないことない...のかなぁ。あんまりやったことないけど...っ。（さらに自滅するかまどかの図←）   (2020/10/7
22:49:35)

おしらせ> 暁美ほむらさんが入室しました♪  (2020/10/7 22:49:51)

佐倉杏子> んぁー……そうだね。んまぁ、まどかは、結構待たせちゃってたから、溜まってるのかもな…？(生暖かい視線を向けながら頬をつつん。もうひとり入室の気配感じて、さらにはらんばんじょーのよかん…！)   (2020/10/7 22:50:56)

暁美ほむら> ………何かしらこの騒がしさは……（ちらりと部屋の中を覗き込んで足を止めて）……仲よしね………。   (2020/10/7 22:50:57)

佐倉杏子> 見ての通り、ぱじゃまぱーてぃ？ってやつだよ。(さくさくのチョコ菓子齧りつつ、ほむらに視線を向ける。)おめーも釣られてきちゃったかぁ……。   (2020/10/7 22:53:34)

鹿目まどか> た、溜まってる、って...きょ、杏子ちゃん...！（頬を突かれると、ボフンっと湯気が出そうなくらい顔を赤くしながら、両手で覆って） ...ほむらちゃん、聞いてた...？（恥ずかしさで若干震えながら、覆った指の間からほむらちゃんの方を見て）  
(2020/10/7 22:53:54)

美樹さやか> まどか&ほむら&杏子》まあ…此処なら3P以上出来るけれど…恥ずかしいの有るからねぇ～…って又珍しいお客が、来たね～…（二人の話を聞いて此処なら出来るけれど恥ずかしいよね～と言った後にほむらの視線に気付き又珍しい客に気付き言って）  
(2020/10/7 22:54:35)

暁美ほむら> 聞いてたわけでもないわ……聞こえて来たというのが正解ね……流石に盗み聞きする内容でも趣味でも………（少し視線を逸らして釣られてきたわけでもないと……もっと真剣な内容なら盗み聞きはしたかもしれないけれど）   (2020/10/7
22:55:14)

佐倉杏子> あはっ。さすがに溺れちゃいそうだからさ。(ぎゅっとまどかの手を取り、引き寄せ)抜け駆けしよーぜ？   (2020/10/7 22:57:17)

美樹さやか> まどか&ほむら&杏子》さ～てアタシは、先に寝るよ…じゃあおやすみ～（眠くなった為に布団に潜り皆におやすみ～と言って)（眠くなりましたので、落ちますお疲れさまでした皆さん)   (2020/10/7 22:58:31)

おしらせ> 美樹さやかさんが退室しました。  (2020/10/7 22:58:47)

佐倉杏子> あいよ、おやすみー、またなー。   (2020/10/7 22:59:07)

鹿目まどか> あはは...オープンだからね...確かに。（苦笑いしながら、覆っていた手を外すと苦笑いして） ...あ、杏子ちゃん...。（杏子ちゃんに手を取られると、こくんと小さく頷いて）   (2020/10/7 22:59:12)

鹿目まどか> あっ...おやすみなさい、さやかちゃん...お煎餅、ごちそうさま。またね。（手を振って見送って）   (2020/10/7 23:00:38)

佐倉杏子> つーわけで、ほむらもまたな…？(よかったら今度、遊んでやるよ？なんて遊び人口調。まどかの手を引き部屋の外へと)   (2020/10/7 23:01:38)

鹿目まどか> そうだったんだね...えっと、ごめんね、来たばっかりなのに。またね、ほむらちゃん。（杏子ちゃんに手を引かれながら、ほむらちゃんにも軽く頭を下げて）   (2020/10/7 23:03:22)

おしらせ> 鹿目まどかさんが退室しました。  (2020/10/7 23:03:36)

おしらせ> 佐倉杏子さんが退室しました。  (2020/10/7 23:03:55)

おしらせ> 無言時間が20分を超えたため、暁美ほむらさんが自動退室しました。  (2020/10/7 23:16:11)

おしらせ> 東北イタコさんが入室しました♪  (2020/10/8 16:54:27)

東北イタコ> 昨日は随分と賑やかだったみたいですわねぇ。　イタコおねーちゃんですわー(ちゅわっ)   (2020/10/8 16:55:03)

東北イタコ> つい先程まで有酸素運動してましたわ。おいっちに、おいっちに。って。　背中が痛いですわー(ストレッチをグググ。)   (2020/10/8 16:56:07)

