/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月26日 01時28分 ～ 2022年12月26日 12時05分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

錦木千束> 平和…ってことだね。少なくとも、今のこの国じゃ（うんうん）   (2022/12/26 01:28:51)
おしらせ> ライネスさんが退室しました。  (2022/12/26 07:00:04)

後藤ひとり> 見たことない人ですね……は、初めまして後藤ひとりです   (2022/12/26 07:00:06)

アリス> はい、はじめまして。アリスといいます。（ぺこ   (2022/12/26 07:01:44)

後藤ひとり> アリスさん…………外国の人みたいですね   (2022/12/26 07:03:35)

アリス> 外国……ではありますね。はい。   (2022/12/26 07:04:00)

後藤ひとり> そうなんですね……アメリカ人とかですか？   (2022/12/26 07:06:09)

アリス> そう言われると難しいですけど、ネオ・ヴェネツィアということで一つお願いします。   (2022/12/26 07:06:43)

後藤ひとり> ねお………ヴぇねつぃあ？   (2022/12/26 07:08:26)

アリス> えーと……イタリア人だとでも思ってください。   (2022/12/26 07:09:43)

後藤ひとり> あ、イタリア人ですか……い、イタリア語話せない……！   (2022/12/26 07:11:21)

アリス> 大丈夫ですよ、翻訳くらいならできますから。こちらがわで。（安心してもらってって）   (2022/12/26 07:12:44)

後藤ひとり> よ、良かったです……にしても外人とは珍しいですね   (2022/12/26 07:15:15)

アリス> そうでなんですか？案外来ていたりは…？   (2022/12/26 07:20:50)

後藤ひとり> 少なくともイタリアの人は初めてなような……   (2022/12/26 07:22:00)

アリス> なるほど……です。まぁ、厳密にはというやつなのであまりお気になさらず。   (2022/12/26 07:33:50)

後藤ひとり> 厳密………あ、ちなみに日本にはどう言った目的で来たんですか？留学とかですか？   (2022/12/26 07:35:08)

アリス> こちらにはそうですね…大体目的は旅行ですね……。（説明難しいし、そういうことにしておこう、と）   (2022/12/26 07:37:34)

後藤ひとり> 旅行なんですね………み、みたい観光スポットとか好きな観光スポットは……？   (2022/12/26 07:39:34)

アリス> そうですね……やっぱり京都とかも好きですけれど……原風景のような、田舎を旅するのもでっかいいいものですね。   (2022/12/26 07:41:22)

後藤ひとり> な、なるほど確かに京都は歴史的な建物とか……ありますものね……田舎ものんびりしてて良さそう……と、東京とかも観光スポット沢山ありますよ………   (2022/12/26 07:42:21)

アリス> そうでしょうね……。折角の観光ですし、電子データ以外で生で見られるものは色々と見ておきたいものです。   (2022/12/26 07:43:32)

後藤ひとり> は、はい……あの……ちなみにいつまで日本に？……もしかして今年中には……？   (2022/12/26 07:45:32)

アリス> どうでしょう……？ここを通じてならいつでも来られるみたいですし……。割と頻繁には来れると思いますけれど……。（来なくなったら帰ったと思ってもらうしか……ってうまく説明がしにくい）   (2022/12/26 07:46:59)

後藤ひとり> ま、まあ確かにここを通じてなら日本にはいつでも来れますけど………ここだと観光する前に色んな人に襲われそうですね………(目逸らし)   (2022/12/26 07:48:05)

アリス> まぁ、さんざん昨日襲われてた人が言うと説得力がでっかい違いますね……。   (2022/12/26 07:50:12)

後藤ひとり> なんでそれを知ってるんですか！？   (2022/12/26 07:52:55)

アリス> データベースを拝見しました。   (2022/12/26 07:53:31)

後藤ひとり> データベースを見ないでください！   (2022/12/26 07:54:17)

アリス> 見ちゃだめなら社外秘にして閲覧権限をかけておいてください。（しれ   (2022/12/26 07:55:19)

後藤ひとり> そんなことが出来るほどここはセキュリティ高くないです！   (2022/12/26 07:56:13)

アリス> 見放題なら見ていいんじゃないんですか？   (2022/12/26 07:57:43)

後藤ひとり> 見ていいですけど恥ずかしいです(ぷい)   (2022/12/26 07:58:17)

アリス> そう言われましても……手近なデータを閲覧していただけなので……   (2022/12/26 08:01:27)

後藤ひとり> ………あ、多分別の私と見間違えたんですよ……(目逸らし)   (2022/12/26 08:02:36)

アリス> そっちのひとりさんは昨日虹夏さんで（私が※ﾒﾒﾀｱ）相手してたので……   (2022/12/26 08:04:13)

後藤ひとり> ………(ダンボールに隠れだし)   (2022/12/26 08:05:22)

おしらせ> フィーさんが入室しました♪  (2022/12/26 08:05:49)

フィー> おはようございます。…ネオ・ヴェネツィアの方とは珍しいですね。   (2022/12/26 08:06:21)

後藤ひとり> あ、おはようございます………   (2022/12/26 08:07:45)

アリス> おはようございます……かつて生産されていた初期モデルの方……こちらもカタログで見たことあります。   (2022/12/26 08:07:54)

アリス> ところでダンボールに隠れてももう中身知ってしまっているんですけど……（箱つん   (2022/12/26 08:10:28)

後藤ひとり> 箱を開けたら誰もいないとかありますよ…(つんつんされて)   (2022/12/26 08:11:32)

フィー> 脱出マジックですか？   (2022/12/26 08:11:47)

アリス> でっかいミステリーですね……   (2022/12/26 08:11:50)

後藤ひとり> 箱の下には穴があって気付いたら居ないとか…   (2022/12/26 08:12:22)

フィー> 確かめてみます…？   (2022/12/26 08:13:15)

後藤ひとり> は、はい！   (2022/12/26 08:14:07)

アリス> どうなっていることやら……   (2022/12/26 08:17:03)

後藤ひとり> (ガタガタダンボールに入るふりをして外に……)   (2022/12/26 08:19:31)

フィー> じゃあ、がばっと…えいっ！(ダンボールを持ち上げ…そのまま投げてひとり捕獲)   (2022/12/26 08:20:09)

後藤ひとり> えっ！？逃げ出す前に捕まえられた！？   (2022/12/26 08:22:27)

アリス> まぁ……なんていうか丸見えでしたよね。   (2022/12/26 08:23:29)

後藤ひとり> ま、マジックは失敗です………   (2022/12/26 08:25:10)

アリス> マジック……   (2022/12/26 08:27:56)

後藤ひとり> な、なんですか……   (2022/12/26 08:28:05)

フィー> アリスさんはさっきので通用すると思っているほうがマジックなんじゃないかって言いたいんじゃないですか？   (2022/12/26 08:30:24)

アリス> な、なんでも……   (2022/12/26 08:30:25)

アリス> それは私のイメージ辛辣すぎませんか？   (2022/12/26 08:31:29)

フィー> …冗談ですよ？(くすっと笑い   (2022/12/26 08:32:56)

後藤ひとり> やはりマジックは体を張らないと……今から灰になります……(さらぁ)   (2022/12/26 08:33:07)

アリス> でも一日中遊んでいたデータベースは消えないんですよね。   (2022/12/26 08:35:52)

フィー> ほらほら、元気出してください？(つんつん   (2022/12/26 08:36:03)

後藤ひとり> は、はい……(つんつんされて)   (2022/12/26 08:36:50)

おしらせ> 如月ついなさんが入室しました♪  (2022/12/26 08:39:30)

如月ついな> おはようやでぇ   (2022/12/26 08:39:46)

アリス> おはようございます。   (2022/12/26 08:41:12)

後藤ひとり> おはようございます   (2022/12/26 08:41:14)

フィー> おはようございます。   (2022/12/26 08:42:44)

如月ついな> ちなみに私も表で１回だけされたことあるなぁ（しみじみ）   (2022/12/26 08:48:41)

後藤ひとり> そうなんですね……   (2022/12/26 08:49:40)

アリス> 何がかしりませんけど、そうなんですね。   (2022/12/26 08:50:31)

如月ついな> 別に恥じることでもないし、ここってログ流れやすかったしなぁ。   (2022/12/26 08:52:29)

後藤ひとり> 確かに……   (2022/12/26 08:55:47)

フィー> まぁいっぱいひとが出入りしてますからね…   (2022/12/26 08:56:11)

フィー> だから皆さんももっと表でえっちなこともしましょう？   (2022/12/26 08:56:42)

如月ついな> 私は表はよほど気のあう人でないとしないでぇ   (2022/12/26 08:57:22)

アリス> そうなんですね   (2022/12/26 08:58:10)

後藤ひとり> 私も知らない人とはあまり……   (2022/12/26 09:01:20)

フィー> なるほどです。…私はついなさんも興味ありますけどね。もちろんひとりさんやアリスさんも   (2022/12/26 09:01:37)

後藤ひとり> ありがとうございます………   (2022/12/26 09:03:12)

如月ついな> あんがとさん（もぐもぐ）   (2022/12/26 09:03:58)

アリス> 私は話してて楽しいひととおしゃべりできていれば。   (2022/12/26 09:04:00)

フィー> …ついなさんなにか食べてるんですか？   (2022/12/26 09:05:32)

如月ついな> お昼ごはん   (2022/12/26 09:05:48)

後藤ひとり> この時間に！？   (2022/12/26 09:07:09)

如月ついな> 職場でくえんからこの時間やねん   (2022/12/26 09:07:48)

アリス> そうなんですね   (2022/12/26 09:10:19)

如月ついな> そうやでぇ   (2022/12/26 09:11:55)

アリス> 雰囲気が一瞬でお通夜に。   (2022/12/26 09:13:14)

後藤ひとり> 眠い……   (2022/12/26 09:13:54)

フィー> お仕事なんていかずにずっとゴロゴロしたいです…   (2022/12/26 09:15:27)

後藤ひとり> 私も……   (2022/12/26 09:15:50)

如月ついな> うちもいきたない   (2022/12/26 09:16:48)

後藤ひとり> 寝てたい……   (2022/12/26 09:22:02)

アリス> 行きたくないなりに楽しい話をしてたはずなのに……   (2022/12/26 09:23:29)

後藤ひとり> 負の要素が強くなりましたね……   (2022/12/26 09:24:48)

アリス> なにかこう…楽しい話題ほしいですね   (2022/12/26 09:27:09)

後藤ひとり> 月曜日の朝に楽しい話題は……   (2022/12/26 09:27:37)

フィー> きっとひとりさんがすごいみんなをえがおにしてくれるはなしを…   (2022/12/26 09:30:47)

如月ついな> （わくわくしとこう）   (2022/12/26 09:31:13)

後藤ひとり> ぎ、ぎたーの演奏しか……   (2022/12/26 09:32:22)

アリス> 例えば今週で今年は終わりですし、皆さんは福袋買ったりはされるんですか、とか。   (2022/12/26 09:35:50)

フィー> 福袋ですか？あまり買う予定はないですが…おすすめとかあります？   (2022/12/26 09:36:21)

おしらせ> 喜多 郁代さんが入室しました♪  (2022/12/26 09:36:36)

後藤ひとり> 福袋………あまり買わないです   (2022/12/26 09:36:38)

後藤ひとり> あ、おはようございます   (2022/12/26 09:36:48)

如月ついな> 福袋ってあんまかわんのよなぁ。それにお高い   (2022/12/26 09:36:51)

如月ついな> あ、おはようやでぇ   (2022/12/26 09:37:18)

アリス> おはようございます。   (2022/12/26 09:37:32)

喜多 郁代> みんなおはようっ…♪今日からまた1週間が始まるわねっ…♪って言っても、学校は終わっちゃったからバイトと練習くらいしかないけど…それでも元気いっぱいで頑張りましょ…！（キターンｯ！）   (2022/12/26 09:38:07)

フィー> 丸源ラーメンのは実質1000円で2000円分くらいの買えるっぽいので気になってますが。   (2022/12/26 09:38:15)

フィー> おー、元気いっぱいですね(ぱちぱち)   (2022/12/26 09:38:30)

後藤ひとり> わ、私の学校は今日までなのに………(？)   (2022/12/26 09:38:31)

後藤ひとり> ふ、福袋はガラクタの寄せ集め…   (2022/12/26 09:38:49)

如月ついな> なんかやけに眩しいこやなぁ（どこかの赤いやつと同じくらいのテンションやな）   (2022/12/26 09:39:27)

喜多 郁代> 福袋、何が入ってるか分からなくてワクワクするわよねっ…♪   (2022/12/26 09:39:46)

如月ついな> あれやろ在庫売れてないやつの在庫処理（確信いっちゃった）   (2022/12/26 09:40:06)

後藤ひとり> 喜多ちゃんなら普通に当たり引きそうですけどね……   (2022/12/26 09:40:39)

アリス> なんていうか、楽しく話そうとするときにわざわざ否定から入って水を差すの、でっかい不 愉 快 です   (2022/12/26 09:40:43)

後藤ひとり> ………す、すいません………(土下座)   (2022/12/26 09:41:14)

後藤ひとり> お詫びに首を吊るしか……！   (2022/12/26 09:43:12)

アリス> 私はコーヒーショップの福袋とか回数券目当てに買ったりしてますね……。安定感はでちゃいますけど。   (2022/12/26 09:43:41)

後藤ひとり> スタ○ですか？   (2022/12/26 09:44:03)

喜多 郁代> あはは…まぁ、気持ちはわかるけどね…？福袋って何が入ってるのかなってワクワクを買うものだと思ってるから♪宝くじと同じ…？   (2022/12/26 09:44:07)

喜多 郁代> 首吊りはしなくていいと思うわ！？   (2022/12/26 09:44:17)

後藤ひとり> いえ会話から入るような私に人権なんて………(白く燃え尽きて)   (2022/12/26 09:44:46)

喜多 郁代> ひとりちゃん、焦りすぎてなんか色々違う！？あと、燃え尽きなくていいからーっ！？   (2022/12/26 09:45:24)

フィー> 会話から入るのは普通なのでは？   (2022/12/26 09:45:50)

後藤ひとり> は、はい………とりあえずお詫びに全財産叩いて色々な福袋買います……   (2022/12/26 09:46:08)

後藤ひとり> 否定から入るでした……   (2022/12/26 09:46:15)

喜多 郁代> それもしなくていいと思うな！？でも、食料品系の福袋は明確なハズレってないから1番おすすめかも…♪   (2022/12/26 09:47:23)

如月ついな> 福袋　何が入ってる　楽しみだ（５７５調）   (2022/12/26 09:47:50)

アリス> そうですよね、だいたい食べるものは入ってますし……SNS映えはちょっと弱いですけれど。　喜多さんはやっぱりお洋服とかですか？　   (2022/12/26 09:48:06)

フィー> 食料品の福袋ですか、なるほどです   (2022/12/26 09:48:19)

後藤ひとり> なるほど……ま、まあそれなら買ってもいいかも……   (2022/12/26 09:49:09)

如月ついな> ゲームの福袋も人によってはあたりではある。   (2022/12/26 09:49:11)

喜多 郁代> そうね…？コスメとか洋服の福袋とかは買っちゃう…♪もしかしたら気になってたものが入ってるかもしれないし…♪   (2022/12/26 09:49:35)

後藤ひとり> ジャージの福袋とかないですかね…   (2022/12/26 09:50:55)

如月ついな> あるんかな？   (2022/12/26 09:51:11)

アリス> ジャージメーカー探せばある……というか、ユニセックスなやつが出てたような。   (2022/12/26 09:51:29)

アリス> アディダスあたりから。   (2022/12/26 09:51:38)

喜多 郁代> あ、あはは…ジャージの福袋はあっても要らないかも…   (2022/12/26 09:51:41)

おしらせ> 滞在時間が360分を超えたため、アリスさんが自動退室しました。  (2022/12/26 09:52:21)

如月ついな> でも、服のやつってさ１個くらいたまにジャージ入ってたりするけどなぁ   (2022/12/26 09:52:43)

喜多 郁代> この時間に360分！？…アリスさん、随分と早い時間から居たのね…   (2022/12/26 09:52:53)

如月ついな> ６時間もおったんか   (2022/12/26 09:52:55)

後藤ひとり> アリスさんが光に……   (2022/12/26 09:52:58)

おしらせ> アリスさんが入室しました♪  (2022/12/26 09:53:14)

後藤ひとり> ジャージはいくらあっても困りませんからね……   (2022/12/26 09:53:25)

アリス> これくたーになってもいいかもしれませんね。   (2022/12/26 09:54:08)

後藤ひとり> ジャージ王に私はなります……   (2022/12/26 09:54:27)

如月ついな> どこぞの海賊王みたいなこといっとる   (2022/12/26 09:54:46)

後藤ひとり> 私のジャージですか？欲しいならあげます………   (2022/12/26 09:55:27)

喜多 郁代> そういえば、ギター用品の福袋ってないのかしらね…♪   (2022/12/26 09:55:51)

喜多 郁代> ここだと微妙に欲しがる人多そうなんだけど！？   (2022/12/26 09:56:05)

後藤ひとり> やっぱりみんなジャージが…？   (2022/12/26 09:57:06)

如月ついな> ジャージほしいなぁ   (2022/12/26 09:57:16)

後藤ひとり> 音楽関連の福袋ありそう……   (2022/12/26 09:57:30)

アリス> スポーティーで普通にかっこいいんじゃないでしょうか。   (2022/12/26 09:58:08)

喜多 郁代> …あ、あはは…（いらないって言い出せない空気に…！）ピックの詰め合わせ、みたいなやつはあるみたいね…？   (2022/12/26 09:58:29)

後藤ひとり> ………気を使わなくていいですよ……ピックの詰め合わせは面白そうですけどね……   (2022/12/26 10:00:25)

如月ついな> さてと上に行こうかな。じゃあなぁ（ひらひら）   (2022/12/26 10:01:02)

おしらせ> 如月ついなさんが退室しました。  (2022/12/26 10:01:07)

喜多 郁代> 行ってらっしゃい…♪   (2022/12/26 10:01:26)

アリス> 最近何でも福袋にはなってますしね、変なやつもたくさんあります。   (2022/12/26 10:03:16)

後藤ひとり> とりあえずみんなで宝くじ買いますか……   (2022/12/26 10:03:47)

喜多 郁代> まぁ、福袋！って言えば在庫処分ができるのも事実だしね？（苦笑い…）   (2022/12/26 10:03:53)

後藤ひとり> ゲームとかはほぼ地雷らしいですよ   (2022/12/26 10:04:16)

喜多 郁代> そうなのね！？…まぁ、人気作品とかはそんなに入れられないものね？   (2022/12/26 10:06:08)

アリス> ブランドがないところとビレバンはでっかい危険ですね。失う信頼があまりないので。   (2022/12/26 10:06:49)

後藤ひとり> よく分からないゲームとかが沢山あるって動画で見ました   (2022/12/26 10:06:55)

喜多 郁代> なるほどなるほど…売れればなんでもいいの姿勢…！   (2022/12/26 10:07:32)

喜多 郁代> でも、そういうマイナーなもののなかに面白いものが混ざってる可能性も…！   (2022/12/26 10:08:05)

後藤ひとり> 確かに……！なら早速買いに行きましょう！   (2022/12/26 10:08:31)

アリス> ビレバンの場合は意図してゴミを突っ込んでるのでそういうものなんですけど。　   (2022/12/26 10:09:57)

後藤ひとり> そうなんですか？   (2022/12/26 10:10:30)

喜多 郁代> 今から！？いいけど、わたしそんなにゲームとかしないからソフトだけあってプレイできない！ってなりそう…（苦笑い）   (2022/12/26 10:10:39)

喜多 郁代> ビレバン、むしろそのゴミ？目当てに買う人もいそうね…？   (2022/12/26 10:11:05)

後藤ひとり> なるほど……ならまずはSwitchから……   (2022/12/26 10:11:30)

おしらせ> 無言時間が25分を超えたため、フィーさんが自動退室しました。  (2022/12/26 10:13:29)

喜多 郁代> お金が一気に飛んでいく！？Switchって3万円くらいするわよね…？結構痛い出費になりそう…でも、それでひとりちゃんともっと遊べるようになるならいいかも…♪   (2022/12/26 10:13:30)

喜多 郁代> フィーさんはお疲れ様です……♪   (2022/12/26 10:13:42)

アリス> そうですね……光る赤べことか入ってるらしいですよ。ビレバン。   (2022/12/26 10:13:56)

喜多 郁代> い、一発屋感…！   (2022/12/26 10:14:33)

後藤ひとり> はい……喜多ちゃんとゲームしてみたい………(わくわく)   (2022/12/26 10:14:56)

アリス> 悪ふざけを楽しむならある意味一番……インスタではなく、Twitter映えにはなりますけど。   (2022/12/26 10:15:32)

喜多 郁代> ひとりちゃん、ゲームとか上手だったりするの…？（きょとん…）   (2022/12/26 10:17:22)

後藤ひとり> ま、まあ人並みには……   (2022/12/26 10:17:40)

喜多 郁代> トゥイッター映え…！？結束バンドの宣伝になるなら買ってみようかしら…？   (2022/12/26 10:17:55)

喜多 郁代> 圧倒的得意分野って訳でもなかったわ…（くす）   (2022/12/26 10:18:38)

アリス> 結束バンドの宣伝には……どうでしょうね……   (2022/12/26 10:20:44)

後藤ひとり> 人並みですよ………喜多さんはやらなさそうですね……   (2022/12/26 10:21:19)

喜多 郁代> さすがに滑りそうな予感もしなくはないけど、もしかしたら…？   (2022/12/26 10:21:20)

喜多 郁代> ゲームはスマホでちょっとするくらいね？外で遊ぶ方が好きだから…♪   (2022/12/26 10:22:01)

後藤ひとり> や、やっぱり眩しい……(浄化される寸前……)   (2022/12/26 10:23:24)

喜多 郁代> 浄化されないで！？ゲーム好きなのが悪いことって訳じゃないから！？   (2022/12/26 10:25:57)

アリス> スマホゲーはなにを…？   (2022/12/26 10:26:18)

後藤ひとり> きらファンはしてました……   (2022/12/26 10:26:44)

喜多 郁代> ツムツムとか、あと昔は誘われてパズドラとか…？あと、ペンギンの島ってゲームもしてるわ…♪   (2022/12/26 10:29:41)

喜多 郁代> （ゲームはパソコンでやるのが主な人…（こそり。））   (2022/12/26 10:31:10)

アリス> リア充っぽいですね…！   (2022/12/26 10:32:06)

アリス> （パソコン…！何を…？）   (2022/12/26 10:32:14)

喜多 郁代> （詳しくは内緒…♪）   (2022/12/26 10:32:55)

後藤ひとり> 気になる……！あ、パズドラはコラボだけ……   (2022/12/26 10:34:31)

アリス> （FPSとかプレイされてるとして、全方位に中指向けてる可能性に気づいたり何たり）……そういえば、フィーさんは私を知っててびっくりしましたね。   (2022/12/26 10:37:05)

喜多 郁代> （な、中指は向けてないからっ！！）   (2022/12/26 10:37:38)

後藤ひとり> (絵文字まで作られてましたよ……)   (2022/12/26 10:38:58)

喜多 郁代> （もう…人差し指なのにっ…！）   (2022/12/26 10:39:37)

アリス> （銃口は向けてる、と）   (2022/12/26 10:40:36)

喜多 郁代> （……たまに…？（しれ））   (2022/12/26 10:40:56)

おしらせ> クレーさんが入室しました♪  (2022/12/26 10:45:54)

後藤ひとり> (たまに！？)   (2022/12/26 10:46:30)

後藤ひとり> あ、こんばんは   (2022/12/26 10:46:32)

クレー> ふわぁ…おはよー…♪(がちゃり…♪今日は玄関から！モンドで起きてこっちに遊びに来たクレーであった…)   (2022/12/26 10:47:09)

喜多 郁代> （普段は無人島開拓したり、料理作ったり、魔法唱えたり…）   (2022/12/26 10:47:12)

喜多 郁代> あ、おはよう、クレーちゃん…♪   (2022/12/26 10:47:31)

アリス> おはようございます。   (2022/12/26 10:47:38)

後藤ひとり> (あつ森ですか……)   (2022/12/26 10:48:09)

アリス> （我が友よ……ここの草は狩っておいたぞ……）   (2022/12/26 10:48:12)

喜多 郁代> （ひとりちゃんはハズレで、アリスさんは当たり…（苦笑い…））   (2022/12/26 10:48:54)

アリス> （エウプロシュネ（？）がでっかい楽しみですね。今度感想を……お部屋とかで。）   (2022/12/26 10:50:17)

クレー> あっ、喜多お姉ちゃん♪それにひとりお姉ちゃんは昨日ぶりっ…それと……(白い服の髪がとってもふわふわしてるお姉ちゃん…(アリスお姉ちゃん)を見て)…初めまして、クレーです！よろしくね♪   (2022/12/26 10:50:20)

後藤ひとり> (違かった……！)   (2022/12/26 10:50:39)

アリス> 白い服……そっか、制服は白とオレンジだもんね。私はアリス申します。よろしくおねがいしますね、クレーさん。（しゃがんで目線を合わせてご挨拶）   (2022/12/26 10:51:26)

おしらせ> クルル ◆zj4nGVXxckさんが入室しました♪  (2022/12/26 10:52:21)

後藤ひとり> あ、こんにちは   (2022/12/26 10:52:36)

クルル ◆> （私としては絶オメガの方が気になるところね）   (2022/12/26 10:52:38)

喜多 郁代> （私のいまの楽しみは絶検証ね…？ここだとあんまり語る訳にも行かないし、そのうち、ね♪（しーっ…））   (2022/12/26 10:52:38)

アリス> （まさかのバルデシオンさん！？）   (2022/12/26 10:52:43)

喜多 郁代> （噂？をすればなんとやら！？）   (2022/12/26 10:52:58)

クレー> (あれ！？調べたのとクレー、間違えた？>アリスお姉ちゃん)   (2022/12/26 10:53:19)

後藤ひとり> (言えない……ff)   (2022/12/26 10:54:00)

後藤ひとり> (ffよりドラクエ派なんて……)   (2022/12/26 10:54:10)

クレー> ひとりお姉ちゃんってクレーと好み合うね？   (2022/12/26 10:54:32)

アリス> （多分合ってると思いますよ、髪の毛はふわふわですし。）   (2022/12/26 10:54:36)

クルル ◆> あら、こんにちは（アーゼマ、ヤシュトラあたりと迷ったのは内緒）   (2022/12/26 10:54:52)

喜多 郁代> （あっちもいいわよね…♪最近のはやってないけど……）   (2022/12/26 10:54:58)

アリス> とりあえず念話はほどほどにしましょう、はじめまして。   (2022/12/26 10:54:59)

後藤ひとり> 運命ですね……   (2022/12/26 10:55:05)

後藤ひとり> (10のオフラインしてます)   (2022/12/26 10:55:12)

アリス> （私達みんな吉田の穴兄弟ですか）   (2022/12/26 10:55:33)

クレー> 初めまして！クレーだよ♪よろしくね！>クルルお姉ちゃん   (2022/12/26 10:55:45)

喜多 郁代> （オンラインじゃないのがひとりちゃんっぽい！？）   (2022/12/26 10:55:51)

喜多 郁代> こんにちは、初めまして…♪（ちっちゃい子（？）が来たからしゃがみこんで視線を合わせ…）   (2022/12/26 10:56:43)

後藤ひとり> (そもそもドラクエのオンラインとかありえないですし……)   (2022/12/26 10:56:44)

後藤ひとり> あ、後藤ひとりです……   (2022/12/26 10:56:50)

クレー> (あっ………ドラクエオンラインユーザー(現在休暇中)のクレー…ﾁｰﾝ……)バタン…   (2022/12/26 10:58:25)

後藤ひとり> お、起きてー！？   (2022/12/26 10:58:52)

クルル ◆> クルルよ、よろしくね（クレーとクルルどっちが大きいのか.....）   (2022/12/26 10:58:52)

喜多 郁代> （クレーちゃんに流れ弾が！？）   (2022/12/26 10:59:10)

クレー> はっ…！？クレーは何を……。え？クルルちゃん…！(よく見るとクレーと同じくらいで)わああっ…！かわいい……♡よろしくねっ。身長は同じくらいじゃないかな？   (2022/12/26 11:00:25)

クレー> あれ？ひとりお姉ちゃんと喜多お姉ちゃん、アリスお姉ちゃんはゲームのお話してたんだよね？……クレーも前は色々やってたけど今もうそうとう絞っちゃったなぁ……。   (2022/12/26 11:02:04)

後藤ひとり> 私はスマブラとかもしてます……   (2022/12/26 11:04:10)

クルル ◆> 私も前は色々してたけれどもう絞っちゃったわね....（早く6.4を...零式を...うぐぐ....）   (2022/12/26 11:05:43)

おしらせ> 渋谷凛 ◆346.Rf.llEさんが入室しました♪  (2022/12/26 11:06:57)

渋谷凛 ◆> こんにちわだね（一瞬アリゼーで入りたくなったけどやめたひと）   (2022/12/26 11:07:29)

クレー> あ、渋谷のお姉ちゃん♪おはよー   (2022/12/26 11:07:56)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/26 11:08:15)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/26 11:08:16)

後藤ひとり> 私も6時間超えそうなので…   (2022/12/26 11:08:23)

喜多 郁代> 私は忙しくなってきたから一旦失礼しようかな…？お話しましょう…♪   (2022/12/26 11:08:54)

後藤ひとり> あ、はいお疲れ様です   (2022/12/26 11:09:02)

喜多 郁代> それじゃあね…♪（キターンｯ♪）   (2022/12/26 11:09:08)

アリス> お疲れ様とはじめましてです。   (2022/12/26 11:09:09)

おしらせ> 喜多 郁代さんが退室しました。  (2022/12/26 11:09:11)

アリス> 暁会も楽しいかもしれないですね。   (2022/12/26 11:09:21)

クルル ◆> お疲れ様、それと貴女は初めましてね（ヒカセンは隠れ潜んでるから....）   (2022/12/26 11:09:53)

クレー> あっ、喜多お姉ちゃんまたねー♪   (2022/12/26 11:10:25)

渋谷凛 ◆> 始めましてだね。誰かが指でも鳴らしたんじゃないかな……   (2022/12/26 11:12:04)

アリス> まぁ……世界一プレイされてるタイトルですし（そりゃあたくさん）   (2022/12/26 11:13:29)

アリス> やめましょう、指を鳴らすだけで泣いちゃうヒカセンは多いんです。   (2022/12/26 11:14:01)

クルル ◆> 指鳴らすのと例のBGMはダメね、思い出すだけで情緒が死んでしまうもの   (2022/12/26 11:15:05)

おしらせ> ｽﾚｯﾀ･ﾏｰｷｭﾘｰさんが入室しました♪  (2022/12/26 11:15:15)

後藤ひとり> あ、こんにちは   (2022/12/26 11:15:28)

クレー> おはよー♪   (2022/12/26 11:16:45)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> (押し入れの中からヌーッ…と顔を出しつつ、賑やかな中の様子を観察して)   (2022/12/26 11:17:00)

後藤ひとり> 押し入れから気配がする……(じー)   (2022/12/26 11:17:21)

アリス> どうもこんにちは、はじめましてですね。   (2022/12/26 11:17:38)

渋谷凛 ◆> 押し入れ…？　いらっしゃい　（キャビネットに一角獣の盾仕舞いつつ）   (2022/12/26 11:17:42)

クレー> (もうお部屋の中にいた…！)はわっ…！   (2022/12/26 11:17:44)

クルル ◆> あら、こんにちは水星たぬきさん？   (2022/12/26 11:17:59)

ｽﾚｯﾀ･ﾏｰｷｭﾘｰ> たっ、たぬきじゃないっです！(がたっと少し勢いよく押し入れの扉を開けては身体を出して)   (2022/12/26 11:19:09)

後藤ひとり> うわっ！？びっくりした………ちゃんと人間なんですね？……(たぬきが化けてる……！？と思いつつも)   (2022/12/26 11:20:00)

アリス> あなたもノー地球人ということですかね。でっかいおそろいです。   (2022/12/26 11:20:07)

クルル ◆> 確かに、よく考えるとちゃんとした地球人は2人だけになってしまうわね   (2022/12/26 11:20:55)

後藤ひとり> みなさん宇宙人なんですか？   (2022/12/26 11:21:41)

クレー> クレー宇宙人だった…！はわわ   (2022/12/26 11:21:43)

後藤ひとり> ちなみに私も人外らしいです   (2022/12/26 11:22:25)

