/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月14日 18時20分 ～ 2023年03月16日 08時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 丸山彩さんが退室しました。  (2023/3/14 18:20:13)
倉田ましろ> ロゼリアも人気だよね本当...   (2023/3/15 03:01:47)

広町七深> ふふっ♡可愛い可愛い〜♡(頬ぷにぷに)   (2023/3/15 03:01:50)

後藤ひとり> 本格ですからね……   (2023/3/15 03:02:07)

広町七深> Roseliaは曲もいいしね〜   (2023/3/15 03:02:16)

倉田ましろ> んっもう💕わかったから💕(ふにゅっ）   (2023/3/15 03:02:21)

広町七深> ひとりちゃんも可愛い可愛い♡(ふにふに♡)   (2023/3/15 03:02:53)

倉田ましろ> 確か最初からあったのもロゼリアなんだっけ?ライブとか   (2023/3/15 03:02:56)

後藤ひとり> ですね……   (2023/3/15 03:03:09)

広町七深> 本当に最初はポピパだけだよ、ポピパのライブのゲストにRoseliaが楽器弾くって感じでスポット参加したら受けちゃって〜それから必死に練習したんだって〜   (2023/3/15 03:03:59)

倉田ましろ> そうなんだぁ...(ほへー)   (2023/3/15 03:04:40)

広町七深> もともとRoseliaの初期メンバーで楽器弾けたのは燐子先輩の中の人だけって聞いたよ〜   (2023/3/15 03:05:41)

倉田ましろ> あー最初のころの声優さんだっけ...今じゃ変わったけど...   (2023/3/15 03:06:36)

後藤ひとり> なるほど……   (2023/3/15 03:06:39)

倉田ましろ> リサ先輩もかわったひとりだよね...   (2023/3/15 03:07:07)

広町七深> 燐子先輩とリサ先輩変わっちゃったからね〜ライブもハードだったみたい   (2023/3/15 03:07:14)

広町七深> そして彩先輩も〜   (2023/3/15 03:07:42)

倉田ましろ> まーロゼリアとパスパレはハードそうではあるよね...ジャンルはちがえど...   (2023/3/15 03:08:35)

広町七深> パスパレも彩先輩の中の人だけライブで歌ってたけど〜振り付けが容赦なかったよ〜   (2023/3/15 03:09:39)

倉田ましろ> あー多いもんねぇ...   (2023/3/15 03:10:28)

後藤ひとり> な、なるほど……   (2023/3/15 03:10:54)

広町七深> ひとりちゃんが置いてけぼりだから、こっちに引き寄せないと〜(ぎゅ〜♡)   (2023/3/15 03:10:56)

後藤ひとり> あ、いや、き、聞いてますよ………//(むぎゅ)   (2023/3/15 03:11:15)

倉田ましろ> ひとりさん(ぎゅう💕)   (2023/3/15 03:11:22)

広町七深> ぎゅぎゅ〜♡   (2023/3/15 03:11:35)

倉田ましろ> ぎゅっぎゅう💕   (2023/3/15 03:11:46)

後藤ひとり> ど、どうしましたか2人とも……////(抱きつかれて)   (2023/3/15 03:12:10)

広町七深> しろちゃんとひとりちゃんみたいにおっぱいあればな〜でも広町も小さい訳じゃないのに〜   (2023/3/15 03:12:11)

倉田ましろ> 置いてけぼりにならないようにぎゅっとしてるの(ぎゅう💕)   (2023/3/15 03:12:58)

倉田ましろ> あ、ある方ではあるから七深ちゃんも...   (2023/3/15 03:13:29)

後藤ひとり> 聞いてるので大丈夫ですよ……♡(むぎゅ)   (2023/3/15 03:13:47)

広町七深> ふふっ♡寂しい思いなんてさせないのだ〜♡   (2023/3/15 03:13:51)

倉田ましろ> 聞くだけじゃ駄目💕(ぎゅう💕)   (2023/3/15 03:15:02)

広町七深> モニカのちいさい枠はつーちゃんが1人で背負ってくれてるからね〜ふふっ   (2023/3/15 03:15:08)

後藤ひとり> は、話すように頑張りますね……///(よしよし)   (2023/3/15 03:15:28)

倉田ましろ> 可哀相なつくしちゃん...   (2023/3/15 03:15:52)

倉田ましろ> うん、頑張ろう💕(すりすり）   (2023/3/15 03:16:23)

後藤ひとり> 頑張りますね……♡(にへ)   (2023/3/15 03:18:34)

広町七深> ひとりちゃんもしほちゃんも眠くないの〜？ふぁ〜   (2023/3/15 03:18:43)

広町七深> しろちゃん   (2023/3/15 03:18:51)

倉田ましろ> でも、全体的にグループ見るとさ巨乳枠はべつとしてひとりくらいしかいないのにモルフォニカいすぎ説?   (2023/3/15 03:19:14)

後藤ひとり> そろそろ寝ようかと……   (2023/3/15 03:19:19)

倉田ましろ> がんばれぇ💕(ぎゅう）   (2023/3/15 03:19:29)

倉田ましろ> 私もそろそろ眠い...   (2023/3/15 03:19:44)

広町七深> モニカはスタイルいいよね〜しろちゃんの着痩せ設定もっと生かさないと〜   (2023/3/15 03:20:00)

倉田ましろ> ないように見えてあるっていう...   (2023/3/15 03:20:31)

広町七深> 広町も眠いんだ〜しろちゃん居たから入っちゃったけど、ふふっ♪   (2023/3/15 03:20:49)

広町七深> しろちゃんイラストだとあまりないからね〜2DLiveだと大きいから   (2023/3/15 03:21:52)

倉田ましろ> 無理して来なくてもよかったのに...嬉しいけど...   (2023/3/15 03:22:43)

倉田ましろ> 不思議だねぇ...   (2023/3/15 03:23:00)

広町七深> え〜？しろちゃん泣きそうだったし〜♪ひとりちゃんも来てくれたしね〜？ふふっ〜♡   (2023/3/15 03:23:58)

倉田ましろ> 泣きそうになってないし...   (2023/3/15 03:24:20)

後藤ひとり> 眠そうでしたし……2人もいたので……   (2023/3/15 03:24:22)

広町七深> でも広町は寝よっかな〜？また明日ね〜♪おやすみ〜♡(2人の頬にちゅちゅ♡)ばいば〜い♪   (2023/3/15 03:26:03)

おしらせ> 広町七深さんが退室しました。  (2023/3/15 03:26:06)

倉田ましろ> んっお休みなさい七深ちゃん💕(んっ)　ひとりさんも眠たいなら寝ても大丈夫だからね?(頭撫で撫で）   (2023/3/15 03:27:11)

後藤ひとり> なら寝ようかな………(抱きしめて頬ずり)   (2023/3/15 03:31:04)

倉田ましろ> んっお休みなさいひとりさん(ちゅって唇にきすして💕)   (2023/3/15 03:31:47)

後藤ひとり> おやすみなさいです……♡また会えたらよろしくお願いします…♡(唇にキスを返して)   (2023/3/15 03:33:14)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/15 03:33:15)

倉田ましろ> んっ💕うんよろしく💕(キスされては顔赤くしながら部屋をでていき)   (2023/3/15 03:34:02)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/15 03:34:07)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/15 16:24:57)

倉田ましろ> はふぅ、ちょっとだけお外に出てきたけど結局ゲームしただけだったなぁ…（七深ちゃんの言うとおりになっちゃったなぁなんて思いながらくつろいでいて）   (2023/3/15 16:26:18)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/15 17:03:52)

後藤ひとり> ど、どうも……   (2023/3/15 17:04:01)

倉田ましろ> どうも…   (2023/3/15 17:06:07)

後藤ひとり> 元気ですか？……   (2023/3/15 17:06:49)

倉田ましろ> 元気だよ？   (2023/3/15 17:07:17)

後藤ひとり> ならよかったです…(ぐでえ)   (2023/3/15 17:09:59)

倉田ましろ> おつかれ？（あたまなでなで）   (2023/3/15 17:12:31)

後藤ひとり> 出かけてたので…(むぎゅ)   (2023/3/15 17:13:16)

倉田ましろ> なるほど（よしよし）   (2023/3/15 17:13:57)

後藤ひとり> ましろさんも帰りですか？……(こくん)   (2023/3/15 17:16:32)

倉田ましろ> そうだよ？（よしよし）   (2023/3/15 17:17:18)

後藤ひとり> お疲れ様ですね……(むぎゅ)   (2023/3/15 17:18:22)

倉田ましろ> ありがとう…（むぎゅう）   (2023/3/15 17:19:00)

後藤ひとり> ヘトヘトです……(ぎゅう)   (2023/3/15 17:21:43)

倉田ましろ> 私もへとへと…（ふにふに）   (2023/3/15 17:22:35)

後藤ひとり> お互いにですね(ちゅ)   (2023/3/15 17:25:40)

倉田ましろ> お互いへとへと（えへへ♡）   (2023/3/15 17:26:10)

後藤ひとり> ゴロゴロしてたいです……(むぎゅ)   (2023/3/15 17:27:37)

倉田ましろ> ゴロゴロしてよぉ…（ぎゅっぎゅう）   (2023/3/15 17:28:01)

後藤ひとり> その前にお風呂ですけどね……(つんつん)   (2023/3/15 17:28:56)

倉田ましろ> お風呂しっかり入らないとねぇ（ぷにぷに）   (2023/3/15 17:29:15)

後藤ひとり> はい……とりあえずそれまでは……(すりすり)   (2023/3/15 17:30:21)

倉田ましろ> いっぱい甘えて…？（よしよし）   (2023/3/15 17:30:55)

後藤ひとり> そうします……(むぎゅうう)   (2023/3/15 17:32:18)

倉田ましろ> ふふ、ひとりさんは甘えん坊さんだぁ…（よしよし）   (2023/3/15 17:33:03)

後藤ひとり> お互い様ですね……(すりすり)   (2023/3/15 17:34:04)

倉田ましろ> それもそうだねぇ…（ふにふに）   (2023/3/15 17:34:34)

後藤ひとり> 甘えんぼコンビです……(なでなで)   (2023/3/15 17:35:02)

倉田ましろ> 甘えん坊コンビいいね…（すりすり）   (2023/3/15 17:35:29)

後藤ひとり> いいコンビです……(抱きしめて頬にキス)   (2023/3/15 17:38:15)

倉田ましろ> いいコンビだねぇ…（キスされてはこっちもキスを頬に仕返して）   (2023/3/15 17:39:24)

後藤ひとり> 永久に不滅のコンビです……(にへ…)   (2023/3/15 17:42:04)

倉田ましろ> そうだねぇ…（ふにふに）   (2023/3/15 17:42:35)

後藤ひとり> 好きです……(ぎゅ)   (2023/3/15 17:45:17)

倉田ましろ> 大好き…（ぎゅう）   (2023/3/15 17:45:36)

後藤ひとり> 両思いですね……(なんて)   (2023/3/15 17:48:55)

倉田ましろ> そうだねぇ（ちゅっ）   (2023/3/15 17:49:24)

後藤ひとり> えへへ……♡(んちゅ)   (2023/3/15 17:52:35)

倉田ましろ> えへへぇ♡（ちゅっちゅっ）   (2023/3/15 17:52:53)

後藤ひとり> 可愛いです……♡(にへ)   (2023/3/15 17:56:22)

倉田ましろ> ありがとう♡（乳首つんつん）   (2023/3/15 17:57:36)

後藤ひとり> ひゃっ！？……♡(びく)   (2023/3/15 18:00:09)

倉田ましろ> 可愛い（ぎゅう）   (2023/3/15 18:05:01)

後藤ひとり> そ、そろそろお風呂ですね……///(むぎゅ)   (2023/3/15 18:11:54)

倉田ましろ> 私もそろそろ夜ご飯だなぁ…（むぎゅう）   (2023/3/15 18:12:39)

後藤ひとり> ではとりあえず解散で……また今度よろしくです……(頬にキス)   (2023/3/15 18:14:58)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/15 18:15:00)

倉田ましろ> そうだねぇ、んっよろしくねぇ（んにゅっ）   (2023/3/15 18:15:24)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/15 18:15:28)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/16 00:25:06)

倉田ましろ> えー...バンドリできなくなっちゃった...(容量足りるはずなんだけどなぁ...)   (2023/3/16 00:25:56)

倉田ましろ> 容量足りてるのに足りてない判定...どういうことだろ...?   (2023/3/16 00:35:41)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/16 00:46:52)

おしらせ> BBペレさんが入室しました♪  (2023/3/16 01:04:15)

BBペレ> ふあぁ…眠たいですけれどほんのり眠れない、そんなBBちゃんがふらりとやってきましたよぉ（おおあくびーの、そのままソファにごろーん）   (2023/3/16 01:04:37)

おしらせ> マルガ・ナルゼさんが入室しました♪  (2023/3/16 01:18:17)

マルガ・ナルゼ> こんばんは。寝そこね仲間が居るみたいね。微妙に眠いけど何か眠れないのよねー……（軽く欠伸しつつ部屋へと入ると、先客に微笑みかけてソファに近付き、背の羽根を畳んでぽふっと）   (2023/3/16 01:20:09)

BBペレ> はぁい、こんばんはぁ♡　あ、BBちゃんの手の届く範囲に近づいたらセクハラが始まる可能性があるので気をつけてくださいねえ（手ひらひらー）　――あら翼。何か背負ってるのかと思いましたが、生えてるんですぅ？（むくりと身を起こして、しげしげと眺めたり、手を伸ばしたり）
  (2023/3/16 01:22:07)

マルガ・ナルゼ> あら積極的。そうなった時は私もセクハラしかえしましょ（笑顔とともに冗談めかせて返して）ああこれ？私、匪堕天って種族でね、自前よ。自力で飛べるぐらいはできるヤツね（興味ありげな様子に、畳んでた3対の翼広げてみせたり）   (2023/3/16
01:25:36)

BBペレ> セクハラから始まるぬるぐちょタイムは大好きですけど、今から開始するとオールナイトな可能性もありますねえ。――なるほどー、ひだてん…また色んな世界があることで。これはとてもご立派ですねえ、触覚とかあるんでしょうかー（広げられたソレの毛並みを指先でなぞったり、手のひらでまさぐってみたり）
  (2023/3/16 01:30:34)

マルガ・ナルゼ> ままある事ね。そうなる前に眠気に潰される事もよくあるお話……。ん……風読んだりする程度には触覚あるわよ。そうね……こうされる程度には、感触あるわ（髪と同じ漆黒の翼に触れられると微かにくすぐったげに吐息漏らすも、いたずらっぽく笑ってみせるとお返しにと、ビキニブラに包まれた相手の胸をつつっと撫でてみたり）
  (2023/3/16 01:35:45)

BBペレ> 寝落ちはまぁこの時間だとある程度は仕方ないんですかねえ。とはいえできるだけ避けたいところではありますが――やぁん♡（胸元を撫でられ、ふるりと身を揺らす。――一方で少し前かがみになって谷間を強調するようにしながら、わざとらしくいやいや♡　と上体を揺らして、おっぱいゆさ、ゆさ♡）　ヒダテンとやらにとっては、翼とおっぱいを同じくらいの次元のものなのですぅ？
  (2023/3/16 01:38:42)

マルガ・ナルゼ> そうなる前に寝室へ引っ込むのがベストね。あったかくなって来たとは言え、寝落ちには厳しい程度には冷え込むもの……んーなかなかのボリューム♥（撫で上げる指にかかる負荷と、わざと強調されてる深ぁい谷間、重たげに揺れる双丘。扇情的なそれに、満足げな笑み浮かべてサムアップ）それなりに敏感な器官ってコトね。そのおっぱいみたいにはたゆんたゆんしてないけれど（なだらかな自分の胸と相手のたわわと見比べーの）
  (2023/3/16 01:44:49)

BBペレ> あら残念、もう終わりですかぁ。ここからいやらしくねちっこくこね回されちゃうんだー、とか思ってましたのにぃ♡（くすくす――♡）なるほどなるほどー。そう思うとー、ヒダテン同士が抱き合って翼を擦り合ってたりする光景を想像したらとってもえっちに感じちゃいますねえ♡　やっぱそーゆーことするんですー？　――まあまあ、BBちゃんはちっぱいも好きですよ（そして躊躇なくちっぱい触りにいく。ぺたぺた、まさぐり）
  (2023/3/16 01:47:17)

マルガ・ナルゼ> あら、こね回されるのがお好み？ひゃんっ♥（なだらかながらもほんのり主張するちっぱいを薄生地越しにまさぐられると、羽根を触られた時よりもはっきりと甘い声を漏らしてしまい）もちろん手も使うわよ…こんな風に、ね♥（お互い手が届く距離。誘うように揺れる巨乳へ手を伸ばすと、今度はしっかり、むにむにっと揉んでいき、たわわな膨らみを扇情的に変形させてやり）
  (2023/3/16 01:51:30)

BBペレ> こういう流れで勢いのまま襲われるのも結構好きですよぉ？ゃ、ん…ふぅぅ、ふー…♡♡　会話の流れでなんとなしの触れ合いから欲情して、そのまま押し倒されてそのまま即ハメぱこぱことか燃えるじゃないですかぁ♡（薄い水着生地に覆われた褐色おっぱいは容易く形を歪ませて、ぁ♡　ん♡　ってあまぁい声で出していく♡　体を寄せてお顔を覗き込んでにっこり笑いかけつつ――相手のおっぱい、薄生地越しに指先おしつけて、さす、さす――こり、くり…♡　って先っぽ探って、転がしていったり♡）
  (2023/3/16 01:55:08)

マルガ・ナルゼ> ん…ぅ……♥そういうの…向いたかっこ…してるものね…♥こんな風…に…すぐ触れちゃう……♥（探り当てられた突起転がされると呼吸が乱れ時折鼻にかかった声漏らし、生地越しにも位置が解るぐらいに尖っていって。ならばこちらも……と同じようにはせず、せっかくビキニなのだからと、隙だらけな布地の内側へと手を潜らせて。褐色の肌へ直に触れいやらしく変形させながら突起探り出すと、指の間へと引っかけてやり、そのまま直に揉み、指で突起をきゅうっと挟み付けていき♥）
  (2023/3/16 02:00:23)

BBペレ> ぁ、ふぁ…はぁぁ…♡　ふー…ふーっ…♡（ビキニの内側はうっすら汗ばんでいて、肌が相手の手のひらに吸い付いていく♡　ツンと起っている先っぽいじくられると、背を反らしながら敏感に感じちゃう♡♡　はー…はー…♡　と舌先垂らして感じてるの微塵も隠そうとしなくて――♡♡）そーですよぉ、夏の砂浜でナンパされて、そのまま岩場でパコパコし始めちゃうようなかっこーしてるでしょう？♡　だからいやらしーいこともヘーキでやっちゃいますよー♡（体押し付けて、相手の腰回りを撫で回しながら――こちらの腰、すり、すり♡　と露骨に擦りつけていっちゃう♡）
  (2023/3/16 02:04:10)

マルガ・ナルゼ> ふふ…♥おっきいのに敏感で……しかもエッチなのね♥（悩ましげな反応に頬を朱に染め、固さ増してきた突起をくりっ♥くりっ♥と手首のスナップきかせて刺激して♥その動きでブラがずり上がっていき、汗ばんだ肌と先っぽが顔をのぞかせて♥）こんな時間だし……そういう方が都合いいかも…ね♥（撫でられてひくつく腰をこちらからも押しつけ、両手で生乳揉むのを再開♥柔らかく形を変えるその先っぽ、左右交互にちゅっちゅっ♥とキスしていって♥）
  (2023/3/16 02:10:04)

BBペレ> ふぅぅ、ふーっ…はぁぁ♡♡　BBちゃんのおっぱい、美味しいですかぁ？♡♡（おっぱい好きに捏ねさせて、味あわせて、感じ入るままに腰をよじっていく。雌同士でも深く腰を押し付けあって、擦り付けあうと、ぢゅくりぢゅくり♡　とお腹の奥が疼いて、水着のクロッチ部分に染みをつくりつつ、内股に蜜を溢れさせていく♡♡　こちらからも愛おしく相手の腰やお尻を撫で回していて――そのまま相手の股ぐらへ、生えているのか生えていないのかはわからないけれど、指先おしつけて、こしゅ、こしゅ♡♡　擦りつけていく）
  (2023/3/16 02:15:00)

マルガ・ナルゼ> ん……♥おいひ…わよ……♥（大きなおっぱい活かして、中央へと寄せて近付かせた左右の先っぽ、両方一度にあむっ♥と咥え、歯で挟み付けたままで答えて。荒くなった鼻息を褐色肌へと浴びせながら、こりこりっと先っぽの歯ごたえ楽しみ、同時に乳肉を淫らに変形させて揉んでいく♥）うぅ…♥ぁ……♥こっちも……♥（片手を腰に当て操作すると、スーツの股間がぱっくりと割れ、もう先走りにじませたふたなりがぶるんっ♥と露わになって♥それを手へと押しつけぐちゅぐちゅと先走りなすりつけながら、下の水着の中へも片手をつつっ…♥ぬちっ…と粘ついた音立てて探っていき、見つけ出した割れ目へと指押しつけて……つぷっ♥軽ぅく咥え込ませると、中を掻き回す様にぐちゅぐちゅ蠢かせ♥）
  (2023/3/16 02:21:59)

BBペレ> あぁ、ん――ふぅ、ぁ"…♡♡（柔らかくありつつも弾力ももつおっぱい。噛み締められると歯型がくっきり残っちゃって、まるでマーキングされてるよう♡　相手の唾液でぬるぬる光る先端は痺れを覚えるほど敏感になってて、そんな中でこね回されて、かく、かくっ♡　腰がはしたなく揺れてしまう♡♡）　はー…はぁー…ああ、こちらも大変ご立派なもので…♡（手のひらに先走りを絡めつつも、ちんぽの形と大きさ確かめるよう、愛おしく撫で回して、竿を握って、ぬちゅ、ぬちゅ、ぬちゅ、ぬぢゅ♡♡　と扱いて刺激を与えていく♡　――同時に自分の股ぐらも弄られて、いやらしい水音たっぷり立てて、あまったるい雌の匂い強くしていく♡　ふぅぅぅ、ふぅーっ♡♡　と鼻息を荒くしながらお顔を覗いて、笑みを深めて…♡♡）BBちゃんの中にぃ、たーっぷり無責任種付けしてほしいなぁ…♡♡（ぴたり、と身を寄せて…相手のちんぽ、こちらの濡れた股間に擦り付けさせてく…♡♡）
  (2023/3/16 02:26:22)

マルガ・ナルゼ> んぅぅっ♥…ぅ…♥ん゛っ♥ふふ…ありがと……♥（褐色の肌を先走りで濡らす音に被さり、断続的に漏れる甘い声。それに比例する様に肉棒は堅さと大きさを更に増し、ひくひくっ♥と震えて）ええ…♥それじゃあ遠慮無く……♥BBのおまんこ…種付けしちゃうわね…♥（ぐっしょり濡れた水着をずる…と引き剥がし、すっかり準備整った割れ目も剥き出しに♥とろっと粘っこくなった蜜を垂らす割れ目を広げると、導かれるままにちんぽ押し当てて…ずちゅっ♥とろとろまんこ押し広げて突き立てて）ふ…ぁ♥んんっ♥気持ち…ぃ…♥♥（組み敷いた相手に腰突き出し、一旦最奥までぬぷっ…♥と挿れて。そこからゆっくり引いていき、またずんっ♥だんだんと動きを大きくしつつ、中を味わっていき♥）
  (2023/3/16 02:34:21)

BBペレ> くぅ、ぁ――はぁ…おっき……♡♡（押し倒されて、抑え込まれて、組み敷かれて――ずっしりと相手の重みを感じながら、ちんぽ、しっかり雌穴は咥えこんで――ごぢゅ、ン♡♡　って一番奥潰されて、「お、ぉ"♡」って雌声あげちゃいながらのけぞり、軽くアクメ…♡♡　きゅぅぅぅ♡　って愛おしくちんぽにしゃぶりつき、膣内は締め付けていって…♡♡）ふぅぅ、ふーっ♡　はぁぁ、あぁ、ぁ～…♡♡　素敵です、ああ…イイ…♡♡　このちんぽすごくイイ…♡♡（肌に汗を浮かばせながら乱れて、相手の下で悶ていく♡♡　目の前にある雄の顔をみやって、媚びるように表情とろけさせて…♡　頬に両手を添えると、ちゅ、ちゅぅ♡　れる♡　って口元に吸い付き、舐めていく♡♡）
  (2023/3/16 02:38:06)

マルガ・ナルゼ> ふぅっ…♥んんっ♥BBのおまん…こ…も…たまんない…わ……♥♥きゅうきゅう…締め付け…て…♥♥（熱く濡れた肉襞がねだるように絡みつき締め付ける中を、カリ首でひっかき鈴口で小突き、幾度も行き来して♥腰蠢かす度に響く粘ついた水音に合わせ、互いの甘い声が響き渡り♥）このおっぱいも…んんっ♥ね…♥んちゅ…♥♥ふ…♥んぁ……♥（こちらからも舌を突き出し、貪り合う様にディープキス♥口元と股間から似て非なる淫靡な水音響かせる中、一突きごとに大きく弾むおっぱいがっしり掴んで♥先っぽを親指でくりくり♥時折つまんで引っ張って♥細い指食い込ませて乳肉揉んで♥自分には無いたわわな双丘も堪能しながら、腰の動きを早めていって♥♥）
  (2023/3/16 02:44:21)

BBペレ> んふ…ぢる、ぢゅる…ぢゅぞ、れる、ぅ♡♡（頭を傾げて深く唇を交えて、しゃぶりつき、食んで、舌先を伸ばして唾液を混ぜて、糸を引かせて泡立てていく♡♡　粘膜を絡みつけながらも、おっぱいを鷲掴みにされると声を漏らし、体を震わせていく♡♡）ぷ、あぁぁ、はー♡　はー♡♡　今のBBちゃんの体はぁ、ぜーんぶあなたのものですからねぇ♡♡　好きなだけ味わって、痕をつけて――ふふ…♡　ほら、ほら…あなたのちんぽが奥を叩く度に、あなたの形に耕されちゃってますぅ♡♡（どちゅ、どちゅ、どちゅ♡　と奥を叩かれる度に、子宮は子種を求めて降りてきて、ぐぱぁ♡　と入り口ゆるゆるにして、先走りを啜りながらちんぽの先端に吸い付いていく♡♡）
  (2023/3/16 02:47:34)

マルガ・ナルゼ> んぅ♥れろ…♥んっ♥ちゅ……♥ん…ぅ…♥（深ぁく突く立てたまま円描いて腰動かし、肉棒で中をぐちゅぐちゅ攪拌♥相手の口内へと潜り込ませた舌も中をまさぐりねぶり回し、舌同士絡ませて♥口の端から垂れた唾液がつつっとおっぱいにまで伝わると、それを肌へと擦り込んでやり、褐色の肌が部屋の明かりを反射してらてらと輝いて♥）ええ…♥BBのおまんこ…私のちんぽの形覚えてくわよ……♥♥（精液求めて口広げた子宮口に鈴口押しつけ、ぐりぐり♥刺激してからまた腰引いて…ずんっ♥おまんこの端から端まで使い、ちんぽしごくようにして♥♥）んんっ♥あっ…あぁ♥も…イく…わよ…♥BB…んっ…♥んん゛っ♥♥B…B…♥♥（ラストスパートの動きがひときわ高く甘い声とともに止まると、ぶるっと全身震わせて…♥半開きの子宮口へとちんぽ密着させ、遠慮無い射精♥直接子宮へ流し込むように、ぶびゅっ♥どぷっ♥ごぽっ…♥♥とザーメン放ち、中を満たしていって♥）
  (2023/3/16 02:58:23)

BBペレ> んぐ、ん"、ふぅぅ、ぉ、ぉぉ…ぉ"♡♡（ふかぁいところ、ぐり、ぐりぃ♡♡　って重点的に攻められるのには特に敏感に体が跳ねてしまって、品のない声を漏らしていく♡♡　余裕ぶって誘惑しながらも強雄に中を貪られることには雌としての悦び覚えてて、うっとりと媚び媚びに声を甘ったるくしてしまう♡♡）あぁ、ぁ、ぁ"～♡　あ　きて、きてきて、きてぇ♡♡　BBちゃんの中、びゅーってマーキングして――ん、んん"っ♡♡　ぉ…――ー♡♡　っっっっ♡♡♡♡（ごぼ…♡♡　って重くてあつぅいの感じると、気持ちいいのが弾けて――のけぞりながらアクメ晒しちゃって、ぷしぃ♡♡　って潮を吹く♡♡　――ぉ、ぉぉぉ、ぉ…♡♡　って深イキ声を漏らしながら腰を震わせながら、子宮は嬉しそうに子種を全部飲み干していっちゃう…♡♡）
  (2023/3/16 03:03:25)

マルガ・ナルゼ> ふぅ♥あっ♥あ…♥潮…あつ……♥（おっぱいぎゅうっと鷲掴みして背を仰け反らせ、腰小刻みに揺すって最後の一滴まで注ぎ込もうと♥潮を浴びつつ注ぎきると、まだ繋がったままくたっ…とBBにもたれかかり、ふー♥ふー♥と荒い息♥♥身じろぎする度に接合部からこぽっ…♥とザーメン溢れ出て、部屋の中に特有の匂い広げていって♥）は…ぁ…♥中以外にもマーキング…しちゃおっと♥（息をどうにか整えると、ブラで隠せない辺りの乳肉へと顔を寄せ、ちゅう…♥と強く吸い付いて♥褐色の肌にほんのり赤く、唇の痕を刻み込んで♥♥）
  (2023/3/16 03:09:50)

BBペレ> はぁー……はぁー……♡♡　あぁ、ぁ…すご…重…♡♡（たっぷりと注がれて、満たされて、溢れるほどのそれ…雌としての幸福感に満たされていって、あまぁい声を耳元に聞かせちゃう♡♡　射精がんばれがんばれ♡　と、両手は相手の腰、お尻を撫で回していって、きゅ、きゅ♡♡　って膣内はちんぽ締め付けていく♡♡　激しい逢瀬に褐色の肌は汗でぬるぬるにテカっていて、雌の匂いたっぷり含んでて…♡♡）あはぁ…♡　何度も何度もこーやって注がれたりー、そうやって痕付けられちゃったらぁ、ほんとにいつか染み付いちゃうかもしれませんねえ…♡♡
  (2023/3/16 03:13:22)

マルガ・ナルゼ> はぁ…♥♥中だけじゃなく…肌にも染み付くかもしれないわね…♥♥褐色肌って…白ぉくデコレートしたくなるもの♥（ひとしきり吸うと身を起こし、さっきまで吸っていたおっぱいをつんっとつつきながら、冗談とも本気ともとれないことを♥縮こまり始めたちんぽも引き抜いていくと、途端にごぽっ♥と大きく白濁溢れだし、精臭がより一層強まって♥♥）まあ…今夜はそろそろ限界だから、染み付かせるのはまたの機会ねー…♥
  (2023/3/16 03:18:44)

BBペレ> んふふ、いっぱい染めてくれるときを楽しみにしてますねえ…♡　　ぁ、ぉ…っ♡♡　ふぅぅ、ふぅーっ♡♡（子種が逆流するときの刺激に軽くイかされ、かくんっ♡　腰が跳ねて、色々な汁が混じった液体を飛び散らせちゃう…♡）　ま、３時ですからねえ…お掃除と想いましたけれど、今なら心地よくまどろんで眠れそうですね…♡（くすくす）
  (2023/3/16 03:20:37)

マルガ・ナルゼ> あふ…そうね、お掃除してもらってる間に眠りかねないし……今日はこれで、BB抱き枕にして寝ようかしら♥クッションいいし…♥♥（おっぱいにぽふっと顔うずめて上目遣い…しつつ欠伸）   (2023/3/16 03:23:18)

BBペレ> いいですよぉ？　今夜のBBちゃんはあなたのものですからねえ♡（ぎゅ、としっかり頭を掻き抱いて、おっぱいに顔を埋めさせちゃいましょう）　それじゃあゆっくりおやすみなさいませ、遅くまで付き合ってくださりありがとうございました♡　とっても楽しかったですよー♡
  (2023/3/16 03:24:42)

