チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月18日 13時09分 ～ 2023年03月19日 01時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

中野一花 ◆> 目玉焼きを乗っけます…！   (2023/3/18 13:09:25)
おしらせ> 滞在時間が360分を超えたため、後藤ひとりさんが自動退室しました。  (2023/3/18 19:09:02)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/18 19:09:17)

絹川みちほ> ふにゃっ   (2023/3/18 19:09:20)

後藤ひとり> あ……熱ぽいのでお風呂はやめときます……   (2023/3/18 19:09:31)

絹川みちほ> お大事に…   (2023/3/18 19:10:07)

後藤ひとり> 熱じゃなくて喉ですね   (2023/3/18 19:11:08)

中野一花 ◆> 喉っぽい…？   (2023/3/18 19:11:33)

後藤ひとり> 喉の痛みが…   (2023/3/18 19:12:02)

中野一花 ◆> なるほど…？   (2023/3/18 19:15:06)

後藤ひとり> 風邪かな……熱はほんの少しだけ   (2023/3/18 19:15:46)

おしらせ> ひなさんが入室しました♪  (2023/3/18 19:16:57)

ひな> こんにちは）私の名前はひなです、私は23歳です）初心者のセックスモデル18歳以上）私はヌードで写真を撮られるのが好きです）リンクで私の写真を評価してください: ja.cat/id395692   (2023/3/18 19:16:59)

おしらせ> ひなさんが部屋から追い出されました。  (2023/3/18 19:17:25)

中野一花 ◆> ほらほら、熱っぽい子は休みなよ？(いつのまにか敷かれていた布団にひとりちゃんを押し込んで)   (2023/3/18 19:17:58)

絹川みちほ> うん、休まなきゃね   (2023/3/18 19:18:54)

後藤ひとり> あわわ……(布団に押されてしまい)   (2023/3/18 19:19:15)

絹川みちほ> ふふふー   (2023/3/18 19:21:08)

中野一花 ◆> はいはい、休もうね〜、   (2023/3/18 19:22:45)

後藤ひとり> まだ起きます……アニメも見てるし……   (2023/3/18 19:23:16)

中野一花 ◆> せめてお薬飲んで横にはなろっか…？   (2023/3/18 19:24:19)

後藤ひとり> 薬は飲んでますよ……   (2023/3/18 19:25:20)

中野一花 ◆> よしよし…いい子だね〜♪   (2023/3/18 19:26:36)

後藤ひとり> 甘えたいですね……♪   (2023/3/18 19:28:33)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/18 19:29:17)

中野一花 ◆> 甘えちゃう？(なでなで)   (2023/3/18 19:29:17)

後藤ひとり> はい……♪(擦り寄って)   (2023/3/18 19:30:04)

中野一花 ◆> はぁいよしよし…おんふ   (2023/3/18 19:30:58)

後藤ひとり> ご飯食べたら安静にします……   (2023/3/18 19:33:10)

中野一花 ◆> そうしなよ？   (2023/3/18 19:35:14)

絹川みちほ> そうしてね   (2023/3/18 19:37:46)

後藤ひとり> はい……(すりすり)   (2023/3/18 19:37:48)

中野一花 ◆> (ぎゅ〜っ…)   (2023/3/18 19:39:41)

後藤ひとり> (むぎゅ……)   (2023/3/18 19:40:32)

中野一花 ◆> 安静にしてあったかくだぞ〜？   (2023/3/18 19:41:54)

絹川みちほ> 尊いなあ、ふふ   (2023/3/18 19:42:26)

絹川みちほ> ちょっとご飯呼ばれたから行ってくるね   (2023/3/18 19:42:56)

後藤ひとり> はい……(布団でぬくぬく)   (2023/3/18 19:44:39)

中野一花 ◆> いってらっしゃい？   (2023/3/18 19:46:26)

絹川みちほ> うん、食べたら戻るよー   (2023/3/18 19:46:51)

後藤ひとり> あ、行ってらっしゃいです   (2023/3/18 19:47:48)

中野一花 ◆> (さすさす…)   (2023/3/18 19:49:44)

後藤ひとり> ん……(むぎゅ)   (2023/3/18 19:51:38)

中野一花 ◆> よしよしっ…いいこいいこ♪   (2023/3/18 19:51:58)

後藤ひとり> 好きです……♪癒されるます…♪   (2023/3/18 19:54:34)

中野一花 ◆> 5人からの愛をひとりちゃんに注いでるんだぞ〜…？   (2023/3/18 19:55:50)

後藤ひとり> 嬉しいですね…♪あ、私もご飯なので少しお待ちを   (2023/3/18 19:56:36)

中野一花 ◆> はーい♪   (2023/3/18 19:57:15)

おしらせ> 無言時間が25分を超えたため、絹川みちほさんが自動退室しました。  (2023/3/18 20:12:41)

後藤ひとり> 戻りました……♪   (2023/3/18 20:12:48)

中野一花 ◆> おかえり〜♪   (2023/3/18 20:13:32)

後藤ひとり> ただいまです…♪(ぎゅ)   (2023/3/18 20:18:33)

中野一花 ◆> よっと♪(体勢を整えつつ、ひとりちゃんを抱き留めて)   (2023/3/18 20:21:20)

後藤ひとり> あわわ……♪ふかふかですね…♪(にへ)   (2023/3/18 20:21:45)

おしらせ> 堂領姫子さんが入室しました♪  (2023/3/18 20:24:15)

後藤ひとり> あ、どうも……   (2023/3/18 20:24:38)

堂領姫子> こんばんは   (2023/3/18 20:24:40)

中野一花 ◆> ひとりちゃんはこうされるのが好きだもんね〜♪(胸に顔を押し付けさせながら、ギュッと)   (2023/3/18 20:27:44)

堂領姫子> はじめまして、私は堂領姫子です。…ふふっ、みちほからお二人の事は聞いていますよ   (2023/3/18 20:28:58)

後藤ひとり> こういうのが好きです……♪(おっぱいに顔うずめてすりすりと)   (2023/3/18 20:31:21)

後藤ひとり> あ、みちほさんのお仲間さんでしたか……   (2023/3/18 20:31:31)

堂領姫子> 私は近衛原学園２年で生徒会会長です。みちほは副会長で私の友達なんですよ？   (2023/3/18 20:33:40)

後藤ひとり> なるほど……よろしくお願いしますしますね   (2023/3/18 20:35:27)

中野一花 ◆> よろしくね〜♪(ひとりちゃんを抱いたまま片手をヒラヒラ)   (2023/3/18 20:35:49)

中野一花 ◆> このむっつりさんめ…♪   (2023/3/18 20:36:13)

堂領姫子> ええ、よろしくお願いしますね。ひとりさん、一花さん   (2023/3/18 20:36:18)

後藤ひとり> む、むっつりさん！？   (2023/3/18 20:36:40)

堂領姫子> ん…（自分の胸とひとりさんと一花さんの胸を見比べて）   (2023/3/18 20:37:33)

後藤ひとり> ど、どうしました？……(首傾げ)   (2023/3/18 20:37:56)

堂領姫子> その、みちほもそうなのですが、お二人ともおっきいな、と//   (2023/3/18 20:39:10)

後藤ひとり> ま、まあ人並みには……   (2023/3/18 20:39:43)

中野一花 ◆> ん〜…(むにゅ…)   (2023/3/18 20:40:24)

後藤ひとり> ふかふか……(むぎゅ)   (2023/3/18 20:40:53)

堂領姫子> タピオカドリンクとか乗せれそうですね（まじまじと見て）   (2023/3/18 20:41:30)

後藤ひとり> そういうチャレンジはありましたね……私やりました……何が楽しいのかわからないですが……   (2023/3/18 20:42:27)

中野一花 ◆> 乗せてみる？   (2023/3/18 20:42:35)

堂領姫子> ふふっ、みちほから聞いていましたが、やっぱりお二人とも尊いですね（微笑ましく見ていて）   (2023/3/18 20:43:01)

堂領姫子> 楽しさと言うか、やはり胸の大きさを再確認するチャレンジだと私は思いますね。（タピオカドリンクを持ってきつつ）   (2023/3/18 20:44:41)

後藤ひとり> https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDJrgN-o6PuzVgNh75_VWO-ZdjrwDLCBD9Ng&usqp=CAU
[/JumpUrl2/?url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcTDJrgN-o6PuzVgNh75_VWO-ZdjrwDLCBD9Ng%26usqp%3DCAU]
  (2023/3/18 20:46:01)

後藤ひとり> こうなります…   (2023/3/18 20:46:05)

中野一花 ◆> お姉さんのタピオカチャレンジだけないっ…！   (2023/3/18 20:49:52)

堂領姫子> ひとりさん、やっぱりおっぱいおっきいんですね   (2023/3/18 20:50:14)

堂領姫子> では、一花さんもここで是非……（タピオカドリンクを差し出して）   (2023/3/18 20:50:36)

後藤ひとり> どうなるんだろう…   (2023/3/18 20:53:19)

中野一花 ◆> ……よっ…と(胸の上に乗せてストローを咥えて)   (2023/3/18 20:54:41)

後藤ひとり> 乗ってますね…   (2023/3/18 20:55:58)

堂領姫子> 一花さんも大きい…   (2023/3/18 20:59:42)

中野一花 ◆> 他の姉妹ができてるからね〜♪   (2023/3/18 21:00:02)

堂領姫子> 他の皆さんも大きい…   (2023/3/18 21:00:52)

後藤ひとり> みんな大きいですよね……ふたりもいつか…   (2023/3/18 21:01:11)

中野一花 ◆> 88だったかな〜…   (2023/3/18 21:02:21)

堂領姫子> 後でみちほにもやってもらいましょうか   (2023/3/18 21:02:30)

後藤ひとり> 合計で441らしいです……   (2023/3/18 21:03:05)

堂領姫子> ひとりさんの妹さん？   (2023/3/18 21:03:05)

堂領姫子> やっぱり大きいです。皆さん88センチ前後なのはたしかですね   (2023/3/18 21:03:55)

後藤ひとり> 後藤ふたりって名前です……   (2023/3/18 21:04:55)

堂領姫子> 幼いせいもあるでしょうが、５歳ながら中々の辛口ですね……   (2023/3/18 21:08:24)

後藤ひとり> クソめんどくさい言われました……   (2023/3/18 21:09:45)

中野一花 ◆> 誰が大きいのかは姉妹の中でも秘密なんだよ…？   (2023/3/18 21:10:08)

堂領姫子> そうですか一花さん、だとすれば流石に私は聞けませんね   (2023/3/18 21:11:32)

堂領姫子> 次言われたら、私が「それ、貴女の意見ですよね？」と言ってあげましょう   (2023/3/18 21:12:29)

後藤ひとり> ひろゆきさんがいる……   (2023/3/18 21:13:12)

堂領姫子> わかって頂けたようで   (2023/3/18 21:15:09)

後藤ひとり> 知ってますよ……   (2023/3/18 21:15:39)

中野一花 ◆> (ふあ)   (2023/3/18 21:16:38)

堂領姫子> よかった…。個人の主観をあたかも客観的事実であるかのように断定したことに対して突っ込んだ台詞だそうですから、使い方は間違ってはないかと。   (2023/3/18 21:16:49)

堂領姫子> （一花さん、つんつん）   (2023/3/18 21:17:04)

後藤ひとり> 一花さんが眠そうです……   (2023/3/18 21:17:09)

堂領姫子> 私もみちほも、一花さんも三玖さんも、そんな事は思っていませんから安心してください（ひとりさんにそっと伝えて）   (2023/3/18 21:19:07)

後藤ひとり> あ、はい分かりました……   (2023/3/18 21:22:11)

堂領姫子> よしよし   (2023/3/18 21:23:23)

堂領姫子> 一花さんはお疲れ様ですかね   (2023/3/18 21:23:50)

堂領姫子> お疲れですかね   (2023/3/18 21:23:58)

中野一花 ◆> 眠いねぇ…   (2023/3/18 21:24:16)

後藤ひとり> 無理せずとも……   (2023/3/18 21:24:33)

中野一花 ◆> ひとりちゃんも熱っぽいんだからね〜…？   (2023/3/18 21:25:54)

堂領姫子> そうですね、ひとりさんも無理なさらずに   (2023/3/18 21:26:52)

後藤ひとり> 私は喉があれなだけです……   (2023/3/18 21:27:31)

堂領姫子> ちょっと喉が痛いんでしたっけ   (2023/3/18 21:27:49)

堂領姫子> お二人と添い寝させていただこうかな…   (2023/3/18 21:28:24)

中野一花 ◆> よーし！お姉さんはお風呂に行ってきま〜す♪シャワー浴びたじゃんって思ってるそこの君！シャワーとお風呂は別物なんだぞっ！   (2023/3/18 21:29:22)

おしらせ> 中野一花 ◆WY5HuZnICQさんが退室しました。  (2023/3/18 21:29:25)

堂領姫子> いってらっしゃい、一花さん   (2023/3/18 21:29:47)

後藤ひとり> お疲れ様です……なら私も少しだけ休もうかな……   (2023/3/18 21:30:11)

堂領姫子> 休みますか？ひとりさん   (2023/3/18 21:30:28)

後藤ひとり> すこしだけ……寝れなかった戻ります……   (2023/3/18 21:34:10)

堂領姫子> わかりました、ゆっくり休んでくださいね   (2023/3/18 21:34:36)

後藤ひとり> ではおやすみなさいです……   (2023/3/18 21:35:19)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/18 21:35:20)

堂領姫子> ええ、おやすみなさい。みちほ共々これからもよろしくお願いしますね   (2023/3/18 21:35:54)

堂領姫子> ん…、もう少しだけ居ましょうか。   (2023/3/18 21:47:52)

おしらせ> クレーさんが入室しました♪  (2023/3/18 22:07:04)

クレー> こーんばんは♪(こんがちゃ！)   (2023/3/18 22:07:59)

堂領姫子> こんばんは   (2023/3/18 22:10:20)

クレー> はじめまして、クレーだよ♪よろしくねっ(お部屋の中に入ってきては手を振って笑顔でごあいさつ♪)   (2023/3/18 22:11:06)

堂領姫子> クレーさんですね、はじめまして。私は堂領姫子です。（私もそっと手を振って）   (2023/3/18 22:13:42)

クレー> みちほお姉ちゃんと同じ制服着てる…！同じガッコーのひとかな？(きょとん…と首をかしげつつ、みちほお姉ちゃんにお世話になってます…！とぺこりして)   (2023/3/18 22:15:04)

堂領姫子> ええ、同じ近衛原学園の２年で生徒会会長です。みちほは副会長で私の友達なんですよ。クレーさんの事もみちほから聞いています。（続けてぺこり）   (2023/3/18 22:16:58)

クレー> かいちょー…！……ということは、みちほお姉ちゃんよりもえらい人なんだね(ほへー顔でお話を聞いて)…えへへ、よろしくね♪   (2023/3/18 22:20:02)

堂領姫子> そうですね。ナンバーワンですからね。ナンバーツーであるみちほと一緒に頑張っていますよ。ふふっ、こたらこそよろしくお願いしますね   (2023/3/18 22:24:13)

クレー> そうなんだ…！(こくこく)…せいとかいってどんなことしてるの？テイワットでは聞いたことないから…！   (2023/3/18 22:27:24)

クレー> ありゃ…きぎょーひみつって感じかな…？(どこかで聞いてきた言葉)   (2023/3/18 22:35:41)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/18 22:36:53)

後藤ひとり> 多分落ちてるのでは……？   (2023/3/18 22:37:00)

クレー> あ、ひとりお姉ちゃんこんばんは♪   (2023/3/18 22:37:13)

後藤ひとり> はい……結局眠れず来ました……   (2023/3/18 22:37:31)

堂領姫子> 【ごめんなさい、少し呼ばれていました…】   (2023/3/18 22:38:14)

おしらせ> 中野一花 ◆WY5HuZnICQさんが入室しました♪  (2023/3/18 22:38:30)

クレー> ありゃま、眠れなかったの？クレーからしたらまだ寝るには早い時間かもって思ったけど♪ねむくなるまでゆっくりしていってね～   (2023/3/18 22:38:50)

中野一花 ◆> お風呂と諸々お〜わり〜♪   (2023/3/18 22:38:51)

クレー> 【いーえっ！大丈夫だよ♪気にしないでね>姫子お姉ちゃん】   (2023/3/18 22:39:18)

後藤ひとり> 少し喉が痛いんですよね……なので今はゆっくりと……あらおかえりです   (2023/3/18 22:39:24)

クレー> 一花お姉ちゃんこんばんは～♪   (2023/3/18 22:39:41)

堂領姫子> おかえりなさい、ひとりさん、一花さん   (2023/3/18 22:40:08)

クレー> ありゃま…かぜ？かふん？それともカラオケでやっちゃった…？>ひとりお姉ちゃん   (2023/3/18 22:40:17)

後藤ひとり> 多分風邪か花粉です……カラオケで思い出しました……3/20からダムで結束バンドの歌アニメ映像出されるらしいです……   (2023/3/18 22:41:04)

クレー> クレーもくしゃみのしすぎでたまにのどイガイガしちゃうことある……。大変だよねー…。うーんと、クレーがやってるのは、軽くうがいしてからタオル(なければマフラーとかネックウォーマーとかでも多分大丈夫)を首に巻いてのどを温めるようにしてるの。少しは楽になると思うよ♪(クレーの経験談)>ひとりお姉ちゃん
  (2023/3/18 22:44:15)

中野一花 ◆> 帰ってきたはいいけどっ…ふあ〜…   (2023/3/18 22:45:11)

堂領姫子> クレーさん、そうですね。簡単に言うと、学校での生活 をより良くなるように充実させたり、改善して手直ししたり生徒代表として、先生ではなく、生徒の目線から学校をより良くするために活動してる感じですかね。文化祭などの学校行事なども企画したりしますよ？  
(2023/3/18 22:45:27)

後藤ひとり> なるほどなるほど……うがいしてタオルですね……タオルタオル……(立ち上がって探そうとして)   (2023/3/18 22:45:35)

堂領姫子> 一花さんお疲れですかね？つんつん   (2023/3/18 22:46:10)

堂領姫子> ひとりさん、改めてお大事に   (2023/3/18 22:46:29)

中野一花 ◆> ねむぅい…   (2023/3/18 22:46:32)

後藤ひとり> 寝てもいいですよ……(よしよし)   (2023/3/18 22:47:09)

中野一花 ◆> ねちゃおうかなぁ…   (2023/3/18 22:47:21)

堂領姫子> 無理はしないでくださいね、一花さん？よしよし   (2023/3/18 22:47:34)

後藤ひとり> また今度お話しましょうね   (2023/3/18 22:48:06)

クレー> 学校の騎士団みたいな感じかな…！(そこまで大きい話じゃないんだろうけど)、文化祭…！学校のお祭りかな…♪   (2023/3/18 22:48:07)

クレー> お風呂入ってぽかぽかでねむくなるのクレーもわかる♪>一花お姉ちゃん   (2023/3/18 22:49:06)

中野一花 ◆> 眠れなかったら帰ってくるね〜…？   (2023/3/18 22:49:07)

おしらせ> 中野一花 ◆WY5HuZnICQさんが退室しました。  (2023/3/18 22:49:11)

クレー> おやすみなさいー！   (2023/3/18 22:49:23)

後藤ひとり> お疲れ様です……   (2023/3/18 22:49:37)

堂領姫子> ふふ、戦ったりはしませんがそんな感じです。校則…ルールなどを作ったりしてますね。そうです、学校のお祭りですよ。生徒のご両親を中心に学校外の人もお客として見に来れたりします   (2023/3/18 22:50:21)

堂領姫子> おやすみなさい、一花さん   (2023/3/18 22:50:37)

クレー> ひとりお姉ちゃんの学校にも文化祭があって、演奏したことあるんだもんね…♪   (2023/3/18 22:52:47)

後藤ひとり> はい……色々ありましたが……(遠い目をして)   (2023/3/18 22:53:44)

クレー> メイド服とか…？♡>ひとりお姉ちゃん   (2023/3/18 22:54:44)

堂領姫子> 躓いて青と白の縞々パンツを晒してしまった、とかですか？（それは、きららの違う作品だ）   (2023/3/18 22:54:59)

クレー> 姫子お姉ちゃんの学校の文化祭は何するのー？   (2023/3/18 22:55:10)

後藤ひとり> そっちですか！？………私は演奏の方を思い出しました……(思い出して顔を真っ赤に)   (2023/3/18 22:55:30)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/18 22:56:35)

桜花あさひ ◆> こんばんはだっ♪   (2023/3/18 22:56:40)

堂領姫子> ひとりさんの学校とそんなに変わらないと思いますよ。学年やクラスごと、部活動ごとに何かしら催し物をするかたちですね。   (2023/3/18 22:56:45)

クレー> (それがきっかけでお部屋でメイド服パーティしたと思うけどなぁ～ってにまり♡)…演奏もすごく良かったって喜多お姉ちゃんも言ってたもんね♪ひとりお姉ちゃんたち結束バンドがすごく活躍したって♪   (2023/3/18 22:57:01)

後藤ひとり> こんばんはです……♪   (2023/3/18 22:57:02)

クレー> あさひお姉ちゃんこんばんは～！   (2023/3/18 22:57:12)

堂領姫子> こんばんは   (2023/3/18 22:57:19)

後藤ひとり> ま、まあ何とか……弦が使い物にならなくなったり……ダイブしたのは良い思い出です………良い思い出……良い……かは別ですね   (2023/3/18 22:57:44)

堂領姫子> 湿気の多い日本は、ギターに限らず、全ての弦楽器の管理は結構大変だと聞きますね   (2023/3/18 22:58:40)

クレー> そうなんだ…！   (2023/3/18 22:59:43)

クレー> あさひお姉ちゃんの学校も文化祭とかあるの～？(こてん)   (2023/3/18 23:00:18)

堂領姫子> よろしければ、また文化祭がある時に皆さん来てください。ご招待しますよ（にこっ）   (2023/3/18 23:01:48)

後藤ひとり> あ、はい……楽しみにしてますね……♪   (2023/3/18 23:02:00)

桜花あさひ ◆> 文化祭！あったぞ〜♪あさひのクラスはな〜、メイド喫茶をやったぞ〜♪   (2023/3/18 23:02:23)

堂領姫子> メイド喫茶…ですか   (2023/3/18 23:02:43)

後藤ひとり> あ、私と同じですね……   (2023/3/18 23:02:53)

クレー> メイドさん人気…！   (2023/3/18 23:03:49)

クレー> あさひお姉ちゃんもメイド服着たの？ぜったい似合うと思うー♡   (2023/3/18 23:04:12)

後藤ひとり> 私なんかより遥かに素敵かと……   (2023/3/18 23:04:46)

堂領姫子> 実際に皆さんにここで着てもらいましょうか…なーんて   (2023/3/18 23:05:31)

クレー> あー……♡それを言ったら姫子お姉ちゃんにだって着てもらうんだからね♪   (2023/3/18 23:07:01)

堂領姫子> わ、私もですか？   (2023/3/18 23:07:39)

後藤ひとり> 1人だけ高みの見物良くないです……   (2023/3/18 23:07:56)

おしらせ> イリア・コーラルさんが入室しました♪  (2023/3/18 23:08:20)

堂領姫子> ん…まあ、そうですね。私だけ着ないのは不平等です   (2023/3/18 23:08:36)

イリア・コーラル> こんばんは、失礼します。（メイドの話題につられてやってきたメイド）   (2023/3/18 23:08:44)

堂領姫子> こんばんは、イリアさん   (2023/3/18 23:08:56)

堂領姫子> 改めてはじめまして、堂領姫子です。あさひさんの事もイリアさんの事も、みちほから聞いていますよ   (2023/3/18 23:09:52)

後藤ひとり> 本業の方が来ました……こんばんは……   (2023/3/18 23:10:03)

クレー> イリアお姉ちゃんこんばんはー♪   (2023/3/18 23:11:02)

イリア・コーラル> そうでしたか、よろしくお願いしますね姫子さん。   (2023/3/18 23:12:17)

桜花あさひ ◆> こんばんはだぁ♪   (2023/3/18 23:12:41)

堂領姫子> みちほは私の友達ですからね。ええ、よろしくお願いいたします   (2023/3/18 23:13:03)

桜花あさひ ◆> ふふ、あさひもちゃんとメイド服着たぞ〜♪あ、後男子も着てたなぁ♪みーんなメイド服だぞぅ♪   (2023/3/18 23:13:07)

後藤ひとり> ということでメイドを着るお話は無しで………男子も！？   (2023/3/18 23:13:19)

堂領姫子> ひとりさんが着たくないなら強制はできませんね   (2023/3/18 23:13:58)

桜花あさひ ◆> みんなみんなメイド服だぞ♪…でもあさひ達よりメイド服の男子の方が人気あったな〜……   (2023/3/18 23:14:05)

イリア・コーラル> ひとりさんのメイド服姿は可愛らしいですからね。皆さんが着替えたら…メイド喫茶になってしまいそうですね。   (2023/3/18 23:14:14)

後藤ひとり> あ、いやという訳では……(あわあわ)男子ですか……まあそう言う需要もあります……   (2023/3/18 23:14:38)

堂領姫子> え、男子もですか？人気があったのはギャップ萌え……なわけないですよね(汗)   (2023/3/18 23:14:39)

クレー> せーかい！>姫子お姉ちゃん   (2023/3/18 23:15:17)

堂領姫子> ひとりさん、そうでしたか。…ここでメイド服着てもらおう、というのはあくまでも冗談ですからお気になさらず   (2023/3/18 23:15:44)

後藤ひとり> 褒められちゃいました………そっち目指そうかな……(褒められてすぐに調子に乗る図……)   (2023/3/18 23:15:58)

堂領姫子> 正解でしたか、クレーさん   (2023/3/18 23:16:30)

桜花あさひ ◆> 女子より注目されててちょっと悔しいぞっ   (2023/3/18 23:16:31)

クレー> ちなみにみんなの分のメイド服はクローゼットに入ってるみたいだから！(じゃーんとお部屋のクローゼットに指さして)   (2023/3/18 23:16:56)

堂領姫子> ひとりさんのメイド服姿、気になりますね   (2023/3/18 23:17:04)

堂領姫子> たしかにちょっと悔しいですね、あさひさん   (2023/3/18 23:17:19)

後藤ひとり> https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4BbmTf_T-5ULGgXr4jL-NhWhv76D1sFbg8g&usqp=CAU
[/JumpUrl2/?url=https%3A%2F%2Fencrypted-tbn0.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcR4BbmTf_T-5ULGgXr4jL-NhWhv76D1sFbg8g%26usqp%3DCAU]
  (2023/3/18 23:17:32)

後藤ひとり> ここから……   (2023/3/18 23:17:35)

堂領姫子> クレーさん、全員分あるんですね   (2023/3/18 23:17:40)

堂領姫子> なるほどなるほど…(⁠*⁠´⁠ω⁠｀⁠*⁠)   (2023/3/18 23:18:21)

クレー> あさひお姉ちゃんはかいじゅうのパジャマとかたまに着てきてくれるけど、かわいいお洋服すごく似合ってるとクレーは思うよ♪   (2023/3/18 23:19:53)

イリア・コーラル> 短めのスカートのメイド服なので…視線のやり場に困りますよね…。   (2023/3/18 23:20:21)

イリア・コーラル> 用意周到でございますね。   (2023/3/18 23:20:30)

後藤ひとり> 素体がいいと何着ても映ます……   (2023/3/18 23:20:45)

後藤ひとり> イリアさんも短いの着ればいいかと……   (2023/3/18 23:21:08)

桜花あさひ ◆> あさひももっと目立ちたかったぞぉ…   (2023/3/18 23:21:44)

クレー> ロングだと大人っぽくて本格的だよね♪イリアお姉ちゃんにすごく合ってる♡   (2023/3/18 23:21:55)

桜花あさひ ◆> おおっ色んな洋服があるんだなぁ♪えへへ、あさひ可愛いのも似合っちゃうかぁ♪？   (2023/3/18 23:22:05)

堂領姫子> メイド服などの短めのスカートに、ニーハイソックスを合わせた絶対領域が好きだと言う方もいらっしゃいますね   (2023/3/18 23:22:50)

イリア・コーラル> 私が短いの着ると…需要有るのでしょうか？…寧ろ皆さんには正式な論語タイプのメイド服着させたいですね   (2023/3/18 23:22:51)

後藤ひとり> まあ私の短いのなんて誰も要らないだろうし……長いの履こうかな……次は………   (2023/3/18 23:25:09)

イリア・コーラル> ふふ、お褒め頂いて嬉しいですよクレーさん。   (2023/3/18 23:26:40)

後藤ひとり> メイドカフェをやるのは悪いあんでもないですね……前もしましたし……   (2023/3/18 23:29:07)

堂領姫子> イリアさんの短いのも、ひとりさんのも長いのも気になりますね   (2023/3/18 23:29:10)

堂領姫子> 似合いますよ、あさひさんっ   (2023/3/18 23:29:38)

イリア・コーラル> 皆さんお似合いですよ…太腿がまぶしいです…   (2023/3/18 23:30:11)

堂領姫子> ひとりさんの短いのもいいですね   (2023/3/18 23:31:06)

後藤ひとり> みんなで太ももさらけ出したら怖くないです……   (2023/3/18 23:31:17)

桜花あさひ ◆> えへへっ、ありがとなぁっ♪(にこにこてれてれ)   (2023/3/18 23:34:59)

桜花あさひ ◆> 短いと走ったりしたら見えちゃうんだよなぁ…(スカート捲り)   (2023/3/18 23:35:07)

堂領姫子> よしよし、あさひさん   (2023/3/18 23:35:33)

堂領姫子> 見えてもいいのを履かないとですね   (2023/3/18 23:35:42)

後藤ひとり> 私のなんて見えても得は無いです……   (2023/3/18 23:36:27)

クレー> おうちついたー！   (2023/3/18 23:36:59)

イリア・コーラル> メイド服からのチラですか…夢と希望にあふれてそうです…   (2023/3/18 23:37:23)

クレー> そんな夢と希望にあふれたメイド服きてるイリアお姉ちゃんは無敵だね……！   (2023/3/18 23:37:52)

堂領姫子> 私はみたいですけどね、ひとりさん。ふふ   (2023/3/18 23:38:00)

クレー> それじゃ、クレーお風呂とかお着替えしてくるね！   (2023/3/18 23:38:15)

堂領姫子> おかえりなさい、クレーさん   (2023/3/18 23:38:15)

堂領姫子> いってらっしゃい   (2023/3/18 23:38:28)

後藤ひとり> あ、いってらしゃいです……   (2023/3/18 23:38:30)

桜花あさひ ◆> おかえりなさいと行ってらっしゃいだっ♪   (2023/3/18 23:38:55)

後藤ひとり> イリアさんのはチラ出来ない……希望も夢もない……ちなみに私はアニメ内でチラしてました…飛んだせいですが   (2023/3/18 23:39:07)

イリア・コーラル> はい、行ってらっしゃいませ…無敵のメイド…怖いもの無しでしょうか   (2023/3/18 23:39:08)

桜花あさひ ◆> 下に何か履かなきゃだなぁ……んぅ、やっぱズボンの方がすきだなぁ…   (2023/3/18 23:39:15)

クレー> おかえりありがとう♪それじゃいってきまーす！(リュックからお着替えとりだしてお風呂場にとことこ駆けていくクレーでした)   (2023/3/18 23:39:30)

おしらせ> クレーさんが退室しました。  (2023/3/18 23:39:32)

堂領姫子> また会いましょうね、みちほ共々よろしくお願い致します   (2023/3/18 23:41:36)

後藤ひとり> 潜れば……見れますけどね……(見たら殺されそうですけど……)   (2023/3/18 23:42:00)

後藤ひとり> 見せパンとかありますからね   (2023/3/18 23:42:05)

堂領姫子> たしかにそうすれば見れますけど、たしかに後がこわそうです…   (2023/3/18 23:42:41)

