/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年11月15日 00時27分 ～ 2022年11月18日 19時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北ずん子> また二人でお話もさせてくださいね(ぎゅ　はふー   (2022/11/15 00:27:29)
クレー> クレーも何でも好きだけど、いちごのショートケーキが特に好きかなっ   (2022/11/17 19:48:07)

小春六花> 一番ベーシックでいいと思うよぅ   (2022/11/17 19:49:41)

クレー> 今日おでかけでケーキ見てきたからみんなどうなのかなって   (2022/11/17 19:50:11)

小春六花> あーね。私もよく見に行くなー。   (2022/11/17 19:52:12)

クレー> そうなんだっ   (2022/11/17 19:53:29)

小春六花> 美味しいカヌレとか求めたいからねぇ   (2022/11/17 19:54:04)

クレー> 小春おねえちゃんカヌレ好きなの？   (2022/11/17 19:54:38)

小春六花> 結構好きー   (2022/11/17 19:55:54)

クレー> コンビニのとか、カヌレアイスバーなら食べたことあるけどちゃんとしたのは1回くらいかも   (2022/11/17 19:58:24)

小春六花> ちゃんとした奴の美味しい奴を求めてるけど冷めちゃってるからかなかなかいいのには当たれないねぇ   (2022/11/17 19:59:31)

クレー> できたては難易度上がっちゃうね…   (2022/11/17 19:59:59)

小春六花> 外側のカリっと感がほしいんだけどねぇ   (2022/11/17 20:01:03)

クレー> カヌレの美味しいところだねっ♡   (2022/11/17 20:02:57)

小春六花> なかのもっちり感とのあれやそれが大事だよねー   (2022/11/17 20:03:40)

クレー> うんうんっ、そうだよねっ   (2022/11/17 20:04:20)

小春六花> 東京駅とかつい彷徨っちゃうよねー（小樽うんぬん）   (2022/11/17 20:06:40)

クレー> クレー、テイワットの人だから東京駅行ったことないけど…東京駅色々あるらしいねっ！渋谷駅でもクリスマスセールなんだって聞いたよ。カヌレはあまり売ってなかったかもって   (2022/11/17 20:10:35)

小春六花> かぬれはなかなかないねー。専門店は定数あるけど。   (2022/11/17 20:11:02)

クレー> そうなんだ。小春おねえちゃんがカヌレ好きだったなんて…今度クレーもよく見てみよっと   (2022/11/17 20:14:56)

小春六花> 公式設定はないから何が好きって言っても大丈夫大丈夫   (2022/11/17 20:15:58)

クレー> ほんとだ何も書いてなかった   (2022/11/17 20:17:43)

クレー> クレーもスイーツのことは特にまだ何も(本編で)言ってないから自由なんだ、えへへ   (2022/11/17 20:19:21)

小春六花> 公式二次創作ではヨーグルトが好きだから基本そっちに合わせてるんですけどね！（カメラ目線   (2022/11/17 20:19:44)

クレー> そうなんだっ   (2022/11/17 20:23:52)

小春六花> 公式が二次創作、小春六花です（？）   (2022/11/17 20:24:08)

クレー> クレーわかんないよ(ぴえん)   (2022/11/17 20:24:38)

小春六花> 私は実質１次創作兼２次創作兼三次創作の中間を漂うものってこと（？   (2022/11/17 20:26:02)

クレー> クレーの知らない世界っ   (2022/11/17 20:27:30)

小春六花> そうは言うけど、私たち合成音声組って大体ボイスと見ためだけで１次創作、そこから公式の解釈で作られた２次創作って感じの概念だからフィーちゃんとかも私と同じだよ。時々来てるアリアル号とか。   (2022/11/17 20:30:18)

クレー> 色んな人がベースから色んな小春おねえちゃんが生まれるんだね   (2022/11/17 20:32:50)

小春六花> まぁ、マスターだけの私を見つけてねってやつだかんねー   (2022/11/17 20:33:15)

クレー> 小春おねえちゃんに言って欲しいセリフとか勝手に作れるのか…♡   (2022/11/17 20:36:22)

小春六花> 私も作れるし、あなたの大好きなずんちゃんもしゃべられるよ？   (2022/11/17 20:37:01)

クレー> VOICEROIDすごい！   (2022/11/17 20:37:28)

クレー> というか、あなたの大好きなずんちゃんって…//小春おねえちゃん！そんなこと言わないでよっ♡   (2022/11/17 20:38:33)

小春六花> えー、大好きなんでしょー？   (2022/11/17 20:38:59)

クレー> ずん子お姉ちゃんがクレーのこと好きなんだよっ、(この後小声でぼそっと)クレーも好きだけど…   (2022/11/17 20:39:33)

小春六花> わー、のろけがおなかいっぱいだぁ（？   (2022/11/17 20:40:09)

クレー> 小春おねえちゃんの音声ソフトで「クレー大好きっ」って言わせちゃうっ   (2022/11/17 20:41:43)

小春六花> がんばれー。（それは私ではない私のため）   (2022/11/17 20:42:07)

クレー> ごろごろー(ソファの上で転がって転がって)   (2022/11/17 20:55:07)

おしらせ> アリアルさんが入室しました♪  (2022/11/17 20:55:11)

アリアル> やぁ、アリアルさんだよ。こんばんは   (2022/11/17 20:55:40)

小春六花> あ、ちょっと前に性的利用が公式によって規約OKになったと噂のアリアルだ   (2022/11/17 20:55:51)

クレー> こんばんはっ(手をふりふり)   (2022/11/17 20:56:04)

クレー> そ、そんなことあるんだ(えっ)   (2022/11/17 20:56:28)

小春六花> ちょいたんまつちぇーんじ   (2022/11/17 20:57:58)

おしらせ> 小春六花さんが退室しました。  (2022/11/17 20:58:01)

おしらせ> 小春六花さんが入室しました♪  (2022/11/17 20:58:21)

クレー> おかえりっ   (2022/11/17 20:58:43)

アリアル> 環境は移り行くものだね、すごいやつにも対応さ   (2022/11/17 20:58:49)

クレー> あれ？小春おねえちゃん？   (2022/11/17 21:07:07)

クレー> 小春おねえちゃんの方がアリアルお姉ちゃんのこと色々知ってるかもだから発言待っちゃった、クレーはまだいるからねっ   (2022/11/17 21:08:18)

小春六花> え、いやほら。まあ、そういうものだしなぁって？   (2022/11/17 21:11:08)

クレー> エッチなのって言ったら、クレー、前にログに残ってたフィーおねえちゃんのやつ見ちゃった   (2022/11/17 21:12:46)

クレー> あれは…うん、好きな人むけだねっ(罪のない笑顔)   (2022/11/17 21:13:24)

アリアル> ああ、こうやって対峙するのは初めてだよ。初めましてだ、小春君?   (2022/11/17 21:13:31)

小春六花> そーねー。改めてはじめましてー？   (2022/11/17 21:15:14)

アリアル> うむ、よろしくね。今は何かしたりしているのかい?   (2022/11/17 21:17:50)

クレー> クレーはアリアルおねえちゃん3回目くらいかな   (2022/11/17 21:17:56)

小春六花> ポケモンに向けて精神統一してる感じー？本当にポケモン動画作るとしたらどんな画面がいいのかなーとかぼんやり流してたりもしてるー。   (2022/11/17 21:18:56)

アリアル> ああ。以前はイノ君と一緒の時だったかな。変わりないようだね   (2022/11/17 21:19:00)

アリアル> そういえば明日、もといほんの3時間もしたらリリースだったね。動画も作るのかい？作るとしたらストーリーか、それとも対戦かい？   (2022/11/17 21:21:21)

小春六花> 対戦かなぁ……実況で他の人に埋もれながらストーリー進行とかしたら血を吐きそうじゃん（？）   (2022/11/17 21:21:53)

クレー> ストーリー進行って、なんかネタバレ規制がーって話題になってるけど大丈夫なのかな？あ、これも聞いたお話だよっ(クレーはテイワットにいるから)   (2022/11/17 21:23:29)

アリアル> ああ…確かに。特にポケモンみたいなコンテンツの初動は動画が溢れかえるからね…   (2022/11/17 21:23:33)

アリアル> 対戦となると…環境はテラスタルタイプの厳選がめざパの再来だとも言われているが、何かやりやすくなる仕様でもあればいいね   (2022/11/17 21:27:33)

小春六花> テラスタイプ厳選は流石にミントあると信じたいけどどうだろね……   (2022/11/17 21:30:51)

アリアル> 後天的に性質を変えられる道具が今はあるんだったね。それなら今のご時世だし流石に出てくるか。小春君は新作の環境で何か気になってることはあるかい？   (2022/11/17 21:34:23)

クレー> ごろごろー(再びソファの上を転がって転がって)   (2022/11/17 21:40:21)

小春六花> んー…どうだろ……とりあえずラキストンってガチグマにネームつけて遊びたいくらい？   (2022/11/17 21:46:06)

アリアル> ラキストン?…ああ、小春君の傍にいる…随分と立派な姿になって。しかもアルセウス時代のデータとはいえ結構強そうだこの子   (2022/11/17 21:52:14)

小春六花> いい性能もしてるよねー。ラキストン。茶色いくまだしぴったりかなぁ、って。　   (2022/11/17 21:52:38)

アリアル> 物理アタッカーに必要なものを無駄なく備えている感じだ…流石にこのサイズの熊は抱えられなさそうだけどね。どちらかと言えば抱えられる側かもしれない   (2022/11/17 21:55:54)

小春六花> 鈍足高耐久アタッカーとしていいもの持ってるよねー。無効タイプもあるし。   (2022/11/17 21:57:54)

アリアル> チョッキが続投なら特殊面もかなり固くなりそうだ。ドサイドンと比べると弱点が少ないしおまけに防弾まである。至れり尽くせりだね   (2022/11/17 22:00:50)

クレー> クレー、ちょっとお用事済ませてくるから一度出てくるね   (2022/11/17 22:02:29)

小春六花> 特性はどうなるかとかも楽しみなところだよね。専用技の扱いとか。   (2022/11/17 22:03:06)

クレー> もし、寝ちゃって戻ってこれないかもしれないからお先に、おやすみなさいっ2人とも   (2022/11/17 22:03:12)

クレー> それじゃまたね   (2022/11/17 22:03:38)

おしらせ> クレーさんが退室しました。  (2022/11/17 22:03:44)

小春六花> またねー   (2022/11/17 22:03:53)

アリアル> ん、お疲れ様だ   (2022/11/17 22:04:01)

アリアル> うんうん。ぶちかましは調整されるか地震でいいってなるか…ただそのまま来てもダブルでは強そうだ。   (2022/11/17 22:06:47)

小春六花> だからまぁ…いわゆる相棒枠としてもいいところ行ってるかなぁ…みたいなね。   (2022/11/17 22:07:06)

アリアル> ああ。恐らくだが強すぎはせず、しかし環境にも見劣りしない力はある…そんな風に、動画に添えるには実に良い立ち位置になりそうだ   (2022/11/17 22:09:44)

小春六花> そうそう……そういう感じだからちょっと参戦するにはいいタイミングかなぁとか思いつつ？   (2022/11/17 22:13:13)

アリアル> ボクも最近になって購買意欲が湧いてきてね。これを機にまた少しだけ環境も覗いてみるつもりさ   (2022/11/17 22:15:51)

小春六花> ちょうど明日からスタートダッシュできるしいいんじゃないかなぁ？   (2022/11/17 22:16:25)

アリアル> うむ。だからしばらくスプラのバイトからはお休みを貰って没頭するさ。小春君は最初の御三家は決まってるのかい？   (2022/11/17 22:17:40)

小春六花> ほげーたのよてい！   (2022/11/17 22:18:47)

アリアル> おぉ、ボクもだよ。あの子、進化後のビジュアルがかっこよくなりそうでね   (2022/11/17 22:21:17)

小春六花> スラっと下のようにガッチリしたやつのほうが好きなことに剣盾で気づいたからね……   (2022/11/17 22:22:01)

アリアル> あー、剣盾はそういうデザインの子が多かったかも？ゴリラとか、ワイルドエリアの面々とか…   (2022/11/17 22:24:06)

小春六花> 逆に御三家がゴリラ以外人っぽすぎたのがね……   (2022/11/17 22:24:40)

アリアル> …今思えば剣盾の御三家全員立ってるね。この流れだとニャオハも…   (2022/11/17 22:25:44)

小春六花> 立ち上がるまで1時間半っすなー……   (2022/11/17 22:27:51)

アリアル> 解禁が近いね。ふふっ、遠足前日みたいな気分かな   (2022/11/17 22:29:20)

小春六花> まあ、0時丁度からかはわかんないけどねー。   (2022/11/17 22:29:56)

アリアル> 確かにね。開幕鯖落ちする可能性もあるし、そうなったら復帰ないし配信まではお預けだぁ   (2022/11/17 22:31:23)

小春六花> 明日の朝一で遊べたらいいなぁ…、   (2022/11/17 22:31:46)

アリアル> だねぇ。発売直後の情報も何もない状態で歩くのが楽しみだ…   (2022/11/17 22:33:31)

小春六花> こう……何も知らない場所を歩くのいいよねぇ……オープンワールドだけど。   (2022/11/17 22:34:12)

アリアル> ああ。少し前のことになるがエルデン地方の探検は楽しかった…情報溢れる現代社会で知らない場所を行くのは貴重で尊い体験だよ   (2022/11/17 22:36:13)

小春六花> そっちはやってないけど、あぁいうのも楽しげだよねぇ……わたしつい調べちゃうけど。   (2022/11/17 22:36:55)

アリアル> 実に良いものだったよ。ブレワイとかも…まあボクもあんまり迷ったりすると調べたりはしてしまうんだけどね   (2022/11/17 22:38:41)

小春六花> 最近のゲーム高いから悩むやつはとりあえず調べちゃうよねー……   (2022/11/17 22:39:16)

アリアル> あー、8000円付近が基準だからねぇ。安いのでも6000円近くはするし…現場を考えると安すぎるのだろうけど、一消費者としては慎重になってしまうよね   (2022/11/17 22:41:02)

小春六花> そうそう……流石にぽんとするにはー…ってねー…   (2022/11/17 22:41:44)

アリアル> ボクも初動で買うのはよっぽどな有名タイトルか、同社で気に入った作品がある時くらいだ。そうじゃないのは様子を見て動画やレビューを漁る…というのが常套だね   (2022/11/17 22:43:24)

小春六花> そうそうー、私もそんな感じかなぁ……。   (2022/11/17 22:45:42)

アリアル> ただ発売から時間が経つとセールの対象にもなったり。新鮮さこそ得られないが良いこともある…もっともセールで買うと今度は複数品買って積みやすくもあったりするのだが   (2022/11/17 22:48:32)

小春六花> それはそれであるんだよねぇ……安売りされてるなら買ってもいいってレビューのタイトルの多いコト……   (2022/11/17 22:50:35)

アリアル> まあ一度手に取れば楽しめるから良いには良いのだけど…ふぅむ。根本的に物価に対して実入りが少ないというのも…(現代社会の闇)   (2022/11/17 22:54:04)

小春六花> これはもう、ゲームとして粗製濫造追加商法で乗り切ろうとするゲーム開発側が悪いのかどうかなんだよねぇ……。   (2022/11/17 22:57:33)

アリアル> そういう場所もまだ結構あるんだよなぁ、彼らも悪い物を作ろうとしているわけではないのは分かるのだが…やはりそういうものを掴まされてしまうと悲しい気持ちになってしまうよ   (2022/11/17 23:00:47)

小春六花> Steamとかあるあるだねー。最近は大企業もそゆことあるし。   (2022/11/17 23:03:50)

アリアル> simulatorシリーズなんかそういう面で有名だねぇ。まあでも…ポケモンでしばらくは遊ぶものには困ら無さそうだ(ソファに体重を預けて寛ぎ)   (2022/11/17 23:05:59)

小春六花> 少なくとも一月くらいはガッツリ遊べそうなのよね……   (2022/11/17 23:06:34)

アリアル> その後も任天堂関連の新作でやっていけそう…かなぁ。あとはオータムセールで蓄えたsteamゲーとか   (2022/11/17 23:07:54)

小春六花> そうそう……来年には吉田なとき新作だよ……？   (2022/11/17 23:24:21)

アリアル> うん？吉田？   (2022/11/17 23:28:41)

小春六花> そうそう、我らがよしだぁ!!の新作、FF16だよ。   (2022/11/17 23:29:20)

アリアル> ああ。FF…有名ながら無縁なのだよな…悪くないとは聞くが   (2022/11/17 23:31:20)

アリアル> さて…日が変わるまであと少しだ。すまないが今日はこの辺りでお暇するよ。またね、小春君   (2022/11/17 23:39:26)

おしらせ> アリアルさんが退室しました。  (2022/11/17 23:40:08)

おしらせ> クレーさんが入室しました♪  (2022/11/17 23:41:28)

クレー> ただいまっ   (2022/11/17 23:42:01)

クレー> あ、アリアルお姉ちゃんと入れ違いになっちゃった・・・   (2022/11/17 23:42:36)

クレー> （とりあえず、リビングに上がると小春お姉ちゃんはいるけどクレーはちょっとある実験中なのでそろりそろりと歩いて。）   (2022/11/17 23:48:27)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/11/17 23:54:21)

クレー> よし、そしたらスクロースお姉ちゃんからもらったこのお薬飲んでみよっと・・・（モンドに戻った時にスクロースからもらったお薬を飲んでみる・・・するともくもくとあたりが立ち込めて）わぁ！   (2022/11/17 23:54:53)

おしらせ> クレーさんが退室しました。  (2022/11/17 23:54:58)

おしらせ> 七七さんが入室しました♪  (2022/11/17 23:56:02)

七七> あう・・・（姿が自分の知らない同じような容姿になって）   (2022/11/17 23:57:52)

七七> なるほど…こんな感じなのか…（意識はクレーだがなぜか口調が自分じゃないようになってしまい）よし…（再び戻るようのお薬を口にすると…）   (2022/11/18 00:00:44)

おしらせ> 七七さんが退室しました。  (2022/11/18 00:01:00)

おしらせ> クレーさんが入室しました♪  (2022/11/18 00:01:03)

クレー> おおー、戻れたっ。良かったっ(ホッと一息ついて)なんとなくわかったけど…ノートに残っちゃってるかも。知らない人が見たらびっくりするよね。(誰もいないけど)ごめんなさい！…よし、これで大丈夫だっ   (2022/11/18 00:04:12)

クレー> じゃあ、クレーもモンドに帰ろうかな。流石に誰もこないよね…？(時間を確認してきょろきょろ)ちよと待ってから、誰も来なかったらいこっ   (2022/11/18 00:13:45)

クレー> だれもこなそうかな…よしっ、じゃあクレーはモンドに返ってねる！おやすみなさい   (2022/11/18 00:29:16)

おしらせ> クレーさんが退室しました。  (2022/11/18 00:29:26)

おしらせ> フィーさんが入室しました♪  (2022/11/18 16:32:02)

おしらせ> クレーさんが入室しました♪  (2022/11/18 16:38:20)

クレー> こ、こんばんは？   (2022/11/18 16:38:30)

フィー> こんばんはです。   (2022/11/18 16:38:40)

クレー> あー、フィーおねえちゃん♡久しぶりだねっ   (2022/11/18 16:39:03)

フィー> ひさしぶりですね。   (2022/11/18 16:39:43)

クレー> 最近フィーおねえちゃん見かけないからクレー心配しちゃった…♡(ぎゅっと思いっきり抱きついて)   (2022/11/18 16:40:47)

フィー> まぁ、最近はあまり来れてませんでしたしね…もともとあまり頻繁に来る質ではありませんが   (2022/11/18 16:41:38)

クレー> 好きな時に来るのが1番だよっ、えへへ   (2022/11/18 16:43:11)

クレー> クレーはむしろ訪れすぎくらいかな…   (2022/11/18 16:43:27)

フィー> 悪いことじゃないと思いますよ？（よしよし   (2022/11/18 16:44:21)

クレー> えへへ、ありがとっ♡   (2022/11/18 16:45:11)

クレー> クレーあれから色んなことあって…衣乃おねえちゃんからもお誘いされちゃったの…♡(ちょっと照れ気味で)   (2022/11/18 16:46:04)

フィー> いいですねぇ。いっぱいいろんな人と遊んでくださいね？   (2022/11/18 16:46:25)

クレー> 今は衣乃おねえちゃんから色々おしえてもらってるの…♡(ぽふっとフィーおねえちゃんにもたれかかって)   (2022/11/18 16:49:25)

フィー> そうなんですか。イイこと一杯教えてもらえそうですか？   (2022/11/18 16:50:14)

クレー> うん…！でもね「もう少し積極的になって女の子にアタックしてみましょう♡」って言われたの   (2022/11/18 16:51:25)

クレー> フィーおねえちゃん…？(もたれかかったまますりすりとしてみて下からのぞき込むように)   (2022/11/18 17:00:54)

フィー> んぅ、少々うとうとしてました…   (2022/11/18 17:04:00)

フィー> あたっくですか、いいですねぇ   (2022/11/18 17:04:19)

クレー> 大丈夫…？お疲れだった？(ちょっと心配そうにみつめて)、クレー炎元素が使えるの。だからあっかいのかも？でも…フィーおねえちゃんにくっついてるからもっとあたたかいのかもね♡えへへ(すりすりっ)   (2022/11/18 17:08:12)

フィー> 炎元素ですか。たしかにあったかいです…（むぎゅー   (2022/11/18 17:09:26)

クレー> えへへ、フィーおねえちゃんお疲れかもだしゆっくりお話して大丈夫だからね。(ぎゅう♡)   (2022/11/18 17:10:09)

フィー> ありがとうございます。多少はしたい気持ちはあるんですけどね…   (2022/11/18 17:14:46)

クレー> したい…？クレーと…？   (2022/11/18 17:15:43)

クレー> クレーはフィーおねえちゃんとならいいよ…？はーとか   (2022/11/18 17:17:41)

クレー> にゃっ！間違えたっ…♡ね   (2022/11/18 17:17:56)

フィー> ええ、フィーもだいじょうぶですよ（むぎゅぅ   (2022/11/18 17:19:29)

クレー> わ…♡どうしよう…どきどきしてきちゃった…(ちょっと顔赤くなって)   (2022/11/18 17:20:19)

クレー> フィーおねえ…ちゃん♡(どきどきしながら…目をうるっとさせてフィーおねえちゃんをみつめて)どうする…？//   (2022/11/18 17:22:12)

フィー> どういうことしたいですか…？（耳元にささやいて）   (2022/11/18 17:22:50)

クレー> あぅ…♡フィーおねえちゃんともっとドキドキなことしたい…♡ここでする…？それとも奥のお部屋いく…？♡   (2022/11/18 17:24:14)

フィー> フィーはここでもいいですよ？（ぎゅーと抱きしめて持ち上げちゃって）   (2022/11/18 17:24:49)

クレー> えへへ…フィーおねえちゃんだいたん♡(てれてれと)   (2022/11/18 17:25:21)

フィー> 奥の方がいいならそれでもかまいませんが、ね。   (2022/11/18 17:27:00)

クレー> フィーおねえ…ちゃん♡(すっと目を閉じてキス顔でフィーにむけてキス待ちで//)   (2022/11/18 17:27:08)

フィー> んっ…♡（ちゅ、とキスしちゃって）   (2022/11/18 17:27:59)

クレー> ちゅっ……♡えへへ//ちゃんとキスしちゃった…//きっとクレーとフィーおねえちゃんがイチャイチャしてるのノート(過去ログ)で見ちゃったら鼻血だしてこーふんしちゃうかな？えへっ。でも…クレーは大丈夫だよ…？前から優しくしてくれたフィーおねえちゃんのこと好きだったもん…♡
  (2022/11/18 17:30:02)

クレー> もっとして…ぇ…♡ちゅっ♡   (2022/11/18 17:30:50)

フィー> そんな鼻血とか出す人いますかね…？（ちゅ、ともう一回キスすると今度は舌入れちゃって。くちゅりと舌同士を絡め合わせちゃって）   (2022/11/18 17:32:42)

クレー> 衣乃おねえちゃんならたぶん…♡えへへ。あにゃ…//ちゅっ、ぺろっ(舌が入ってきて応えるように小さなお子様舌を絡ませて)   (2022/11/18 17:34:26)

フィー> ふむむ…（んくっちゅ、とようやく舌を離して。）さてさて…（ソファに抱きしめながら一緒に寝転がり   (2022/11/18 17:35:41)

クレー> わぁっ…♡(抱きしめられながら一緒に寝転がって)フィーおねえちゃん…？♡(どきどきしながらフィーに目線を送って)   (2022/11/18 17:36:45)

フィー> 何ですか？（全身そっと愛撫し始めて）   (2022/11/18 17:38:52)

クレー> はぁ…ぁ…♡なでなで気持ちいい…♡(お帽子をとってポイッと)フィーおねえちゃんとぎゅうしてるの好きっ♡フィーおねえちゃんはクレーのこと好き…？小春おねえちゃんはクレーはこどもだから対象外ってフラれてるんだけど…フィーおねえちゃんは会った時からクレーに優しくしてくれてたから…どうなのかなって…？(フィーの顔をみつめながら…)
  (2022/11/18 17:41:59)

フィー> フィーは好きですよ？えっちなことの対象かに関しては…割とギリギリなところはありますけど。（そっと下着越しに秘部撫でてあげて）   (2022/11/18 17:43:57)

クレー> んんっ…♡(触られてびくっと反応して)そっかぁ…♡でもぉ、クレーもただの子供じゃないところ…フィーおねえちゃんにみせてあげないと…んにゃあ！(どきどきしてるからより敏感に感じて)   (2022/11/18 17:46:07)

フィー> そうですね、一杯教えてくださいね？（みみもとでくすりと笑うと、そのまま愛撫は続けちゃって…）   (2022/11/18 17:51:07)

クレー> んんっ…♡はぁ…ぁ…でもぉ…クレーは…前からぁ…フィーおねえちゃんとしてみたかったの…♡あんっ♡クレーフィーおねえちゃんのこと…好きだから//んにゃ♡(余裕もなくただフィーに身体をゆだねちゃって好きな人に触ってもらえることが嬉しくて顔を赤くしながらびくりと快感を堪能しちゃって)
  (2022/11/18 17:54:11)

フィー> そう言ってくれてうれしいです…♡（もう片方の手を服に突っ込んで、直接乳首を撫で。下着に手を入れるとクリトリスに触れて、その手を軽く振動させ）   (2022/11/18 17:55:14)

クレー> ああっ！///フィーおねえちゃん…♡手を入れてきてりゅ…♡あぅ…♡クレーおっぱいまだ大きくないから…ぺちゃんこだけど…//もっとさわっていいよっ…んにゃあ♡♡フィーおねえ…ちゃん♡フィーおねえ…ちゃん♡んんっ！   (2022/11/18
17:57:29)

クレー> フィーおねえ…ちゃ…ん？♡(びくびくとしながらフィーの顔をうっとりとみつめて)うとうとなの…？クレーあったかいから…想像しちゃったら眠くなっちゃった…？♡クレーのこと抱っこして、クレーのえっちなとこ触ってうとうとしてるフィーおねえちゃんも可愛いね//
  (2022/11/18 18:06:48)

フィー> んっ、大丈夫、ですよ…♡（くりくりっと乳首とクリトリス弄って。だんだん震える力強くしながら、耳をはむりとしゃぶっちゃって。）いっぱい気持ちよくなってくださいね…【すみません、送信できてなかった】   (2022/11/18 18:08:14)

クレー> くるん…くるん…♡(フィーの結びから垂れてる髪の毛を小さな指で弄って)えへへ、フィーおねえちゃんのここ好き♡   (2022/11/18 18:08:28)

クレー> にゃああ……！♡♡すごっ…//フィーおねえ…ちゃん♡ああっああっ…♡フィーおねえちゃ…ああああっ！！(びくびくっと軽くイってしまって♡)   (2022/11/18 18:10:32)

フィー> イっちゃいましたね…♡（そのまま、今度はすじのほうを撫で、軽く指入れちゃって…）   (2022/11/18 18:11:34)

クレー> ぁぅ……///ふぇ…？♡フィーおねえ…ちゃん？(指が入って来たのを感じて)んんっ…ぁぁ…♡なんかきたぁ…♡   (2022/11/18 18:12:55)

フィー> クレーさんは中まであったかいですね・・・♡（Gスポットのやわらかいところをぐっと押し込んじゃって）   (2022/11/18 18:13:55)

クレー> クレーのこと…もっと好きになったぁ…？♡(顔を赤くしてうるうるの目でみつめて)フィーおねえちゃんの触り方すきっ…♡あんっ…♡   (2022/11/18 18:14:10)

フィー> はい、もちろんですよ♡（ほっぺにチュッとキスして、ぐりぐりとさらに押し込み。そのまま振動を加えちゃって）   (2022/11/18 18:14:56)

クレー> ああっ///フィー…おねえ…ちゃ…ん！(振動が気持ちよくて悶えながらフィーおねえちゃんにだきついて)んんんっ…♡はぁ…ぁ…♡フィーおねえ…ちゃん♡あうっ！//   (2022/11/18 18:17:55)

フィー> はい、フィーはここにいますよ…♡（さらにイっちゃうようにくにくにと膣内マッサージしちゃって）   (2022/11/18 18:18:53)

クレー> ああああっ！////フィーおねえ…ちゃんすきっ…♡ずっといっしょ…//あう…♡クレーもうだめぇ…♡♡(振動の波動がクレーに気持ちよくあわさってだきつきながら)フィーおねえ…ちゃん…大好きっ…！！んにゃああああああ！！！♡♡(そのまま激しく痙攣イキしちゃう♡)
  (2022/11/18 18:21:33)

フィー> ふふふ…気持ちよかったですか？（くすっと笑うと、そのままゆっくり手を引き抜いて）   (2022/11/18 18:22:21)

クレー> うん…♡クレーばっかり気持ちよくなってごめんね…？はぁ…ぁ…フィーおねえちゃんに見守られながら、されるのどきどきして身体もどんどん気持ちよくなっちゃった…♡えへへ…//   (2022/11/18 18:23:33)

フィー> 大丈夫ですよ。私も楽しかったですし。   (2022/11/18 18:24:49)

クレー> フィーおねえちゃん大好き…ちゅっ…(フィーおねえちゃんのお顔に近づいて両手でほっぺ抑えながらちゅっとキス)   (2022/11/18 18:26:21)

フィー> ふふ、ありがとうございます。（うれしそうに笑い）   (2022/11/18 18:27:38)

クレー> フィーおねえちゃんのほっぺって…やわらかいよね…ぷにぷに…♡えへへ…クレーとえっちなこと…しちゃったね…？(えへっと照れながら)   (2022/11/18 18:29:02)

クレー> そういうば…フィーおねえちゃんって…その…生えてる女の子なんだっけ…？(チラッとフィーの下半身を見て)   (2022/11/18 18:30:15)

フィー> デフォルトだと生えていないんですけど、アンドロイドなので好きにできるんですよね。   (2022/11/18 18:31:32)

クレー> ああっ、そうなんだっ//変なこと聞いちゃった…♡忘れてっ//   (2022/11/18 18:32:08)

フィー> いえ、大丈夫ですよ。（こくん   (2022/11/18 18:32:41)

クレー> はぁ…ぁ…クレー気持ちよくて…♡フィーおねえちゃんにも気持ちよくなってもらいたかったの…♡どんなフィーおねえちゃんも好きだからねっ♡ぎゅっ   (2022/11/18 18:34:00)

フィー> ありがとうございます。とはいえ、するならまた今度ですかね・・・   (2022/11/18 18:36:07)

クレー> クレーももうすぐご飯なの…   (2022/11/18 18:36:21)

クレー> ふふっ…フィーおねえちゃんがクレーともっとしたくなってるみたいでうれしいっ♡   (2022/11/18 18:36:44)

クレー> 会いたいと思う楽しみが増えてクレーうれしいっ。それじゃ一度お部屋出るね…♡フィーおねえちゃんありがとう！大好きだよ…♡ちゅっ…♡えへへ、またね(にこにこと照れながら笑顔を浮かべて)   (2022/11/18 18:38:26)

フィー> はーい。フィーはもうすこしのんびりしてますね…（行ってらっしゃいと見送り）   (2022/11/18 18:38:58)

おしらせ> クレーさんが退室しました。  (2022/11/18 18:39:04)

おしらせ> 東北ずん子さんが入室しました♪  (2022/11/18 18:46:44)

東北ずん子> はふー、こんばんはー(くてーっともたれて   (2022/11/18 18:47:07)

フィー> こんばんはです。お疲れですか？（ソファでのんびりたいむ）   (2022/11/18 18:47:30)

東北ずん子> はいー、気力を為に来ましたっ(そのままソファに座るフィーさんに飛び込もうと近づいて   (2022/11/18 18:48:36)

