/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年03月16日 20時53分 ～ 2018年03月30日 01時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

吉川ちなつ> こんばんは～   (2018/3/16 20:53:37)
おしらせ> 九条カレンさんが入室しました♪  (2018/3/24 21:13:54)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/24 21:34:10)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/24 21:34:59)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/24 21:55:58)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/25 05:39:34)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/25 05:59:58)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/25 06:01:34)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/25 06:21:51)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/25 07:32:41)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/25 07:33:25)

九条カレン> おはようデス   (2018/3/25 07:33:57)

ガヴリール> あぁ、おはよ。昨日は来られなくて悪かったな。   (2018/3/25 07:34:34)

九条カレン> 大丈夫デスよ   (2018/3/25 07:34:57)

ガヴリール> じゃあ、私はネトゲでもするか…(カタカタとPCを   (2018/3/25 07:37:35)

九条カレン> え？わざわざここでデスか？   (2018/3/25 07:38:13)

ガヴリール> ん？まぁ、日課というか。私の生命線だし？(放ったらかしのまま)   (2018/3/25 07:39:51)

九条カレン> そ、そこまでデスか…凄いデス   (2018/3/25 07:40:23)

ガヴリール> そういうこと。(カタカタ)   (2018/3/25 07:42:13)

九条カレン> な、なるほど。了解デス   (2018/3/25 07:44:58)

ガヴリール> …(ジーッ)   (2018/3/25 07:45:38)

九条カレン> …？   (2018/3/25 07:47:09)

ガヴリール> 何ボケーッとしてるんだよ？   (2018/3/25 07:48:17)

九条カレン> え？な、何の事デスか？   (2018/3/25 07:49:04)

ガヴリール> 私はネトゲしてるけど、お前は何もしないのか？   (2018/3/25 07:50:06)

九条カレン> と、特にやることはないデス   (2018/3/25 07:50:46)

ガヴリール> ふーん…(ジーッ) てっきりナンパ待ちかと思ってたけど。   (2018/3/25 07:51:38)

九条カレン> それじゃあ私がだだのチャラい人デスよ   (2018/3/25 07:52:52)

ガヴリール> チャラいというか…エロい？   (2018/3/25 07:53:49)

九条カレン> ！？…////別にエロくもないデス///   (2018/3/25 07:54:43)

ガヴリール> だって、その制服の着方とか。(ジーッ) なんとなーくエロく見える。   (2018/3/25 07:56:14)

九条カレン> そんなふうに見えマスか？   (2018/3/25 07:57:55)

ガヴリール> 何となくだけどな。ちょっとクルッて回ってみろよ？   (2018/3/25 07:59:18)

九条カレン> ハーイ(くるっと回って)   (2018/3/25 08:00:31)

ガヴリール> うん、やっぱりエロいな。へそ一瞬見えた。   (2018/3/25 08:02:08)

九条カレン> そ、sorry次から気をつけるネ？(前にもこんなことあった？と思いつつ)   (2018/3/25 08:03:08)

ガヴリール> いや、別にいいよ。っていうか、話進んでないし。   (2018/3/25 08:05:00)

九条カレン> そうデスか？分かりました   (2018/3/25 08:05:41)

九条カレン> 【いますか？】   (2018/3/25 08:12:54)

ガヴリール> 【居ますよ♪】   (2018/3/25 08:13:34)

九条カレン> 【よかったです。返信遅いので心配しちゃいました】   (2018/3/25 08:14:20)

ガヴリール> あっ、もう。さっさとヒールしろよ。(カタカタ) 天に送るぞ。クソが。、   (2018/3/25 08:14:54)

九条カレン> ……？？   (2018/3/25 08:16:18)

ガヴリール> 役に立たないパーティだなぁ。(ネトゲの話をしている模様)   (2018/3/25 08:17:39)

九条カレン> あー、ゲームデスか…(じーっと眺めて)   (2018/3/25 08:19:12)

ガヴリール> …お前は何もしないのか？(チラリとカレンを見て)   (2018/3/25 08:20:44)

九条カレン> とくに何か持ってきてないデスから…   (2018/3/25 08:21:51)

ガヴリール> 部屋に来た奴で遊ぶって訳か？(意味深)   (2018/3/25 08:23:28)

九条カレン> だからそれじゃあ私がただの変態デス…//   (2018/3/25 08:24:40)

ガヴリール> なんで少し照れてるんだよ。(ジーッ) 違うのか？いつもあの中学生となんな事やこんな事してたみたいだけど？   (2018/3/25 08:26:54)

九条カレン> だからなんでガヴリールがそれを知ってるんデスか？…///   (2018/3/25 08:27:55)

ガヴリール> ん？あの中学生が楽しそうに話してたからな。変態め。   (2018/3/25 08:28:40)

九条カレン> 他人に話していい内容じゃないデスよぉ   (2018/3/25 08:29:48)

ガヴリール> で？私、アイツからカレンが会いたがってるって聞いて来たんだけど。このままずっとネトゲしてるの見てる気か？   (2018/3/25 08:30:42)

九条カレン> いや…まあそうなんデスが…邪魔したら怒られそうデスから…   (2018/3/25 08:32:27)

ガヴリール> 邪魔ならここまで来てないって…。私はあの中学生みたいに絡めないぞ？   (2018/3/25 08:33:15)

九条カレン> 本当デスか？   (2018/3/25 08:34:14)

ガヴリール> 本当だって、疑り深いなぁ。ただ私はアイツみたいにベタベタするのは性に合わないんだよ。   (2018/3/25 08:35:57)

九条カレン> 了解デス…じゃあ遠慮なく…///(隣に座って)   (2018/3/25 08:39:06)

ガヴリール> 言ったそばから来るんだな。まぁ、いいけど。もし私が来て早々「きカレンちゃん今日も可愛いね、チューしよ♪」とか言ったら変だろ？   (2018/3/25 08:40:50)

九条カレン> 確かに変デスね…(なるほど納得して)   (2018/3/25 08:42:21)

ガヴリール> だろ。だからお前から「カレンにエッチな事してください」って言ってくれなくちゃ困るんだよ。   (2018/3/25 08:43:49)

九条カレン> sorryデス(しゅん)   (2018/3/25 08:44:45)

九条カレン> じゃ、じゃあ今から出来るデスか？   (2018/3/25 08:45:02)

ガヴリール> そこは否定しろよ…。いや、良いんだけど。出来るって、エロい事か？   (2018/3/25 08:45:37)

九条カレン> ハイ…大丈夫デスか？   (2018/3/25 08:46:55)

ガヴリール> 突然積極的になったな…。いいよ。部屋作って来るわ。   (2018/3/25 08:48:02)

九条カレン> ハイ   (2018/3/25 08:48:41)

ガヴリール> 作ったぞ。いつでも来い。   (2018/3/25 08:49:12)

九条カレン> 了解デス   (2018/3/25 08:50:05)

おしらせ> 九条カレンさんが退室しました。  (2018/3/25 08:50:07)

おしらせ> ガヴリールさんが退室しました。  (2018/3/25 08:50:25)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/25 15:34:37)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/25 15:54:53)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/25 15:58:17)

おしらせ> 九条カレンさんが退室しました。  (2018/3/25 16:15:40)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/26 06:45:39)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/26 07:05:51)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/26 07:06:00)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/26 07:26:33)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/26 07:45:05)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/26 07:49:29)

九条カレン> グッドモーニング～   (2018/3/26 07:49:43)

ガヴリール> ああ、おはよう…朝から元気だな。   (2018/3/26 07:50:25)

九条カレン> 元気なのが私の取り柄デス！   (2018/3/26 07:51:04)

ガヴリール> 元気が取り柄ねぇ…。あのバカ悪魔を思い出すな。まぁ、アレと一緒は流石にカレンが可哀想か。   (2018/3/26 07:51:58)

九条カレン> 悪魔…デスか？なんの話デス？   (2018/3/26 07:52:47)

ガヴリール> いや、こっちの話だ。救いようのないバカが知り合いにいるってだけ…。   (2018/3/26 07:53:54)

九条カレン> そ、そうなんデスか？   (2018/3/26 07:55:01)

ガヴリール> そうそう。で、今日は平日だけどどうする？   (2018/3/26 07:56:46)

九条カレン> 1時間ぐらいしかないデス   (2018/3/26 07:57:14)

ガヴリール> 微妙だな…。話くらいは付き合うけど。夜にでも来ようか？   (2018/3/26 07:58:34)

九条カレン> ハイ！そうデスね   (2018/3/26 07:58:54)

ガヴリール> 分かったよ。無理になってもなるべく連絡残しとくよ…。   (2018/3/26 07:59:40)

九条カレン> OKデス！   (2018/3/26 07:59:55)

ガヴリール> それじゃ、私はネトゲといきますか。春休みは最高だな。   (2018/3/26 08:00:32)

ガヴリール> 【なお中の人に春休みはない模様…悲 ではまたです♪】   (2018/3/26 08:01:02)

九条カレン> 【はい】   (2018/3/26 08:01:21)

おしらせ> ガヴリールさんが退室しました。  (2018/3/26 08:01:28)

おしらせ> 九条カレンさんが退室しました。  (2018/3/26 08:01:58)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/26 13:52:44)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/26 14:18:21)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/26 19:10:12)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/26 19:30:22)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/26 19:37:56)

ガヴリール> 20時くらいに帰れると思うから…   (2018/3/26 19:39:10)

おしらせ> ガヴリールさんが退室しました。  (2018/3/26 19:39:13)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/26 20:02:05)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/26 20:20:35)

九条カレン> sorryお風呂デした   (2018/3/26 20:20:51)

おしらせ> 無言時間が20分を超えたため、ガヴリールさんが自動退室しました。  (2018/3/26 20:22:11)

おしらせ> 博麗倭さんが入室しました♪  (2018/3/26 20:23:21)

九条カレン> 【えーと。こんばんは？】   (2018/3/26 20:24:21)

博麗倭> ムラムラしてんだやろうぜ (身勝手の極みを使いちんこMAX   (2018/3/26 20:24:25)

九条カレン> 【すいませんここは百合部屋です】   (2018/3/26 20:24:56)

博麗倭>  つれないぜ( 九条カレンのケツ穴に入れ   (2018/3/26 20:25:44)

博麗倭> うっうっうっうっうっはははははははっはっはっはっ   (2018/3/26 20:26:22)

おしらせ> 九条カレンさんが退室しました。  (2018/3/26 20:26:25)

博麗倭> 早濡だ許せ( ぴゅぴゅゅゅゅゅゅゅゅゅゅゅゅゅゅゅゅゅゅ   (2018/3/26 20:27:37)

博麗倭> ブロリーも誘ってやるか (ちんこフキフキどぴゅん   (2018/3/26 20:29:47)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/26 20:30:04)

おしらせ> ガヴリールさんが退室しました。  (2018/3/26 20:30:15)

おしらせ> 無言時間が20分を超えたため、博麗倭さんが自動退室しました。  (2018/3/26 20:49:56)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/26 20:50:27)

九条カレン> 【sorry…また待機デス】   (2018/3/26 20:50:43)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/26 20:58:51)

九条カレン> 【こんばんはデス】   (2018/3/26 20:59:46)

ガヴリール> 【こんばんは〜 結局21時になっちゃったね。汗】   (2018/3/26 21:00:14)

九条カレン> 【ごめんね？ご飯と下の荒らしとかで忙しくて】   (2018/3/26 21:01:04)

ガヴリール> 【いえいえ、じゃあ先に移動しておく？】   (2018/3/26 21:01:53)

九条カレン> 【お願いしていい？】   (2018/3/26 21:02:05)

ガヴリール> 【はいな〜。立てたのでいつでもどうぞ。】   (2018/3/26 21:03:14)

九条カレン> 【ありがとう。】   (2018/3/26 21:03:38)

おしらせ> 九条カレンさんが退室しました。  (2018/3/26 21:03:41)

おしらせ> ガヴリールさんが退室しました。  (2018/3/26 21:03:45)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/27 06:20:58)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/27 06:24:51)

九条カレン> Good morning～   (2018/3/27 06:25:10)

ガヴリール> おはよ…相変わらず早起きだな。   (2018/3/27 06:25:15)

九条カレン> えへへ…ガヴリールも早いデスよ   (2018/3/27 06:26:12)

ガヴリール> ギリギリ起きてたって感じだな。昨日は最後の最後に寝落ちしたからな。   (2018/3/27 06:27:34)

九条カレン> 大丈夫デスよ♪   (2018/3/27 06:28:13)

ガヴリール> ん、今日はどうする？また私でいいのか？   (2018/3/27 06:28:51)

九条カレン> もちろんデス…他にやりたい子とかいるデスか？   (2018/3/27 06:30:23)

ガヴリール> いや、一応聞いただけ。っていうか私みたいなちんちくりんでいいのかと。   (2018/3/27 06:31:34)

九条カレン> 身長は関係ないデスよ？それか私がガヴリールと同じ位の身長の子呼びますか？   (2018/3/27 06:34:51)

ガヴリール> いや、別にいいよ。ちんちくりんだし、あんま積極的じゃなちし…なんか自分で言ってて虚しくなってきたわ…(ズーン)   (2018/3/27 06:35:55)

九条カレン> そ、そんなに落ち込む必要はないデス   (2018/3/27 06:36:28)

ガヴリール> オウ…(ドヨーン) じゃあ、移動するか？   (2018/3/27 06:38:15)

九条カレン> ハイ♪   (2018/3/27 06:38:22)

ガヴリール> いつでもいいぞ。   (2018/3/27 06:39:20)

九条カレン> はーい   (2018/3/27 06:39:40)

おしらせ> 九条カレンさんが退室しました。  (2018/3/27 06:39:42)

おしらせ> ガヴリールさんが退室しました。  (2018/3/27 06:40:08)

おしらせ> マナトさんが入室しました♪  (2018/3/27 09:58:08)

マナト> 弥勒寺優夜 >
か弱いねえ…さっきの威勢はどうした？へへ…(朦朧としているありすの頬を、べろ…と可愛がるように舐めながらも、両手でその胸をマッサージのように揉み揉みと揉みしだいては)何を…決まってんだろ？へへ…言ったじゃねえか、大人にしてやるってな…はーい…初めてのチンポ入りまーす…ってな(軽く反応し、ひくついているその割れ目に押し当てられた先端が、そう宣言すると胃共に、ぐっ…と押し込められ、先端から徐々に、膣内へと挿入されていってしまい)
  (2018/3/27 09:58:12)

おしらせ> マナトさんが退室しました。  (2018/3/27 09:58:19)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/27 13:18:11)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/27 13:38:13)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/27 21:12:32)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/27 21:32:51)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/3/27 23:51:09)

リグル・ナイトバグ> (部屋の中へと入り、リビングにあるソファ…へ行く前に暖かなお茶を用意してから戻って来るとソファにぽすんっと座り)結構久しぶりにお邪魔する……のかな？相変わらず感覚が良く分からなくなっちゃってるっていうね。(お茶を一口飲んでから、はふっと息を吐いて)
  (2018/3/27 23:52:50)

リグル・ナイトバグ> (お茶を置いて、クッションを抱きながら誰かに会えるかなって思いつつも期待半分くらいに抑えておいて)……ん、それにしても。…時が経つのが速い気がするね本当。(むーっと唇を尖らせて)   (2018/3/28 00:01:39)

リグル・ナイトバグ> (お話のネタは相変わらず思いつかない。そしてそろそろ1時になるんだねと時計を見つつクッションを抱えて足をぶらぶらぶらと)   (2018/3/28 00:53:35)

リグル・ナイトバグ> 良い時間だしそろそろ帰っておこう…っと   (2018/3/28 01:09:52)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/3/28 01:09:55)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/28 06:41:26)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/28 06:47:39)

ガヴリール> おはよ…   (2018/3/28 06:49:04)

九条カレン> おはようデス！   (2018/3/28 06:49:09)

ガヴリール> 今日はちょっと朝から忙しくてな…少ししか話せないなわ   (2018/3/28 06:50:19)

九条カレン> 大丈夫デス。お疲れ様ネ？   (2018/3/28 06:50:59)

ガヴリール> サンキュ、良かったらまた夜に来ようか？   (2018/3/28 06:52:02)

九条カレン> お願いするデス。今はどうしますか？   (2018/3/28 06:52:23)

ガヴリール> そうだな…ギリギリになったらヴィーネに怒られるからさっさと準備することにするわ…【家事とかやっておきたいので…今朝は落ちます。ゴメンナサイっ。】   (2018/3/28 06:53:55)

九条カレン> 大丈夫デス。頑張ってください！【大丈夫だよー。また夜ね】   (2018/3/28 06:55:07)

ガヴリール> おう、行ってくるわ。【また来ますね♪】   (2018/3/28 06:55:41)

おしらせ> ガヴリールさんが退室しました。  (2018/3/28 06:55:43)

九条カレン> バイバイ～//【私もまた夜にー】   (2018/3/28 06:56:26)

おしらせ> 九条カレンさんが退室しました。  (2018/3/28 06:56:28)

おしらせ> マシュ・キリエライトさんが入室しました♪  (2018/3/28 20:54:20)

マシュ・キリエライト> （環境をデフォルトのリビングルームに設定します。少し散らかっているようですので、片づけを念入りに実行します）   (2018/3/28 20:55:35)

マシュ・キリエライト> （少女掃除中……ゲームのロード画面のような気分になるのはなぜでしょう）   (2018/3/28 21:01:52)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/28 21:08:40)

マシュ・キリエライト> ふわっ！？　こ、こんばんは   (2018/3/28 21:08:54)

ガヴリール> 【伝言です 今夜は用事で行けないです。ごめんなさい。】   (2018/3/28 21:09:04)

おしらせ> ガヴリールさんが退室しました。  (2018/3/28 21:09:09)

マシュ・キリエライト> むむむ。状況から見てカレンさんへの伝言と認識します。了解しました、不詳マシュ・キリエライト、どうにかしてご伝言を完遂します！   (2018/3/28 21:09:54)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/28 21:10:56)

九条カレン> 【こんばんは＆了解デス！】   (2018/3/28 21:11:12)

マシュ・キリエライト> という間もなく当事者間で合意が形成されましたー！？   (2018/3/28 21:11:44)

九条カレン> ハイ！大丈夫デス   (2018/3/28 21:12:29)

マシュ・キリエライト> そ、それは痛み入ります……。   (2018/3/28 21:13:02)

九条カレン> 大丈夫デスか？   (2018/3/28 21:13:14)

マシュ・キリエライト> は、はい、お気遣いなく。ちょっとしたことですので深呼吸をすれば支障はありません。ひっひっふー。ひっひっふー。   (2018/3/28 21:14:54)

九条カレン> そ、その呼吸は…   (2018/3/28 21:15:35)

マシュ・キリエライト> ……仕様です。カレンさんの忍耐に感謝します。ええ、思わず出産の際の呼吸法と間違えたりはしていません。していません。   (2018/3/28 21:16:36)

九条カレン> そ、そうデスか？なら大丈夫デス   (2018/3/28 21:17:23)

マシュ・キリエライト> 恐れ入ります。その、かくかくしかじかですので、ご友人はご都合がつかないようですが……わたしで務まることなら頑張りますので、お気兼ねなくお申し付けくださいっ   (2018/3/28 21:18:53)

九条カレン> 大丈夫デスよー   (2018/3/28 21:19:30)

マシュ・キリエライト> ありがとうございます。ちょっとびっくりしましたので、お恥ずかしいところをお見せしてしまいました   (2018/3/28 21:21:03)

九条カレン> こちらこそデス   (2018/3/28 21:23:01)

マシュ・キリエライト> そういえばデータを参照しているのですが……カレンさんは、やはり小柄な方の方が、きゅんと来るのでしょうかっ！？   (2018/3/28 21:23:46)

九条カレン> そんなことないデスよ？   (2018/3/28 21:26:15)

マシュ・キリエライト> そ、そうなのですか？　少し安心しました。   (2018/3/28 21:26:58)

九条カレン> ハイ！   (2018/3/28 21:28:01)

マシュ・キリエライト> （ガヴリールさんのパーソナルデータを参照していた、とはとても言いづらいのですが……）   (2018/3/28 21:28:06)

マシュ・キリエライト> それは何よりです。わたしもちょっと女としての、いいえ、その、将来の展望とかそのようなものが開けてきました   (2018/3/28 21:28:49)

九条カレン> あ、ハイ   (2018/3/28 21:29:18)

マシュ・キリエライト> （自爆してしまったような気がします。してしまいますが、たぶん気のせいですよね？）   (2018/3/28 21:30:33)

九条カレン> 【大丈夫デス】   (2018/3/28 21:31:36)

マシュ・キリエライト> （お気遣いありがとうございます）   (2018/3/28 21:31:51)

九条カレン> こちらこそ【と、1度お風呂で抜けます。これたら戻ります】   (2018/3/28 21:33:13)

マシュ・キリエライト> 了解しました、どうぞごゆっくり。   (2018/3/28 21:33:26)

マシュ・キリエライト> （わたしも数分間反応がなくなります……むむむ……）   (2018/3/28 21:34:13)

おしらせ> 九条カレンさんが退室しました。  (2018/3/28 21:34:40)

マシュ・キリエライト> むむむむ……日常トークから違和感のない深いラブ……。むー……。   (2018/3/28 21:38:46)

マシュ・キリエライト> 151年   (2018/3/28 21:54:15)

マシュ・キリエライト> もとい。   (2018/3/28 21:54:28)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/28 21:55:02)

九条カレン> ただいまデスた   (2018/3/28 21:55:08)

マシュ・キリエライト> ふわ。お帰りなさいませですた   (2018/3/28 21:55:17)

九条カレン> はい♪はい   (2018/3/28 21:58:08)

マシュ・キリエライト> とっ、ともあれ……お湯上がりのご用件など、わたしは頑張って承ろうと思うのです   (2018/3/28 22:00:10)

九条カレン> そうデスね   (2018/3/28 22:00:42)

マシュ・キリエライト> むむむ……（少し前のめりで、顔をほてらせています……）   (2018/3/28 22:02:02)

九条カレン> じーっ…///   (2018/3/28 22:03:43)

マシュ・キリエライト> （カレンさんのまなざしをまともに受けてどぎまぎしています……）不祥、マシュ・キリエライト……ちょっとだけ、しつれい、します……   (2018/3/28 22:05:39)

マシュ・キリエライト> （おずおずと、カレンさんの唇にわたしの唇を近づけていきます……）   (2018/3/28 22:06:06)

九条カレン> んんっ…///(抱きついて)   (2018/3/28 22:06:57)

マシュ・キリエライト> うぅんっ……んっ、ちゅっ、ちゅ、うぅうん……（カレンさんのちっちゃな体を、精いっぱい抱き返してしまいます）   (2018/3/28 22:08:39)

九条カレン> んんっ…///ちゅうう…////ぅう///   (2018/3/28 22:09:41)

マシュ・キリエライト> うぅん、ちゅ、ちゅ、ちゅ、れろれろれろ……（ちっちゃくて可愛いカレンさん……わたしのお口で気持ちよくなってくれてるって思うと、たまらなくなってしまいます……）   (2018/3/28 22:11:48)

九条カレン> んんっ…ちゅうう…れろれろ…///   (2018/3/28 22:13:24)

マシュ・キリエライト> うぅん、んっ、んっ、ちゅ、ちゅ、ちゅ……んうぅーん……（いっぱいいっぱいでキスを返しながら、カレンさんのスカートに手を掛けます。震える手でジッパーを下ろしますね……）   (2018/3/28 22:15:21)

九条カレン> んん…///…ちゅー…///んうー///(恥ずかしそうに下ろしているのを見て)   (2018/3/28 22:18:04)

マシュ・キリエライト> ぷはぁ……（一度口を離して……）カレンさんの身体……女の子の身体、わたしに、教えてください……（スカートを外して、おへそに顔を近づけます……カレンさんの綺麗なお肌に、ゆっくりキスをしていきますね）   (2018/3/28
22:20:39)

九条カレン> んんっ…///   (2018/3/28 22:22:00)

マシュ・キリエライト> きれい……きれいですカレンさん、わたし、きれいなカレンさんの身体、頑張って、もっときれいにしますね……（おへそから太ももまで、カレンさんの身体を味わいながらキスを落としていきます。カレンさんのショーツには触れませんが、その周りの場所にはたくさんキスをしますね）
  (2018/3/28 22:24:54)

九条カレン> んん～///恥ずかしいデス///   (2018/3/28 22:25:49)

マシュ・キリエライト> 大丈夫ですよ、カレンさんは可愛らしくてきれいです……食べちゃいたいくらいです、例えば、こういう風に……（ショーツの上からカレンさんの大事なところをさすりながら、カレンさんの太ももにキスをしていきますね……）   (2018/3/28
22:28:02)

九条カレン> ひゃう～///   (2018/3/28 22:29:42)

九条カレン> (ショーツはもう濡れていて感じていることがわかる)   (2018/3/28 22:30:13)

マシュ・キリエライト> あぁ……可愛らしいです、カレンさん……こんなに湿って……せつなくていらっしゃるんですね……。（おぼつかない手つきで、ゆっくりとカレンさんのショーツを脱がせていきます。カレンさんの女の子の匂いが漂ってきて、わたしもどうにかなっちゃいそうです……）
  (2018/3/28 22:32:20)

九条カレン> 【ごめんね？今日は寝ないと】   (2018/3/28 22:33:44)

マシュ・キリエライト> （了解です、お疲れさまでした）   (2018/3/28 22:34:01)

マシュ・キリエライト> ……ちょっぴり名残惜しいですけれど、この先はまたの機会にしますね？   (2018/3/28 22:34:23)

九条カレン> ハイ！それではまた！   (2018/3/28 22:34:50)

マシュ・キリエライト> あっ、お召し物をきちんと直してください、ええと、お疲れ様でしたー！？   (2018/3/28 22:35:09)

九条カレン> ハイ！(服を着直すとニコリと)   (2018/3/28 22:35:50)

おしらせ> 九条カレンさんが退室しました。  (2018/3/28 22:35:52)

マシュ・キリエライト> むむむ。カレンさんの方が一枚上手と判断します。……いささか高ぶってしまったので、熱さましに周辺の清掃を実行します……。   (2018/3/28 22:36:46)

マシュ・キリエライト> （今日あったことの余韻をかみしめながらふらふらとお掃除しています……ちょっとショーツの内側が湿っていますが、なんとか問題ありません。そのはずです）   (2018/3/28 22:50:27)

マシュ・キリエライト> （右を向いて左を向いて、撤収します。お疲れさまでした）   (2018/3/28 22:53:21)

おしらせ> マシュ・キリエライトさんが退室しました。  (2018/3/28 22:53:26)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/3/28 23:49:35)

リグル・ナイトバグ> ――ん、誰か来てたのかな。(気配を感じながら首を傾げ。それはそれとして……それはそれとしてなんだろうか。半端な時間は相変わらずなのだった。ソファに座りながら、んーっと身体を伸ばして)   (2018/3/28 23:52:06)

リグル・ナイトバグ> (ボーっとしている時間が何だか勿体ない気がしたのか、テーブルを拭いたり…窓を開けて部屋の換気をしたり)…綺麗にはするけど不思議とこの部屋って何時の間にか綺麗になったりしてる気がするね。(他の人が掃除をしてくれているというのもあるのかもしれないけど、それ以外の何か別の力が動いてるようなと)
  (2018/3/29 00:06:10)

リグル・ナイトバグ> ――よし戻ろうっと。   (2018/3/29 00:49:27)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/3/29 00:49:32)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/29 06:16:52)

おしらせ> 歳納京子さんが入室しました♪  (2018/3/29 06:19:58)

歳納京子> おはよーん   (2018/3/29 06:20:13)

九条カレン> おはようデス   (2018/3/29 06:20:37)

歳納京子> 【そういえば昨日は京子の誕生日だったんだよねぇ。笑】   (2018/3/29 06:21:10)

九条カレン> 【だねー。】   (2018/3/29 06:22:19)

歳納京子> というわけで今日は私の登場だよん♪   (2018/3/29 06:23:03)

九条カレン> OKデス～   (2018/3/29 06:24:11)

歳納京子> 昨日は行かなくてごめんね…？   (2018/3/29 06:24:50)

歳納京子> 行けなくて   (2018/3/29 06:24:55)

九条カレン> 大丈夫デスよ～   (2018/3/29 06:25:34)

歳納京子> ありがと♪ 【今日はちなつちゃん希望でもいいかな？】   (2018/3/29 06:26:53)

九条カレン> 【大丈夫だよー】   (2018/3/29 06:27:25)

歳納京子> 【じゃあまたお部屋立てるねぇ。】   (2018/3/29 06:27:50)

九条カレン> 【はい】   (2018/3/29 06:28:36)

歳納京子> 【いつでもどうぞ♪】   (2018/3/29 06:28:52)

九条カレン> 【どうもー】   (2018/3/29 06:29:48)

おしらせ> 九条カレンさんが退室しました。  (2018/3/29 06:29:50)

おしらせ> 歳納京子さんが退室しました。  (2018/3/29 06:30:24)

おしらせ> マシュ・キリエライトさんが入室しました♪  (2018/3/30 01:18:36)

マシュ・キリエライト> こんばんは。   (2018/3/30 01:19:29)

マシュ・キリエライト> 入室するたびに色がぶれぶれなのがお恥ずかしいです   (2018/3/30 01:19:52)

マシュ・キリエライト> （……とはいえ室内にはわたし一人、いつものリビングをいつものように掃除するわたしです）   (2018/3/30 01:21:28)

おしらせ> モードレットさんが入室しました♪  (2018/3/30 01:25:03)

