/


「最強勇者VS雑魚サキュバス」の過去ログ

現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

タグ 罰 [/?tag_id=2952#freerooms]  対決 [/?tag_id=4107#freerooms]  サキュバス [/?tag_id=10321#freerooms]  イメチャ [/?tag_id=33#freerooms]  サイコロ
[/?tag_id=1251#freerooms]

2023年09月29日 00時36分 ～ 2023年10月14日 09時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ロニエ♀サキュバス> 【こんばんは、お邪魔してもよろしいでしょうか？】   (2023/9/29 00:36:30)
リリカ♀サキュバス> 【ありがとうございました！くすぐりのあたりから流れが変わりましたねw】   (2023/10/9 22:32:51)

ハルク♂勇者> 【まともな攻撃をしなくなってサキュバスの土俵に乗ってしまいました……、楽しかったです、お疲れ様でした……っ】   (2023/10/9 22:35:50)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/9 23:02:02)

おしらせ> 無言時間が25分を超えたため、リリカ♀サキュバスさんが自動退室しました。  (2023/10/9 23:02:02)

おしらせ> ラスク♂勇者さんが入室しました♪  (2023/10/9 23:12:31)

ラスク♂勇者> 【こんばんは。久しぶりに来てみました、サキュバスさんを待ちますね】   (2023/10/9 23:13:03)

おしらせ> 無言時間が25分を超えたため、ラスク♂勇者さんが自動退室しました。  (2023/10/9 23:39:45)

おしらせ> ラスク♂勇者さんが入室しました♪  (2023/10/10 00:24:46)

おしらせ> 無言時間が25分を超えたため、ラスク♂勇者さんが自動退室しました。  (2023/10/10 00:50:35)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/10 22:47:23)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/10 23:52:24)

おしらせ> アヤ♂勇者さんが入室しました♪  (2023/10/11 23:57:21)

アヤ♂勇者> 【こんばんはー】   (2023/10/11 23:57:32)

おしらせ> アヤ♂勇者さんが退室しました。  (2023/10/12 00:14:46)

おしらせ> アヤ♂勇者さんが入室しました♪  (2023/10/12 00:14:50)

おしらせ> アヤ♂勇者さんが退室しました。  (2023/10/12 00:39:15)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/12 21:25:32)

おしらせ> アイナ♀サキュバスさんが入室しました♪  (2023/10/12 22:05:10)

アイナ♀サキュバス> 【こんばんは！】   (2023/10/12 22:05:19)

ハルク♂勇者> 【こんばんは〜】   (2023/10/12 22:06:39)

アイナ♀サキュバス> 【設定などどうしますか？】   (2023/10/12 22:07:17)

ハルク♂勇者> 【そうですね、大体ダンジョンなどサキュバスさん側がいるところで遭遇する形でしていますが……】   (2023/10/12 22:08:13)

アイナ♀サキュバス> 【わかりました、ではダンジョンでエンカウント！という感じで良いでしょうか？】   (2023/10/12 22:08:30)

ハルク♂勇者> 【はい、それで大丈夫です】   (2023/10/12 22:08:49)

アイナ♀サキュバス> 【書き出しはどちらからしましょうか・】   (2023/10/12 22:09:51)

ハルク♂勇者> 【お願いしても良いですか？難しければこちらからダンジョン探索中の場面を書きますっ】   (2023/10/12 22:10:52)

アイナ♀サキュバス> 【わかりました！】   (2023/10/12 22:11:12)

アイナ♀サキュバス> (ダンジョンの中を、獲物を探しさまようサキュバスのアイナ。お尻が一番の取り柄な彼女は、幸運にも男を見つけ背後から囁きかける)こんばんは♡貴方、とても幸運ですわね♡なんせ私のお尻で、ご奉仕してもらえるものの♡(と、サキュバスの翼も生かし抱きつき気味になりつつ)
  (2023/10/12 22:14:44)

アイナ♀サキュバス> 1d6 → (2) = 2  (2023/10/12 22:14:47)

アイナ♀サキュバス> でもまずは……(と、彼の前の方に手を回し、下腹部を直接触り)ここっ、元気にしてあげないといけませんわ！(と、優しく、しかし手慣れた手付きで彼の肉棒を手で扱い始める。上下に扱くだけではなく、うねりや亀頭擦りも組み合わせている)  
(2023/10/12 22:17:26)

ハルク♂勇者> このダンジョンはなかなか実入りが良いね。定期的に来るのも良いかもな…（襲いかかってきた魔物を魔法で倒して、得られた素材を手にして頷く。手応え的にはそこまで強い魔物がいるわけでもないのにお金は稼げそうで足取り軽く探索していると）は、なんだ君は……？お尻って何を言って…（後ろから声をかけられなにかに抱きつかれる。身長はそこまでない、がお尻が取り柄という割に胸の膨らみも感じられて固まっていると）う、あ…！？いきなり、なにを……♡あっ、あっ…♡（手で触られたらその卓越したテクニックにあっという間に硬くなり、手の中で小さく震える。亀頭を擦られ闘志がどんどん削れていくのを感じて）
  (2023/10/12 22:20:19)

ハルク♂勇者> 1d6 → (2) = 2  (2023/10/12 22:20:23)

ハルク♂勇者> ……っ♡さ、サキュバスかっ！離れろ……！（このままでは骨抜きにされてしまう……そう思いとっさに後方に雷の魔法を放ちながら前へ跳んで距離を取った。ふぅ、と乱れかけた息を整えて剣に手をかけながら相手を見る）……悪いけど、ご奉仕は間に合っているんだ。他を当たってくれないかな。
  (2023/10/12 22:23:08)

アイナ♀サキュバス> (雷魔法に身を痙攣させつつも、少しむっとした表情で翼で姿勢を戻し)あらっ、乱暴な勇者様ねっ♡しかし、本当に私のご奉仕を拒絶してよろしいのでしょうか……？私ならば、人間様どころか貴方の手ですら♡超える、極上のご奉仕をして差し上げますのに。(そう言い終われば、再び微笑みを浮かべ彼のもとに近づき)
  (2023/10/12 22:26:09)

アイナ♀サキュバス> 1d6 → (6) = 6  (2023/10/12 22:26:14)

アイナ♀サキュバス> (そのまま体を反転させ、ヒップドロップの様な形で押し倒し、彼に背中を向けつつも上に跨り)ふふっ♡早速ですが、始めさせてもらいますわ♡(と、おもむろに彼のズボンを脱がせたかと思いきや、既に濡れきった膣に彼の肉棒を無理やり、豊満なお尻を見せつけるようにしつつ挿入する。ぬるっ♡と入っていくものの、一旦入るとぎゅっ♡と激しく締め付ける感覚が彼の肉棒を襲うだろう)ほらぁ♡どうっ、かしらっ！(と、馴染む暇も与えずに、腰を激しく打ち付け始める。この快楽には勇者であろうと耐えきれないだろう)
  (2023/10/12 22:29:58)

アイナ♀サキュバス> 1d6 → (5) = 5  (2023/10/12 22:30:15)

アイナ♀サキュバス> 【とりあえずダイスを振っておいただけです。そちらの描写をお待ちいたします】   (2023/10/12 22:31:01)

ハルク♂勇者> 意外と君、しつこいね……それは……（ちょっとだけ、少しだけだがどういった奉仕をされるのかと思ってしまった。それは近づくサキュバスの身体つきが男にとってとても魅力的だったせいか。視線が相手の身体にいき、それが致命的な隙を生んでしまい）う、あ、ああぁっ！？これ、は……♡んぁっ♡はぁ、はぁ、あぁっ♡待って、こんな、で、で……っっ♡♡（あまりに心地よすぎる快感にお尻に見惚れながら肉棒を震わせてしまう。勇者として射精するわけにはいかない、その理性があっという間に崩壊して射精寸前になり）あ、ああぁぁぁ……っ♡♡（快感に浸るため息とともにびゅーっ♡びゅーっ♡と中に射精する。今まで感じたことのはない快楽に呆けて、押し倒されたままぼぅっとしていて）
  (2023/10/12 22:34:43)

アイナ♀サキュバス> (勇者の精液が膣奥に注がれていく。どくっ♡どくっ♡とした感覚が心地いいが、流石に勇者相手に同じことを無策で続けるわけには行かない。ゆっくりと、わざとながら少し精液を垂らしつつ膣から肉棒を抜き、彼の耳元へ近寄り)どうですかぁ……私のご奉仕は♡勇者様、気持ちよさそ～うに喘いでいらっしゃったのですが、やはり勇者様本人のお口からお伺いしたいですわね♡もし貴方が戦いを止めてくださるのなら……私がいっぱい、い～っぱい、ご奉仕して、二度と味わえない程愉しませて差し上げますわ♡(と、彼の耳元に軽くキスをする)
  (2023/10/12 22:40:53)

ハルク♂勇者> はぁ、はぁ……はあ、あぁ……っ♡……あ、ふぅ……う、うぅ……気持ち……良かった……♡（ゆっくりと引き抜かれる様子に興奮して…。射精した直後で精神的な防御が弱くなっていた勇者は耳元から聞こえる甘い声とキスに恥ずかしそうに、けれど素直に頷いてしまう。相手がサキュバスということも戦っていたことも一瞬忘れて、誘惑の言葉にドキドキして肉棒を再び硬くしてしまった）……ほ、奉仕……もっと、してほしい……♡君のご奉仕、きもちいい、から……♡
  (2023/10/12 22:46:32)

ハルク♂勇者> 【3をおねだりした扱いでお願いします……っ】   (2023/10/12 22:46:59)

アイナ♀サキュバス> 【わかりました！】   (2023/10/12 22:49:19)

アイナ♀サキュバス> ふふっ……♡(と、彼が一番して欲しいことを瞬時に感じ取り)そんなご奉仕をして欲しいのですね……♡いいですわ、私の足で……気持ちよくしてあげますわね♡(そう囁き終えれば、彼の固くなった肉棒に、生足で触れ)今から勇者様の此処、足でご奉仕いたしますわ♡(と、サキュバスの翼での飛行を生かして空中に座りつつも、彼の肉棒を足で扱き始める。全体を、踏むようにしつつ上下に扱きながら彼の事を見下ろし)このようなご奉仕をお望みなんて……勇者様は本当に、変態様なんですね♡しかし、私はこのような勇者様の事も好きですわ♡(少し肉棒への圧を強めながら、足コキ奉仕を続けていく)
  (2023/10/12 22:53:31)

ハルク♂勇者> あっ、あっ、ああぁ……っ♡勇者なのに、僕は……こんな、ぁ……っっ♡♡（硬くなった肉棒を足で踏まれてし扱かれて…悔しいし恥ずかしいと思わないとだめなのに、魅了のせいもあって今はただ気持ち良くて嬉しいという気持ちばかりが生まれて）へ、変態じゃない…♡で、でも、僕も……♡君のことが好きぃ……っ♡♡（肉棒を踏む力が強くなり、彼女の言葉…好きだと言われたら肉棒がまた嬉しそうに膨らんで。我慢汁をだらだらと流して射精寸前まで追い込まれていく）はぁ、あっ♡あぁ、ああぁ……♡（快楽と幸福感に堕ちてしまう寸前で、情けなくあえいでいて）
  (2023/10/12 22:59:13)

アイナ♀サキュバス> ふふっ♡勇者様……勇者様が好きと言ってくださると、私ももっとご奉仕できますわ♡(と、更に強く肉棒を踏み)それにしても、勇者様は限界が近いんですわね♡こんなに大量のお汁で私の足を濡らして……♡こうなりましたら、最後までご奉仕して差し上げますわ♡(あいも変わらず余裕そうな表情で彼の勇者を見下ろすアイナ。彼女が勇者を射精に導く方法は――)
  (2023/10/12 23:04:02)

アイナ♀サキュバス> 1d6 → (4) = 4  (2023/10/12 23:04:08)

アイナ♀サキュバス> ……ふふっ♡気が変わりましたぁ、勇者様♡(と、彼が射精しそうになった途端、突如彼への奉仕を止め、立ち上がる。只々我慢汁を流す肉棒を見つめつつ)今お射精してしまったら、つまらないと思いませんか？♡(そして身を屈め、彼の耳元で)だから、もう少し♡我慢してください♡いっぱい、いーっぱい、気持ちいいお射精♡させてあげますわ♡(甘い声で囁きかける)
  (2023/10/12 23:07:40)

ハルク♂勇者> ふぅ、ふ、ぅ……♡あれ、ぼく、は……♡（小さく首を振ってどうにか魅了に堕ちかけていた思考が治る。しかし既に快感と彼女におねだりする甘美な感覚に心と身体は陥落寸前にまで陥っていて、そこに……）んあ、ああ……♡あ、っ♡はぁっ……も、出る…ぅ…っ♡……え？……あ……♡（射精する、というところで辞められる刺激。イこうと腰を浮かした体勢のまま、不発に終わった精液が肉棒の中でぐつぐつと煮だっていて…）……っ♡♡ふ、ふぅ、ううぅ…っ♡きもちい、……しゃせ、い…っ♡（その言葉だけで我慢汁がとぷりとまた先端から溢れ出る。頭の中が彼女の言葉でいっぱいになっていって）
  (2023/10/12 23:12:45)

ハルク♂勇者> 1d6 → (3) = 3  (2023/10/12 23:12:48)

ハルク♂勇者> ………っ♡♡はぁ、……はぁ……♡（この射精が、この射精をしてもらえたら攻撃しよう……そんな思いで、本当は動けるのに動けない振りをしてしまう勇者。さりげなく魔力を精液に変換して精力を回復し、玉袋の中さえもパンパンに。決してもっと楽しみたいからではなく、負けないための回復だと、自分に言い聞かせて）
  (2023/10/12 23:15:54)

アイナ♀サキュバス> ふふっ♡私、何もしていないのに……♡ここっ、ぱんっぱんっ♡になってるわね♡(玉袋を軽く触りつつ)それでは♡気持ちよくお射精♡いたしましょう♡   (2023/10/12 23:17:37)

アイナ♀サキュバス> 1d3 → (2) = 2  (2023/10/12 23:17:42)

アイナ♀サキュバス> (と、そのまま彼の肉棒をぎっちり♡と握りしめ、、そのまま上下に扱き上げる。純粋な快楽の暴力として襲いかかるだろう)はいっ、しーこっ、しーこっ♡気持ちいいわねぇ♡寸止めされてしまい♡もうイッてしまいますわねぇ♡ほらっ、気持ちいいっ♡気持ちいいですわね♡たくさん、出してしまいなさい♡私の手の中に、全部出してしまいなさい♡(と、彼女なりの口調で煽りつつ、肉棒に強い快楽を与え、射精に導いていく)
  (2023/10/12 23:22:51)

ハルク♂勇者> ん、あぁ…♡そんなところ、さわ、るな……っ♡（玉袋を軽く触られただけで張り詰めた玉袋も肉棒も暴発しそうで……）あっ、あっ、ああぁっ♡♡きもち、いっ♡しこしこ、良いっ♡きもちよす、ぎるっ♡はぁ、あぁっ♡イク、いくよっ♡♡きもちいい♡手で、でるっ♡♡んあぁっ♡♡あっ♡♡あっ♡♡はあああぁぁ……っっ♡♡（手でしっかりと握られた手コキの快楽に悶えて、煽られたら身体はそれに従って一気に射精に導かれて。きもちいいと何度も言いながら、手の中でびゅるびゅると、焦らされた分さっきよりも濃いのが出てきてしまって）
  (2023/10/12 23:26:25)

ハルク♂勇者> 1d2 → (2) = 2  (2023/10/12 23:26:33)

ハルク♂勇者> はー……♡はー……♡……は、ああぁ……っ♡♡（射精に直後で真っ白になりかけた視界の中にサキュバスの姿を映す。なにかしなければという思いは勇者の本能のためか。しかし強力な攻撃魔法を放てる状態でなく、取った行動は……）…………っ♡（ぽん、と魔法の羽根が現れて一人でに彼女の腋をくすぐった。触れるほど僅かにだが相手の魔力を奪う魔法……一時的に手の動きだけは封じられるかもしれない）
  (2023/10/12 23:30:45)

アイナ♀サキュバス> ああんっ♡ああふっ♡んあぁ♡気持ち良いですわぁ、勇者様ぁ♡(腋を不意に現れた魔法の羽根でくすぐられ、手の動きを止めるどころか一時悶えるサキュバス。しかし、その羽根は後ろへと投げ捨てられ)……ふふっ♡勇者様の責め、可愛かったですわよ♡(と、肩で息をしつつ、)さて、ご奉仕再開と行きましょうか♡私が勇者様をさらなる快楽……快楽の極みへと♡導いて差し上げますわ♡
  (2023/10/12 23:34:40)

アイナ♀サキュバス> 1d6 → (1) = 1  (2023/10/12 23:34:45)

アイナ♀サキュバス> それでは、勇者様の精液♡いただきます♡(と、彼の射精後の、敏感な肉棒に口づけををする。そして直ぐにそれを咥え、宣言通り全て吸い尽くすかの様に吸い付きつつ、口を上下させている。彼の弱った精神には、じゅぼっ♡じゅぼっ♡と淫らな音を立てつつ肉棒をしゃぶっている筈の、サキュバスの言葉が直接聞こえてくるのかもしれない)勇者様♡私の♡私のお口で、気持ちよくなって……私のご奉仕で、堕ちて下さいませ♡(そう彼女が語りかけようとする最中にも、ぐぽっぐぽっぐぽっ♡と激しい責めが続いている)
  (2023/10/12 23:40:57)

ハルク♂勇者> ……っ♡（この攻めは失敗だったかもしれないと思ったのは彼女の声が聞こえてから。妖艶なサキュバスが悶える姿と声は勇者の肉棒をビンビンの臨戦態勢にするには十分すぎるほどの破壊力があり）か、快楽の……極み…？ん、あ、ああぁっ♡ひぅっ、ふ、うぅっ♡あっ、ふぅ、ううぅっ……♡（敏感な先っぽに口づけされたと思えば吸い付かれて強烈な快感が走る。ほとんどサキュバスの快楽の虜になりかけている今の状態では我慢汁と共にどんどん彼女に力を与えてしまって）あっ♡うっ♡ふう、ううう……っ♡♡だ、だめ、だ……それ、だけは…♡お、堕ちるの、だけは……っ♡あ、あああ……っ♡（その声はサキュバスの能力なのか、追い詰められた自分の妄想か……。みだらにしゃぶる光景に興奮しぱなっしで、今にも射精しそうに肉棒を震わせ続けながら、ぎりぎりのところで堕ちるのを踏みとどまっていて）
  (2023/10/12 23:45:51)

ハルク♂勇者> 1d6 → (5) = 5  (2023/10/12 23:45:55)

ハルク♂勇者> はぁー……はぁー……♡♡あ、あぁ……きもち、い……っ♡ふ、あ、あぁ……っ♡♡待って、まっ、てぇ…♡……ふぅー♡ふぅー……♡♡……っ♡（それは何とか抵抗しようとしたのか、それとも…肉棒をしゃぶる彼女の下にある豊かな膨らみにどうしようもなく惹かれたからか……。ふらふらと両手を伸ばせば、ふにゅん♡と乳房を揉んで）はぁ、はぁ……♡あっ、おっぱい…♡は、ぁっ♡やわ、らかい……♡♡（何度か手のひらで揉み込み、突起を指ですりすりと弄って……興奮して肉棒がパンパンになってしまっている）
  (2023/10/12 23:50:13)

アイナ♀サキュバス> (突如彼の手が胸に伸び、乳首を責められる。体をビクッ♡と震わせ反応するが)勇者様ぁ♡貴方もっ……！♡私のことをっ……責めてくださるのですね♡私も精一杯お返しいたしますからぁ♡最後までっ♡ご堪能ください♡(と、肉棒を軽く舐めつつ返答している。気持ちよさそうにはしているものの、まだまだ余裕は有りそうな表情を見せている。そして、彼女が笑顔になれば)
  (2023/10/12 23:55:33)

アイナ♀サキュバス> 1d6 → (4) = 4  (2023/10/12 23:55:36)

アイナ♀サキュバス> 三回目のお射精も……お預けでわすよ♡(と、全くの無防備で胸を揉まれつつ)勇者様のっ……♡んんっ♡勇ましい"反撃"♡私にっ……お見せください♡(と、艶めかしい声を上げつつ、彼の思うがまま乳首を弄られ、胸を揉まれていく。その快楽を味わいつつ、声や光景による快感を勇者に与えていくだろう)んあんっ！♡そこっ♡気持ちいいっ♡ですわ♡勇者様っ、上手ですわねっっ♡
  (2023/10/12 23:59:34)

ハルク♂勇者> ふぅ、ふぅ、ぅ♡♡だって…君の声、もっと、聞きたくなって…っ♡（気持ちよさそうな声。もっと聞きたくなる。脳はもう戦闘ではなくて二人でエッチなことをしていると認識をしかけていて。胸を無防備に晒されれば）はぁっ♡はぁっ♡♡もっと、もっと……勇者の反撃を見せてやる……っ♡♡こ、の……っ♡♡（乳房を手のひらでいっぱいに揉み込み、乳首を指で摘んでこりこりと触って、転がして、ぺろぺろと舌で舐めて……。えっちな声と綺麗な胸に触られてもないのに肉棒をびくんびくんと跳ねさせている。もう、射精したくてたまらなくて…）
  (2023/10/13 00:04:28)

ハルク♂勇者> 1d6 → (6) = 6  (2023/10/13 00:04:33)

ハルク♂勇者> ……ふぅーっ♡ふう、うぅっ♡♡もう、我慢できない……っ♡（そしてその目が欲情に染まって雄のものになった。胸を揉みながらサキュバスを押し倒して、今にも出しそうなほど精の匂いを漂わせたものを彼女にあてがい……ずぶりっ♡と膣内に一気に挿入して）これが、僕の反撃だ…っ♡はぁ、はぁっ♡♡あぁ、気持ちいいっ♡君も、きもちよく、なって…っ♡あ、あ、ああぁっ♡♡（パンパンっ♡と腰を振ってサキュバスに欲望のまま熱く逞しく膨らんだものでピストンする。射精直前まで追い詰められた肉棒でしばらく堪えていたが、やがて我慢できなくなったようにピストンの速度をあげて）あっ♡♡あぁっ♡♡で、る……ぅっ……♡♡♡（びゅー、びゅー、と肉棒）
  (2023/10/13 00:10:39)

ハルク♂勇者> （びゅー、びゅー、と限界に達した肉棒から三度目の射精でも勢いがおとろえない精を吐き出していって）   (2023/10/13 00:11:35)

アイナ♀サキュバス> きゃっ♡ゆ、勇者様ぁ♡それほど私の事を……♡(と、ぎっちりと締め付ける膣にも一気に挿入され、顔を蕩けさせ)んんっ♡勇者様とのセックスっ♡はぁん♡気持ちいいっ、んぁっ♡ですわよぉ♡さあぁ♡私の中にいいっ♡あっつい精液っ♡いいっ♡ぱい……お出しくださぁぃ♡(と、逃さないとばかりに足を彼の背に絡ませ、喘がされつつも彼の精液を受け入れる準備をする。そして彼が限界に達せば、)んぁぁっ♡いっぱい♡出されてますねぇ♡勇者様……♡私のおまんこ、楽しんでいただけましたか？♡♡(薄っすらとハートが浮かぶ目で彼の目を見つめているが、)
  (2023/10/13 00:17:22)

アイナ♀サキュバス> 1d3 → (2) = 2  (2023/10/13 00:17:26)

ハルク♂勇者> 【ま、負けそうで負けない……】   (2023/10/13 00:19:05)

アイナ♀サキュバス> さて……四発目も出してくださいませ♡(と、彼が肉棒を抜いた途端、三度も射精し更に敏感となった肉棒を手で、両手で強く扱いていく。精液と愛液が混ざりあった液体でぐちゅぐちゅ♡と音を出しつつ、片手は亀頭をぐりぐり♡と責め続け、もう片手で竿を責め立て)ほらぁ♡私の手にぃ♡まだまだ出せますわよぉ♡勇者様のあつ～い精液♡(彼の言うことも耳に届かないような熾烈な手コキを続け、彼をさらなる限界へと追い詰めていく)
  (2023/10/13 00:21:55)

アイナ♀サキュバス> 【まさかの展開ですよね】   (2023/10/13 00:22:45)

ハルク♂勇者> はぁ、はぁ……♡きもち、よかった……♡君の、おまんこ……っ♡はぁ、はぁ、ぁ……♡君との、セックス…♡すごく、興奮、してぇ……っ♡何度、出しても…また…っ♡（言われたとおりに彼女との行為を夢中になって楽しんでいた勇者……。ズルリと精液を滴らせながら肉棒を抜くが、まだまだ硬いまま。とろんと蕩けた目で彼女と見つめ合いながら、射精の余韻で動けなくなっていると）あっ♡♡あっ♡♡ああぁっ♡♡♡待って、いま、びんかん、で……っっ♡♡ひぅっ♡♡そんな、あぁっ♡また、ぁ……っ♡♡（敏感になった竿をぐちゅぐちゅ音を立てられながら扱かれて悶える。彼女の声が、身体が興奮を冷めさせてくれなくて、いつもならもう限界なのにあっという間に玉袋から精液が込み上げて…っ）あっ、あぁっ♡♡ああああぁっ♡♡（亀頭を攻めている手に肉棒を突き出しながらどぷどぷと手も竿も白く染まるほど精液を溢れ出してしまって…）
  (2023/10/13 00:29:33)

ハルク♂勇者> 1d6 → (1) = 1  (2023/10/13 00:29:39)

ハルク♂勇者> ……ふぅ、ふう、ぅっ♡♡ぼくは、君の、ことも……っ♡はぁ、あぁ……っ♡（ふらつきながらも手を再び胸に、片手をさっきまで挿入していた相手の割れ目に触れさせる。膣内に指を二本入れていけば、くちゅくちゅと自分が出した精液をかき混ぜるように優しく抜き差しをしていって…）はぁ……っ♡も、だめ、だ……♡君のことが、はぁっ♡好きで、たまらない……っ♡♡（まともに力も入らないまま熱い眼差しを相手に向けて、我慢できなくなってちゅ、と唇を重ねて）
  (2023/10/13 00:34:41)

アイナ♀サキュバス> ああんっ♡こんな責めをして……♡告白して……んあっ♡、くださるだなんて……♡勇者様、可愛いですわね♡(彼に押し倒されつつ責められ、目にハートが浮かんでいる表情で彼を受け入れる。膣内と胸両方の責めに甘い嬌声を上げつつ、彼の口づけを受け入れ)勇者様……♡私に口づけをっ♡してくださるのですね♡まさか貴方のような方がぁん♡こうしてくださるだなんて♡私のご奉仕が相当好みだったのですねぇ♡
  (2023/10/13 00:40:18)

アイナ♀サキュバス> 1d6 → (5) = 5  (2023/10/13 00:40:26)

アイナ♀サキュバス> 勇者様ぁ♡最後はっ、どういたしましょうか♡私のお口で……んっ♡ぐちゅぐちゅ♡して欲しいですか？それとも、私の手でシコシコ♡してあげましょうっ♡……かぁ？もちろん、足でふみふみ♡を……んんっ♡、望まれてもっ、良いのですよ？♡(と、彼の目を真っ直ぐ見つめ、甘い、甘い声で語りかける)
  (2023/10/13 00:45:32)

ハルク♂勇者> 僕が、こうするのは許されないと知ってる、けど……♡もう、止められない……っ♡君のせいだ、君の、ご奉仕が……僕を、こんなに……っ♡♡（もう戦いも何もかもどうでも良くなって、ここにいる彼女が全てになっていく。はぁ、はぁ、と天を向いている肉棒を揺らして、最後と言われても躊躇わずに肉棒を自ら差し出して）……♡く、口で……♡口で、ぐちゅぐちゅに、して欲しい♡♡僕の、おちんぽを♡君に、気持ちよくされたい…っっ♡（目の奥にハートを浮かべておねだりして……♡）
  (2023/10/13 00:51:18)

アイナ♀サキュバス> ふふっ♡それでは、決まりですわね♡貴方のおちんちんについたその精液♡全て搾り取って差し上げますわ♡そう、例え許されなくとも……これは勇者様が望んだこと……♡（肉棒に顔を近づけ)それではぁ♡(と、亀頭に再度軽いキスをし)いただきまぁす♡(そして、サキュバスの口に彼の肉棒を含み、そのまま喉奥までぐぽぐぽっ♡と挿入し、激しい吸い上げと全体への舐め上げで彼を追い詰めていく)どうですかぁ♡あんなに私のご奉仕を拒絶されていらっしゃったのに、今や自分からおねだりしてしまうだなんて♡勇者様、本当に可愛いですわね……♡一生仕えさせていただきたくなる程に♡(そのような声が彼の脳内に響き渡るだろう)
  (2023/10/13 00:57:28)

ハルク♂勇者> う、うん。お願い……はぁ、はぁ…♡もう、だめだ……♡君に、してもらわないと、おかしくなって、しまう…♡うぁっ♡♡（肉棒に近づかれたら期待した視線を向けて、キスをされたらまだまだ敏感そうに跳ねて…♡）あ、ああぁっ♡のど、おくまで……ひう、うあぁっ♡♡こんな、こんなの、がまん、できな……っ♡♡（激しい吸い上げと喉奥まで熱い口に包まれる快感はさっきのフェラよりももっと気持ちよくて。身をくねらせて悶えてしまい）だって、だって……♡こんな、されたら、忘れられない…つま♡はぁ、はあぁっ♡♡きもちい、気持ち良すぎるっ♡♡僕も、僕も、君とずっといたい…っ♡♡ん、ああああぁぁ……っ♡♡（サキュバスのことを完全に受け入れてしまうと同時に限界が訪れる。どびゅっ♡どびゅっ♡びゅるるるるっ♡びゅうぅ…っ♡最後の射精は長く、長く…彼女との行為を惜しむように何度も脈打って精を喉の奥に吐き出していって）
  (2023/10/13 01:06:05)

アイナ♀サキュバス> (彼の濃厚な精液を、喉奥で文字通り全て飲み干してしまえば)……はぁっ♡ごちそうさまでした、勇者様……♡(と、彼の頭を撫で始め)とても激しく、逞しく。そして可愛かったですわよぉ♡(と、囁きかけ、「勇者様の事、如何いたしましょうか……♡」と考えつつ)四回も射精出来るだなんて……ふふっ♡勇者様のおちんぽは凄いですわね♡虜になってしまいそうですわぁ♡(そうして、暫く彼の事を撫でながら、迷っていたアイナであった)
  (2023/10/13 01:11:52)

ハルク♂勇者> はぁ、はぁ……はあ、あぁ……♡さすがに、も……♡ふ、うぅ……♡……最後のは褒められているのか、わかんないんだけど……（撫でられながら可愛いと言われてしまえば少し不服そうな、けれど撫でられるのは少し嬉しそうに頬を緩ませてしまっていて）……ま、まぁ勇者だからね……いや君が凄かったからだと、思うけど……♡……虜にされたのは僕の方というか…。僕が負けたのだから…君の好きにすれば良いよ…（何となく迷っている風なのを感じてぼそりと呟き）…気持ち良くできなかったのは悔しいけど…っ
  (2023/10/13 01:19:15)

アイナ♀サキュバス> ふふっ♡それならば、私を貴方の専属メイドさんにしてくださいね♡実は私……お恥ずかしながら、黒くて美しいお洋服でご奉仕をする、メイドさん♡というものに憧れておりまして……、確かに勝ったのは私と言えますが、これは私の……興味ですので。(少し饒舌気味に)ぜひ付き合ってくださるとありがたいのですが……(キラキラした目で勇者の事を見つめ)私はアイナという者でございますわ。貴方のお名前もお聞かせくださいますと嬉しいですわ♡
  (2023/10/13 01:24:20)

ハルク♂勇者> ……え？め、メイドさん……っ？そ、それは……まあ、それくらいなら全然……大丈夫だけど（何を言われるのか少し身構えていたら予想外のことで目をパチパチとさせた。ただメイドについて話している彼女の言葉は熱があって嘘とも思えず、戸惑ったままこくりと頷いて）……か、可愛い……じゃ、なくて、えっと、アイナだね（キラキラした目はさっきまで妖艶な雰囲気とは違ってギャップに思わず声が漏れてしまった。頬をかいて）…僕はハルクだ。えっと、よろしく、でいいのかな…。…じゃあ、ダンジョンから出て…メイド服、買いに行く？
  (2023/10/13 01:30:06)

アイナ♀サキュバス> もちろん！ハルク様が大丈夫でしたら、今すぐにでも行きましょう！(と、息を巻くアイナ。彼女は昼は興味をいだいていたメイドとして活躍し、夜は彼の精液を絞り尽くすような生活を送るだろう)   (2023/10/13 01:32:15)

アイナ♀サキュバス> 【申し訳ありません、此処で一度〆とさせてください】   (2023/10/13 01:32:32)

ハルク♂勇者> 【はい、対戦が長引いてしまいましたからね…っ。でもとても素敵でした、ありがとうございました…！】   (2023/10/13 01:33:54)

