/


「最強勇者VS雑魚サキュバス」の過去ログ

現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

タグ 罰 [/?tag_id=2952#freerooms]  対決 [/?tag_id=4107#freerooms]  サキュバス [/?tag_id=10321#freerooms]  イメチャ [/?tag_id=33#freerooms]  サイコロ
[/?tag_id=1251#freerooms]

2022年10月22日 19時30分 ～ 2022年10月28日 15時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クライド♂勇者> 【強かった、勝てると思ってました笑】   (2022/10/22 19:30:47)
レイシア♀サキュバス> 【わたくしのデバフ付与ですわ〜！】   (2022/10/28 00:53:42)

エレノア♂勇者> 【これはー…即挿入、即射精ロルですね…参りますよ…】   (2022/10/28 00:55:21)

レイシア♀サキュバス> 【わたくしの手コキに我慢し切れなくなってという形でもよろしくてよ…？ちなみにわたくしのルールでは偶数で合わせていただきたいですわ〜…】   (2022/10/28 00:56:39)

エレノア♂勇者> ぁ、ぅ……やっ、ばっ…(自分自身、経験量には自信があった。だが、淫魔のテクニックや雰囲気には呑まれてしまいあっという間に射精感に達してしまい抵抗しようがダメ…だが、なんとかしなければならない…が、考える間に)ぁ、っ……くっ、ぅっ…♡(あっという間に誘惑や快楽に負けてしまい、果ててしまう。どく、どく…溜め込んでいたのだろう、大きく脈打ちながら淫魔の身体にかけてしまい…)
  (2022/10/28 00:58:56)

エレノア♂勇者> 【そんなぁ……分かりました。手コキに敗北した形で…】   (2022/10/28 00:59:19)

レイシア♀サキュバス> …！？（艶かしい指使いで扱いていると、レイシアはまだ軽くしているだけなのに、それにも関わらず射精してしまうエレノア。エレノアの精液がレイシアの手や胸、顔や髪に飛び散り汚してしまう。さすがに早すぎるとレイシアは一瞬戸惑う…）アナタ……びっくりするくらい早漏ですのね〜…♥この程度でお射精してしまうなんて無様ですわね〜？お〜っほほほ！（顔や胸についたエレノアの精液を指で取り舐め上げ一度射精したエレノアを完全に見下したような表情で見つめ高笑う）
  (2022/10/28 01:05:43)

レイシア♀サキュバス> 1d6 → (1) = 1  (2022/10/28 01:06:16)

エレノア♂勇者> 【この連鎖きついー…】   (2022/10/28 01:06:52)

レイシア♀サキュバス> 【お口で吸い取らせていただきますわね…？】   (2022/10/28 01:07:18)

レイシア♀サキュバス> ふふふ…わたくしの冷たくて気持ち良いお口でお掃除フェラをしてこの早漏の情け無いおちんちんはカラッポになるまで吸い尽くして差し上げますわ〜…♥んむっ…ぢゅ、ぢゅるるる〜…♥（さらに射精したばかりの精液塗れのエレノアの肉棒にれろれろと舌を這わせ不着した精液を舐め取り、舐め終えると冷たい口内へエレノアの肉棒を咥え込み尿道に残る精液まで吸い尽くすような激しい吸い付きで搾り尽くしていく）
  (2022/10/28 01:13:40)

エレノア♂勇者> は、ぁっぅ……ま、っ…咥えな、ぃぃっ！！♡♡(こんなはずではない。そんな葛藤を繰り返したとしてもどうにもならず…射精後の身体は言うこと聞くはずもなくひんやりとした口内に肉棒は吸い込まれていく。尿道に残った液まで吸い出され、激しい口の中の動きに腰を震わせ声も漏れてしまう。このままでは、引き込まれる…だが、身体は言う事を聞かずにこのフェラを感じてしまう…】
  (2022/10/28 01:17:12)

エレノア♂勇者> 1d6 → (3) = 3  (2022/10/28 01:17:31)

エレノア♂勇者> 【よし、よし…！…とは言っても、この後身体に力を込め直し…とかになっちゃうのでこのまま其方のターンで大丈夫では…？】   (2022/10/28 01:18:23)

レイシア♀サキュバス> 【ええ、ではその方向で…】   (2022/10/28 01:19:30)

レイシア♀サキュバス> 1d6 → (2) = 2  (2022/10/28 01:19:36)

レイシア♀サキュバス> 抵抗しないのなら、ひたすら搾り取ってしまいますわよ…？ふふ…んぢゅる……ぢゅるる♥（明らかに引き込まれそうになってるエレノアを見て余裕気なレイシアはそのまま跪いた形でお口による快楽攻撃を続行する。媚薬の成分が含まれたサキュバスの唾液をたっぷりとエレノアの肉棒に塗りたくり浸透させ、エッチな水音を立てながら吸い続けじわじわとエレノアの身体の内から理性や気概を同時に吸い出していく。）
  (2022/10/28 01:25:12)

レイシア♀サキュバス> 【随分と弱くなってしまわれましたわね〜…♥】   (2022/10/28 01:26:09)

エレノア♂勇者> 【絞られてしまいして…これは、厳しい…】   (2022/10/28 01:27:24)

エレノア♂勇者> 【これも、先に振りますね…】   (2022/10/28 01:27:55)

エレノア♂勇者> 1a2   (2022/10/28 01:27:58)

エレノア♂勇者> 1d2 → (1) = 1  (2022/10/28 01:28:05)

エレノア♂勇者> ……ふぅ、ふぅっ…ぅ、♡っ……あまり、調子に…乗らないっ…！！！(息を必死に整える。美味そうに自身の肉棒を咥え、媚薬効能のある唾液と共にこのまま引き摺り込もうとする相手の動きに対し、いまかいまかと隙を窺う。…そして、口から離した一瞬の隙を逃さず、足を振り上げ蹴り飛ばそうと。先ほどまでの快楽により力がうまく入らないが、それでも充分な威力…)
  (2022/10/28 01:30:33)

レイシア♀サキュバス> 1d6 → (5) = 5  (2022/10/28 01:31:37)

エレノア♂勇者> 【…・これは、むり…】   (2022/10/28 01:36:05)

レイシア♀サキュバス> …おっと、危ないですわ〜……ふふ。（ずっと見つめていたため、口を離した時にエレノアの表情から蹴りが繰り出されるのが目に見えていたのか、咄嗟に反応し、離れる。それでも蹴りは身体を擦り少し負傷する…しかし、力を奪われ続けたエレノアの蹴りは初めと比べてもかなり弱くなっており怯ます事さえもできず効いているようには見えない。）
  (2022/10/28 01:47:30)

レイシア♀サキュバス> …もう堕ちるまで秒読みってところかしら〜…♥せっかくだからわたくしのとっておきを使って差し上げますわ〜…（少し離れたかと思いきや心が弱っているエレノアに畳み掛けるように、レイシアはエレノアの身体をギュッと抱きしめる…抱き締めた際に柔らかなおっぱいをエレノアの胸板に押し付け、柔らかい感触とレイシアの身体や淡青色のサラッとした長髪からふんわりと香る甘い香りがエレノアを包み込んでいき、そして耳元に唇を近付け吐息を吹きかけながら掠れたような甘い声でエレノアに囁きかける…）ねぇ…？ホントはわたくしに気持ち良い事いっぱいされて搾り取られて敗北したいんですのよね…♥上手におねだりできたら気持ち良い事たくさんして敗北お射精させて差し上げますわよ…♥（ギュッと抱擁を強くしていき、擦り付けるおっぱいをスリスリと胸板に当ててエレノアの耳穴にひんやりとした舌先をねろぉ〜…♥ッとねじ込み脳内を侵食するかのような甘い誘惑をして本気で堕としにかかる）
  (2022/10/28 01:47:34)

レイシア♀サキュバス> 【読みづらくなるからあまり長々と描きたくは無い派なのだけど、ダイスを間違えて先に振ってしまったからその分も含めてですわ〜…♪】   (2022/10/28 01:49:54)

エレノア♂勇者> 【いえ、素敵なロルです…このまま堕ちそう…】   (2022/10/28 01:51:30)

レイシア♀サキュバス> 【このまま堕ちてもよろしくてよ…♥（ぺろり）】   (2022/10/28 01:55:06)

エレノア♂勇者> く、ぁっ…このっ…(此方の蹴りは、そこまで聞いていない様子。悔しさに顔を滲ませ、何とか抵抗、何とか逆転をしたいところ。立ち上がろうと全身に込めても、どうにも出来ず…再び相手のターン。人間とは違う「女の魅力」を固めた様な身体、感触、囁き…柔らかな胸の感覚が、自身の体にも伝わり抱擁に対しても心許してしまう自分がいて……そして最後に脳内に浸透し響く様なねっとりとした声。そわな誘惑に乗るか、と言う思考は舌での舐めに寄って掻き消され、「ふざけるな」と発したかった口は……観念の口上を離してしまい、脱力して預けてしまう。それも、前職の様に、母性や何かを反応させる様な甘えた口調で…)ぁ、…♡くち、で…続き、してくだにゃぃっ…♡お願いひま、ひゅっ…♡
  (2022/10/28 01:55:38)

レイシア♀サキュバス> …そんなにわたくしのお口が気持ち良かったですのね？では、アナタのご希望通りまたお口でいっぱい搾り取って差し上げますわね…♥（悔しそうになんとかしようと試みるもそんな思考はレイシアの魅力に完全に溶かされ、エレノアは情け無くもおねだりをしてしまう…勇者であるにも関わらず。）…こうやってお口でひたすら搾り取られてじわじわと体力をわたくしに吸い取られていくのが嬉しいんですのね…？ぶ・ざ・ま…♥お〜っほほほ！！（堕落した勇者の姿に勝ちを確信したレイシアはどんどんと調子に乗り高笑いも絶好調になっていく。そして、再びエレノアの足元へとしゃがみこんでエレノアの手首をがっしりと固定して掴み拘束した状態で上目遣いで舌先でおちんちんをぺろぺろと舐め回したのち、口を開け唾液たっぷりの口内で咥え込む。ねっとりと唾液を絡ませながら唇を締め付けるように先端のみを咥えて刺激し、激しい吸い付きによってエレノアの精気を吸い上げていく。）
  (2022/10/28 02:07:11)

レイシア♀サキュバス> 【エレノアのHPを70吸収でよろしくて…？】   (2022/10/28 02:08:04)

エレノア♂勇者> 【……はい。それ以外が敗北かHP2なので…】   (2022/10/28 02:09:44)

レイシア♀サキュバス> 【いただきますわ〜…♥】   (2022/10/28 02:11:09)

エレノア♂勇者> ふぁぁ……♡とりょけりゅ、っ♡ぁぁ……♡(無様だろうと、何だろうと罵倒されても、身体はもうスイッチが切り替わり快楽を受け入れる態勢になってしまっている。心地よい感覚に身を委ね、激しい口の中のテクニックに溺れるのみ…その結果、果てることなく体力を奪われ、蕩けただらしない顔で、もはや勇者の面影なく絞られていく……)
  (2022/10/28 02:13:52)

レイシア♀サキュバス> 1d6 → (3) = 3  (2022/10/28 02:15:52)

エレノア♂勇者> 【ぅぁ………トドメは足だなんて…】   (2022/10/28 02:16:22)

レイシア♀サキュバス> 【わたくしで合ってまして？】   (2022/10/28 02:16:36)

レイシア♀サキュバス> 【足が嫌なら変える事はできますわよ〜…？】   (2022/10/28 02:17:10)

エレノア♂勇者> 【…任せます。このままトドメ…ですね。其方であってますー】   (2022/10/28 02:18:35)

レイシア♀サキュバス> このままお口で搾り切ってしまっても良いけれど…わたくしにたてついてきたって事で、せっかくだから最後は最高に屈辱的なやり方でお射精させて差し上げますわ〜…♥（レイシアの瞳が淡青色からピンク色の変わり妖しく光る。魅了されたエレノアの身体を操るように…するとレイシアは暗示をかけて魅了されたエレノアを横に寝かせるようにする。…そして背を向けるようにエレノアの胸板の上に座り脚先を肉棒へと伸ばし、エレノアの肉棒を足先で挟む。）ふふ……どぉ〜…♥ザコサキュバスに足蹴にされる気分は？悔しいですわよね〜…♥でも、もうアナタの運命は決まってますのよ〜？足蹴にされて無様にわたくしに敗北射精するという運命は…。ふふ、さぁイっておしまい…♥お〜っほほほ！！（おまんこはもっての他で手や口さえも使わず、足先のみで最後の力が溜まったエレノアの肉棒を扱き続ける…レイシアは完全に馬鹿にしたような態度で高笑いしており、最後の敗北射精を促しつつも言葉で罵倒して煽り、エレノアに屈辱を与える）
  (2022/10/28 02:30:38)

レイシア♀サキュバス> 【足蹴にしてやりましたわ〜！お〜っほほほ！屈辱的ですわよね〜…♥ん〜？（調子に乗りまくり）】   (2022/10/28 02:31:38)

エレノア♂勇者> 【うううぅ……敗北ロル書きます……ぁぁぁ…】   (2022/10/28 02:33:32)

エレノア♂勇者> ぃ、ぁっ……ぅぅ、♡ぁっ♡ゃぁ…♡(連続した快楽責めと媚薬効果は、体の自由と心の余裕も奪い…トドメとして身体に全ての抵抗力を失わされ、瞳の魅了を受けてしまい…言う通りに横に寝てしまう。屈辱的な台詞と足での刺激に、抵抗が快楽によって全て塗りつぶされてしまう。ただ喘ぎ、蕩けた表情で受け止め、もう、何も出来ない…足蹴にされ、蕩けた意識の中…最後に残った力で…「イキまひぅ…♡」と丁寧に宣言した後、どぴゅ……♡と、敗北射精。今日一番の放出を足でされた後、様々な葛藤や限界により、一度意識を落としてしまう…心に、屈服、敗北、誘惑を刻まれて………)
  (2022/10/28 02:37:53)

エレノア♂勇者> 【…こんな感じでしょうか]   (2022/10/28 02:38:02)

レイシア♀サキュバス> オホホホ！口ほどにもありませんわね〜っ！？人々を救う為に？アナタの様なザコが救えるワケありませんわ〜！（クスクスと笑いながらエレノアの肉棒をひたすら扱き続け、びゅるびゅると敗北射精をし最期の精を放つも狂ったように気絶するまで扱き続ける）…わたくしに挑むなんて一万年早いですわ〜…♥（しばらくレイシアによる足で扱き続けられる拷問を受けて精気を失いすぎて気絶したエレノアの頬にチュッとキスをし、キスマークを付ける。）これはわたくしからのプレゼントですわ…♥次からサキュバスと戦う時にせいぜい苦戦するといいですわ〜…♥お〜っほほほほほ！！（その付けられたキスマークは呪いの一種で、サキュバスを見ると興奮が高まり疼きが止まらなくなってしまうというデバフ。それをエレノアに付与するとニヤリと笑い魔氷の薔薇を手に持ちながら高笑いと共に優雅に歩き去っていく。その後、エレノアは救助部隊によって街へ搬送されたがレイシアに付けられたキスマークは消える事は無く永遠に背負わされる枷になってしまった。）
  (2022/10/28 02:52:47)

レイシア♀サキュバス> 【〆ですわね。…別に他のサキュバスと戦う時にわざわざ付与されている設定にしなくても良いですわよ？わたくしと再戦しやすいようにしただけですもの…】   (2022/10/28 02:54:17)

エレノア♂勇者> 【デバフまで…対戦、ありがとうございましたっ。再戦の口実も頂きましたし、次は是非…今回の様に遅くならなければ、個室の方でもされそうで…色々とても楽しかったですっ。これからも、とてもどうなるかが……】   (2022/10/28
02:56:54)

レイシア♀サキュバス> 【ええ、こちらこそ楽しかったですわ〜♪個室でもされそう…？まだ搾り足りないんですの…？（ぺろりっ）】   (2022/10/28 02:59:09)

エレノア♂勇者> 【ぁ、ぃ、ぃゃっ…で、でももう時間が…】   (2022/10/28 03:01:46)

レイシア♀サキュバス> 【そうですわね…？では、後日たっぷりと搾り取ってメロメロにして差し上げますわ〜…♥】   (2022/10/28 03:03:11)

エレノア♂勇者> 【是非、お願い致しますっ…今夜は遅くまでありがとうございましたっ……また、是非リベンジ等させて下さい……レイシアさんはこのまま寝ますか？私は軽く雑談の方に顔を出そうかと思いますが…】   (2022/10/28 03:04:48)

レイシア♀サキュバス> 【わたくしはこのまま落ちようと思いますわ〜…♪チラッと今覗いたけどティノカが心配ですわね。とりあえずまた明日ですわね！では、ごきげんよう〜…♥】   (2022/10/28 03:08:38)

おしらせ> レイシア♀サキュバスさんが退室しました。  (2022/10/28 03:08:49)

エレノア♂勇者> 【そうですね…お疲れ様でしたっ。…ティノカさん、気にしないでくださいね。それでは、また…絶対、リベンジします、からっ…♡]   (2022/10/28 03:09:58)

おしらせ> エレノア♂勇者さんが退室しました。  (2022/10/28 03:10:01)

おしらせ> ステラ♀サキュバスさんが入室しました♪  (2022/10/28 05:57:14)

ステラ♀サキュバス> 【朝上げ～】   (2022/10/28 05:57:46)

おしらせ> ポポム♂勇者さんが入室しました♪  (2022/10/28 06:02:16)

ポポム♂勇者> 【はじめましてー…？？？】   (2022/10/28 06:02:29)

ステラ♀サキュバス> 【はじめましてだよ～、似たようなサキュバスにでも犯されちゃったりしたことがあるの？】   (2022/10/28 06:03:52)

ポポム♂勇者> 【まぁ…一年ぶりとかそんくらいにこの部屋にきちゃいましたね…w】   (2022/10/28 06:04:26)

ポポム♂勇者> 【もはや前世の話ですね…よろしくお願いしますw】   (2022/10/28 06:06:20)

ステラ♀サキュバス> 【そんなになんだｗ　それだけ私に惹かれたってこと？それとも犯されたくなっちゃったってこと？ｗ】   (2022/10/28 06:06:27)

ポポム♂勇者> 【まだロル始まってもいないのに煽ってきやがる…wくっ…悪魔め…！w】   (2022/10/28 06:07:44)

ステラ♀サキュバス> 【じゃあ始める??ｗ】   (2022/10/28 06:08:49)

ポポム♂勇者> 【ぜっ…絶対に負けないんだから！！】   (2022/10/28 06:09:31)

ステラ♀サキュバス> 1d6 → (5) = 5  (2022/10/28 06:09:55)

ポポム♂勇者> 【はやいよぉ…はやい…はやいぃ…おねだりがw】   (2022/10/28 06:11:04)

ステラ♀サキュバス> は～い♪こんな朝なのにお勤めご苦労様～♡(館に乗り込んできた勇者、自らが隠れる部屋を通り過ぎた刹那に気配なくスーｯと背後へ忍び寄るとそっと身体密着させ魔性の声で耳元でささやき息吹きかけて)   (2022/10/28 06:11:48)

ステラ♀サキュバス> 【ド淫乱勇者君だね♪】   (2022/10/28 06:12:11)

ポポム♂勇者> 【1d3で振っておねだりしますね…w】   (2022/10/28 06:13:05)

ポポム♂勇者> 1d3 → (1) = 1  (2022/10/28 06:13:48)

ポポム♂勇者> さ…サキュバス…？♡んっ…今遠征で股間に…その…毒素が溜まってるから…あの…お、お口で(いきなり背後から現れ、普通であれば討伐の態勢をとるのだが…すぐに洗脳されて目が虚な状態でお口でと処理して欲しいと懇願…)   (2022/10/28
06:17:01)

ステラ♀サキュバス> なにぃ？口が好きなの？じゃあじゅぽじゅぽ…ってお口で君のおちんちんしゃぶってあげるね？毒素で大きくなっちゃってるのかな??(始まるなり自らのチャームボイスの効果があったのか早速おねだりをしてくる変態勇者に気を良くして意地悪に笑い。相手のモノをサッと手で撫で上げればモノはすぐに大きくなり。相手のモノを立たせればしゃがみ込み舌先でモノを素早く舐めまわすと咥えいやらしい水音わざとたてながらいやらしくカリ首沿いを集中的に舐めまわしていき。)
  (2022/10/28 06:17:38)

ポポム♂勇者> …っ♡んぐっ♡(股間のものに激しい刺激で目が覚め周りを見るとそこにはサキュバス…)…なにぃ！？？……ふ…不覚…んぐっ…おまえ！なにをしている！！んっ♡(快感に酔いしれ上手く剣が握らずサキュバスのされるがままになっている)  
(2022/10/28 06:22:05)

ステラ♀サキュバス> 【次は勇者君の攻撃であってる？】   (2022/10/28 06:23:37)

ポポム♂勇者> 【あっ、ぼくか！！！！！ちんこ舐められてる場合じゃねぇ！！】   (2022/10/28 06:24:38)

ステラ♀サキュバス> 【多分ｗ腰じゃなくてダイスふってね～♪】   (2022/10/28 06:25:04)

ポポム♂勇者> 1d6 → (5) = 5  (2022/10/28 06:25:07)

ポポム♂勇者> 【んもう…かっこよくない勇者〜ww】   (2022/10/28 06:25:38)

ポポム♂勇者> んぐっ♡(サキュバスに激しく股間をくわえられ、ぷるんっ♡っと目の前で揺れている胸に目線がいき)…サキュバスといえどッ！(目の前で揺れている乳房の服を剥ぎ取り)っっ！こ…こうだ！！(乳首をつねりサキュバスの弱点を責め立てる)  
(2022/10/28 06:29:21)

ステラ♀サキュバス> あぁん♡なにするの…やっ…強引なんだから…おっぱい好きなの??(欲情したのか自ら胸を荒々しく触り先端をつねられれば胸は敏感なのかビクビクッと身震いしてしまい。)   (2022/10/28 06:31:02)

ステラ♀サキュバス> 1d6 → (1) = 1  (2022/10/28 06:31:09)

ポポム♂勇者> 【www口で処理される…www】   (2022/10/28 06:31:42)

ステラ♀サキュバス> 乗り気みたいだから追い打ちかけちゃうね？(少し驚くがニッコリ微笑むと髪をいじりながら、相手のモノをもう片方の手で掴むと自らの口に含んでいき。カリ首だけでなく竿の奥まで咥え込み上下にじゅぽじゅぽと唾液混じらせ疑似オナホのように刺激していき。)
  (2022/10/28 06:33:36)

ポポム♂勇者> (不意打ちからの口でのご奉仕で…サキュバス相手に乳首責めなどの逆行為に、勇者は〈混乱〉しているようだ。)んんっぐっ…♡…な…舐めるなよ…(射精してしまえばサキュバスの養分になってしまうことは理解しているようで射精を我慢する勇者)…お…低級悪魔如き…んんっ…♡(勇者の声と、股間のそれとビクビクと震わせながら)
  (2022/10/28 06:37:40)

ポポム♂勇者> 1d6 → (5) = 5  (2022/10/28 06:37:46)

ポポム♂勇者> 【w】   (2022/10/28 06:38:11)

ステラ♀サキュバス> 【奪うってそっちをHPマイナスして、こちらにプラスするのかな??それともそっちのHPマイナスだけかな？】   (2022/10/28 06:41:09)

ポポム♂勇者> (やはり勇者は〈混乱している！〉)おまえも…ここを責められれば…身体を震わせているのがわかるぞ！！♡(と言葉では言っているもののサキュバスの淫猥な乳房に夢中で乳首をいじり遊び惚けている)   (2022/10/28 06:41:16)

ポポム♂勇者> 【まぁ…サキュバスさんはHPちゅっちゅしてドレイン的な感じはありそうなんで前者な感じではあるとは思いますが、この文章であれば…】   (2022/10/28 06:43:08)

ステラ♀サキュバス> やっ…ちょ、ちょっと…♡やっぱりおっぱいが好きなんだ…いいよ…もっとめちゃくちゃにして…♡(モノを責めていくが、胸を集中攻撃されれば感度高まっていき。自らの豊満な乳房に夢中な胸好きの勇者に戸惑いつつも相手を満足させようと肘を曲げ無防備な状態を演じ)
  (2022/10/28 06:44:59)

ステラ♀サキュバス> 【じゃあ今回のバトルはひとまずそっちのHPマイナスだけでいくね？】   (2022/10/28 06:45:20)

ステラ♀サキュバス> 1d6 → (3) = 3  (2022/10/28 06:45:53)

ポポム♂勇者> 【おっけーです！まぁ巻き戻し計算めんどいと思うので…！w】   (2022/10/28 06:46:33)

ステラ♀サキュバス> はぁい、おっぱい好きの勇者君に次はステラの美脚を堪能してもらいま～す♪(言うなり胸を弄っている相手をいきなり突き飛ばすと仰向けに倒れた相手を前にブーツを脱ぎ捨て、素足で相手のモノを踏みつけるとゆっくり踏みにじり、脚の指先でにちゃにちゃと我慢汁と併せてヌルつく相手のモノを弄り回し前後に踏みにじって刺激していき)
  (2022/10/28 06:48:31)

ポポム♂勇者> 【ふつうにダメージたけぇ…足コキに興奮しすぎぃ…w】   (2022/10/28 06:49:11)

ステラ♀サキュバス> 【脚フェチくんだねぇ♪吸収しなくても勝てそうかな(笑】   (2022/10/28 06:49:59)

ポポム♂勇者> (長い時間舌で刺激され身体の軸がブレて簡単に横転してしまう)ンンンンッ〜♡(サキュバスの脚に股間を丸出しのまま大股を開いた情けない格好で脚に踏まれぬちゅぬちゅ…っと我慢汁を垂れ流す)んっふーっ…んふっー…♡んんんんっ…(サキュバスと顔を合わせる事なく虚空を見ながら必死に射精を我慢をし…)
  (2022/10/28 06:54:17)

ポポム♂勇者> 1d6 → (5) = 5  (2022/10/28 06:54:37)

ポポム♂勇者> 【おっぱいちゅき♡】   (2022/10/28 06:55:24)

ステラ♀サキュバス> 【胸は私も弱いから上手く責めてね(笑】   (2022/10/28 06:56:01)

ポポム♂勇者> (大股開いて仰向けの格好から身体をグッと引き寄せ露わになってる胸に顔を埋め)…ンンっ…このっ…！このっ…！っっっ♡(乱暴に乳房を鷲掴みしながら)れるっ…んーーっれるっっ♡れおっ…(むしゃぶりつき舌でねちっこく乳房を舐め回す)  
(2022/10/28 06:59:36)

ポポム♂勇者> 【転生したらおっぱい好きだった件について…】   (2022/10/28 07:01:01)

ステラ♀サキュバス> やっ…♡す、すごい胸への執着…あぁ…だめっ…ひゃっ♡(脚で感じれば感じるだけ興奮しているのか、身体強引に抱き寄せられればドキッとして。胸に顔をうずめ、鷲掴みにして揉まれながら先端をいやらしく舐めまわされれば感じてしまいビクついてしまっていて)
  (2022/10/28 07:01:32)

ステラ♀サキュバス> 1d6 → (2) = 2  (2022/10/28 07:01:39)

ポポム♂勇者> 【winwinならよかったですけど…なんかww乳しかいかないぃ〜】   (2022/10/28 07:01:47)

ポポム♂勇者> 【3が出たら負けちゃう…こんなあっさり…】   (2022/10/28 07:02:58)

ポポム♂勇者> 【セーフ…w】   (2022/10/28 07:03:09)

ステラ♀サキュバス> 胸ばっかりダメな子…お仕置きが必要ね…(胸を集中的に攻められ少し焦りつつ、自らの胸に夢中な相手のモノを掴むと手でゆっくりと扱き始め。指の間に相手のモノを挟みいやらしく上下に擦りじっくりと刺激蓄積するよう触りたくっていき)  
(2022/10/28 07:04:01)

ポポム♂勇者> (乳房に顔を埋めながら乳房の先端の硬くなったものにダメだと思いつつも興奮してしまい、射精を我慢している分の疲労で身体の怠惰感を感じている)んんれぇっ…♡んっっ♡♡(乳房をちゅぱちゅぱ卑猥な音を立てながら舐めながら…舌で先端を転がし、舌で先端に触れては離れるを繰り返し…側から見れば授乳手コキ異常感に興奮してしまっている)
  (2022/10/28 07:12:00)

ポポム♂勇者> 1d6 → (5) = 5  (2022/10/28 07:12:37)

ポポム♂勇者> 【wwwwww】   (2022/10/28 07:13:00)

ポポム♂勇者> (手で淫猥に上下に擦られながらも粘着的に胸を責め続ける)…んんっ…れろっ♡んっ…♡んちゅー♡(舌で転がしたり、舌で甘噛みしたり…片手は常に胸を揉み続け、まるで赤ちゃんのように胸に夢中になっているかのようだ)   (2022/10/28
07:17:03)

ステラ♀サキュバス> やっ…♡も、もう…本当に胸が好きなんだから…んっ…♡(執拗に胸をまさぐりザラつく舌で先端を責められ、甘噛みまでされれば時折思わず甘い声漏らしてしまい。執拗な胸責めに感度はどんどん高まってしまっていて)   (2022/10/28
07:18:54)

ステラ♀サキュバス> 1d6 → (5) = 5  (2022/10/28 07:18:59)

ステラ♀サキュバス> もう気持ちよくなりたいでしょ？ほら…どうされたいか言ってみて…めちゃくちゃにしてあげるよ♡(授乳手コキ体勢に入りながら相手の耳元で囁き、胸を必死にまさぐる相手に尋ね。チャームボイスで仕留めにかかり)   (2022/10/28
07:20:56)

ポポム♂勇者> 【何一つ勇者っぽいことできてない…ただおっぱい好きのドMになっちゃう…w】   (2022/10/28 07:21:22)

ステラ♀サキュバス> 【救いようのない変態くんだね笑】   (2022/10/28 07:23:07)

ポポム♂勇者> 【もうここまできたら足コキ選びたくなっちゃう…けどサイコロで決めます…笑】   (2022/10/28 07:23:16)

ポポム♂勇者> 1d3 → (2) = 2  (2022/10/28 07:23:26)

ポポム♂勇者> (顔をトロけさせながら乳房に顔を埋め谷間の中からサキュバスの顔を覗き、上目遣いで)さ…サキュバスさんの…お…おてて…♡おむねちゅーちゅーしながらおててで…このままお射精したい…ですッ♡(と甘えた声でえっちなおねだりをしてしまう)  
(2022/10/28 07:27:32)

ステラ♀サキュバス> どうしよっか？イキたい？ねぇ？(すっかり自分に堕ちた様子の相手に満足げな笑みを浮かべ、意地悪に手コキで焦らしながら相手をまだ射精させずに楽しみ。)   (2022/10/28 07:28:52)

ステラ♀サキュバス> 1d6 → (5) = 5  (2022/10/28 07:28:58)

ステラ♀サキュバス> ほらほら…気持ちいいね♪おちんぽおかしくなっちゃうよ??(手で扱きつつ相手の耳元で囁き、生殺し状態を続け)   (2022/10/28 07:29:44)

ポポム♂勇者> (あ〜♡w)   (2022/10/28 07:30:43)

ポポム♂勇者> 1d3 → (3) = 3  (2022/10/28 07:30:57)

ポポム♂勇者> さ…最後は…さ…サキュバスさんの…脚っ…脚で踏まれたい…です♡♡♡   (2022/10/28 07:31:52)

ステラ♀サキュバス> はぁい♪ここまでね、気持ちよくイってね♡(焦らしに焦らしたモノから射精させようと相手を突飛ばすと、背後に回り込み後ろから腰に脚を回して。両足で相手のモノを挟み込むとにちゃにちゃと指で扱き。上下に擦りながら一気に扱き上げ、相手を射精にいざない。)
  (2022/10/28 07:33:29)

ポポム♂勇者> んぐううう♡あああっ…♡い…いく♡…いくっっっ♡(サキュバスの目の前で仰向けの体制で横たわりながらひたすら射精を我慢したソレは情けなくお漏らしをしてしまう)…ああっ…♡あっ…さ…サキュバス…さん…ああっ…♡(下半身を露出させたまま大の字で敗北してしまう……)
  (2022/10/28 07:38:12)

ステラ♀サキュバス> 【じゃあこれでおしまいね、楽しかったよ。ありがとね笑】   (2022/10/28 07:39:30)

ポポム♂勇者> 【こんな情けない負けっぷり初めてでした…】   (2022/10/28 07:40:03)

ステラ♀サキュバス> 【無様だったね笑　M男君にはお似合いだよ～】   (2022/10/28 07:40:40)

ポポム♂勇者> 【こちらこそ楽しかったです…まったく戦いにならなすぎてロルへたっぴだったかも…】   (2022/10/28 07:40:47)

ステラ♀サキュバス> 【そんなことないよ、またよかったら遊ぼうね。じゃあまた♪】   (2022/10/28 07:41:16)

ポポム♂勇者> 【その背後を責めないで…w】   (2022/10/28 07:41:22)

おしらせ> ステラ♀サキュバスさんが退室しました。  (2022/10/28 07:41:24)

ポポム♂勇者> 【ありがとうございました！！♡】   (2022/10/28 07:41:54)

おしらせ> ポポム♂勇者さんが退室しました。  (2022/10/28 07:42:04)

