/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月14日 14時08分 ～ 2024年10月15日 14時33分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13HL ◆> ふむふむ…新婚…結婚…いいね   (2024/10/14 14:08:10)
おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/14 16:11:15)

おしらせ> ステフさんが退室しました。  (2024/10/14 16:11:17)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが退室しました。  (2024/10/14 16:11:21)

エロガキ♂19H> わかりました   (2024/10/14 16:11:48)

ラム ◆> じゃあさっさと時間を決めなさい(足蹴、)   (2024/10/14 16:12:08)

胡桃 ◆> 移動完了したら私も抜けるね   (2024/10/14 16:12:11)

エロガキ♂19H> 10d3 → (3 + 2 + 3 + 2 + 1 + 3 + 1 + 2 + 2 + 1) = 20  (2024/10/14 16:12:19)

ラム ◆> 32分まで貴方は椅子にでもなってなさい。   (2024/10/14 16:12:41)

ラム ◆> ラムに座ってもらえる事を光栄に思うのね   (2024/10/14 16:12:58)

エロガキ♂19H> わかりました…(四つん這いになって)   (2024/10/14 16:12:59)

胡桃 ◆> 【スバルさんは移れたかな…？って心配しながら行ってきます！】   (2024/10/14 16:13:11)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが退室しました。  (2024/10/14 16:13:14)

ラム ◆> 椅子が服を着ているのはおかしくないかしら？(お尻蹴って、)   (2024/10/14 16:13:25)

エロガキ♂19H> ……(全裸になると再び四つん這いになる)   (2024/10/14 16:14:01)

ラム ◆> バルスの方がまだ座り心地良いわね(彼の上に腰掛けて裸の人の上にメイド座って、、、)   (2024/10/14 16:15:04)

エロガキ♂19H> ラムさんて意外と、、(いいかけた言葉を飲み込んで)   (2024/10/14 16:15:58)

ラム ◆> 何よ。何かあるのなら言いなさい、命令よ負け犬(太腿足蹴にして、)   (2024/10/14 16:17:41)

エロガキ♂19H> お尻大きいなって、、レムさんの方が肉付きがいいイメージなので、、(お尻の感触を感じながらモノを少し固くして)   (2024/10/14 16:18:56)

ラム ◆> 死になさい！(飛び降りてからぶらさがってるもの蹴り上げて)   (2024/10/14 16:19:26)

エロガキ♂19H> んふっ、、(蹴られるとさらに大きくなって)   (2024/10/14 16:20:08)

ラム ◆> 気持ち悪い、、何を考えてたらこうなるのかしら、、(お尻蹴り上げて汚い物見る目で見下ろして)   (2024/10/14 16:23:06)

エロガキ♂19H> ラム様にその目で見られるのやばいです、、(お尻を蹴られるとモノをﾋﾟｸﾋﾟｸ動かして)   (2024/10/14 16:23:54)

おしらせ> えろがき♂11aさんが入室しました♪  (2024/10/14 16:26:06)

えろがき♂11a> あ、すみません、ミスです！！   (2024/10/14 16:26:16)

おしらせ> えろがき♂11aさんが退室しました。  (2024/10/14 16:26:21)

おしらせ> 宝鐘マリンさんが入室しました♪  (2024/10/14 16:27:09)

宝鐘マリン> 間違えました   (2024/10/14 16:27:17)

おしらせ> 宝鐘マリンさんが退室しました。  (2024/10/14 16:27:35)

ラム ◆> 汚らわしい、、罵倒されて喜ぶなんて真性のマゾね、救いようがないわ。(見える逸物の揺れに目元痙攣して軽蔑の眼差しで見下しながら下がってる玉踏み捻って)   (2024/10/14 16:28:01)

エロガキ♂19H> あ"あ"ああ、、(玉は固くなり、逸物の先端からは我慢汁が垂れて)   (2024/10/14 16:29:27)

ラム ◆> どうして今の状況に興奮しているの、、惨めに蹴られてなじられて、、本当にどこまでも気持ち悪いわ、、(逸物にも垂れてる汁にも触れないように玉を蹴って)   (2024/10/14 16:31:20)

エロガキ♂19H> んっ、、、ぶびゅっ、、(玉を蹴られると精液を打ち上げて)   (2024/10/14 16:32:36)

ラム ◆> 汚いわね、、自分で掃除しておきなさい、このブタ(時計見てから踵返して、、)   (2024/10/14 16:34:32)

おしらせ> 無言時間が25分を超えたため、大空スバルさんが自動退室しました。  (2024/10/14 16:35:04)

エロガキ♂19H> わかりました、、(掃除をしてから消臭もしっかりして)   (2024/10/14 16:35:26)

ラム ◆> (時間なので失礼します、、お疲れ様でした)   (2024/10/14 16:35:59)

エロガキ♂19H> (ありがとうございました)   (2024/10/14 16:36:10)

おしらせ> ラム ◆r8To80Q7JEさんが退室しました。  (2024/10/14 16:36:14)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/10/14 16:36:17)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/14 17:46:59)

おしらせ> 星野アイさんが入室しました♪  (2024/10/14 17:47:04)

星野アイ> さぁ振りなよ？   (2024/10/14 17:47:32)

エロガキ♂18D ◆> いい勝負だったので、甘んじて受けますよ。振らせていただきますね   (2024/10/14 17:47:33)

エロガキ♂18D ◆> 10d3 → (3 + 2 + 3 + 1 + 3 + 1 + 2 + 3 + 2 + 3) = 23  (2024/10/14 17:47:42)

エロガキ♂18D ◆> 18:10まで、でしょうか   (2024/10/14 17:47:59)

星野アイ> そうだね   (2024/10/14 17:48:05)

星野アイ> まずは手始めに全裸になってもらおうかな   (2024/10/14 17:48:17)

エロガキ♂18D ◆> さて、どうぞ……！   (2024/10/14 17:48:18)

エロガキ♂18D ◆> ええ、了解しました……(そう言うと静かに全裸になり……筋肉質な身体にズルムケの一物を隠さずに気を付けして)   (2024/10/14 17:49:03)

星野アイ> おっ案外大きいねぇ もっとしっかり勃たせてみてよ   (2024/10/14 17:49:43)

エロガキ♂18D ◆> そう言われるとはずかしいですね……(そう言うもムクムクと反応し始めていて)   (2024/10/14 17:50:20)

星野アイ> ほらほら自分でしごきなよー笑 アイドルが目の前にいるんだよ？   (2024/10/14 17:51:05)

エロガキ♂18D ◆> んぐっ……たしかに、それはそれで興奮しますね……では……(自分でしごき始めるとあそこは反り返って…じぃぃっとスカートを見たりして)   (2024/10/14 17:52:09)

星野アイ> なにぃパンツ見たいの？ じゃあ   (2024/10/14 17:52:46)

星野アイ> おねがいの仕方ってのがあるよね？   (2024/10/14 17:52:55)

エロガキ♂18D ◆> ……アイさんの……アイドルの、パンツを見せてください……一生懸命扱きますから…見せてください……！！(頭を下げながらシコシコして…)   (2024/10/14 17:53:57)

星野アイ> おおよく言えたねー ほらほらーもっとシコリなぁ？（スカートをたくしあげて桃色のパンツを見せつける）   (2024/10/14 17:54:55)

エロガキ♂18D ◆> んっ……ふっ……はぁっはぁっはぁっ……っ！！(桃色のパンツを見ると一心不乱に扱きあげ、片方の手で金玉も揉んでしまって)   (2024/10/14 17:56:08)

星野アイ> あ、まだイッちゃだめだよ？寸止めしてね？ こんなに敏感になってるけど★（亀頭の先端をピンッと指ではじく）   (2024/10/14 17:59:21)

エロガキ♂18D ◆> んおっ……ほぉおぉ……それ、ヤバイですっ……(シコシコを早くするも、亀頭を弾かれるとびくんっと震えて)   (2024/10/14 18:00:16)

星野アイ> まだ耐えてねー笑 耐えたらご褒美あげるから♥ はいしーこしーこ   (2024/10/14 18:00:56)

エロガキ♂18D ◆> んぐっ……ふーっ♡は、はいぃ……！！(そう言いながら桃色パンツを見ていて……しーこしーこ……腰揺らしながらしごいて)   (2024/10/14 18:02:19)

星野アイ> はいよく耐えたねぇ偉いねぇ じゃあご褒美に私がシコってあげる♥ ほらほらイッちゃえイッちゃえ（敏感になった亀頭の近くを何度もしごきつづける）   (2024/10/14 18:03:57)

エロガキ♂18D ◆> あぁぁっ♥アイさんっ♥アイさんっ♥♥それヤバイですっ♥出ますっ出ますっ！！♥(腰をかくかくして、ドロドロと先走りを出して♥)   (2024/10/14 18:06:05)

星野アイ> はいイッちゃったー 早漏さんだなぁ こんなに敏感になっちゃって♥（亀頭を指で弾き、その後ペロッとなめる）   (2024/10/14 18:07:03)

エロガキ♂18D ◆> んっ……♥はぁっ♥(亀頭を弾かれるとぴゅっとまた先走りを出すも……少しだけ白い精液も混ざっていて♥)   (2024/10/14 18:07:55)

エロガキ♂18D ◆> 【時間、ですね……】   (2024/10/14 18:10:16)

星野アイ> おっまだイケそうだねぇ それじゃあもう少しご褒美をあげよう ほーらちんぽ突き出して ﾊﾑ.... ｸﾞﾎﾟｸﾞﾎﾟｸﾞﾎﾟｫ（敏感になっているちんぽを咥えフェラをする）   (2024/10/14 18:10:22)

エロガキ♂18D ◆> んっ……はぁぁっ♥それはぁ♥♥♥(フェラされると腰をかくかくして、ぴゅっぴゅっと先走りを出して…射精まで秒読み♥)   (2024/10/14 18:11:39)

星野アイ> はいびゅーー（喉奥に大量に精子が流れ込む） ん....ふう はい終わり（精子を飲み込み口から垂れたのを拭き取る）   (2024/10/14 18:12:32)

星野アイ> じゃあばいばーい   (2024/10/14 18:14:02)

おしらせ> 星野アイさんが退室しました。  (2024/10/14 18:14:06)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/14 18:14:09)

おしらせ> パッションリップさんが入室しました♪  (2024/10/14 23:55:03)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/10/14 23:55:06)

パッションリップ> これでいいのかな？改めてよろしくお願いします……   (2024/10/14 23:55:14)

エロガキ♂19H> あってるよ   (2024/10/14 23:55:24)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/14 23:55:30)

エロガキ♂12Ω ◆> よいしょっと。おっぱい姉ちゃんちゃんと来れたみたいだなー。   (2024/10/14 23:55:55)

エロガキ♂19H> とりあえず、時間決めよっか   (2024/10/14 23:55:55)

パッションリップ> 私が振ればいいですか？   (2024/10/14 23:56:13)

エロガキ♂19H> そうだね、初めてだし   (2024/10/14 23:56:40)

パッションリップ> 10d3+10 → (3 + 1 + 2 + 2 + 1 + 3 + 1 + 3 + 3 + 2) + 10 = 31  (2024/10/14 23:56:57)

エロガキ♂12Ω ◆> ん、こう言う時に出目が高かったりしたら笑えるんだけど。   (2024/10/14 23:56:58)

エロガキ♂12Ω ◆> おー、まぁ期待値位かー。   (2024/10/14 23:57:20)

パッションリップ> 普通…くらい？かな？   (2024/10/14 23:57:28)

エロガキ♂19H> 気持ち高いかな？   (2024/10/14 23:57:41)

パッションリップ> じゃあだいたい23:30くらいまで…その…お手柔らかに…   (2024/10/14 23:57:59)

エロガキ♂19H> さて、どうする？とりあえず服は脱いで貰うとして   (2024/10/14 23:58:22)

エロガキ♂12Ω ◆> ん、お乳柔らかー   (2024/10/14 23:58:28)

エロガキ♂12Ω ◆> んー、乳牛つったし裸で四つん這いなって貰う？   (2024/10/14 23:58:57)

エロガキ♂12Ω ◆> 俺姉ちゃんにぱふぱふされたい   (2024/10/14 23:59:09)

エロガキ♂19H> いいんじゃない   (2024/10/14 23:59:28)

パッションリップ> ぜ、全裸はマストですか。もとから露出度高めな服ですけど……(カギヅメの手で器用に服を脱ぐ)   (2024/10/14 23:59:30)

パッションリップ> 【※爪とかブレストバレーとかの設定がめんどくさかったら無いことでもオッケーです】   (2024/10/15 00:00:18)

エロガキ♂12Ω ◆> んで姉ちゃんは俺の上で四つん這いなー。(同じく全裸で寝転がりおちんぽ天井向けつつ待ち構え)   (2024/10/15 00:00:23)

エロガキ♂12Ω ◆> 兄ちゃんは後ろから弄る？   (2024/10/15 00:00:38)

エロガキ♂12Ω ◆> (じゃあお乳ブラックホールは無しでー。)   (2024/10/15 00:01:12)

エロガキ♂19H> そうするかなぁ   (2024/10/15 00:01:19)

パッションリップ> は、はひ……ぱふぱふってことは、こう、かな……？(12さんの顔の前におっぱいが来るように四つん這いになると、そのまま垂れたおっぱいが顔を覆ってしまう)   (2024/10/15 00:01:40)

エロガキ♂12Ω ◆> んふー…♡（顔面をたぷんと覆うおっぱいに満足気な声をあげると両手を回してむぎゅり抱き着き、相手内股におちんぽ突き出しつつぱふぱふ堪能）   (2024/10/15 00:03:05)

エロガキ♂19H> おっぱい重そうだね…(後ろから割れ目を撫でて)   (2024/10/15 00:03:12)

パッションリップ> ふにゃっ……はうっ……おっ、おっぱいが重いのは、だいたい女性なら誰でも……ふぁあっ///(胸の谷間と、割れ目への愛撫でぴくっと身体を震わせ)   (2024/10/15 00:05:48)

エロガキ♂19H> いや…これは格がちがうでしょ？ (割れ目を指で拡げて顔を近づけて)   (2024/10/15 00:07:06)

エロガキ♂12Ω ◆> ふあー…♡極楽極楽…♡（顔をぐりぐり押し当ておっぱい歪めて遊ぶと白い素肌に吸い付きちゅぱちゅぱ♡キスマーク刻み込んでいき、肌を斑に染めつつ顔が動く度に表面では乳首がこりこり♡擦れて）   (2024/10/15 00:07:33)

パッションリップ> ひゃううぅ、あ……ダメ、広げたらっ……はぁあうっ♥(敏感な秘所の内側は吐息が当たるだけでも快感を覚えて、乳房と乳首に刺激が加えられる度にひくひく震え)   (2024/10/15 00:09:22)

エロガキ♂19H> んちゅっ♥️ ちゅっ♥️ (中の膣肉に数回キスをすると、舌で優しく撫でるように)   (2024/10/15 00:10:40)

エロガキ♂12Ω ◆> んむぅ♡こっちの事も忘れんなよー？♡（おっぱいとおまんこへの刺激に善がり喘ぐ姿を暗い視界の中で感じ取り、相手の豊満なおっぱいを両方から寄せ上げては乳首一遍にぱくり♡吸い付きちゅうちゅう♡）   (2024/10/15 00:11:39)

パッションリップ> ふぁぁあっ、ダメ、って言ってるのにっ……んんっ♥(舌が内側に触れるだけで、ぴくんと腰が跳ねて)ひゃあああっ♥あ、っあ、急に吸っちゃっ……んぅううっ♥(そこに乳首を吸われる生暖かい快感が来て、顔をのけぞらせながら愛液を溢れさせてしまう)  
(2024/10/15 00:13:20)

エロガキ♂12Ω ◆> んふぅ♡んっ♡おっぱい美味ぁ…♡（赤ちゃんの様におっぱい吸い付き寄せあげる乳肉むにむに♡もみくちゃに動かしては歪める様見せつけ、頬張った乳首を口内で転がし突起こりこり♡甘噛みして♡）   (2024/10/15 00:14:49)

エロガキ♂19H> そろそろ、いいかな？♡…ちゅぷっ♡ にゅぷ♡ｸﾁｭｸﾁｭ (陰核を舐めながら指を膣内にいれて動かして♡)   (2024/10/15 00:15:22)

パッションリップ> ぁあっ♥はぁ、はぁっ、ひゃう、ううっ、おっぱい、気持ち、いいっ……気持ち、良すぎて……ふにゃあぁぁっ……♥(乳房全体への刺激に震え、身体がとろけてしまうような快感によだれすら垂らしてしまい)はぁ、はあっ……いい、っ…て……？あんっ、ふぁ、あ……♥(膣内は柔らかくぐちょぐちょに濡れて、しかし入れられた指に甘く吸い付いて)
  (2024/10/15 00:17:57)

エロガキ♂19H> ちゅぱ♡ちゅぱ♡ じゅるるるっ♡ グチュグチュグチュ (陰核に激しくしゃぶりつきながら手マンを続けていく)   (2024/10/15 00:19:52)

エロガキ♂12Ω
◆> んふふ♡おっぱい姉ちゃんスケベな声出てる…♡ぷは♡こう言うのはどう？♡（呂律蕩け甘い雌鳴き声響く感じ方に満足そうな顔を見せると徐ろに目一杯おっぱい寄せて掴むと乳搾り要領伸ばしてむにぃぃ♡おっぱい伸ばし乳首同士を擦り付けると口の外に出して舌先れろれろ♡乳首弾き虐める様見せつけ）
  (2024/10/15 00:20:41)

パッションリップ> ひうぅううっ！？あう、あっ、ダメっダメダメっ！そんなに、しちゃ、っ、んぅうううっ！？(容赦のない指での蹂躙と、なんの遠慮も無く絞るような乳房への愛撫の快感を拒むように首を横に振って)ぁっ、ダメっ……！！んぅうううっ……ぁ、あっ、ひあああぁああっ……♥♥(しかし腰をガクガク震わせながら、快楽に敗北宣言するようにそのまま潮と母乳を大量に吹き出してしまう)
  (2024/10/15 00:24:07)

エロガキ♂19H> んんっ…ハァハァ… (顔に潮をかけられるとその一部を飲み、起き上がれば潮を吹いたばかりの割れ目に、肉棒を露出させて擦り付けて)   (2024/10/15 00:25:47)

エロガキ♂12Ω
◆> んむぅ！？♡んっ♡んふ…♡んっ♡んんっ♡（両方からの攻めに耐えかね背筋震わせ甲高い声が響いたと思えば絶頂と共に吹き出る潮と母乳♡口内溢れるみるくの奔流に目を見開くと溢れさせない様に口を窄めて高いバキューム音響かせおっぱいちゅううぅ♡おっぱい歯ですり潰されるのも構わず乳首咀嚼しつつ喉を鳴らせば母乳こくん♡こくん♡飲み干していき）
  (2024/10/15 00:27:15)

パッションリップ> はーっ、はーっ……あ、ぅ……だ、ダメっ、ダメだよ！？今、今入れたら……そんなっ……(擦り付けられる熱いものが何か気づくと、慌てて制止しようとして)ふぁあっ！？あ、あっ、歯、立てちゃ、ダメえっ……！？(おっぱいがますます乱暴に吸われるのに合わせて、母乳と悲鳴じみた肥をあげてしまう)
  (2024/10/15 00:29:20)

エロガキ♂12Ω ◆> さて、非常に良いとこですがそろそろお時間です。   (2024/10/15 00:30:06)

エロガキ♂19H> そうだね   (2024/10/15 00:30:23)

パッションリップ> はーっ、はー……ひ、ひどい目に遭いました……(ぐったり)   (2024/10/15 00:30:43)

エロガキ♂12Ω ◆> これからって時に生殺しだなー？おっぱい姉ちゃん？(ニヤニヤ)   (2024/10/15 00:31:13)

エロガキ♂19H> ほんとは欲しかったり？   (2024/10/15 00:31:31)

パッションリップ> うう、こっちとしては生殺しどころかめちゃめちゃにされちゃったんですけど……！   (2024/10/15 00:32:17)

エロガキ♂19H> いけたみたいでよかったよ…(頭を撫でて)   (2024/10/15 00:32:58)

エロガキ♂12Ω ◆> おっぱい姉ちゃんのおっぱいとみるく美味しかったでーす♡   (2024/10/15 00:33:37)

パッションリップ> むぅ……童顔だからって子ども扱いされてる気がする…！しかもエロガキに…！次こそは勝ちますからね……！   (2024/10/15 00:33:50)

エロガキ♂12Ω ◆> ん、じゃあ次姉ちゃんに勝ったら生ハメかな？   (2024/10/15 00:34:32)

エロガキ♂19H> 楽しみにしてるよ♡   (2024/10/15 00:34:43)

パッションリップ> ともかく、今日のところはこの辺で……次はそう簡単にいきませんからね！お相手ありがとうございました！   (2024/10/15 00:35:14)

エロガキ♂12Ω ◆> はーい、お疲れー。対戦どもでしたー。   (2024/10/15 00:35:32)

パッションリップ> おやすみなさーい   (2024/10/15 00:35:42)

おしらせ> パッションリップさんが退室しました。  (2024/10/15 00:35:46)

エロガキ♂12Ω ◆> んじゃなー。   (2024/10/15 00:35:48)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/15 00:35:51)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/10/15 00:36:17)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/15 04:43:56)

おしらせ> エロガキ♂17Kさんが入室しました♪  (2024/10/15 04:44:03)

エロガキ♂17K> （プロフとトリップ、その内なんか決めとくかな…。）   (2024/10/15 04:44:19)

エキドナ ◆> 時間を決めてくれるかい？   (2024/10/15 04:44:27)

エロガキ♂17K> 了海。あ、こっちで良かった？前みたいに個室でもよかったけど。   (2024/10/15 04:44:35)

エロガキ♂17K> 了解ね、何だその変換…。   (2024/10/15 04:44:45)

エキドナ ◆> そうだね。キミのプロフは分かりやすいけれどね   (2024/10/15 04:45:04)

エキドナ ◆> 誰かを誘った時の変換がそのままになっているのかな？(くす、)   (2024/10/15 04:45:19)

エロガキ♂17K> 生憎と最近はエキドナちゃん以外と話してないよ。このままここでいいか。   (2024/10/15 04:45:42)

エロガキ♂17K> 10d3 → (1 + 3 + 2 + 3 + 2 + 1 + 3 + 1 + 3 + 2) = 21  (2024/10/15 04:45:43)

エキドナ ◆> せめて時間いっぱいはこちらでね。   (2024/10/15 04:45:48)

エロガキ♂17K> 6分。いや時間来たら寝なさいねホント。   (2024/10/15 04:46:03)

エキドナ ◆> 6分までかな。   (2024/10/15 04:46:04)

エロガキ♂17K> さて、エキドナちゃんは俺にナニさせたい？   (2024/10/15 04:46:20)

エキドナ ◆> そうなのかい？一途なのかそれともタイミングの問題かな、、？   (2024/10/15 04:46:37)

エキドナ ◆> そうだね、、今回は勝ったらどうするつもりだったのかな？   (2024/10/15 04:46:53)

エロガキ♂17K> 御所望だったみたいだし、寝かしつけようかなって。つまんない長い話で眠くなると評判だよ、俺。   (2024/10/15 04:47:23)

エキドナ ◆> そうかい？キミは随分と優しそうな人な印象が最近強いからつまらなくても聞き入って居そうだよ。ボクはね   (2024/10/15 04:48:27)

エロガキ♂17K> 俺は、優しく、ないの！……ああ違う、優しいお兄さんやってるんだった。   (2024/10/15 04:48:54)

エキドナ ◆> そうだね、、なら少し膝枕なんてどうだろうか？キミが枕でね？   (2024/10/15 04:49:00)

エキドナ ◆> 自分で自分の言葉に振り回されてるじゃないか、面白い1人コントは次の機会に期待しておこうかな   (2024/10/15 04:49:50)

エロガキ♂17K> 男の膝枕にどんだけの価値があるんだか……いいけど。硬くても文句なしね。（ポケットからスマホとか、硬い物は全部取り出して傍らにぽいぽい。その場で脚伸ばして座ると、腿ぽんぽんと。）   (2024/10/15 04:50:07)

エキドナ ◆> 女の膝枕も言ってしまえば同じに感じるけれどね、、硬い枕の方が眠れる人も居るだろう、、(彼の傍らに膝立ちから横になって彼の膝に頭を乗せて、彼の腹から上に、彼の顔見上げて見て)悪くないよ、、ボクはこのくらいも好みだよ   (2024/10/15
04:52:18)

エロガキ♂17K> いや確かに、これ結構罰かも…。俺は女の子を好きに殴ったりできると聞いて来てたんだけどなぁ、ここ。（まさか丁重に扱わされるとは、ってちょっと悔しさ滲ませて歯噛み。というか普通に恥ずかしい。せめて顔がよく見えるように、エキドナちゃんの前髪を手で分け退けて。）
  (2024/10/15 04:53:04)

エキドナ ◆> そうかい、、？殴る蹴るは勘弁してもらいたいが、以外ならボクは割と許容派だと思うけれどね、、勝てれば、ではあるけれどね。(前髪分けられては彼の悔しげな顔もよく見えて余裕の笑みを浮かべて見せてから彼の胸板でも触れてみようか)  
(2024/10/15 04:55:55)

エロガキ♂17K> 何度も言うけど俺は男尊女卑なの、生意気なら殴るけど素直に従うならそれはそれで楽し……あーそうだね、勝ててから言うよ畜生！（今のところエキドナちゃんは全敗ってことになるので、今何か言っても夢語ってる情けない男なのでキャンセルした。胸板なんて触って何か楽しい？って伸ばして来た手はそのまま、悔しいのでこっちもエキドナちゃんのおっぱいに手伸ばした。…ギリ触らない、これは勝った時のご褒美にしよう。）
  (2024/10/15 04:58:48)

エロガキ♂17K> 自省の念も込めてアルファベットをKZに変えて自分のクズって本質をいつまでも思い出せるようにしとこうかね…いや、でもなぁ…。（モブ竿が主張激しいの解釈不一致なんだよな…って謎のこだわり。声がデカい男優……。）   (2024/10/15
04:59:31)

エロガキ♂17K> （あ、脱字してら。『エキドナちゃんは』→『エキドナちゃんには』ね。）   (2024/10/15 05:02:12)

エキドナ
◆> キミとの初対面はかなり印象が悪かったけれど、今は少し面白い人だと思っているよ。(軽く胸板だけ撫でてから彼の中空に留まった手に自分の手を重ねてみて胸に押し付けてみせて)キミは本質的には優しそうな気はするけれど、、好みの問題として歪んでいるのかな、、？望むなら眠るまでにはなるけれど、、付き合ってあげても構わないと思っているボクが居るよ、、
  (2024/10/15 05:02:27)

エキドナ ◆> (大丈夫だよ、几帳面だね(くす、))   (2024/10/15 05:03:01)

エロガキ♂17K> いーよ、印象悪いままにしといて。じゃないと勝った時やりづらい。（自分から勝った時の褒美を奪おうとするかのように手を導かれると、揉みしだきたくなるのを堪えて。なんかもう、意地。）優しくないの、本質。もし優しく見えてるならそれはエキドナちゃんが手のかかる幼児みたいなムーブしてるから。調子悪かったり眠かったら来なくていいんだって。（だから時間いっぱいでいいでーす、と逆の手でエキドナちゃんのおでこをぴんっとデコピン。）
  (2024/10/15 05:05:31)

エキドナ
◆> もう手遅れだと思うけどね、、(指ひとつ動かさない彼の意地には少し笑えてしまって小さく笑い零して)そうだね、キミの言葉は正論だよ、けれど感情と正論はイコールにはならないのも、ね、、あたっ！何するんだキミは乙女の顔に、、(額に走った衝撃に恨めしそうな目を向けて、時計が目に入ると身体を起こして大きく伸びをして見せて)さて、、キミはもう一度寝るのかい？
  (2024/10/15 05:09:24)

エロガキ♂17K> エキドナちゃんは俺に幻覚を見ている…。（ということにしたい、切実に。）いや、俺は今ちょっと昼夜逆転生活中だから眠気はまだない。エキドナちゃんはさっさと寝てね？   (2024/10/15 05:11:07)

エキドナ
◆> もう手遅れだと思うけれどね、、幻だとしてもボクはその幻を信じたいと思ってしまったから、手遅れ。だと思うよ(くす、)そうかい、、ボクは、、そうだね、お風呂にでも入って気分転換をして、眠気があったら寝ようかな、、眠たくないのに眠るのは厳しいからね、、  
(2024/10/15 05:13:05)

エロガキ♂17K> 三回も手遅れ手遅れ言わないでよ…。はいはい、じゃあ正しく名誉返上と行くよ、俺の評価をクズに戻してやる。ああ、お風呂……いいんじゃない。体が冷めていく…というか頭が冷めていくのにつれて眠気は来るって言うし。じゃ、部屋空けちゃおうか。  
(2024/10/15 05:15:07)

エキドナ ◆> く、ふふ、、悪いね。思ったよりツボだったよ、、それじゃあお風呂上がった後にでも暇なら話するだけでも構わないからね？(くす、)そうだね、占領していては反感を買ってしまうからね。お暇するとしようか   (2024/10/15 05:17:56)

エロガキ♂17K> チッ。…んじゃお疲れ様、またね。（そう言えば放り出したままだったスマホとかを回収。ポケットに突っ込んで……ちょっと情けないけど、逃げるように部屋を出よう。）   (2024/10/15 05:18:21)

おしらせ> エロガキ♂17Kさんが退室しました。  (2024/10/15 05:18:28)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/15 05:18:33)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/15 13:15:32)

おしらせ> クラリスさんが入室しました♪  (2024/10/15 13:16:17)

エロガキ♂19b ◆> な～んか最近少しだけクラリスちゃんが強くなってる気がするなぁ...弱いままでいてくれよぉ～   (2024/10/15 13:17:01)

クラリス> 罰ゲームなんですけど、せっかく新しいお洋服を見繕ってもらったら肌寒くなってしまったので   (2024/10/15 13:17:11)

エロガキ♂19b ◆> 10d3 → (3 + 3 + 1 + 3 + 1 + 1 + 1 + 1 + 1 + 3) = 18  (2024/10/15 13:17:30)

エロガキ♂19b ◆> ほうほう、寒くなったから～？   (2024/10/15 13:17:56)

クラリス> 今からの季節にぴったりな衣装（普段着に上から羽織る用でも可）を募集します☆   (2024/10/15 13:18:08)

クラリス> 35分までですね！   (2024/10/15 13:18:25)

エロガキ♂19b ◆> なんか俺クラリスちゃんの衣装係になってないか！？   (2024/10/15 13:18:51)

クラリス> それはもう何度も勝たせてもらってるので☆   (2024/10/15 13:19:30)

エロガキ♂19b ◆> むう、、総合では俺の方が勝ってるはずなのに...   (2024/10/15 13:19:49)

クラリス> （受けるのが二人以上なら別の罰ゲームでしたが、それはまたの機会に）   (2024/10/15 13:20:31)

エロガキ♂19b ◆> フェイクファーカーディガンとかはどう？   (2024/10/15 13:20:41)

クラリス> おー、いいですね！（おめめきらきら）   (2024/10/15 13:21:45)

エロガキ♂19b ◆> クラリスちゃんには似合うと思うんだよね～、、まぁあとは無難にパーカーとかでもいいし、、というかフード付きの服とかが似合うと思うかも   (2024/10/15 13:22:34)

クラリス> ピンクっぽいオレンジのやつとか可愛い☆   (2024/10/15 13:22:51)

エロガキ♂19b ◆> ドローストリングパーカーコート　これだな   (2024/10/15 13:23:50)

クラリス> このまえのキャスケット帽子も合わせられそう   (2024/10/15 13:24:26)

エロガキ♂19b ◆> いいじゃん！これでいこうよ、キャスケット帽子とこのパーカーでモコモコ衣装でさ、絶対似合うよ！   (2024/10/15 13:25:08)

クラリス> 似合いますよね！！（くいつきマックス）   (2024/10/15 13:25:45)

