/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月23日 07時29分 ～ 2024年10月24日 14時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/23 07:29:40)
エロガキ♂17L ◆> ドラフトに関しては俺も異議なしかな   (2024/10/23 21:12:35)

エキドナ ◆> お先にどうぞは非推奨らしいよ、(紹介覗いて、)   (2024/10/23 21:12:55)

ステファニー・ドーラ> ダイスでペア決めますの？   (2024/10/23 21:12:59)

エロガキ♂17L ◆> ダイスなら1d20で高い人から指名かな   (2024/10/23 21:13:44)

クラリス ◆> じゃあ男子でサイコロ振って最下位が監禁の刑とか   (2024/10/23 21:13:53)

エキドナ ◆> ルールでは1d20で高い順に選んでも良し。だそうだよ   (2024/10/23 21:14:08)

エロガキ♂18D ◆> かしこまりました……まぁ自分になりそうですねぇ   (2024/10/23 21:14:09)

ステファニー・ドーラ> 1d２０って…   (2024/10/23 21:14:16)

ステファニー・ドーラ> ではお待ちしてますわ♡   (2024/10/23 21:14:23)

エロガキ♂18D ◆> 1d20でいいんですよね、投げさせて貰います   (2024/10/23 21:14:41)

エロガキ♂18D ◆> 1d20 → (5) = 5  (2024/10/23 21:14:44)

エキドナ ◆> あれ、、そっちなのかい？   (2024/10/23 21:14:54)

エロガキ♂17L ◆> 1d20振るのは勝利側じゃない？相手決めは   (2024/10/23 21:15:19)

エロガキ♂18D ◆> あれ、クラリスさんの言葉に従ったら最下位で監禁と……あ、申し訳ないです   (2024/10/23 21:15:28)

エロガキ♂18D ◆> さっきのは無しで……   (2024/10/23 21:15:38)

エロガキ♂10sox> 今回は話の流れ的にそうみたい（↓参照）   (2024/10/23 21:15:42)

エキドナ ◆> すまないがこのルールでの相手決めはした事が無くてボクも分かってないところはあるだろうから少し様子を見ておくよ   (2024/10/23 21:16:01)

ステファニー・ドーラ> 高い人から指名ですわね？   (2024/10/23 21:16:13)

エロガキ♂17L ◆> そうだよ   (2024/10/23 21:16:27)

クラリス ◆> 1d20 → (3) = 3  (2024/10/23 21:16:27)

ステファニー・ドーラ> 1d20 → (15) = 15  (2024/10/23 21:16:28)

エロガキ♂18D ◆> では女性陣、お願いいたします   (2024/10/23 21:16:34)

エキドナ ◆> 1d20 → (2) = 2  (2024/10/23 21:16:47)

エキドナ ◆> 2、、凄まじいね、、   (2024/10/23 21:17:00)

エロガキ♂17L ◆> ステフ高いな……   (2024/10/23 21:17:11)

エロガキ♂18D ◆> 嘘でしょ……   (2024/10/23 21:17:18)

エロガキ♂10sox> ちゃんとルーム紹介にありましたね。申し訳ない   (2024/10/23 21:17:21)

クラリス ◆> ステフさんどうぞどうぞの構え   (2024/10/23 21:17:24)

ステファニー・ドーラ> ふふ、オーバキルですわ。   (2024/10/23 21:17:27)

エロガキ♂18D ◆> さて、誰を選ぶのか……   (2024/10/23 21:17:48)

エキドナ ◆> 入った順だね。さぁ、キミたちが選んだ後の人とゆっくりするとするさ   (2024/10/23 21:17:49)

エロガキ♂17L ◆> ステフ→クラリス→エキドナの流れだね   (2024/10/23 21:18:02)

ステファニー・ドーラ> えーと、17Lさんは何か話ありますの？無ければ18Dさんお願い致します。   (2024/10/23 21:18:04)

エロガキ♂10sox> どれだけ監禁したいんだ   (2024/10/23 21:18:04)

クラリス ◆> 最近は負けが込んでたので、うちも初めて見た気がします≫1d20ルール   (2024/10/23 21:18:25)

ステファニー・ドーラ> 監禁ー、監禁～♪   (2024/10/23 21:18:32)

エロガキ♂17L ◆> 俺は特にないよ＞ステフ   (2024/10/23 21:18:37)

ステファニー・ドーラ> 了解でしてよ。では18Dさんで。   (2024/10/23 21:18:52)

エロガキ♂18D ◆> ……自分ですか……！？(想定してなかった顔)かしこまりました、監禁されに行きます   (2024/10/23 21:19:05)

クラリス ◆> では10くん指名しまーす   (2024/10/23 21:19:31)

ステファニー・ドーラ> １８さんは非公開って入れますの？   (2024/10/23 21:19:47)

エキドナ ◆> ならボクの相手は17のキミだね？   (2024/10/23 21:20:10)

エロガキ♂17L ◆> そうだね   (2024/10/23 21:20:17)

エロガキ♂18D ◆> ええ、非公開は可能ですよ。ますます監禁っぽいですね？   (2024/10/23 21:20:45)

ステファニー・ドーラ> ではあちらへ。監禁しますわｗ   (2024/10/23 21:21:12)

エロガキ♂18D ◆> ええ、では……監禁されに行きますので……先に失礼いたします   (2024/10/23 21:21:38)

ステファニー・ドーラ> ステフで待機してますわ。   (2024/10/23 21:21:47)

クラリス ◆> 基本は質問タイムになりまーす≫10くん   (2024/10/23 21:21:59)

エロガキ♂10sox> わかりました→クラリスさん   (2024/10/23 21:22:00)

エロガキ♂17L ◆> 移動するなら、鍵ありでも無しでもどちらでも可だよ＞エキドナ   (2024/10/23 21:22:04)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/23 21:22:13)

おしらせ> ステファニー・ドーラさんが退室しました。  (2024/10/23 21:22:29)

クラリス ◆> あ、残るお二方、どちらか時間お願いします   (2024/10/23 21:22:31)

クラリス ◆> 違った   (2024/10/23 21:22:50)

エロガキ♂17L ◆> ん？   (2024/10/23 21:23:02)

クラリス ◆> 勝利側でした…なんか色々変わってる   (2024/10/23 21:23:17)

エキドナ ◆> 生憎と移動はするつもりも無いよ。キミはそこに座ってボクの出したものを完食してくれればそれで良いよ。(椅子に腰掛けて17の彼に斜め向かいの椅子を指し示して、)   (2024/10/23 21:23:24)

クラリス ◆> ステフさん移動したので、うちで振ります   (2024/10/23 21:23:42)

エキドナ ◆> クラリスさんが決めるといいよ   (2024/10/23 21:23:45)

クラリス ◆> 10d3 → (2 + 3 + 1 + 1 + 1 + 1 + 1 + 1 + 2 + 1) = 14  (2024/10/23 21:23:55)

クラリス ◆> 38分まで   (2024/10/23 21:24:10)

エキドナ ◆> 37、、8かな、、？   (2024/10/23 21:24:11)

エロガキ♂10sox> 短時間インタビューだね   (2024/10/23 21:24:15)

エロガキ♂17L ◆> ん、了解(そう言われて椅子に腰掛ける)   (2024/10/23 21:24:34)

クラリス ◆> えっと、大きいのが好きって聞いたけど…うちのは大きいほうに入る？（たぶん平均程度はあるけど相対的に小さく見えがち）≫10くん   (2024/10/23 21:25:39)

エキドナ ◆> さて。キミにも用意している間に質問をさせてもらおうかな、、キミは勝ったら、誰を、どうする。つもりだったのかな？ありきたりですまないが答えてくれるね？(テーブルの上で2つのティーセット用意して、1つ彼に差し出して)   (2024/10/23
21:25:48)

エロガキ♂10sox> （公式のキャラ絵見た限りでは）平均～大きい（巨乳）の部類にはいると思うよ。   (2024/10/23 21:27:12)

エロガキ♂17L ◆> 特段そこまで考えてなかったかな……まぁ、人数次第では支援だけとは明言していたけれど、まぁ、残った人にマッサージしてたんじゃないかな……(ティーセットを差し出されればそのお茶を1口飲んで)   (2024/10/23 21:28:15)

クラリス ◆> んと、アップルパイでよかったら食べる？（エキドナさんの様子見つつ）…そういえばうちも気になるかな、勝ったら誰とするつもりだったのかな…それとも男子も女子もみんなで揉みくちゃのほうがよかったりとか？≫10くん   (2024/10/23
21:29:02)

エキドナ
◆> (彼の前に3つのお皿に乗ったクッキーを差し出して。1は酩酊状態を誘う物で、2は酷く不味い、枯葉でもしない様な風味と酷く硬い、歯が折れそうな程に。その上焼き過ぎで黒くなった物。3は特別には何も無いけれど砂糖と塩を間違えた物。1d3で選びたまえ。)マッサージかい、、？下心で居るものだと思っていたけれど、誰を狙って、も無いのかい？
  (2024/10/23 21:29:55)

クラリス ◆> あーごめんね、質問の仕方よくなかったかも…うちのサイズは10くんのストライクゾーンに入るかどうかって意味だけど、どうなのかな？   (2024/10/23 21:30:33)

エロガキ♂17L ◆> 1d3 → (1) = 1  (2024/10/23 21:31:32)

クラリス ◆> 【さりげなく三つとも罰ゲームっぽいやつだー！？≫エキドナさんのクッキー】   (2024/10/23 21:31:40)

エキドナ ◆> (一番の当たりは3かな、、？)   (2024/10/23 21:32:23)

エロガキ♂10sox> アップルパイ？喜んでいただくよ（と、こちらはゴザをひいてクラリスに麦茶のペットボトル手渡して…………）質問の解答はクラリスさんもストライクゾーンだし、買った場合はステフ→クラリス→エキドナの選べる順に時間の許す限りエッチ（○○○）  
(2024/10/23 21:33:12)

エロガキ♂10sox> アリのお互いに時間あるなら延長アリでかな。【ロル分割申し訳ない皆様】   (2024/10/23 21:34:11)

エロガキ♂17L
◆> (目の前に差し出された3枚のクッキーを見てなるほど選ぶのかと理解しつつ一枚選んで手に取り食べ始めながら)ん〜、そうだね……特定の誰かを狙うのすら考えてなかったからね……フフフ……アハハハ……なんか気分が良くなってきた〜(アルコール耐性皆無な為直ぐに効果出て)
  (2024/10/23 21:34:21)

エキドナ ◆> 喜ばしいとも不快とも言える話だね、、(罰ゲーム執行中の17の彼から目を離して2人の方に目を向けてて)   (2024/10/23 21:34:29)

クラリス ◆> 気がきくんだ〜って、10くんは飲み物なしで大丈夫なの？（自分の分もあるのかな、と思いつつ麦茶ごくごく）   (2024/10/23 21:35:10)

エロガキ♂10sox> 自分の分もちゃんとあるよ（ペットボトルを取り出し、ギャップを開けて緑茶を飲んでいき……）乱○も好きだけど時間足りないかなと   (2024/10/23 21:36:23)

エキドナ ◆> おや、、キミは随分と簡単に効果が出るものだね、、真っ直ぐ歩けない程度の酩酊のつもりだったのだけど、、安心したまえ。毒は入っていないからね(アルコールは入っていないよ、未成年にそんなことは出来ないからね。ただ似た効果で頭を混乱させてるだけさ、、)
  (2024/10/23 21:36:38)

エロガキ♂17L ◆> 【キャップじゃなくギャップなのか？】   (2024/10/23 21:36:54)

クラリス ◆> 【まだ何回かは部屋が立ちそうですし、この場は延長なしで…再戦の機会があればその結果次第でしょうか】   (2024/10/23 21:37:08)

エキドナ ◆> (酔っぱらいは黙っているといいよ)   (2024/10/23 21:37:13)

エロガキ♂10sox> 【いやキャップの間違い】   (2024/10/23 21:37:20)

エロガキ♂17L ◆> 【あ〜、だよなびっくりしたわ】   (2024/10/23 21:37:32)

エキドナ ◆> 時間だね、、この茶会もお開きにしようか   (2024/10/23 21:38:27)

クラリス ◆> はーい   (2024/10/23 21:38:41)

エロガキ♂10sox> 【わかりました→クラリスさん】そもそも負けてるんだからエキドナさんにはどちらにしろ触れられなかったよ   (2024/10/23 21:38:46)

クラリス ◆> 【14分ですからね…致し方なし！】   (2024/10/23 21:39:02)

エロガキ♂17L ◆> ん〜、わかった〜(椅子から立ち上がればフラ〜フラ〜)   (2024/10/23 21:39:08)

エロガキ♂10sox> こういう罰ゲームは負けたときは嬉しいね～   (2024/10/23 21:39:46)

クラリス ◆> 18さんは冥福を祈りましょう（葬らないでください。）   (2024/10/23 21:40:29)

エキドナ ◆> それでは解散するとしよう。またどこかで、、次も負けるつもりは無いけれどね   (2024/10/23 21:40:41)

クラリス ◆> おつかれさま〜   (2024/10/23 21:40:57)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/23 21:41:05)

エロガキ♂10sox> お疲れ様でした～   (2024/10/23 21:41:23)

クラリス ◆> 【お部屋ありがとうございました！】   (2024/10/23 21:41:27)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/23 21:41:30)

エロガキ♂17L ◆> は〜い、お疲れ様〜(ブンブン手を振って自分もフラフラ出ていくのであった)   (2024/10/23 21:41:40)

エロガキ♂17L ◆> 【お疲れ様っと】   (2024/10/23 21:41:52)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/23 21:41:55)

エロガキ♂10sox> お疲れ様～   (2024/10/23 21:46:26)

おしらせ> エロガキ♂10soxさんが退室しました。  (2024/10/23 21:46:29)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/23 23:17:57)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/23 23:18:03)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/10/23 23:18:10)

十六夜咲夜 ◆> 勝てそうだったのですけどねえ…   (2024/10/23 23:18:23)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/10/23 23:18:26)

エロガキ♂18D ◆> 流れで参加してしまったけど良かったのでしょうか……19さん、ありがとうございました…言うの遅れましたが……   (2024/10/23 23:18:36)

クラリス ◆> 惜しかったです…（ぺたん座り）   (2024/10/23 23:18:49)

エロガキ♂14C ◆> それじゃ待機順で決めちゃっていいかな？僕は咲夜おねーさん選んじゃうけど。   (2024/10/23 23:18:55)

エロガキ♂18D ◆> なら自分はクラリスさんを……願ったり叶ったりなのですけどね。   (2024/10/23 23:19:24)

十六夜咲夜 ◆> 承知したわ。   (2024/10/23 23:19:27)

クラリス ◆> おてやわらかにです…！   (2024/10/23 23:19:46)

エロガキ♂14C ◆> じゃあ相手決まったし時間決めるねー   (2024/10/23 23:19:49)

エロガキ♂14C ◆> 10d3+10 → (1 + 2 + 3 + 3 + 3 + 3 + 3 + 3 + 3 + 1) + 10 = 35  (2024/10/23 23:20:04)

エロガキ♂14C ◆> 55分までっ   (2024/10/23 23:20:13)

エロガキ♂18D ◆> ええ、いつものように……って長い……！   (2024/10/23 23:20:13)

クラリス ◆> ひどい！   (2024/10/23 23:20:17)

エロガキ♂18D ◆> ここで暴発するとは……   (2024/10/23 23:20:28)

十六夜咲夜 ◆> 高い…   (2024/10/23 23:20:31)

エロガキ♂14C ◆> 勝利に交換しない代わりに罰ゲーム時間で貢献だねっ♪そんな訳でよろしくね、咲夜おねーさんっ。（咲夜おねーさんに駆け寄り、抱き着きつつお約束とばかりにおっぱいに顔を押し付けて。）   (2024/10/23 23:21:13)

エロガキ♂18D ◆> では、楽しみましょうか、クラリスさん。……と言っても、今回は勝ち負け関係なく……って感じだったのですが…当てられたのなら、別ですが…お話でもします？   (2024/10/23 23:21:32)

十六夜咲夜 ◆> わわっ…もう、ほんと好きねぇ…(おっぱいに擦り付けられて)   (2024/10/23 23:22:07)

クラリス ◆> あ、でしたらぜひ（そそくさ）≫お話でも   (2024/10/23 23:22:15)

エロガキ♂14C ◆> えへへ……この前は添い寝だったけど、それだと物足りなかったかなー？（おっぱいに両手伸ばし、緩やかに揉みしだきつつ上目に見上げて。）   (2024/10/23 23:23:09)

エロガキ♂18D ◆> えぇ、流石に三回も……ですから……まぁ、19さんには申し訳ないと思うのですけども……たまにはこうやってお話しするのも一興かと？(そう言いながらどこからともなく瓶の飲み物取り出して)   (2024/10/23 23:23:38)

十六夜咲夜 ◆> や、ん…そんなことぉ…(その目線は反則よぉ…)   (2024/10/23 23:23:47)

クラリス ◆> そういえばお茶とクッキーもらったんですけど、一緒にどうですか？（決して種も仕掛けもありません…と思ったら先に瓶を出されたので引っ込め）お酒、じゃないですよね、さすがに…   (2024/10/23 23:24:28)

エロガキ♂14C ◆> ふーん？僕は素直に甘えるのに、咲夜おねーさんは素直じゃないんだなぁ……。（じとりとした視線を上目に向けつつ、少し考えてから片方の手をおっぱいから下半身へ、スカートの中に滑り込ませて腿を撫で回すように触れて。）   (2024/10/23
23:25:05)

エロガキ♂18D ◆> おや、それでしたらお茶とクッキーの方が良さそうですね、それを戴きましょうか…(そう言うとすっと瓶を何処かに隠しながら)まさか……自分はまだ未成年ですから…(スラーダはぐびぐび飲むけど……黙っとこ…)   (2024/10/23
23:25:59)

十六夜咲夜 ◆> そんな素直じゃないなんて…ひゃっ？どこを…っ(不意に太ももに手が伸びて)   (2024/10/23 23:26:42)

クラリス ◆> はい、どうぞ遠慮なくですっ（あらためてお茶とクッキーを差し出しつつ、率先してもぐもぐ）それで、あらためてお話っていうのは…？   (2024/10/23 23:28:08)

エロガキ♂14C
◆> だってそーでしょ？何処をって……太腿だよ？おっぱいずっと触ってるほーがよかった？（にまりと意地の悪い笑みを浮かべながら、下半身までぴたりと密着させて。スカート捲り上げて下着越しの下半身に、ズボン越しのおちんちん擦り付けるように全身を上下に揺すってみて。）
  (2024/10/23 23:28:15)

十六夜咲夜 ◆> ね、14Cくんもお茶会とかいいんじゃないかなーとか…甘えていいからぁ…なんて手遅れかしらねぇ…んっ…///(大胆に…下着越しに擦り付けられて)   (2024/10/23 23:30:05)

エロガキ♂18D
◆> えぇ、戴きます……(そう言うと静かに食べながら)まぁこれと言った話題はないのですが……最近罰とは言え、エッチばかりしてましたから。たまにはこうやって、小休止…のんびり話すのもいいかと思いまして。今日はこうやってクラリスさんに勝てただけで嬉しいですから…
  (2024/10/23 23:30:15)

エロガキ♂14C
◆> えー、今日はこの前添い寝で不完全燃焼だった咲夜おねーさんに発散させてあげよーと思ったのにー？それでもお茶会の方がいい？（ゆっくりとした動きで少しずつズボンの中で固くなるおちんちんの感触を確かめさせるように擦り付けつつ、服の上からぐいぐいとおっぱいに顔を擦り付けるようにして。）
  (2024/10/23 23:32:12)

クラリス ◆> あはっ…と、さすがにちょっと冷えてきたので、失礼します（罰時間なのにノースリーブにセーターを重ね着して露出を減らす小娘）今度は普通のお茶じゃなくて、ホットコーヒーとか、ココアとかのほうがいいかもしれないですねっ   (2024/10/23
23:33:13)

十六夜咲夜 ◆> んんっ…選ぶ権利無いので…ぁっ///そこ擦り付けちゃ…っ///(胸もすんすん吸われてるの感じて)   (2024/10/23 23:33:49)

エロガキ♂18D
◆> えぇ、そうですね……もしよろしければ、タオルとか羽織ります？(そう言いながらそっとアロマを仕込んだりして…完全にリラックスモード)おや、両方とも好みですよ。特にこのようなクッキーなら、両方合いそうでまた……(と言いながらしっかり二人の行為はチラチラついでに見る程度…基本はクラリスさんとのまるで茶会デートを楽しみ)
  (2024/10/23 23:35:37)

クラリス ◆> …いつものうちって、今の咲夜さんみたいになっちゃってます？（14くんに責められて、ぴくぴくしてるのを横目でちらと見ながら、18さんにひそひそと）   (2024/10/23 23:35:47)

エロガキ♂14C
◆> んー……♪咲夜おねーさんの匂い、すきー……♪（おっぱいに押し付け擦り付ける鼻先を微かに震わせては匂いを堪能しつつ、柔らかな感触を顔全体で味わうようにして。ゆっくりと動かしていた身体の動きを一度止めると、ズボンのチャックを下ろしては直のおちんちん取り出して再び咲夜おねーさんの下半身に擦り付け。スカートで隠すと外からは身体を擦り付けてるようにしか見えないね？）
  (2024/10/23 23:36:58)

十六夜咲夜 ◆> そこの2人…何か言ったかしら…ぁっ///(押し倒されてすりすりされたまま)   (2024/10/23 23:37:07)

エロガキ♂18D ◆> …まぁ、そこそこ……なっちゃってますね…同じような感じ、かと…(ヒソヒソと言いながら……)いえ、何も……お楽しみになさってくださいませ、お二方……   (2024/10/23 23:37:53)

エロガキ♂18D ◆> 14さん、もっとそちらに咲夜さん集中させてくださいよ(と向こうを煽りながらお茶をずずっと飲んで)   (2024/10/23 23:38:41)

エロガキ♂14C ◆> 僕は甘えてるだけだよー？（擦り付きながらちらりとお茶会中のお二人には満面の笑み浮かべつつ、だよね？と咲夜おねーさんには上目に問いかけて。）   (2024/10/23 23:38:53)

十六夜咲夜 ◆> もう、ほんとに甘えたさんなんだからぁ…(ファスナーの音が聞こえて…さっきと違う感触が…)え、ええ、そうね…いっぱい甘えられてるだけよぉ…///   (2024/10/23 23:39:37)

エロガキ♂18D ◆> 甘えるのもいいですけどもうちょっと自分のペアを夢中にさせてあげないと、ですよ？(なんて言いながらクッキーを摘まみ)   (2024/10/23 23:40:47)

クラリス
◆> え、えっと…セーターだけでも大丈夫かもしれないですけど、あるなら、おねがいします（タオルをリクエストしつつ、ついついもう一組に視線を向ける頻度は増えて…きわどいところは見えないとはいえ大体どうなっているかはお察しで）な、なるほど…客観的に見ると、すごく恥ずかしいことしてる…かも…？
  (2024/10/23 23:40:54)

エロガキ♂14C ◆> ……んっ♡すりすりすると、気持ちいいね……？♡（甘えてるだけ、の問い掛けに同意する咲夜おねーさんに上目に更に問いかけつつ、片手で下着の生地をずらしては外気に割れ目を晒しつつ、直接おちんちんと擦り付け合うようにして。）  
(2024/10/23 23:42:46)

エロガキ♂18D
◆> ええ、大丈夫ですよ。風邪引いたりしたらあれですから。暑ければ、タオルだけでも脱げばいいですから……(そう言うとそっと被せて、ついでに……無意識で頭を撫でたりして。二人で楽しんでいる光景を肴に、じっと見ながら)まぁ、ほぼ……似たようなことをしてますが…こうやって見ると、中々、ですねぇ…(なんて客観的だからこそな意見を淡々と、小声で言いながら)
  (2024/10/23 23:43:43)

十六夜咲夜 ◆> え、ええ、そうねっ…♡ひっ…も、もっとこうしちゃうかしら…っ？(外気に晒される感触のあと…スカートの中でぬるぬるの先っぽが当てられて)   (2024/10/23 23:45:45)

十六夜咲夜 ◆> (外から分からないよね、と思いつつバレバレかなとは気づいてるわよ)   (2024/10/23 23:46:40)

クラリス
◆> あの二人、ぜったい、ただのすりすりじゃないですよね…？（傍から聞けば年齢不相応にも程がある問いかけを相方にしつつ、頭を撫でられれば気持ちよさそうに目を細めて）咲夜さん、声もえっちになってる気がしますし…いつもはうちがああなってると思うと…あ、あははははっ（最後はもうごまかし笑いをするしかなくなって）
  (2024/10/23 23:47:53)

エロガキ♂14C ◆> うんっ♡もーっとたくさんすりすりしちゃおー♡（おっぱいに押し付けた顔を微かに上気させて、吹き付ける吐息にも熱が籠り始め。先走りでぬるぬるになった先っぽを少しずつ割れ目の中へ浅く沈めては抜いてを繰り返しては焦らすようにして。）  
(2024/10/23 23:47:57)

十六夜咲夜 ◆> は、ぁんっ、ええ、いっぱい甘えていいわよ…っ♡(少しずつ…入ってきてる…分からないようにおっぱい押し付けるの強調して)   (2024/10/23 23:49:43)

エロガキ♂18D
◆> まぁ……すりすりではありますが…あれは絶対、交尾前のマーキング、のような…(そんな事を色気もなく淡々と伝えるようにボソボソと話しながら…そっと頭に手をやりながらポンポンと、子供をなだめるように優しく撫でて…)……まぁ、今は……たまにはこうやって、別の切り口で甘えさせるのもいいかなって…よそはよそ、ってヤツです…(グビッとお茶を飲みながら)
  (2024/10/23 23:50:58)

エロガキ♂14C ◆> んんっ……♡ぅ……♡ぁは……すごく、あったかいよぉ……？♡（繰り返すうちに浅く沈めるのを辞めて、遂には奥まで押し入れるまでに。そのまま腰を揺らして突き上げつつ押し付けられるおっぱいには漏れ出る吐息と上擦った声を押し漏らすようにして。）
  (2024/10/23 23:52:11)

クラリス
◆> こ、こうび…（がっつり目視しておきながら今更のように顔を赤らめていたところ、頭をぽんぽんされて我へ返ったように）そ、そうですね、よそはよそうちはうち、ですねっ（クライマックスに突入しそうな向こうの様子からは視線を外して18さんに向き直りつつ、クッキーをぱくり、と）
  (2024/10/23 23:54:16)

十六夜咲夜 ◆> ふぅっ、はぁ、そう、それはよかったわぁ…っ♡(抱きついて誤魔化そうとするも…奥まで押し入れられて腰を揺らされるともう誤魔化せなくて)ぁっ、ひぁっ、ぁんんっ、うごいちゃああ♡   (2024/10/23 23:54:55)

エロガキ♂14C ◆> ぁ……ざんねーん、時間になっちゃったねー……？でも、ここまで来てしゅーりょーなんて……やだよね？もっとすりすりしたい、よね……？♡（ぴたり、と動きを止めては胸元から顔を上げて少し背伸びしては耳元へと口を近づけてひそひそと。）  
(2024/10/23 23:56:43)

クラリス ◆> （なんだかすごく盛り上がってる声が聞こえてきちゃった…けど、さすがにもう向き直ることはなく、あとはもう若い二人に任せて≪こら。）   (2024/10/23 23:56:47)

エロガキ♂18D
◆> まぁ言葉を選ばなければそうですね…(頭をポンポンしながら優しくヒソヒソ話……まるで恋人のようにしながら)えぇ、その通りです。まぁ、楽しい時間はもう、終わりになってしまいそうなんですけど……(そう言いながらクッキーを含んだ口に向かって、優しいキスをして…)……これが今回の罰、ということで……
  (2024/10/23 23:56:56)

十六夜咲夜 ◆> ぅっ…そうね…♡(最後までいいわよ、とぼそっと)   (2024/10/23 23:57:26)

クラリス ◆> えへ、なんだか大人っぽいです…（キスを素直に受け入れて、にっこり）   (2024/10/23 23:57:57)

エロガキ♂18D ◆> たまにはこういうのも、悪くないですね…今まで自分の罰はエッチばかり、でしたから。(そう言うとふふっと笑って)   (2024/10/23 23:58:43)

エロガキ♂14C ◆> それじゃあ……一応待機もいるし、場所だけ変えちゃおっか……？（個室、多目的、好きな方選んでいいよ？と）   (2024/10/23 23:58:45)

十六夜咲夜 ◆> (みなさん多目的行きます？)   (2024/10/23 23:59:22)

クラリス ◆> （同伴してもよければ〜）   (2024/10/24 00:00:01)

十六夜咲夜 ◆> (私の場合見られてるのも罰に入ってる感あるので…)   (2024/10/24 00:00:04)

エロガキ♂18D ◆> (自分はどちらでも…クラリスさんの時間が心配ではありますが……それ次第で解散でも。＞咲夜さん)   (2024/10/24 00:00:12)

エロガキ♂18D ◆> (おや、では同伴致しましょうか……)   (2024/10/24 00:00:25)

エロガキ♂14C ◆> （それじゃあ多目的にいどーっ）   (2024/10/24 00:00:33)

エロガキ♂18D ◆> (では参りましょうか、クラリスさん？)   (2024/10/24 00:00:52)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (2024/10/24 00:00:54)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/24 00:00:55)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/24 00:00:58)

クラリス ◆> （はーい）   (2024/10/24 00:01:02)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/24 00:01:10)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/24 02:38:30)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/10/24 02:38:33)

おしらせ> エロガキ♂13UCさんが入室しました♪  (2024/10/24 02:38:36)

エロガキ♂13UC> さ、何するか決まってるなら始めようか……19のお兄ちゃんは支援みたいなもんだし、俺一人でもいいよっては先に言っとく（シャーロットお姉ちゃんが納得すればだけど）   (2024/10/24 02:39:24)

エロガキ♂19b ◆> レイスちゃん時間決めてね～   (2024/10/24 02:39:31)

シャーロット・レイス ◆> 来ましたし、時間決めますね。ほぼやることは変わりませんけど   (2024/10/24 02:40:04)

シャーロット・レイス ◆> 10d3 → (2 + 2 + 2 + 1 + 1 + 1 + 2 + 1 + 1 + 3) = 16  (2024/10/24 02:40:07)

シャーロット・レイス ◆> 短いわね   (2024/10/24 02:40:21)

エロガキ♂19b ◆> まじ？UNICORNを生け贄にしちゃっていいのか？...   (2024/10/24 02:40:30)

シャーロット・レイス ◆> 56分までね。   (2024/10/24 02:40:38)

エロガキ♂13UC> 56まで……っても、お姉ちゃんたちの時間は短いし、まあ、お姉ちゃんが満足するまで眠くなるまで相手になるよ   (2024/10/24 02:40:46)

シャーロット・レイス ◆> 逃さないわよ   (2024/10/24 02:40:58)

エロガキ♂13UC> シャーロットお姉ちゃんは欲張りみたいだから、逃げられないかもだけど？（オレが決めることじゃないし～って話だけど   (2024/10/24 02:41:24)

シャーロット・レイス ◆> まあ、全裸で土下座して謝罪してもらいましょうかね。(ニヤニヤしながら)   (2024/10/24 02:41:33)

エロガキ♂13UC> チェ……ま、いつものだよなぁ（仕方ないと、ハーフパンツ、シャツ、トランクスを脱いで。正座し、頭をつけて）　勝てもしないのに、二人いるからってイキがりました……許してください。（これでいい？って頭ちらっと上げて）   (2024/10/24
02:42:41)

