/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月27日 01時48分 ～ 2024年12月01日 17時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂?17A> いいよ、十分エロかったからさ   (2024/11/27 01:48:27)
◆> んっ…んっ（後ろの息遣いで興奮されてるのがわかって、それに当てられる感じで、知らず知らずのうちに自分の呼吸や鼓動も早まって）あっ…！（正面からスカートをまくられて腿をさわられて、意識がそちらへ向くのと同時に、ズボン越しに硬いものを押し付けるように腰を振られているのにも気付いて）え、えっちだよ、これ…ん、んん…！（胸の先端を指で擦られる感覚に、思わず大きく震えて、口元をぎゅっと噛み締めて）
  (2024/11/29 14:25:44)

エロガキ♂13Al> え、えっちな罰なんだから仕方ない……（言い訳しながらも、むに、むにゅうっ、と大きな手つきで揉みしだいて、熱くなって汗ばむ肌にも掌を吸いつかせて。乳首に反応するのがわかると、そうっと指で摘まみ。くにゅ、くにゅっ、と都合よく伸び縮みする服の下で擦っていく……腰はぐ、ぐっ、と押しつけられて、硬い感触が柔らかいお尻にぐいぐい擦りつけられて……自然、クラリスの腰も前に出させる格好に）
  (2024/11/29 14:28:26)

エロガキ♂17C
◆> ほら、13Alくんにサービスしてあげなくちゃ。お姉さん、だろ。（クラリスさんの腿の付け根から今度は下着越しの秘裂へと足の甲を押し付け、擦り上げながら段々と押し寄せられてくる腰を後ろへと押し戻しては、擦り付ける動きの13Alくんの方へと臀部を押し付けさせるようにしてやり。）
  (2024/11/29 14:29:53)

クラリス
◆> そ、そうだけど、そうだけどっ（罰とわかっていても恥ずかしいものは恥ずかしくて…前から足で押さえつけられて、否応なく下肢を後ろへ押し返す動きを要求されれば、ますます動悸は早まって…刺激の強まる足の付け根、下着の内側には、ほんのりと熱っぽい雫が溜まりはじめて）…ね、続き、するのかな？（段々ぼんやりしてきた視線を、奥にあるもう一つの部屋に向け、2人の少年に問いかけて）
  (2024/11/29 14:33:34)

クラリス ◆> 【罰部屋の時間は一杯ですね、ご希望ならアフターも行けますよ！】   (2024/11/29 14:35:42)

エロガキ♂13Al> はあ、はあ……っ！（夢中でしがみついて腰をぐ、ぐ、っと突き出していたところで時間切れを知らせる音が鳴って。はっとしながらもぷるぷると震える手を服の下から出して）……え、えっと。……したい……。（すっかり火照った様子で答え、熱っぽい目つきでクラリスの体を見つめている）
  (2024/11/29 14:35:50)

エロガキ♂17C
◆> どうしたものかね。13Alくんは出来上がってるし、オレは見送らせて貰おうかな。……サービスはこれにて終了、ってところで。（すっ、と爪先を股下から引き抜いては靴を履き直し、椅子から立ち上がり。）オレは次の機会にでも存分に可愛がらせてもらうとするよ。それでは、どうぞごゆっくり。
  (2024/11/29 14:38:17)

クラリス ◆> 【17Cさんありがとうございました、またよろしく！】   (2024/11/29 14:39:02)

エロガキ♂17C ◆> 【そんな訳でオレは行くよ。あとはお二人でどうぞごゆっくり。】   (2024/11/29 14:39:17)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/29 14:39:20)

クラリス ◆> 【13AIくんはアフターへどうぞ〜】   (2024/11/29 14:39:37)

エロガキ♂13Al> 【それではあっちでー】   (2024/11/29 14:40:00)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/29 14:40:03)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/11/29 14:40:03)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/29 19:26:31)

おしらせ> 空条徐倫さんが入室しました♪  (2024/11/29 19:26:34)

エロガキ♂14C ◆> はぁ、急に出目が下手れるのは勘弁してほしいなあ。それじゃ、時間決めからどーぞ。   (2024/11/29 19:27:09)

空条徐倫> それじゃ振るわね   (2024/11/29 19:27:17)

空条徐倫> 10d3 → (1 + 3 + 2 + 3 + 2 + 2 + 1 + 3 + 3 + 3) = 23  (2024/11/29 19:27:31)

空条徐倫> 50分までね   (2024/11/29 19:27:43)

エロガキ♂14C ◆> 50分までかあ、で。   (2024/11/29 19:27:51)

エロガキ♂14C ◆> 一体僕に何するつもりなのさー？僕はただの甘えん坊なのにー。   (2024/11/29 19:28:16)

空条徐倫> それじゃあ甘える癖を治してあげる♪まずストリップからよ   (2024/11/29 19:28:48)

エロガキ♂14C ◆> アイデンティティ奪うとかおねーさん酷くない？子供のストリップとか見て何が楽しいんだろ……。（ぶつぶつと文句を口にしつつ、ストリップと言われてもいまいちどう脱げばそれっぽいか理解しないまま、とりあえずゆっくりと上着から脱ぎ始め。）  
(2024/11/29 19:30:43)

空条徐倫> 別に今はこっちが命令してるから言うこと聞けばいいのっ…負けたんだから仕方ないじゃない(そう言って脱いだのを確認すると)脱いだらがに股になって両手は頭につけて…   (2024/11/29 19:32:49)

エロガキ♂14C
◆> 言うことは聞くよ？でも、文句を言うなって命令されてないしー。（僕らだって感情くらいはあるよ、と文句を漏らしながらも次いで下まで脱ぎ終えて裸体を晒すと、指示されたように両手を頭につけてガニ股になり。）なんだか筋トレみたいなポーズだね、これ。  
(2024/11/29 19:35:22)

空条徐倫> じゃあそのまま腰を振りな…太ももの筋トレになるかもよ笑…(がに股にさせたら腰を振るように指示し、それを見て少し面白そうに微笑み)   (2024/11/29 19:37:03)

エロガキ♂14C ◆> はーいって、これ脚辛い、なぁ……腰もしんどいし……（指示されるがまま、その場で腰を揺らし始めるも空を切るだけの腰の動きは受け止めるものもなく、微妙に負担のかかる動き。暫く動くと多少息が上がり始め。）   (2024/11/29
19:39:51)

空条徐倫> どーしたー？息荒くなってるぞ～？(腰を振り続けて疲れたのか息が上がってきたので近づいて手を伸ばし乳首をきゅっと摘まみ)ほらほら～？がんばれがんばれ～♪(そのまま指で転がし始め)   (2024/11/29 19:42:33)

エロガキ♂14C ◆> っ……頑張らせる気、ないよね……は、ぅ……！（不意に近付き乳首を摘み、転がされると腰を振る動きの合間に身体が小さく震え。頑張れ、なんて煽り立てる徐倫おねーさんにじとりとした視線向け。）   (2024/11/29 19:44:50)

空条徐倫> あれー？どーした？そんな声出しちゃって？(乳首を摘まむと小さく震えており、じっと視線を向けられるももっと反応が見たくなりもう片手も出し同じように乳首を摘まみ両方同時に転がし始める)   (2024/11/29 19:47:11)

エロガキ♂14C ◆> くすぐったいんだ、よ……！（両乳首を摘み転がされると全身に走るくすぐったい刺激に身悶えするように身体を小刻みに震わせながら、普段使わない筋肉を酷使する動きに腰を振る動きは緩慢さを増して。）   (2024/11/29 19:49:41)

空条徐倫> はい終了～、本当は感じてたんじゃないの？(乳首を刺激され身悶える姿を見て可愛らしいと思い、もうちょっとやりたかったが時間なので手を離して)   (2024/11/29 19:51:57)

エロガキ♂14C ◆> ……はぁ、はぁ……他のお兄さんは知らないけど、乳首だけ触られてもくすぐったいだけだよ。（時間切れを迎えると疲労感にその場で崩れ落ちつつ、重たい身体に鞭打って服を着て。）それじゃ、僕は帰るよ。じゃあねー。   (2024/11/29
19:53:46)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/29 19:54:04)

空条徐倫> それじゃあまたね   (2024/11/29 19:55:21)

おしらせ> 空条徐倫さんが退室しました。  (2024/11/29 19:55:23)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/30 18:20:17)

おしらせ> 波多乃神奈さんが入室しました♪  (2024/11/30 18:20:46)

波多乃神奈> 無敗記録更新中です。   (2024/11/30 18:21:09)

エロガキ♂19b ◆> 勘弁してくれ...もう！   (2024/11/30 18:21:32)

波多乃神奈> 初めて対戦した相手があなたで、まだ誰とも対戦していないのです。   (2024/11/30 18:22:01)

エロガキ♂19b ◆> たまには他の人ともやりな！？   (2024/11/30 18:22:25)

波多乃神奈> ですよね。中々会えないんです…   (2024/11/30 18:22:39)

エロガキ♂19b ◆> タイミングがいいのか悪いのか...とりあいず時間決めちゃって！   (2024/11/30 18:23:06)

波多乃神奈> あ、時間振りますね。   (2024/11/30 18:23:18)

波多乃神奈> 10d3 → (3 + 2 + 1 + 2 + 1 + 3 + 1 + 1 + 2 + 1) = 17  (2024/11/30 18:23:31)

波多乃神奈> 微妙？   (2024/11/30 18:23:49)

エロガキ♂19b ◆> 低めだね、40分まで！   (2024/11/30 18:24:07)

波多乃神奈> はい。では「私は神奈様に勝てません」これを言ってから、同じような内容の文言を考えて10個叫んでください。   (2024/11/30 18:25:12)

エロガキ♂19b ◆> 難しすぎないか！？ほんとに刻もうとするの勘弁してぇ...   (2024/11/30 18:25:56)

エロガキ♂19b ◆> もう～！！...とりあいず、私は神奈様に勝てません...   (2024/11/30 18:26:50)

波多乃神奈> 冗談です（半分本気）どうしたら貴方以外と会えるか考えてくれますか？あ、しょっちゅう来て張り込むとかは無しで。   (2024/11/30 18:27:00)

エロガキ♂19b ◆> 言っちゃったやんけぇ！？...クソっ、自分のミスとはいえ屈辱過ぎる...   (2024/11/30 18:27:40)

波多乃神奈> ウフフ、その一言だけで十分です（酷）   (2024/11/30 18:28:04)

エロガキ♂19b ◆> 合えるのに関してはすごく簡単だよ夜の8時ぐらいに待機してごらん。すぐに飛んでくるから   (2024/11/30 18:28:16)

波多乃神奈> 夜の8時がいいんですね。わかりました、時間が合う時にその時間を目指してみます。   (2024/11/30 18:28:53)

波多乃神奈> あと10分で屈辱的なことはと……   (2024/11/30 18:29:11)

エロガキ♂19b ◆> もしくは9時とかかな...皆俺みたいに勝てるとは思わない方がいいよ！俺もいまは出目がふるわないだけであって...   (2024/11/30 18:30:05)

波多乃神奈> あ、そうでした、ご主人様って呼んで下さい。（思い付いたとばかりに）　そうですね、19bさんのように負けて下さる方ばかりではありませんよね。   (2024/11/30 18:31:02)

エロガキ♂19b ◆> これまた、斜め上のが...わかりました、ご主人様。...女の子ならお嬢様とかそっちで呼ばれたくない？   (2024/11/30 18:31:51)

波多乃神奈> ご主人とお嬢様じゃ意味合いが違ってくる感じがしませんか？あ、今日の筋トレしましょう。私を肩車してくださいね。（すらっと言う）   (2024/11/30 18:33:14)

エロガキ♂19b ◆> くそっ...忘れてなかったか...はいどうぞ...(神奈に背を向けてしゃがみ)   (2024/11/30 18:34:06)

波多乃神奈> はい、ではどうぞ（肩に乗って頭に掴まって）スクワットは普段はどれぐらいしてるんですか？   (2024/11/30 18:34:56)

エロガキ♂19b ◆> そのときに気分によるからなぁ...とりあいず10回ぐらい、かも？   (2024/11/30 18:35:29)

波多乃神奈> 10回ですか。では負荷がかかってるので15回お願いします。   (2024/11/30 18:36:01)

エロガキ♂19b ◆> さらっと越えるの酷くない！？いいけどさっ...んっしょ！！(すくわっとを開始して)落ちないでよ？困るのは俺なんだからっ！   (2024/11/30 18:37:02)

波多乃神奈> はい、落ちません。落とされたら多分私は死んでしまうので。（さらっと言う）   (2024/11/30 18:37:37)

エロガキ♂19b ◆> 責任重大！？...さっきから怖いことばっか！！ぐっ！！こんなことするよりも...神奈ちゃんとセックスしたいぜ...(スクワットを続け)   (2024/11/30 18:38:46)

波多乃神奈> 勝ったらそういう未来もありますね。くすぐったいので足に手をあまり動かさないでくださいね。   (2024/11/30 18:39:15)

エロガキ♂19b ◆> はいはいっ...わかりましたよっと！、これで...終わり！！(スクワットを終えてゆっくりとしゃがみ)   (2024/11/30 18:40:26)

波多乃神奈> はい、お疲れ様です……時間ですが…このまま運んで貰えますか？（最後のお願いとばかりに）   (2024/11/30 18:41:18)

エロガキ♂19b ◆> このままね、、了解...頭ぶつけないようにねー！！(そのまま出口に向かってあるいていき)   (2024/11/30 18:41:56)

波多乃神奈> はい、お願いします（高い位置から見る景色に楽しそうにしながら、19bさんに運んで貰って）   (2024/11/30 18:42:40)

波多乃神奈> （お部屋有難うございました）   (2024/11/30 18:42:55)

エロガキ♂19b ◆> (お疲れさまでした！！)   (2024/11/30 18:43:04)

おしらせ> 波多乃神奈さんが退室しました。  (2024/11/30 18:43:09)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/30 18:43:13)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/11/30 23:16:29)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/30 23:16:43)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/30 23:16:57)

エロガキ♂19b ◆> あ、ログは見ないでね(圧)   (2024/11/30 23:17:08)

クラリス ◆> （なにがあったんだろう…）   (2024/11/30 23:18:03)

エロガキ♂13Al> 見えちゃった場合は仕方ない……パンチラと同じで……！   (2024/11/30 23:18:46)

エロガキ♂19b ◆> さてさて...罰をするわけだけど13AI君は俺に一任するんだっけ？やりたいことあるなら今のうちだよ～？   (2024/11/30 23:18:51)

エロガキ♂13Al> 任せ……る！　みてなさいとかでもそれはそれで、任せるといった責任だから……   (2024/11/30 23:19:36)

エロガキ♂19b ◆> 了解！！...時間をふるまえに、、クラリスちゃんってお薬はいける系かな？   (2024/11/30 23:20:03)

クラリス ◆> お薬の内容によります！   (2024/11/30 23:20:42)

エロガキ♂13Al> 酔い止めとか。（違うね）   (2024/11/30 23:21:09)

エロガキ♂19b ◆> では2人とも罰のお品書きの薬物メニューを開いてください！2人とも開いたら時間振るね！   (2024/11/30 23:21:18)

クラリス ◆> 3はやめて！！（悲鳴）   (2024/11/30 23:21:55)

エロガキ♂13Al> 1d7で決めるやつかな。それだったら開いたと思う！   (2024/11/30 23:21:57)

エロガキ♂19b ◆> 10d3+10 → (3 + 2 + 1 + 3 + 3 + 2 + 1 + 3 + 1 + 2) + 10 = 31  (2024/11/30 23:22:19)

エロガキ♂19b ◆> 53分まで！！というわけで、クラリスちゃんにはエッチな方のダイスを振って貰って飲んで貰います！！   (2024/11/30 23:22:47)

クラリス ◆> 冗談抜きで、3が出たら振りなおしていいですか（懇願）   (2024/11/30 23:23:34)

クラリス ◆> 1d7 → (5) = 5  (2024/11/30 23:24:01)

クラリス ◆> （飲んだ！！）   (2024/11/30 23:24:45)

エロガキ♂19b ◆> 勿論いいよ～ってその心配はなさそうだね。というわけで、こちら！！　淫語誘発剤：自ら進んで卑猥な言葉選びをしてしまいます。どのような言葉が卑猥に感じられるかの判断は薬を使用された側の性知識に依存します。   (2024/11/30
23:24:53)

エロガキ♂13Al> 薬って色んなことを操れるんだね……（やはり錬金術師が裏に関わってるのかなって思っている）   (2024/11/30 23:25:00)

クラリス ◆> ししょー！！（風評被害）   (2024/11/30 23:25:42)

エロガキ♂19b ◆> その錬金術師が目の前にいるんだけどね～...さぁ、準備は整いました！！13AI君らおっぱいを好きにしてもらっていいよー！   (2024/11/30 23:25:52)

エロガキ♂19b ◆> 俺は～クラリスちゃんのオマンコで遊ばせて貰うからさ！(にっこり)   (2024/11/30 23:27:31)

クラリス ◆> （服装はいつもと一緒（ノースリーブ＆ミニスカート）です！！）   (2024/11/30 23:27:33)

エロガキ♂13Al> 俺のおっぱいを好きにしていい……！？（間違った認識）   (2024/11/30 23:27:54)

エロガキ♂13Al> 錬金術師ってやっぱりえっちな薬の実験したりするんですか！　一人プレイ（隠語）のための薬とか……！（エッチなことを言わせてみよう！）   (2024/11/30 23:28:24)

エロガキ♂19b ◆> いいじゃないですか～。薬の効果を存分に試すいい機会...遊びながら質問しちゃいましょう～！   (2024/11/30 23:29:15)

クラリス ◆> した…オナニーで感じやすくなるやつ…感じるどころか逝きすぎて泣く泣くお蔵入りさせたけど…（うそうそこんなこと言う！？！？）   (2024/11/30 23:29:52)

エロガキ♂13Al> それって、気持ちよくなるやつ？感度あがったりとかってこと……？それか、塗って使うやつとかってこと？（せっかくだから……って、服の上からおっぱいにタッチ。そーっと撫でてみる）   (2024/11/30 23:30:53)

エロガキ♂19b ◆> 質問はお任せしちゃおっと...(ススッとクラリスに近づき下半身をまさぐり始め)ビックリするぐらい卑猥な薬の実験したんだね...   (2024/11/30 23:32:18)

クラリス ◆> 塗ったり飲んだりじゃなくて嗅ぐやつ…そのときは撫でるどころか触るだけで逝っちゃって…っ！！！（あくまで言語中枢だけに効いてるはずなのに、軽く撫でられただけで、はっきりと震えてしまって）   (2024/11/30 23:33:03)

エロガキ♂13Al> ……鼻からだとよりアブナい感じがする……！それって、ちゃんと収まったの？　何時間もそんなに敏感になったらヘンになっちゃいそ……（興奮しているのかぷるぷる震えてしまうクラリスの胸。そうっと指で服の上をなぞって、乳首のあたりをかりかり……♡）
  (2024/11/30 23:34:57)

クラリス ◆> やっ、やだあっ！ オマンコだめえっ！！（入り口どころか周りを触られるだけで最終的な行き先を勝手に想像してしまって、すぐに下着が染みるくらい濡れて）   (2024/11/30 23:35:01)

エロガキ♂19b ◆> 今日は普段よりもすぐに濡れちゃってるねぇ...恥ずかしいこといってるからかなぁ？♡でも～ダメって言われたら触りたくなるのが俺！というわけで～...(太ももからゆっくりとオマンコに向かって指を滑らせて下着越しに優しく撫でて♡)  
(2024/11/30 23:37:06)

クラリス ◆> な、何時間とか分かんないっ、逝っても逝っても止められなくて最後は失神しちゃったから…あああっ…！！！（すぐに硬くなった乳首は服越しでも確かな感触で、びくびく震えるのが止まらなくて）   (2024/11/30 23:37:14)

クラリス ◆> そんなこと具体的に言わなくていっ…あああっ…ふたりとも焦らすのやだあっ、ちょくせつ、じかにさわってよおっ！！（上も下もブルブル震えながら、まったく制御不能に懇願して）   (2024/11/30 23:39:01)

エロガキ♂13Al> そ、そうなんだ。すご……それって敏感になるっていうかすぐイっちゃうようになってるってことだよね。……いきなり自分の体で試しちゃうなんてすご……。（オナニーのためにそこまでするなんて……ってムラムラした目を向けて）ば、罰だから……（って言い訳しつつも。服の中に手を潜らせて……むに、むにゅっ♡と大きな手つきで揉みしだく）
  (2024/11/30 23:39:59)

エロガキ♂19b
◆> あはっ♡仕方ないなぁ...可愛くてドスケベなクラリスちゃんのお願いだし、そのお願い...叶えてあげましょう～！(下着をずらし割れ目を直接触りながらもう片方の手でクリを摘まんで♡)想像以上に濡れててビックリするんだが...ねぇねぇ、そんなに触ってほしかったの～？♡
  (2024/11/30 23:42:03)

クラリス ◆> だってだって、逆に自分以外で試せないよこんなのっ（変なところで律儀なのを白状しつつ、懇願に応えて胸も股も直に触られると、もう完全に歯止めがきかなくて）ああっ、もっと…おっぱいとおまんこ、くしゃくしゃにしてっ…きもちよく、させてっ…！！！  
(2024/11/30 23:45:11)

エロガキ♂13Al> おっぱい、強くして……んく。（求められることを想像してごくっと喉を鳴らして。直に触れた手で、むにゅうっ♡と大きく揉みしだいていく。形が歪むくらいに強くつかみながら）イき顔見せて……♡　あとでオナニーのオカズにするっ♡（じいっと正面から見つめながら、むにゅん、むにゅんっ♡）
  (2024/11/30 23:47:41)

エロガキ♂19b
◆> やっば...こんなクラリスちゃん見るの久しぶりかも～？...もっと苛めたくなっちゃうなぁ♡(指を中に挿入し奥の方を強く掻き回しながら、クリも少し強めに摘まんで回すように弄ってみて♡)こーんな感じかな？♡でも、指なんかよりもほんとはおチンチンがほしかったり～？♡
  (2024/11/30 23:48:31)

クラリス ◆> ああっ、あっ！ あっあっあっ、あああ…！！！（すっかり高ぶり切ると、あとはもう言葉選びも何もなく、目一杯に喘ぐことしか出来なくて、そのうちに、びくっ！！
と一際おおきく強く震えて）はあっ、はあっ、ああっ、あ…（しかし薬の副作用もあったのか、普段とは違う不自然な昂ぶりの反動で、絶頂に達した後はそのまま失神状態に陥り、その後は煽っても弄っても反応は無く…）   (2024/11/30 23:53:08)

クラリス ◆> 【というわけで、すみませんがアフターは今回無しでお願いします…！】   (2024/11/30 23:53:39)

エロガキ♂13Al> ……もしかしてお薬でイきやすくなってしまう体質になっちゃったんじゃ……（びくびくと絶頂して失神しちゃうのを崩れないように受け止めつつ……とりあえず体に別状はなさそうなので安全なところまで運ぼう、と）   (2024/11/30
23:54:49)

エロガキ♂19b
◆> あちゃぁ～...薬強すぎた？...んま、面白いものがみれたからよしとしよう！！(オマンコから指を引き抜き)でもこんなのは珍しいから1枚だけ...(カメラで失神しているクラリスちゃんをパシャッ！)これでよーし！！...次回がまた楽しみになったね♡  
(2024/11/30 23:55:24)

エロガキ♂19b ◆> 【思ったより薬物って難しいね！？...思い付きで使ったけど負担大丈夫だった？】   (2024/11/30 23:56:15)

エロガキ♂13Al> 【普段と違うことするのは大変かもしれない……ありがとうございました！】   (2024/11/30 23:56:42)

クラリス ◆> 【クラリスだから耐えられました（長女？）ハードル高いのは確かな気がします！】   (2024/11/30 23:57:15)

エロガキ♂19b ◆> 【わかった！次回は別のにしよう...お母さんの服を着せるとかそっち系で！！...薬物は封印！！(ペタペタ)】   (2024/11/30 23:58:22)

エロガキ♂13Al> 【それじゃあこれぐらいで……（すすす……）】   (2024/12/1 00:00:04)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/1 00:00:07)

エロガキ♂19b ◆> 【さあ！あんまり長居してもあれですし～！お兄さんは先にいかせて貰うぞ！！...2人ともまたね！った先を越された！】   (2024/12/1 00:00:13)

クラリス ◆> 【後はつかえてませんけど、とりあえず部屋は開けましょうか〜】   (2024/12/1 00:00:26)

エロガキ♂19b ◆> 【お疲れさま！！】   (2024/12/1 00:00:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/1 00:00:32)

クラリス ◆> 【先を越された！（最下位）】   (2024/12/1 00:00:49)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/12/1 00:00:52)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/12/1 10:10:32)

おしらせ> 銀狼さんが入室しました♪  (2024/12/1 10:10:36)

おしらせ> ナリタトップロードさんが入室しました♪  (2024/12/1 10:10:40)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/12/1 10:10:40)

エロガキ♂11T> ちゃんと集まってえらいですね   (2024/12/1 10:11:57)

エロガキ♂15R ◆> 揃いましたっ！11Tさん、サイコロ高い順で相手決めしましょうかっ！   (2024/12/1 10:12:06)

ナリタトップロード> 対戦ありがとうございました！負けてしまいましたが、体が温まればよしとしましょう！   (2024/12/1 10:12:11)

エロガキ♂15R ◆> 対戦ありがとうございましたっ！久しぶりに勝負出来て嬉しいですっ！   (2024/12/1 10:13:06)

エロガキ♂11T> そうですね～お二人ともおっぱいの大きさを言って欲しいですかね…   (2024/12/1 10:13:16)

エロガキ♂15R ◆> ではサイコロいきますっ！   (2024/12/1 10:13:41)

エロガキ♂11T> 1d20 → (4) = 4  (2024/12/1 10:13:53)

エロガキ♂15R ◆> 1d20 → (17) = 17  (2024/12/1 10:13:58)

エロガキ♂11T> お、負けちゃいましたね～(笑)   (2024/12/1 10:14:16)

ナリタトップロード> 私ですか？86＋α(お好み？)といったところですね！   (2024/12/1 10:14:19)

銀狼> ...おっぱいが好きだったら2人でこの子を攻めた方が楽しいよ？(指差し)   (2024/12/1 10:14:34)

エロガキ♂11T> いえいえ、銀狼さんのもお聞かせ願いたいですね～   (2024/12/1 10:15:05)

エロガキ♂15R ◆> ぼくからですねっ！で、では銀狼さん…！   (2024/12/1 10:15:12)

ナリタトップロード> ふえぇえ！？い、いや…ここは一緒にですね…   (2024/12/1 10:16:18)

銀狼> まったくないんじゃないかな？この子と比べられると差が大きいよ【記載がないんですっ！！】   (2024/12/1 10:16:23)

エロガキ♂11T> 【銀狼さん、なんとなくでもいいんで(笑)】   (2024/12/1 10:16:51)

エロガキ♂11T> では、ぼくはトップロードさんを…(豊満な胸に視線を合わせて…)   (2024/12/1 10:17:48)

エロガキ♂15R ◆> その前にっ！時間決めもしますね〜っ！   (2024/12/1 10:17:56)

エロガキ♂15R ◆> 10d3+10 → (1 + 3 + 1 + 2 + 3 + 1 + 2 + 1 + 1 + 2) + 10 = 27  (2024/12/1 10:18:16)

エロガキ♂11T> 45分くらいまでですね   (2024/12/1 10:18:38)

ナリタトップロード> 了解です、45分までですね。   (2024/12/1 10:18:41)

銀狼> 私が君の相手だね...何で負けちゃったんだろ...やっぱもっとしっかりハッキングするべきだったかな...   (2024/12/1 10:18:57)

エロガキ♂15R ◆> はいっ！45分でお願いします…！   (2024/12/1 10:19:17)

エロガキ♂15R ◆> いやいや…ハッキングは良く有りませんって…！ゲームで不正はダメっ、絶対っ！(ゲーマー並感)   (2024/12/1 10:20:54)

ナリタトップロード> では、どうぞ…何なりとご注文をっ！(豊満なお乳を弾ませつつ、両手を腰に添えて)   (2024/12/1 10:21:23)

エロガキ♂11T> トップロードさん…こっち来てくださいよ…(手招きで呼び寄せて…トップロードさんの前にかがんで…ブルマを食い込ませて、お尻が丸出しに)   (2024/12/1 10:21:50)

銀狼> 触れるようにはしておかないとね...ちょっと待ってね...これでよし。ホログラムだけど触ることはできるようにしたから...でも暖かさはないかもね？   (2024/12/1 10:22:44)

ナリタトップロード> はいはい、行きますよ〜？んんっ？(ブルマを食い込ませられると、肉付きのすごいでっかいお尻が丸見えに。後ろ向き？)   (2024/12/1 10:23:29)

エロガキ♂11T> (トップロードさんの股間を前向きで眺めつつ…肉付きのいいお尻を鷲掴みして揉みながら…ブルマ越しに股間の匂いを嗅いでみる…)エッチな匂いしてますね…   (2024/12/1 10:25:08)

エロガキ♂15R
◆> えっ…！？触れる様に出来るんですかっ…！？…ちょーっと失礼しますっ！…銀狼さんに触れるっ！すごい…！ま、まぁ、ホログラムで体温までは出来ませんよね…感覚は…伝わって…？(銀狼さんに寄って肩にぽんって手を触れてみて。感覚は有るのかな〜って剥き出しのお腹さわさわ触れてみて)
  (2024/12/1 10:27:24)

ナリタトップロード> ふふっ♡そうですか？♡どうぞ、お好きなようにご堪能くださいね…♡(膝に手を添えて、波打つムチムチの巨尻を突き出しつつ、汗とほんのり甘い香りをそのお鼻のあたりに漂わせ…少し上下に振ってみて♡)   (2024/12/1 10:27:35)

銀狼> 感覚までは無理。でもホログラムだから色々弄ることはできる。君の好みの体型にも変えれるよ？リクエストあるなら聞くけど...なにかある？   (2024/12/1 10:28:41)

エロガキ♂11T> 全くエッチなお姉さんですね…(食い込ませたブルマを少しずらして、クリを下で丁寧に舐めながら、たまに鷲掴みしたお尻を軽くパチンと叩いてみて)   (2024/12/1 10:28:49)

ナリタトップロード> こういうのはノリで楽しくやらないと損ですからね〜？…きゃっ、んんっ♡(クリちゃんは弱いのか敏感に反応させて、お尻がふるふるっと忙しくなく揺れて♡体を支えるのがつらくなりそうなので、壁に両手を添えてお尻を突き出しつつ)  
(2024/12/1 10:31:22)

エロガキ♂15R ◆> 感覚は無し…ですか……そっか…！ホログラムならそんな事までっ…！で、では…その、お、おっぱいを見せて//少し大きくして下さいっ//♡(そんな事が出来るんだって欲望を口にして)   (2024/12/1 10:32:34)

エロガキ♂11T> トップロードさん…ここ弱いんですね…(クリに吸い付いて…あまかみしてみたりしながら…タンクトップにも手を伸ばして…豊満なおっぱいを揉んでいく)   (2024/12/1 10:33:14)

銀狼> それぐらいなら...少しでいいの？差分がわかんないから...あの子と同じぐらいにしておくね...からだも少し調整して...これでどうかな？(トップロードさんよりも少し大きめの胸にし...身体もそれに合わせて成長させて)   (2024/12/1
10:35:42)

ナリタトップロード> っ、はぁ…♡ソコは……んんっ…♡(クリに吸い付かれる甘い感触におまんこがしっとり湿り気を帯び、表情も少し蕩けて紅潮し…♡)あっ、あんっ…♡(相手の手に持て余すような大きく実ったたわわなおっぱいを揉まれて、顔を少し斜めに上向け肩を竦ませ♡)
  (2024/12/1 10:36:16)

