/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月26日 23時14分 ～ 2024年10月28日 14時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

生塩ノア> (誤字ばっかり…ううぅ///!   (2024/10/26 23:14:02)
ロサード ◆> んー、とにかく流れがわかればいいんだけどな（下着が厚ぼったいのと刺激に流されにくいタイプなのか、撫でられても竿は大きくならずに）突っ込むときはどうするんだ？
こうって言ってくれれば姿勢は動かすから、でも間違っても下着脱がせたりとか本当に突っ込もうとかすんなよ！？   (2024/10/27 14:52:06)

エロガキ♂15JP> なるほど〜。じゃあ、軽くしてみて〜だね！(すり、すりと竿の大きさを確かめるように撫でていき)突っ込む時はー、この体勢でやるなら下着をちょっとだけずらしてお尻を出して、そのまま入れるかなー？(いわゆるハンケツみたいにする感じ〜)罰だしね〜。時間があるならリベンジして実演もしたいけどね！
  (2024/10/27 14:55:40)

ロサード ◆> ついでに聞いておきたいんだけどさー、来る途中で「けつあな確定！」とか騒いでる奴いたんだけど、あれ一体なんなの？ オレ的なのとヤル時に関係あるやつ？（聞いてはいるけど本当に理解が追いついてない顔）   (2024/10/27 14:56:05)

ロサード ◆> つーかこれ本当に入れたらめちゃくちゃ痛くねえか！？ 女の子だったら中のほうから濡れるって聞くけどさぁ…（無意識に経験皆無なのを暴露してしまうも本人は気付いておらず）   (2024/10/27 14:58:06)

エロガキ♂15JP> 僕もあまり詳しくはないかもー…。あれじゃない？ロサードにいちゃんのお尻に突っ込まれるからケツ穴確定って言うじゃないかなー？(多分って首を傾げながら)   (2024/10/27 14:58:25)

エロガキ♂15JP> 大丈夫だよー？いきなり入れたら痛いけどー、解したら大丈夫〜！ろーしょんも使えば入りやすくなるから安心して良いよー！(にこにこと暴露を聞いてから笑顔で入れるやり方を教えて)   (2024/10/27 15:00:29)

エロガキ♂15JP> あ、時間だ。どーしよ？ロサードにいちゃんが良いなら個別で色々教えるよ〜(首傾げ)   (2024/10/27 15:01:48)

ロサード ◆> そ、そういう小道具みたいなのもあんのか…（ろーしょんなるものを聞いてやっぱり世界は広いな、と）時間だなー、いろいろ参考になったぜ！（とんっ、と立ち上がり）   (2024/10/27 15:01:54)

ロサード ◆> とりあえず今はいいや、また戦う時があったらな！（手をひらひら）   (2024/10/27 15:02:23)

エロガキ♂15JP> 色々あるからね！次は勝って罰を与えるからね！   (2024/10/27 15:02:50)

ロサード ◆> 【お部屋ありがとうございました！】   (2024/10/27 15:03:06)

エロガキ♂15JP> またねー！   (2024/10/27 15:03:10)

おしらせ> ロサード ◆vp1gp540pWaYさんが退室しました。  (2024/10/27 15:03:13)

おしらせ> エロガキ♂15JPさんが退室しました。  (2024/10/27 15:03:16)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 17:06:23)

おしらせ> カリオストロさんが入室しました♪  (2024/10/27 17:07:04)

カリオストロ> （スパンキングパッドの素振りしながら）   (2024/10/27 17:07:35)

カリオストロ> 対戦お疲れ、有難う♡   (2024/10/27 17:07:46)

エロガキ♂19b ◆> 怖いからやめてね！   (2024/10/27 17:07:49)

カリオストロ> やだわー、どっちでもいいのよ、外からでも中からでも…フフフッ。   (2024/10/27 17:08:24)

カリオストロ> あ、時間ね   (2024/10/27 17:08:28)

カリオストロ> 10d3 → (2 + 3 + 3 + 1 + 3 + 3 + 2 + 3 + 1 + 1) = 22  (2024/10/27 17:08:44)

エロガキ♂19b ◆> まぁ、、平均的？いや長い方か   (2024/10/27 17:09:03)

カリオストロ> ぴったり30分までよ。   (2024/10/27 17:09:04)

エロガキ♂19b ◆> お手柔らかにお願いしますね？   (2024/10/27 17:09:41)

カリオストロ> と、思ったけど、あーし大事な話があるんだけど、個室に行かなーい？やならいいよ（さっきのスパンキングパドルとロープを何故かごそごそして）   (2024/10/27 17:10:11)

カリオストロ> 手柔らかなほうよ、あーしは♡   (2024/10/27 17:10:27)

エロガキ♂19b ◆> ん？わかった。なら個室行こうか   (2024/10/27 17:10:44)

エロガキ♂19b ◆> 部屋は俺がたてた方がいい？   (2024/10/27 17:10:53)

カリオストロ> うん、了解ね♡ついでに挙式の日取り決めましょうねー♡   (2024/10/27 17:11:20)

カリオストロ> あ、じゃあお願いしていーい？お部屋。   (2024/10/27 17:11:32)

エロガキ♂19b ◆> たてました～って、なんか知らない間に式をあげられそうになってる！？   (2024/10/27 17:12:10)

カリオストロ> サンキュー♡ダブル花嫁やりましょうねー   (2024/10/27 17:12:58)

カリオストロ> あ、入ったわ。   (2024/10/27 17:13:23)

エロガキ♂19b ◆> おっけー、、確認しました。変なこと言わないでねー！こっちは抜けます   (2024/10/27 17:13:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/27 17:13:30)

カリオストロ> はいー、落ちー。おつかれちゃーん   (2024/10/27 17:13:42)

おしらせ> カリオストロさんが退室しました。  (2024/10/27 17:13:48)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/27 23:42:33)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/10/27 23:43:13)

エロガキ♂19H> 勝負ありがとうございました   (2024/10/27 23:43:35)

エキドナ ◆> こちらこそ。と言っても負けたのにはあまり喜べないが、、   (2024/10/27 23:43:54)

エロガキ♂19H> 確かにそうですよね、   (2024/10/27 23:44:30)

エキドナ ◆> さぁ、罰が決まっているのならあまり悠長にしてもだろうし、時間を決めて貰おうかな？   (2024/10/27 23:45:16)

エロガキ♂19H> 10d3+10 → (2 + 3 + 3 + 3 + 3 + 3 + 1 + 3 + 3 + 2) + 10 = 36  (2024/10/27 23:45:48)

エキドナ ◆> かなり上振れたか、、仕方ないが受け入れるよ。何をしたい、？何をさせたいでも構わないよ、   (2024/10/27 23:46:30)

エロガキ♂19H> それじゃあ、全裸になってください   (2024/10/27 23:46:55)

エキドナ ◆> 早速だね、、構わないが、、(溜息吐いて、彼に背を向けてからドレスを消して蝶の髪留めだけ残してて)   (2024/10/27 23:48:10)

エロガキ♂19H> 俺のズボン脱がしてください   (2024/10/27 23:48:46)

エキドナ ◆> 本当にいい趣味をしているね、、(局部だけ手で隠してから彼の前に膝を付いて、上から見えない下を隠してる手で彼のズボンに手をかけて、片手で降ろそうとして)   (2024/10/27 23:50:43)

エロガキ♂19H> ありがとうございます、(褒められてないとわかりながらもお礼をする、ズボンはベルトがされていて片手降ろすことはできず)   (2024/10/27 23:51:55)

エキドナ ◆> キミは本当に、、全く、、(渋々胸も晒して両手でベルト外してズボン引っ張って降ろして、)   (2024/10/27 23:53:18)

エロガキ♂19H> 自分で命令したけど、恥ずかしいですね、、(ズボンを降ろせば、テントをもっこり盛り上がっていて、一枚脱いだだけで雄臭がして)   (2024/10/27 23:55:29)

エキドナ ◆> キミは脱がせたのも1枚だけだろう、男の子なんだ。大した羞恥でもないだろうに、、(目の前で膨らませてる下着見てから彼を見上げて、匂いに困ったみたいに溜息を下着に吐きかけて)   (2024/10/27 23:57:49)

エロガキ♂19H> やっぱりなんか違うんですよ、、(息を吹き掛けられると身体をビクッと揺らし)   (2024/10/27 23:59:04)

エキドナ ◆> そうかい、、これで満足なのかな、？(震えた彼見上げて冷たく、呆れたみたいに言って、)   (2024/10/28 00:00:08)

エロガキ♂19H> 脱がして奉仕してください   (2024/10/28 00:01:02)

エキドナ ◆> だろうね、、キミとしては勝ったのだから何かの愉悦は得たいと考えるのは当然の権利だからね、(下着を引き降ろして、彼の逸物握って扱いてみて)   (2024/10/28 00:02:27)

エロガキ♂19H> 気持ちいいです、、愉悦、そうですね   (2024/10/28 00:03:01)

エロガキ♂19H> (更に脱がせば匂いが濃くなって)   (2024/10/28 00:04:16)

エキドナ ◆> キミも男の子だからより快楽に走るのは理解出来ないとは言わないが、、キミとしてはこれが望みなのだろうね、、(鼻につく男の匂いに口をへの字にして、ゆっくり扱いて彼の逸物に刺激与えて)   (2024/10/28 00:05:18)

エロガキ♂19H> すごくムズムズします、、(逸物は固くなり、熱くなっていく)   (2024/10/28 00:06:45)

エキドナ ◆> そうかい、だろうね、、キミのこれの感触からも昂っているのは理解は出来るよ(手を押し返してくる硬さを包んで扱きながら、手の中に目を向けないで彼を見上げてて)   (2024/10/28 00:08:50)

エロガキ♂19H> エキドナすっごく可愛いよ(頭を撫でながら、女の子の手の感触を楽しんで)   (2024/10/28 00:10:00)

エキドナ ◆> どうも。ボクは容姿には相応の自信は持ち合わせているからね、そこらの女より断然良いと思うよ、？(撫で受けて彼の逸物を扱き続けて、)   (2024/10/28 00:11:45)

エロガキ♂19H> すっごく可愛い、(先端から汁を出し始める)   (2024/10/28 00:12:31)

エキドナ ◆> あぁ、分かっているとも、。(溢れてきた先走りに扱くの早めてみて)   (2024/10/28 00:13:43)

エロガキ♂19H> んっ、気持ちいいよ、、(声を漏らしながら腰を突き出すように)   (2024/10/28 00:14:44)

エキドナ ◆> どうして欲しいか、言葉にしないとボクはキミの願いを叶える事はしないよ、？(腰を揺らされて刺激求めてる雰囲気感じて握る力少し強くしてみて、見上げたままで吐息吐きかけて)   (2024/10/28 00:16:08)

エロガキ♂19H> 咥えて欲しいな、、(再びエキドナの頭を撫でながら)   (2024/10/28 00:17:00)

エキドナ ◆> 構わないよ、、ん、っ、、(彼の逸物の先っぽに舌を押し当ててから溢れてるの舐めとって、口付けしてからゆっくり先っぽから咥えて)   (2024/10/28 00:18:48)

エロガキ♂19H> んっんん、気持ちいいよ、、(頭に手を置いて)   (2024/10/28 00:19:26)

エキドナ ◆> ンっ、ふ、、(彼を目線だけで見上げてゆっくり口の中いっぱいに咥えてから唇で締め付けてて)   (2024/10/28 00:21:01)

エロガキ♂19H> ハァハァ、、、(息を荒くしながらエキドナの頭を股間に押さえつけて)   (2024/10/28 00:21:42)

エキドナ ◆> ん、ぐ、っ、、(喉の奥に押し込まれる逸物に眉が寄って苦しさで呻きが小さく零れて、喉と唇で締め付けながら舌を逸物に這わせて)   (2024/10/28 00:23:02)

エロガキ♂19H> ごめん、、でるっ、！っん！(喉奥に届くと一気に濃い精液をびゅるびゅるとエキドナの口内へ注ぎ込んで)   (2024/10/28 00:24:20)

エキドナ ◆> んん、っ、く、、ぅｯ、は、、ぁ、、(喉奥に押し込まれた逸物から溢れた子種で噎せて軽く咳き込んでから飲み込めなかった分が口の端から垂れてて、逸物から口を離して時計指差し手から背を向けて姿消して)これ以上は諦めたまえ、、   (2024/10/28
00:27:44)

エキドナ ◆> (時間だから失礼するよ、ではお疲れ様、かな)   (2024/10/28 00:28:07)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/28 00:28:09)

エロガキ♂19H> ありがとうございました、、(ズボンと下着をはいて)   (2024/10/28 00:28:23)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/10/28 00:28:26)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/28 06:42:46)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/28 06:43:18)

おしらせ> 花海佑芽さんが入室しました♪  (2024/10/28 06:43:19)

キタサンブラック> 軽く説明すると、女性がガキ組に勝った場合も、基本同じ、何しても相手がどうしてもNGと言わない限りOKで   (2024/10/28 06:43:51)

花海佑芽> ふむふむ（メモしてます）   (2024/10/28 06:44:45)

キタサンブラック> エッチなことも当然OKなら、裸で謝罪やちょっとした芸をさせる人、筋トレさせてた人、何か質問をあれこれする人、時間までゲーム（簡易ブラックジャックやチンチロみたいなサイコロ出来る範囲）をする人などなど   (2024/10/28
06:44:52)

エロガキ♂18D ◆> そうですね、本当に何しても許されはします。と言う感じですね。人の範囲にはよりますが…取り敢えず、罰を与える時間を決めましょうか。   (2024/10/28 06:44:59)

エロガキ♂18D ◆> 何ならお茶会や、歓談する人もいますからね。本当に多種多様なんですよね。   (2024/10/28 06:45:21)

キタサンブラック> 何をしたいか決めたら、相手か自分かどちらでもOKなので、「10d3」で時間を決めます（女性側が負けた場合は＋10）   (2024/10/28 06:45:36)

花海佑芽> わたしたちの勝ちだから、10d3+10じゃなくて、10d3？   (2024/10/28 06:45:59)

キタサンブラック> 3d10だと物凄く少ないので、「10d3」なのを間違えないようにしてくださいませ   (2024/10/28 06:46:08)

エロガキ♂18D ◆> そうですね、女性なので10d3、ですね。   (2024/10/28 06:46:28)

キタサンブラック> はい、ここは勝った場合だけガキさんたちが少し有利という感じですね   (2024/10/28 06:46:31)

花海佑芽> 気をつけます！   (2024/10/28 06:46:34)

花海佑芽> 10d3 → (2 + 3 + 2 + 3 + 3 + 2 + 3 + 2 + 3 + 2) = 25  (2024/10/28 06:46:48)

エロガキ♂18D ◆> そこそこ長い……！？   (2024/10/28 06:47:10)

エロガキ♂18D ◆> これは珍しいものを見ましたね……   (2024/10/28 06:47:22)

キタサンブラック> では、あとは１８Dさんに何させるか　25なので7：11か12まで、ですかね   (2024/10/28 06:47:23)

エロガキ♂18D ◆> はい、そうですね。自分は負けたので、佑芽さんの命令に従います。時間が来るまでには、なりますが…   (2024/10/28 06:48:04)

花海佑芽> 18Dさんの持ち芸を見てみたいです！   (2024/10/28 06:48:32)

エロガキ♂18D ◆> 自分の持ち芸ですか……特にこれと言った物はないのですが……マッサージと記憶力、くらいでしょうか？   (2024/10/28 06:49:11)

花海佑芽> 【長いので、ネタ切れするようなら別に考えてもいいですか？】   (2024/10/28 06:49:14)

花海佑芽> じゃあマッサージで！   (2024/10/28 06:49:29)

エロガキ♂18D ◆> 【ええ、勿論です。なにをやってもいいですので。】   (2024/10/28 06:49:41)

花海佑芽> （うつ伏せになります）   (2024/10/28 06:49:44)

キタサンブラック> 時間までなら、途中で変えてもいいですし、アタシとかは雑談だけして終わっちゃうとかあるあるですからね～（少し離れて、ソファでごろんっ   (2024/10/28 06:50:16)

キタサンブラック> あ、ちなみに「時間の間、滅茶苦茶に犯してください」もありですので。（一応言い忘れてた）   (2024/10/28 06:50:59)

花海佑芽> 女子が勝つとそれはそれで悩みますよね…＞雑談だけして終わっちゃう   (2024/10/28 06:51:23)

エロガキ♂18D ◆> よ、よろしいのですか？かしこまりました…では…(さりげなくどこからともなくアロマを出してその辺に置き)それでは、失礼致します(背中から肩にかけ、骨のシルエットに合わせて親指で指圧し始め…)   (2024/10/28 06:51:25)

キタサンブラック> 最近は、ずっとブラックジャックやってたり、アタシだと相手次第だと、矢継ぎ早に質問投げかけたりしますよ？　雑談なら、自分のこともしゃべれますしね～♪   (2024/10/28 06:52:11)

エロガキ♂18D ◆> ……実は自分も雑談……茶会して終わらせたこともあるので……本当に自由なんですよね、これ…言い替えるなら、デリヘ(ウマ娘とアイドル候補生によくないことを吹き込むな)   (2024/10/28 06:52:50)

花海佑芽> （ほわほわした喋り方ですがアスリートなので割としっかりした身体してます）そういえば、キタサンブラックさんも陸上系、でしたっけ？   (2024/10/28 06:52:57)

キタサンブラック> そうですね。アタシはレースウマということになるでしょうか。（場所によって呼び方がいろいろ変わるかもですが。）   (2024/10/28 06:53:40)

花海佑芽> 【あるいみウの皆さんもアイドル候補生のような、ウイニングライブとかしてますし】   (2024/10/28 06:54:20)

キタサンブラック> デイリーヘッドロック？   (2024/10/28 06:54:24)

エロガキ♂18D ◆> ふむ、これは……(アスリートの身体だと感じると、少々力を入れて指圧したり、優しく撫でて解したりして……ひたすらマッサージに集中しながら)大丈夫ですか？痛いところとかないですか？   (2024/10/28 06:54:27)

エロガキ♂18D ◆> デイリーでやるものではないですねぇ…キタちゃんの力でやられると最悪自分が首折れサバみたいになりますね……   (2024/10/28 06:55:28)

花海佑芽> はい、上手だと思います！（ほぐしてもらいなから伸び〜）   (2024/10/28 06:55:44)

キタサンブラック> ……（デ ッド リ ー・ヘ ブン？）   (2024/10/28 06:56:29)

エロガキ♂18D ◆> ありがとうございます、ここをやって欲しいとかあれば言ってくださいね～(そう言いながら肩を軽く揉みほぐし…背骨にかけて指圧を繰り返し)   (2024/10/28 06:56:56)

エロガキ♂18D ◆> (天国直行させる気満々すぎる……！！キタちゃんは自分に何の恨みが……！？)   (2024/10/28 06:57:37)

花海佑芽> じゃあ、ふともも、いいですか？（仰向けに姿勢チェンジ）   (2024/10/28 06:57:58)

エロガキ♂18D ◆> かしこまりました……太ももですね。痛ければ言ってくださいね。(アスリートであるからなのかしっかりした太ももを絶妙な力加減で揉み…外から、内から真剣にマッサージして)   (2024/10/28 06:59:15)

花海佑芽> お姉ちゃん達もよくやってるので大丈夫ですよ！（プロレス技？　をかける気満々なのを聞きながらにっこり）   (2024/10/28 06:59:24)

キタサンブラック> ……（邪魔にならないようにだまっとこ。とお口ジッパー）   (2024/10/28 07:00:09)

花海佑芽> こっちもいい感じです、持ち芸と自己アピールするのもわかります！（さっきほぐしてもらった上半身は自分でもストレッチ）   (2024/10/28 07:01:21)

エロガキ♂18D ◆> えぇ、まぁ……この部屋で得た技術みたいなものですが…記憶力はどんな人でも、一度交流したら覚える、くらいなので…地味ではありますね？(そう言いながら太もも、ふくらはぎ辺りをついでにサービスと言った感じでモミモミして)  
(2024/10/28 07:02:48)

花海佑芽> ふむふむ？　じゃあ、18Dさんから見たキタサンブラックさんの印象とか、前にこういう罰ゲームした時のエピソードとか教えてください！（聞きながら、ふくらはぎ揉まれると、フニャっと気持ちよさそう）   (2024/10/28 07:05:08)

花海佑芽> …というか、18Dさんとキタサンブラックさんは、えっちしたこともあるんですか？（終了間際に爆弾放り投げっ）   (2024/10/28 07:09:10)

エロガキ♂18D
◆> キタちゃんですか……とにかく敵に回れば強いですね、今回体感したとは思いますが…後は進行もお上手ですね、彼女のお陰でスムーズに事が運んだ事も多いですね。後雑談部屋でも結構爆弾発言が多かったり、鶴の一声のような的を射た発言が多かったり…とにかく中心人物、といった印象でしょうか。罰も確か……激しいのを好むような？(そう言いながら優しく、そして力をちょっと入れながらふくらはぎと太ももを揉み)
  (2024/10/28 07:09:11)

エロガキ♂18D ◆> キタちゃんとは何だかんだでやったことはないんですよね…機会が中々……ですかね？(さらりと言いながら)   (2024/10/28 07:09:51)

花海佑芽> はい、ものすごく頼りになって、お姉ちゃんみたいだなって思いました！（きらきらした目）   (2024/10/28 07:10:23)

エロガキ♂18D ◆> おや、お姉さんが居るのですね…まぁ頼りたい時は、キタちゃんでしょうかねぇ…(そう言いながらマッサージ終了し)これで、よろしかったでしょうか……？   (2024/10/28 07:11:22)

花海佑芽> ベリーグッドです、ありがとうございました！（マッサージも丁度いい時間なのでお礼）   (2024/10/28 07:11:31)

キタサンブラック> お姉さん、ですか（アタシ、これでも中等部なんで、たぶん花海さんのが年上……）   (2024/10/28 07:12:14)

エロガキ♂18D ◆> えぇ、喜んでくれたら幸いです。今回は負けましたが、次は負けませんので……！多分…   (2024/10/28 07:12:31)

花海佑芽> （やったことない、には少し顔を赤くしつつ言及せず）   (2024/10/28 07:12:58)

エロガキ♂18D ◆> (たまに中等部なのを忘れる…)では、満足したら解散、そのまま雑談とかしたいのなら雑談部屋……物足りなければ多目的室、とかもありますので。佑芽さん、キタちゃんはお好きに。   (2024/10/28 07:13:39)

キタサンブラック> じゃ、お時間も経過したようですし、お外出ましょう～♪（アタシは、今は只の案内ガールですので～）   (2024/10/28 07:14:23)

キタサンブラック> 【では、お先に～】   (2024/10/28 07:14:37)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/28 07:14:41)

花海佑芽> 延長制度もあるんですね！（唐突にデなんとかみたいなこと言うんじゃありますん）   (2024/10/28 07:14:42)

エロガキ♂18D ◆> ええ、お疲れ様でした。キタちゃんありがとうございました！   (2024/10/28 07:14:53)

花海佑芽> あたしも寮に戻ります！   (2024/10/28 07:15:07)

エロガキ♂18D ◆> んぐっ！？えぇ、ありますけど……お疲れ様でした！   (2024/10/28 07:15:16)

エロガキ♂18D ◆> (爆弾発言に戸惑いながら)では、佑芽さんもお疲れ様でした。それでは、また会えましたら。   (2024/10/28 07:15:46)

花海佑芽> 色々教えてくれてありがとうございました！（手を振り振り）   (2024/10/28 07:16:14)

おしらせ> 花海佑芽さんが退室しました。  (2024/10/28 07:16:24)

エロガキ♂18D ◆> いえいえ、今後ともよろしくお願いします。   (2024/10/28 07:16:28)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/28 07:16:30)

おしらせ> エロガキ♂15Qさんが入室しました♪  (2024/10/28 13:41:52)

おしらせ> 藤丸立香 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/28 13:42:15)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/10/28 13:42:22)

おしらせ> フリーナさんが入室しました♪  (2024/10/28 13:42:29)

藤丸立香 ◆> （パンドラっていつかサーヴァントとして実装されそうだな……もちろんあの子じゃないにしても……。）   (2024/10/28 13:42:39)

おしらせ> エロガキ♂19H ◆JytRTqQm8kさんが入室しました♪  (2024/10/28 13:42:45)

エロガキ♂15M ◆> (されそうだよねぇ、色んなところでその名前よく聞くし)   (2024/10/28 13:43:09)

藤丸立香 ◆> ええと……人数差があるけど、どうしようか。   (2024/10/28 13:43:23)

エロガキ♂19H ◆> （有名所ではありますからねぇ……奏章IVビジュキャラもパンドラと言われて違和感はありませんし）   (2024/10/28 13:43:31)

エロガキ♂15Q> フリーナはいきなり2人相手はきつそう…？   (2024/10/28 13:44:01)

エロガキ♂15M ◆> ２人の相手できるよ〜って子、いる？無理しないでね？   (2024/10/28 13:44:03)

エロガキ♂19H ◆> 2−3……あまり物……うっ頭が……   (2024/10/28 13:44:15)

藤丸立香 ◆> そうだね、フリーナが厳しいなら……わ、私が相手するよ！マスターに任せて！（フリーナはサーヴァントってわけじゃないけど！）   (2024/10/28 13:44:39)

フリーナ> さすがに厳しいね...それに僕の貧相な体に欲情するものはいないだろう？   (2024/10/28 13:44:40)

藤丸立香 ◆> というわけで、一番最初に参加してた15Qがどっちかを選んで、残りの二人は私が……で、いい？   (2024/10/28 13:45:13)

エロガキ♂19H ◆> フリーナさんはファンの数を鑑みた方がいいと思います（ニッコリじっとり）   (2024/10/28 13:45:30)

エロガキ♂15M ◆> いいよ〜   (2024/10/28 13:45:31)

エロガキ♂19H ◆> 構いませんよ   (2024/10/28 13:45:37)

エロガキ♂15Q> だってさ。じゃ、やられるならそっちのマスターが2人相手にするってことで…！それでいいと思う！というわけで、フリーナに相手してもらおっかなぁ！   (2024/10/28 13:45:59)

藤丸立香 ◆> じゃあ15Qは相手と、時間決めのダイスをお願いしてもいい？   (2024/10/28 13:46:07)

フリーナ> 僕のファンは歌劇を見に来てくれてる民だからね！決して僕の体目的ではないはずだけど...   (2024/10/28 13:46:15)

藤丸立香 ◆> （フリーナはほら、可愛いから……！）   (2024/10/28 13:46:27)

エロガキ♂19H ◆> 大部分はそうでしょうけど   (2024/10/28 13:46:32)

エロガキ♂15Q> 3d10+10 → (8 + 5 + 1) + 10 = 24  (2024/10/28 13:46:33)

エロガキ♂15Q> んん？？   (2024/10/28 13:46:40)

藤丸立香 ◆> 逆！   (2024/10/28 13:46:47)

エロガキ♂15M ◆> やっちまったねぇ   (2024/10/28 13:46:54)

エロガキ♂19H ◆> そっち目当ての人も微小ではないと思いますがねぇ＞フリーナ   (2024/10/28 13:46:57)

エロガキ♂15Q> 10d3+10 → (3 + 3 + 1 + 3 + 3 + 3 + 3 + 1 + 2 + 1) + 10 = 33  (2024/10/28 13:47:00)

エロガキ♂19H ◆> 振り直しでしょうか？   (2024/10/28 13:47:01)

エロガキ♂15Q> こっちだった！   (2024/10/28 13:47:10)

エロガキ♂15M ◆> そうそうそれそれ   (2024/10/28 13:47:10)

フリーナ> な、長くないかい？   (2024/10/28 13:47:13)

藤丸立香 ◆> 20分までかな？   (2024/10/28 13:47:20)

エロガキ♂15Q> まぁ、普通くらい？   (2024/10/28 13:47:22)

エロガキ♂15M ◆> だね、ちょうどいい時間♪   (2024/10/28 13:47:37)

エロガキ♂19H ◆> 33分。14：20までになりますね。平気……よりやや上振れといったところでしょうか？   (2024/10/28 13:47:46)

藤丸立香 ◆> （今更だけどなんで罰を受ける側なのに仕切ってるの私……！）   (2024/10/28 13:48:09)

エロガキ♂15Q> じゃ、早速…フリーナこっちおいでー♪(ちょいちょい)   (2024/10/28 13:48:17)

エロガキ♂15Q> (仕切るのは二人いると逆に混乱するから…)   (2024/10/28 13:48:30)

藤丸立香 ◆> こ、こほん。ええと……じゃあ、15Mと19Hは……相手が私でごめんね？何したらいいかな…。   (2024/10/28 13:48:34)

フリーナ> まぁ...仕方ない、、ではこのスターである僕が君の相手をして上げよう...先に言っておくけど僕に手を出すということがどれだけ罪深いことかをよく理解して接してくれたまえよ？(15Qの前まで近づいていき)   (2024/10/28 13:49:01)

藤丸立香 ◆> （ハッ、スターとマスター……ってコト！？）   (2024/10/28 13:49:33)

エロガキ♂15M ◆> 立香お姉さんよろしくねぇ♪って、別に謝ることなくない？も〜(そういうこと言わない！なんて少し頬を膨らませて) じゃあ、ボクはおっぱいがいいなぁ♪19のお兄さんはどうする？   (2024/10/28 13:50:13)

フリーナ> (立香はいったい何を言っているんだい！？)   (2024/10/28 13:50:36)

エロガキ♂19H ◆> よろしくお願いしますね。……貴女が謝るようなことはないでしょうに（苦笑）先入者の15Mさんに先に決めてもらって、私は別の、と言うことで。お先にどうぞ。   (2024/10/28 13:50:36)

エロガキ♂15Q> それは負けた方が悪いと思うんだけどなぁ…？(くすくす。)じゃ、下だけ脱いで中身見せてよ…？男の娘とか言われたりしてたし、本当に女の子か見てあげる！   (2024/10/28 13:50:42)

エロガキ♂15Q> (場を和ませるダジャレだよ、きっと…)   (2024/10/28 13:51:15)

藤丸立香
◆> 確かに戦利品の価値を下げるような発言はアレかぁ……。（渋い顔。私もたかが聖杯とかたかが結晶って言われたら嫌だもんね！何が？）お、おっぱいね……おっぱい……。（頬を赤らめながら、制服の胸元のボタンを外して。ぱか、と左右に開けば支給される地味目な下着と、その内の女性的な膨らみを露わにして。）
  (2024/10/28 13:53:12)

フリーナ> ...君は本当に失礼だね、、後で特巡隊に通報しておこう...(言われるままに脱ぎ、下着を取ればまだ毛も生え揃っていない綺麗なオマンコを露出させ)こ、これでいいだろ？(一瞬だけ15Qに見せた後隠すように手をかざし)   (2024/10/28
13:53:24)

エロガキ♂19H ◆> （先にちゃんと言われていたことに気づかなかった（お馬鹿））   (2024/10/28 13:54:04)

藤丸立香 ◆> （ほ、ほんとに絶対服従なんだ……このゲーム、闇深いよぉ…っ！って下まで脱いで晒しちゃってるフリーナを見て、どきどき……。）   (2024/10/28 13:54:29)

エロガキ♂15Q> あはは…♪負けたらこういう扱いされるってこと…教えてあげなきゃ……ね？(前を隠されるとお尻側から指を回して、お尻越しに割れ目へめがけて指先を伸ばしスジをなぞる様にすりすり…)ふふ、ちゃんと女の子なんだから…胸がないとか貧相だとか言わなくてもいいのに(耳元でひそひそ)
  (2024/10/28 13:55:25)

エロガキ♂15M ◆> そういうことなら…おっぱい使わせてもらうね♫(背後に回って、下着越しにおっぱいを弄り始める。痛くない程度に、下から掬い上げるように揉み込んでいき)…手に収まってちょどいいサイズだね♡(満足げな表情で手に吸い付く感触を楽しんで)  
(2024/10/28 13:55:30)

