/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月04日 09時25分 ～ 2024年11月04日 17時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

キタサンブラック> 最近、一番最後にオカズにしたのは何？   (2024/11/4 09:25:34)
ロイヤルフォーチュン> （ちゅくっ♡ 既に濡れて雫が垂れてる、ぬるぬるのおまんこ先端に固くなった亀頭押し当てられ……♡　　ん、っぁ！？ や、ナニコレ、でっ、きっつぃ……っ♡ けどぉ……っ♡ お腹のなか押しあげられる感触、好きぃ……っ♡♡♡
（両手を10くんの後ろに回しつつぎゅー♡ って抱きしめながら対面座位で乳房を顔に押し付けつつ、おまんこ、きゅんきゅんっ♡♡　乳房からじんわりミルク溢れてきちゃう♡♡） や、ぁ、みない、で……っ♡♡ んぅ、乳首、吸わないでぇ……っ♡ あっ、はっぁっ♡♡
ちんぽ、すごぃよぉ……っ♡♡♡   (2024/11/4 14:38:29)

エロガキ♂14C
◆> ホントはクラリスおねーさんもされたかったよねー？♡けど、今日はなんだか恥ずかしがって欲しくてこーしたくなっちゃったんだぁ♡（煽りよりも少し自分の世界に入っては熱中しつつあるクラリスおねーさんの様子にどうしようか、なんて悩みつつも下腹部を撫で回す指先を使って突起を刺激しようとするのに気がつくと、更に指先を下へと下ろしてその突起をゆっくりと扱きあげるようにしてみて。）
  (2024/11/4 14:41:02)

エロガキ♂15M
◆> あー♡キタちゃんオナホ♡壁尻オナホ、めっちゃヌルヌルでキュンキュン締め付けてきて気持ちいい…♡うっ…くっぅぅ♡♡！腰…止まんない…よぉ♡(息乱しながら発情期のサルみたいに腰振って♡奥やら膣襞やら必死に耕していく♡力が入りすぎて、尻肉に食い込む両手の親指が、ぎゅ〜っっ♡尻穴へと近づいて、くっぱり♡広げてしまって)
  (2024/11/4 14:41:25)

エロガキ♂10sox> こんなに締め付けながら奥に誘うなんて子宮に出される気満々じゃない。白い砲撃そんなに浴びたいの？（滲み出るミルクを見せながら吸って味わうと、若さに任せた荒々しい腰遣いで子宮内までチンポ捩じ込ませ…………）孕ませられながら逝きたいんだ。フォーチュンお姉さんってエッチだね？（と、耳元で囁きながらチンポ膨張していき…………）
  (2024/11/4 14:42:24)

クラリス
◆> はあっうっ、あっ、あっあっあっ…！！（指の数を増やして、奥のほうへとねじ込んで、視界はすっかりぼやけて、聴覚だけで二人の状況を想像してしまって）くうっ、んっ、んうんっ（のけぞって、背後の彼へと重心を傾けていると、クリトリスが擦られるのを感じて、体の震えが止まらなくて）
  (2024/11/4 14:42:36)

キタサンブラック> あ、あのっは、はっ何を……な、にを♡（タン、タンッ♡と壁というか固定衝立が在るので、相手の体が前のめりになることはないんですがその分アタシs自身も固定のまま、なのでいつもみたいに動いてバランス調整が出来ず、まさに言葉だけじゃないオナホ感覚♡使われてるだけのところに、お尻の穴？なんだかすぅすぅして、このひんやり感がやけに感じ取れるというか♡そのうえで、ピストンが早くなるとお腹の締りが、お尻からの空気のせいでビクッ♡となんか変に締まっちゃって♡う、うぅなんか恥ずかしいなこれぇ）
  (2024/11/4 14:44:04)

ロイヤルフォーチュン> （喘ぎつつ胸元で母乳溢れさせ吸い付く頭を優しく抱きしめて撫でつつお耳に囁かれると、ひぅっ♡♡）　んっ♡ んっ♡ んぅっ♡ ぶっとくてながぁい大人ちんぽが……っ♡ 私の一番奥の赤ちゃん部屋に来てるぅ……♡ ああっぁっ♡
お耳、弱いのにぃ……っ♡♡　だってぇ…… あなたの逞しくて熱いの、牝じゃ逆らえないんだもん……♡ 赤ちゃん部屋に白くて粘っこいタマ、ちょー、だい……♡♡ あっぁ♡ 膨らんできてるぅっ♡ 出ちゃいそう？ いいよぉ……っ♡ きて、ぇ……っ♡
ちっちゃい子に犯され、る背徳感も、やばい、よぉ……っ♡♡   (2024/11/4 14:45:59)

エロガキ♂14C
◆> へー、指そーやって増やしちゃうんだぁ……？なるほどー♡（夢中になってるクラリスおねーさんの行為に対して、敢えて俯瞰の視点で語りかけてみて。）ぁ、やっぱりここはきもちいーんだね……♡しっかり最後まで気持ちよくなって、ねっ♡（次第に自身の方へともたれ掛かる重心を支えつつ、突起を擦ったり弱めにその先っぽを指の腹で転がしてみたり。おっぱいも少し強めに揉みしだきつつ、胸先を摘んで二本指で転がして。）
  (2024/11/4 14:46:13)

エロガキ♂15M
◆> ねぇねぇ…突き上げるたびにさ、お尻の穴ヒクヒクしてない？♡(わざと大きな声で煽れば、追い討ちかけるように腰遣いが激しくなって♡結合部から溢れてくるエッチな汁の量が増えていくのさえ良く見えて、興奮が煽られてしまって♡今度はコンコンっ♡コンコンッ♡奥を潰すようにノックし始めて)
  (2024/11/4 14:48:00)

クラリス
◆> （すっかりのめり込んでしまっていて羞恥を煽るという点では思惑が外れた一方、本人の頭の中では激しく犯される想像が激流のように渦巻いていて、ねじ込んだ三本の指をひたすら乱暴にかき回して）ああんっ、あっあっあっ、ひんっ、んっあっあああっ…！！（代わりにといってはなんだけれど、彼の指先から与えられる刺激にはしっかりと反応して、体のあちこち反応して、びくびくと震えるペースは限界の近さを示して）
  (2024/11/4 14:49:35)

キタサンブラック> 動かして、逃がせないので♡う、うぅ♡お尻に風が、ですね♡（単に開いているだけなら腰を揺すって感度が変わるからいいモノの、固定して開かれているとよく見えてしまうのと、自分でどうにかできないというか、ピストンの度に腰への圧と共に確実に空気が当たってくる感じがして♡……）ん、あくっ、あっあっ♡（って、今度は擦りつけから奥を押し付けての小刻み、子宮口への押し付け連打♡や、ゃっ、子宮が震えてこれは♡利くっ♡）
  (2024/11/4 14:50:48)

エロガキ♂10sox> クラリスさんもキタサンブラックさんも蕩けた顔しているなかでフォーチュンさんが一番いやらしい顔しているよ。いっぱい出してあげるね（子宮奥を一際強く突いてチンポ脈打たせると、欲望まみれの濃厚白濁精子を大量にぶちまけ溢れさせながら、無理矢理唇を奪い舌を絡ませながら唾液を飲ませてからゆっくりと唇を離して…………）中に出したけど時間あるなら場所変えて続きする？（フォーチュンの母乳飲みながら膣内で萎えかけたチンポをムクムクと勃起させて…………）
  (2024/11/4 14:52:23)

エロガキ♂14C
◆> ……すっかりオナニーにハマっちゃってるや、けどこれはこれでおっけー♡（お手伝いだからねっ、と段々と激しくなる指の動きや震えるのを身体越しに感じつつも、最後まで達して欲しさに気持ちいいのかも、って感じた乳首やクリトリスを入念に、少し強弱つけつつ扱き上げ、時折きゅっ、と弱めに摘み上げたりしつつ、耳元でイッちゃえ、イッちゃえ、って囁いて。）
  (2024/11/4 14:52:32)

エロガキ♂15M ◆> (時間だからスパートかけていき…)あ゙っ♡コキ、捨てるから…絶対、零さないで……ねっ！♡♡(子宮口を塞ぐようにちんぽ押し付ければ、びゅるるるっっっ♡どびゅっ♡ぶぴゅっ♡ダマになるほど濃いザー汁をキタちゃんオナホに吐き捨ててやる)  
(2024/11/4 14:53:34)

キタサンブラック> そ、それで、も、もぉ……♡ぉ、っ♡おじ、おｚぃ♡んぉ♡ぉ、おぉ゛♡（あ、時間って言おうとした瞬間、ぐぬぅ♡って奥にハマる感覚からの、押し付けての射精♡お腹にビュルビュル熱が入ってくる感覚で、恥ずかしくお尻がきゅっとしてしまうというか、膣の締りに合わせて一緒に動いちゃうのは生理現象です！うぅ♡）
  (2024/11/4 14:54:49)

クラリス ◆> あっあっあっあっ…ああああああ…！！！！（行っちゃえ、という声だけは頭の奥までしっかり響いたのか、合わせるように指が入るだけ奥いっぱいに突き立てて、体を大きく震わせた後、力をなくして彼にもたれかかって、ひく、ひく、と余韻に浸って）  
(2024/11/4 14:56:01)

エロガキ♂15M ◆> あはは♡キタちゃんが恥ずかしがる姿、初めて見れたかも♡(満足したようにちんぽを抜き出せば、そのまま壁をぐるっと回って煽りにいく)   (2024/11/4 14:57:17)

エロガキ♂15M ◆> 【お時間過ぎてました〜！】   (2024/11/4 14:57:36)

ロイヤルフォーチュン> （恥ずかしい蜜とろとろ溢れ垂らしながら柔らかく重たげに揺れる大きな乳房を吸い付かれて甘いミルク滲ませちゃいつつ……♡　ライドするように腰動かされちゃうと我慢できず、ちっちゃな10くんに、しがみつくように抱きしめ♡
キスされちゃうと自然に、おちんぽ包む膣穴も搾り取るようにきゅぅきゅぅ♡収縮しちゃう♡）　んちゅ…ちゅ、ぷ♡ ぁむ…♡ はっぁ…♡ ちゅ、んぅ、キス、しゅき…♡♡♡ キスハメ、好きぃ…♡ ちゅぷ、ちゅ、ん、あむ、はぁ、んん、やあっ♡♡　イくっ♡　熱いのでてるっ♡
奥いっぱい出ちゃって中出しされながらイッちゃってるぅ…♡♡♡　あっぁはぁぁ♡ あっぁっ♡ セックス好きぃ…っ♡ ハメられるの気持ちいいんだもん、ちゅ、ちゅ…♡♡♡ んぁはぁ、はぁはぁ……♡ ん、す、すこーし休みたい、かもぉ……（くて、っと身体傾け）＞10くん
  (2024/11/4 14:57:48)

エロガキ♂14C ◆> ……クラリスおねーさん可愛かったぁ……♡（達したのか力なく倒れ込んできたクラリスおねーさんの頭を軽く撫でてから頬にちゅってして。そのままゆっくり身体を寝かせるように離れて）それじゃ時間だからこれでっ！じゃーねー！  
(2024/11/4 14:57:52)

エロガキ♂15M ◆> 【あとは、各々に任せます！解散でも、移動でも！】   (2024/11/4 14:58:00)

エロガキ♂14C ◆> 【僕はこれにて！対戦ありがとー&お部屋ありがとーございましたっ！】   (2024/11/4 14:58:22)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/4 14:58:25)

キタサンブラック> う、うぅ～……あの、外して、頂かないと♡うぅぅ（コレ、自分じゃうまく外せないタイプっていうか……おトイレの穴を壁に角度変えたようなポーズだから、零すなって言われましたけどあの、支える方じゃなく排泄の方に力掛かっちゃうから、どぼどぼぉ♡ってみっともないくらい今逆流しちゃってるんですけどって恨めしそうにMさんを見て）
  (2024/11/4 14:58:48)

キタサンブラック> と、では早く部屋を開けましょうか……前の試合は、多目的使われた見たい……ですけど……いつまでも、占領して置けない、ですよね？   (2024/11/4 14:59:29)

エロガキ♂10sox> 【各自判断わかりました】   (2024/11/4 14:59:38)

エロガキ♂15M ◆> だね〜、んじゃ解散！またね〜、肉便器キタちゃん♡   (2024/11/4 14:59:58)

クラリス ◆> そうですね…お部屋は開けないとです…！   (2024/11/4 14:59:59)

ロイヤルフォーチュン> 【おっつかれぇっ♡ あっと、そだね。じゃまたねー！ 対戦相手のガキ共、こんど覚えてろー♡ 雑談もどろっと！】   (2024/11/4 15:00:12)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/4 15:00:15)

おしらせ> ロイヤルフォーチュンさんが退室しました。  (2024/11/4 15:00:18)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/4 15:00:31)

キタサンブラック> そこは、肉便キタちゃんと気を重ねてもいいのでは？（と、そんなことを訴えるアタシでした）   (2024/11/4 15:00:37)

おしらせ> キタサンブラックさんが退室しました。  (2024/11/4 15:00:41)

エロガキ♂10sox> 【確かに開けないとですね。それでは】   (2024/11/4 15:00:48)

おしらせ> エロガキ♂10soxさんが退室しました。  (2024/11/4 15:00:51)

おしらせ> エロガキ♂12BBさんが入室しました♪  (2024/11/4 15:50:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/4 15:50:21)

おしらせ> エロガキ♂16Tさんが入室しました♪  (2024/11/4 15:50:21)

おしらせ> 澁谷かのんさんが入室しました♪  (2024/11/4 15:50:22)

おしらせ> ステファニー・ドーラさんが入室しました♪  (2024/11/4 15:50:31)

おしらせ> エロガキ♂15Rさんが入室しました♪  (2024/11/4 15:50:32)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/4 15:50:35)

おしらせ> ロイヤルフォーチュンさんが入室しました♪  (2024/11/4 15:50:42)

澁谷かのん> 女性陣勝利、いえーいっ！(ハイタッチ！)   (2024/11/4 15:51:01)

クラリス ◆> さて…指名制と全員参加、どうしますかっ   (2024/11/4 15:51:14)

ロイヤルフォーチュン> いぇーい！！（はいたーっち♪   (2024/11/4 15:51:14)

エロガキ♂15R> (しょんぼり…)   (2024/11/4 15:51:21)

ステファニー・ドーラ> いえーい、ですの！（ハイタッチ）   (2024/11/4 15:51:21)

クラリス ◆> いえーい！（たっち！！）   (2024/11/4 15:51:28)

エロガキ♂12BB> …僕はいつでも空いてますので(ちょこんと正座待機)   (2024/11/4 15:51:57)

エロガキ♂16T> ああ……良い光景だなっ……女の子がわちゃわちゃしてるの(他人事な様子で軽く拍手しながら)   (2024/11/4 15:52:39)

ステファニー・ドーラ> 禁断の…1d20…ですの？   (2024/11/4 15:52:42)

澁谷かのん> 11でやる？私はどっちでもいいけど   (2024/11/4 15:52:59)

クラリス ◆> わかりました！   (2024/11/4 15:53:06)

ロイヤルフォーチュン> んー、全員参加、ってどういう？ なんか1ｄ20とかで決めてたのはみたけど。   (2024/11/4 15:53:08)

クラリス ◆> 女子の皆さん1d20どうぞ！   (2024/11/4 15:53:28)

ロイヤルフォーチュン> 1d20 → (20) = 20  (2024/11/4 15:53:35)

エロガキ♂19b ◆> 強すぎない？   (2024/11/4 15:53:44)

澁谷かのん> 1d20 → (20) = 20  (2024/11/4 15:53:46)

エロガキ♂12BB> (あっ)   (2024/11/4 15:53:47)

ステファニー・ドーラ> はいー、男の取り合いをば！   (2024/11/4 15:53:47)

ステファニー・ドーラ> 1d20 → (19) = 19  (2024/11/4 15:53:51)

ロイヤルフォーチュン> これを！勝負のときにだしててくれたら！！（くわっ   (2024/11/4 15:53:53)

澁谷かのん> あら、被っちゃったね   (2024/11/4 15:54:00)

エロガキ♂15R> (凄い光景が広がっている！？)   (2024/11/4 15:54:05)

ロイヤルフォーチュン> おっと、じゃあかのんちゃんに譲る！   (2024/11/4 15:54:18)

クラリス ◆> みんなで質問タイムとかですね（指名制だと1on1が大変なことも）   (2024/11/4 15:54:24)

エロガキ♂16T> NAT20被りかよ……道理で負けるわけだ……(引き気味)   (2024/11/4 15:54:28)

クラリス ◆> 1d20 → (9) = 9  (2024/11/4 15:54:29)

ステファニー・ドーラ> 凄い数字ですの…   (2024/11/4 15:54:46)

澁谷かのん> あ、いいの？まあ私はいいけど   (2024/11/4 15:54:51)

ロイヤルフォーチュン> かのん → ロイフォ → ドーラ → クラリス で   (2024/11/4 15:54:58)

ステファニー・ドーラ> 了解ですわ。   (2024/11/4 15:55:14)

澁谷かのん> じゃ、私は19君。   (2024/11/4 15:55:16)

クラリス ◆> うちは最後の大砲で燃え尽きました≫唯一の一桁。   (2024/11/4 15:55:23)

ロイヤルフォーチュン> じゃ私、16くんかなー？   (2024/11/4 15:55:42)

エロガキ♂19b ◆> おっと、、指名了解です～   (2024/11/4 15:55:57)

ステファニー・ドーラ> 大砲でしたのね。   (2024/11/4 15:56:07)

ステファニー・ドーラ> では１５さんで。   (2024/11/4 15:56:12)

澁谷かのん> この人数だと個別部屋でやった方がいいよね、多分。   (2024/11/4 15:56:26)

エロガキ♂16T> ロイヤルフォーチュンさんと、ですねっ   (2024/11/4 15:56:46)

エロガキ♂15R> はーい…(ステフさんの所に行って)   (2024/11/4 15:56:52)

ロイヤルフォーチュン> あ、時間もきめるんだっけ？   (2024/11/4 15:57:04)

クラリス ◆> 12さんお願いします！≫あとは二組ずつ多目的に行くかですね（この人数）   (2024/11/4 15:57:07)

ステファニー・ドーラ> 嫌そうですわね……（15見て）   (2024/11/4 15:57:12)

クラリス ◆> 10d3 → (2 + 1 + 1 + 1 + 2 + 1 + 3 + 3 + 3 + 1) = 18  (2024/11/4 15:57:20)

エロガキ♂12BB> よろしくお願いします…   (2024/11/4 15:57:21)

澁谷かのん> 15分までかな？   (2024/11/4 15:57:31)

クラリス ◆> 16時15分までになります   (2024/11/4 15:57:41)

エロガキ♂19b ◆> どこでやるかは、かのんちゃんにお任せしまーす。どこにでもついていくよ～   (2024/11/4 15:57:48)

ステファニー・ドーラ> 15分ですわね。宜しくお願いしますですわ。   (2024/11/4 15:57:55)

澁谷かのん> 私ら、個別に部屋立ててもいい？こっちいた方がいいなら居るけど。   (2024/11/4 15:58:16)

ロイヤルフォーチュン> 16:15分！　宜しくね、16Tくん♪ あ、いいとおもうよー＞かのんちゃん   (2024/11/4 15:58:36)

クラリス ◆> どうぞ〜≫個別に   (2024/11/4 15:58:37)

エロガキ♂15R> あの、罰っ…ですからね…(綺麗な人に指名されて満更では無い)   (2024/11/4 15:58:38)

ステファニー・ドーラ> ここに居座りたいですわ。（試合で燃え尽きたらしい）   (2024/11/4 15:58:51)

エロガキ♂16T> よろしくっ。待ち合わせなら公開にしか入れないけど   (2024/11/4 15:58:57)

澁谷かのん> 2組もいると大変だからね〜、じゃあ19君、公開部屋でいいから待ち合わせに部屋立てて。(1つ目の命令。)   (2024/11/4 15:59:18)

ステファニー・ドーラ> あ、そうでしたわね。罰は嫌な物ですわよね！（うんうん納得）15さん。   (2024/11/4 15:59:20)

エロガキ♂19b ◆> 作っておいたよ！！(はやい)   (2024/11/4 15:59:21)

ロイヤルフォーチュン> んー。じゃあ16くん、私らも公開部屋いこっか？   (2024/11/4 15:59:33)

クラリス ◆> （手慣れてる！）≫はやい   (2024/11/4 15:59:43)

澁谷かのん> …やたら早いのは気になるけど、ま、私は向こうで色々と話してくるね〜   (2024/11/4 16:00:06)

ロイヤルフォーチュン> おっけ、たてたー   (2024/11/4 16:00:15)

澁谷かのん> お疲れ様！援護ありがと〜！！   (2024/11/4 16:00:18)

おしらせ> 澁谷かのんさんが退室しました。  (2024/11/4 16:00:20)

エロガキ♂19b ◆> おっけ、、じゃあここは抜けますねー！皆さんお疲れ様です！！次は勝たせて貰うからねー(n回目)   (2024/11/4 16:00:28)

ロイヤルフォーチュン> おつかれさまー！援護ありがとねーっ！！   (2024/11/4 16:00:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/4 16:00:30)

ロイヤルフォーチュン> よしごーりゅー   (2024/11/4 16:00:41)

ステファニー・ドーラ> 移動の方、いてらー、ですわ♡お疲れさまでした。   (2024/11/4 16:00:46)

エロガキ♂15R> あっ、でもねっ！さっきのお姉さん達は優しかったよっ//   (2024/11/4 16:00:51)

エロガキ♂12BB> お疲れ様でした…！   (2024/11/4 16:01:02)

クラリス ◆> ドーラさんは15くんに何するか決まらなければ合同でゲームしますか？   (2024/11/4 16:01:08)

エロガキ♂16T> お疲れ様っ。それじゃあみんなはお疲れ様……   (2024/11/4 16:01:19)

ステファニー・ドーラ> この前に対戦していたんですのね。どんなことをやらされたのですか？   (2024/11/4 16:01:25)

クラリス ◆> （質問タイムはもうあったらしいので）   (2024/11/4 16:01:27)

エロガキ♂15R> (あっ…お疲れ様っ、ですっ)   (2024/11/4 16:01:31)

ステファニー・ドーラ> そうですわね。合同でゲームとは？   (2024/11/4 16:01:46)

おしらせ> ロイヤルフォーチュンさんが退室しました。  (2024/11/4 16:01:54)

クラリス ◆> ルーム紹介にあるブラックジャックですね、司会進行は私のほうで出来るので   (2024/11/4 16:02:39)

エロガキ♂15R> えっとねっ…お姉さん達から質問されただけだったよ？…恥ずかしかった…けど…///(質問の内容思い出して軽く赤面)   (2024/11/4 16:02:57)

おしらせ> エロガキ♂16Tさんが退室しました。  (2024/11/4 16:03:27)

ステファニー・ドーラ> ブラックジャックですか。余りここのルールの経験は無いのですが、ご指導のほどを宜しくお願い致しますですわ。   (2024/11/4 16:03:36)

クラリス ◆> 15くんと12くんが先に2d13をふって、後から私達もふります   (2024/11/4 16:03:45)

ステファニー・ドーラ> 質問…恥ずかしい質問…今度ぜひやらせていただきますわね！   (2024/11/4 16:04:00)

エロガキ♂12BB> チュートリアル、ですね…   (2024/11/4 16:04:04)

エロガキ♂12BB> 2d13 → (9 + 3) = 12  (2024/11/4 16:04:10)

エロガキ♂15R> (少しルール読んできますっ)   (2024/11/4 16:04:10)

クラリス ◆> （勝って燃え尽きるの凄くわかります…！）   (2024/11/4 16:04:22)

ステファニー・ドーラ> 2d13ですのね。   (2024/11/4 16:04:29)

ステファニー・ドーラ> 【燃え尽ききりましたわ！ｗ】   (2024/11/4 16:04:47)

クラリス ◆> 振っていいですよ〜≫15くん   (2024/11/4 16:04:55)

エロガキ♂15R> (はいっ把握しましたっ！)   (2024/11/4 16:05:04)

エロガキ♂15R> 2d13 → (12 + 9) = 21  (2024/11/4 16:05:07)

クラリス ◆> 12くんは見たまま、15くんはクイーンと9で19   (2024/11/4 16:05:38)

ステファニー・ドーラ> ふむふむ。   (2024/11/4 16:05:56)

クラリス ◆> これを踏まえて女子の2d13です   (2024/11/4 16:06:02)

クラリス ◆> 2d13 → (9 + 10) = 19  (2024/11/4 16:06:12)

ステファニー・ドーラ> 2d13 → (5 + 11) = 16  (2024/11/4 16:06:17)

クラリス ◆> ドーラさんは5とジャックで15   (2024/11/4 16:06:43)

ステファニー・ドーラ> １５なんですのね。   (2024/11/4 16:07:01)

クラリス ◆> わたしは19、この部屋は後攻有利なので、こちらの勝ちになります   (2024/11/4 16:07:19)

エロガキ♂15R> (なるほどっ…理解しましたっ)   (2024/11/4 16:07:42)

ステファニー・ドーラ> 後攻有利…なるほどですわ。   (2024/11/4 16:07:56)

クラリス ◆> 被ったらごめんなさいですけど、12くんと15くん、付き合うならどんな女の子がいいか（人名でなくても可）教えてください！   (2024/11/4 16:08:57)

エロガキ♂12BB> そう、ですね…隣に居てくれる子がいいです…   (2024/11/4 16:09:43)

エロガキ♂15R> えっと…//…優しい女の子が良いかなぁ…//   (2024/11/4 16:09:50)

クラリス ◆> 答え終わったら、もう1回やって、多分ちょうといい感じの時間ですね   (2024/11/4 16:10:12)

ステファニー・ドーラ> …いい子達……   (2024/11/4 16:10:28)

クラリス ◆> また男子から2d13どうぞー   (2024/11/4 16:10:38)

エロガキ♂15R> はいっ   (2024/11/4 16:10:43)

エロガキ♂15R> 2d13 → (5 + 13) = 18  (2024/11/4 16:10:50)

ステファニー・ドーラ> 成程、理解ですわ。解説有難うございましたですわ♡   (2024/11/4 16:10:50)

クラリス ◆> （なんでここに来てるんだろうってくらい良い子達ですね！！）   (2024/11/4 16:11:12)

エロガキ♂12BB> 2d13 → (6 + 9) = 15  (2024/11/4 16:11:13)

エロガキ♂15R> (これは…15、ですか？)   (2024/11/4 16:11:26)

ステファニー・ドーラ> （本当に…ほろり）   (2024/11/4 16:11:35)

クラリス ◆> 15ですね   (2024/11/4 16:11:37)

エロガキ♂12BB> (あくまで理想なので…？)   (2024/11/4 16:11:38)

クラリス ◆> 12くんも15   (2024/11/4 16:11:46)

クラリス ◆> 私達の番です   (2024/11/4 16:12:02)

ステファニー・ドーラ> はい！   (2024/11/4 16:12:07)

ステファニー・ドーラ> 2d13 → (4 + 8) = 12  (2024/11/4 16:12:15)

エロガキ♂15R> (でも来た目的は……です//)   (2024/11/4 16:12:15)

クラリス ◆> 2d13 → (3 + 7) = 10  (2024/11/4 16:12:16)

クラリス ◆> 後攻は3枚目を引くことが出来ますので   (2024/11/4 16:12:40)

ステファニー・ドーラ> （言わなければ…ｗ）   (2024/11/4 16:12:49)

ステファニー・ドーラ> はい、もう一回。   (2024/11/4 16:12:55)

エロガキ♂15R> (…そこは正直でないとっ)   (2024/11/4 16:13:23)

ステファニー・ドーラ> 2d13 → (10 + 5) = 15  (2024/11/4 16:13:24)

クラリス ◆> 1d13 → (8) = 8  (2024/11/4 16:13:26)

クラリス ◆> あ、ごめんなさい   (2024/11/4 16:13:38)

クラリス ◆> 一枚なので   (2024/11/4 16:13:45)

エロガキ♂12BB> (ステフさん2枚引いてますね…)   (2024/11/4 16:13:54)

ステファニー・ドーラ> （「言わなけれ」ば）   (2024/11/4 16:14:03)

クラリス ◆> 1d13で振りなおしをお願いします   (2024/11/4 16:14:08)

ステファニー・ドーラ> 振り直し、なるほど、理解ですわ；   (2024/11/4 16:14:29)

ステファニー・ドーラ> 1d13 → (9) = 9  (2024/11/4 16:14:39)

クラリス ◆> 21！   (2024/11/4 16:14:51)

クラリス ◆> わたしは18なので   (2024/11/4 16:15:15)

エロガキ♂12BB> 勝ち、ということですね…！   (2024/11/4 16:15:20)

ステファニー・ドーラ> 何だかずるした気分ですわね…   (2024/11/4 16:15:20)

エロガキ♂15R> わ、すごいすごいっ   (2024/11/4 16:15:40)

クラリス ◆> ドーラさんに指示の権利、うかばなければ私に投げてください   (2024/11/4 16:15:48)

ステファニー・ドーラ> あ、はい。では参考にしたいので、クラリスさんにお願い致しますわ。   (2024/11/4 16:16:32)

クラリス ◆> では（こほん）私達を着せ替えるなら、どんな服がいいですか？≫12くん15くん   (2024/11/4 16:18:42)

ステファニー・ドーラ> き、着せ替える///！？   (2024/11/4 16:19:06)

クラリス ◆> たとえばです、たとえば！（あせあせ）   (2024/11/4 16:20:05)

ステファニー・ドーラ> あ、そうですわね。一瞬下着の確認をしてしまいましたですわ……（安堵）   (2024/11/4 16:20:43)

エロガキ♂12BB> 着替え…ですか。うーん……。見てみたいのは…裸にだぼだぼのYシャツだけ着たやつとか……うぅん、こういう場所に縁のない格好と言われたらそれまでですけど…   (2024/11/4 16:21:35)

エロガキ♂15R> あ、あの…それ……お姉さん達も恥ずかしい…んじゃ…//着せ替え…あの…み、水着、です///お姉さん達…綺麗だから…何着てもお似合いと思いますがっ//   (2024/11/4 16:21:56)

クラリス ◆> ちなみに負けると本部屋の勝敗にかかわらず本当に生着替えさせられる可能性あります…！   (2024/11/4 16:22:04)

ステファニー・ドーラ> 裸にだぼだぼ……（想像して、似たような恰好したことがあったですわねと）   (2024/11/4 16:22:37)

クラリス ◆> ご、ご協力ありがとうございました！   (2024/11/4 16:22:45)

ステファニー・ドーラ> み、水着なんて！そんなハレンチな！（基準がわからない恥ずかしがり）   (2024/11/4 16:23:03)

エロガキ♂12BB> これで罰ゲーム…？でしたか？   (2024/11/4 16:23:16)

エロガキ♂12BB> (インタビューで終わっちゃったけど…)   (2024/11/4 16:23:25)

クラリス ◆> お時間ですので随時解散とします！   (2024/11/4 16:23:30)

ステファニー・ドーラ> 負けは怖いですわね……でも、勝った時の興奮が忘れられず！   (2024/11/4 16:23:42)

エロガキ♂12BB> はぁい、お疲れ様でした♡   (2024/11/4 16:23:46)

おしらせ> エロガキ♂12BBさんが退室しました。  (2024/11/4 16:23:47)

エロガキ♂15R> …その、楽しかったですっ♡質問は恥ずかしいけど…優しいお姉さん達で良かったっ   (2024/11/4 16:24:09)

ステファニー・ドーラ> はい、お相手有難うございました、ですわ！お疲れさまでした♡   (2024/11/4 16:24:12)

エロガキ♂15R> お疲れ様、ですっ   (2024/11/4 16:24:20)

ステファニー・ドーラ> てっきりお二方に言ったのを着替えさせるのかとばかり……   (2024/11/4 16:24:34)

クラリス ◆> （つよめの罰ゲームしたら罪悪感が残る気がしたので…）≫これは罰？   (2024/11/4 16:24:37)

ステファニー・ドーラ> （罰の当たり外れですわよねｗ）   (2024/11/4 16:24:57)

クラリス ◆> （なので、させたい罰から逆算して相手指名するのも有りかと）   (2024/11/4 16:25:44)

ステファニー・ドーラ> それではお部屋有難うございました。対戦共闘も有難うございました♡では……   (2024/11/4 16:25:50)

エロガキ♂15R> (…正直…キツめでも良かった…なんて…)   (2024/11/4 16:25:50)

