/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月12日 23時28分 ～ 2024年11月14日 22時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19H> 対戦ありがとうございます…時間を決めたら始めてください   (2024/11/12 23:28:56)
エロガキ♂19H> 失礼しますね…楽しんで   (2024/11/13 23:49:05)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/13 23:49:09)

白珠 ◆> （いってらっしゃいませ、と二人を送り出してあげたいけれど……熱烈な口付けで、その余裕はなく。視界の端で捉えるのみに済ませ自分は目の前の勝者にされるがままに。）   (2024/11/13 23:49:29)

エロガキ♂12Ω ◆> …可愛い…♡姉ちゃん、もっとしよ？♡(大人びて整った綺麗な顔もキスと共に蕩け色気帯びる姿にくすり、舌を更に伸ばし絡め合うと相手の衣装開けさせ胸へとも手を伸ばし)   (2024/11/13 23:50:02)

エロガキ♂12Ω ◆> ん。いってらー。まぁ移動は罰の時間足りなかったりもっとしたい時の話だから、移動するなら始める前に言っといた方が良かったかも知れんとだけ。   (2024/11/13 23:51:28)

白珠
◆> は、ぁい……♥（笑われてしまうと、何だか自分の方が幼くなったような。立場はあなたが上だと錯覚──いや、勝者なのだからその通りだと再確認させられるようで。唾液を塗り付け合うような舌の絡ませ合いをしながら、伸ばされた手を咎めることなく……僅かに胸張るように、触れさせて。）
  (2024/11/13 23:51:55)

エロガキ♂12Ω
◆> ん…♡(素直に行為受け入れ蕩けた顔でキス夢中に耽る彼女をそっと優しい手つきで愛で、たわわな胸を掌いっぱいに掬い上げると指沈ませ弾力堪能しては肉感溢れる体の柔らかさを楽しみ、深く絡み合う舌同士は粘膜擦れる音響かせ彼女口内向けて唾液送り込んでは息継ぎ熱い吐息を端から漏らして)
  (2024/11/13 23:55:24)

白珠
◆> ん、ふ、は……♥ふ、ふ……もっと酷いことをされてしまうのかと思ってました。（息継ぐために離れた口。その間に会話を挟み。へにゃ、と笑いながら「ほら、前にあたしは勝った時は……。」と言い出そうとして、言葉にするのも憚られる内容に顔を赤くして沈黙。狐耳がぺたんと。小さな少年らしい手のひらいっぱいにおっぱいを愛撫され、ぞく……♥こんな小さな子に、と今更ながらに背徳感を得て。）
  (2024/11/13 23:57:52)

エロガキ♂12Ω ◆> ん？あぁ…。期待してたん…？♡(口吻小休止を挟んだ会話、以前の会話持ち出され蕩けた笑顔浮かべつつの台詞に虚空見上げるとニヤリ笑い返し「お望みならこの後連れ込んで番になっても良いんだけど、どうする…」)   (2024/11/14
00:00:36)

エロガキ♂12Ω ◆> ((どうする…？♡)虎視眈々と眼の前雌狙う小さなお子様ながらに色欲の色を知った反応見せ、彼女首筋吸い付いては赤く染まるキスマークちゅう…♡喉笛刺激して。)   (2024/11/14 00:01:52)

白珠
◆> い、いえ、そういうわけでは……！ただ、やっぱり優しい子なのだと思っただけです。（なんてくすくす笑って。優しさに優しさを返したくなるような子、やはり真っ直ぐ……色々素直なのだなぁとされるがままにされておいてなんですが、今更大人ぶって。……いては、その油断した雌を食らうかのような首筋への口付け。ちく、と僅かな痛みにそこに痕を残されたのだと気付けば再び顔に熱が集まって。）ご、ごめんなさい……あたし、0時睡眠を心がけてまして……！（なので、またの機会に。と。期待させたのは申し訳ないのですが……。）
  (2024/11/14 00:03:31)

エロガキ♂12Ω
◆> …むぅ、この姉ちゃんは人をその気にさせんのが上手すぎるんだけど。生殺しだ。(どう受け取られるかは相手次第、好感触な反応に取り立てて否定しないでいても肩透かし食らった反応に頬を膨らませ。少し子供じみた仕返しかおっぱい触れる指先きゅっと乳首を引っ張り悪戯してはちゅぱ…♡大きな音を立て唇外し自分の所有痕と征服痕示すキスマークから唾液の筋をたらりと滴らせ。)
  (2024/11/14 00:07:14)

エロガキ♂12Ω ◆> ん、時間的にはこれくらいかねー？白珠姉ちゃんに意識付け出来ただけ良しとするか。   (2024/11/14 00:07:57)

白珠
◆> ひぅッ♥は、そん、そんな不意打ち、ずるです……♥（最後に胸の先端、敏感なそこをいじめられて素っ頓狂な声出ちゃって。時間が来た、罰時間はおしまい。ぺたんと情けなく座ったままだった体を立ち上がらせると再び12Ωを見下ろす形になって、ようやく一息。）……ふふ、お誘いは男らしかったですが、ごめんなさい。優しくしてくれてありがとうございます。（お礼の証として、最後に……♥と少し膝を曲げて屈むと、両手で12Ωの顔を挟むように固定して。そのままちゅ、と口付け。触れるだけの優しいそれを贈っては、熱の引かない赤いままの顔で手を振って。正確には尻尾も振って、羞恥心に背を押されるがまま「で、ではお疲れ様でした……！」とお先に失礼しちゃいましょう。）
  (2024/11/14 00:10:38)

白珠 ◆> （というわけで、お相手とお部屋、お時間もありがとうございました……！ふふ、それではまた！）   (2024/11/14 00:11:01)

おしらせ> 白珠 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/14 00:11:07)

エロガキ♂12Ω ◆> …ふは、やっぱ可愛いでやんの。(子供扱いの様に見せかけちゃんと一人の異性として相手を追え、大人の女性らしく口吻やり逃げするも真っ赤な顔色や尻尾の反応で隠しきれない純情さ、愛らしさに顔が緩むと後ろ姿を見送って。)  
(2024/11/14 00:12:53)

エロガキ♂12Ω ◆> うーん、あざと可愛い。   (2024/11/14 00:13:07)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/14 00:13:10)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/14 20:56:31)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/14 20:56:51)

エロガキ♂14C ◆> （大の字で沙汰を待つ）   (2024/11/14 20:56:57)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/14 20:57:08)

エロガキ♂15M ◆> 潔良すぎ……(14Cくんに呆れ…)   (2024/11/14 20:57:37)

おしらせ> 天音かなたさんが入室しました♪  (2024/11/14 20:58:04)

クラリス ◆> （かなたさん再びフリーズ？）   (2024/11/14 20:58:07)

クラリス ◆> いました！   (2024/11/14 20:58:14)

エロガキ♂14C ◆> 抵抗しても仕方ないしー。変に煽って酷い目に遭いたくないしー（）   (2024/11/14 20:58:19)

おしらせ> 人造人間21号さんが入室しました♪  (2024/11/14 20:58:23)

エロガキ♂15M ◆> それ、ボクのこと言ってる？(ジト目) >14c   (2024/11/14 20:58:47)

エロガキ♂14C ◆> 心当たりある辺りが……（じと目返し）とりあえずおねーさんたちで戦利品どーするか決めてよねっ   (2024/11/14 20:59:36)

エロガキ♂15M ◆> これは……場合によっては移動かな？   (2024/11/14 20:59:37)

人造人間21号> さて、お二人に何かやる希望があれば、それに合わせて、泣ければ適当に進行していただいてOKですが＜最後入室の私は隅っこで見学でもOK   (2024/11/14 20:59:50)

天音かなた> ふゆぅ。かなたそ、全然戦えてなかったから今回譲るまである（）   (2024/11/14 21:00:16)

クラリス ◆> まあまあそう言わずに！   (2024/11/14 21:00:32)

エロガキ♂15M ◆> あ、さては負けたがりだったね♪残念だね、勝っちゃって♫   (2024/11/14 21:01:14)

人造人間21号> いえ、私はお二人の手並みを見られるなら、それはそれで収穫ですので？私よりもかなたさんを優位と置いていただいて   (2024/11/14 21:01:26)

クラリス ◆> パスじゃなくて1d20で決めるならそれはそれで有りです   (2024/11/14 21:01:34)

エロガキ♂14C ◆> そーいうこと言ってるから負けた時に酷い目に遭わされてるんじゃ……いや、僕も最近酷い目にあったばかりだった。（トオイメ）   (2024/11/14 21:02:29)

天音かなた> 手並みて。か、かなたそ罰ゲームで性癖しか喋らせんから…面白くないんや（）   (2024/11/14 21:02:39)

クラリス ◆> （なにされたんだろう…）   (2024/11/14 21:02:48)

クラリス ◆> いいじゃないですか性癖発表会！（きらきら）   (2024/11/14 21:03:24)

人造人間21号> では私はそれでもいいので♪　かなたさんのトーク力というか、質問内容や切り込み方も見てみたいので♪   (2024/11/14 21:03:35)

エロガキ♂15M ◆> (どんまい、14Cくん)   (2024/11/14 21:03:37)

クラリス ◆> じゃあ組分け無しで時間決めてスタートしましょうか   (2024/11/14 21:04:00)

エロガキ♂15M ◆> 性癖発表？そんなの簡単♪簡単♫   (2024/11/14 21:04:14)

クラリス ◆> 10d3 → (1 + 1 + 3 + 3 + 3 + 3 + 3 + 1 + 2 + 3) = 23  (2024/11/14 21:04:25)

クラリス ◆> 27分まで   (2024/11/14 21:04:38)

エロガキ♂15M ◆> はーい！んじゃ、どんとこ〜い！   (2024/11/14 21:04:55)

エロガキ♂14C ◆> かかってこいよー！   (2024/11/14 21:05:04)

天音かなた> 簡単なんだよ゛ぉ！だから場をつなげねぇんだよぉ！！も、も、ちょ、酒飲み呼んできていいか？（）   (2024/11/14 21:06:05)

クラリス ◆> じゃあ、かなたさんが考えてる間に、わたしたち3人それぞれで最も責めたいポイントを述べよ！   (2024/11/14 21:06:22)

クラリス ◆> ≫CくんMくん共に   (2024/11/14 21:06:48)

エロガキ♂15M ◆> そんな暴れないの、ドラミングしても何も起きないよ？>かなた   (2024/11/14 21:07:19)

エロガキ♂14C ◆> 責めたいポイント……かぁ、少し難しいけどそーだなぁ。   (2024/11/14 21:07:42)

人造人間21号> ラミィさんのあのトークスキルは偉大ですね   (2024/11/14 21:07:47)

エロガキ♂15M ◆> ん〜、３人でしょ？責めたいポイントは色々あるけどにゃ〜(ちょっと考え中)   (2024/11/14 21:08:10)

エロガキ♂15M ◆> クラリスお姉さんは……太ももとか！絶対領域とかいいよねぇ〜って話   (2024/11/14 21:09:33)

エロガキ♂14C ◆> 21号おねーさん:ふともも クラリスおねーさん:脇 かなたん:おへそらへん   (2024/11/14 21:09:40)

クラリス ◆> じゃれる時とせめる時でポイント変わることもままありますからねぇ   (2024/11/14 21:09:51)

エロガキ♂14C ◆> おっぱいがないのはおっぱいは責めるものではなく甘えるものなので外したっ！（どーん）   (2024/11/14 21:10:07)

エロガキ♂15M ◆> 21号お姉さんは、その凶暴なおっぱい…！   (2024/11/14 21:10:14)

人造人間21号> き、狂暴？……そ、そうでしょうか？（鳥山作品では確かに大きめかも？   (2024/11/14 21:10:38)

クラリス ◆> かなたさん次いけそうですか？   (2024/11/14 21:10:43)

クラリス ◆> ≫質問   (2024/11/14 21:10:52)

人造人間21号> 一応受け側のお二人がOKならラミィさん入れ替わりという提案、だったのでしょうかね？   (2024/11/14 21:11:16)

クラリス ◆> あ、そういう話でしたか（失礼しました）   (2024/11/14 21:11:38)

エロガキ♂14C ◆> 僕はチェンジするのはOKだよ。   (2024/11/14 21:11:41)

エロガキ♂15M ◆> かなたお姉さんは……小さい身体だしおまんこの締め付け良さそう！(偏見) ん、ボクもチェンジOK♪   (2024/11/14 21:12:04)

天音かなた> えっ？チェンジええの？（口調がすでにそう）   (2024/11/14 21:12:51)

エロガキ♂14C ◆> （漏れてる漏れてる）   (2024/11/14 21:13:02)

クラリス ◆> ええよ！   (2024/11/14 21:13:16)

天音かなた> YESあいあーむ♥   (2024/11/14 21:13:18)

おしらせ> 天音かなたさんが退室しました。  (2024/11/14 21:13:21)

エロガキ♂15M ◆> いってら〜   (2024/11/14 21:13:25)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/11/14 21:13:47)

エロガキ♂14C ◆> ……（あれ？でも仮に呑兵衛に変わったところで罰ゲームって……）   (2024/11/14 21:13:57)

エロガキ♂15M ◆> ん、酒飲みエルフお姉さんが来るなら色をチェンジ！オレンジ！   (2024/11/14 21:14:16)

エロガキ♂15M ◆> んしょ！   (2024/11/14 21:14:23)

人造人間21号> (   (2024/11/14 21:14:31)

人造人間21号> （メスガキになっておっぱいを揉みたくなる方だ   (2024/11/14 21:14:44)

雪花ラミィ> は〜〜…やっぱり胸の無ぇ窮屈なカラダは萎えるぜ。（ダン◯ダン）じゃあそうやな〜…好きなジュースをみんな教えてちょーだーい♥ラミィがその人に合ったお酒をチョイスしたげる♥）   (2024/11/14 21:15:10)

エロガキ♂14C ◆> （21号さんも漏れてる漏れてる！）   (2024/11/14 21:15:18)

エロガキ♂15M ◆> 凶暴おっぱい二人目〜♡(見てる分には眼福)   (2024/11/14 21:15:29)

雪花ラミィ> あ、ヤバいこれ罰ゲームじゃねーな   (2024/11/14 21:16:01)

クラリス ◆> （胸囲の格差社会だ…無いわけじゃないのに…！！）   (2024/11/14 21:16:08)

エロガキ♂15M ◆> ん〜、色々アウトにゃ…！   (2024/11/14 21:16:12)

エロガキ♂14C ◆> 好きなジュース……って僕らにお酒を！？まあ飲まなきゃセーフだよね。たぶん。   (2024/11/14 21:16:23)

エロガキ♂14C ◆> （おっぱいがいっぱい）   (2024/11/14 21:16:40)

クラリス ◆> （未成年フィルターが突破されてる！？）   (2024/11/14 21:16:55)

エロガキ♂15M ◆> (おっぱいぱい)   (2024/11/14 21:16:57)

人造人間21号> ……（イメージですがクラリスさん≦私＜キタちゃん（小柄）＜＜＜ラミィさん　くらい在りますよね）   (2024/11/14 21:17:04)

雪花ラミィ> こほん。ちゃうちゃう。みんながね、育ったらね、飲んでほしいんよ。   (2024/11/14 21:17:16)

クラリス ◆> あ、うちから性癖質問追加いいですか（挙手）   (2024/11/14 21:17:31)

エロガキ♂15M ◆> そういうことなら……ボクはオレンジジュースとか、カルピスが好き♪   (2024/11/14 21:18:00)

エロガキ♂14C ◆> まー、そういう事ならオレンジジュース（果汁濃度高め）で。<好きなジュース   (2024/11/14 21:18:03)

エロガキ♂14C ◆> 何が来るんだ…！   (2024/11/14 21:18:11)

雪花ラミィ> ラミィはもうエッチなのに関係無い罰ゲームしだすから、困ったら投げてもらうワｗ（投げやり）   (2024/11/14 21:18:15)

クラリス ◆> （ラミィさんは実に規格外ですよね…）   (2024/11/14 21:18:20)

エロガキ♂15M ◆> どんな質問がくるにゃ？   (2024/11/14 21:19:35)

クラリス ◆> わたしたち3人がもともと着てる服「以外」で、エッチする用に着せたい服を言ってください！≫CくんMくん   (2024/11/14 21:19:38)

エロガキ♂14C ◆> ふむぅ、しんきんぐたいむ。   (2024/11/14 21:20:15)

雪花ラミィ> オレンジジュースの好きな人はね、ファジーネーブルってカクテルがオススメだよ。桃の味がするお酒をオレンジジュースで割ってて、スルッと飲みやすいしアルコールも感じられるから、美味しく酔いたい時にオススメ。ラミィ、Iカップぞ（）  
(2024/11/14 21:20:18)

クラリス ◆> あ、3人それぞれ別にチョイスしてくださいね   (2024/11/14 21:20:29)

エロガキ♂14C ◆> （割と真剣に悩んでるから待ってる間てきとーに茶化しててー！）   (2024/11/14 21:23:07)

雪花ラミィ> じゃあその間はラミィが繋ごか？クラリスちゃんと21号ちゃんは何か好きなお酒とかあるんー？   (2024/11/14 21:23:35)

クラリス ◆> （キタちゃんはEカップぐらい？）   (2024/11/14 21:23:37)

人造人間21号> お酒、ですか……えっと、澪（Mio）など甘目での見やすいかなと   (2024/11/14 21:24:19)

クラリス ◆> うちも17歳なので！（お空基準でもたぶん未成年）   (2024/11/14 21:24:22)

クラリス ◆> 【中身を出していいなら檸檬堂】   (2024/11/14 21:25:04)

エロガキ♂15M ◆> そしたら…クラリスお姉さんは逆バニーかミニスカナース♡21号お姉さんはデンジャラスビースト♡ラミィお姉さんは白スク水♡(自身有りげに胸張ってドヤ顔)   (2024/11/14 21:25:31)

人造人間21号> （キタサン……腰56で胸85あるので、相当大きいですよね。アンダーなのでもう少し上はサイズありますが、落差29）   (2024/11/14 21:25:33)

エロガキ♂14C ◆> 21号おねーさん:競泳水着、出るとこ出てるのを敢えて抑え込んでるけどラインはしっかり出るし、すっごく興奮するかも？ ラミィおねーちゃん:例のセーター
理由をうまく言い表せないんだけどすごく着せたい。っていうか着て？（雑）クラリスおねーさん: セーラー服、多分やっぱり幼い感があるから？学校の放課後プレイみたいなの、なんかしてみたいよねって。   (2024/11/14 21:26:07)

雪花ラミィ> あーー、澪良いねー。呑みやすいんよ5%の日本酒。ふんわり香る風味も全然ちゃっちくないから、良いよねー。あーー檸檬堂も（日記はここで途切れている）   (2024/11/14 21:26:08)

エロガキ♂15M ◆> おぉ〜…近くにお手本がいる！>14c   (2024/11/14 21:26:46)

エロガキ♂14C ◆> 理由が適当に見えるけど尺が足んないせいで足りない語彙力で補う時間がなかったんだよ！！！ごめんなさいでしたー！！！   (2024/11/14 21:26:46)

クラリス ◆> （例のセーターって！？）   (2024/11/14 21:26:53)

エロガキ♂14C ◆> 【多分胸開きタートルネックの方が通じるのかもしれない<例のセーター】   (2024/11/14 21:27:29)

エロガキ♂15M ◆> あ、童貞殺しの…！候補に入れるの忘れた！(くっ…後悔…)   (2024/11/14 21:27:40)

クラリス ◆> （JKじゃなくてJC向けデザインかな？≫セーラー服）   (2024/11/14 21:27:43)

人造人間21号> 競泳水着、ですか。（普段から体のラインがほぼ出ている服というか、その変身で変化してるのでこれが服かさえ一部微妙ですが）   (2024/11/14 21:27:50)

人造人間21号> じぇんじゃらすビーストってあれは、ほぼファー付きビキニみたいな？　そして時間   (2024/11/14 21:28:12)

クラリス ◆> （理解しました≫いわゆるDTころし）   (2024/11/14 21:28:16)

雪花ラミィ> スク水と、セーター。ほうほう、スケベの好みが分かれとんね。おっぱい見たいだけやろ自分（）   (2024/11/14 21:28:22)

エロガキ♂14C ◆> 時間だー！   (2024/11/14 21:28:27)

クラリス ◆> 時間ですね〜 お疲れ様！   (2024/11/14 21:28:36)

エロガキ♂14C ◆> （座布団すろーいんぐとぅ呑兵衛）   (2024/11/14 21:28:51)

エロガキ♂15M ◆> おつかれさま〜！楽しい時間だったぁ♫   (2024/11/14 21:28:55)

エロガキ♂15M ◆> ばいば〜い♡   (2024/11/14 21:29:31)

エロガキ♂14C ◆> せーへき、とは言うものの自分の嗜好を他人に上手く伝えるってすごく大変だなっていつも思うんだ……   (2024/11/14 21:29:35)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/14 21:29:42)

人造人間21号> では、お疲れ様でした。まぁ、こういう会話は楽しいものですよね   (2024/11/14 21:30:04)

クラリス ◆> それは確かにそう（しみじみ）≫伝えるって大変   (2024/11/14 21:30:08)

エロガキ♂14C ◆> と言うわけで罰は受けたし延長戦はないはず！よって雑談部屋へ帰るよー！！ちくしょーめー！   (2024/11/14 21:30:15)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/14 21:30:22)

クラリス ◆> ではでは、お部屋ありがとうございましたっ   (2024/11/14 21:30:44)

人造人間21号> お疲れ様でした。お話ありがとうございます   (2024/11/14 21:31:04)

クラリス ◆> かなたさん＆ラミィさん、21号さんもナイスバトルでした、また勝ちましょうね！   (2024/11/14 21:31:37)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/14 21:31:41)

人造人間21号> はい、また勝ちましょう。ラミィさんも戻られますか？   (2024/11/14 21:32:06)

雪花ラミィ> はあいー、おつらみぃー。くっそ、酒の効果が…！酒が切れちまう……（しゅわしゅわ。胸がぺったんこになってゆく…）   (2024/11/14 21:32:09)

雪花ラミィ> ラミィはどーしよかな。人が居たらおる方にいくよー。   (2024/11/14 21:32:25)

人造人間21号> お酒の効果、だったのですか？   (2024/11/14 21:32:26)

人造人間21号> 戦われるとかなら、メスガキが挑みに行きますよ   (2024/11/14 21:32:48)

雪花ラミィ> どーしよか〜…あ、ちょっと先にお風呂入りたいかも。お風呂入ってからまた戻ってこよかな。   (2024/11/14 21:35:39)

人造人間21号> 了解しました。では私の方も、一旦下がって少し休んでおきます。   (2024/11/14 21:36:03)

人造人間21号> では、またいずれ……（スッと浮き上がって、お部屋にぺこりっ）   (2024/11/14 21:36:42)

おしらせ> 人造人間21号さんが退室しました。  (2024/11/14 21:36:47)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/14 21:40:54)

胡桃 ◆> (にっこり、)   (2024/11/14 21:41:07)

胡桃 ◆> (勝負部屋ちらり、まだ大丈夫そう。多分…。)   (2024/11/14 21:54:11)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (2024/11/14 22:00:46)

胡桃 ◆> いってらっしゃーいっ！(退室見届けたし、人も来なかったし見守り終わり！)   (2024/11/14 22:01:12)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/14 22:01:15)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/14 22:26:57)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/11/14 22:27:02)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/11/14 22:27:06)

おしらせ> グリムアロエ ◆Su57aCNa9wさんが入室しました♪  (2024/11/14 22:27:10)

おしらせ> リノさんが入室しました♪  (2024/11/14 22:27:13)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/14 22:27:14)

おしらせ> ヒシミラクルさんが入室しました♪  (2024/11/14 22:27:15)

おしらせ> エロガキ♂13ucさんが入室しました♪  (2024/11/14 22:27:18)

エロガキ♂15M ◆> みんなで無言でサイコロ振る光景はちょっとシュールだった…   (2024/11/14 22:27:30)

エロガキ♂13HL ◆> 改めて対戦ありがとうございました♪勝利おめでとうございます(にこっ)   (2024/11/14 22:27:31)

リノ> 1d20 → (8) = 8  (2024/11/14 22:27:43)

ヒシミラクル> もう言葉はいらないのかー！ってやつだね   (2024/11/14 22:27:51)

グリムアロエ ◆> 1d20 → (4) = 4  (2024/11/14 22:27:58)

エロガキ♂13uc> とりあえず提案～　さすがにこの人数全員参加無理だから、相手決まったら個室行ける人は個室でどうかな？   (2024/11/14 22:28:00)

十六夜咲夜 ◆> 1d20 → (8) = 8  (2024/11/14 22:28:07)

ヒシミラクル> 1d20 → (7) = 7  (2024/11/14 22:28:15)

リノ> （ほとんど1:1だったからびっくりしました）   (2024/11/14 22:28:17)

エロガキ♂15M ◆> それでいいと思うよ〜   (2024/11/14 22:28:26)

グリムアロエ ◆> あたしは良いけど、お相手さん次第だね～   (2024/11/14 22:28:26)

リノ> 1d20 → (14) = 14  (2024/11/14 22:28:31)

十六夜咲夜 ◆> 1d20 → (3) = 3  (2024/11/14 22:28:37)

グリムアロエ ◆> リノ→咲夜→ミラクル→あたし　だよねっ？   (2024/11/14 22:29:07)

エロガキ♂13HL ◆> リノさん→咲夜さん→ヒシミラクルさん→グリムアロエさんの順番かな？   (2024/11/14 22:29:11)

エロガキ♂15M ◆> だね〜   (2024/11/14 22:29:19)

リノ> えっと、15Mさんお願いします！（個室？）   (2024/11/14 22:29:22)

エロガキ♂13uc> 逆にこの中で個室NGな人いる？　と、指名も並行でしていって～   (2024/11/14 22:29:23)

ヒシミラクル> こくこく   (2024/11/14 22:29:25)

十六夜咲夜 ◆> そのようね   (2024/11/14 22:29:26)

エロガキ♂13HL ◆> 個室は行けます〜   (2024/11/14 22:29:42)

十六夜咲夜 ◆> んー、ではHLくんにしようかしら   (2024/11/14 22:29:48)

エロガキ♂19b ◆> どこにでも～   (2024/11/14 22:29:51)

エロガキ♂15M ◆> ん…は〜い！個室いいよ〜♪   (2024/11/14 22:29:56)

リノ> 【個室よくわからないです、まだ日が浅くて】   (2024/11/14 22:29:56)

エロガキ♂13HL ◆> かしこまりました♪(にこっ)   (2024/11/14 22:29:58)

ヒシミラクル> わたしも個室処女なので…(何   (2024/11/14 22:30:16)

エロガキ♂15M ◆> 【ツーショットの待ち合わせ、ってところ！わかるかな？】   (2024/11/14 22:30:34)

エロガキ♂13uc> リノさんとMはここ確定で～　ヒシお姉ちゃんも指名相手とここかアフターとかかな   (2024/11/14 22:30:36)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/14 22:30:42)

十六夜咲夜 ◆> 私はどちらでもですわね   (2024/11/14 22:30:46)

胡桃 ◆> アフターはアフター専用だからね〜。個室よく分からなかったり、苦手ならとりあえずこっち！   (2024/11/14 22:31:00)

胡桃 ◆> うぇ？   (2024/11/14 22:31:09)

ヒシミラクル> あ、あふたー？   (2024/11/14 22:31:14)

エロガキ♂13uc> あぁ、アフターは先移動ダメなのね、了解   (2024/11/14 22:31:17)

ヒシミラクル> (あ、把握しましたー)   (2024/11/14 22:31:34)

胡桃 ◆> た、多目的の方に誘ってあげて〜   (2024/11/14 22:31:42)

エロガキ♂13HL ◆> 【一応咲夜お姉ちゃん個室作ったけどどうするー？】   (2024/11/14 22:31:43)

胡桃 ◆> じゃあ！   (2024/11/14 22:31:52)

グリムアロエ ◆> (アフターを覗きつつ)結構使われてんだぁ、いいじゃん♪   (2024/11/14 22:31:53)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/14 22:31:59)

ヒシミラクル> 19bさん、さっきのスイーツをわたしにください！   (2024/11/14 22:32:03)

エロガキ♂13uc> 胡桃お姉ちゃんはお疲れ様～   (2024/11/14 22:32:05)

十六夜咲夜 ◆> あら、準備が早いわねえ。一度個室入りますわね   (2024/11/14 22:32:17)

ヒシミラクル> お疲れ様です！   (2024/11/14 22:32:18)

エロガキ♂19b ◆> 食べちゃったよ....んま、指名されたからにはミラ子ちゃんに～   (2024/11/14 22:32:27)

グリムアロエ ◆> お疲れ様っ♪   (2024/11/14 22:32:29)

エロガキ♂19b ◆> お疲れさま～！！   (2024/11/14 22:32:36)

リノ> （混乱中）   (2024/11/14 22:32:37)

エロガキ♂15M ◆> おつかれ〜   (2024/11/14 22:32:40)

エロガキ♂13HL ◆> いってきまーす〜   (2024/11/14 22:32:44)

十六夜咲夜 ◆> 胡桃さんはお疲れ様。   (2024/11/14 22:32:47)

ヒシミラクル> ええーーっ！？(ずがーん！とショックなミラ子)   (2024/11/14 22:32:52)

グリムアロエ ◆> となると、あたしのお相手さんはucちゃんだね～♪   (2024/11/14 22:32:58)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (2024/11/14 22:32:58)

エロガキ♂13uc> で、アロエ……（お姉ちゃんではないな）は、個室行く？　残り物でわりぃけど   (2024/11/14 22:33:00)

エロガキ♂13HL ◆> 胡桃ちゃんお疲れ様〜   (2024/11/14 22:33:04)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/11/14 22:33:10)

エロガキ♂15M ◆> 【落ち着くまでココにいてね〜>リノ】   (2024/11/14 22:33:14)

ヒシミラクル> 個室に行く子がんばってね…？   (2024/11/14 22:33:15)

リノ> 【はい！】   (2024/11/14 22:33:25)

グリムアロエ ◆> 個室作っておいたよ♪   (2024/11/14 22:33:32)

グリムアロエ ◆> って、時間決めないとっ   (2024/11/14 22:33:42)

ヒシミラクル> でもせっかく勝ったのだから、何か楽しい命令出したいな〜♪   (2024/11/14 22:34:05)

エロガキ♂13uc> あぁ、じゃそっち行くわ。（男がリードするかと思って部屋立てしてたわ   (2024/11/14 22:34:13)

リノ> 10d3 → (2 + 1 + 3 + 1 + 1 + 2 + 1 + 2 + 1 + 3) = 17  (2024/11/14 22:34:20)

グリムアロエ ◆> 17分、おっけ～♪   (2024/11/14 22:34:28)

エロガキ♂15M ◆> 17分ね、OK♫   (2024/11/14 22:34:37)

エロガキ♂19b ◆> へいへいー！ミラ子ちゃんに罰が決めれるのかいー！   (2024/11/14 22:34:41)

ヒシミラクル> 17分！   (2024/11/14 22:34:44)

