/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年05月12日 06時27分 ～ 2025年05月25日 13時30分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

黒神めだか> しつこい、出来ないものは出来ない   (5/12 06:27:40)
◆> んむむ……一花おねーさんがそーいうなら、そーなんだね……？ぁ……おっぱい……っ♡（おちんちんがおまんこの割れ目の中へと飲まれていくと、まだ固くなりきってないのに窮屈に締め付けられては少しずつ固さを帯び始め。黒いブラに包まれたおっぱいを見せつけられ、胸元に抱き締められればより興奮を煽られ、おまんこの中でおちんちんをびくびくっ♡と跳ねさせちゃう。そのままゆっくりと腰を揺らしておちんちんをすりすりと擦り付ける様に動かし。）
  (5/20 22:50:36)

中野一花> いい子だねぇ〜…14Cくんは♡──…ん♡あ…っ♡どんどん、硬くなっ、て…♡びくっ♡びくっ♡って悦んでるねぇ〜…♡あ、じょう、ず…♡じょうず♡（膣内でおちんちん悦び飛び跳ねると、先っぽの窪みが膣肉のヒダ擦ってきもちぃ♡♡緩く腰を揺すって、ぴすとん催促しながら君の顔を豊満な胸の谷間に埋めてあげて、♡♡)
  (5/20 22:54:38)

エロガキ♂14C
◆> は、ぅっ……♡一花、おねーさぁん……♡きもちいい、よぉ……っ♡（固くなってきたおちんちんに纏わりつくように押し寄せて絡み付いてくるひだの感覚に身体が震え、おまんこの中で先走りの汁をお漏らしし始めちゃって。快感でがくがくと震えちゃう腰を必死でへこ、へこっ♡と精一杯振りながら、おっぱいの谷間で荒い吐息を漏らしつつ満遍なく顔を擦り付けては感触や一花おねーさんの匂いを堪能し。）
  (5/20 22:57:38)

中野一花> ん…っ♡あっ♡あっ、♡ん♡おねぇ、さ…んも、きもちぃよ、ぉ…♡♡もっ、と…おちん、ちん…擦り、つけてぇ♡♡（先走りで滑りがよくなってきたおちんちん♡♡かわいらしく腰へこ♡へこ♡って動かしてるけど、ナカでは激しくおちんちんがひだを擦ってきもちぃ♡♡あと、谷間に感じる吐息と、ふにふにのほっぺ♡胸の柔らかさを確認するみたいに顔を擦り付けられるのもきもちぃ♡♡）
  (5/20 23:01:52)

中野一花> 【あちゃちゃ、時間過ぎちゃったね？♡】   (5/20 23:02:13)

エロガキ♂14C ◆> 【今見たら多分9分まで、生違いだったんだと思うけど……最後までは終わらない気がする…！】】   (5/20 23:02:55)

中野一花> 【あ、そうなんだ！？──…ただ、9分まででも無理だねぇ〜♡()】   (5/20 23:03:56)

エロガキ♂14C ◆> 【って言うか時間は数え間違えるし、誤字も多いし……むぅ、疲れてるのかな僕。】   (5/20 23:05:15)

中野一花> 【もう23時だからねぇ〜…眠気、かも？()どうしよっか？ここ、長居してたら悪いと思うし…。】   (5/20 23:06:15)

エロガキ♂14C ◆> 【まだ全然眠くはないんだよね。だから自分でもなんか変な感じー……。ん、一応9分まではいて、そこからアフターって事で移動する？】   (5/20 23:07:20)

中野一花> 【体調が悪いのかな…？そうしよっか、──…って、アフターでいいの？♡個室、じゃなくて？♡】   (5/20 23:08:31)

エロガキ♂14C ◆> 【ん……個室がいい。あんまり長くはいられないかもだけど、それでもいいならかな。】   (5/20 23:09:09)

中野一花> 【ん、ふふふ♡♡もちろん、いいよ♡ほんと、かわいいんだから♡】   (5/20 23:09:41)

エロガキ♂14C ◆> 【待ち合わせに用意したよ。お部屋ありかとうございました、あと何だか半端な感じでごめんなさーいー】   (5/20 23:11:34)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (5/20 23:11:43)

中野一花> 【入室しましたー♡それじゃ、失礼します♡】   (5/20 23:11:54)

おしらせ> 中野一花さんが退室しました。  (5/20 23:11:57)

おしらせ> シルファさんが入室しました♪  (5/21 15:27:33)

おしらせ> エロガキ♂17Nさんが入室しました♪  (5/21 15:27:36)

エロガキ♂17N> 覚悟の準備はいいかなー？   (5/21 15:28:04)

シルファ> まぐれでも負けは負けですから…   (5/21 15:28:12)

エロガキ♂17N> 10d3+10 → (1 + 2 + 2 + 3 + 2 + 3 + 3 + 1 + 1 + 1) + 10 = 29  (5/21 15:28:24)

エロガキ♂17N> 57分ってとこ？   (5/21 15:28:43)

シルファ> そうみたいね   (5/21 15:29:40)

エロガキ♂17N> じゃお姉さんは胸だけ出しながらお口とか出してもらおうかな♡(ズボン降ろすと勢いよく反り返る男根突き出して♡)   (5/21 15:30:35)

シルファ> っ…これで満足ですか…？（悔しさと恥ずかしさが混じる表情で、服を脱ぎ、色白の乳房をさらけ出して…）   (5/21 15:32:28)

エロガキ♂17N> いい顔♡すごい興奮するよ♡お姉さんはお口でするのとされるの、どっちが好き？♡(晒された胸に顔埋めながら両手で揉みしだき、見上げながら見詰めて)   (5/21 15:34:04)

シルファ> ふぅっ…♥（エロガキに胸を揉みしだかれ、乳房の先端が擦られると甘い吐息が漏れて…）そ、そんなの…知りませんっ…   (5/21 15:36:18)

エロガキ♂17N> 負けたのお姉さんなんだからそう言うの良くないと思うよー？♡(乳首摘んで捏ね撫でつつ乳首が勃つとピンっ♡と弾いてからスカートの中に潜り込んで、下着の上から匂い嗅ぎつつ舐め上げて♡)   (5/21 15:39:58)

シルファ> っ…♥このエロガキっ…♥（スカートの中に潜り込まれると下着越しに舐められ、膝をｶﾞｸｶﾞｸと震わせて…）   (5/21 15:42:28)

エロガキ♂17N> こっちの方が好きそう...♡(下着ずり下ろして直に鼻をすり当ててから舐め上げて♡そのままクリに吸い付くと、吸い付きながら舌先で擦り付ける♡)   (5/21 15:44:50)

シルファ> やめっ…？！♥ひぁっ…♥（スカートの中で下着を下ろされると卑猥な糸を引いていて…そのままクリ刺激されると、エロガキの頭を押さえながら…）   (5/21 15:47:02)

エロガキ♂17N> ん♡エッチな味ぃ♡(頭を上から押さえられると離れられない状況になって。それならと音を立てて溢れてくる愛液吸い出しながら、中に舌を入れてクリの後ろから押し上げるように擦って)   (5/21 15:48:34)

シルファ> んんっ…！♥（スカートの中でエロガキに好き放題されて膝ｶﾞｸｶﾞｸしながら快楽に耐えながら…）あぁっ？！♥中入れないでっ…♥   (5/21 15:51:51)

エロガキ♂17N> んぇ♡だぁめ♡(舌を引き抜くとクリに吸い付きながら指を割れ目にゆっくり挿入して。音たてながら掻き回してあげて)   (5/21 15:53:17)

シルファ> やっ…！♥やぁっ…！♥（指を挿入されて掻き回されるとﾋﾟﾁｬﾋﾟﾁｬ卑猥な水音を響かせて…）   (5/21 15:55:38)

エロガキ♂17N> ん...イけ♡(クリを少しずつ強く吸いながらクリの後ろからも指で押し上げて)   (5/21 15:56:46)

シルファ> はぁっ…あぁっ…！♥（立ったまま手マンで潮吹きさせられて…）   (5/21 15:58:59)

エロガキ♂17N> んー。時間だけど...どうしたい？(ゆっくり指引き抜きつつスカートの中から顔上げて見上げながら笑って)   (5/21 16:01:54)

エロガキ♂17N> 居ないかな？   (5/21 16:08:32)

エロガキ♂17N> またねー   (5/21 16:08:38)

おしらせ> エロガキ♂17Nさんが退室しました。  (5/21 16:08:43)

おしらせ> 無言時間が25分を超えたため、シルファさんが自動退室しました。  (5/21 16:25:55)

おしらせ> タンタルさんが入室しました♪  (5/21 19:25:38)

おしらせ> エロガキ♂17Nさんが入室しました♪  (5/21 19:25:53)

タンタル> 10d3+10 → (3 + 2 + 2 + 3 + 1 + 1 + 2 + 1 + 1 + 3) + 10 = 29  (5/21 19:26:22)

エロガキ♂17N> 55分？かな？   (5/21 19:26:40)

タンタル> 予告しよう！55分までにはキミは射精しているッ！   (5/21 19:26:47)

エロガキ♂17N> なにそれこわいw   (5/21 19:26:56)

タンタル> 我慢できるならがんばってねぇー♥　とりあえず、パンツは自分で脱ごっか♥（とろーっとローションボトルから薄ピンクの粘液を掌に垂らして、にっち♥　にっち♥　と音立てて泡立てながら）   (5/21 19:27:58)

エロガキ♂17N> なぁんか嫌な予感ー♡(大人しくパンツまで脱いで男根ゆらゆら♡)   (5/21 19:28:54)

タンタル> にやにやしながら射精するタイプのショタは解釈違いなんだよね・・おねショタには無数の流派があってその期限は古王国時代に遡るという……（ふわんふわん……と回想の雰囲気だけ出しつつ特に思い出したりはしないで、逆手に根元を握りこみ、全体ににゅるぅ♥　とローションを塗り拡げて。片手は横から亀頭をなでなで♥　してあげながら、もう片手は袋を包んでほぐしてあげるように睾丸をふにふに♥）
  (5/21 19:31:31)

エロガキ♂17N> え、な、え？？分からない話で思考停止させられる！？っ、う、はぁ...♡(むくぅ♡と起き上がった男根がすぐに勃起して♡ローションの気持ちよさで声が漏れて♡睾丸も熱くなって精液作ってる感覚で♡)   (5/21 19:36:04)

タンタル> おやー？　こんなにかわいい悪魔娘の前で勃起してなかったなんて元気がないおちんちんなのかなぁー♥　元気になぁれ♥　がんばれ♥　がんばれth（ちゅっこ♥　ちゅっこ♥　リズムを着けて柔らかい掌で先っぽコスって扱いてあげて。袋全体を手首を回して揉みしだく）こうやってぇ、根元からぎゅってして扱き出すと……先走り汁が先っぽからぷくーってにじんで……あはっ、気持ちよさそう♥
  (5/21 19:39:29)

エロガキ♂17N> あっ♡ふ♡っああ♡気持ちい♡(男根がびく♡びくっ♡跳ねながら先走りがどろっ♡と溢れて手のひらにマーキング♡そのまま握られてても臍まで反り返らせて♡若干足が震えてきて♡)   (5/21 19:42:31)

タンタル> ちゃんと気持ちいいって言えて偉いねー♥　よちよち、いい子いい子♥　（先っぽに掌被せて、にゅっち♥　にゅっち♥　亀頭を包んだまま撫でまわしちゃう♥　ねっちょおぉ……♥　と糸引くのを見せてから、）淫魔の手コキで感じちゃって腰ヘコヘコしちゃっても仕方ないよねぇ♥　ほらほら♥　声出すともっと気持ちいいよぉー♥
  (5/21 19:44:52)

エロガキ♂17N> き、きもちぃ♡っう♡あぁ♡負けたのにっ♡負け癖つきそぉ♡(どろっどろ♡の先走りがむわぁ♡とすごい匂いさせながら腰がへこ♡へこ♡って揺れて掌に押し付けて♡)   (5/21 19:47:26)

タンタル> おちんちんも手コキに負けちゃえ♥　女の子のお手々でシコシコされるのが大好きなおちんちんになっちゃえ♥（両掌を合わせて、お祈りするみたいに掌合わせてその間におちんちん挿入しちゃって♥　表面をぴったり包んで大きな手つきでにゅっこ♥　にゅっこ♥　根元からカリ首まで思いっきり扱いちゃう♥）時間までにどぴゅどぴゅできなかったらお預けだからぁ、出しちゃえ堕しちゃえ♥
  (5/21 19:51:09)

エロガキ♂17N> おっ♡ふ♡それやば♡あ、っう♡イくイくイくッ♡♡♡あッああ♡♡(淫魔の掌の中で扱かれて、その中で突き上げるみたいに腰ががくがく♡してそのままびゅぅうう♡♡♡って勢いよく掌の中で大量射精しちゃって♡)   (5/21 19:55:12)

タンタル> おおおぉー♥　びゅーびゅー出てるっ♥（べーっ♥　と舌を出してたくさん飛んだのはベロと顔で受けちゃおう♥　にっちゅ♥　にっちゅ♥　と射精が止まるまでたっぷり扱きだしてあげて、見せつけるように舌をうねらせてちゅるる……ごっくん♥）……んっふー……ごちそうさま♥（ねっちょっ♥　と糸を引きながら手を引いて）
  (5/21 19:57:15)

エロガキ♂17N> う、はぁ♡なんか...変な射精覚えちゃったかも...♡(顔と口で受け止められるの見ながら腰がガクガク♡って震えてて♡全部綺麗にされたの見届けるとまだびく♡って跳ねた男根から手に粘っこいのが糸引いてるのすらドキドキさせられて♡)  
(5/21 20:00:38)

タンタル> 次から負けた時はおちんちん扱いてください♥　ってお願いしたら扱いてもらえるかもしれないねー♥（綺麗なタオルで手を綺麗にして、半勃起のおちんちんにもふぁさっとかけてあげよう♥）それじゃあ、時間も過ぎたし、ボクは行くねぇー♥   (5/21
20:04:27)

おしらせ> タンタルさんが退室しました。  (5/21 20:04:31)

エロガキ♂17N> つ、次こそは！   (5/21 20:05:00)

おしらせ> エロガキ♂17Nさんが退室しました。  (5/21 20:05:03)

おしらせ> みさんが入室しました♪  (5/21 20:58:38)

おしらせ> みさんが退室しました。  (5/21 20:58:58)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (5/23 05:42:06)

おしらせ> エロガキ♂13pvさんが入室しました♪  (5/23 05:42:13)

おしらせ> エロガキ♂16Yさんが入室しました♪  (5/23 05:42:51)

十六夜咲夜 ◆> うーん、正直ここまで低いとは…   (5/23 05:43:05)

エロガキ♂13pv> みんな来たね。   (5/23 05:43:11)

エロガキ♂16Y> さてさて、満足させてくれる？   (5/23 05:43:41)

エロガキ♂13pv> ざんねんだったね〜。まぁ、そこまでヒドイことはしないから安心して！   (5/23 05:43:58)

十六夜咲夜 ◆> 時間決めお願いしますわね。   (5/23 05:44:03)

エロガキ♂13pv> 10d3+10 → (3 + 3 + 3 + 3 + 2 + 3 + 2 + 1 + 3 + 3) + 10 = 36  (5/23 05:44:19)

エロガキ♂13pv> 大きい数字でたー！   (5/23 05:44:38)

エロガキ♂13pv> 6:20まで、になるかな   (5/23 05:45:00)

十六夜咲夜 ◆> 上ブレですわね…あらあら…今日はpv君の日ねぇ…   (5/23 05:45:04)

エロガキ♂13pv> へへんっ、まあね！   (5/23 05:45:30)

エロガキ♂16Y> 何する？   (5/23 05:46:33)

十六夜咲夜 ◆> どうされちゃうのかしら？   (5/23 05:47:14)

エロガキ♂13pv> ん〜、お姉さんが2人の相手大丈夫ならお願いしたいけど…無理そうなら先に言ってね？   (5/23 05:47:15)

十六夜咲夜 ◆> お二人相手大丈夫ですわ。   (5/23 05:47:40)

エロガキ♂13pv> OK！ならメイドのお姉さんにはお口と手で…これの処理手伝ってもらうね♪(ズボンをおろすと、朝勃ちで元気に反り返るショタちんぽが顔出して)   (5/23 05:48:35)

エロガキ♂16Y> おっ、言うね   (5/23 05:48:39)

エロガキ♂16Y> じゃあ、とりあえず俺は跨って挿れてもらおっかな、ほらほら脱いで♡   (5/23 05:49:18)

十六夜咲夜 ◆> 朝からこんなに…(手で先っぽをすりすり…)   (5/23 05:50:06)

十六夜咲夜 ◆> も、もうそっちも硬くしちゃって…っ///   (5/23 05:51:03)

十六夜咲夜 ◆> (メイド服は全部脱いだほうがいい？着たままはだける方がいい？)   (5/23 05:51:59)

エロガキ♂13pv> それは…男の子だし…っ♡…くすぐったい…♡(先っぽすりすりされただけでビクンッ♡と大きく震える熱いおちんちん。気持ちよさそうに、こちらも腰を振って手におちんちん擦り付けていく) もっと…激しくてもいいんだよ？♡   (5/23
05:52:58)

エロガキ♂16Y> もちろん脱ぐでしょ？可愛いおっぱい出して、気持ちよく動いていいよ？   (5/23 05:53:15)

十六夜咲夜 ◆> お二人はどちらがお好きかな、って…(…大きなおっぱいも出して…白い肌が露わに)いいわ、そこに横になって…   (5/23 05:55:37)

十六夜咲夜 ◆> ふふ、じゃあ…♡ちろ、ちろ…すりすり…///(言われてpv君のを積極的に責め立て)   (5/23 05:56:16)

エロガキ♂16Y> こうかな？（仰向けに横になると、びんびんちんぽが反り返りながらぴくぴくしていて）   (5/23 05:56:59)

十六夜咲夜 ◆> ふふ、朝から裸見て興奮させちゃって…っ♡(ゆっくりと腰を下ろして…ずぷぷ、と)ぁ…んっ、はいったぁ…♡   (5/23 05:58:26)

エロガキ♂13pv> (ボクにも聞いててくれたんだ！ごめんね、返答してなかった…。ボクはどっちのお姉さんも好きだよ！) し…舌で舐められてる…♡
(積極的に責め立てられてどんどんえっちな気持ちになっていくと、先っぽから粘り気のある透明なお汁が溢れ出してきて。玉袋も朝一濃いのを作ろうと忙しなく動いてて)   (5/23 05:58:29)

十六夜咲夜 ◆> (ふふ、ありがとね♪今日は裸のおねーさんで…♡)ほら、おっぱいでも…んっ、ここ…♡(大きな胸で挟み込むと、むにむに、ずりゅずりゅと)   (5/23 06:00:30)

エロガキ♂16Y> んっあ、もう濡れ濡れぢゃん、気持ち‥いぃ、、（ズププププと卑猥な音を立てながら膣にちんぽが呑まれていくとびくっと震えてしまってはすでに逝きそうで）   (5/23 06:00:32)

十六夜咲夜 ◆> ぁっ♡びくびくしてるっ♡入れただけできもちぃんだぁ…♡(煽るように)   (5/23 06:02:10)

エロガキ♂13pv> お姉さん……気持ちいい…よ♡(少し荒く、熱が灯りだす息遣い。頬も淡く染まりながら恥ずかしそうに笑って)
おっぱい…おっぱいズリズリ♡♡おちんちん…溶けちゃいそう…♡(大きな胸で包み込まれると、その中でビクンビクン！♡って激しく痙攣して。夢中で腰もカクカクしちゃって♡)   (5/23 06:03:11)

十六夜咲夜 ◆> ふぅ、ふぅぁ…っ♡いっぱい気持ちよくなっていいわよぉ…♡(pv君からも腰かくかく動いて…先走りと唾液でぬるぬるで余計に刺激しちゃう)   (5/23 06:05:06)

エロガキ♂16Y> そんな‥煽られたら、、はぅ（膣がちんぽを呑みこむように締め付けがきつくなると我慢汁が膣奥に溢れてくる）負けっない、いけっ！（くびれた腰を持つと下からぱんぱんとリズムよく上に突き上げていくとおっぱいがいやらしく揺れる）はぁはぁ！どう！？  
(5/23 06:06:11)

エロガキ♂13pv> あっ♡あっ♡あっ♡もうダメ…♡おっぱいおまんこで、おちんちんイっちゃう♡♡(ぬるぬるとした天然ローションに腰かくかくがもっと激しく♡おっぱいに腰打ちつけるように、ぱん♡ぱん♡ぱん♡って大きな音立てながら…射精準備に入ったおちんぽ♡限界は近くて…)
  (5/23 06:07:54)

十六夜咲夜 ◆> あっ、はぁぁっ♡動いてっ、激しっ…♡(ぱんぱん突き上げられて…pvくんへのパイズリもそれに合わせてぶるんぶるん動いて)   (5/23 06:08:44)

十六夜咲夜 ◆> おっぱいも…いっぱい打ち付けられちゃぅっ♡(胸の間と、おまんこの中と…どっちもびくびく膨らんでるのを感じて)   (5/23 06:09:48)

十六夜咲夜 ◆> はぁぁっ、あっ、私もっ、もうっ…♡   (5/23 06:13:23)

エロガキ♂16Y> ほらほらどっちが先に逝くかな！？ぱんぱんっ！ぱんぱんっ！（だんだんリズムよく激しく卑猥な音がこだましてはちんぽがぱんぱんに膨れ上がって今にも射精しそうで）このっ！このっ！いけっ！   (5/23 06:13:46)

エロガキ♂13pv> もう、だめ♡いく…お姉さんのおっぱいおまんこに……中出し、しちゃぅ…！♡♡(膨らみ熱り立つおちんちん。玉袋から濃いのが迫り上がって…先端の鈴口が一際開くと…)
いくっ♡んぁっ♡はぁ…♡ん…んん〜〜〜♡♡♡(びゅるるる〜〜〜〜♡♡♡朝一番の濃い白濁が、おっぱいの隙間から溢れるくらい…いっぱい吹き出しちゃった♡)   (5/23 06:14:38)

十六夜咲夜 ◆> あっ♡あぁんんっ///おくまではげしっ、いっちゃぅうっっ♡   (5/23 06:15:03)

エロガキ♂16Y> いっいっいくっ、、、   (5/23 06:15:28)

十六夜咲夜 ◆> ひゃぁんんっっ、すごい、いっぱい…っ///(胸の上にいっぱい白いのかかっちゃったぁ…)   (5/23 06:15:46)

エロガキ♂13pv> はぁ…はぁ…♡へへっ♡お姉さんのこと、汚しちゃった♡(少し得意げに悪戯な笑みを浮かべながら、絶頂の余韻に浸る…)   (5/23 06:18:04)

十六夜咲夜 ◆> ふふぅぅ…いっぱい出されちゃったぁ…っ♡(胸持ち上げて…お掃除れろれろ…)   (5/23 06:19:53)

エロガキ♂13pv> ぁっ♡お掃除も…してくれるなんて……さすがメイドのお姉さん♡でも時間だ…早かったなぁ…(ちょっと寂しそうな表情を浮かべて)   (5/23 06:20:52)

十六夜咲夜 ◆> Yくんは…まさか寝たかしら…   (5/23 06:21:15)

十六夜咲夜 ◆> ふふ、また楽しいことしましょうねえ…次は負けないんだからぁ…♡   (5/23 06:21:51)

エロガキ♂13pv> ……あまりの気持ちよさに、絶頂堕ち…？お姉さんがえっちすぎるせいで…   (5/23 06:22:04)

エロガキ♂13pv> うんっ♡今度も負けない…！次は、少し激しめな罰に…なんてね♡   (5/23 06:22:42)

十六夜咲夜 ◆> …ふぇっ？私のせい？？   (5/23 06:23:25)

エロガキ♂13pv> ……自覚なし…。まあいっか！最後まで付き合ってくれてありがとう、咲夜お姉さん♡   (5/23 06:24:19)

十六夜咲夜 ◆> ええ、朝スッキリしたでしょ…疲れて寝たなんて言わないでよ？(なでなで)   (5/23 06:24:59)

エロガキ♂13pv> うん、ちょースッキリ♡今日も頑張れるよー！(なでなでににっこり笑顔で)   (5/23 06:25:50)

エロガキ♂13pv> それじゃ、そろそろ学校の準備もあるし……またね♪   (5/23 06:26:21)

十六夜咲夜 ◆> …悪いけど、抜かせてもらうわね…(気絶したらしいYさんのを引き抜いて…)はぁ、んん…っ///   (5/23 06:26:22)

十六夜咲夜 ◆> ええ、また楽しみましょうね♡   (5/23 06:26:51)

エロガキ♂13pv> ……お姉さん、実はまだ満足できてない…とか？(からかうように)   (5/23 06:26:53)

十六夜咲夜 ◆> うっ…だって急に止まったから…   (5/23 06:27:33)

十六夜咲夜 ◆> ま、また次よ！今度は勝ちますからねっ！？(そそくさー)   (5/23 06:28:02)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (5/23 06:28:14)

エロガキ♂13pv> へへっ、わかりやすー！またね！   (5/23 06:28:20)

おしらせ> エロガキ♂13pvさんが退室しました。  (5/23 06:28:33)

おしらせ> 無言時間が25分を超えたため、エロガキ♂16Yさんが自動退室しました。  (5/23 06:44:22)

おしらせ> エロガキ♂14Gさんが入室しました♪  (5/23 21:34:15)

おしらせ> 一般女性さんが入室しました♪  (5/23 21:34:35)

一般女性> では時間振ってもいいですよ。そちらの勝ちですし   (5/23 21:34:54)

エロガキ♂14G> はいなのですー   (5/23 21:35:02)

エロガキ♂14G> 10d3+10 → (2 + 1 + 2 + 1 + 1 + 3 + 3 + 2 + 2 + 3) + 10 = 30  (5/23 21:35:12)

一般女性> 丁度10時5分くらいですね   (5/23 21:35:32)

エロガキ♂14G> ですー！それじゃあさっそく…ぬ、脱いでください//   (5/23 21:35:50)

一般女性> 分かったよ。それじゃちょっと待っててね…(服を脱ぎ始め、久々にゲームで豊満な胸とお尻を露にさせ)これでいいですか？   (5/23 21:37:26)

エロガキ♂14G> はい…いつ見ても綺麗でエッチですっ（服を脱ぎ棄てて一般女性に抱き着き）   (5/23 21:38:17)

一般女性> っへへ…そう言われると照れるなぁ♡…(ギュッと抱き締められ内心ドキドキし始めて)   (5/23 21:38:56)

エロガキ♂14G> じゃあきょうも…エッチな事してくださいね。（お股に性器をこすりつけて）   (5/23 21:39:42)

一般女性> 私の敗けですから…お好きに使ってくださいね…(割れ目に先端を擦り付けられ、こちらも胸を顔に押し付け)   (5/23 21:41:16)

エロガキ♂14G> んっ…息できないです。悪いおっぱいはこうです（胸の先を吸って）エッチ、するです（膣に思いっきり一突きで挿入する）   (5/23 21:42:53)

一般女性> っんぁ♡…エッチですっ…♡んんっ♡(押し付けると乳首を口に入れ吸われて、股の方も力強く挿入されビクッと身体を振るわせ)   (5/23 21:44:56)

エロガキ♂14G> …嫌いです？（水音を立てながら腰を激しく動かし）僕はお姉さんとエッチするの大好きなんれす…んっ   (5/23 21:46:00)

一般女性> っはぁ…はぁ♡…き、嫌いじゃないですよっ♡…ただいきなりはげしすぎでっ♡…んぁあ♡(口で吸われながら激しく打ち付けられる度に感じて声が出てしまい)   (5/23 21:49:25)

エロガキ♂14G> んっ…（激しさを少し抑えて）お姉さんはゆっくりエッチしたいです？（上目づかいで胸を吸いながら）   (5/23 21:50:51)

一般女性> どっ…どっちも好きですよっ…♡…あんっ♡(下を見て快感で身体をピクピクと震わせながら)   (5/23 21:52:59)

エロガキ♂14G> ぬくぬくするエッチも気持ちいいです…お姉さんの柔らかくて好き…（ぎゅっと抱きしめ）   (5/23 21:53:49)

一般女性> わ、私も好きです♡…必死に腰振る姿見てると可愛らしく見えてきますし…(こちらも抱き締めて頭を撫で上げ)   (5/23 21:55:25)

エロガキ♂14G> そ、そういうのはやですーっ。悪い事言うお姉さんはこうですっ（可愛いに反応していやいやと顔を振り、激しく動く）   (5/23 21:56:44)

一般女性> っあぁ♡…は、速いっ♡…ご、ごめんって…んぁんっ♡…(恥ずかしかったのか腰振りの速度が一段と激しくなり)   (5/23 21:59:09)

エロガキ♂14G> お姉さんっ。そろそろ出ちゃいます…おちんちん気持ちよくてっ　このまま、お姉さんの中に…（涙目でねだるように見つめる）   (5/23 22:00:29)

一般女性> いっ…いっぱい出してっ♡お姉さんが受け止めるからっ♡…あぁ♡…(そろそろ久々に限界を迎えそうになり)   (5/23 22:02:38)

エロガキ♂14G> はいっ一杯…お姉さんの中にっ　っ～～～～～～～～！！（思いっきり抱きしめて奥深くに熱い精液を流して）   (5/23 22:03:49)

一般女性> っあぁっ♡…イくぅっ～♡…んんんっ～♡(中に注がれてしまい同時に絶頂しビクビク脚を痙攣させて)   (5/23 22:06:01)

エロガキ♂14G> はふ…お時間、過ぎちゃってましたね…えへへ   (5/23 22:06:31)

一般女性> で、ですね…ではありがとうございましたっ   (5/23 22:06:57)

エロガキ♂14G> はい、またご縁がありましたらー   (5/23 22:07:08)

おしらせ> エロガキ♂14Gさんが退室しました。  (5/23 22:07:27)

一般女性> では私もこれにて   (5/23 22:07:36)

おしらせ> 一般女性さんが退室しました。  (5/23 22:07:37)

おしらせ> エロガキ♂13Alさんが入室しました♪  (5/23 23:11:50)

おしらせ> 一般女性さんが入室しました♪  (5/23 23:11:52)

エロガキ♂13Al> ふっ……先手を取った！   (5/23 23:12:02)

一般女性> ではサイコロどーぞ…   (5/23 23:12:16)

エロガキ♂13Al> 10d3+10 → (2 + 3 + 1 + 1 + 3 + 3 + 1 + 3 + 3 + 3) + 10 = 33  (5/23 23:12:37)

一般女性> 45分ですね…それでは…(何にするか考え)   (5/23 23:13:18)

エロガキ♂13Al> 嗅ぎながら考える？（違）   (5/23 23:13:35)

一般女性> 何を嗅ぐって？…(ニコッと笑うもどこか怖いオーラで)   (5/23 23:14:08)

エロガキ♂13Al> い、いやー落ち着くかもしれないなーって……   (5/23 23:14:27)

一般女性> じゃあ…これから「犬」にでもなってもらおうかな？   (5/23 23:14:57)

エロガキ♂13Al> い、いぬ……？   (5/23 23:15:10)

一般女性> もちろん返事はワンだからね？罰ゲームらしくていいんじゃない？   (5/23 23:15:26)

エロガキ♂13Al> えーっとぉ……こ、こう？（よつんばい）   (5/23 23:15:53)

一般女性> それじゃ…まずはお手♪(しゃがみ込むと手を出して)   (5/23 23:16:26)

エロガキ♂13Al> わ、わん……？（四つん這いになったままそーっと手を乗せる）   (5/23 23:16:44)

一般女性> 偉い偉い♪…次は…お座りっ…(上手だと頭を優しく撫で)   (5/23 23:17:44)

エロガキ♂13Al> わ、わん……♥（撫でられると少しうれしそう。膝を曲げて手をついたまましゃがみ込むような姿勢に）   (5/23 23:18:34)

一般女性> これはどうかな？…その…チンチンっ！(少し恥ずかしく言うのを躊躇いそうになるも次の指示も出して)   (5/23 23:20:18)

エロガキ♂13Al> わふんっ♥（にまっと笑みを浮かべてから、腕を曲げて膝立ち。腰をくいっと突き出すと、ぴーん♥と前が張り詰めている）   (5/23 23:21:17)

一般女性> もう…発情しちゃって…悪い子っ…(チラッと股間の方を覗いて指でつついて確認する)   (5/23 23:22:31)

エロガキ♂13Al> わんわんっ♥（つつかれるとぴくんっと腰を跳ねさせて。甘えるように脚に抱きついてすりすり♥　腰を押しつけちゃう）   (5/23 23:24:28)

一般女性> ヘコヘコしたいのかな～？(脚にすりすりと腰を押し付ける姿を見下ろして微笑む)   (5/23 23:25:25)

