/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年03月04日 23時36分 ～ 2025年03月09日 21時06分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> ぱーんーつ！　ぱーんーつ！（コール）   (3/4 23:36:43)
天音かなた ◆> ふふふ、そーだろう…！かなたそはデカパ……ンぅ…ふふ、デカパイなのさ……！(身を捩りながらも褒められて上機嫌そうに微笑み)   (3/6 03:12:51)

エロガキ♂19b ◆> でもやっぱり～俺的には大きさも重要だけど...感度も大事だと思うんだよねー？例えば乳首とかさっ！(両乳首を摘みコリコリと弄ってみて)   (3/6 03:14:03)

天音かなた ◆> ま……待っち、お触りの域超えて…ん、ぁ…♡…っ、ちょ、すとっぷ、すとっぷ……ンンっ…♡(顔真っ赤にしつつ両手を出して服越しの愛撫を止めさせようと喘ぎながらジタバタして)   (3/6 03:16:39)

エロガキ♂19b ◆> あははっ♡可愛い～...でも勝ったのはかなたちゃんだししたがってあげる♡(乳首の先端を軽く擦ってから手を離して)   (3/6 03:17:45)

天音かなた ◆> はひ、……っ……♡す、すとっぷ…んん、だからその、えっと、だからあ…♡(声を裏返しながら、刺激が無くなるとそれはそれでなんだかもどかしくて、必死に言い訳しながら見つめて)   (3/6 03:19:24)

エロガキ♂19b ◆> だから～？なにかな？...時間まではかなたちゃんの言うことにしたがってあげるよー♡どうしてほしいのかなぁ？♡(ニコニコとかなたちゃんを見つめ手を軽く動かして)   (3/6 03:21:10)

天音かなた ◆> ……だから、あ…もうちょっと、…優しくその、さわってくれたら、ゆるすって、いうか…♡(もじもじしながら、直接お願いは恥ずかしくて濁しながら潤んだ目を向けて)   (3/6 03:23:44)

エロガキ♂19b ◆> あは♡...了解～...こんな感じかなぁ？♡(優しく両胸を揉みながら乳首がある位置を人差し指で跳ねるように擦り♡)...おっと、、もうじかん、かな？   (3/6 03:25:26)

天音かなた ◆> ……ふう…♡…んん、おしまい……？   (3/6 03:27:16)

エロガキ♂19b ◆> そ、時間はここまで...あとは、かなたちゃんがもっとしたいなら...つづきを、ね！勿論俺は全然いける！！むしろしたい！！   (3/6 03:28:06)

天音かなた ◆> ……このまんまじゃやだ…♡(服の裾くいくい)   (3/6 03:29:42)

エロガキ♂19b ◆> 可愛いかよ...なら、アフターか個室になるね...かなたちゃんはどっちがいいかな？♡   (3/6 03:30:45)

天音かなた ◆> 個室の方が、得意かも……？   (3/6 03:31:32)

エロガキ♂19b ◆> おっけー...んじゃ、待ち合わせに個室作っておいたよ♡   (3/6 03:33:04)

天音かなた ◆> うん、じゃあ、いくね……♡おつかなた〜〜…♡   (3/6 03:34:42)

おしらせ> 天音かなた ◆tfL95lufoEさんが退室しました。  (3/6 03:34:45)

エロガキ♂19b ◆> それじゃあ、こっちは出ないとね～続きは向こうで♡...お部屋ありがとうございました！！   (3/6 03:34:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/6 03:34:57)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/6 21:58:17)

おしらせ> レミリアさんが入室しました♪  (3/6 21:58:28)

エロガキ♂19b ◆> さてさて、、とりあいず...これは外してっと(カチャカチャと貞操帯を外し)ふぅ...ようやく異物感がなくなったよー   (3/6 21:59:54)

レミリア> ・・・・///（あれだけ高飛車ぶってるが・・・貞操帯の内側・・ラバーなのにべっちょべちょでてかってる。   (3/6 22:01:50)

エロガキ♂19b ◆> あらー...やっぱべちょべちょだねぇ...きっすいのドMなレミィならそうなるのも当然か♡っと、まずは時間を決めよっと！   (3/6 22:03:29)

エロガキ♂19b ◆> 10d3+10 → (2 + 3 + 3 + 2 + 2 + 1 + 2 + 2 + 1 + 3) + 10 = 31  (3/6 22:03:35)

エロガキ♂19b ◆> とりあいず、ここは34分まで～...ちなみに聞くけど今日も色々持ってきたの～？♡   (3/6 22:04:07)

レミリア> ええ。浣腸用のスライム液・・・注射器型の浣腸器を追加したわ・・・あとは・・・パスタ♪（夜食）   (3/6 22:07:23)

エロガキ♂19b ◆> 浣腸が増えたとおもったら夜食も持ってきてるんだ！？それはしまっといてね～...さすがに食材を汚すのはダメだからね！...浣腸は後でやるとしてそれじゃあ～やっぱ、まずはこれかな？♡(ディルトとローターを取り出して見せ♡)   (3/6
22:09:20)

レミリア> ふ～ん・・・あなたも嫌ってのあるのね。（じぃ～。から、そっと近づき   (3/6 22:13:05)

エロガキ♂19b
◆> 嫌なのはないよー？でもここであんまり激しいのをやると...後から使う人とかがね♡だから～そういうのはあとでいくらでも付き合ってあげる♡前にも言ったけど嫌なのはまーじでないからさ！...んん？(ペラペラ喋りながらローターをどう使うか考えていたら近づいてきていることに気付き)
  (3/6 22:14:57)

レミリア> なら。アフターね♡（ベッドにこしかけ、おもむろに無防備に足を広げながらスカートをまくり相手が触りやすいような体制になる   (3/6 22:17:03)

エロガキ♂19b ◆> そういうことっ！てなわけで...こうしようかな♡(無防備になったのを見てショーツをずらし遠慮なくディルドをオマンコに突っ込みローターをクリに当ててみて♡)   (3/6 22:18:30)

レミリア> ふぎゅっ///（むぎゅっと抱きしめながら耳元でハァハァと甘い吐息を繰り返しながら耐える   (3/6 22:19:39)

エロガキ♂19b ◆> 耳元でそれをされるの反則だよ～♡もっと苛めたくなっちゃう♡(ディルドをシュボッ♡ジュボッ♡と動かしながらローターもクリから離れないように強く押し付け♡)   (3/6 22:21:51)

レミリア> おっ・・おっ・・・///　（だんだん白目涙目・・・次の瞬間、ビクン、ビクン・・・   (3/6 22:24:05)

エロガキ♂19b ◆> あらあら？...もしかして～イっちゃった？♡まだ軽く動かしただけなんだけどねぇ...♡(容赦なくディルドを動かし続け♡)貞操帯をつけてくれた分、きっちりお返しさせて貰うから♡   (3/6 22:26:01)

レミリア> おかえし？・・・そんなのいや～♡　ちゃ～んと、勝利独占宣言・・・して♡（さりげなく耳元で囁きおねだり   (3/6 22:27:04)

エロガキ♂19b ◆> じゃあ～...無様にストレート負けしたレミィをこれから独占してぶち犯しちゃいまーす♡ってね♡(ニヤリと笑いながら独占宣言、そのままの勢いでディルドを根元までぐっ！と押込み一気に引き抜いて♡)   (3/6 22:28:58)

レミリア> んおっ♡（びくっ・・びくっぷしゃ～～～と失禁いき   (3/6 22:33:29)

エロガキ♂19b ◆> あはっ♡可愛く吹いたねぇ...時間的に罰はここまでだけど～...勿論、やるよね？♡(アフターの鍵をちらつかせて♡)   (3/6 22:35:02)

レミリア> ・・・うん♡（考えることもせず即答・・両目よく見ると♡   (3/6 22:35:50)

レミリア> まってる♡   (3/6 22:36:35)

おしらせ> レミリアさんが退室しました。  (3/6 22:36:42)

エロガキ♂19b ◆> ビックリするぐらいいい返事...んじゃ、アフターいこっかー！ってはやっ！？   (3/6 22:36:53)

エロガキ♂19b ◆> お部屋ありがとうございました！！   (3/6 22:36:57)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/6 22:36:59)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/7 03:12:31)

おしらせ> 最上静香さんが入室しました♪  (3/7 03:12:50)

最上静香> エッチな命令…ってそれはそれで難しそうですけど…頑張ります！   (3/7 03:13:37)

エロガキ♂19b ◆> 何でもいうことききます...でもその前に時間だけ決めてね！   (3/7 03:14:35)

最上静香> 10d3+10 → (3 + 3 + 1 + 2 + 1 + 1 + 2 + 1 + 3 + 2) + 10 = 29  (3/7 03:14:54)

最上静香> 3:45分までですね   (3/7 03:15:36)

エロガキ♂19b ◆> 以外と短め！さあ...俺は何をすれば言いかな？   (3/7 03:16:40)

最上静香> じゃ…じゃあその…お、おちんちんを勃起させてみてください   (3/7 03:17:00)

エロガキ♂19b ◆> 了解！！(ズボンとパンツを脱ぎ半勃状態のおちんちんを見せ扱き始めて)静香ちゃんが手伝ってくれたらすぐに大きくなるんだけどなー♡   (3/7 03:18:24)

最上静香> え…、てつだうって…、じゃ…じゃあ…(そう言うとスカートを少しだけたくし上げてちらちらと白いパンツを見せちゃって)少しだけ…これでなるかな？   (3/7 03:19:30)

エロガキ♂19b ◆> おぉ...チラッて見えるのエロすぎ！！(目を見開きじっと見ながら扱けば一気におちんちんが大きくなり♡)   (3/7 03:21:08)

最上静香> わ…っ、おっき…(恥ずかしそうに見て)、えっと、そのまま…どういう命令をしようとしてたか教えてください   (3/7 03:22:18)

エロガキ♂19b ◆> えっとね～...脱がせて～、乳首とかオマンコとか弄って...最後には種付けしたいなぁって感じの命令をしようと思ってたよ！詳しく言った方がいい？(扱き続けながらこたえ)   (3/7 03:23:47)

最上静香> すっごいこと考えてたんですね、えとそれなら…(アイドルの仕事の時に練習しているような演技を使い分ける気持ちになり)、私に命令しちゃう権利なくなっちゃっておちん…ちん寂しいでしょ？(少しだけノリノリになり)、残念でしたね？(そう言うとしごいている手に手を傘ねしゅっしゅっとおちんぽを扱いちゃって)
  (3/7 03:26:12)

エロガキ♂19b ◆> スッゴク残念なんだよぉ...静香ちゃんとエッチする機会だったのにー...って、んんっ♡重ねてなんてこれはまたご褒美かも？♡(おちんちんをビクビクさせ我慢汁を垂れ流しちゃって♡)   (3/7 03:28:17)

最上静香> そうですか？手だけでも満足しちゃうんですか？(そう言うと握る手の強さに緩急をつけて、にちゃくちゅとおちんぽの汁をこすりつけしごいちゃって)   (3/7 03:30:03)

エロガキ♂19b ◆> まさか♡やっぱ静香ちゃんのオマンコに俺のおちんぽ突っ込まないと満足はできないよ～♡あっ♡でもこうやって扱いてくれるのも嬉しくてさ♡(全身を震わせ少し腰を浮かしちゃって♡)   (3/7 03:32:13)

最上静香> ほらほら、腰浮いちゃってますよ(手の動きに反応するのが少しだけ楽しくなってきてしゅっしゅっと扱く速度を速めちゃって)   (3/7 03:32:56)

エロガキ♂19b ◆> あはっ♡気持ちよくて、、ね♡静香ちゃん扱くのだいぶなれてるみたいだけど...んあっ♡実は練習してたり～？♡(喘ぎ声を漏らしながらも少し疑問に思ったことをきいてみて♡)   (3/7 03:35:07)

最上静香> ま、まぁ？興味はないわけじゃないですし…？(弱く言いながらも、ごまかすために手の力をいれ、しゅっしゅにちゅにちゅと射精させようと動かしてしまって)   (3/7 03:35:49)

エロガキ♂19b ◆> 興味はあるんだー♡んくっ...やばっ...もう出ちゃいそう♡刺激、、強すぎっ♡♡(おちんぽの先端を膨らませ射精準備万端♡)   (3/7 03:38:09)

最上静香> いっていいですよ？(意味深に笑みを浮かべながら手の速度を上げて)、えっちなおちんちん…思いっきりぴゅーぴゅーしちゃいましょ？(耳元で囁くように煽っちゃって)   (3/7 03:40:14)

エロガキ♂19b ◆> それっ、、ズルいっ♡...んんっ！イグッ！！♡♡(我慢できずに熱々な濃厚精子を上に向かって大量射精♡静香ちゃんにもシャワーのようにふりかかっちゃって♡)   (3/7 03:42:21)

最上静香> いっちゃいましたね♡(かかった精子を感じつつ)、これで罰ゲームは終了ですよ♡(…でも私も負けてたらこんなふうに…？)   (3/7 03:43:17)

エロガキ♂19b ◆> はぁはぁ...罰ゲーム終わり？あはは、あっという間だったなー♡...もっとしたいなぁ...なんて？(息を整えながら上目ずかいで見てみて)   (3/7 03:45:50)

最上静香> 少しなら…個室とかなら…？いきます？   (3/7 03:46:47)

エロガキ♂19b ◆> ...行くっ！   (3/7 03:47:37)

最上静香> 待ち合わせにたてていただければはいります   (3/7 03:48:00)

おしらせ> 最上静香さんが退室しました。  (3/7 03:48:32)

エロガキ♂19b ◆> 作っておいたよー！   (3/7 03:48:40)

エロガキ♂19b ◆> っと...お部屋ありがとうございました！   (3/7 03:48:53)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/7 03:48:59)

おしらせ> マーシャルさんが入室しました♪  (3/9 02:06:00)

おしらせ> エロガキ♂13Alさんが入室しました♪  (3/9 02:06:07)

エロガキ♂13Al> 何人かいたら相手決めたりするんだけど、今はいないからまず時間を決めてその後は好きなように……かなっ！   (3/9 02:06:26)

マーシャル> しっかしあんた好き放題揉んでくれたねぇ…おっ了解、とりあえずダイス振らせてもらうな   (3/9 02:06:58)

マーシャル> 10d3+10 → (1 + 2 + 2 + 2 + 1 + 3 + 1 + 2 + 2 + 1) + 10 = 27  (3/9 02:07:03)

エロガキ♂13Al> 34分ごろに終わりってことで……あんまり厳密に守られてもいないんだけど！　……いやー、えへへ。そんなに大きいのがあったら、つい……♥（ごくりっと喉を慣らしつつ視線はまだ爆乳に注がれている♥）   (3/9 02:07:49)

マーシャル> あーわかったわかった…♡最初からあんたの欲望丸出しの視線注がれてたからねぇ…♡(レオタ服でわずかに隠れてるだけの爆乳を相手に見せつけるように揉み…♡揉み…♡)　こいつであんたの相手してやろうじゃないの…♡   (3/9 02:09:32)

エロガキ♂13Al> んく……♥自分で揉みしだいてるのもエロ……♥　お、おっぱいでって、ことは……♥（期待にびきっ♥　とズボンの前膨らませていて）   (3/9 02:10:24)

マーシャル> んふふっ～…♡出しな…♡あんたの自慢の一物…♡負けたんだから自分からあたしにおねだりしてごらんよ…♡(自分の掌にも収まらない褐色爆乳を思いっきり揉んだり優しく指で撫でる姿を堪能させ)   (3/9 02:11:49)

エロガキ♂13Al> じ、自慢ってことはないんだけどぉ……（自分で出せと言われるとやっぱり恥ずかしいようで。でも、頭より大きな爆乳がむにゅうっ♥　と歪んでるのを見ると、ふー、ふー♥　と鼻息荒くして）　……お、お願いします……♥　マーシャルさんのエロエロ爆乳おっぱいでおちんちん気持ちよくさせてください♥（自分でパンツを下ろせば、ばちんっ！　とお腹にぶつかって。びくびく跳ねるものは仮性包茎。のくせに触っているときから興奮しているようでもう先走りをだらだら垂らしている……♥）
  (3/9 02:13:47)

マーシャル> いいねぇ…♡その性欲丸出しって感じ…♡興奮しちまう…♡ダイス勝負の時からだけどあんたみたいなタイプ好きだよ…♡(たっぷんたっぷん…♡っと爆乳を揺らし目の前に差し出された我慢汁まみれの包茎チンポを威嚇する…♡)　それじゃあ…いただきまぁす…♡(勿体ぶるように間を開ければデカパイの間を開きパイズリするための空間を作る…そして褐色爆乳はショタのチンポをいとも簡単にずにゅうぅぅ～♡♡♡っと飲み込み…♡)
  (3/9 02:16:34)

エロガキ♂13Al> そりゃエロいことしにきてるしっ♥　こんなエロいおっぱい見てたら……ふう、ふうっ♥（目の前でたぷたぷとはずむどでかい爆乳を感じて、びき、びきっ♥　と反り返ってしまって。我知らず腰を突き出して……）んっおっ……おおおっ♥（立ったままなのに平然と挟み込まれて、縦パイズリ♥みちいっとナカに咥えられて、ぐにゅ、ぐにゅ♥　と捏ねるように柔肉が動く感触にかくかくっ♥　腰を振ってしまって）すご、でっか……お、おっ♥　奥まで届かない♥）
  (3/9 02:19:25)

マーシャル> おぉっ、すっご…おっぱいの中で元気に跳ねてるの感じちまう…♡ったく最近のガキってのはみんなこうなのかい…♡(縦パイズリも余裕のデカパイ…♡相手のチンポどころか腰まで飲み込みそうなほどのドスケベおっぱい…♡中で反り返るチンポの元気さに興奮しながら相手の腰振りを応援する…)　くくっ…♡ほらほらっ…♡頑張って腰振ってあたしを楽しませな♡(腰が動くたび乳肉はチンポにまとわりつきずちゅっ♡ずちゅっ…っと尋常でない乳圧で攻め立てる)
  (3/9 02:22:40)

エロガキ♂13Al> ふうっ、くうう……♥　すご、おっぱいのナカに全部入って……あ、あ、ああっ♥（ずりゅんっ♥　と皮が剥けて敏感な亀頭はぷっくりと膨らんで、ぬっぽ♥　ぬっぽ♥　自分の先走りを絡ませて乳房の間を擦っていく。夢中になって中腰で腰を振れば、ぱんっ♥　ぱんっ♥　おっぱいに腰を打ち付けて音を立てていって……先走りがさらにあふれてにちゃ、にちゅっ♥　と濡れた感触にびくびく震える）おおっ♥　くう、すご、パイズリ♥　デカすぎて……ひいうっ♥
  (3/9 02:24:41)

マーシャル> あはっ…♡えっろぉいお姉さんのおっぱいに敗けないように耐えるんだよぉ…♡サービスしてやるからさっ、んぅ…♡(くちゅくちゅと頬を動かすと口からねっとり…♡糸を引く唾液を谷間に流れ込ませ我慢汁と合わせて天然のローションが潤滑油になり更に快楽を増す)　自慢のおっぱいだからねぇ♡あんた程度のチンポじゃぜ～んぶ包んじまうんだ…♡まっパイズリって言ってもあんたが勝手に腰動かしてるだけだけどね…♡(ヌルヌルになり粘液まみれになった乳内はずちゅっ♡ずりゅっ♡ずっりゅんっ♡♡♡卑猥な水音を響かせ)
  (3/9 02:28:17)

エロガキ♂13Al> 耐えるのとか、無理っ……♥　こ、こんなの、すごすぎ……お、っふ、っぐ……ううううっ♥（ぎゅうっと目をつぶって、喉をそらして……なのに、自分で腰をぱんぱん♥　肉厚おっぱいにぶつけるのだけは止められない。唾液と我慢汁が混ぜ合わされてにっちゃ♥　にっちゃ♥　と生々しく音を立てて行って）はあ、はあ……う、っぐ……くううっ♥（ナカで向けて敏感な粘膜を擦られてるものはびっくん、びっくん！　と跳ね上がって。射精したいって伝えるように腰をぐりぐり♥　押しつけて深いところで出そうとする本能見せていて……♥）
  (3/9 02:30:34)

マーシャル> あぁ～…♡これったまんないっ♡射精したいっておねだり…♡必死に耐えてるのにチンポは跳ね回って射精したがってるのいいじゃないの…♡(ぐりぐりと乳肉の奥を求める動きに興奮し)　はぁ…ほら…一気にイくよ…♡これで頑張って耐えて溜め込んだエロガキザーメン吐き出しちまいない…♡せ～えぇの………♡(相手の腰を掴むと無理やりずにゅうぅうぅぅ……♡っと焦らすように爆乳からギリギリのところまで引き抜く…そして声に合わせ力任せに掴んだ腰を思いっきりデカパイにばちゅン゛っ～♡♡♡っと無理やり押し付け引き込む)
  (3/9 02:35:06)

エロガキ♂13Al> はあ、くう、出る、出させて……♥（かく、かく♥　と猿のように腰を振ってしまいながら。先走りでどろどろの肉棒を夢中に押し込んでいるところで）わっ、すごい力……わわっ？（ぐいっと腰を押されて抜けそうなほどに引かれると……今度は逆に、一気に奥まで受け止められて）おっ……う、ん、おおおおおおっ♥（イく、というよりも、無理やりの刺激で絶頂させられるように……みちっと褐色おっぱいに根元まで咥えられた肉棒は、ぶびゅっ♥　びゅるるるるるるるっ♥　ナカにぶちまけていく……）
  (3/9 02:38:03)

マーシャル> んっふっふぅ～……♡♡♡あぁ…射精しちゃったねぇ…♡このおっぱいの中に子種が来る瞬間たまんないよ…♡(爆乳褐色の谷間にショタのザーメンが勢いよくびゅるっ♡びゅりゅりゅりゅ～♡っと射精させられると腰を仰け反らせその感触を楽しむ…♡)　ふぅ…こぉんなに出しちゃって…あんたエロガキの癖にやるねぇ…♡(にゅぷんっ♡っと肉棒を引き抜くと褐色の肌を汚すようにドロドロにマーキングされたデカパイをまじまじ見て)
  (3/9 02:41:26)

エロガキ♂13Al> はあっはあっ……くううっ……♥（出した直後はぶるっと震えながらも、しばらく放心して……にゅぷっと抜かれたモノは残り汁をべちょっ♥　とおっぱいの上に浴びせてしまって。しばらくしてから、）うわ……すご。ザーメンがおっぱいの間にねとぉって……♥（その光景に息を飲みつつも……ぴぴ、とアラームが時間切れを知らせる）
  (3/9 02:43:31)

マーシャル> あらあら…追加ぶっかけなんてやるねあんた…♡んふっ…すごいのはそのチンポだよ…まったくこんな射精しちまって…♡(ぴゅぴゅっ…♡っと爆乳に白濁液が更に広がり…微笑むと谷間を開いてねっとぉ～…♡っとザーメンが糸を引きドロドロに犯された乳まんこを見せて)　っと時間かい…♡楽しい時間はあっという間だね
  (3/9 02:46:10)

エロガキ♂13Al> うっわ、すご……ぜったい思い出してしこる……♥（ねとぉっと精液の橋を架けるおっぱいを見つめて、ごくりっと喉を鳴らして、股間は収まり切らずにびくびく）……今日は負けたけど、次は勝って……おっぱい使ってやる！（同じでは？）   (3/9
02:47:39)

マーシャル> あははっ♡いいねぇその性欲の強さっ♡あたしのダーリンにしてやりたいぐらいだ…♡(可愛らしく動く股間をニヤニヤ見つめ)　まっ今回はあんたが勝手に腰ヘコしただけだからねぇ…♡勝ったらあたしから動いてご奉仕してやるよ♡   (3/9 02:49:05)

エロガキ♂13Al> だーりん？（ロボットも恋人を作るのかなーって今更のように）今度はこっちが上に乗ってするしっ……！　あんまりここに長居するのもよくないから……よそでシコる！（堂々ということではない）   (3/9 02:50:29)

マーシャル> おっと…ここ長居厳禁かっ…ついつい楽しんじまったね…♡おーあたしのデカパイ思い出して気持ち良くなれよー♡(ザーメンまみれのおっぱい揉み揉み)　んじゃあ次は犯されちまうかもねぇ…ふふっ…♡とりあえずこれで解散でいいんだね？   (3/9
02:52:54)

エロガキ♂13Al> うん、ここはこれで終わり。時間も過ぎてるし。盛り上がりすぎた時は続きやるアフター部屋もあるけど、さすがに今日は遅いから早く寝た方がいい……って理性では思ってる！   (3/9 02:54:04)

マーシャル> おーアフターかーそういうのもあるんだねぇ…まっ、早く寝たほうがいいならそうしな？あたしもちょっとムラついてるけど…んーまぁ気分次第でなんかするかなー、とりあえずお相手ありがとなー♡   (3/9 02:55:47)

おしらせ> マーシャルさんが退室しました。  (3/9 02:56:05)

エロガキ♂13Al> 3時だからね……！　今から何かするよりは起きてから遊んだ方が良い、と、思う！（理性）   (3/9 02:56:40)

おしらせ> エロガキ♂13Alさんが退室しました。  (3/9 02:56:41)

おしらせ> エロガキ♂13Alさんが入室しました♪  (3/9 15:00:39)

おしらせ> 一般女性さんが入室しました♪  (3/9 15:00:40)

エロガキ♂13Al> それじゃあ、どんな罰でも受け入れましょう！！（胸はり）   (3/9 15:00:52)

一般女性> まず時間から決めますね   (3/9 15:01:26)

エロガキ♂13Al> はい、よろしくおねがいします！   (3/9 15:01:47)

一般女性> 10d3+10 → (1 + 2 + 3 + 3 + 3 + 1 + 2 + 1 + 3 + 3) + 10 = 32  (3/9 15:01:53)

一般女性> 33分ぐらいですね   (3/9 15:02:05)

エロガキ♂13Al> そうですねー。さて、どうしよっか！   (3/9 15:02:36)

一般女性> そ、それじゃ…口開けてくださいッ…(恥ずかしがりながらも指示をし)   (3/9 15:02:57)

エロガキ♂13Al> 口？　あーん……（きょとんとしながらあーん、と口を開ける）   (3/9 15:03:28)

一般女性> 舌…入れますねっ//…(少ししゃがんで高さが同じぐらいになるとそのまま顔を近づけ唇同士を合わせ舌を入れる)   (3/9 15:04:49)

エロガキ♂13Al> んわっ……んーっ♥（少し突き出した女性の舌が入ってくると驚くけど……ぴちゃぴちゃ♥と口の中で舌を擦り合わせて。舌の形まで確かめようとするように絡めていく）   (3/9 15:05:54)

一般女性> っんん//…んちゅ//…(互いの舌を口の中で絡め合わせる。そして両手を相手の背中に回して抱きついて)   (3/9 15:07:41)

エロガキ♂13Al> んふ……んっちゅ……♥（唾液の音を立てながら舌を絡めて。女性の体に手を回して抱き返して……いいとも言われてないのに、背中から腰、お尻の方に手を滑らせてなでなで……♥）   (3/9 15:08:37)

一般女性> っんあ//…はぁ//…はぁ//…(そして相手も手を回してきて抱きついてきて、そして背中からお尻にかけ滑らせるみたいに撫で回されつい声が出てしまう)   (3/9 15:10:06)

エロガキ♂13Al> んっ……っふぅ♥　んちゅ、ちゅ……れる♡（愉しそうに息をついて口の中を舐め回して、たっぷり味わってから……ちゅぱっ♥　と唇離して）お姉さんのやりたい罰はベロチューだけ？（イタズラっぽく見上げながら、お尻の肉付きを楽しむようにむにゅ、むにぃ……♥）
  (3/9 15:14:19)

一般女性> あぁっ//…わ、私が勝ったんですからねっ//(唇が離れるとお尻を厭らしく揉まれてしまい)…ち、そのっ…あれを…(思い付くが恥ずかしくて言えず)   (3/9 15:16:02)

エロガキ♂13Al> あれって、何かなー？　……お姉さんは舐めるのが好き？（囁きつつも、頭に手を添えて……女性の頭の位置を下げさせようと。ズボンの前はびきっ♥　と膨らんでて、男の子のにおいを漂わせていて……）   (3/9 15:17:30)

一般女性> っ//…ち、ちんち//…チンチン出してよっ///(頭に手を添えられ少し下げられると顔の前で相手のズボンが膨らんで、雄臭い匂いを漂わせて。思わず言ってしまう)   (3/9 15:19:09)

エロガキ♂13Al> ふふー……もちろんっ♥（しゃがませちゃって、顔の高さと腰の高さを合わせて……自分のパンツを下ろすと、びんっ♥　と飛び出す勃起♥　近さによっては、飛び出す勢いでほっぺにぶつかってしまうかも。仮性包茎のものは先っぽが少し除いていて、赤い亀頭からはむわっと男の子の濃いにおいが湯気が立ちそうなほどに立ちのぼって）
  (3/9 15:20:49)

一般女性> っうぅ//…はぁはぁ//…(頭が相手の腰の高さに会わせられると、目の前でパンツを下ろして大きく反りたったのが飛び出る。やや皮が剥けそうでさらに匂いも濃くなっておりスンスンと鼻で嗅いでしまう)な、舐めますからねっ///…(そう言って思いっきり竿に咥えついて)
  (3/9 15:24:20)

エロガキ♂13Al> うん、どうぞ♥　罰だし、何でもさせられるんだから……お姉さんはおちんちん舐めたかったってことだよね……はううっ♥（上から見下ろしながら髪をなでなで♥　して。思った以上に勢いよく咥えてくるのにびく！　っと身を反らす。どろっと先走りをにじませれば、独特のにおいと味をお口の中に広げていって）
  (3/9 15:27:40)

一般女性> ッンジュルルッ///…じゅぷるっ///(独特的で濃い匂いと味が口一杯に広がり、少し頭を撫でられるもジュブジュブと頭を交互に降り続け吸い続ける)   (3/9 15:29:43)

エロガキ♂13Al> お、おおっ……♥　っふ、う♥　すごい吸いつき……はあ、くんっ♥　そんなにおちんちんしゃぶるの好きだったら……こっちも、たっぷりあげる♥（激しい吸いつきに腰をびくん、びくん！　と腰を跳ねさせて。しゃぶりつく動きに応えて、腰を浮かせて……頭を押さえて逃げられないようにして……）イく……っ♥（びゅるるるるっ！　激しい噴出を口の中に。青臭い濃いにおいとどろどろの食感。口の中にべっとり吐き出していく……）
  (3/9 15:31:43)

一般女性> っんんぐぅ//…ンンふぅぅっっ！！////(するといきなり頭を押さえつけられ口の中にたくさん出されてしまう。青臭く濃くてドロッとした食感が口中に広がっていき)ん"ぁ"///…ウグッ///…ゴクッ(なんとか引き抜くも今にも吹き出しそうなのでそのまま飲み込んで)
  (3/9 15:34:44)

エロガキ♂13Al> っふ……ぅ、はあ……っ♥（たっぷり出して……口を離されるとびゅる♥　と最後のほうは顔に浴びせてしまって。はー、と息をつく）ちょうど時間だ。……お姉さんのお口に召したかなー♥   (3/9 15:35:35)

一般女性> はぁはぁ//…う、うん///…(抜いた時顔にもかかったが手で拭る。口の中はまだ青臭い匂いが漂っており)…へぁ//…部屋行きます？///   (3/9 15:38:00)

エロガキ♂13Al> んふー……♥　お姉さんが収まらないなら行こっか。（ティッシュで拭ってあげながらも、びん、びんっ♥　と跳ねてるものは収まらずに）アフター部屋でいいのかな？   (3/9 15:39:02)

一般女性> …ま、待ち合わせに作ってもらえれば幸いですッ///…(さっきのフェラで股を湿らしてて)   (3/9 15:39:57)

エロガキ♂13Al> それじゃあ、待ち合わせで……とりあえず公開で作ったけど、非公開の方がよければ切り替えるね。　あっちで入室見たらこっちは出まーす。   (3/9 15:40:52)

一般女性> 私もそちらに向かいますねっ//…   (3/9 15:41:44)

おしらせ> 一般女性さんが退室しました。  (3/9 15:41:57)

おしらせ> エロガキ♂13Alさんが退室しました。  (3/9 15:41:59)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/9 15:53:08)

エロガキ♂19b ◆> まーけーたー！！！   (3/9 15:53:15)

おしらせ> ククルさんが入室しました♪  (3/9 15:53:21)

ククル> かったー！！（うれしそう）   (3/9 15:53:44)

ククル> 10d3+10 → (3 + 1 + 3 + 3 + 2 + 1 + 2 + 3 + 2 + 3) + 10 = 33  (3/9 15:54:01)

