/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年03月25日 00時27分 ～ 2025年03月30日 22時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/25 00:27:43)
ククル> 10d3+10 → (3 + 1 + 2 + 1 + 1 + 3 + 1 + 1 + 2 + 3) + 10 = 28  (3/26 21:37:06)

ククル> 22時5分まで！   (3/26 21:37:29)

エロガキ♂13Al> 時間を決めてから内容を考えはじめるとあっという間に時間がなくなる……かもしれないっ   (3/26 21:38:41)

ククル> お品書きの中で実際に受けた罰ってある？   (3/26 21:38:53)

エロガキ♂13Al> ないっ！　と思う！　ほとんど頼ってるの見たことないかも   (3/26 21:39:26)

ククル> 正直、変な人を蹴飛ばす勢いだけで入っちゃったから   (3/26 21:40:24)

エロガキ♂13Al> こっちは無視するだけのつもりだったから気にしてくれなくてよかったのに……でもありがとうね（なでなで……お尻を）   (3/26 21:41:06)

ククル> なんか攻守逆転してる！？（びくっ）   (3/26 21:41:55)

エロガキ♂13Al> こうしてる間に考えてもらうってことで♥（びくついてる間にお尻に手を這わせて脚の間に中指伸ばすよーにすりすり♥）   (3/26 21:42:53)

ククル> あ、そういえば次に勝ったらやろうとしてた事あったの思い出したよ（ぽんと手を叩きつつ、触ってくる手はぺしっと）   (3/26 21:43:54)

エロガキ♂13Al> そういえばその話してた！（たたき落とされて伏せる）   (3/26 21:44:49)

ククル> 思い出したんだけど、この流れだとお仕置き優先かな（ちょっと威圧感を出してみる）   (3/26 21:45:45)

エロガキ♂13Al> うぐ……お仕置きされるようなことは何もしていないはず……！   (3/26 21:46:14)

ククル> 負けたのにセクハラはお仕置きに値すると思うよ！   (3/26 21:47:29)

エロガキ♂13Al> 迷ってるようだから助けになりたいという純粋な思いなんです！   (3/26 21:48:00)

ククル> どさくさ紛れにエッチなことしたかっただけだと思いますー（何か飲み物を用意してる）   (3/26 21:49:03)

エロガキ♂13Al> どさくさ紛れにエッチなことはしたい。（正座）   (3/26 21:49:20)

ククル> せっかくだから、お品書きの中にあった「餃子サイダー一気飲みの刑」に処したいと思います！   (3/26 21:50:49)

エロガキ♂13Al> い、嫌……！   (3/26 21:51:35)

ククル> いいリアクションを期待したいところだけど（持ってるだけで飲まなくても独特の匂いがしそう…実物は知りませんけどね！）   (3/26 21:52:28)

エロガキ♂13Al> う゛ぉえっ……コップの全面から嫌なのに甥がする……！   (3/26 21:53:11)

ククル> なんか本気で嫌がってるっぽいし（さすがに色々まずそうなので撤収）飲ませるまでもなく罰として成立しちゃう威力だねれ   (3/26 21:54:21)

ククル> 大丈夫かなー？（背中さすり）   (3/26 21:57:10)

エロガキ♂13Al> ぐすっ……もう二度と甘えてる振りしてお尻にちんちん擦りつけたりしません……（崩れおちて涙をこぼす）   (3/26 21:57:54)

ククル> そんなことしてたんだ？（ほっぺたをむにーっと引っ張る）   (3/26 21:59:27)

エロガキ♂13Al> むぎぎぎ……チャンスがあるとつい……動物的本能で……！   (3/26 22:00:18)

ククル> わたしならともかく、大人しい子につけ込んだりしたら、今度こそ餃子サイダーの刑を完遂しちゃうよ？（むにむに）   (3/26 22:02:34)

エロガキ♂13Al> そ、それだけは……むぎゅうー。（頬を引っぱられて＞＜の顔）   (3/26 22:03:45)

ククル> 急にかわいい顔するのはずるいと思う！！   (3/26 22:04:18)

エロガキ♂13Al> ククルお姉ちゃんのほうがかわいいよ！（そういう話じゃない）   (3/26 22:04:40)

ククル> かわいいの基準が違うよ！？   (3/26 22:05:14)

エロガキ♂13Al> かわいいにも2種類……！   (3/26 22:05:31)

ククル> と、時間だね（制裁解除）   (3/26 22:06:12)

エロガキ♂13Al> はい……（正座）   (3/26 22:06:44)

ククル> まあ今日はかなりイレギュラーだったので（こほん）次に戦うときまでキャリーオーバー…的な？   (3/26 22:09:13)

エロガキ♂13Al> わかったー……次は思いついたというお仕置きをしてもらおう！　じゃなかった、次は勝つ！   (3/26 22:09:45)

ククル> 次も勝つもーん、じゃあね！   (3/26 22:10:16)

おしらせ> ククルさんが退室しました。  (3/26 22:10:20)

エロガキ♂13Al> 次はがんばる！   (3/26 22:10:50)

おしらせ> エロガキ♂13Alさんが退室しました。  (3/26 22:10:51)

おしらせ> 樋口円香さんが入室しました♪  (3/26 22:23:22)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (3/26 22:23:28)

エロガキ♂14C ◆> むぅ、とりあえず時間決めから振ってー。   (3/26 22:24:17)

樋口円香> 10d3+10 → (3 + 3 + 1 + 1 + 1 + 2 + 2 + 1 + 3 + 3) + 10 = 30  (3/26 22:24:31)

樋口円香> 54分までね   (3/26 22:24:39)

エロガキ♂14C ◆> だね。あと、今日も延長はできそーにないからその心算でお願いねー？   (3/26 22:25:35)

樋口円香> この前の続きでもしてもらおうかな。時間通りに切り上げる感じでいいよ   (3/26 22:26:04)

エロガキ♂14C ◆> この前の続き……ってくっつくやつ？（きょとん、としつつも以前のように歩み寄り、抱き着いては胸元に顔を押し付け。生温かな吐息を服の布地を通して吹き掛けるようにしつつ、気持ち脱力気味にもたれかかって。）   (3/26 22:28:16)

樋口円香> そんな感じ……まったく同じじゃなくてもいいから。いつか勝てるんじゃない（もたれ掛かる14Cを支えると身体が全体的に密着する。軽く抱くようにして甘えさせる）敗けてばっかりだと悔しい？（感情の伴わない声、なんとなく気にしているのか問うてみる。その間も胸元の感触を伝えて）
  (3/26 22:31:38)

エロガキ♂14C
◆> ん……罰ゲームなのに意地悪はしないんだね。嬉しいけど不思議な気分だよ。（もたれ掛かった身体を受け止められ、緩く抱き寄せられると密着して心地よい温もりが伝わってきて。甘える、という立場から手は出さずに胸元へ緩やかに頰を擦り付けては、頭上からの問いかける声に目元を微かに覗かせて。）勿論悔しいよ。したい事だってあるのに、出来ないんだもん。僕だってえっちなことは好きだから、おっぱい吸ったり挟んでもらったりとか……。
  (3/26 22:35:08)

樋口円香> なに、意地悪して欲しいのそれならそれでいいけど（身体を貸して甘やかすのだけど不意打ちで揶揄ってみせる、擽ったそうにしつつ）ふ～ん、年相応におっぱい好きなんだ（服越しではあるが乳房を押し付けて、背中に手を回すと指でつ～っとなぞっていく。指文字で「スケベ」って書いていく）それじゃ、今度は勝たないとね（文字をっかいながら指の先でコショコショって背中をくすぐっていく）
  (3/26 22:40:25)

エロガキ♂14C
◆> そ、そーいうわけじゃなくってね！？単に、僕負けてるのに甘えさせてもらえてるから少し申し訳なくなるよーな気がするだけで……。（不意に告げられた言葉には言葉尻を濁しながらも、この状況そのものは喜ばしいのだと素直に告げて。顔により押し付けられる胸の膨らみの柔らかさに顔が埋もれるのを感じつつ、背中に滑る指先の描く文字を理解すると少し身を縮こませ。）おっぱい好きだよ、大好き。だから、本当に勝ちたくて仕方ないもん。ここ暫く負け続きだけど、さ。
  (3/26 22:44:03)

樋口円香> 罰ゲームっていうけど、勝った方の言うこと聞いているんだからいいんじゃない。それとも、もっと罰ぽいことシテ欲しかった？（しどろもどろになっている姿に気のせいか少しニヤニヤして、手を股間へと忍ばせると今度は背中にした様に指先で股間を撫でていく。まずは指でつ～っとなぞり上げ、それから掌で包み込む様にさわさわっと擽っていく。しなやかな掌と指先がすぅぅっと張り巡る様に触れていくとこそばゆい感触で弄んだ）
  (3/26 22:48:11)

エロガキ♂14C
◆> ぅー……罰は罰でも、搾られちゃうようなのは好きかも、だけど……。（下半身へと伸びてきた円香おねーさんの指先、ズボン越しに撫でられると小さく身体を震わせて。残り僅かしかない時間になってから弄ぼうとする円香おねーさんを胸元から微かに覗かせた目で見上げて。）……円香おねーさんの、いじわる。（ぼそり、と漏らした声。続けて漏れ出そうになる声を抑えるようにより強く布地越しの乳房に顔を埋め、代わりに熱く湿った吐息を漏らし。）
  (3/26 22:51:55)

樋口円香> じゃ、今度は搾り取ってあげる（もう片方の手で顔を埋める様に抑え込んで、カリカリと指の先端で掻いてみたり、竿の部分を指で摘まんで上下して反応を確かめていく）あっ……時間切れ、これじゃ生殺しだね。続きはまた今度ね   (3/26 22:55:14)

エロガキ♂14C
◆> く、ぅ……ぁ……（加速する下半身のソレを弄ぶ指先に全身の熱と溢れ出すような快感に身悶えが止まらず、遂には声を抑えきれず。そうした矢先にすっと動きを止めて胸元から解放されては、熱で赤味を増した顔で悔しさと焦ったさで複雑な面持ち浮かべ。）……今度こそ勝つもん。それじゃあまたね、おやすみなさい。円香おねーさん。
  (3/26 22:57:34)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (3/26 22:57:41)

樋口円香> おやすみ   (3/26 22:57:50)

おしらせ> 樋口円香さんが退室しました。  (3/26 22:58:01)

おしらせ> エロガキ♂13Alさんが入室しました♪  (3/27 19:41:18)

エロガキ♂13Al> こんばんはこんばんは！　なんかすごい風だ……   (3/27 19:41:35)

エロガキ♂13Al> ……あ、こっちじゃない！（遅い）   (3/27 19:54:48)

おしらせ> エロガキ♂13Alさんが退室しました。  (3/27 19:54:49)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (3/27 22:26:32)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (3/27 22:26:39)

十六夜咲夜 ◆> 来るのも久々ですけど、久々に負けた気がしますわねえ…   (3/27 22:27:01)

おしらせ> フランドール・Sさんが入室しました♪  (3/27 22:27:03)

フランドール・S> いいじゃん♪　そういう時もあって♪（ピンクと白エプロンのメイド服姿   (3/27 22:27:33)

エロガキ♂14C ◆> とりあえず時間決めのサイコロ振るねー。   (3/27 22:27:50)

エロガキ♂14C ◆> 10d3+10 → (3 + 1 + 2 + 3 + 1 + 2 + 1 + 1 + 1 + 2) + 10 = 27  (3/27 22:28:05)

十六夜咲夜 ◆> 55分までかしらね   (3/27 22:28:18)

エロガキ♂14C ◆> 55分まで。……さて、どーしよーかなー？まさか2人に勝つとは思わなくて、一気にプランが頭の中から吹き飛んじゃって。（うーん、と頭抱えつつ暫く悩んでからちらり、と咲夜おねーさんを見遣り。）……あの女の子見て、さっき鼻血出してたよね？  
(3/27 22:29:20)

十六夜咲夜 ◆> ハ、ハテナンノコトヤラ…(バレバレ)   (3/27 22:29:55)

フランドール・S> にゃん？（さりげなく、猫耳と鈴首輪しっぽの猫メイドで猫ポーズ   (3/27 22:30:22)

エロガキ♂14C
◆> 僕2人同時に相手出来るほど器用じゃないし、咲夜おねーさんはお嬢様って呼ぶってことはあの子に頭が上がらない立場みたいだから……よし、決めたっ。（適当な椅子に腰掛けつつ、2人を見遣るとにやりと笑み浮かべ。）罰ゲーム時間の間は2人の立場を逆転！っていうのはどうかな？勿論咲夜おねーさんはちゃーんとご主人様らしく、あの子に御奉仕させてね？
  (3/27 22:32:20)

十六夜咲夜 ◆> なっ…えっ？？(立場で困惑…そもそもさせたことがなくてうまくできるかしらと)   (3/27 22:34:13)

フランドール・S> ・・・はぁ～（なんとなく察したので）・・・お嬢様♡私のパンツはいかが？（スカートぺろっとめくり真っ白パンツ見せる   (3/27 22:35:54)

十六夜咲夜 ◆> わっ！？か、かなりノリノリですわね…ええと…そのまま見ていればいいのかしら…(思考停止)   (3/27 22:37:16)

エロガキ♂14C
◆> 僕は2人があれこれしてるのを眺めながら時々ちょっかいだけ出させてもらおうかなー？ってほら、言ってる先からなんかしてるよ？（お嬢様にしては随分と堂々と見せるんだなあ、なんて感想抱きつつ困惑したままの咲夜おねーさんをじろっと見つめ）ほーら、それだけじゃ罰ゲームにならないでしょー？見るだけじゃなくて触ったりしなくちゃ！
  (3/27 22:38:05)

フランドール・S> んも～鈍いな～。普段したかった事させたかった事はなに？ない？（腰にてをあてぷんすか   (3/27 22:38:10)

十六夜咲夜 ◆> そんな滅相な…ええと、抱きつかせていただくとか…(妹様からしたら期待外れかも…)   (3/27 22:39:57)

フランドール・S> しかたない・・・咲夜の「理性」を破壊するか。（じとっ、両手胸の前で組んでパキポキポキと関節鳴らす   (3/27 22:41:21)

十六夜咲夜 ◆> むしろ妹様からしていただいても…など   (3/27 22:42:43)

フランドール・S> それじゃ～いつもと変わんないよ～（ぶーぶー   (3/27 22:43:42)

十六夜咲夜 ◆> (あーうまくいかないもうー…期待に沿えないですいませんほんと)   (3/27 22:43:56)

フランドール・S> はぁ・・・奥の手その２   (3/27 22:44:04)

エロガキ♂14C
◆> ……咲夜おねーさんはどう足掻いてもご主人様ぶれないみたいだから、何かしてあげてほしいなー。（いつまで経っても尻込みしている感の否めない様子に少し頰膨らませつつも、仕方ないかと溜息吐いて。）こればっかりは僕の読み違いだったかなー、仕方ないや。  
(3/27 22:45:04)

フランドール・S> Cくんのしたいこと、させたいこと咲夜に伝えて。で、咲夜が私に命令する。（頭ぽりぽり   (3/27 22:46:02)

エロガキ♂14C ◆> そうは言っても残り10分もないから出来ることなんて限られてるしなー。……じゃあ、咲夜おねーさんは僕のことぎゅーってして。で、君は咲夜おねーさんにぎゅーってする。これでいいかな？   (3/27 22:47:44)

十六夜咲夜 ◆> はぅ…すいません…考えすぎてもどうもならないですわね…(むぎゅ…と)   (3/27 22:48:26)

フランドール・S> 咲夜って「奉仕する」のは完璧なんだけど・・・いざ、する側になると興奮しすぎちゃうのかなぁ～？（むぎゅっ   (3/27 22:49:05)

十六夜咲夜 ◆> 勝ったら最近流行りの「これだからね？」ってやってみようとか考えてたんですけどねぇ…(胸好きでしょ、と言わんばかりに)   (3/27 22:49:45)

十六夜咲夜 ◆> ま、まあ…どうしても考えてしまいますわね…   (3/27 22:50:15)

エロガキ♂14C ◆> んっ……咲夜おねーさんにぎゅーってされるの、久しぶりだなあ。……それ、すごく魅力的なんだけど？（咲夜おねーさんに抱きつかれつつ、告げられた言葉には上目にじっと見つめ。）でもそれ、次やったら……ってのが大切な気もする！   (3/27
22:50:49)

フランドール・S> しかたない・・・じゃ、頑張った咲夜にご褒美ね。（服脱いでブラ外し生胸、胸の谷間へ咲夜の顔押し付け   (3/27 22:51:22)

十六夜咲夜 ◆> あら？じゃあ次負けたら…まじでこれ、しちゃおうかしら？なんてね。(からかうように)   (3/27 22:51:56)

十六夜咲夜 ◆> ふぇ？妹様、ちょっとその感触は…   (3/27 22:52:13)

十六夜咲夜 ◆> っっ！！？(読んでなかった、後ろから来てるように見てました)   (3/27 22:52:59)

エロガキ♂14C ◆> ……勝っても負けても、の間違いだったりしないかな？……って、どういう構図なんだろ。（咲夜おねーさんの胸元に顔埋めて、見えてないので状況までは掴めずに。）   (3/27 22:53:44)

エロガキ♂14C ◆> さて、時間切れー。   (3/27 22:54:17)

十六夜咲夜 ◆> (なかなかカオスな構図だと思います、はい…)   (3/27 22:54:34)

十六夜咲夜 ◆> はぁ、ぷはぁ…うまくできなかったのはすいませんでした…   (3/27 22:56:46)

エロガキ♂14C ◆> さて、それじゃあ解散かな。お疲れ様でしたー。   (3/27 22:58:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (3/27 22:58:41)

十六夜咲夜 ◆> またお願いしますわね…   (3/27 22:59:14)

フランドール・S> おつかれさん   (3/27 22:59:17)

十六夜咲夜 ◆> 妹様も…お先に失礼します…   (3/27 22:59:30)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (3/27 22:59:33)

フランドール・S> あらら   (3/27 22:59:38)

おしらせ> フランドール・Sさんが退室しました。  (3/27 22:59:49)

おしらせ> フランドール・Sさんが入室しました♪  (3/27 23:01:14)

フランドール・S> 間違えた   (3/27 23:01:25)

おしらせ> フランドール・Sさんが退室しました。  (3/27 23:01:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (3/29 09:59:19)

おしらせ> 樋口円香さんが入室しました♪  (3/29 09:59:37)

エロガキ♂14C ◆> まずは時間決めからだよ、っと。   (3/29 09:59:52)

エロガキ♂14C ◆> 10d3+10 → (3 + 3 + 1 + 3 + 1 + 3 + 2 + 3 + 3 + 1) + 10 = 33  (3/29 10:00:02)

樋口円香> 勝つのは2度目だね、今度は何をするつもり？   (3/29 10:00:54)

エロガキ♂14C
◆> 33分まで！……さーてと、円香おねーさんはこの前僕に次は搾り取る、なんて言ってなかったっけ？（最早いつものことと言わんばかりに円香おねーさんに抱き着き、胸元に顔を押し付けつつも同時にズボンのジッパーを下ろし始め。）今日はねー。円香おねーさんのおっぱい吸わせてもらって、その間おちんちんを気持ちよくしてもらおっかなっ？
  (3/29 10:02:04)

樋口円香> 1回目はお手柔らかにしてくれたけど、そういうの好きなんだ、ふ～ん（表情が硬いのか冷ややかな視線を送り14Cを見つめると、負けは負けと上着とブラを捲り上げてから、おちんちんへと手を伸ばしたまずは指で摘まんで柔らかい様であれば硬くなるように上下に動かしていく。そのまま指で輪っかを作ると竿に向けて掴んでカリ首の溝の段差を巻き込む様にして扱きだした）
  (3/29 10:06:39)

エロガキ♂14C
◆> えへへ、おっぱい大好きだって言ってたでしょ？……ってそんな顔しないでよ。（向けられる冷ややかな視線には眉根を顰めつつも、目の前で躊躇いなく服の上着、そしてブラまでもを捲り上げて露わになった円香おねーさんのおっぱいに視線は釘付け。そして、手早く晒し出したおちんちんをに指先が伸ばされて扱かれるとまだ固さすら帯びていなかったおちんちんが忽ち固く張り詰め始め。指先が上下に擦れるたびに小さく体を震わせながら、直のおっぱいに顔を押し付けては柔らかさを堪能し始め。）
  (3/29 10:10:56)

樋口円香> んっ……うっ、躊躇ないね。勝ったんだから当たり前か……んんっ（豊満とまでは言わないが形が整っていて弾力のある乳房で顔面を受け入れる。顔全体を覆ってしまって）こういうのも……年相応、なのかな（指の輪を動かしながら、皮を摘まむと一緒に巻き込んで扱きあげていく。根元に下ろす際には皮をぎゅっと張る様に一番下まで持っていく。更にもう片方の手は睾丸へと伸びると、こちらも球になっている部分を指で押す様に摘まんで揉んでいく。潰そうとはしないがやや強めに指の腹が押されていく）
  (3/29 10:15:31)

エロガキ♂14C
◆> じゃないと、すぐ時間切れになっちゃうからね……ぅ、んむっ……（顔に触れる柔らかなおっぱいの感触、暫く擦り付けたりした後に唇を胸先へと運び。緩く唇で挟み込んでは微かに水音を響かせるようにして吸い付き始め。）ふ、ぁっ……♡円香おねー、さん……♡（おちんちんを覆う包皮を巻き込んで扱き上げる動きに走る快感、震える身体に堪らず抑えきれない声が漏れ出て。袋を揉み込む行為に快感そのものはないものの、刺激を受けて奥底から段々と湧き上がるような感覚を覚え。既に先走りの汁が溢れ出ていて、指の扱き上げる動きをより潤滑にする手助けとなっており。）
  (3/29 10:20:20)

樋口円香> のんびり……して、いるとすぐに……時間切れになるしね……んっ、くぅ（吸われる感触の声を押し殺すが漏れ出してしまう、唇の刺激で乳房の先端が硬く突起してしまうとコリコリになって吸われて）うっ……汁が零れ始めた。感じてる……んくっ、もっと激しくしようか？おちんちん凄い事になってるね（睾丸を摘まんでいた手が移動すると、おちんちんの先端、尿道に指の腹を押し付けて零れ出る汁を円を描くように拡げていく、更にぐぐっと指で亀頭に向けて押し付けみ加えていく、輪っかから竿を握る様にして掴むと先張りの汁を塗り付けながらより激しく上下に扱きだす、強く握りしめた状態で根元から括れている部分にまで搾精するような手コキで絞っていく）
  (3/29 10:27:10)

エロガキ♂14C
◆> は、ぅ……んっ♡ぁ、円香おねーさ……んっ♡ぼく、ぼく……ひゃ、うっ♡（唇に含んだ胸先は徐々に硬さを帯び始め、より吸い付きやすく。中身を吸い出すかのように唇でしっかり圧を掛けながら吸い続け。おちんちんの先端、敏感なそこへと漏れ出た先走りを塗り広げるようにされると、強烈な刺激で腰が跳ねて。次第に押し寄せてくる限界に徐々に先端が張り詰めて今にも爆ぜそうなくらいに。上擦った声を漏らしながら与えられる快感についには耐えきれなくなり。）も、もー……で、るっ……♡（搾り出すような指先の動きに迎えた限界、一際大きな脈動と合わせておちんちんの先から勢いよく白濁が放たれて。）
  (3/29 10:31:17)

樋口円香> んっ……ううっ。でたね（乳房への吸い付きにこちらも何度か軽く絶頂してしまう、股間内で湿った感触に濡れたのだろうと感じた）若いからかな、すごい量。いっぱい出したね（射精後の過敏な竿に向って労わるように指で擽りを加えて撫でまわす。すりすりと濡れた部分の汁を拡げて白濁塗れになった指とおちんちんはすっかりびしょ濡れの状態に）時間だね……どうする？
  (3/29 10:36:46)

エロガキ♂14C
◆> ……ぁ、う……♡気持ち、よかったあ。（射精の余韻に浸りながらも柔らかなおっぱいに顔を預けたまま荒い呼吸を繰り返して。時間切れであることに気がつくと少し困ったような面持ちを浮かべ。）ぅ……本当はもっとしたいけど、少し用事片付けたりしないとなんだよね。……また、遊んで欲しいな？
  (3/29 10:38:22)

樋口円香> 気に入ってもらえた？顔を見ればわかるけど……じゃ、今度は時間ある時にもっと搾り取ってあげるから覚悟しておいて。近いうちに会えると良いね（変わらずに蔑んだ目で見つめているが口角は上がっていた）   (3/29 10:41:27)

エロガキ♂14C ◆> それじゃあまたね。お部屋ありがとうございましたーっ。   (3/29 10:41:48)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (3/29 10:41:51)

おしらせ> 樋口円香さんが退室しました。  (3/29 10:42:08)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/30 02:51:34)

おしらせ> 喜多川海夢さんが入室しました♪  (3/30 02:51:37)

喜多川海夢> うぇーいうぇーいっ♪   (3/30 02:51:53)

エロガキ♂19b ◆> 勝率が！勝率が芳しくないです！！...むぅ...ちなみにここ使うのははじめてー？   (3/30 02:52:09)

喜多川海夢> 結構久しぶりかも？まあなんとなく覚えてるから多分大丈夫ー   (3/30 02:53:20)

エロガキ♂19b ◆> なら説明は要らないねー！...時間を決めちゃってください！、   (3/30 02:53:46)

喜多川海夢> 10d3+20 → (3 + 3 + 1 + 2 + 3 + 1 + 2 + 3 + 1 + 1) + 20 = 40  (3/30 02:54:27)

喜多川海夢> あっ、+20じゃなくて10だね！失礼   (3/30 02:55:05)

エロガキ♂19b ◆> 増えてる！？30分ね！だから、、24分まで！   (3/30 02:55:08)

喜多川海夢> 久しぶりに来たら色々変わってるねー。あたしが知ってるルールだと女の子が勝ったときはちょっと時間短かった気がする   (3/30 02:55:37)

エロガキ♂19b ◆> プラスがなかったからね～、、平等になったのだ...それじゃあ、時間まで言うこと聞きます！(正座)   (3/30 02:56:20)

喜多川海夢> じゃあ罰だけど〜これやりたかったんだよね♡じゃーんっ、おそろコスっ（露出度の高い成人向けゲームの女の子の衣装を取り出し）   (3/30 02:58:49)

エロガキ♂19b ◆> お揃いで着せるものではない！？そういうのは女の子に着せるんじゃないの～？(女の子ようの衣装見てびっくりし)   (3/30 02:59:57)

喜多川海夢> そういう考えは古い古い！あたし的には〜男の子だって可愛くなってもいいと思うんですよ♪ ってことでハイ、邪魔だから脱ぐっ！（てきぱき服を脱がせて全裸に剥いてしまう）   (3/30 03:02:20)

エロガキ♂19b ◆> キャァァァ！(悪ふざけで少し叫んでみて)というか剥くの手慣れすぎてない！？びっくりなんですけど～！！(元々勝つつもりでいたためチンポは既に臨戦態勢♡フル勃起しており)   (3/30 03:03:50)

喜多川海夢> え、何ー？海夢ちゃんはバリバリピュアな清純系なんだから余計な疑いは止めて欲しいんですけどー。あっ♡こんなデッカくしちゃってもぅ〜。こんな見せパンで興奮するなんて欲求不満が過ぎるんじゃない？でも今回は負けちゃったからお預けでーす♪（手袋越しに亀頭をデコピンして）
  (3/30 03:07:20)

エロガキ♂19b
◆> ほんとにピュア～？...だとしたらそんな衣装はでてこないと思うなー！！....うっ！欲求不満というか、性欲は無限大というか...可愛い女の子を前にしたら勝手にこうなるんです！！普段からハメまくってる弊害なのかもしれないっ！！(デコピンされチンポをビクッ！と震わせて)それで...本当にこれを着るの～？...
  (3/30 03:09:53)

喜多川海夢> うわー、こんなんで感じてるとかヤバいじゃん。もしかしてドMなの？ そりゃモチロン着るでしょ〜。てか脚の毛あるとやっぱアレだなー。剃っちゃうね♪（剃刀と剃毛クリームを取り出して脚に塗っていく）チン毛も邪魔だな〜。剃っちゃっていいー？（やる気満々で）
  (3/30 03:11:36)

エロガキ♂19b ◆> ちーがーいーまーす！！生理現象です～！(ブーブー)...多分嫌って言っても剃るでしょー？もう好きにせいっ！！負けたものの宿命だぁ...(半分諦めて肩をがっくりと落とし)でもやるからにはきれいに剃ってよー？   (3/30
03:13:07)

喜多川海夢> 大丈夫大丈夫っ、レイヤーのムダ毛処理はマジだから。（脚の毛から始まり、VIOラインのデリケートゾーン、脇毛や腕の毛も容赦なく綺麗に処理していく）うーん、結構良いんじゃない？ほら、ツルツル敏感でしょー♡（完全に無防備になった太腿や脇を撫でて、乳首や首筋などの性感帯もついでに弄っていく）
  (3/30 03:17:03)

エロガキ♂19b ◆> ほんとに綺麗に剃ったね...;ひゃうっ！！...(撫でられ弱いとこを弄られれば我慢できずに声をだし全身をビクビクっと震わせ♡)むぅ...ピュアのピのじもないじゃん！！レイヤーさんだから仕方ないんだろうけどさー！！   (3/30
03:19:13)

喜多川海夢> あ〜、世のレイヤーさんがみんなそうみたいなことをー。偏見反対、反対でーす！（お仕置とばかりに乳首を痛気持ちいいくらいの力で抓る）てか話してたら時間押してる！ちゃちゃっと着てちゃちゃっと撮るねー（タイツと縞パンを履かせ、勃起したイチモツを無理やり仕舞う）
  (3/30 03:22:04)

エロガキ♂19b ◆> んんっーー！！んんっー！...これっ、キツッ！(乳首を弄られびっくりしたところに無理矢理履かせられ)少しはみ出ちゃってるけど大丈夫？...   (3/30 03:23:23)

喜多川海夢> 大丈夫大丈夫、はみ出てるのがフェチズムっていうの？なんかそういうのだから！（上着も着せウィッグも被せ）はーい、改造完了っ！結構似合ってるんじゃない？ じゃ、記念に1枚撮るね〜♡（2人でいい感じに映るように自撮り棒で器用に撮影）   (3/30
03:25:04)

エロガキ♂19b ◆> やっぱり海夢ちゃんはエッチだ....(撮影となればしっかりやらないと、とちゃんとした笑顔とポーズを決め)こんな感じかなー？   (3/30 03:26:31)

喜多川海夢> （完成した写真を見て）あー、いいよー。かわいー♪てかめちゃめちゃ勃起してスカート貫通してんじゃん、期待しすぎ〜♡ そういうのはちゃんと勝ってからだかんね！   (3/30 03:28:12)

エロガキ♂19b ◆> み、惨めすぎる...;そりゃあ...やりたかったんだもん！！...(むぅ、、と頬を膨らませ)その感じだと～続きはしない感じかなぁー？   (3/30 03:29:27)

喜多川海夢> うん、てか時間も時間だしね。また明日タイミングよかったら部屋にいくからそんときにでもよろーって感じかな！   (3/30 03:30:57)

エロガキ♂19b ◆> 確かにっ...なら予告しておこう～！次は勝つよー！！そして、、ぜーったいに種付けするからねー！！(ビシッ！と指を指し)   (3/30 03:31:51)

喜多川海夢> こわ〜。こりゃ次も負けられないわー。ま、楽しみにしておくね♡ じゃあおやすみなさーい！   (3/30 03:33:13)

エロガキ♂19b ◆> はーい！！おやすみ～！！   (3/30 03:33:24)

おしらせ> 喜多川海夢さんが退室しました。  (3/30 03:33:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/30 03:33:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/30 05:12:24)

おしらせ> エリナリーゼさんが入室しました♪  (3/30 05:12:29)

エリナリーゼ> そんなに急かさなくても私は逃げませんわよ♡   (3/30 05:12:52)

