/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月06日 23時20分 ～ 2024年11月09日 09時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂15M ◆> うっ……うぅ……(横になったまま涙して) こ、今度こそ…今度こそ、勝つからなぁ……！   (2024/11/6 23:20:15)
エロガキ♀15kb> もう、触っちゃいました……どうしても、ダメでしたか？（つつぅ♡と耳先から耳たぶまでを指でなぞりつつ、首筋、うなじにちゅぅ♡とキス）個人的には、正直サイコロ遊びで十分うれしかったので、負けて何かするでも……勝ってこうして一緒の部屋にいるだけでも良かったですし、胡桃さんやウメさんとも遊びたいしで……今は、満たされてる、といいますか♡（ハフハフっとうなじ吐息でくすぐりつつ、服越しに脇の辺りから下乳へ手を）
  (2024/11/8 13:51:38)

エロガキ♂19b
◆> いやいや、、小さいおっぱいも魅力的だよ～？貧乳はステータスだ！希少価値だ！ってね～。まぁ、、俺は足の方が好きだからこうして堪能させて貰ってるんだけどね～。あは！！いいねぇ...とってもいい、、更々してて触り心地もよくて思ってた以上にいいよぉ(太股を閉じて魅せられて、興奮し両手で足全体をまさぐっていってなれた手付きで靴を脱がせて)
  (2024/11/8 13:51:53)

花海佑芽> そ、そういう！？（自分ではなく相手のペースで脱がされる恥ずかしさをイメージしてしまって、まだカーディガンだけなのに早くも顔を真っ赤にして）ど、どうせならひと思いに、し、してくださいっ！   (2024/11/8 13:53:26)

胡桃
◆> 私よりもモンドの騎士さんとかがとてもいいんじゃない？(くす、)時間の間くらいは好きなようにしていいよー？私もここでは手を出さないし…(脚の肉付きに関しては自信もあるから、頬を赤らめつつも勝気な表情で口角あげてにまり顔。脚をまさぐる感覚がこそばゆいもので、少し笑っちゃいそうなのを堪えてれば普段から脱がしてるの？って首を傾げたくなる手つきで靴を脱がされ、白いソックスを晒せば両足をぷらぷらと揺らして遊んでみて、)
  (2024/11/8 13:55:05)

エロガキ♂14C
◆> だって、いっつもすぐに脱いじゃうからそれはそれで味気ないんだもん。僕、全部脱いでるより着た状態で乱れてるのかだーいすきだからっ♡（顔を真っ赤にして一思いに、なんて言ってる佑芽おねーさんを上目に見上げつつブラウスのボタンを一つ、二つ外したところで手を止めてから、露わになった谷間に鼻先挟み込むように顔を押し付け）
  (2024/11/8 13:55:23)

雪花ラミィ> どーしても、らめ……じゃあ、無いけど、…♥ラミィ、みみ、弱いんやってぇ…♥（なぞられると首を上に据わらせて、首筋のキスにも反応するみたいにぴくり。）……はーー…っ…！疲れた…！でもまだ全然終わりちゃうんよね…！（下乳もちょっとしんどいやろ多分。重いやろ。ってことで、軽ーく片手で持ち上げて挟んであげて）
  (2024/11/8 13:56:08)

エロガキ♀15kb> ラミィさん、普段はしゃべり役だから、なかなかこういうのできないですし……ちょっと貴重♡んふぅ（そう聞くと悪戯したくなっちゃうというか、耳たぶをカプッ、はむふむっ♡して）ん、ふぅ……重いどころか柔くて心地いいですよ。（ゆっくり、タプッタプンッ♡と上下に揺らすように持ち上げて、男性だとこれで虜になっちゃうわけですね～なんて）
  (2024/11/8 13:58:45)

エロガキ♂19b
◆> 胡桃ちゃんのがいいんだよ～、、ちょうどいい身長に..控えめなおっぱい、それでいて可愛い顔に綺麗な足...これほど完璧なのはなかなかないよ～？それにモンドにいったら...多分一生帰ってこない思うしね～(ソックスの上から足の指をニギニギと触り片手は太股辺りを撫で時々摘まんでみたりして)やっぱいい...思った通りすぎて興奮がヤバイ..一生触ってれる気がする！！
  (2024/11/8 13:58:54)

花海佑芽> だって、あとがすごく大変なんですよ！？（あくまでも服が傷まないようにと正当化を試みるものの、いちいち大声を出すから魂胆見え見えになってるかも）あ、待ってくださいっ（焦ってる分、胸の谷間もかなり汗をかいてそうで、それも恥ずかしいです！）  
(2024/11/8 13:59:22)

エロガキ♂14C
◆> それなら、今度からは罰ゲームに着てきても大丈夫な服装がいいんじゃないかなー？トレーニングウェアとかも透けてて僕は好きだよ……っ♡（罰ゲームの一環だから関係ない、とでも言わんばかりにブラウスの上からおっぱい緩く揉み触れつつ、また一つ、また一つボタンを外して。）……まーたないっ♡（微かに湿っぽさを帯びた谷間に、舌先伸ばして滑り込ませては軽く舐めるように這わせて。）
  (2024/11/8 14:01:46)

胡桃
◆> 褒められて悪い気はしないけど、胸に関してはさっきと言ってること変わってない？ん…少し触り方がやらし〜♪(足の指に関しては辛うじてマッサージみたいな感覚。でも靴脱いだばかりで、というのは流石に恥ずかしいような…。太腿撫でるついで感覚でお肉摘まれると、女の子にそういう事して辱めるの好きなの？って、頬張ってじぃーーって見詰めて、)
  (2024/11/8 14:01:56)

胡桃 ◆> (堂主は罰に使えそうなものを閃いた！)   (2024/11/8 14:02:28)

雪花ラミィ> 言うても意外と出てきたりしとるけど…っ、あゃあ、……♥ちょと、まっへ、…って、…♥（気を抜いた頃にまた意地悪されて、口をぱくぱくさせながら口撫に耐えて。）……はふー…。…ラミィのサイズやと、中々下着もキツいから…レオタードとノースリーブで乗り切ってるし、ノーブラではあるよいちおう…！（柔らかさと揺れの原因はコイツや！）
  (2024/11/8 14:03:36)

雪花ラミィ> （おっぱいとおっぱいと、足。胸囲格差社会）   (2024/11/8 14:04:00)

エロガキ♂14C ◆> （のーぶら、のーぶら。覚えましたし。）   (2024/11/8 14:04:11)

胡桃 ◆> (ラミィさんの何気ない発言が私を怒らせたけど、我慢した…！)   (2024/11/8 14:04:56)

エロガキ♂19b
◆> あっはは！！とっても可愛い表情♡俺はこういうの大好きだからねぇ～こうやって女の子を辱しめてどんな顔になるのか...それを楽しむのも一興なんだよ～...さて、、少しはこっちも触ってあげないとね♡(相変わらず足の指を触りながら太股から手を離して服越しに軽くオマンコをつついたり撫でたりしてみて)
  (2024/11/8 14:05:03)

花海佑芽> ううっ、だったら次からは体操着で来たほうがいいのかな（最近新調されたのを思い出しつつ、今となっては無いものねだりで）やっ、なんか、その舐め方、えっち、ですっ（すこし呼吸が荒くなって、恥ずかしさ、とはまた少し違う感覚がしてきます）  
(2024/11/8 14:05:12)

エロガキ♂19b ◆> (悪いな！足が好きすぎるんだ！)   (2024/11/8 14:06:01)

エロガキ♀15kb> ほほぉ、つまり（は、ふぅ♡と耳たぶに息を吹きかけてから、耳の裏に鼻筋を当ててスンスンする♡ラミィさんの匂い～♡っと、指先はタプタプと胸を上下させてから、服の上からムニムニと突起とか探せちゃいますかねぇ？なんて右手は突起探し、左手はやっぱり脇が出てる感じの、この腋の辺り指でいじるの好き♡）
  (2024/11/8 14:06:26)

エロガキ♂14C
◆> 体操服ー？それはそれで他のおにーさんたちには刺さるかも？僕的にはこのままが1番なんだけどなぁ……♡えへへ、もっとやっちゃおー……♡（谷間に限らず、ブラで覆われていない部分全体を舌で撫でるように舐め回しつつ、ブラウスのボタンを全て外してはだけさせて。さーて、何色かなー♪）
  (2024/11/8 14:07:28)

胡桃
◆> 知ってるけど…女の子のお肉摘むとか人によっては憤慨ものだよ？それこそアイドルとか…んっ…ちょ、いきなり触るんだね〜…？(太腿から離れた手が突然下半身の、特に敏感な箇所に向かってくるとびくって体跳ねて。まぁ、衣服の上からだし…少し恥ずかしい程度で、触られる感触は気持ちいいよりも擽ったい感覚で。)
  (2024/11/8 14:07:50)

雪花ラミィ> んぐ、っ…♥……ふっふ、ん…残念やったな…！ラミィは、アイドルなのさ…！（息を吹きかけられるとあいも変わらず身体をゆらすも、どこか誇らしげ。二枚重ねに加えて、ニップレスも付けてるからの探すのは困難！…あ、当たってはいるけども。）  
(2024/11/8 14:09:23)

雪花ラミィ> （胡桃様の本領は脚なのをラミィは知ってるのさ）   (2024/11/8 14:09:50)

胡桃 ◆> (今度ラミィさんにも私のお膝を貸してあげよう(チョロい。)   (2024/11/8 14:10:28)

エロガキ♂19b
◆> んー...まぁ、普段はやらないから！！こういうときにしか摘まんだりとかそういう機会はないからさ！特に胡桃ちゃんなんてひょっこり現れてすぐにどこかに行っちゃうしー？触れるときに触っておかないとね！(おマンコの割れ目辺りを親指で軽く撫で続けながら...足の指を1本づつ堪能するように触っていって)ここまでさわれるのはほんと今だけ！写真でも撮っておこうかな...
  (2024/11/8 14:11:29)

花海佑芽> ううっ、歯を立てたりとか強く吸ったりとか、跡が残るようなのは、いくら罰でもやめてくださいねっ！？（舐められるのはもう観念しつつ、白のブラジャーを拝まれるとつい目を背けて）こ、子供っぽくて悪かったですね！？（まだ何も言われてません）  
(2024/11/8 14:11:37)

エロガキ♀15kb> ほぉほぉ、見つけにくい、と♡（でも、ここが弱いのはよく分かったというか。耳の下からうなじ頬の後ろが何かを鼻を擦ってスンスンしつつ、指先は探るように爪でカリカリっとたぶんその付近と思しき辺りをコリコリしてみて、ここかな～ここかな～って重ね着の上からだと焦らし攻めみたいな？あ、脇はあんまりきかないのかな～って思いつt、擽る感じで指先で撫で）
  (2024/11/8 14:11:39)

エロガキ♀15kb> （胡桃さんは、下半身の女、ｋｂオボエタ）   (2024/11/8 14:12:05)

エロガキ♂19b ◆> (足ばっかり触ってたからとんでもない覚えられ方してる！？)   (2024/11/8 14:13:03)

胡桃
◆> 否定はしないけど〜…それならもっと刺激的なことをシてもよかったんだよ？(壁掛け時計ちらっと見て。あまり時間無いけど、触られてる内は少し擽ったさからむずむずするようなものに。挑発するような一言だけ投げかければ妖しく笑み作って、床についていた手を離せば両腕首に絡めて抱き着いて。時間もないからって、サービス程度に頬に口付け、)
  (2024/11/8 14:14:26)

胡桃 ◆> (kbちゃんは今度私と当たった時女の子なの分からせて、あげるから！！)   (2024/11/8 14:15:05)

エロガキ♂14C
◆> だいじょーぶ、僕は優しいから……♡でも、佑芽おねーさんが望んだら、その時は遠慮なくしちゃうから……っ♡（跡を残すのはそうそうないよ、そうそうは。一部残した気もするけど、って何処かに視線向けつつ。）そんなこと言ってないよー？大きいと探すの大変だって聞くけどねー？（舌を這わせたばかりの乳房に何度か繰り返しちゅっ、と唇押し当てては離してを繰り返しつつ、ブラ越しのおっぱい暫く揉みしだいて。）ん、そろそろ時間切れだね？すっごく乱れたえっちなかっこになっちゃってる……♡
  (2024/11/8 14:15:09)

エロガキ♂14C ◆> （じかんぎれだよー、と告知しておく）   (2024/11/8 14:15:25)

エロガキ♂19b ◆> おわぁ！！びっくりしたぁ....やっぱ油断しちゃだめだね、、時間切れだし最後に写真だけ～(胡桃ちゃんの足と全身をパシャり)   (2024/11/8 14:15:54)

エロガキ♀15kb> 時間ですね～　アタシは、逆にされる側でもおいしいので負けても一向にかまわないという強みがあるんですよ！（ででん   (2024/11/8 14:15:59)

雪花ラミィ> ラミィにくすぐりは、なっかなかきかんぞ……♥…っん♥…はー…いや、耳は対象外っス…。（脇は基本丸出しだから風のくすぐりで慣れてるヤツ。おっぱいが当てれたらどうか、正解はCMのあと！！）   (2024/11/8 14:16:10)

エロガキ♂14C ◆> （それにしてもおっぱいで量るか、脚で量るか。どっちにしても世間的に言えばきっとさいてーなんだろーな。）   (2024/11/8 14:16:42)

胡桃 ◆> (あ、ピースしてないから撮り直して。ぴーすぴーす、)   (2024/11/8 14:16:49)

エロガキ♂19b ◆> (ﾊﾟｼｬﾊﾟｼｬﾊﾟｼｬ)   (2024/11/8 14:17:15)

花海佑芽> い、意識しちゃいますから、やめてくださいっ（はだけた制服姿、はたから見てどうかはいやでもわかるので、恥ずかしすぎて、それだけで息が全然整わないです！）   (2024/11/8 14:17:29)

エロガキ♀15kb> さすがラミィさん、最後はうまく流すんですよね～（CMってどのタイミングで終わるんでしょうかね～♪）けど、久しぶりにこうして遊べるだけでアタシは満足です♪   (2024/11/8 14:17:43)

胡桃 ◆> さて！アフターする人は移動、しない人は再戦でもなんでも各自自由行動の時間だよー！   (2024/11/8 14:18:13)

エロガキ♂19b ◆> んんっーー、、思う存分堪能した～。しばらくは生きていける   (2024/11/8 14:18:14)

エロガキ♂14C ◆> 甘えるだけのつもりがついついいじめちゃった♡（こっそり佑芽おねーさんパシャリ）さて、それじゃこれにててっしゅー！お疲れ様でしたー！   (2024/11/8 14:18:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/8 14:18:37)

花海佑芽> （へなへな）   (2024/11/8 14:19:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/8 14:19:06)

胡桃 ◆> だ、大丈夫〜…？   (2024/11/8 14:19:26)

雪花ラミィ> ふー。久しぶりに耳にされて、きもちー！（どっちだよ）じゃあおつらみです〜〜⭐︎ ババイバイ！またねかーびーちゃん！みなのしゅー！   (2024/11/8 14:19:32)

胡桃 ◆> はーい！ラミィさんは…おつらみ〜☆   (2024/11/8 14:19:55)

エロガキ♀15kb> おつらみ～♡と　ウメさんは運びましょうか？   (2024/11/8 14:20:00)

おしらせ> 雪花ラミィさんが退室しました。  (2024/11/8 14:20:01)

胡桃 ◆> (kbちゃんの流れるようなホスト(？)ムーブが凄い…！)   (2024/11/8 14:20:32)

花海佑芽> だ、大丈夫なんですけど、膝がぷるぷるして（照れ笑いします）   (2024/11/8 14:20:54)

エロガキ♀15kb> はい、そういわず～こういう時はアタシのパワーが役に立ちますから？（って方を支えに入りますよ～   (2024/11/8 14:21:25)

エロガキ♀15kb> 女性にも好かれるムーブをしてこそ、メスガキはメスガキたりえるのです♪   (2024/11/8 14:22:03)

花海佑芽> （カービィさんも相手方のはずですけど安心しちゃいますね）じゃあ、お言葉に甘えちゃいます！   (2024/11/8 14:22:14)

胡桃 ◆> 本当に人を抱えて走れそうというか、実際走れるもんね〜…。(流石…堂主は驚愕した。)じゃあ私は行くから、あとはお願いね！   (2024/11/8 14:22:42)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/8 14:22:53)

エロガキ♀15kb> はい、ではひょいっとな♪（と、お姫様抱っことかで、お部屋を後に～ってそういえばどこまで運べばいいんでしょうかね？数キロ単位で余裕ですけど♪）   (2024/11/8 14:23:40)

花海佑芽> と、とりあえず更衣室のあるところまでお願いします！（ケガしたわけじゃないので落ち着いたら大丈夫です！）   (2024/11/8 14:25:01)

エロガキ♀15kb> 【では、またいずれ～ぜひ一緒に遊びましょう♪】   (2024/11/8 14:25:06)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/11/8 14:25:17)

花海佑芽> 【またよろしくお願いします！】   (2024/11/8 14:25:27)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/8 14:25:31)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/11/8 21:48:51)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/11/8 21:48:58)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/8 21:49:10)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/8 21:49:32)

エロガキ♂15M ◆> んにゃぁぁ……負けた……(床にごろん…しくしく…)   (2024/11/8 21:49:51)

常闇トワ ◆> これだけかな？   (2024/11/8 21:49:54)

花海佑芽> みたいです！   (2024/11/8 21:50:06)

エロガキ♀15kb> さて、それでは何をするか、もしくはどっちがどっちにするかが決めるようなら、決めたら言ってください。時間振りますので～   (2024/11/8 21:50:09)

エロガキ♂15M ◆> これで全員だね   (2024/11/8 21:50:10)

常闇トワ ◆> どうしようかな〜   (2024/11/8 21:51:00)

花海佑芽> トワさん優先ですけど、わたしはみんなでわいわいでも大歓迎です！   (2024/11/8 21:51:26)

常闇トワ ◆> じゃあみんなでワイワイしよっか   (2024/11/8 21:51:41)

花海佑芽> やったー！   (2024/11/8 21:52:00)

エロガキ♀15kb> では、何をするか決めちゃってください、出目が悪かったアタシが振りますので（えへんっ   (2024/11/8 21:52:05)

エロガキ♂15M ◆> わいわい……なにするんだろ？   (2024/11/8 21:52:18)

花海佑芽> （ここは上振れそう）   (2024/11/8 21:52:35)

常闇トワ ◆> キタちゃん前に使った薬あるの？   (2024/11/8 21:52:40)

エロガキ♂15M ◆> 期待してるよ、キt……kbちゃん！   (2024/11/8 21:52:46)

エロガキ♀15kb> ？　何のお話でしょうかね？（薬？）   (2024/11/8 21:52:57)

常闇トワ ◆> 2人で遊んだ時の薬   (2024/11/8 21:53:17)

エロガキ♀15kb> なんの話でしょうかね？   (2024/11/8 21:53:32)

エロガキ♂15M ◆> ……いやな予感…(kbちゃんを盾にして後ろに…)   (2024/11/8 21:53:35)

花海佑芽> （きょとん）   (2024/11/8 21:53:44)

常闇トワ ◆> まぁいっか〜   (2024/11/8 21:53:45)

エロガキ♂15M ◆> ほっ……(一安心)   (2024/11/8 21:54:11)

エロガキ♂15M ◆> ずっと立ち話もなんだし、もうサイコロ振っちゃう？   (2024/11/8 21:54:53)

エロガキ♀15kb> では   (2024/11/8 21:55:02)

エロガキ♀15kb> 10d3 → (3 + 2 + 2 + 2 + 3 + 2 + 1 + 1 + 2 + 3) = 21  (2024/11/8 21:55:06)

エロガキ♂15M ◆> ん〜、ふつう！   (2024/11/8 21:55:16)

常闇トワ ◆> 普通ぐらいだね   (2024/11/8 21:55:19)

エロガキ♀15kb> ＋１なので、上振れと言えば上振れ～程度ですね   (2024/11/8 21:55:33)

常闇トワ ◆> じゃあとりあえず15M君はこれつけて欲しいな〜(貞操帯を渡す)   (2024/11/8 21:56:34)

エロガキ♂15M ◆> だね〜あんま変わらにゃいけど   (2024/11/8 21:56:37)

花海佑芽> 罰ゲームのお品書きを見てきたんですけど、この二人だと何の罰にもなりませんでした！（女装）   (2024/11/8 21:57:16)

花海佑芽> じゃあ、kbさんに質問いいでしょうか！   (2024/11/8 21:57:46)

エロガキ♀15kb> はい～答えられる範囲でよろしければ！（ちょこんと、正座してなんなりと！）   (2024/11/8 21:58:07)

エロガキ♂15M ◆> ………にゃ？え、えぇ〜……(貞操帯渡されちゃって顔真っ青に) ば、罰だし……つけるけど…(スカートと下着を降ろして、少し苦戦しながら装着…！できちゃった…)……はい、これでいい？   (2024/11/8 21:58:29)

花海佑芽> 女の子相手の罰ってどんな事するんですか？（察しがつくようなつかないような）   (2024/11/8 21:58:55)

常闇トワ ◆> それでいいよ〜もっと可愛くなれるねw(貞操帯をツンツンする)   (2024/11/8 21:59:41)

エロガキ♀15kb> あ～あたしが～でいいのですかね？　主にはさっきラミィさんにさせてもらったみたいに触りたい場所を触らせてもらったり、レズプレイのあれこれの実験というか……アタシのプレイ幅の向上にご協力いただく感じ、ですかね。（割といろいろしますよ～って）
  (2024/11/8 22:00:03)

エロガキ♂15M ◆> ……ペニバンでも付けちゃえば…？>花海佑芽   (2024/11/8 22:00:03)

常闇トワ ◆> ねぇねぇ〜キタちゃん膝枕して〜   (2024/11/8 22:01:54)

エロガキ♂15M ◆> んっ…♡これ、気持ちわるいぃ……♡(つつかれておちんぽビクンッ！♡反応しちゃうけど、締め付けが強くて変な感じ…) うぅ…恥ずかしいよぉ…   (2024/11/8 22:02:04)

花海佑芽> Mさんはkbさんの代わりに正座してください！（ぷんぷん）   (2024/11/8 22:02:17)

エロガキ♂15M ◆> うっそ！？コレ付けたままで？！   (2024/11/8 22:02:35)

エロガキ♀15kb> もう、すっかりトワさんは、アタシをキタちゃん呼びですね。（いえ、隠すつもりもないですけどね。正座してるの、足を崩して女の子座りで）はい、どうぞ～   (2024/11/8 22:03:07)

エロガキ♂15M ◆> (でも命令だから正座するけど…ペニバンが邪魔…！) くっ……これなんの拷問だよ〜！(半泣きに…)   (2024/11/8 22:03:31)

花海佑芽> 組み合わせ交代ですね（合コン？）＞膝枕   (2024/11/8 22:03:58)

常闇トワ ◆> やった〜(うつ伏せで寝転ぶ)いい匂いだな〜   (2024/11/8 22:04:29)

エロガキ♂15M ◆> ボクも膝枕とかされたいにゃ〜……(羨ましそうに…)   (2024/11/8 22:05:08)

エロガキ♀15kb> そうですか？お風呂は、ちゃんと入ってますけど（結構毎日ハードトレーニングなんで汗っぽくないですかね？）   (2024/11/8 22:05:24)

花海佑芽> ちなみに、勝ってたらトワさんとわたしのどっちに罰するつもりだったんですか？　それとも両方？（Mさん）   (2024/11/8 22:05:55)

常闇トワ ◆> いい匂いだよ〜トワは好きだよ〜   (2024/11/8 22:06:14)

エロガキ♀15kb> あ、ちなみに女性同士での罰ということを聞かれましたけど……補足としては、女性同士というも、アタシはエロガキさんの補助役になることも多いですよ？　男性→女性←アタシという感じで、背後からプレイしやすくなるように～みたいな？（一応ウメさんに先程の回答の補足など）
  (2024/11/8 22:06:22)

エロガキ♀15kb> それならいいのですけど……まぁ、その汗臭くない、ならいいんですけどね（あ、あはは……大丈夫、大丈夫な、はず？）   (2024/11/8 22:06:56)

花海佑芽> なるほど、奥が深いです（ふんふんと頷きつつも、ちょっと顔が赤め）＞kbさん   (2024/11/8 22:07:40)

エロガキ♂15M ◆> ん〜……トワ様にも佑芽ちゃんにも過去に負けてるんだよねぇ……。イタズラしがいがありそうなのは佑芽ちゃんかな♪   (2024/11/8 22:07:58)

常闇トワ ◆> トワここに住みたい〜w(冗談を言う)   (2024/11/8 22:08:04)

花海佑芽> な、なにするつもりだったんですか（びくびく）＞しがいがある   (2024/11/8 22:09:21)

エロガキ♀15kb> ここって、罰ルームにですか？（いえ、いろんなプレイが見れますけど～？）   (2024/11/8 22:09:24)

エロガキ♀15kb> 奥が深いというか、業が深いというか……より楽しく、気持ちよく遊ぶための補助といいますか？（膝を抱えて、人間分娩台状態で、女性を揺すってエロガキさんのピストンを補助してみたり……まだありませんが、男性のタマタマ揉んで射精を増幅させたりとかもできますねぇ、なんて）
  (2024/11/8 22:10:48)

花海佑芽> （くらくら）   (2024/11/8 22:11:22)

常闇トワ ◆> じゃあ15M君のタマタマ揉んでるのみたいな〜(急に顔をあげて言う)   (2024/11/8 22:12:02)

エロガキ♂15M ◆> ん〜……序の口ならディルドの上でスクワットとか♪へばったら即挿入の我慢ゲーム♡あ、ボクのおちんちんの上でもいいし☆   (2024/11/8 22:12:10)

エロガキ♀15kb> Mさんの？まぁ、やったことなくはないですが、貞操帯ってその上から出来るタイプなんでしょうかね？あと、さすがに付けたままするのもしんどそう、ですけど？   (2024/11/8 22:13:02)

花海佑芽> す、スクワットだけじゃなくて筋トレ全般は得意分野ですよ！？（そういう問題じゃないと思います）   (2024/11/8 22:13:27)

エロガキ♂15M ◆> なっ、油断してたら呼ばれた！？って、貞操帯付けたままだとホントにキツイんだよ…？わかる？(涙目)   (2024/11/8 22:14:01)

エロガキ♂15M ◆> そーそー、得意分野なのは知ってるよ♪だからスクワットの途中でちょっかい掛けるの♫(手をﾜｷﾜｷ…ﾜｷﾜｷ…)   (2024/11/8 22:15:16)

エロガキ♀15kb> それと残り時間が無い、ですので……トワさんの希望とあらば、ここで追加1戦……トワさんvsアタシたちで1度だけサイコロを振るのはどうでしょう？　ウメさんも見たいなら、2対2で、アタシらが負けたら、多目的で玉揉みプレイを一回披露する、というのはどうでしょう？（もちろん、貞操帯は外して、ですよ？って
  (2024/11/8 22:15:51)

花海佑芽> ひ、ひどいです、いくら罰だからってそんなこと！（罰だからですよ）   (2024/11/8 22:16:17)

花海佑芽> 受けてたちますけど支援でもいいですか？   (2024/11/8 22:16:59)

エロガキ♂15M ◆> にゃ…！ボクの意見は…？   (2024/11/8 22:17:00)

エロガキ♀15kb> Mさんも、もちろん同意がなければなしで終わる話です♡時間外ですからね、ウメさんも参加せずなら、そもそもに振らないでOKですよ？   (2024/11/8 22:17:51)

エロガキ♂15M ◆> あ〜…よかった、流石にそうなるよね！ボクはちょっと離れるからパスでっ！   (2024/11/8 22:18:51)

花海佑芽> これが夜の部なんですね（ごくり）   (2024/11/8 22:19:18)

エロガキ♀15kb> だ、そうなので、残念ですが、トワさんの希望はまたいずれ、ということでよろしいですかね？（もう、時間オーバーです♪）   (2024/11/8 22:19:26)

常闇トワ ◆> そうだね   (2024/11/8 22:19:41)

エロガキ♀15kb> 夜の部というか……本領というか……？（お昼とかでも対戦カードがそろえばあり得ますよ～って   (2024/11/8 22:19:51)

花海佑芽> 支援って言いましたけど、あたしもパスでお願いします！（ほっ）   (2024/11/8 22:20:21)

エロガキ♂15M ◆> ごめんねぇ〜、んじゃボクはお先にドロンしちゃいます！   (2024/11/8 22:20:26)

花海佑芽> おつかれさまでした！   (2024/11/8 22:20:38)

エロガキ♂15M ◆> みんなありがと！おつかれさま〜♪   (2024/11/8 22:20:40)

常闇トワ ◆> 代表のタイマン勝負？   (2024/11/8 22:20:41)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/8 22:20:49)

エロガキ♀15kb> いえ、代表というか、受ける玉竿もいないのでは、追加戦、出来ないじゃないですか？   (2024/11/8 22:21:07)

常闇トワ ◆> そっか〜   (2024/11/8 22:21:23)

エロガキ♀15kb> と、言うわけですよ～では、今日はお相手ありがとうございました♪   (2024/11/8 22:21:49)

花海佑芽> あたしもこれで失礼しますね、おやすみなさい！（ぺこっ）   (2024/11/8 22:21:52)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/8 22:21:56)

常闇トワ ◆> おやすみだね〜   (2024/11/8 22:22:00)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/11/8 22:22:05)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/11/8 22:22:07)

おしらせ> セピア ◆Su57aCNa9wさんが入室しました♪  (2024/11/9 00:39:56)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/9 00:40:29)

エロガキ♂14C ◆> それじゃ時間決めからー、とりゃっ   (2024/11/9 00:40:40)

エロガキ♂14C ◆> 5d10 → (2 + 1 + 5 + 6 + 4) = 18  (2024/11/9 00:41:17)

エロガキ♂14C ◆> ちがうー   (2024/11/9 00:41:22)

エロガキ♂14C ◆> 10d3+10 → (2 + 2 + 3 + 1 + 2 + 3 + 1 + 2 + 3 + 3) + 10 = 32  (2024/11/9 00:41:27)

エロガキ♂14C ◆> 13分までだねっ。   (2024/11/9 00:41:47)

セピア ◆> ふふっ♪30分以上、私を独り占め出来ますねぇ～♡罰ゲームとして、な・ん・で・も♡して良いですからねぇ～♡(普段通りニコニコした表情で)   (2024/11/9 00:43:07)

エロガキ♂14C
◆> ……毎回思うけど、このおねーさん負けてもすごいノリノリだよね……！実は放置プレイとかの方が罰になったりしそう！（変わらぬ笑顔に少し苦笑浮かべつつ、身に纏ってるものをじーっと見つめて）……この服、色々ついてるけど外したらレオタードみたいになるんだっけ？（ロングクッションカバーみたいに、って少しメタに。）
  (2024/11/9 00:45:37)

セピア ◆> ……ご名答ですっ♪愛の教会のシスターとして、愛されるのも愛するのも大好きですからね♡(苦笑している表情もたいして気にならず、変わらずの笑顔で)ええ♪実はそうなんですよ～♪……脱がせてみますか？♡(目を開き、前かがみ気味に見下ろしながら)  
(2024/11/9 00:49:41)

エロガキ♂14C ◆> えっちなシスターさん、好きだけど色々ととーなんだろーね？（首傾げつつ、前屈みになって見せつけるように見下ろすセピアおねーさんのおっぱいを軽くつんつん、と突いて）そしたらねー？そのレオタードの状態になるまで脱いでっ？僕、見てるからっ♪  
(2024/11/9 00:54:36)

セピア
◆> んっ……♡(縦セーターの様な衣服で強調された胸をつつかれ、軽く喘いでしまえば)ふふっ、勿論ですよ～♡勝ったあなたのためなら、ねっ♡(ウインクをすれば、先ずは手袋から、見せつけるように脱ぎ始め♡スカート、そして上半身と……気づけばレオタードにフードを被った姿に♡)
  (2024/11/9 00:59:03)

エロガキ♂14C
