/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月11日 00時56分 ～ 2024年11月12日 23時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12Ω ◆> うし、てな訳で俺はサラダバー。寝るかは分からんが。   (2024/11/11 00:56:18)
胡桃.> 抜けれてなかった…   (2024/11/11 15:20:13)

おしらせ> 胡桃.さんが退室しました。  (2024/11/11 15:20:17)

エロガキ♀15kb> お、お疲れ様でーす   (2024/11/11 15:20:23)

レモン・アーヴィン> 私もそろそろ、用事あるんで、この辺でありがとうございました。   (2024/11/11 15:20:37)

おしらせ> レモン・アーヴィンさんが退室しました。  (2024/11/11 15:20:41)

エロガキ♂11T> フータオお姉さん…お疲れさま   (2024/11/11 15:20:52)

エロガキ♀15kb> はーい、お疲れ様でした～   (2024/11/11 15:20:57)

エロガキ♂11T> レモンお姉さん、ありがとう～   (2024/11/11 15:21:02)

エロガキ♂19b ◆> おっと...こっちも早い！？お疲れさま！！   (2024/11/11 15:21:03)

エロガキ♀15kb> お二人もお疲れ様でした♪   (2024/11/11 15:21:04)

エロガキ♀15kb> では、部屋を開けましょうか   (2024/11/11 15:21:22)

エロガキ♂11T> ではでは   (2024/11/11 15:21:34)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/11/11 15:21:35)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/11/11 15:21:36)

エロガキ♂19b ◆> 皆お疲れさま！お兄さんはすみかに帰ります...(ｼｭﾀﾀ)   (2024/11/11 15:21:38)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/11 15:21:40)

おしらせ> エロガキ♂15Rさんが入室しました♪  (2024/11/11 20:58:26)

おしらせ> グリムアロエ ◆Su57aCNa9wさんが入室しました♪  (2024/11/11 20:58:26)

エロガキ♂15R> …到着しましたっ…では、よろしくお願いしますね？グリムアロエさんっ♡(部屋に到着すると手を離して)   (2024/11/11 21:00:15)

グリムアロエ ◆> 丁寧だねぇ、お兄ちゃんっ……♡(ニコニコしつつ見上げて)   (2024/11/11 21:00:53)

エロガキ♂15R> っ…♡…時間決め、しますねっ…(裏の無さそうな笑顔を向けられるとドキッとしちゃう♡)   (2024/11/11 21:02:21)

エロガキ♂15R> 10d3+10 → (2 + 1 + 1 + 2 + 3 + 3 + 1 + 3 + 2 + 1) + 10 = 29  (2024/11/11 21:03:03)

エロガキ♂15R> 32分まで、ですねっ   (2024/11/11 21:03:36)

グリムアロエ ◆> 32分までねぇ……♡それじゃ、いっぱい愉しまないとね♡(彼のことをぎゅっと抱きしめながら♪)   (2024/11/11 21:05:32)

エロガキ♂15R> わ…//♡…あ、あの…//♡…ぼ、ぼくのコレ……おチンチン…手でして貰えますかっ？///♡…ちゅーもしたいですっ//♡(グリムアロエさんの背中に片手を、もう片手で器用にベルトを外して下をずり下げると、勃起させたおチンチンを反り返らせて♡)
  (2024/11/11 21:08:15)

グリムアロエ
◆> 手で良いんだぁ♡あたしの身体、自由に使っても良いんだよ～♡(ちらっ♡と胸元をまくってかすかな谷間を見せるが、彼の勃起おちんちんの前に……)まあ、お手々が一番気持ちいいもんね～？(わざとらしい笑顔を見せつつ、自分の手を見せびらかすように舐めて濡らす♪そして唾液でヌルヌルにした手でおちんちんを握り、しこしこ♡擦り上げ♡)……それにぃ、ちゅ～っ♡したいもんねぇ♡(彼の顔を見つめ、そっと目を閉じ……)
  (2024/11/11 21:12:16)

エロガキ♂15R> あ…//♡ひゃう…///♡♡(グリムアロエさんに唾液でヌルヌルの細い指でおチンチンを握られると、上擦った声を出しちゃう♡しこしこされると先端から透明なお汁も出しちゃって♡)…グリムアロエさん…きもちっ…いっ…ですっ//♡…ん、ちゅ…んっ…ちゅぷ…じゅるっ…//♡(おチンチンしこしこしてくれながらキス待ちするグリムアロエさんに襲い掛かる様に唇を塞いじゃうと、すぐに舌を入れて唾液を楽しみ始め♡)
  (2024/11/11 21:17:41)

グリムアロエ
◆> んむうっ……♡じゅっ♡じゅるっ……♡♡(入ってきた彼の舌を自分のそれとねっとり絡め合い、唾液を交換しつつ♡そして彼のモノは、先端から出てくるカウパーも絡め、全体をしゅこしゅこしゅこ♡♡と扱き上げながら♡)んっ……ぷはっ♡お兄ちゃんっ……♡気持ち、いいっ……？♡(息継ぎで口が離れれば、上目遣いで質問をするだろう。答えが聞ければまたキスするつもりで――)
  (2024/11/11 21:23:22)

エロガキ♂15R> ちゅ…//♡…あ…っ…き、気持ちっ…イイ…ですっ…//♡♡あっ…//♡♡…で、でちゃいそっ…っ…//…あっ…あっ……あ…っ…〜〜っ//♡♡♡(キスに集中していたが、唇が離れるとおチンチンにだけ快感が走っちゃって一気に余裕を失ってしまうと、上目遣いで見上げられるのも相まって興奮してしまって抗えずに精液発射してしまう♡)
  (2024/11/11 21:31:08)

グリムアロエ
◆> んもうっ♡時間経つの早すぎだよ～♡(ちらっと時計を見れば、もう終わるべき時間。口内で精液を受け止めようと、小さなお口をあ～ん♡と開き、亀頭を突き出した舌に乗せてあげて♡そのまま竿をぬるぬる♡擦って発射させれば、少なくとも大部分は飲み干せて♡)……ごちそうさまっ♪丁寧なお兄ちゃんの精液、おいし～いっ♡(ごっくん♡と飲み干して、ウインク♡)
  (2024/11/11 21:34:09)

エロガキ♂15R> ……あ…//♡…あ、ありがとうっ…グリムアロエ、さんっ…///♡(気持ち良く射精を終えて一息付くと、口で受け止めてくれたお礼言って♡)…ウインクっ…か、可愛いっ//♡   (2024/11/11 21:37:13)

グリムアロエ ◆> かわいいだなんて、うれしいなぁ～♡さてっ、そろそろ開けないといけないみたいだから……撤収てっしゅ～♡……また合ったらしよ～ね？♡   (2024/11/11 21:37:51)

グリムアロエ ◆> 【会ったら……】   (2024/11/11 21:38:01)

エロガキ♂15R> 【お相手ありがとうございましたっ！…またご一緒出来たらお願いしますっ！お疲れ様でしたっ！】   (2024/11/11 21:38:14)

グリムアロエ ◆> 【お疲れ様でしたっ！】   (2024/11/11 21:38:26)

おしらせ> グリムアロエ ◆Su57aCNa9wさんが退室しました。  (2024/11/11 21:38:27)

おしらせ> エロガキ♂15Rさんが退室しました。  (2024/11/11 21:38:33)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/11 21:39:16)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/11 21:39:30)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/11 21:39:45)

エロガキ♂14C ◆> とりあえず時間決め、と。   (2024/11/11 21:40:02)

エロガキ♂14C ◆> 10d3+10 → (3 + 3 + 3 + 1 + 3 + 2 + 3 + 3 + 1 + 3) + 10 = 35  (2024/11/11 21:40:09)

エロガキ♂11T> 長めになったね   (2024/11/11 21:40:27)

エロガキ♂14C ◆> （ここに来てうわぶれるのか……）   (2024/11/11 21:40:28)

花海佑芽> （くすん）   (2024/11/11 21:40:38)

エロガキ♂11T> (しっかりとね…お姉さん)   (2024/11/11 21:41:02)

エロガキ♂14C ◆> 15分まで。……だけど、2vs1だったしあまり手荒にはしたくないなーと思うんだけど11Tくんはそれで納得できる？   (2024/11/11 21:41:09)

エロガキ♂11T> お任せしますよ   (2024/11/11 21:41:22)

エロガキ♂11T> ただ、エッチなお姉さんにはなって欲しいですけどね～(笑)   (2024/11/11 21:41:55)

花海佑芽> 【努力はします！】   (2024/11/11 21:42:29)

エロガキ♂14C ◆> じゃあ、了承も得たし……折角だし罰リストのコスプレやらせよっかなー？   (2024/11/11 21:42:36)

エロガキ♂14C ◆> ただしそのままは使わないよ！   (2024/11/11 21:43:06)

花海佑芽> 【1d7じゃないんでしょうか？】   (2024/11/11 21:44:11)

エロガキ♂14C ◆> 1.メイドビキニ 2.バニー衣装　3.逆バニー衣装4.女子用の制服（下着以外シースルー）5.スクール水着(旧)　6.レオタード7.例の競泳水着（胸元にジッパー着いてるやつ）   (2024/11/11 21:44:34)

エロガキ♂11T> 【コス決めてから、開始？】   (2024/11/11 21:44:35)

エロガキ♂14C ◆> メニュー魔改造したよ♪   (2024/11/11 21:44:45)

花海佑芽> なんか攻めてますね！？   (2024/11/11 21:45:25)

花海佑芽> 1d7 → (2) = 2  (2024/11/11 21:45:38)

花海佑芽> 比較的ダメージ浅いかも！   (2024/11/11 21:46:11)

エロガキ♂14C ◆> バニー衣装、と。ちぇー、魔改造メニューの中では比較的大人しめ、というかそのままのやつ引いてるー。   (2024/11/11 21:46:21)

エロガキ♂14C ◆> あ、でも勿論目の前でお着替えだからね？（にこー）   (2024/11/11 21:46:42)

花海佑芽> これ、下着つけたままでも大丈夫なサイズですか？（すがる視線）   (2024/11/11 21:48:17)

エロガキ♂11T> えー、下着なしがいいな～   (2024/11/11 21:48:49)

エロガキ♂14C ◆> ブラは外さないと……まー無理だよねっ？ショーツは……任せるけど、いいのかなー？（じぃー）   (2024/11/11 21:49:27)

花海佑芽> わ、わかりましたっ（覚悟を決めて、いったん全部脱ぎます！）   (2024/11/11 21:50:15)

花海佑芽> （生着替え、完了！）   (2024/11/11 21:51:27)

エロガキ♂14C ◆> 相変わらず勢いよく脱いじゃうんだね、佑芽おねーさんはー。……ま、でもお着替えシーンはしっかり鑑賞させてもらうからねー♪（着替えの邪魔にならない程度の位置で腰を下ろしてじっくりと鑑賞開始っ）   (2024/11/11 21:51:29)

エロガキ♂14C ◆> （はやっ！？）   (2024/11/11 21:51:36)

エロガキ♂11T> え？…早すぎるよ…(目がてんに…)   (2024/11/11 21:52:50)

エロガキ♂14C ◆> ま、いいや！早く着替えた分だけ残り時間も罰ゲーム続くんだからねぇ……♪それじゃあ……11Tくん10分だけ佑芽おねーさんにお触りしていいよ！その代わり、やさしーく触ってあげてねっ！   (2024/11/11 21:53:26)

エロガキ♂11T> 【ってか、何分までなの？】   (2024/11/11 21:53:36)

エロガキ♂14C ◆> 【（22時）15分まで、って一応言ったよー。】   (2024/11/11 21:54:17)

花海佑芽> （それか11Tくんに着替えさせてもらう流れでも？＞お触り）   (2024/11/11 21:55:10)

エロガキ♂14C ◆> （それでもよし！<お触りでお着替え）   (2024/11/11 21:55:42)

花海佑芽> （いい感じに恥じらう描写が浮かばなかったので、そうしてください！　裸になったところからリスタートで！）   (2024/11/11 21:56:59)

エロガキ♂11T> お姉ちゃん…早着替え得意なんだね…(お姉ちゃんのバニー姿をじろじろ見ながら、近づいて、太ももをなぞって…内側にずらしていく…)   (2024/11/11 21:57:00)

エロガキ♂14C ◆> （あ、もう着替えた後ので続いてるからそのままでもいいよー。）   (2024/11/11 21:57:26)

花海佑芽> ひゃ、うっ（無理やり早着替えしたのであちこちずれてしまっていて、触る理由はいくらでもあって）さ、さすがにくいこみ、杉じゃないかな、っん！   (2024/11/11 21:58:57)

エロガキ♂11T> ん？もっと食い込ませよっか…(お姉ちゃんのクリを刺激するように…何度も食い込ませて…)こっちもね…お姉ちゃんのおっぱいを…(指で軽くツンツンしてやり)   (2024/11/11 22:00:20)

エロガキ♂14C ◆> バニー衣装って太ももとかすごくえっちだよねー。佑芽おねーさんは太もももむちむちで、膝枕してもらう時気持ちいい分、その衣装だとすごく目立つね♡（11Tくんが太腿から内腿にかけてなぞるように触れるのをしばらく眺め。）  
(2024/11/11 22:00:31)

花海佑芽> うー、うーっ（ショーツはやめておいたほうがいいという忠告が身に沁みるほど、きわどいというより完全に狙いすました触り方をされて、顔を真っ赤にしながら身震いして、衣装は完全に身体のラインが浮かんで）   (2024/11/11 22:03:08)

エロガキ♂11T> うわっ…お姉ちゃんのエッチな身体がしっかりわかるね…(食い込みをすこしずらして…クリを舐めながら…浅く指を中にも入れて…入り口をマッサージするようにゆっくりかき回す)   (2024/11/11 22:04:52)

エロガキ♂14C
◆> 佑芽おねーさんはえっちなことしてもらうよりも、こーやって恥ずかしい事される方が堪えちゃうみたいだしちょうど良かったかも♪……あ、でもお触りでえっちな気分になっちゃうのはどうしようもないねー？♡（出るとこ出てる、誰かが言ったらしいアイドルとして最高の身体というのに納得したように頷きつつ、佑芽おねーさんの背後で背伸びしては耳元で囁きかけ。）
  (2024/11/11 22:06:15)

花海佑芽> えっ、ま、ちょっ（ずれを直すはずが逆にずらされて、でも手出しはできなくて）ん、んっ！（唾液で湿った割れ目に指が入り込んで、窮屈ながらも中でかき回されて、腰が震えてくるのが抑えられなくて）   (2024/11/11 22:08:10)

エロガキ♂11T> お姉ちゃんのエッチなとこ…濡れてきちゃったね…(指をゆっくりと奥まで入れて…Gスポットをこすりつつ…クリをつまんで軽く引っ張って…)谷間もすごいよね…(じろじろ見ながら…)お姉ちゃんのエッチな身体で…もうこんなだよ…(お姉ちゃんの手にデカチンポを押し付ける…)
  (2024/11/11 22:10:17)

エロガキ♂14C
◆> さてと、11Tくんそろそろ交代だよー？次は僕の番っ！その代わり、僕みたいに佑芽おねーさんを煽ってあげてね？（11Tくんに割れ目掻き回されて腰を震わせる佑芽おねーさんのお尻を撫で回してから、背後からバニー衣装の隙間から手を滑り込ませて直のおっぱいに触れて。）
  (2024/11/11 22:11:06)

花海佑芽> 【手荒にしないのでしたら延長いけます＞時間ほとんど残ってないですよね？】   (2024/11/11 22:12:23)

エロガキ♂14C ◆> 【げ。完全に僕が時間読み違えてたのか……！】   (2024/11/11 22:12:53)

エロガキ♂11T> 交代か～(ゆっくりと指を抜いて…お姉ちゃんの足をMにさせて…)うわっ…すごいエッチだな…お姉ちゃんのマンコ…ひくついてる…   (2024/11/11 22:13:01)

花海佑芽> 【多分あと2分です】   (2024/11/11 22:13:19)

エロガキ♂11T> 【お姉ちゃん…いまくらいなら手荒ではない？】   (2024/11/11 22:13:21)

エロガキ♂11T> 【延長できるなら、アフター部屋行きます？】   (2024/11/11 22:13:51)

花海佑芽> 【今のところなんとか耐えられるラインです】   (2024/11/11 22:14:42)

エロガキ♂14C ◆> 【佑芽おねーさんが2人同時相手出来るなら、だけど……難しいなら今回は僕抜けて11Tくんに譲るよ？】   (2024/11/11 22:15:17)

エロガキ♂11T> 【ギリギリラインってことですね】   (2024/11/11 22:15:28)

花海佑芽> 【時間さえもらえれば大丈夫です＞2人同時】   (2024/11/11 22:15:57)

エロガキ♂14C ◆> 【じゃあとりあえず居座り続けるのもだしアフター部屋へいこっか。】   (2024/11/11 22:16:34)

花海佑芽> 【はい】   (2024/11/11 22:16:47)

エロガキ♂11T> 【はーい】   (2024/11/11 22:17:22)

エロガキ♂14C ◆> 【じゃあとりあえず移動！お部屋ありがとーございましたー】   (2024/11/11 22:17:25)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/11/11 22:17:26)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/11 22:17:30)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/11 22:17:52)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/12 00:40:29)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/12 00:40:41)

クラリス ◆> 10d3 → (1 + 2 + 3 + 1 + 2 + 3 + 3 + 1 + 2 + 1) = 19  (2024/11/12 00:41:09)

エロガキ♂19b ◆> ちょうど1時まで～   (2024/11/12 00:41:47)

クラリス ◆> ちょうど1時まで…と、服のアイディアは決まらないって話でしたね？   (2024/11/12 00:41:53)

エロガキ♂19b ◆> どんなのがいいかなにかくれればそこから導きだせるよ～   (2024/11/12 00:42:14)

クラリス ◆> あ、それはまた今度で   (2024/11/12 00:42:32)

エロガキ♂19b ◆> クラリスちゃんの求める物を提供したいからねーって、、今回は違う罰？   (2024/11/12 00:42:53)

クラリス ◆> 罰ゲームお品書きの一番下にあるやつですね、最近女の子にしたひどいこと（勝ったときのあれやこれや）を白状してください！   (2024/11/12 00:44:08)

エロガキ♂19b ◆> ひどいことかぁ....押し潰しながら種付けしたとか...脚を攻め続けたりとか！！   (2024/11/12 00:45:45)

クラリス ◆> それは大体いつもですよね！？   (2024/11/12 00:46:44)

エロガキ♂19b ◆> やってることは基本種付けだからねぇ～。あとは恥ずかしがってる女の子の表情を眺めながらとか？   (2024/11/12 00:47:29)

クラリス ◆> 【※古戦場明けと深夜のテンションが合わさり様子がおかしくなっております、あしからずご了承ください】   (2024/11/12 00:47:45)

エロガキ♂19b ◆> 【面白いからなんでもよし！！】   (2024/11/12 00:48:10)

クラリス ◆> ほかに何かこうないですか、わたしにはあんまりやらなかったような事とか（じとー）   (2024/11/12 00:48:44)

エロガキ♂19b ◆> それこそに脚攻めかなぁ～太ももからしたにかけて撫でていったり、脚の指を1本1本ニギニギしたり～太もも摘まんで反応を見たりとかね！これがいちばんいいはんのうしてくれたよ！   (2024/11/12 00:50:13)

クラリス ◆> （引くのを通り越して赤面した、こうかはばつぐんだ！）   (2024/11/12 00:51:19)

エロガキ♂19b ◆> あれぇ？もしかして想像した～？あっはは！やーらしい～♡♡   (2024/11/12 00:52:03)

クラリス ◆> そうやって女の子の反応見ながら楽しんでるんですね、ひどいです！！   (2024/11/12 00:53:21)

エロガキ♂19b ◆> そういうこと～女の子が赤面して恥ずかしがる姿見ててがいっちばん楽しいからね！！   (2024/11/12 00:54:00)

クラリス ◆> 質問を変えます！！   (2024/11/12 00:54:25)

エロガキ♂19b ◆> ほいきた！   (2024/11/12 00:54:51)

クラリス ◆> これは、わたしが着たいわけじゃないですけど、もし着せるなら「メイド服」「バニー衣装」「逆バニー衣装」「女子用の制服」「スクール水着(旧)」「レオタード」「体操服(ブルマ)」どれですか！   (2024/11/12 00:56:44)

クラリス ◆> （お品書きの真ん中らへんにあるやつです）   (2024/11/12 00:57:06)

エロガキ♂19b ◆> スク水(旧)！！   (2024/11/12 00:57:09)

クラリス ◆> 即答！？   (2024/11/12 00:57:22)

クラリス ◆> いちおう理由を聞きましょうか…   (2024/11/12 00:57:52)

エロガキ♂19b ◆> ピッチピチの水着に真ん中にクラリスって書いたやつはってさ...よくない？想像するだけで興奮するんだけど   (2024/11/12 00:58:32)

クラリス ◆> 興奮の根拠がまるでわからないです！！   (2024/11/12 00:59:31)

エロガキ♂19b ◆> つまりエッチってことだ！！   (2024/11/12 00:59:49)

エロガキ♂19b ◆> ピッチピチの水着に割れ目がくっきりしてそうなかんじでさ！！クラリスちゃん大きいから胸の方も期待できるし～、、そこに名前もついてたらやばいよ？皆が6度見ぐらいしちゃうね！   (2024/11/12 01:01:05)

クラリス ◆> えっち！ すけべ！！ 19bさんのばかー！！！   (2024/11/12 01:01:51)

エロガキ♂19b ◆> 褒め言葉だが！！   (2024/11/12 01:02:12)

クラリス ◆> （餃子サイダーの刑）   (2024/11/12 01:02:30)

エロガキ♂19b ◆> ....逃れられない！！(グビッ！！)おぇぇ...   (2024/11/12 01:02:59)

クラリス ◆> 悪は滅びた…（無理やり格好をつける）   (2024/11/12 01:03:31)

クラリス ◆> ということでお時間です！   (2024/11/12 01:03:53)

エロガキ♂19b ◆> クラリスちゃんの赤面も見れたし満足！！最後のがなければァ...またあそぼうねー！   (2024/11/12 01:04:21)

クラリス ◆> なかったら1ミリも罰要素ないじゃないですか   (2024/11/12 01:04:57)

クラリス ◆> ≫最後の   (2024/11/12 01:05:09)

エロガキ♂19b ◆> 俺はそれでも構わん！！、、それと次こそはクラリスちゃんに種付けするから！！   (2024/11/12 01:05:29)

クラリス ◆> ぜっっっっっったい負けませんからね！！！   (2024/11/12 01:05:55)

クラリス ◆> 【解散〜！！】   (2024/11/12 01:06:15)

エロガキ♂19b ◆> すっごい拒絶を見た！まったねー！！   (2024/11/12 01:06:22)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/12 01:06:24)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/12 01:06:30)

おしらせ> 足跡ぺたぺたさんが入室しました♪  (2024/11/12 09:14:24)

おしらせ> 足跡ぺたぺたさんが退室しました。  (2024/11/12 09:14:37)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/12 21:10:04)

おしらせ> リノさんが入室しました♪  (2024/11/12 21:10:21)

エロガキ♂14C ◆> 来たねっ、それじゃあ罰ゲーム時間を決めるサイコロ振るよー！   (2024/11/12 21:11:12)

エロガキ♂14C ◆> 10d3+10 → (3 + 3 + 2 + 1 + 3 + 3 + 1 + 3 + 1 + 1) + 10 = 31  (2024/11/12 21:11:16)

エロガキ♂14C ◆> 21:42まで！と言っても、リノおねーさんは初めてみたいだし、あまり手荒な罰はしないほーがいいかなー？   (2024/11/12 21:11:47)

リノ> ううっ、何されるんだろう   (2024/11/12 21:12:02)

リノ> 【できたら短文でも追いつく内容のほうがいいです＞罰】   (2024/11/12 21:13:23)

エロガキ♂14C ◆> それじゃあ……いちおーエロガキらしい事はお願いしちゃおっかなー？スカートめくって見せてみてよーっ！   (2024/11/12 21:13:30)

エロガキ♂14C ◆> 【はーい！】   (2024/11/12 21:13:39)

リノ> こ、こう？　スパッツはいててもいいの？（ぺらっ）   (2024/11/12 21:14:54)

エロガキ♂14C ◆> あー、スパッツ履いてるんだった！むぅ、それじゃパンツの色わかんないなー？（歩み寄ってお尻とかを撫で回してみて）   (2024/11/12 21:15:45)

リノ> うう、それでもはずかしいかもっ   (2024/11/12 21:16:08)

リノ> な、なにするの（脱がされちゃうのかなって、どきどき）   (2024/11/12 21:17:10)

エロガキ♂14C ◆> でもさー、罰ゲームだからほんとーに嫌な事以外は従わなきゃ、なんだよー？負けたんだから仕方ないよねー？（お尻だけじゃなくて太もももさわさわと撫で触れて）   (2024/11/12 21:17:11)

リノ> わ、わかってるよ、だから抵抗してないもんっ（スカートつかみながら、くすぐったさをがまん、がまん）   (2024/11/12 21:18:25)

エロガキ♂14C ◆> ふーん？それじゃあ……こーいうのはどうかなー？   (2024/11/12 21:19:00)

エロガキ♂14C ◆> （もう片方の手で胸元を撫で回してみて）   (2024/11/12 21:19:20)

リノ> こ、こーいうの、って？   (2024/11/12 21:19:34)

リノ> やっ、えっち！（胸けっこう出てるから、かなり、くすぐったいです）   (2024/11/12 21:20:55)

エロガキ♂14C ◆> おっぱい大好きな僕の前でこんなに見せちゃってるのが悪いんだよー♪でも、おっきい方が好きだから、おっきくなるよーにしてあげるっ！（衣装の布地越しにおっぱいをやんわりと揉みしだいて）   (2024/11/12 21:22:23)

リノ> だめっ、どうせお姉ちゃんにはかなわないもんっ（意地を張ってるけど、それでも揉まれて、くすぐったさが強くなって）   (2024/11/12 21:24:19)

エロガキ♂14C ◆> ダメじゃないよーっ、こーやってれば少しずつおっきくなるって♪（くすぐったそうにしてるのを気にせず布地をずらしておっぱい露わにしてあげて）   (2024/11/12 21:25:42)

リノ> や、やめてっ！（おっぱいぷるんってされて、はずかしすぎて、どきどきもすごくて、おかしくなりそう）   (2024/11/12 21:27:20)

エロガキ♂14C ◆> やーめないっ！揉むだけだとおっきくならないらしいから、色々やっちゃうよー♪（露わになったおっぱいに顔近づけて、乳首にちゅっと唇押し付けてみて）   (2024/11/12 21:28:44)

リノ> そ、そんなのきいてない、んっ！（おっぱいのさきっぽ、ちゅってされて、なんだか、くすぐったいの通り越して、へんなこえが）   (2024/11/12 21:30:46)

エロガキ♂14C ◆> えー？気持ちよくしてもらうとおっきくなるって聞いたんだけどなー？これだけじゃ足りない？（スパッツ越しの股間に手を伸ばして撫で回しつつ、乳首に更にちゅっ、ちゅっ、と吸い付いてみて）   (2024/11/12 21:32:27)

リノ> えっ、そ、そうなの？（初耳だったのか気持ちがゆらいで）で、でも、きもちよくっていうのがよくわからないかも（そう言いつつ、スパッツが少し蒸れてるの、撫でられたらわかっちゃいそう）   (2024/11/12 21:35:03)

エロガキ♂14C ◆> おっぱい吸われたり、ここ触られたりして何か感じない？くすぐったいのとは違う感じの！（少し蒸した感じのするスパッツ、更に指を押し付けるように触ってみたり、乳首も吸うだけじゃなくて舐めてみたり）   (2024/11/12
21:36:32)

リノ> んっ、いわれてみると、ちょっとへんかも（少し目元とろんとして、さわられたりなめられたり、抵抗するかわりにだんだん、受け入れちゃって、ひくひく、って）   (2024/11/12 21:38:39)

エロガキ♂14C ◆> それそれっ、その感じが続くとおっきくなれるかもよっ♪（だんだんと抵抗するような反応から、受け入れるような雰囲気に楽しげに笑いつつ乳首を唇でぐにぐにして）   (2024/11/12 21:40:02)

リノ> はあっ、ううっ（むねをぐにぐにされて、ずっとびくびくしちゃう）   (2024/11/12 21:41:28)

リノ> あっ（急に糸が切れたみたいに、がく、って）   (2024/11/12 21:42:31)

エロガキ♂14C ◆> さーて、もーっとしたいけど残念ながら時間切れー。今度のお楽しみ、だよっ。（おっぱいや股間から離れるとにこーっと笑み浮かべ。）   (2024/11/12 21:42:32)

リノ> ううっ、次は負けないもん！   (2024/11/12 21:43:46)

エロガキ♂14C ◆> 頑張って勝ってねー！それじゃここまで！じゃーねー！   (2024/11/12 21:44:10)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/12 21:44:20)

おしらせ> リノさんが退室しました。  (2024/11/12 21:44:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/12 22:43:11)

おしらせ> エロガキ♂10sxさんが入室しました♪  (2024/11/12 22:43:19)

おしらせ> シンデレラさんが入室しました♪  (2024/11/12 22:43:28)

おしらせ> 中野 一花さんが入室しました♪  (2024/11/12 22:44:04)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/12 22:44:13)

エロガキ♂14C ◆> これで全員移動かな？相手決めの前に……2人相手できるよっておねーさんはいる？   (2024/11/12 22:44:40)

エロガキ♂19H> 無理そうなら自分は失礼しますね…なんかカップリング決まってそうだし、おそらくお二人の好みと外れていると思うので   (2024/11/12 22:45:32)

シンデレラ> できないことはないは...でも、、大幅に遅れてしまうかもしれないからあまりしたくはないわね...楽しめないのは美しくないは   (2024/11/12 22:45:34)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/12 22:46:00)

エロガキ♂14C ◆> 別にカップリングとかはないんだけどなぁって話決まる前から抜けちゃうの！？   (2024/11/12 22:46:15)

シンデレラ> もう行ってしまうのかしら？....   (2024/11/12 22:46:37)

エロガキ♂10sx> いっちゃいましたね   (2024/11/12 22:46:47)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/12 22:46:48)

中野 一花> あり ゃ .. じ ゃ あ どうする ?   (2024/11/12 22:46:53)

エロガキ♂10sx> 帰ってきた～、おかえりなさい。   (2024/11/12 22:47:21)

エロガキ♂19H> すみませんボタンミスでした…入り直したけどあれなので…   (2024/11/12 22:47:34)

エロガキ♂14C ◆> えっと、一花おねーさんはどう？出来そう？   (2024/11/12 22:47:56)

中野 一花> わたしも出来ることは出来るけど .. 多分 大幅に遅れちゃうかな ぁ ~ 。   (2024/11/12 22:48:03)

エロガキ♂19H> じゃあ失礼しますね…   (2024/11/12 22:48:25)

エロガキ♂19H> お疲れ様でした   (2024/11/12 22:48:35)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/12 22:48:50)

エロガキ♂14C ◆> 僕は大幅遅れはOKだし、というか僕すでに今日一回やってるから19Hにーさんやってきなよー。   (2024/11/12 22:48:51)

エロガキ♂14C ◆> ……うーん、お疲れ様でしたぁ。   (2024/11/12 22:49:13)

