/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月10日 22時56分 ～ 2024年10月11日 12時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> 【おっけーです】   (2024/10/10 22:56:03)
エロガキ♂19b ◆> ん、、わかったよ～(なのかの目の前でズボンとパンツを脱ぎ)これでいいかな？   (2024/10/11 02:47:15)

三月なのか ◆> （脱いだ19の前に両膝ついて屈み。チンポに顔を寄せ、根元かられろ…♥と舐め上げながら、上目遣いで見つめて。）……う、ウチがいいって言うまで射精禁止だから…！（と、罰を通達するともう一度、角度を変えて根元からチンポ舐め上げ…♥）  
(2024/10/11 02:48:57)

エロガキ♂19b ◆> あは♡舐めてくれるなんて、、嬉しいな♡(なのかに軽く舐められればすぐにチンポは固く勃起し)あぁ、、気持ちいい...   (2024/10/11 02:50:34)

三月なのか
◆> このおちんちんで、昨日…ウチに好き勝手したんだよね…♥（ぢゅ、るる…♥よだれ啜りながら何度も何度もチンポ舐め上げて♥硬くなったチンポをよだれまみれにしちゃうくらい♥全部自分のよだれでコーティングすると、てらてらと光反射するチンポ作っちゃって…♥そのまま先端に、ちゅ、ちゅ♥口付け落とし♥）
  (2024/10/11 02:52:08)

エロガキ♂19b ◆> あ、、ほんとそれ、気持ちいい♡♡たしかに、、好き勝手はしたね♡♡気に入っちゃったのかな？(体をビクビクと震わせながらなのかの頭を撫で)ヨダレで、囲っちゃうなんてなのかちゃん大胆だね♡♡   (2024/10/11 02:53:58)

三月なのか
◆> う゛～…♥もうダメかも…っ♥（言うと質問にはあえて答えず、勢いよく立ち上がって。昨日と同じように壁に手を付き、貴方の方にお尻を突き出すと…♥スカートの下、下着つけてなかったお尻ともう既に準備できてるおまんこがとろぉ、と蜜を一滴垂らして、落ちた♥）き、昨日みたいに…シてよ。でも出しちゃダメだから…♥そ、それが罰ね？♥
  (2024/10/11 02:55:04)

エロガキ♂19b ◆> わかったよ♡♡(軽く笑いながらなのかの腰をつかみチンポをオマンコの奥まで挿入♡♡そのままポルチオをトントンと突き始め♡♡)たしか、こんな感じだったよね♡♡   (2024/10/11 02:56:18)

三月なのか
◆> あ゛ッ、あ、は、ァ～…♥そ、そう…っ♥そんな感じ、奥まで…♥（挿入するやいなや、弱点のポルチオごつごつ、とんとんってチンポで小突かれてお尻びくっ♥びくっ♥跳ねて、おまんこきゅうぅ…ッ♥締め付け良くなって、弱点数回小突かれただけでイッちゃってるのバレバレに伝えちゃってる…♥）
  (2024/10/11 02:58:40)

エロガキ♂19b ◆> やっぱり、すぐいくんだねぇ♡♡そんなところも可愛いよ♡♡(耳元で囁きながら、ピストンのペースをあげていき♡子宮、ポルチオGスポットとなのかの弱いところを徹底的に刺激♡♡)締め付けも強くて、、最高♡♡んん！♡♡   (2024/10/11
03:00:12)

三月なのか
◆> あっ、ああっ！♥そ、そこぉお…っ♥だ、だめっ♥よわいとこ、ダメぇ…ッ♥あんっ♥あはぁんっ♥あンッ！♥（いつの間にか膝は両側、外に向けて広がってガニ股になっちゃってはしたない体勢♥でもこんなに弱いところばっかりチンポでいじめられたら仕方ない…♥チンポで弱点いじめられる度にイッちゃって、雌犬みたいな声出してる…♥一際大きい絶頂の波が押し寄せてくるとぞくぞく…ッ♥『そっ、そのまま…っ♥ナカ、出して…っ♥せいえき、ウチに、ちょうだい…っ♥』っておねだりと同時に射精禁止を解いて♥）
  (2024/10/11 03:02:35)

エロガキ♂19b
◆> わかった、、このまま中にだすな♡♡(一気にペースを早め、子宮をゴリゴリと抉るように突きながらチンポを膨らませていき♡♡)ぐ、、なのか！！出すぞ！♡♡イグゥ！！♡♡(なのかの腰をしっかりつかみ、子宮口にチンポを押し当て熱々の濃厚精子を大量射精♡♡一瞬で中を見たし結合部からはプシュッ♡♡と溢れ♡♡)
  (2024/10/11 03:04:43)

三月なのか
◆> あ゛ッ♥あッ♥あぁっ♥あっあっあっ…♥イ、イクぅうっ！♥♥イグぅううう～～～ッ♥♥♥♥（子宮にザーメン吐き出されて、昨日はなかった熱の広がる感覚を感じるとそれだけで全身びくびくッ♥痙攣して中出しアクメしちゃって♥腰しっかり掴まれて、逃げ出せないように押さえつける雄の射精…♥子宮真っ白に染められながらハメ潮ぷしっ♥くしゅ、ぷしゅッ♥二度、三度と噴き散らかして……♥罰おしまい…♥）
  (2024/10/11 03:06:04)

エロガキ♂19b ◆> 罰なのにこんなに気持ちよくなれちゃった♡♡なのかちゃん、優しいね♡♡(ぐるッとなのかを回転させ軽くキスをし♡♡)とっても可愛いよ♡♡   (2024/10/11 03:07:50)

三月なのか ◆> は…っ♥はっ…♥んぅ…♥…っ、ちゅ…♥お、おへや、あけなきゃ…♥（ずる、ぅ…♥腰引いてチンポ引き抜くとぼたぼたっ♥ザーメン垂れて…♥恥ずかしくなるけど、後つっかえてるから…！ってさささっと退室…）   (2024/10/11
03:09:12)

おしらせ> 三月なのか ◆lFeDWOjeZ6さんが退室しました。  (2024/10/11 03:09:19)

エロガキ♂19b ◆> あはは、はやいねぇ♡   (2024/10/11 03:09:31)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが退室しました。  (2024/10/11 03:09:35)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/11 03:11:05)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/10/11 03:11:07)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/10/11 03:11:16)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/11 03:11:24)

エキドナ ◆> 急かしてしまったね、、申し訳ないよ   (2024/10/11 03:11:40)

エロガキ♂13HL ◆> あっ…というか19さん支援だけでしたし最後の1回だけだったので罰受けなくて大丈夫ですよ！？(あわあわ)   (2024/10/11 03:11:56)

おしらせ> エロガキ♂17さんが入室しました♪  (2024/10/11 03:12:53)

エキドナ ◆> トワさんはあまり乗り気では無いという事で良いのかな、、？   (2024/10/11 03:13:04)

常闇トワ ◆> トワ眠たいw   (2024/10/11 03:13:13)

エキドナ ◆> 誰だい、17のキミ   (2024/10/11 03:13:22)

エロガキ♂13HL ◆> まさかのふたりとも眠かった…w   (2024/10/11 03:13:23)

エロガキ♂17> おはよ〜   (2024/10/11 03:13:24)

エロガキ♂19H> 一応ですね…1人で罰を受けたいならそれでいいですし、一応の決定権は女性側にあるので   (2024/10/11 03:13:37)

エロガキ♂17> なんと〜笑   (2024/10/11 03:13:41)

エキドナ ◆> ルールくらい呼んで来たまえ   (2024/10/11 03:13:47)

エキドナ ◆> それならトワさんは無理せずゆっくり休んでくれて構わないよ   (2024/10/11 03:14:46)

エキドナ ◆> 罰は、、適当に済ませるとしようか   (2024/10/11 03:14:57)

エロガキ♂17> ごめんなさい   (2024/10/11 03:14:58)

おしらせ> エロガキ♂17さんが退室しました。  (2024/10/11 03:15:04)

常闇トワ ◆> はーい   (2024/10/11 03:15:10)

エロガキ♂13HL ◆> もしおふたりがよろしければ今日はもう寝ちゃってまた今度でもいいですよー(無理はダメ絶対…)   (2024/10/11 03:15:24)

エキドナ ◆> 次からは正規の手順で来る事を願うよ   (2024/10/11 03:15:25)

エキドナ ◆> ボクは今ので少し目が冴えたからいいよ   (2024/10/11 03:16:00)

エロガキ♂13HL ◆> 分かりました♪それじゃあ…サイコロ振りますね〜   (2024/10/11 03:16:51)

エロガキ♂13HL ◆> 10d3 → (1 + 3 + 3 + 1 + 1 + 3 + 2 + 2 + 1 + 2) = 19  (2024/10/11 03:17:06)

常闇トワ ◆> トワはもう1人来たからそっちの子を相手してこようかな   (2024/10/11 03:19:07)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/10/11 03:19:50)

エロガキ♂13HL ◆> お任せしますよ〜♪トワ様も無理だけはしないようにしてくださいね〜！   (2024/10/11 03:19:56)

エキドナ ◆> 少し待っててくれるかな、、   (2024/10/11 03:21:15)

エロガキ♂13HL ◆> 全然大丈夫ですよ〜   (2024/10/11 03:21:35)

エキドナ ◆> もう少し、、申し訳ないよ   (2024/10/11 03:28:08)

エロガキ♂13HL ◆> 全然お気になさらず〜   (2024/10/11 03:28:54)

エキドナ ◆> お待たせしたね、眠気は大丈夫かい？   (2024/10/11 03:31:47)

エロガキ♂13HL ◆> あい…まだ大丈夫…(ぐてーっ)   (2024/10/11 03:32:35)

エキドナ ◆> お待たせしたお詫びとして受け取ってくれるかな、、(屈んで13の彼の額に口付けして)   (2024/10/11 03:33:29)

エロガキ♂13HL ◆> ふぇっ！？///(普段そんなことするタイプじゃないと思ってたエキドナさんに額に口付けされてびっくりして)   (2024/10/11 03:34:39)

エキドナ ◆> すまない、今気付いたよ、、19の彼も居るんだね   (2024/10/11 03:34:44)

エロガキ♂13HL ◆> ただ彼最後しか参加してないのとトワ様居なくなったので…エキドナお姉さん次第ですけど見逃してあげて欲しいなーなんて   (2024/10/11 03:35:29)

エロガキ♂13HL ◆> そのまえにもう寝落ちちゃってるかも？   (2024/10/11 03:35:40)

エキドナ ◆> 少し気分、、と言うだけさ(驚き顔に笑って頬摘みふに、)   (2024/10/11 03:35:51)

エキドナ ◆> 寝てしまってるかな、、申し訳無いことをしたね   (2024/10/11 03:36:06)

エロガキ♂13HL ◆> エキドナお姉さん…眠気大丈夫なの？(頬むにむにされながら)   (2024/10/11 03:36:54)

エキドナ ◆> ボクは少し目が冴えてしまっていてね、、今いろいろと重なってすごく眠れそうにないんだ(黒色の髪撫でて)   (2024/10/11 03:38:15)

エキドナ ◆> あぁ、それとここを空けないと行けない時間だからどうしようか？   (2024/10/11 03:38:37)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19Hさんが自動退室しました。  (2024/10/11 03:38:39)

エロガキ♂13HL ◆> …えーっとじゃあその…。お部屋移動します？(じーっと)   (2024/10/11 03:39:12)

エキドナ ◆> そうだね、移動しようか、、   (2024/10/11 03:39:26)

エロガキ♂13HL ◆> 作ります？作りましょうか…？   (2024/10/11 03:39:36)

エキドナ ◆> お願いしていいかな？   (2024/10/11 03:39:53)

エロガキ♂13HL ◆> かしこまりました♪   (2024/10/11 03:40:01)

エロガキ♂13HL ◆> さてとーお作りしましたよ〜   (2024/10/11 03:40:26)

エキドナ ◆> 入ったから空けようか   (2024/10/11 03:40:43)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/11 03:40:46)

エロガキ♂13HL ◆> はーい失礼しましたー   (2024/10/11 03:40:59)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/11 03:41:00)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/10/11 03:43:20)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/10/11 03:43:40)

エロガキ♂15M ◆> にゃ、こっちの部屋か。危うく違う部屋に行くところだった   (2024/10/11 03:44:01)

常闇トワ ◆> いらっしゃいw   (2024/10/11 03:44:05)

常闇トワ ◆> もう一つの部屋かな？   (2024/10/11 03:44:18)

エロガキ♂15M ◆> うぅぅ……大人しく来てやったよ！感謝してよね！   (2024/10/11 03:44:31)

エロガキ♂15M ◆> そうそう、そっち   (2024/10/11 03:44:38)

常闇トワ ◆> 何しようかな〜   (2024/10/11 03:45:04)

エロガキ♂15M ◆> う〜ん？雑談でもいいんだよ〜？   (2024/10/11 03:45:19)

常闇トワ ◆> トワ眠たいから一緒にお布団の中でゴロゴロしよっか〜   (2024/10/11 03:45:56)

エロガキ♂15M ◆> ん、OK〜♪ゴロゴロしよ〜   (2024/10/11 03:46:23)

常闇トワ ◆> さぁお布団においで〜(布団を広げて招き入れる)   (2024/10/11 03:46:59)

エロガキ♂15M ◆> その前に時間！   (2024/10/11 03:47:13)

常闇トワ ◆> あれだったら個室でもいいよ   (2024/10/11 03:47:30)

エロガキ♂15M ◆> 再戦したいから、時間厳守でお願いします！   (2024/10/11 03:48:02)

エロガキ♂15M ◆> 10d3 → (2 + 1 + 1 + 3 + 2 + 3 + 1 + 3 + 1 + 2) = 19  (2024/10/11 03:48:17)

常闇トワ ◆> そうなんだ〜   (2024/10/11 03:48:22)

常闇トワ ◆> 実はトワムラムラしてたからお持ち帰りされたりとかしたかったな〜w   (2024/10/11 03:48:47)

エロガキ♂15M ◆> 19分間、抱き枕でも何でもやるよぉ♡(吸い込まれるようにお布団の中へ…ﾓｿﾞﾓｿﾞ…)   (2024/10/11 03:49:17)

エロガキ♂15M ◆> う〜…それはボクが勝ったときようにお預け！負けたのにお誘いするような雑魚♂じゃないもん！   (2024/10/11 03:50:07)

常闇トワ ◆> しょうがないな〜(布団に入ってきた15に抱きつきおっぱいをグイグイ押し付ける)   (2024/10/11 03:50:28)

エロガキ♂15M ◆> ちゃんと勝って、♀ちゃんを屈服させて可愛がりたいんだぁ♪   (2024/10/11 03:50:55)

常闇トワ ◆> 今のトワだとすぐに屈服しちゃうかもw   (2024/10/11 03:51:58)

エロガキ♂15M ◆> ん、トワ様っておっぱい壁でしょ〜 (壁押し付けられてもにゃあ♪でもちっぱい好きだから問題なし) えいにゃ♪（服越しに、胸の先端目掛けて指先ｺﾁｮｺﾁｮ…ｺﾁｮｺﾁｮ…♡）   (2024/10/11 03:52:53)

常闇トワ ◆> んっんっ///   (2024/10/11 03:53:26)

エロガキ♂15M ◆> や〜い、雑魚♀トワ様ぁ♡   (2024/10/11 03:53:35)

常闇トワ ◆> トワ壁じゃ無いし//   (2024/10/11 03:53:40)

常闇トワ ◆> 他の人の見てたらムラムラしちゃったの///   (2024/10/11 03:53:58)

エロガキ♂15M ◆> ホントに壁じゃないかにゃあ？(ﾆﾔﾆﾔ♡) そういうことならぁ……敢えて焦らしてみよっか♪ムラムラ我慢する可愛いトワ様見せて〜♡(勃起おちんぽの先端を、臍下辺りにｸﾞﾘｸﾞﾘ♡ﾄﾝﾄﾝ♡)   (2024/10/11 03:55:37)

常闇トワ ◆> んっんっ///はぁはぁ///焦らさないで///   (2024/10/11 03:56:44)

エロガキ♂15M ◆> や〜だっ、焦らすもん♡(硬くなってきた乳首を指先で激しくｶﾘｶﾘｶﾘｶﾘ…！♡太ももを股の間に割り込ませて、ｸﾞｨｨい♡と擦りつけたりして)   (2024/10/11 03:58:35)

エロガキ♂15M ◆> 知ってる？ボクって…涙目の女の子ちょ〜好きなの♪快感に翻弄される子とか特に好き♡   (2024/10/11 03:59:23)

常闇トワ ◆> あんっあんっ///(乳首をカリカリされて簡単に股に割り込まれてしまう)   (2024/10/11 03:59:45)

常闇トワ ◆> そ…そんな///   (2024/10/11 04:00:23)

エロガキ♂15M ◆> ほらほら〜♡もっと可愛いトワ様見せてにゃあ♡(唇も奪ってしまえば、ゆるゆるな唇へと簡単に舌を入れてしまって) んっ♡ちゅっ♡(ｷﾞｭ~ｯ♡乳首を少し強めに摘んでみてわ、ｺﾘｺﾘ♡転がしてみたり)   (2024/10/11
04:02:24)

常闇トワ ◆> んっんっ///ちゅちゅ///(舌を入れ込まれると自らキスをしに行くようになってしまう)んーー///んっんっ///(キスをして口を塞がれて声にならない喘ぎ声を出し続ける)   (2024/10/11 04:04:37)

エロガキ♂15M ◆> ちゅっ♡ぷはっ♡も〜、悪魔としての威厳はドコいったの？♡(キスを止めて、可愛い可愛い悪魔ちゃんの額と額を重ねてｸﾞﾘｸﾞﾘ…♪ｲﾁｬｲﾁｬ…♪)   (2024/10/11 04:05:36)

常闇トワ ◆> ちゅ///はぁはぁ///トワは悪魔だけど女の子でもあるんだもん///   (2024/10/11 04:07:14)

エロガキ♂15M ◆> もちろん、知ってるよぉ♪んじゃ、時間ね〜♪(ﾊﾟｯと離れては布団から出ちゃう) この続きしたかったらぁ…再戦しよっか♪先にいってるねぇ〜♫   (2024/10/11 04:09:07)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/10/11 04:09:11)

常闇トワ ◆> はーい   (2024/10/11 04:09:25)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/10/11 04:09:28)

おしらせ> エロガキ♂18Rさんが入室しました♪  (2024/10/11 04:26:46)

おしらせ> 原村和さんが入室しました♪  (2024/10/11 04:26:53)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/10/11 04:26:53)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/10/11 04:26:53)

常闇トワ ◆> 連勝止められちゃった   (2024/10/11 04:27:11)

エロガキ♂18R> とりあえず孕むわさん貰っても？   (2024/10/11 04:27:26)

エロガキ♂15M ◆> 残念でしたぁ(ﾆﾔﾆﾔ)   (2024/10/11 04:27:33)

原村和> だいたい、私のせいなので……では、振ります   (2024/10/11 04:27:35)

エロガキ♂15M ◆> いいよ〜   (2024/10/11 04:27:36)

原村和> 10d3+10 → (2 + 2 + 3 + 3 + 2 + 1 + 3 + 3 + 3 + 1) + 10 = 33  (2024/10/11 04:27:39)

常闇トワ ◆> 長い///   (2024/10/11 04:27:45)

原村和> 長い……   (2024/10/11 04:27:47)

エロガキ♂15M ◆> こういうときは出目いいね   (2024/10/11 04:27:51)

原村和> ここで上振れが……   (2024/10/11 04:27:58)

エロガキ♂15M ◆> 犯されたい雑魚♀っていう本性が隠せてないよぉ♡   (2024/10/11 04:28:18)

エロガキ♂18R> じゃあ孕むわさんはこっち来て下着だけ抜いどいてねーw(膝上叩き)   (2024/10/11 04:28:23)

原村和> 半分の目が3って、おかしくないですか？   (2024/10/11 04:28:33)

エロガキ♂15M ◆> トワ様おいで〜(前に使ったお布団に、今度はボクから誘惑して)   (2024/10/11 04:29:14)

常闇トワ ◆> はい///(言われるがまま布団に入り込む)   (2024/10/11 04:29:37)

原村和> 制服は脱がずに下着だけ脱ぐという事ですか……？(ため息混じりに傾げながら、制服の下でもぞもぞさせながら……)   (2024/10/11 04:30:22)

エロガキ♂15M ◆> ちょ〜素直じゃんw も〜、雌の本能に従順すぎ♡(布団の中でトワ様をうつ伏せにして、ボクはその上から覆いかぶさるように四つん這いに)
……今から寝バックでい〜っぱい可愛がってあげる♪泣いてもやめないから、覚悟してね♪(勃起おちんぽをおまんこの割れ目にｽﾘｽﾘ…♡)   (2024/10/11 04:31:59)

エロガキ♂18R> そそーw(胡座をかいては待ちつつ目の前で下着だけ抜き出されていく様には笑みが止まらず)   (2024/10/11 04:32:10)

常闇トワ ◆> わかったわ///(オチンポを擦り付けられておまんこはびしょびしょに濡れている)   (2024/10/11 04:33:18)

原村和> こ…これで良いですか……？上も下も脱ぎました……っ！はぁ……(上下の下着を脱ぐと制服姿で落ち着かない様子で、もじもじとしながら。遠慮がちに胡座の上へと座ると、身体を強張らせて……）   (2024/10/11 04:34:55)

エロガキ♂15M ◆> それじゃ…♪(熱くて硬い肉棒を、ﾄﾛﾄﾛおまんこにｽﾞｯﾌﾟｩｩｩｳｳｳ♡♡ゆっくり膣中へと挿入していき…) まずは浅いところから、ね♡(膣の入り口からGスポまでをおちんちんでゆっくりﾇﾌﾟ♡ﾇｯﾌﾟ♡ピストンしていく)  
(2024/10/11 04:35:27)

エロガキ♂18R> じゃあ今の心境を聞いてみようかな？ノーブラノーパンで男の膝の上乗ってる感想はどんな感じ？(喉鳴らし笑いつつも腰に腕回し密着してやり/対面と背面どっちだろ？)   (2024/10/11 04:36:26)

常闇トワ ◆> んっんっ//はぁはぁ///(ゆっくりと入れて浅い所だけなのに責められるだけで甘い吐息を漏らしてしまう)   (2024/10/11 04:36:52)

エロガキ♂15M ◆> ほ〜ら、まだ入り口からなんだから耐えてくれないと。これからドンドン激しくしていくんだからさ (わかった？そう念を押すようにGスポへと亀頭ｸﾞﾘｸﾞﾘｨｨ！！♡♡強めに押し付けて。臍下へと手を潜り込ませれば、外からも手でGスポ刺激♡)  
(2024/10/11 04:39:17)

原村和> し…心境ですか……恥ずかしさもありますけど……負けたことが悔しいですね……。は、背面に決まってるじゃないですか……何でわざわざ対面に座る必要が……っ！(密着されれば嫌がる様に身体を少し避けて、視線は向けずに顔を赤らめたまま俯いて)  
(2024/10/11 04:39:24)

常闇トワ ◆> アンアン///はひ///(責められて行くに連れてどんどん喘ぎ声を出して感じてしまう)   (2024/10/11 04:41:32)

エロガキ♂18R> へぇ、孕まされる事についてはどーともってことでok？(俯く姿に口端から笑み浮かべて布越しに胸を揉みしだきつつ腰に回した手もスカートの中へ滑り込み、内股から撫でてゆっくり上っていき)   (2024/10/11 04:41:41)

原村和> だ…だからっ！孕みません……！見ず知らずの人の赤ちゃんなんて欲しくないですからっ……！んっ……♡(制服越しに大きな胸を揉まれると、ぴくん…♡と背筋を伸ばして口元抑えて。太腿を撫でられ、内股になりながら耐える様に……っ♡)   (2024/10/11
04:43:56)

エロガキ♂15M
◆> そろそろボクのおちんぽに慣れてきた頃合だよねぇ♪そしたらぁ……えいっ！(少し腰を引いたと思ったら、次の瞬間には奥までちんぽが挿入されてしまって。ｽﾞｯ……ｸﾞﾁｭﾝｯ！！♡ｺﾞｯ♡！♡！ｺﾞﾂｯ！！！♡♡♡奥のポルチオ殴るような乱暴ピストン開始♡)  
(2024/10/11 04:43:58)

エロガキ♂18R> うん、でも思っきり犯されること考えたらどきどきじゃない？(耳元へ囁き零しつつそのまま耳朶甘噛みし、制服捲り、豊満な胸を晒しては胸の先摘みつつ同時に割れ目へと直に指先這わせ撫で付けて)   (2024/10/11 04:46:00)

常闇トワ ◆> ゔぐぅ///おぉゔ//アンアン🩷(乱暴にピストンをされておまんこを痙攣させながらメス顔になってしまう)   (2024/10/11 04:46:04)

原村和> し…しませんよっ……♡どきどきなんてしませんからっ……っはーとや…やめっ……んっ♡(耳朶に舌の滑りを感じると肩を震わせながら、きゃ…♡と小さな喘ぎを漏らして。制服の下の乳首は上向き硬く尖り、摘まれる度にぷるぷる…♡揺らして。下着の着けていない膣口を弄られると、反応する様に温かくてぬるっとした愛液が滴り、その指をねっとり汚してしまい……)
  (2024/10/11 04:49:16)

エロガキ♂15M ◆> メス顔トワ様超可愛いぃ♡もっと、その顔見せて♪(痙攣おまんこに敏感おちんぽ締め付けられれば、ﾋﾞｸﾋﾞｸﾋﾞｸｩｩ！！！と膣中で暴れてしまう。それでもピストンはやめない…それどころかもっと激しくなって)
はぁ…♡はぁぁ♡……くぅっ♡♡(腰を打ち付けるたびにトワ様の尻肉が揺れ、布団の中は2人のえっちなお汁と体温でﾑﾜｧｧｱｱ♡♡とした淫臭が籠もってしまう。)   (2024/10/11 04:49:53)

常闇トワ ◆> はひはひ///アンアンアン🩷おぐぅぅ///もっとして〜🩷(徐々に15のピストンに合わせて自らも腰を振って奥を刺激してしまう)   (2024/10/11 04:52:16)

エロガキ♂18R> 随分気持ちよさそうに見えるけどね...？ほら、この感触分かるかな...？(耳朶に甘噛みし歯型刻みながら揺れる胸と反して硬く主張した胸の先の感触軽く転がしつつ指先に湿り感じれば笑みを深めて、肉棒取り出し直に擦り付けつつ湿りの証明に水音わざとらしく立ててやり)
  (2024/10/11 04:53:32)

エロガキ♂15M ◆> (布団をｶﾞﾊﾞｯ！！っと持ち上げれば、ボクたちを覆ってしまう。淫臭漂う布団の中で、トワ様の耳元へと顔を近づければ…)
いいよ、してあげる♡…っ♡(スパート掛けるように、奥…更には子宮口へと射精間近でｸﾞﾂｸﾞﾂ煮え滾るように熱いおちんぽ突き上げていって)   (2024/10/11 04:55:15)

原村和> きゃ……ぅ♡熱いっ……♡当てないで下さいっ……♡んっ……ぁ♡(耳朶から漸く口が離れると、ぽーっ♡とした蕩けた表情で身体を預けて。乳首を刺激される度に腰を揺らし、次第に息も乱れ始め……時折り甘い喘ぎを漏らし。肉棒が愛液でとろとろの膣口を擦ると、勝手にぬるっと先端を飲み込む様に……雌の本能で欲しがってしまい)
  (2024/10/11 04:57:34)

常闇トワ ◆> あんあん///(淫臭漂う布団の中に入れられて普段の顔では無い涎を垂らしてメス顔の顔で快楽に溺れた顔を晒してしまう)おぐゔぅぅ///ぢもきいい///(ピストンをされるたびに潮混じりの愛液をピュッピュッと履いて布団に水溜まりを使ってしまう)  
(2024/10/11 04:59:28)

エロガキ♂18R> じゃあ入れてやろうな...ッ、ふ...あったか...(肉棒擦り付けるだけで飲み込んでいく割れ目にそのまま一息に突き上げ、最奥抉りつつ胸の先を指の腹で軽く押し潰す様に転がしながら膝の上で突き上げてはその都度自重で最奥抉り込んで内臓にまで響かせ)
  (2024/10/11 05:01:27)

エロガキ♂18R> 【時間来ちゃってるから移動とかどうだろ？】   (2024/10/11 05:01:41)

エロガキ♂15M
◆> ぅっ…！♡もうっ♡…イっ……ぐぅぅう！！♡♡♡(子宮口に亀頭が熱烈キスした瞬間、ﾋﾞｭﾙﾙﾙﾙｩｩｩｩｳｳｳｳｳｳ！！！♡ﾄﾞﾌﾟｯ♡ﾌﾞﾋﾞｭﾙﾙﾙﾙｩｩ~~~~~~~~~♡！♡！♡！ダマになるほど濃厚な朝一ザーメンを、子宮全部を白濁で染め上げるくらい、勢い良く吐き出していく♡あまりの快感に、ボクも歯を食いしばるようにして耐えようとしていて…♡)
  (2024/10/11 05:01:44)

常闇トワ ◆> イグゥ///(中に出されると同時に身体を痙攣させながら盛大に潮を吹きながら精液を子宮に受け入れていく)   (2024/10/11 05:03:09)

おしらせ> エロガキ♂D18 ◆v/8rmrVKkEさんが入室しました♪  (2024/10/11 05:03:24)

おしらせ> エロガキ♂D18 ◆v/8rmrVKkEさんが退室しました。  (2024/10/11 05:03:38)

エロガキ♂15M ◆> 【あ、ごめんねぇ…ボクたちがまだ使ってるから多目的の方に行ってくれたみたい】   (2024/10/11 05:04:23)

常闇トワ ◆> 【次もきたので個室行きませんか？】   (2024/10/11 05:04:23)

原村和> あっ……時間ですかね？うーん……申し訳ないですけど、今日はちょっと時間が……その代わり、この次は必ず最後までお付き合いする……と約束する感じでこの場は納めて貰えませんか……？   (2024/10/11 05:04:53)

エロガキ♂18R> 分かりましたー。じゃあその感じで行きましょうか...因みにダイスは挟む感じですよね？   (2024/10/11 05:05:49)

エロガキ♂15M ◆> 【んにゃ…トワ様でスッキリしたら眠気来ちゃったにゃ〜……今日はここまででお願いします！】   (2024/10/11 05:05:57)

原村和> いいえ、挟まなくて大丈夫です。私は勝っても罰は与えませんので……時間の余裕のある時に、見かけたらお誘いする方向で大丈夫でしょうか……？   (2024/10/11 05:06:45)

エロガキ♂18R> okです、じゃあお互いに時間都合いい時に遊びましょうか。   (2024/10/11 05:07:30)

常闇トワ ◆> 【わかりました///15さんなら雑談部屋で見つけたら全然個室に拉致してくれてもいいですからね】   (2024/10/11 05:08:11)

原村和> はい、恐らくまた朝方にいますので……見かけたら声を掛けますね。約束だけで、失礼します……本当にごめんなさい、またお願いします   (2024/10/11 05:08:32)

原村和> では、失礼します。お二人もお疲れ様です   (2024/10/11 05:08:49)

エロガキ♂18R> 大丈夫ですよー。ではではお疲れ様でしたー。おやすみなさい   (2024/10/11 05:08:52)

おしらせ> 原村和さんが退室しました。  (2024/10/11 05:08:54)

エロガキ♂18R> じゃ落ちるよ   (2024/10/11 05:09:35)

エロガキ♂18R> ではではー   (2024/10/11 05:09:40)

おしらせ> エロガキ♂18Rさんが退室しました。  (2024/10/11 05:09:44)

エロガキ♂15M ◆> 【気に入ってくれたようで何より♪また機会があったらよろしくにゃ〜】   (2024/10/11 05:09:49)

